RUT.1.1	Senagi senagi, mirona ituari ourefeidena vene tora amegamadiri,
MAT.5.9	ini adina Sei yaku ini mida mida vo nigo!
MAT.5.10	Kaere vegu rorobo dada esika esika moidedi vene bi ada regedi;
MAT.5.10	ini adina Sei di ourefeidena amena sana omari bi ini!
MAT.5.11	“Amiye yaku na dada nifafana resi esika esika masi ya fafau ago no tau ofa ofa ago dudu nibigediri, bi ada regedi.
MAT.5.12	Ada regasa yauta nifa, adina yi obini omari moigedi bi tora, adina makai senagi Sei di ago niyadi vene esika esika maradi.
MAT.5.13	“Ya bi kono di ramena kana. Idu ramena di safi koina nigo vonisi, bi gokai ida dudu moi dairigedi ma dudusa ramena nigo? Mina bi kamini no niyo, ye moi makugedi ma amiye yaku etei rigedi.
MAT.5.14	“Ya vene bi mina kono di vabara. Taoni yokoi omuna ikari bi de sui nigo.
MAT.5.15	Ma amiye yaku ka ramefa orisi foroka gabireri de aegedi, idu bi ini ikina sanari ikigedi; ye amiye tau yavari ameinu rededi rofu ini vabara kikigo.
MAT.5.16	Mina ida dudu maka, yi vabara bi amiye budari vabara niyaine, ye yi beika vegu buni bi amiye yaku vegedi rofu yi Baba omari mina ini roka moi odoro riyaganedi.
MAT.5.17	“Ga mokefa na bi ago gira ma Sei di ago niyadi vene di ago mina moi uroro regika deyaka; na bi moi rama aegi deyaka, uroro regi de deyaka. 
MAT.5.18	Rama ya nida, oma ma kono bi roro nigedi, idu ago girari bura keika kuni kuni yokoi kava ma tuta yokoi de roro nigedi bogo mina vegu tau vakoi rama aegedi mamo.
MAT.5.19	Kaere amiye yaku mina ago gira di ago keika keika yokoi obe resi amiye be ka, ina yaku reyo kana, reyaganedi oteimago bi, Sei yaku ini ourefeidena amena sana omari bi moi keika rigo, idu kaere amiye yaku mina ago gira neidesi amiye be ka oteimabigo, bi Sei yaku ka ini ourefeidena amena sana omari ka ina moi odoro rigo. 
MAT.5.20	Ye ya nida, yi vegu rorobo rededi bi ago gira oteimana vene ma Pharisee vene di vegu ebuna de reyo vonisi, ya bi Sei di ourefeidena amena sana omari toga toga de dui regedi.
MAT.5.21	“Ya sena tutubena vene rofu beika nigamadi bi neideyadi, ‘Amiye umuyena ga reyaganedi; ye kaere yaku amiye umuyego bi kota rego.’
MAT.5.22	Idu ya nigida bi kaere ini usika ourena rofu gubuyo rego
MAT.5.23	Mina dada, ya yi ori sisika rena Sei rofu moisi ini fore fata odoro magasa mokegiya yi usika ourena bi yasa gubuyo amedo vonisi, bi 
MAT.5.24	yi beika gugura magiya bi fore fata adinari ferena siko resi yi usika ourenasa uka yokoi maka nisi mamo dairisi yi beika gugura magiya mina ma.
MAT.5.25	“Yasa uka yokoi maka de nido amiye kaere yaku ya kota aegi rena koderi, evade ya kaya yi uka moi nomu risi uka yokoi maka ni. De bi kota neidedo amiye di vanari ya aego baebu, ma ina yaku dibura yava nari redo amiye di vanari ya aego ma dibura yavari ya aego. 
MAT.5.26	Rama ya nida, mina sanari de yakugiya bogo kota ya ae niyo kana metona fore keika mai vau regiya mamo.
MAT.5.27	“Sena nigamadi ma neideyadi, ‘Koa ga re.’
MAT.5.28	Idu ya nida bi kaere amiye yaku rema vesi inasa varegi di moke moke moigo, bi sena ini ukari mina remasa koa reyo. 
MAT.5.29	Ye yi vana rama nemoko yaku ya moi vegu no rofu ourefeidego vonisi, kini biyoka resi maku. Buni bi yi mina roaita keika maka makugiya, de bi yi roaita tora noibanu ita mokari makugo.
MAT.5.30	Ma yi vana rama yaku ya moi vegu no rofu ourefeidego vonisi, bi nugai maku. Adina buni bi yi mina roaita keika maka makugiya, de bi yi roaita tora noibanu ita mokari nego.
MAT.5.31	“Mina bi sena ka niyadi, ‘Kaere amiye ini rema ferego vonisi, bi rema ferena fefa masi nifeideyainedi.’
MAT.5.32	Idu ya nida kaere amiye yaku ini rema feresi nifeidego, idu mina rema bi sena koa de reyo, bi mina rema amiye idana megori bi koa rena vegu nori moi dui rego. Ma mina amiye kaere bi rema mego ka bi koa rego.
MAT.5.33	“Dudusa, senagi tutubena vene rofu nigamadi ma neideyadi, ‘Yi nitore rena ago bi ga odefa, idu Varika amiye rofu yi beika nitore reyadi mina refa.’
MAT.5.34	Idu ya nida bi oma fafau nivarika ga refa, adina mina bi Sei di ourefeidena amena fata;
MAT.5.35	o kono roka fafau ga nitore refa, adina mina bi ini yuka aena sana; o Jerusalem fafau nitore ga refa, adina mina bi Kini tora di taoni.
MAT.5.36	Yi ada fafau ka nitore ga refa, adina yi ada iye fini yokoi maka mina de moi gabu o feyo rigedi. 
MAT.5.37	Idu ya ‘Yo’ nigedi vonisi, bi yo maka mokeyagane ma ya ‘Ide’ nigedi vonisi bi ide maka mokeyagane—beika mina fufuta rofu baedo bi amiye no di.
MAT.5.38	“Sena nigamadi ma neideyadi, ‘Amiye yokoi yaku amiye idana ini nemoko yokoi ugori bi makai kana mina reyo amiye rofu refa ma amiye yokoi yaku amiye idana ini gade yokoi ubaki regori, bi makai kana mina reyo amiye rofu refa.’
MAT.5.39	Idu gua na yaku nida bi amiye yaku ya rofu vegu no regori, bi ga gana ri. Ye kaere yaku yi rama rofu ragena famagori, bi berou ka moi kero resi ma. 
MAT.5.40	Ma amiye yokoi yaku ya kota aegika resi yi serti moigori, bi yi fafau varuka ka ma. 
MAT.5.41	Ma amiye yokoi yaku ya ni duri duri resi kilometre
MAT.5.42	Ma kaere ya rofu ya usa nigori, bi mina ma; ma kaere ya rofu moisi gabi dairisi ya mago usa nigori, bi ga gedu ma.
MAT.5.43	“Sena nigamadi ma neideyadi, ‘Yi atafu amedo amiye uka masi yi tuma amiye rofu bi gubuyo re.’
MAT.5.44	Idu ya vene rofu nida, yi tuma vene rofu uka masi
MAT.5.45	ye ya bi yi Baba omari di mida mida nigedi. Adina ina yaku ini meda bi vegu no rededi vene ma buni vene fafau mado. Resi mokena rorobo nufa vene ma mokena rorobo nufa de vene fafau ini miya moi dedo. 
MAT.5.46	Ye ya rofu uka madedi vene maka ina rofu uka magedi vonisi, bi ini buni gabi bi beika moigedi? Ye fore moidedi vene ka mina vegu rededi ba? 
MAT.5.47	Ma yi usika ourena
MAT.5.48	Mina dada yi Baba omari bi rorobo iniye maka kana ya vene ka rorobo iniye maka dudu ameyaganedi!
MAT.6.1	“Yi beika mokena rorobo di vegu rededi bi amiye di nemokori bi vei mona resi ga refa, ye amiye yaku veyaganedi. Adina makai regasa yi obini yi Baba omari rofu bi de moigedi.
MAT.6.2	“Mina dada gugura beika de vene rofu mabigediri, bi yi budari kibi kukuroka ga nifa, ofarosi vene usa usa yavari ma idari rededi kana, ye amiye yaku ini roka moi odoro riyaganedi. Rama iniye ya nida, ina bi ini obini ka moiyadi. 
MAT.6.3	Idu gugura beika de vene rofu mabigediri, bi yi vana enana ka ga diba niyainedi vana rama yaku beika redo bi, 
MAT.6.4	ye yi beika reisa bi sui dudu re. Yi Baba yaku sui dudu beika reisa vegori, bi
MAT.6.5	“Sei rofu usa usa nibigediri, bi ofarosi vene kana ga refa, adina ini mokena bi usa usa yavari ma ida teukana neineiri are resi usa usa nibigediri amiye yaku veyaganedi. Rama iniye ya nida, ini obini bi kamini moiyadi.
MAT.6.6	Idu Sei rofu usa usa nibigediri, bi yi daiyutu ideri dui resi ida biri risi mamo yi Baba rofu usa usa nifa, kaere ya de vegedi. Kamini yi Baba sui dudu beika rededi ya vegasa
MAT.6.7	“Ma Sei rofu usa usa nibobigediri, bi deda ago tavoi tavoi tau tutubena idana vene kana ga refa, ini mokena bi mina ago tau nidediri maka ini ofa sei yaku ina vene neidego dada. 
MAT.6.8	Ye ina vene kana bi ga nifa, ini adina yi Baba bi usa nigediri yi beika nufa de bi sena diba niyo. 
MAT.6.9	Mina dada yomakai usa usa nifa:
MAT.6.9	‘Uni Baba omari ameisa amiye:
MAT.6.9	Yi roka bi kikifa iniye;
MAT.6.10	yi ourefeidena amena sana bi deyaine;
MAT.6.10	yi ura bi konori vata niyaine, omari kana.
MAT.6.11	Gua meda di iruku una mai baesa, mina una ma.
MAT.6.12	Ma uni vegu no koite maku,
MAT.6.12	ma una ka amiye di vegu no una rofu rededi moi erufusifa kana.
MAT.6.13	Ma uka maina regika nivena rofu ga una moi ourefeide,
MAT.6.13	idu amiye no rofu una moi vegu ri.’
MAT.6.14	“Ye ya rofu vegu no rededi vene di vegu no moi erufugedi vonisi, yi Baba omari yaku ya rofu yi vegu no ka koite makugo.
MAT.6.15	Idu amiye ini vegu no rededi de koite makugedi vonisi, yi Baba yaku ka yi vegu no rededi de koite makugo.
MAT.6.16	“Oyo rebigediri, ofarosi vene kana ga refa, ini ne uruma moi no rededi, ye amiye yaku vegedi ina bi oyo reyadi. Rama iniye ya nida, ina bi ini obini sena moiyadi. 
MAT.6.17	Idu oyo rebigediri, bi yi ne uruma koitesi yi ada iye sikoma imibifa, 
MAT.6.18	ye amiye yaku ka ya de vei regedi ya bi oyo rededi—idu yi Baba kaere bi sui ni beika sui dudu reyadi vesi
MAT.6.19	“Mina konori gugura buni tau ya kaya ga ae torekai refa, nurina ma rasta yaku moi no regedi ma duma duma vene yaku dui resi duma regedi.
MAT.6.20	Idu ya kaya gugura buni tau bi omari ae torekai rebifa, ye nurina ma rasta yaku de moi no regedi ma duma duma vene yaku ka dui resi de duma regedi. 
MAT.6.21	Adina yi gugura buni tau amededi sanari yi uka di ura ka amebigo.
MAT.6.22	“Yi nemoko bi ramefa di vabara kana yi roaitari. Mina dada yi nemoko buni vonisi, bi yi roaita tau noibanu bi vabara yaku vata baego. 
MAT.6.23	Idu yi nemoko no vonisi, bi yi roaita tau noibanu bi mukuna yaku vata baego. Yi vabara yi ideri bi mukuna vonisi, mina bi mukuna girigiri iniye!
MAT.6.24	“Amiye yokoi yaku amiye tora remanu di moimai rei tavoi rena di moimai anua rego. Adina bi yokoi rofu bi gubuyo resi yokoi rofu bi uka mago, o ina bi yokoi di ago neidesi yokoi rofu bi mokei itu rego. Ya bi Sei ma fore di moimai rei tavoi rededi vene di moimai kana rena bi anua regedi.
MAT.6.25	“Mina dada ya nida, vegu nigasa amesi beika iruku ma koru irigedi o beika varuka akudedi rofu mokena toe ga moifa. Vegu amena bi iruku ebu redo, ma roaita yaku varuka ka ebu redo. 
MAT.6.26	Erena oma odoro vefa. Ina bi iruku yo varina o iruku goena o dokemari ae torekai de rededi; idu yi Baba omari yaku vana redo. Ya bi mina erena ebu iniye reyadi. 
MAT.6.27	Ye ya kaere yaku ini ukari mokena toe moigori, mina mokena yaku ini vegu moi doba rego ba?
MAT.6.28	“Ma beika resi varuka dada mokena toe moidedi? Sufari farofaro bi gokai bodedi mina vefa; moimai de resi varuka de ridedi. 
MAT.6.29	Idu ya nida, kini Solomon di varuka burefe tau ka bi mina sufari farofaro kana de.
MAT.6.30	Sei yaku sufari farofaro imu mado—mina farofaro bi gua vegu amedo mini, idu agiya bi kufusi makugedi, ma roko nigediri, bi ita mokari origedi. Ye yi varuka dudu ya nari rei mona iniye rego, ya kaere bi mokena vari gira keika aededi vene!
MAT.6.31	“Mina dada ya kaya nigika mokena toe ga refa: ‘Una bi beika iruku ma koru irigifa?’ o ‘Una bi beika varuka akugifa?’ 
MAT.6.32	Adina mina beika baika tau bi tutubena idana vene yaku maina rededi. Adina yi Baba omari ina diba ya nufa de tau bi. 
MAT.6.33	Idu Sei di ourefeidena amena sana ma ini mokena rorobo siko maina refa kumo mina beika baika tau ya mago. 
MAT.6.34	Mina dada agiya di mokena toe ga moifa; ini adina agiya bi iniye ini mokena toe moigo. Ari neinei bi iniye ini mokena toe amedo.
MAT.7.1	“Amiye di no rofu mokei no ga refa, ye Sei yaku ka yi no rofu kota de rego. 
MAT.7.2	Adina ya yaku amiye di no rofu mokei no regedi kana, makai Sei ya kota rego, ma ya amiye gokai toe madedi kana, Sei yaku mina toe dairisi ya mago.
MAT.7.3	Beika resi bubudo yi usika ourena di nemokori bi veisa, idu yabo rata yi nemokori bi de nidodi reisa? 
MAT.7.4	O gokai ida dudu yi usika ourena rofu nigiya, ‘Na ferei kumo yi nemokori bubudo amedo mina moigida,’ ma yi nemokori yabo rata amedo? 
MAT.7.5	Ya ofarosi amiye! Yi nemokori yabo rata amedo mina siko moi etagae rigiya, mamo vei mona resi yi usika ourena di nemokori bubudo amedo mina moi etagae ri.
MAT.7.6	“Beika bi akeke bi auna rofu ga masi yi fore roka 
MAT.7.7	“Usa nifa kumo ya mago; maina refa kumo baku regedi; raka nifa kumo ya rofu ida vena moi ekego. 
MAT.7.8	Adina kaere yaku usa usa nigo bi moigo, ma kaere maina rego bi baku rego, ma kaere raka nigo bi ina rofu ida vena moi ekego. 
MAT.7.9	O yi fogori kaere amiye ini mida yaku beredi usa nigori, rama dadisi fore moi mago ba? 
MAT.7.10	O oyena usa nigori, rama dadisi aruma mago ba? 
MAT.7.11	Ma ya vene no bi yi mida mida rofu gugura buni magi diba nidedi vonisi, bi yi Baba omari amedo amiye yaku gugura buni usa nigedi vene bi besa besa mago!
MAT.7.12	“Mina dada ya ura rededi amiye yaku beika tau ya rofu rebigedi, ya ka ina rofu makai refa. Adina mina bi Moses di ago gira ma Sei di ago niyadi vene di ago di adina.
MAT.7.13	“Ida vena kakaitari dui refa, adina no moina sana rofu bona ida vena bi rafo ma ini ida bi tora, ma amiye tau tora bi minari dui rededi. 
MAT.7.14	Idu ida vena bi kakaita ma ida bi keika vegu sana rofu bodedi, ma amiye tau de mina sana baku rededi.
MAT.7.15	“Sei di ago nidedi ofa vene vei mona regasa amebifa. Ya rofu bi mamoe di varuka akusi baegedi, idu ini uka ideri bi sufa gadeva auna no iniye iniye. 
MAT.7.16	Ini beika moi ogau ridediri maka vei mama regedi. Rama amiye yaku waini meko bi imiye tafari butu de regedi o fuka meko bi onana imiyeri butu de regedi. 
MAT.7.17	Ye yabo buniri bi meko buni varededi, idu yabo nori bi meko no varededi. 
MAT.7.18	Yabo buniri bi meko no de varegedi, ma yabo nori bi meko buni de varegedi. 
MAT.7.19	Yabo tauri meko buni de varededi mina yabo bi nugasi ita mokari ori kamu rededi.
MAT.7.20	Mina dada ini beika redediri maka vei mama regedi.
MAT.7.21	“Amiye tau kaere na rofu ‘Varika amiye’ vo nidedi, bi Sei di ourefeidena amena sana omari de dui regedi, idu nai Baba kaere bi omari amedo di mokedo vegu rededi vene maka dui regedi. 
MAT.7.22	Mina medari Sei yaku amiye tau kota aegori amiye tau gade yaku na rofu nigedi, ‘Varika amiye, una bi yi rokari Sei di ago nirausi resi vima no meki resi mokena vegu regamafa ba ide?’ 
MAT.7.23	Minari mamo na yaku ina vene fafau nigida, ‘Vegu no rededi vene, na bi toga ya toto; na rofu etagae ri difa!’
MAT.7.24	“Mina dada amiye kaere yaku nai ago neidesi regedi, bi mokena tora amiye kaere yaku ini yava abita fore fafau akuyo kana. 
MAT.7.25	Miya deyo, abata deyo, ma itu aura mina yava fafau baeyo, bi de yareyo, ini adina bi ini gado bi abita fore fafau akuyo dada.
MAT.7.26	“Ye amiye kaere nai ago neidesi de rego, bi ada de amiye yaku ini yava vasa fafau akuyo kana. 
MAT.7.27	Miya deyo, abata deyo ma itu aura mina yava fafau baeyori, ma ini yareyo bi no iniye iniye!”
MAT.7.28	Iesu mina ago ni vau reyori, mina amiye tau gade bi ini oteimana ago rofu tururu reyadi,
MAT.7.29	adina ini oteimana bi kaere vava nufa amiye kana, ma ago gira oteimana vene kana de.
MAT.8.1	Iesu omuna aveta gutuna deyori, amiye tau gade ina usi deyadi. 
MAT.8.2	Idau refera amiye yokoi Iesu rofu bosi efuka meimigasa usa niyo, “Varika amiye, ya ura reisa vonisi, na moi ruaka rigiya.”
MAT.8.3	Kamini Iesu yaku ini vana moi roto risi mina amiye avaka moisi niyo, “Na ura reida; ruaka ni!” Minari maka ini roaitari refera gauka bi ruaka niyo. 
MAT.8.4	Ye Iesu ina rofu niyo, “Amiye yokoi ga nioteima, idu nesi ya kaya Sei ma amiye utari naivo amiye oteimasi Moses yaku ago girari niyo kana Sei rofu moi ori sisika regiya. Ye amiye vegedi ya bi buni niyo.”
MAT.8.5	Iesu Capernaum ri okiyori, Rome di iya rededi vene di ourefeidena amiye yokoi Iesu rofu niguyaguya regasa niyo: 
MAT.8.6	“Varika amiye, nai naivo amiye bi yavari esika esika tora nufa kita kita de, varena maka redo.”
MAT.8.7	Ye niyo, “Bosi moi buni rigida.”
MAT.8.8	Idu nikabai resi niyo, “Varika amiye, na bi rorobo de ya yaku nai yavari bogiya. Idu sina maka nigiya ma nai naivo amiye bi buni nigo. 
MAT.8.9	Na ka bi amiye be di vava gabireri ameida dada; iya rededi vene be bi nai vava gabireri amededi. Na yaku yokoi rofu nida, ‘Bo!’ vo nidari bodo; ma yokoi rofu nida, ‘Bae!’ vo nidari baedo; ma nai moimai rei tavoi redo amiye rofu nida, ‘Mina re!’ vo nidari redo.”
MAT.8.10	Iesu mina ago neidesi bi tururu resi kaere usi diyadi inasa rofu niyo, “Rama ya nida, Israel ri amiye yokoi di mokena vari gira aena makai de baku reyaka. 
MAT.8.11	Ye ya nida amiye tau gade meda dadido eta rofu ma meda nedo eta rofu baegedi Abraham, Isaac ma Jacob sa Sei di ourefeidena amena sana omari ameinu resi irakuna irigedi.
MAT.8.12	Idu Sei di ourefeidena amena sana mida mida kana auba reyo vene bi etofaro mukunari maku nego ma isaka nigasa gade aki gigi rebigedi.”
MAT.8.13	Resi iya rededi vene di ourefeidena amiye rofu niyo, “Bo, yi mokena vari gira aeyo kana bi vata nigo.”
MAT.8.13	Mina meda nemokori maka ini naivo amiye buni niyo.
MAT.8.14	Iesu yaku Peter di yavari dui reyori, Peter di imokai rema bi roaita vaki vaki resi ekamari varegamo ma veyo. 
MAT.8.15	Ini vana avaka moiyori, roaita vaki vaki bi fereyo ma iruku dabara resi nari regamo.
MAT.8.16	Uriyenauri vima no nufa amiye tau gade ina rofu afei baeyadi, ma ina yaku mina vima no ini ago dudu meki resi gauka vene tau ka moi buni riyo. 
MAT.8.17	Beika Sei di ago niyo amiye Isaiah yaku niyo makai moi rama aeyo, “Ina kaya uni roaita afi rena ma uni gauka moi etagae riyo.”
MAT.8.18	Iesu amiye tau gade yaku ina buru risi deyadi mina vegasa ini usi dina vene rofu ago maro moka daidai tora berou eta rofu boi neyaganedi. 
MAT.8.19	Ma ago gira oteimana amiye yokoi ina rofu baesi niyo, “Oteimana amiye, ya goina digiya na bi ya usi digida.”
MAT.8.20	Ma nikabai resi niyo, “Sufa auna bi ini fore ruba nufa ma erena odoro didedi bi ini buri nufa, idu Amiye di mida bi ini ada aesi raudai rena sana bi koina.”
MAT.8.21	Ma ini usi dina amiye yokoi yaku ina rofu niyo, “Varika amiye, na ferei kumo bosi nai baba kaere muyeyo siko moi guri aegida.”
MAT.8.22	Idu nikabai resi niyo, “Muyena vene ferei kumo ini muyena iniye moi guri aeyagane ma ya bi na usi bae.”
MAT.8.23	Iesu bouti keu riyo ma ini usi dina vene ka inasa diyadi. 
MAT.8.24	Ma itu aura tora iniye iniye mina moka daidai tora fafau reyo; ye koru tafo regamo ma ureure bouti fafa regi ka regamo. Idu Iesu varegamo, 
MAT.8.25	dada ini usi dina vene ina rofu bosi edadisi niyadi, “Varika amiye, una bi kamini muyegifa. Una moi vegu ri!”
MAT.8.26	Ina yaku niyo, “Mokena vari gira keika aededi vene, beika resi ori reyadi?” Resi dadisi aura ma koru tafo besenai ago maro ma moka daidai tora bere gade ni ameyo.
MAT.8.27	Ye mina vene tururu resi niyadi, “Mina amiye bi gokai kana amiye? Aura ma koru tafo ka ini ago neidededi!”
MAT.8.28	Moka daidai tora berou eta rofu Gadara
MAT.8.29	Ma evade raka nisi niyadi, “Sei di mida, beika resi una rofu baesa? Gua meda okina koderi esika esika una magi minari baeyo ba?”
MAT.8.30	Ye dona tau bi gaima ini vana irigamadi. 
MAT.8.31	Ye mina vima no yaku Iesu niguba regasa usa niyadi, “Una meki regiya vonisi, bi yomirona dona tau ideri una nifeide.”
MAT.8.32	Ina rofu niyo, “Difa!” Ye mina amiye remanu rofu yakusi dona tau ideri dui reyadi ma mina dona tau raravari raga nesi moka daidai torari yoyo resi koruri muyeyadi.
MAT.8.33	Dona vana regamadi vene bi ori disi taoni vene beika vata niyo ma amiye remanu vima no nufa ina rofu beika vata niyo ka mina sina ni digamadi. 
MAT.8.34	Ye taoni vene tau yaku Iesu baku regika boyadi; vegasa niguba reyadi ini gagani feresi diyainedi.
MAT.9.1	Mina usi Iesu bouti keu risi moka daidai tora rofu ugasi ini taoni iniye
MAT.9.2	Ye okiyori, amiye be yaku dibo anua amiye madunari ina rofu afei baeyadi. Iesu mina vene di mokena vari gira aena veifategasa mina dibo anua amiye rofu niyo, “Nai mida, mokei itu ga re! Yi vegu no bi koite makuyo.” 
MAT.9.3	Ma ago gira oteimana vene bedakai yaku iniye iniye rofu niyadi, “Mina amiye bi Sei di roka moi no rido!”
MAT.9.4	Ye Iesu yaku mina vene di mokena veifatesi ina rofu niyo, “Beika resi mokena no yi ukari mokededi? 
MAT.9.5	Adina goina ago nigida bi rena gira de, ‘Yi vegu no bi koite makuyo,’ o ‘Dadisi nana re’? 
MAT.9.6	Idu ya vei mama regedi Amiye di mida bi vava nufa konori vegu no koite makugo”—kamini dibo anua amiye rofu niyo, “Dadisi yi maduna vanau moisi yi yavari di!”
MAT.9.7	Ye mina amiye dadisi ini yavari diyo. 
MAT.9.8	Ma amiye tau mina vesi bi ori
MAT.9.9	Ma Iesu mironari gutuna bogamori, amiye yokoi ini roka Matthew, fore butu rena ofesiri vesi niyo, “Na usi bae.”
MAT.9.9	Ma dadisi usi diyo.
MAT.9.10	Gabi bi yavari ameinu resi iruku irigamori, fore butu rededi vene ma vegu no rena vene tau gade okisi Iesu ini usi dina venesa ameinu resi iruku irigamadi.
MAT.9.11	Ma Pharisee vene mina vegasa ini usi dina vene nikaiteyadi, “Beika resi yi oteimana amiye bi fore butu rededi vene ma vegu no rededi venesa iruku iridedi?”
MAT.9.12	Idu Iesu mina ago neidesi niyo, “Amiye buni bi gauka dogo amiye de mokegedi, idu gauka vene maka. 
MAT.9.13	Va disi mina ago di ini adina vei mona refa: ‘Na bi iriyeduka ura reida ma ori sisika rena bi de.’ Adina na bi mokena rorobo vene rofu disi raka nigi de okiyaka, idu vegu no rededi vene
MAT.9.14	Mina usi John di usi dina vene yaku ina rofu baesi nikaiteyadi, “Beika resi Pharisee vene ma una bi
MAT.9.15	Ye Iesu yaku nikabai reyo, “Rema mego amiye yaku ini asiyaka venesa amebigori, isaka nigedi ba ide? Ide mada! Idu rema mego amiye afei digedi di meda baegori, bi oyo regedi.
