MAT.1.1	Ибрагьимни наслусундан тувгъан Давутну наслусундан болгъан Исаны тайпа тухуму.
MAT.7.2	Башгъаны сиз нечик айыпласагъыз, Аллагь сизин де шолай айыплар. Не оьлчев булан оьлчесегиз, сизге де шо оьлчев булан оьлченер. 
MAT.7.3	Къардашынгны гёзюндеги чёпню сен неге гёресен, оьзюнгню гёзюнгдеги аркъалыкъны гёрмейсен? 
MAT.7.4	Яда къардашынга: «Къардашым, къайда, сени гёзюнгдеги чёпню тайдырайым», – деп нечик айтма боласан, оьзюнгню гёзюнгде аркъалыкъ бар тура? 
MAT.7.5	Гьей экиюзлю! Башлап оьзюнгню гёзюнгдеги аркъалыкъны тайдыр, къардашынгны гёзюндеги чёпню нечик тайдырма герекни шо заман гёрерсен.
MAT.7.6	Сыйлы затланы итлеге бермегиз, олар уьстюгюзге чабып, сизин паралар. Жавгьарланы донгузланы алдына ташламагъыз, олар шоланы аякъ тюбюне салып таптар.
MAT.7.7	– Тилегиз – сизге берер, излегиз – табарсыз, эшикни къагъыгъыз – сизге ачар. 
MAT.7.8	Неге тюгюл де, гьар тилеген – алар, излеген – табар, эшикни къакъгъангъа да – ачылар.
MAT.7.9	Арагъыздан къайсы ата уланы аш тилегенде, таш берер? 
MAT.7.10	Яда балыкъ тилегенде, балыкъны орнуна йылан берер? 
MAT.7.11	Шолайлыкъда, эгер сиз оьзюгюз яман бусагъыз да, авлетлеригизге яхшы савгъатлар берип бола бусагъыз, кёклердеги Атагъыз буса дагъокъ да Оьзюнден тилейгенлеге яхшы савгъатлар берер!
MAT.7.12	Шогъар гёре, адамлар сизин учун не этгенни сюе бусагъыз, олар учун сиз де шолай этигиз. Бютюн Къанун да, пайхаммарланы сёзлери де шогъар асаслана!
MAT.7.13	– Тар къапудан гиригиз, неге тюгюл жагьаннемге элтеген къапу генгдир ва ёл эркиндир. Ондан гирегенлер кёпдюр. 
MAT.7.14	Яшавгъа элтеген къапу тардыр ва ёл тыгъысдыр. Ону табагъанлар аздыр.
MAT.7.15	– Ялгъан пайхаммарлардан сакъ болугъуз! Олар сизин яныгъызгъа къойгъа ошап гелирлер, гьакъыкъатда буса олар йыртгъыч бёрюлердир. 
MAT.7.16	Оланы сиз емишине, демек ишлерине, къарап таныжакъсыз. Гоган уьлкюлерден юзюм яда тегенек уьлкюлерден инжир жыямы? 
MAT.7.17	Яхшы терек яхшы емиш берер, яман терекни де емиши яман болур. 
MAT.7.18	Яхшы терек яман емиш бермес, яман терек де яхшы емиш бермес. 
MAT.7.19	Яхшы емиш бермейген гьар терек, гесилип, отгъа салынар. 
MAT.7.20	Шолайлыкъда, оланы емишине къарап таныжакъсыз.
MAT.7.21	Магъа: «Я Раббим! Я Раббим!» – дейген гьар ким Аллагьны гьакимлигини тюбюне тюшмежек. Онда янгыз кёклердеги Атамны сюегенин этегенлер болажакълар. 
MAT.7.22	Шо заман кёплер Магъа: «Я Раббим! Я Раббим! Биз Сени атынгдан сёйледик. Сени атынг булан жинлени къуваладыкъ. Сени атынг булан бир кёп муъжизатлар гёрсетдик!» – деп айтажакълар. 
MAT.7.23	Шо заман Мен де олагъа: «Мен сизин бир заманда да танымай эдим. Менден ари тайыгъыз, сиз барыгъыз да яманлыкъ этегенлерсиз!» – деп тувра айтажакъман.
MAT.7.24	Шолайлыкъда, Мени бу сёзлериме тынглап, буланы кютеген гьар ким ташны уьстюнде уьй къургъан гьакъыллы адамгъа ошап къалажакъ. 
MAT.7.25	Янгурлар явду, оьзенлер ташыды, еллер эшди, олар барысы да шо уьйге бакъды. Амма о авмады, неге тюгюл о ташны уьстюнде къурулгъандыр. 
MAT.7.26	Мени бу сёзлериме тынглап, буланы кютмейген адам буса оьзюню уьюн къайырны уьстюнде къургъан гьайгев адамгъа ошап къалажакъ. 
MAT.7.27	Янгурлар явду, оьзенлер ташыды, еллер эшди, олар барысы да шо уьйге бакъды. Уьй буса, авуп, бюс бютюнлей бузулду.
MAT.7.28	Иса бу сёзлени сёйлеп битгенде, барысы да О англатагъан затлагъа гьайранлыкъ этелер. 
MAT.7.29	О дин алимлер йимик тюгюл, Аллагь берген гьакимлиги булангъы бир адам йимик уьйретген.
MAT.8.1	Иса тавдан тюшгенде, Ону арты булан кёп халкъ бара. 
