MAT.1.1	Disi na den afo fu Yesus Kristus. Yesus ben de wan bakapikin fu David, nanga fu Abraham.
MAT.7.3	Fa yu kan si a fini pisi udu ini a ai fu yu brada, ma yu no e si tak' wan postu de ini yu eigi ai? 
MAT.7.4	Fa yu kan taigi yu brada taki: ‘Kon meki mi puru a fini pisi udu ini yu ai,’ aladi yu abi wan postu na ini yu eigi ai? 
MAT.7.5	Yu hoigriman! Puru a postu ini yu eigi ai fosi, dan yu o man si krin fu kan puru a fini pisi udu ini a ai fu yu brada.
MAT.7.6	No gi dagu den santa sani fu Gado, bika den o drai kon priti yu. Èn no trowe parelkrara gi agu, bika na trapu nomo den o trapu den nanga den futu.”
MAT.7.7	“Begi, dan yu sa kisi. Suku, dan yu sa feni. Naki, dan doro sa opo gi yu. 
MAT.7.8	Bika a sma di e begi, e kisi. A sma di e suku, e feni. Èn a sma di e naki, doro e opo gi en. 
MAT.7.9	Suma sa gi en pikin wan ston, efu a pikin aksi en wan brede? 
MAT.7.10	Noso wan sneki efu a aksi en wan fisi? 
MAT.7.11	Efu yu leki sondusma, sabi fa fu gi yu pikin bun sani, fa fu yu P'pa na heimel dan? A sa gi moro bun sani na den sma di e aksi En fu dati. 
MAT.7.12	Yu mus libi nanga trawan soleki fa yu wani tak' den mus libi nanga yu. Bika na dati Moses nanga den profeiti ben leri unu.” 
MAT.7.13	“Yu musu psa ini a smara doro. Bika a doro fu hel bigi èn a pasi fu en bradi. Furu sma e waka na en tapu. 
MAT.7.14	Ma a doro pikin di e tyari yu go na a têgo libi, èn a pasi fu en smara. Wantu sma nomo e feni a pasi dati.”
MAT.7.15	“Yu mus luku bun nanga den sma di e du leki den na profeiti. Te den e kon na yu den e meki leki skapu, ma na inisei den de leki krasi tigri. 
MAT.7.16	Ma yu kan sabi den na a fasi fa den e libi. Bika wan prasarabon no e gi droifi, èn wan makabon no e gi figa. 
MAT.7.17	Wan bon di gesontu e gi bun froktu, ma wan bon di no gesontu no man gi bun froktu. 
MAT.7.18	Wan bon di gesontu no man gi froktu di no bun, èn wan bon di no gesontu, no man gi bun froktu. 
MAT.7.19	Ibri bon di no e gi bun froktu, den o kapu puru fringi go ini a faya. 
MAT.7.20	Na so yu sa sabi den sma dati, na a fasi fa den e libi.” 
MAT.7.21	“A no ala sma di e kari Mi: ‘Masra, Masra,’ sa kon na mindri den sma di Gado e tiri. Ma soso den sma di e du a wani fu Mi P'pa di de na heimel. 
MAT.7.22	Tapu a dei di Gado o leisi strafu gi libisma, furu sma o taigi Mi taki: ‘Masra, Masra, a no ini Yu nen wi ben gi sma Yu boskopu? A no ini Yu nen wi ben yagi takruyeye puru na tapu sma? A no ini Yu nen, wi ben du furu bigi sani?’ 
MAT.7.23	Ma Mi sa taigi den na ala sma fesi taki: Kmoto na Mi fesi, un takru-ati sma. Noiti Mi ben sabi unu!” 
MAT.7.24	Yesus taigi den sma taki: “Ibri sma di yere san Mi taki, èn di e du so, sa de leki wan koniman di bow en oso tapu tranga gron. 
MAT.7.25	Alen fadon, frudu kon, winti wai naki na a oso skin, ma a oso no fadon bika a ben bow tapu tranga gron. 
MAT.7.26	Ma ala sma di yere Mi, ma den no e du san Mi taki, de leki wan donman di bow en oso tapu santi. 
MAT.7.27	Di alen fadon, frudu kon, èn a winti wai naki na a oso skin, a oso fadon broko pis'pisi, èn noti fu en no tan.”
MAT.7.28	Di Yesus kba taki ala den sani disi, a bigi grupu sma no ben sabi san fu taki fu a leri fu En. 
MAT.7.29	Bika A no ben gi leri leki fa den sabiman fu Gado wèt ben e du, ma A ben du en leki a sma di kon nanga a leri.
MAT.8.1	Di Yesus saka kmoto fu a bergi, bun furu sma ben e waka na En baka. 
MAT.8.2	Ne wan gwasiman kon na Yesus, a saka tapu en kindi na En fesi, dan a taigi En taki: “Masra, efu Yu wani, Yu kan meki mi skin kon bun baka.”
MAT.8.3	Yesus langa En anu fasi a man, dan A taki: “Iya, Mi wani. Kon betre!” A srefi momenti dati a man skin kon bun baka. 
MAT.8.4	Dan Yesus taigi a man taki: “Sorgu tak' yu no e ferteri no wan sma san psa nanga yu. Ma yu mus go na a Dyudomri, meki a si tak' yu kon betre. Dan fu sori ala sma tak' yu kon betre, yu mus tyari a offer gi Gado leki fa Moses skrifi tak' yu mus du.” 
MAT.8.5	Di Yesus doro na a foto Kafarnaum, wan Romeini ofisiri kon begi En wan sani. 
MAT.8.6	A taki: “Masra, a knekti fu mi didon na oso. A lan èn a abi hebi skin-ati.”
MAT.8.7	Yesus piki a man taki: “Mi sa go dresi en.”
MAT.8.8	Ma a edeman piki en taki: “Masra, mi no warti fu Yu kon ini mi oso. Ma efu Yu taki wan wortu nomo, dan a knekti fu mi o kon betre. 
MAT.8.9	Bika mi srefi e wroko ondro trawan, èn mi abi srudati di de ondro mi. Efu mi taigi wan fu den taki: ‘Go drape,’ a e go. Efu mi taigi wan trawan taki: ‘Kon dya,’ a e kon. Efu mi taigi mi srafu taki: ‘Du disi,’ a e du en.”
MAT.8.10	Di Yesus yere san a man taki, A ferwondru. Dan A taigi den sma di ben e waka na en baka taki: “Fu tru Mi e taigi un taki: Na ini heri Israelkondre Mi no feni no wan sma nanga sowan bigi bribi. 
MAT.8.11	Mi e taigi un taki: Te Gado o bigin tiri libisma, furu sma sa kmoto na ala sei fu grontapu fu sidon nyan makandra nanga Abraham, Isak nanga Yakob. 
MAT.8.12	Ma den sma di ben mus de ondro a tiri fu Gado, den o fringi den go na dorosei ini a dungru. Drape den sa krei èn kaw den tifi.” 
MAT.8.13	Dan Yesus taigi a ofisiri taki: “Yu kan go. A sa psa soleki fa yu e bribi.” A srefi ten dati a knekti kon betre.
MAT.8.14	Baka dati Yesus go na Petrus oso. Drape A si tak' a m'ma fu Petrus en frow ben didon nanga korsu. 
MAT.8.15	Ne Yesus fasi a uma na en anu, èn a korsu saka. Dan a uma opo go poti nyanyan nanga dringi gi Yesus.
MAT.8.16	Di neti tapu, den tyari furu sma di ben abi takruyeye na den tapu, kon na Yesus. Na taki wawan A ben taki, dan den takruyeye gwe libi den sma. A dresi ala den sikisma tu. 
MAT.8.17	Na so a sani san a profeiti Yesaya ben taki kon tru. A ben taki:
MAT.8.17	A tyari den swakifasi fu wi,
MAT.8.17	èn a teki wi siki na en tapu. 
MAT.8.18	Di Yesus si fa wan heri ipi sma ben e lontu En, A taigi den man fu en taki: “Meki un abra go na a tra sei fu a meer.” 
MAT.8.19	Ma dan wan sabiman fu Gado wèt kon na En. A taigi En taki: “Meister, mi sa go nanga Yu ala sei pe Yu e go.”
MAT.8.20	Yesus piki en taki: “Krab'dagu abi den olo, èn den pikinfowru abi den nesi. Ma a Manpikin fu Libisma no abi wan presi fu kanti En ede.”
MAT.8.21	Nomo wan tra man di ben e teki leri fu Yesus taigi En taki: “Masra, gi mi a okasi fu go beri mi p'pa fosi.”
MAT.8.22	Ma Yesus piki en taki: “Kon nanga Mi, èn meki den dedewan beri den eigi dede.”
MAT.8.23	Dan Yesus go ini a boto èn den man fu En go na En baka. 
MAT.8.24	Ma di den e koti abra, wantron so wan tranga winti bigin wai tapu a watra, tak' den skwala ben e naki go ini a boto. Ma Yesus ben e sribi. 
MAT.8.25	Ne den man go wiki En taki: “Masra, yepi wi! Wi e dede!”
MAT.8.26	Yesus piki den taki: “Fu sanede un e frede so? A bribi fu un pikin!” Dan A opo, A bari a winti nanga a watra, èn wantron ala sani kon tiri.
MAT.8.27	Den man ferwondru. Den taki: “Suma na a man disi? Winti nanga watra srefi e du san A e taki!”
MAT.8.28	Di Yesus doro na abrasei ini a kontren fu den sma fu Gadara, tu man di ben abi takruyeye na den tapu, waka kon miti En. Den man disi ben kmoto ini a berpe, èn den ben ogri sote tak' no wan sma no ben man psa drape. 
MAT.8.29	Dan den man bari taki: “Yu Manpikin fu Gado, san Yu wani nanga unu? Na kon Yu kon dyaso fu pina wi fosi a ten doro?”
MAT.8.30	Krosbei fu drape wan bigi ipi agu ben e nyan. 
MAT.8.31	Ne den takruyeye begi Yesus taki: “Efu Yu o yagi un puru na tapu den man, dan tangitangi, seni un go na ini den agu.”
MAT.8.32	Yesus taigi den taki: “Kmopo fu dya!” Dan den takruyeye kmopo na den man tapu, go na ini den agu. Ne ala den agu lon saka fu a bergi go ini a meer, dan den dede ini a watra.
MAT.8.33	Den man di ben e luku den agu, lon gwe. Den lon go na ini a foto, dan den ferteri ala sani san den si, sosrefi san ben psa nanga den man di ben abi den takruyeye na den tapu. 
MAT.8.34	Dan ala sma kmopo fu a foto go miti Yesus. Di den si En, den aksi En tangitangi fu A gwe libi a kontren fu den.
MAT.9.1	So Yesus go ini wan boto, dan A koti a Meer fu Galilea abra go na a foto pe A ben e libi. Ne den sma tyari wan lanman na tapu wan bedi kon na En. 
MAT.9.2	Di Yesus si a bribi fu den, A taigi a lanman taki: “Mi mati, no frede. Yu kisi pardon fu yu sondu.”
MAT.9.3	Ma wantu fu den sabiman fu Gado wèt taki na ini densrefi taki: “Fa a man disi kan taki so? A e afrontu Gado!”
MAT.9.4	Ma Yesus ben sabi san den e prakseri, dat' meki A taigi den taki: “Fu sanede un e prakseri takru sani ini un ati? 
MAT.9.5	Bika san moro makriki? Fu taigi a man tak' a kisi pardon fu en sondu, noso fu taigi en fu a opo waka? 
MAT.9.6	Ma Mi o sori unu tak' a Manpikin fu Libisma abi makti dya na grontapu fu gi sma pardon fu sondu.” Dan Yesus taigi a lanman taki: “Opo, teki yu bedi, dan yu go na oso.”
MAT.9.7	Ne a man opo, dan a go na en oso. 
MAT.9.8	We, di den sma si a sani dati, den kisi bigi lespeki gi Gado. Den gi Gado glori fu di A gi libisma sowan makti.
MAT.9.9	Di Yesus kmoto fu drape e gwe moro fara, A si wan man di ben nen Mateus. A ben sidon pe den sma ben mus kon pai edemoni. Yesus taigi en taki: “Kon nanga Mi!” Ne Mateus opo èn a bigin waka na Yesus baka.
MAT.9.10	Bakaten Yesus go nyan na Mateus oso. Furu fu den man di e piki edemoni, nanga tra sondusma, ben sidon e nyan makandra nanga Yesus nanga den man di ben e teki leri fu En. 
MAT.9.11	Di den Fariseiman si a sani dati, den aksi den man fu Yesus taki: “Fu sanede a Meister fu unu e nyan makandra nanga den man di e piki edemoni, èn nanga den sondusma?”
MAT.9.12	Ma di Yesus yere san den man aksi, A piki den taki: “Sma di gesontu no abi datra fanowdu, ma na sma di e siki abi datra fanowdu. 
MAT.9.13	Un go ondrosuku san Gado wani taki nanga a sani disi:
MAT.9.13	Mi no wani den meti
MAT.9.13	di un e tyari leki offer gi Mi,
MAT.9.13	ma Mi wani fu un abi sari-ati
MAT.9.13	nanga trawan.
MAT.9.13	Mi no kon fu kari bun sma, ma Mi kon fu kari sondusma.” 
MAT.9.14	Baka dati wantu fu den man di ben e teki leri fu Yohanes a Dopuman kon na Yesus, dan den aksi En taki: “Wi nanga den Fariseiman gwenti fu faste. Ma fu sanede den man fu Yu no e du dati?”
MAT.9.15	Yesus piki den taki: “Sma di de na wan trow-oso no e sari solanga a trowmasra de drape nanga den. Ma a ten o kon tak' den o puru a trowmasra na den mindri. Dan den sa faste.
MAT.9.16	No wan sma e lapu wan owru krosi nanga wan pisi nyun wan. Bika te a nyun wan o krempi, a o hari a owru wan priti èn a olo o kon moro bigi. 
MAT.9.17	Sosrefi yu no e poti win di no lepi ete na ini winsaka di kon owru kba, noso den saka o priti èn yu o lasi a win nanga den saka. Fu dat'ede yu e poti win di no lepi ete na ini nyun winsaka, fu ala tu kan tan bun.” 
MAT.9.18	Yesus no ben kba taki nanga den man fu Yohanes ete, ne wan edeman fu den Dyu kon na En. A man fadon tapu en kindi fesi Yesus, dan a taigi En taki: “Masra, didyonsro mi umapikin dede. Ma efu Yu kon poti Yu anu na en tapu, a o libi baka.”
MAT.9.19	So Yesus opo, dan En nanga den man fu En go nanga a man. 
MAT.9.20	Ma di den ben de na pasi, wan uma waka mindri den sma kon baka Yesus, dan a fasi a lantyi fu En krosi. Twarfu yari langa a uma disi ben e lasi brudu kba. 
MAT.9.21	A ben prakseri taki: “Efu mi kan fasi En krosi nomo, mi o kon betre.”
MAT.9.22	Yesus drai luku a uma, dan A taigi en taki: “No frede, Mi pikin, a bribi fu yu meki yu kon betre.” A srefi momenti dati a uma kon betre.
MAT.9.23	Di Yesus doro na a oso fu a edeman, A si den sma di ben e prei dede-oso singi, nanga wan bigi grupu sma di ben e krei. 
MAT.9.24	Dan A taigi den sma taki: “Un kan gwe. A pikin no dede, na sribi a e sribi.” Ma den sma bigin lafu Yesus. 
MAT.9.25	Baka di den poti ala den sma na dorosei, Yesus go inisei pe a pikin ben didon. A hori en na en anu, dan a pikin opo. 
MAT.9.26	A tori disi panya na ini a heri kontren drape.
MAT.9.27	Di Yesus kmoto fu drape e gwe moro fara, tu breniman bigin waka na En baka e bari taki: “Manpikin fu David,
MAT.9.28	Di Yesus go ini wan oso, den breniman kon na En. Dan Yesus aksi den taki: “Un e bribi tak' Mi kan du san un e aksi Mi?”
MAT.9.28	Den piki taki: “Iya, Masra.”
MAT.9.29	Dan Yesus fasi den na den ai, A taki: “A sa psa soleki fa un e bribi.” 
MAT.9.30	Ne den man ai opo èn den ben man si. Dan Yesus warskow den tranga taki: “Sorgu tak' no wan sma kon sabi a tori disi.” 
MAT.9.31	Ma den man gwe èn den ferteri san Yesus du gi den na ini a heri kontren drape.
MAT.9.32	Di den tu man ben e gwe, den sma tyari wan man kon na Yesus. A man disi no ben man taki fu di a ben abi wan takruyeye na en tapu. 
MAT.9.33	Baka di Yesus yagi a takruyeye puru na en tapu, a babawman bigin taki. A bigi grupu sma drape ferwondru. Den taki: “Noiti ete sowan sani psa na ini Israel.”
MAT.9.34	Ma den Fariseiman taki: “Na a edeman fu den takruyeye e gi En makti fu yagi den takruyeye puru.” 
MAT.9.35	Yesus go na ala den foto nanga dorpu, èn A gi den sma leri ini den Dyukerki. A ferteri den sma a Bun Nyunsu tak' Gado o bigin tiri libisma, èn A dresi ala sortu siki di den sma ben abi. 
MAT.9.36	Di Yesus si den bigi grupu sma na ala sei, A firi wan dipi sari gi den, bika den ben bruya èn den no ben abi wan sma fu luku den, neleki skapu di no abi sma fu tyari den go na wei. 
MAT.9.37	Dat' meki Yesus taigi den man di ben e teki leri fu En taki: “A nyanyan ini a gron lepi kba fu koti, èn a furu, ma nofo wrokoman no de. 
MAT.9.38	Fu dat'ede un mus begi Masra di abi a gron, fu A seni moro wrokoman go ini a gron fu koti a nyanyan.”
MAT.10.1	Yesus kari den twarfu man di ben e teki leri fu En kon. Dan A gi den makti fu yagi takruyeye puru na tapu sma, èn fu dresi ala sortu siki. 
MAT.10.2	Disi na den nen fu den twarfu boskopuman fu Yesus: a fosi wan ben nen Simon, di den sma ben e kari Petrus, nanga en brada Andreas. Moro fara yu ben abi Yakobus a manpikin fu Sebedeus, nanga en brada Yohanes. 
MAT.10.3	Dan yu ben abi Filipus nanga Bartolomeus, Tomas nanga Mateus, a man di ben piki edemoni, Yakobus a manpikin fu Alfeus, nanga Tadeus. 
MAT.10.4	Dan yu ben abi ete Simon, fu a grupu fu den Seloten,
MAT.10.5	Na den twarfu man disi Yesus seni gwe èn A taigi den taki: “Un no mus go na den sma di no de Dyu, sosrefi un no mus go na den foto fu den Samariasma. 
MAT.10.6	Ma un mus go na den sma fu Israel, bika den de leki skapu di lasi pasi. 
MAT.10.7	Un go taigi den tak' her'esi Gado o bigin tiri libisma. 
MAT.10.8	Un dresi sikisma, un wiki dedewan, un meki a skin fu den gwasiman kon bun baka, èn un yagi takruyeye puru na tapu sma. Un kisi a makti fu du den sani disi fu soso, un mus du den fu soso tu. 
MAT.10.9	Un no mus tyari no wan moni te unu e gwe, 
MAT.10.10	sosrefi un no mus tyari wan saka fu te un de na pasi, noso tra krosi noso susu. Wan wakatiki srefi un no mus tyari. Bika a fiti tak' wan wrokoman kisi san a abi fanowdu.” 
MAT.10.11	Yesus taigi den man moro fara taki: “Te un doro ini wan foto noso wan dorpu, un mus suku wan sma di warti fu un kon ini en oso. Dan un mus tan ini a oso dati te leki un o gwe na wan tra presi. 
MAT.10.12	Te un go ini a oso dati, un mus winsi den sma tak' Gado sa blesi den. 
MAT.10.13	Efu a sori tak' den sma fu a oso warti fu kisi a blesi fu unu, a blesi sa tan nanga den. Ma efu a sori tak' den sma no warti fu kisi a blesi fu unu, a sa drai kon baka na unu. 
MAT.10.14	Èn efu a sori tak' den sma no wani meki un tan na den, noso den no wani arki san un e taki, dan un mus naki a santi puru na un futu te un e gwe libi a oso noso a foto dati. 
MAT.10.15	Fu tru Mi e taigi un taki: Tapu a dei di Gado o krutu libisma, a strafu fu a foto disi sa hebi moro a strafu fu den foto Sodom nanga Gomora.” 
MAT.10.16	“Luku, Mi e seni unu leki skapu go na mindri den tigri. Dat' meki un mus de na ai, èn un no mus du no wan sma ogri. 
MAT.10.17	Un luku bun nanga libisma. Bika den sa tyari un go na krutu, èn den o fon unu na ini den kerki fu den. 
MAT.10.18	Fu Mi ede den o srepi un go na fesi granman nanga kownu. Dan un mus teki den okasi dati fu ferteri den, nanga den folku, fu Mi. 
MAT.10.19	Te den sma tyari un go na krutu, un no abi fu broko un ede fa un mus taki noso san un mus taki. Bika Gado o gi unu san un mus taki a yuru dati. 
MAT.10.20	Bika a no unu sa taki fu unsrefi, ma na a Yeye fu Gado un P'pa sa gi un den wortu fu un taki.”
MAT.10.21	Yesus taigi den boskopuman fu En moro fara taki: “Wan brada sa gi en eigi brada abra fu den kiri en. Wan p'pa sa du a srefi sani nanga en pikin. Pikin sa tron feyanti fu den m'ma nanga den p'pa, èn den o kiri den. 
MAT.10.22	Fu Mi ede no wan sma no o man si un na ai. Ma Gado sa ferlusu a sma di sa hori doro te na a kba. 
MAT.10.23	Te den sma fu a wan foto de na un baka fu du un ogri, un lowe go na wan tra foto. Bika fu tru Mi e taigi un taki: A Manpikin fu Libisma sa drai kon baka fosi un kba du un wroko ini ala den foto fu Israel.
MAT.10.24	Wan sma di e teki leri, no betre moro en leriman, èn wan knekti no hei moro en masra. 
MAT.10.25	A mus de nofo gi a sma di e teki leri efu a kon de leki en leriman, èn a mus de nofo gi a knekti efu a kon de leki en masra. Efu den sma gi Mi leki a edeman fu a oso a nen fu Beelsebul,
MAT.10.26	Yesus taigi den boskopuman fu En moro fara taki: “Un no mus frede libisma. Bika ala sani san de na dungru o kon na krin, èn ala sani di kibri o kon na doro. 
MAT.10.27	Den sani di Mi e taigi unu na dungru, un mus taki den na a krin fu dei. San Mi e taigi unu safri, un mus bari na strati. 
MAT.10.28	Un no abi fu frede libisma. Den kan kiri soso a skin, ma den no man kiri a sili. Ma un mus frede Gado di kan meki a skin nanga a sili go pori ini hel. 
MAT.10.29	Un sabi tak' yu kan bai tu gadotyo gi wan sensi. Ma toku no wan fu den e dede sondro tak' Gado un P'pa sabi fu en. 
MAT.10.30	Gado sabi srefi omeni wiwiri yu abi na tapu yu ede. 
MAT.10.31	Dat' meki un no mus frede, bika un warti moro leki furu gadotyo.
MAT.10.32	So dan, a sma di e taigi trawan tak' a sabi Mi, Mi sa taigi Mi P'pa na heimel tak' Mi sabi en. 
MAT.10.33	Ma a sma di e taigi trawan tak' a no sabi Mi, Mi sa taigi Mi P'pa na heimel tu tak' Mi no sabi en.” 
MAT.10.34	“Un no mus prakseri tak' Mi kon fu tyari freide na grontapu. Mi no kon fu tyari freide, ma na prati Mi kon fu prati. 
MAT.10.35	Mi kon fu tyari prati na mindri wan man nanga en p'pa, na mindri wan uma nanga en m'ma, èn na mindri wan uma nanga en masra m'ma. 
MAT.10.36	Den feyanti fu yu sa de yu eigi ososma. 
MAT.10.37	Suma lobi en m'ma noso en p'pa moro Mi, no warti fu waka na Mi baka. Sosrefi a sma di lobi en manpikin noso en umapikin moro Mi, no warti fu waka na Mi baka. 
MAT.10.38	A sma di no de klar'klari fu nyan pina te fu dede srefi te a e waka na Mi baka, no warti fu de wan sma fu Mi. 
MAT.10.39	A sma di wani hori en libi, o lasi en. Ma a sma di e poti en libi na wan sei fu Mi ede, o feni en.” 
MAT.10.40	“Suma opo en doro gi unu, e opo en gi Mi. Èn suma opo en doro gi Mi, e opo en gi a Wan di seni Mi kon. 
MAT.10.41	Suma opo en doro gi wan profeiti, fu di a de wan profeiti, sa kisi a srefi pai di Gado o gi a profeiti fu En. Èn suma opo en doro gi wan sma di bun ini Gado ai, fu di a de wan sma di bun ini Gado ai, sa kisi a srefi pai di Gado o gi a sma di bun ini En ai. 
MAT.10.42	Fu tru Mi e taigi un taki: Efu yu gi wan sma wan kan kowru watra nomo, fu di a e teki leri fu Mi, dan Gado no sa fergiti fu pai yu, awinsi a sma dati no de wan prenspari sma.”
MAT.11.1	Di Yesus kba taigi den twarfu man di ben e teki leri fu En ala den sani disi san den mus fu du, A kmoto drape go na ini den foto fu den Dyu fu preiki èn fu gi den sma leri.
MAT.11.2	A pisten dati Yohanes a Dopuman ben de na straf'oso. Di a yere fu den wroko san a Mesias ben e du, a seni wantu man di ben e teki leri fu en fu go aksi Yesus taki: 
MAT.11.3	“Na Yu na a Man di bo kon, noso wi mus ferwakti wan tra sma?”
MAT.11.4	Yesus piki den taki: “Un go taigi Yohanes san un yere nanga san un si. 
MAT.11.5	Un taigi en tak' breniman e si baka, lanman e waka, gwasiman skin e kon bun baka, èn dofuman e yere. Owktu dedesma e wiki baka, èn pôtisma e yere a Bun Nyunsu fu Gado. 
MAT.11.6	Blesi de tapu a sma di no lasi bribi ini Mi.”
MAT.11.7	Di den man fu Yohanes ben e gwe, Yesus bigin ferteri a bigi grupu sma drape fu Yohanes. A taigi den taki: “Di un ben go na ini a dreisabana, san un ben go fu luku? Un no ben go fu luku fa a winti e wai a grasi! 
MAT.11.8	San un ben go luku dan? Wan man di weri diri krosi? Nono. Sma di e weri diri krosi e tan ini kownu-oso. 
MAT.11.9	Fu sanede un go dan? Fu si wan profeiti? Iya, Mi e taigi unu: A de wan profeiti, ma a no dati wawan. 
MAT.11.10	Bika fu Yohanes a skrifi taki:
