GEN.1.1	Diad gapoy gapo nen pinalsa na Dios iray katawenan tan say dalin,
GEN.10.13	Saray kabyangay boleg nen Egipto et saray totoon taga Lydia, Anam, Lehab, Naftuh, 
GEN.10.14	Patrus, Cuslu, tan Creta a sengeg na saray Filisteo.
GEN.10.15	Say pangulowan ya anak nen Canaan et si Sidon, tan say kumadwa si Het. 
GEN.10.16	Si Canaan et sengeg met na saray Jebuseo, Amorreo, Gergeseo, 
GEN.10.17	Heveo, Arkeo, Sineo, 
GEN.10.18	Arvadeo, Zemareo, tan Hamateo. Kinmayat ira yan boleg a Cananeo. 
GEN.10.19	Say nasasakopan dan dalin, manlapud Sidon, et nampaabalaten ya anggad Gerar, diad abay na Gaza, tan nampabokig ya anggad Sodoma, Gomorra, Adma, tan Zeboim, diad abay na Lasa. 
GEN.10.20	Sikara yay kabyangay boleg nen Ham; manaayam so balang sakey ed sikara diad dilin tribu tan bansa to, tan walay dilin salita na balang tribu.
GEN.10.21	Si Sem a pangulowan ya agi nen Jafet so sengeg na amin da ray Hebreo. 
GEN.10.22	Saray lalakin anak to sikara di Elam, Asur, Arpaksad, Lud, tan Aram. 
GEN.10.23	Saray kabyangay boleg nen Aram et saray totoon taga Uz, Hul, Geter, tan Mesek. 
GEN.10.24	Si Arpaksad so ama nen Sela ya ama nen Eber. 
GEN.10.25	Duaray anak nen Eber: Peleg
GEN.10.26	Saray kabyangay boleg nen Joktan et saray totood Almodad, Selef, Hazarmavet, Jerah, 
GEN.10.27	Hadoram, Uzal, Dikla, 
GEN.10.28	Obal, Abimael, Saba, 
GEN.10.29	Ofir, Havila, tan Jobab. Si Joktan so sengeg da ra yan amin a totoo. 
GEN.10.30	Say dalin a panaayaman da sakop toy manlapud Mesa ya anggad Sefar, diad nipokdul a pasen ed bokig. 
GEN.10.31	Sikara yay kabyangay boleg nen Sem; manaayam so balang sakey ed dilin tribu to tan bansa to, tan walay dilin salita na balang tribu.
GEN.10.32	Si Noe so sengeg na amin da ra yan totoo, a walay bansa ra tan kailalakan da. Kasumpal na delap, saray anak nen Noe so sengeg na amin a totood balang bansa ed tapew na dalin.
GEN.11.1	Nen saman saksakey so salita tan panagbalikas na amin a katoowan ed intiron mundo. 
GEN.11.2	Nen amaarap irad bokig, asabi ray patar ed Babilonia tan nanayam irad man. 
GEN.11.3	Inkuandad sakey tan sakey, “Manggawa tayoy laryo tan palbaen tayo ran maung.” Kanyan wala ray laryo ra a pinagkabato ra, tan alkitran a pinagkasiminto. 
GEN.11.4	Insan inkuanda, “Mangipaalagey tayoy sakey a siudad a walay tori ton toktokdulen toy tawen, pian ombantug itayo ta ag la pigan nikaykayat itayod intiron mundo.”
GEN.11.5	Inmakseb so 
GEN.11.6	insan inkuanto, “Natan, saksakey ira yan totoo tan saksakey so salita ra. Gapo labat ya na getma ran gawaen. Ag mabayag, nagawaan da lay labalabay dan gawaen. 
GEN.11.7	Onakseb itayo tan pandoromaen tayoy salita ra, pian ag ira makapantatalusan.” 
GEN.11.8	Inkayat ira sirin na 
GEN.11.9	Babilonia
GEN.11.10	Sikara yay kabyangay boleg nen Sem. Kalabas na duay taon kayari to may linmabas a delap, si Sem, nen mantaon na sanlasus, walay anak ton laki a manngaray Arpaksad. 
GEN.11.11	Nambilay ni na liman lasus a taon tan wala ni ray arum ya anak ton lalaki tan bibii.
GEN.11.12	Nen mantaon na talomplo tan lima si Arpaksad, awalaay ilalak a laki a si Sela; 
GEN.11.13	nambilay ni na apat a lasus tan taloy taon tan wala ni ray arum ya anak ton lalaki tan bibii.
GEN.11.14	Nen mantaoy talomplo si Sela, walay anak ton laki a si Eber; 
GEN.11.15	nambilay ni na apat a lasus tan taloran taon tan wala ni ray arum ya anak ton lalaki tan bibii.
GEN.11.16	Nen mantaoy talomplo tan apat si Eber, walay anak ton laki a si Peleg; 
GEN.11.17	nambilay ni na apat a lasus tan talomplon taon tan wala ni ray arum ya anak ton lalaki tan bibii.
GEN.11.18	Nen mantaon na talomplo si Peleg, walay anak ton laki a si Reu; 
GEN.11.19	nambilay ni na duan lasus tan siamira a taon tan wala ni ray arum ya anak ton lalaki tan bibii.
GEN.11.20	Nen mantaon na talomplo tan dua si Reu, walay anak ton laki a si Serug; 
GEN.11.21	nambilay ni na duan lasus tan piton taon tan wala ni ray anak ton lalaki tan bibii.
GEN.11.22	Nen mantaon na talomplo si Serug, walay anak ton laki a si Nacor; 
GEN.11.23	nambilay ni na duan lasus taon tan wala ni ray arum ya anak ton lalaki tan bibii.
GEN.11.24	Nen mantaon na duamplo tan siam si Nacor, walay anak ton laki a si Tare; 
GEN.11.25	nambilay ni na sanlasus tan labinsiam taon tan wala ni ray arum ya anak ton lalaki tan bibii.
GEN.11.26	Nen mantaon na pitomplo si Tare, walay anak ton lalaki a di Abram, Nacor, tan Haran.
GEN.11.27	Sikara yay kabyangay boleg nen Tare: si Tare so ama di Abram, Nacor, tan Haran. Si Haran so ama nen Lot, 
GEN.11.28	tan inatey si Haran diad dilin baley ton Ur na Babilonia nen mabilay niy ama to. 
GEN.11.29	Inasawa nen Abram si Sarai, tan inasawa nen Nacor si Milca ya anak nen Haran ya ama nen Isca. 
GEN.11.30	Anggapoy anak nen Sarai, ta lepes.
GEN.11.31	Tinmaynan si Tare ed baley na Ur na Babilonia, a kaiba toy anak ton Abram, si apo ton Lot ya anak nen Haran, tan si manugang ton Sarai ya asawa nen Abram. Linma rad dalin na Canaan, et nen asabi ray dalin na Haran, diman la ra nanayam. 
GEN.11.32	Inatey diman si Tare nen mantaoy duan lasus tan lima.
GEN.12.1	Inkuan na 
GEN.12.2	Itdan ta kay amayamay a kabyangay boleg mo, tan magmaliw iran sakey a bansan matalonggaring. Bindisionan ta ka tan pagmaliwen kon bantug so ngaran mo, pian sikay pakabindisionan na arum a totoo.
GEN.12.3	Bindisionan ko ray mamindision ed sika,
GEN.12.3	Balet isambak iray mangisambad sika.
GEN.12.3	Diad panamegley mo bindisionan kon amin iray bansa ed mundo.”
GEN.12.4	Nen mantaon na pitomplo tan lima si Abram, tinaynan toy Haran, onung na imbagay 
GEN.12.5	Inawit nen Abram si Sarai ya asawa to, si Lot a kaanakan to, tan amin iray kayamanan tan saray aripen ya atipon da nen wala rad Haran, insan ira amaarap ed dalin na Canaan.
GEN.12.5	Nen sinmabi rad Canaan, 
GEN.12.6	tinmuloy si Abram ya anggad masanton kiew ed More, say masanton lugar na Sikem. (Diad saman a panaon, manaayam ni rad may Cananeo.) 
GEN.12.7	Pinmanengneng so 
GEN.12.8	Insan tinmuloy ed bandad abalaten diad nipokdul a pasen a nibokig na Betel, tan nankampod nanleetan na Betel tan Hai diad bokig. Nanggawa met diman na altar tan inggalang toy 
GEN.12.9	Manlapud man, tinmonda-tondan nanaayam ed nandoroman pasen ya anggad akasabid bandad abalaten a parti na Canaan.
GEN.12.10	Balet walay eras ed saman a lugar, et lapud mapalalo la linmay Abram ed bandad abalaten, diad Egipto, ta manayam diman a magano. 
GEN.12.11	Nen asingger to lan beltangen so ketegan a mamaarap ed Egipto, inkuantod kinen Sarai ya asawa to, “Maganggana kan bii. 
GEN.12.12	No nanengneng da ka ray Egipsio, ibaga ran asawa ta ka. Pateyen da ak ed satan, balet bilayen da ka. 
GEN.12.13	Walay maung, ibagam ed sikaran agi ta ka, pian ag da ak pateyen, no ag ingen asikasoen da ak lapud sika.” 
GEN.12.14	Nen akasabi rad Egipto, anengneng a tua na saray tagad man a magangganay asawa nen Abram. 
GEN.12.15	Anengneng na pigarad saray opisyal na palasio tan imbalita rad ari so ontan lan ganggana to; kanyan inawit day Sarai ed palasio na ari. 
GEN.12.16	Lapud sikato, maung so imapangasikaso na ari ed kinen Abram tan initdan to na saray karniro tan kanding, saray baka tan asno, saray kamilyo tan pati saray aripen a lalaki tan bibii.
GEN.12.17	Balet lapud inalay ari si Sarai, say 
GEN.12.18	Impaawit na ari si Abram tan tinepet to, “Antoy ginawam ed siak? Akin et ag mo imbagad siak ya asawam manaya si Sarai? 
GEN.12.19	Akin et imbagam ya agim tan inabuloyan mon inalak ya asawa? Niay asawam, alam la tan taynan ki la!” 
GEN.12.20	Ingganggan na ari ray totoo to a paekalen da rad bansa, kanyan pinataynan day Abram, samay asawa to tan amin a kayaryan to.
GEN.13.1	Manlapud Egipto linmay Abram ed bandad abalaten na Canaan a kaiba to si Sarai ya asawa to tan amin a kayaryan to; akilad sikato si Lot. 
GEN.13.2	Mayamyaman lay Abram, ta amayamay la ray karniro, kanding, baka, pilak tan balituk to. 
GEN.13.3	Tinmaynan lamet diman tan nanalis-alis so nankampoan to ya anggad akasabid Betel. Insan asabi to may pasen a nanleetan na Betel tan Ai a nanayaman to nen saman 
GEN.13.4	tan nanggawaan toy altar. Diman to inggalang so 
GEN.13.5	Si Lot a kaiba nen Abram et wala met iray karniro to, kanding tan saray baka to; wala met so dilin pamilya to tan saray dilin aripen to. 
GEN.13.6	Kulang so pampastolan no manolup iran dua, ta dakerakel iray ayayep da. 
GEN.13.7	Lapud saya mabetbet so siblangan da ray pumapastol nen Abram tan saray pumapastol nen Lot. (Diad saman a panaon, manaayam nid man iray Cananeo tan saray Perezeo.)
GEN.13.8	Inkuanen Abram ed kinen Lot, “Sankanayon ita, tan ag nepeg a mansebeg iray totook tan saray totoom. 
GEN.13.9	Say maung, mansiyan ita la. Pilim so labalabay mon dalin. Lakad sakey a pasen; onla ak balet ed sananey.”
GEN.13.10	Ninengneng sirin nen Lot so kaliber-liber tan abantag ton say patar na Jordan ya anggad Zoar et dakel so danum to, a singa Tanamanan na 
GEN.13.11	Kanyan pinili nen Lot a betang to so intiron Patar na Jordan, insan amaarap diman ed bokig. Onyay impansian dan dua. 
GEN.13.12	Tinmilak si Abram ed Canaan, balet nanayam si Lot ed saray siudad diad patar ya asingger ed Sodoma. 
GEN.13.13	Maoges iray totood man; mapalaloy kasalanan dad 
GEN.13.14	Kasiput nen Lot, inkuan na 
GEN.13.15	amin a dalin a nabantag mo, iter kod sika tan diad saray kabyangay boleg mo, tan kayaryan mo ra ya anggad angga. 
GEN.13.16	Diad karakel na iter kod sikan kabyangay boleg mo, no bilangen mo ra singa ka mambibilang na dabuk. 
GEN.13.17	Natan sirin, liber mo yan dalin, ta iter kod sikan amin.” 
GEN.13.18	Inyalis nen Abram so tulda to ed abay na saray masanton kiew ed Mamre diad Hebron tan nanayam diman. Nanggawad man met na altar a para 
GEN.14.1	Saray apatiran arari a di Amrafel na Babilonia, Arioc na Elasar, Kedorlaomer na Elam, tan Tidal na Goiim 
GEN.14.2	et akibakal irad limaran arari a di Bera na Sodoma, Birsa na Gomorra, Sinab na Adma, Semeber na Ziboiim, tan say ari na Bela (o Zoar). 
GEN.14.3	Sarayan limaran ari nankakasakey ira tan impanoolup da ray sondalo ra ed Patar na Sidim ya Inatey a Dayat natan. 
GEN.14.4	Labinduay taon la ran walad silong na pakaoley nen Kedorlaomer, balet diad kumalabintalon taon nilabanan da. 
GEN.14.5	Diad kumalabinapat taon si Kedorlaomer, saray ararin kakaiba to, tan saray sondalo ra et linma ran linmaban ed saramay limara. Diad inyakar da tinalo da ray Refaita ed Astarot-Carnaim, saray Zuzita ed Ham, saray Emita ed Save-kiryataim. 
GEN.14.6	Tinalo da met iray Horeo diad kapalandeyan na Edom, tan inosilan da ra ya anggad Elparan, diad samput na kalawakan. 
GEN.14.7	Insan ira amoliktar, pinmawil irad Cades (Enmispat nen saman), sinakop da ray amin a dalin na saray Amalecita, tan tinalo da ray Amorreo a manaayam ed Hazazontamar.
GEN.14.8	Tinipon na saray ari na Sodoma, Gomorra, Adma, Zeboim, tan Bela ed patar na Sidim iray sondalo ra tan akilaban irad 
GEN.14.9	saray ari na Elam, Goiim, Babilonia, tan Elasar; limara laban ed apatira. 
GEN.14.10	Dakel diman iray maawang a bobun na alkitran, et nen ibabatikan day bakal ira may ari na Sodoma tan Gomorra naplag irad saraman a bobun, balet akabatik ed kapalandeyan ira may taloran ari. 
GEN.14.11	Inala na apatiran arari iray amin a walad Sodoma tan Gomorra, pati saray kakanen, insan la ra tinmaynan. 
GEN.14.12	Manaayam diman si Lot a kaanakan nen Abram, kanyan inala ra met tan amin a kayaryan to.
GEN.14.13	Balet walay toon akabatik tan imbaga to ra yan amin ed kinen Abram a Hebreo, a manaayam ed abay na saray masanton kiew nen Mamre ya Amorreo. Si Mamre tan di Escol tan Aner ya agagi to et kagampi ray Abram. 
GEN.14.14	Nen nadngelan nen Abram ya adakep si kaanakan to, tinawag ton amin iray totoo ton sarag day mibakal tan akatipon na talon lasus tan labinwalon lalaki. Inosilan to ya anggad Dan ira may apatiran arari. 
GEN.14.15	Kasabi tod man, impankadwa to ray totoo to, dinogpaan dad labi iray kalaban da tan tinalo da ra. Inosilan to ran anggad Hoba a walad baybay na Damasco, 
GEN.14.16	tan abawi to ray amin ya asamsam da. Abawi to met si Lot tan saray kayaryan to, pati saray bibii tan arum ni ran totoon adakep.
GEN.14.17	Nen pinmawil si Abram, kayari ton tinalo si Kedorlaomer tan saramay arum ya arari, inabet na ari na Sodoma diad Patar na Save (tatawagen met na Patar na Ari). 
GEN.14.18	Inabet met nen Melkisedek ya ari na Salem tan pari na Sankatageyan a Dios. Inawitan toy Abram na tinapay tan alak, 
GEN.14.19	binindisionan to, tan inkuanto, “Say Sankatageyan a Dios ya amalsay tawen tan dalin et bindisionan to komuy Abram. 
GEN.14.20	Nagalang komun so Sankatageyan a Dios ya angiter ed sikay pananalod saray kalaban mo.” Inter nen Abram ed kinen Melkisedek so kakaplo na amin ya asamsam to.
GEN.14.21	Inkuan na samay ari na Sodoma ed kinen Abram, “Kayaryan mo la tay asamsam mo; ipawil mo labat ed siak iray amin a totook.”
GEN.14.22	Inmebat si Abram, “Sambaan kod 
GEN.14.23	ya ag kon balut mangala na antokaman a kayaryan mo, anggan tinebey o sakey a bariber na sandalya. Ag mon balut nibagad satan, ‘Siak so nampayaman ed Abram.’ 
GEN.14.24	Anggapoy alaen kon para siak. Say birbiren ko labat a nalak saray inaakan na totook. Balet abuloyan yo ray kakaibak a di Aner, Escol, tan Mamre a mangalay betang da.”
GEN.15.1	Kasumpal to yan inkagawa, walay pasingayew ed kinen Abram tan arengel ton inkuan na 
GEN.15.2	Balet inkuanen Abram, “Katawan a 
GEN.15.3	Ag mo ak initday anak, kanyan say sakey ed saray aripen ko so manawir ed saray kayaryan ko.”
GEN.15.4	Arengel to lamet ya inkuan na 
GEN.15.5	Say 
GEN.15.6	Anisiay Abram ed 
GEN.15.7	Insan inkuan ed sikato na 
GEN.15.8	Balet tinepet nen Abram, “Katawan a 
GEN.15.9	Inmebat, “Awit ka diay sakey a baka, sakey a kanding, tan sakey a karniro, a mantaon iran amin na talora. Awit ka dia met na sakey a sibong na malapati tan sakey a palekpek.” 
GEN.15.10	Inawit nen Abram ira yan ayayep ed Dios, pinaldua to ra likud ed saramay manok, insan to ra impandarasig a nampepetekan so balang kapaldua. 
GEN.15.11	Dinapoan ira na saray buitri, balet inaabul ira nen Abram.
GEN.15.12	Nen onseselek lay agew, akaogip na malmalet si Abram, tan balbaleg a takot so sinmabid sikato. 
GEN.15.13	Inkuan na 
GEN.15.14	Balet dusaen koy bansan mangaripen ed sikara, tan dakel a kayamanan so awiten da no taynan da man a bansa. 
GEN.15.15	Sika, andokey so bilay mo, mareen so ipatey mo, insan ka nipompon. 
GEN.15.16	Onlabas so apatiran kailalakan kasakbayan a makapawil ira diay kabyangay boleg mo. Pansiansiaen kon panayamen ira diay Amorreo ya anggad alablabas lay inkaoges da, insan ko ra dusaen tan pataynanen.”
GEN.15.17	Nen sinmelek lay agew tan ambilonget la, biglan walay banga a manasasewek tan kiew a mandarlang a dinmalan ed nanleetan na saramay pinalduan laman na ayayep. 
GEN.15.18	Diad saman ya agew, akisipanan so Dios ed kinen Abram. Inkuanto, “Isipan kon iter ed saray kabyangay boleg mo yan dalin, manlapud ketegan na Egipto ya anggad Ilog na Eufrates, 
GEN.15.19	pati saray dalin da ray Cineo, Cinezeo, Cadmoneo, 
GEN.15.20	Heteo, Perezeo, Rafaita, 
GEN.15.21	Amorreo, Cananeo, Gergeseo, tan Jebuseo.”
GEN.16.1	Anggapoy anak nen Sarai ya asawa nen Abram. Walay aripen ton bii ya Egipsia a manngaray Agar, 
GEN.16.2	kanyan inkuantod kinen Abram, “Ag inyabuloy na 
GEN.16.3	kanyan inter nen Sarai ed sikato si Agar a piakdulan to. (Agawa ya nen samploy taon lan manaayam ed Canaan si Abram.) 
GEN.16.4	Inakdulan nen Abram si Agar, et nanlokun. Nen naamtaan nen Agar a malokun, nagmaliw a mapasirayew tan nilemlemew toy Sarai.
GEN.16.5	Inkuanen Sarai ed kinen Abram, “Kasalanan mo so panlelemlemew nen Agar ed siak.
GEN.16.6	Inmebat si Abram, “Aripen mo tan walad silong na pakayarim; gawam ed sikatoy labay mo.” Pinapairap nen Sarai si Agar, kanyan tinmaynan.
GEN.16.7	Inabet na anghil na 
GEN.16.8	tan inkuanto, “Agar ya aripen nen Sarai, nanlapwan mo tan iner so laen mo?”
GEN.16.8	Inmebat, “Ibabatikan koy amok a bii a si Sarai.”
GEN.16.9	Inkuanto may anghil sa 
GEN.16.10	Insan inyarum ton inkuan, “Itdan ta ka na saray kabyangay boleg mo a diad karakel da et anggapoy makabilang. 
GEN.16.11	Mananak kay sakey a laki, tan ingaran mo na Ismael,
GEN.16.12	Balet mambilay a singa atap ya asno so anak mo; magmaliw a kalaban toy amin a too tan labanan dan amin. Siyanan to ray amin a kakanayon to, ta kabosul to ra.”
GEN.16.13	Tinepet nen Agar ed sikaton dili, “Anengneng ko tan talaga so Dios, et mabilay ak ni?” Inngaran to sirin so 
GEN.16.14	Kanyan tatawagen na saray totoo imay bobun a walad nanleetay Cades tan Bered na “Say Bobun na Mabilay a Nanenengneng to Ak.”
GEN.16.15	Nananak si Agar na sakey a laki, tan inngaran to na Ismael. 
GEN.16.16	Wa lomplo tan anem lay taon nen Abram nen naanakan to si Agar.
GEN.17.1	Nen mantaoy siamaplo tan siam si Abram, pinmanengneng ed sikato so 
GEN.17.2	Misipanan ak ed sika tan itdan ta kay amayamay a kabyangay boleg mo.” 
GEN.17.3	Dinmakmomoy Abram ya anggad dalin so lupa to, insan inkuan na Dios. 
GEN.17.4	“Misipanan ak ed sika; pagmaliwen ta kan ama na amayamay a bansa. 
GEN.17.5	Aliwa lan Abram so ngaran mo, no ag ta Abraham
GEN.17.6	Amayamay so iter kod sikan kabyangay boleg mo, magmaliw iran amayamay a bansa, tan pigarad sikaray magmaliw ya arari.
GEN.17.7	“Tooren koy impisipanan kod sika tan saray kabyangay boleg mo diad arapen iran panaon, tan ipasen kon sakey ya andi-anggaan a sipanan. Siak so Dios mo tan siak so Dios na saray kabyangay boleg mo. 
GEN.17.8	Sangkaili kayo natan ed sayan dalin a panaayaman yo; iter ko yan dalin ed sika tan saray kabyangay boleg mo. Say intiron dalin na Canaan kayaryanen ya anggad angga na saray kabyangay boleg mo, tan siak so Dios da.”
GEN.17.9	Inkuan ni na Dios ed kinen Abraham, “Nakaukolan a tooren yo met so impisipanan kod sikayo, sika tan saray kabyangay boleg mo diad arapen a panaon. 
GEN.17.10	Nakaukolan a sika tan saray kabyangay boleg mo et pasegat yo so balang sakey a laki ed sikayo. 
GEN.17.11+GEN.17.12	Manlapud natan nakaukolan a pasegat yoy ogaw a laki no waloy agew to; pasegat yo met iray aripen a nianak ed abung yo tan saray aripen a sinaliw yod arum a bansa. Sikato yay tanda na sipanan tayo. 
GEN.17.13	Nakaukolan a mampasegat so balang sakey a laki ed sikayo, tan sikato yay tanda ed laman yo a pakanengnengan ya andi-anggaan so impisipanan kod sikayo. 
GEN.17.14	Siopamay lakin ag asegat et ag la nibilang a kabyangan na saray totook, ta ag to tinoor so impisipanan ko.”
GEN.17.15	Intuloy ni na Dios ya inkuan ed kinen Abraham, “Ag mo la tatawagen na Sarai so asawam; manlapu lad natan Sara so ngaran to. 
GEN.17.16	Bindisionan ko tan makaanak kad sikato na sakey a laki. Bindisionan ko, et magmaliw ya ina na saray bansa, tan wala ray magmaliw ya arari ed saray kabyangay boleg to.”
GEN.17.17	Dinmakmomo si Abraham ya anggad dalin so lupa to, balet akalek nen ninunot tod sikaton dili, “Makaanak ni kasiy sakey a lakin mantaon lay sanlasus? Mananak ni kasiy Sara, anta siamaplo lay taon to?” 
GEN.17.18	Inkuantod Dios, “Abuloyan mo lay Ismael a sikato lay mananawir ko!”
GEN.17.19	Balet inkuan na Dios, “Andi. Mananak na sakey a laki si Sara ya asawam tan ingaran mo na Isaac.
GEN.17.20	Dinengel koy kerew mo nipaakar ed kinen Ismael, kanyan bindisionan ko tan itdan koy amayamay ya anak tan amayamay a kabyangay boleg. Magmaliw ya ama na labinduan prinsipi, tan pagmaliwen kon sakey a bansa iray kabyangay boleg to. 
GEN.17.21	Balet tooren koy impisipanan kod anak mon Isaac ya iyanak nen Sara diad singa onyan panaon, no ontombuk a taon.” 
GEN.17.22	Tinmaynan lay Dios nen asumpal ya akisalita ed kinen Abraham.
GEN.17.23	Diad saman lamlamang ya agew, inonur nen Abraham so imbagay Dios, ta sinegat toy anak ton Ismael tan amin da ray lalakid abung to, pati saray aripen a nianak ed abung to tan saray aripen a sinaliw to. 
