GEN.1.1	Kezdetben teremtette Isten az eget és a földet. 
GEN.10.16	meg a jebúsziakat, az emóriakat, a girgásiakat, 
GEN.10.17	a hivvieket, az arkiakat és a színieket, 
GEN.10.18	az arvadiakat, a cemáriakat és a hamátiakat. Azután elszéledtek a kánaániak nemzetségei, 
GEN.10.19	úgyhogy a kánaániak területe Szidóntól Gerár irányában Gázáig, Sodoma, Gomora, Admá és Cebójim irányában Lesáig terjedt. 
GEN.10.20	Ezek Hám fiai nemzetségük, nyelvük, országaik és népeik szerint.
GEN.10.21	Születtek gyermekei Sémnek is, aki Héber összes fiainak ősatyja, Jáfetnek pedig testvérbátyja volt. 
GEN.10.22	Sém fiai: Élám, Assúr, Arpaksad, Lúd és Arám. 
GEN.10.23	Arám fiai: Úc, Húl, Geter és Mas. 
GEN.10.24	Arpaksad nemzette Selahot, és Selah nemzette Hébert. 
GEN.10.25	Hébernek is született két fia: az egyiknek Peleg volt a neve, mert az ő idejében váltak szét a föld népei. Testvérének Joktán volt a neve. 
GEN.10.26	Joktán nemzette Almódádot, Selefet, Hacarmávetet és Jerahot, 
GEN.10.27	Hadórámot, Úzált és Diklát, 
GEN.10.28	Óbált, Abímáélt és Sábát, 
GEN.10.29	Ófírt, Havílát és Jóbábot. Ezek mind Joktán fiai. 
GEN.10.30	Lakóhelyük Mésától Szefár irányában a keleti hegyekig terjedt. 
GEN.10.31	Ezek Sém fiai nemzetségük, nyelvük, országaik és népeik szerint.
GEN.10.32	Ezek Nóé fiainak a nemzetségei, származásuk szerint népekre tagolódva. Ezektől ágaztak szét a népek a földön az özönvíz után. 
GEN.11.1	Az egész földnek egy nyelve és egyféle beszéde volt. 
GEN.11.2	Amikor útnak indultak keletről, Sineár földjén egy völgyre találtak, és ott letelepedtek. 
GEN.11.3	Azt mondták egymásnak: Gyertek, vessünk téglát, és égessük ki jól! És a tégla lett az építőkövük, a földi szurok pedig a habarcsuk. 
GEN.11.4	Azután ezt mondták: Gyertek, építsünk magunknak várost és tornyot, amelynek teteje az égig érjen; és szerezzünk magunknak nevet, hogy el ne széledjünk az egész föld színén! 
GEN.11.5	Az 
GEN.11.6	Akkor ezt mondta az 
GEN.11.7	Gyerünk, menjünk le, és zavarjuk ott össze a nyelvüket, hogy ne értsék egymás nyelvét! 
GEN.11.8	Így szélesztette szét őket onnan az 
GEN.11.9	Ezért nevezték azt Bábelnek, mert ott zavarta össze az 
GEN.11.10	Ez Sém nemzetsége: Sém százéves volt, amikor Arpaksadot nemzette, két évvel az özönvíz után. 
GEN.11.11	Arpaksad születése után Sém ötszáz évig élt, és még nemzett fiakat és leányokat.
GEN.11.12	Arpaksad harmincöt éves volt, amikor Selahot nemzette. 
GEN.11.13	Selah születése után Arpaksad négyszázhárom évig élt, és még nemzett fiakat és leányokat. 
GEN.11.14	Selah harmincéves volt, amikor Hébert nemzette. 
GEN.11.15	Héber születése után Selah négyszázhárom évig élt, és még nemzett fiakat és leányokat. 
GEN.11.16	Héber harmincnégy éves volt, amikor Peleget nemzette. 
GEN.11.17	Peleg születése után Héber négyszázharminc évig élt, és még nemzett fiakat és leányokat. 
GEN.11.18	Peleg harmincéves volt, amikor Reút nemzette. 
GEN.11.19	Reú születése után Peleg kétszázkilenc évig élt, és még nemzett fiakat és leányokat. 
GEN.11.20	Reú harminckét éves volt, amikor Szerúgot nemzette. 
GEN.11.21	Szerúg születése után Reú kétszázhét évig élt, és még nemzett fiakat és leányokat. 
GEN.11.22	Szerúg harmincéves volt, amikor Náhórt nemzette. 
GEN.11.23	Náhór születése után Szerúg kétszáz évig élt, és még nemzett fiakat és leányokat. 
GEN.11.24	Náhór huszonkilenc éves volt, amikor Tárét nemzette. 
GEN.11.25	Táré születése után Náhór száztizenkilenc évig élt, és még nemzett fiakat és leányokat.
GEN.11.26	Táré hetvenéves volt, amikor Abrámot, Náhórt és Háránt nemzette. 
GEN.11.27	Ez Táré nemzetsége: Táré nemzette Abrámot, Náhórt és Háránt. Hárán nemzette Lótot.
GEN.11.28	Hárán meghalt még apja életében a szülőföldjén, Úr-Kaszdímban. 
GEN.11.29	Abrám és Náhór megházasodtak: Abrám feleségének Száraj volt a neve, Náhór feleségének pedig Milká volt a neve: ő Háránnak, Milká apjának és Jiszká apjának volt a leánya. 
GEN.11.30	Száraj azonban meddő volt, nem volt gyermeke. 
GEN.11.31	Táré fogta fiát, Abrámot és Lótot, fiának, Háránnak a fiát és menyét, Szárajt, fiának, Abrámnak a feleségét, és elindult velük Úr-Kaszdímból, hogy Kánaán földjére menjen. Eljutottak Háránig, és ott letelepedtek. 
GEN.11.32	Táré kétszázöt éves volt, amikor meghalt Háránban.
GEN.12.1	Az 
GEN.12.1	Menj el földedről,
GEN.12.1	rokonságod közül és atyád házából
GEN.12.1	arra a földre, amelyet mutatok neked! 
GEN.12.2	Nagy néppé teszlek, és megáldalak,
GEN.12.2	naggyá teszem nevedet, és áldás leszel. 
GEN.12.3	Megáldom a téged áldókat,
GEN.12.3	s megátkozom a téged gyalázókat.
GEN.12.3	Általad nyer áldást a föld minden nemzetsége. 
GEN.12.4	Abrám elment, ahogyan azt az 
GEN.12.5	Fogta Abrám Szárajt, a feleségét és Lótot, a testvére fiát meg minden szerzeményüket, amit csak szereztek, mindenkit, akire Háránban tettek szert, és elindultak, hogy Kánaán földjére menjenek. El is érkeztek Kánaán földjére. 
GEN.12.6	Majd átvonult Abrám az országon egészen a sikemi szenthelyig, Móre tölgyfájáig. Akkor még kánaániak éltek ezen a földön. 
GEN.12.7	Az 
GEN.12.8	Onnan továbbvonult a Bételtől keletre eső hegyvidékre, és felverte sátrát: Bétel esett nyugatra, Aj pedig keletre. Oltárt épített ott az 
GEN.12.9	Azután útnak indult Abrám, és továbbvonult a Délvidék felé.
GEN.12.10	Egyszer éhínség támadt azon a földön. Ekkor lement Abrám Egyiptomba, hogy jövevényként ott tartózkodjék, mert súlyos volt az éhínség azon a földön. 
GEN.12.11	Amikor már közel járt Egyiptomhoz, ezt mondta feleségének, Szárajnak: Nézd, tudom, hogy szép asszony vagy. 
GEN.12.12	Ha meglátnak az egyiptomiak, azt mondják majd: Ez a felesége! És engem megölnek, téged pedig életben hagynak. 
GEN.12.13	Mondd hát azt, hogy a húgom vagy, hogy jó sorom legyen általad, és ne öljenek meg miattad!
GEN.12.14	Így is történt. Amikor Abrám Egyiptomba érkezett, az egyiptomiak látták, hogy nagyon szép az asszony. 
GEN.12.15	A fáraó főemberei is meglátták őt, dicsérték a fáraónak, és elvitték az asszonyt a fáraó házába. 
GEN.12.16	Abrámnak pedig jó sora lett a felesége által: lettek neki juhai, marhái és szamarai, szolgái és szolgálóleányai, szamárkancái és tevéi. 
GEN.12.17	De nagy csapásokkal sújtotta az 
GEN.12.18	Hívatta azért a fáraó Abrámot, és ezt mondta: Mit tettél velem? Miért nem mondtad meg nekem, hogy a feleséged? 
GEN.12.19	Miért mondtad, hogy a húgod? Csak ezért vettem feleségül. Most aztán itt a feleséged, fogd, és menj! 
GEN.12.20	Embereket is rendelt mellé a fáraó, és azok kivezették őt, feleségét és mindenét, amije csak volt.
GEN.13.1	Abrám feljött Egyiptomból a feleségével és mindenével együtt, amije volt. Lót is vele jött a Délvidékre. 
GEN.13.2	Abrámnak igen tekintélyes vagyona volt: jószága, ezüstje és aranya. 
GEN.13.3	A Délvidékről továbbvonult előző szállásai mentén egészen Bételig, addig a helyig, ahol korábban is sátorozott Bétel és Aj között, 
GEN.13.4	annak az oltárnak a helyéig, amelyet ott először készített. Ott segítségül hívta Abrám az 
GEN.13.5	De Lótnak is, aki Abrámmal ment, voltak juhai, marhái és sátrai, 
GEN.13.6	és az a föld nem bírta eltartani őket, hogy együtt lakjanak. Olyan sok volt a szerzeményük, hogy nem lakhattak együtt. 
GEN.13.7	Össze is vesztek Abrám jószágának a pásztorai Lót jószágának a pásztoraival. Akkor még a kánaániak és a perizziek is ott laktak azon a földön. 
GEN.13.8	Azért Abrám ezt mondta Lótnak: Ne legyen viszály köztem és közted, az én pásztoraim és a te pásztoraid között, hiszen rokonok vagyunk! 
GEN.13.9	Hát nincs előtted az egész ország? Válj el tőlem! Ha te balra tartasz, én jobbra megyek, ha te jobbra mégy, én balra térek.
GEN.13.10	Ekkor Lót körülnézett, és látta, hogy a Jordán egész környéke bővizű föld. Mert mielőtt elpusztította az 
GEN.13.11	Lót tehát a Jordán egész környékét választotta magának, és elindult Lót kelet felé. Így váltak el egymástól. 
GEN.13.12	Abrám Kánaán földjén lakott, Lót pedig a Jordán környékén levő városokban telepedett le, és egészen Sodomáig sátorozott. 
GEN.13.13	A sodomai férfiak pedig igen romlottak és vétkesek voltak az 
GEN.13.14	Az 
GEN.13.15	Azt az egész földet, amelyet látsz, neked és a te utódaidnak adom örökre. 
GEN.13.16	Olyanná teszem utódaidat, mint a föld porát: aki meg tudja számolni a föld porát, az tudja megszámolni majd a te utódaidat is. 
GEN.13.17	Indulj hát, járd be ezt a földet széltében-hosszában, mert majd neked adom! 
GEN.13.18	Így vonult tovább Abrám a sátraival, és letelepedett Mamré tölgyesében, amely Hebrónban van, majd oltárt épített ott az 
GEN.14.1	Történt pedig Amráfelnek, Sineár királyának, Arjóknak, Ellászár királyának, Kedorláómernek, Élám királyának és Tidálnak, Góim királyának az idejében, 
GEN.14.2	hogy ezek háborút indítottak Bera, Sodoma királya, Birsa, Gomora királya, Sináb, Admá királya, Seméber, Cebójim királya és Bela, azaz Cóar királya ellen. 
GEN.14.3	Mindezek a Sziddím-völgyben egyesültek, ahol most a Sós-tenger van. 
GEN.14.4	Tizenkét évig szolgálták Kedorláómert, de a tizenharmadik esztendőben fellázadtak. 
GEN.14.5	Ezért a tizennegyedik esztendőben eljött Kedorláómer a vele tartó királyokkal, és megverték a refáiakat Asterót-Karnaimban, a zúziakat Hámban, az émieket Sávé-Kirjátaimban 
GEN.14.6	és a hóriakat a maguk hegyvidékén, a Széíren, egészen Él-Páránig, amely a puszta mellett van. 
GEN.14.7	Azután megfordultak, és Én-Mispátba, azaz Kádésba mentek, leverték az amálékiak egész mezejét és az emóriakat is, akik Hacecón-Támárban laktak. 
GEN.14.8	Kivonult tehát Sodoma királya, Gomora királya, Admá királya, Cebójim királya és Bela, azaz Cóar királya is, és a Sziddím-völgyben csatarendbe álltak 
GEN.14.9	Kedorláómerral, Élám királyával, Tidállal, Góim királyával, Amráfellal, Sineár királyával és Arjókkal, Ellászár királyával szemben: négy király öt ellen. 
GEN.14.10	A Sziddím-völgy tele volt szurokforrásokkal. Amikor Sodoma és Gomora királyai megfutamodtak, beleestek azokba, a megmaradtak pedig a hegységbe futottak. 
GEN.14.11	Elvitték Sodoma és Gomora minden jószágát és minden eleségét, azután elvonultak. 
GEN.14.12	Elvitték Lótot is, Abrám testvérének a fiát jószágával együtt, és elvonultak. Ő akkor Sodomában lakott. 
GEN.14.13	De jött egy menekült, és hírt hozott a héber Abrámnak, aki akkor az emóri Mamrénak, Eskól és Anér testvérének a tölgyesében lakott. Ők Abrám szövetségesei voltak. 
GEN.14.14	Amint meghallotta Abrám, hogy unokaöccse fogságba esett, fölfegyverezte háromszáztizennyolc legényét, akik a házánál születtek, és Dánig üldözte őket. 
GEN.14.15	Éjszaka azután csapatokra oszlottak, szolgáival együtt rájuk támadt, megverte és üldözte őket egészen Hóbáig, amely Damaszkusztól északra van. 
GEN.14.16	Visszahozott minden jószágot. Visszahozta unokaöccsét, Lótot is jószágával együtt, meg az asszonyokat és a népet is.
GEN.14.17	Miután így megverte Kedorláómert és a vele tartó királyokat, visszatért. Sodoma királya pedig kivonult eléje a Sávé-völgybe, azaz a Király-völgybe.
GEN.14.18	Melkisédek, Sálém királya kenyeret és bort vitt ki eléje. Ő a Felséges Isten papja volt, 
GEN.14.19	megáldotta őt, és ezt mondta:
GEN.14.19	Áldott vagy, Abrám, a Felséges Isten előtt,
GEN.14.19	aki az eget és a földet alkotta!
GEN.14.20	És áldott a Felséges Isten,
GEN.14.20	mert kezedbe adta ellenségeidet! 
GEN.14.20	Abrám pedig tizedet adott neki mindenből.
GEN.14.21	Sodoma királya ezt mondta Abrámnak: Add nekem az embereket, a jószágot pedig tartsd meg magadnak! 
GEN.14.22	De Abrám így válaszolt Sodoma királyának: Fölemelt kézzel esküszöm az 
GEN.14.23	hogy egy szál fonalat vagy egy saruszíjat sem veszek el mindabból, ami a tied, hogy ne mondhasd: Én tettem gazdaggá Abrámot. 
GEN.14.24	Rólam ne essék szó, csak arról, amit megettek a legények, meg azoknak a férfiaknak a részéről, akik velem tartottak: Anér, Eskól és Mamré kapják meg a részüket.
GEN.15.1	Ezek után az események után így szólt az 
GEN.15.1	Ne félj, Abrám! Én vagyok a pajzsod:
GEN.15.1	jutalmad igen bőséges. 
GEN.15.2	De Abrám ezt mondta: Ó, Uram, 
GEN.15.3	Nem adtál nekem utódot – mondta Abrám –, ezért egy házamnál született szolga lesz az örökösöm. 
GEN.15.4	Ám ekkor így szólt hozzá az 
GEN.15.5	Majd kivezette az 
GEN.15.6	Abrám hitt az 
GEN.15.7	Azután ezt mondta neki: Én az 
GEN.15.8	Abrám ezt kérdezte: Ó, Uram, 
GEN.15.9	Ezt mondta neki: Hozz nekem egy hároméves üszőt, egy hároméves kecskét és egy hároméves kost, egy gerlicét és egy galambot! 
GEN.15.10	Elhozta neki mindezeket, azután középen kettéhasította őket, és mindegyiknek a két felét egymással szemben helyezte el; a madarakat azonban nem hasította ketté. 
GEN.15.11	Ekkor ragadozó madarak szálltak a húsdarabokra, de Abrám elkergette őket. 
GEN.15.12	Napnyugtakor aztán Abrám mély álomba zuhant, és rémítő nagy sötétség borult rá. 
GEN.15.13	Ekkor az 
GEN.15.14	De ítéletet tartok azon a népen is, amelyet szolgálnak, és azután majd nagy vagyonnal kijönnek onnan. 
GEN.15.15	Te pedig békességgel térsz őseidhez, és késő vénségedben temetnek el. 
GEN.15.16	Csak a negyedik nemzedék tér vissza ide, mert az emóriak gonoszsága még nem telt be.
GEN.15.17	Amikor lement a nap, és koromsötét lett, hirtelen füstölgő kemence és tüzes fáklya ment át ezek között a húsdarabok között. 
GEN.15.18	Ezen a napon kötött az 
GEN.15.19	a kénieket, a kenizzieket és a kadmóniakat, 
GEN.15.20	a hettitákat, a perizzieket és a refáiakat, 
GEN.15.21	az emóriakat és a kánaániakat, a girgásiakat és a jebúsziakat.
GEN.16.1	Száraj, Abrám felesége nem szült Abrámnak gyermeket. De volt Szárajnak egy egyiptomi szolgálóleánya, akinek Hágár volt a neve. 
GEN.16.2	Száraj ezt mondta Abrámnak: Íme, az 
GEN.16.3	Akkor Száraj, Abrám felesége fogta szolgálóleányát, az egyiptomi Hágárt, és férjéhez, Abrámhoz adta feleségül; Abrám akkor már tíz éve Kánaán földjén lakott.
GEN.16.4	Abrám bement Hágárhoz, az pedig teherbe esett. Amikor látta, hogy terhes, úrnőjének nem volt többé becsülete előtte. 
GEN.16.5	Ezért Száraj ezt mondta Abrámnak: Miattad ért engem sérelem! Magam adtam öledbe a szolgálóleányomat, de látja, hogy teherbe esett, és nincs előtte becsületem. Ítéljen ügyünkben az 
GEN.16.6	Abrám így felelt Szárajnak: Hiszen a te szolgálóleányod, a te kezedben van: csinálj vele, amit jónak látsz! Ettől fogva olyan rosszul bánt vele Száraj, hogy az elfutott tőle.
GEN.16.7	Az 
GEN.16.8	és ezt mondta: Hágár, Száraj szolgálóleánya! Honnan jössz, és hová mégy? Ő így felelt: Úrnőm elől, Száraj elől futok. 
GEN.16.9	Azt mondta neki az 
GEN.16.10	Ezt is mondta neki az 
GEN.16.11	Majd ezt mondta neki az 
GEN.16.11	Íme, teherbe estél, és fiút fogsz szülni.
GEN.16.11	Nevezd Izmaelnek, mert hallott az 
GEN.16.12	Szilaj ember lesz ő, akár egy vadszamár.
GEN.16.12	Kezet emel mindenkire, de őrá is mindenki;
GEN.16.12	nem törődik testvéreivel, úgy választ táborhelyet magának. 
GEN.16.13	Azután Hágár így nevezte az 
GEN.16.14	Ezért nevezik azt a kutat Lahajrói-kútnak. Ott van most is Kádés és Bered között. 
GEN.16.15	Ezután fiút szült Hágár Abrámnak. Abrám Izmaelnek nevezte a fiát, akit Hágár szült. 
GEN.16.16	Abrám nyolcvanhat esztendős volt, amikor Hágár Izmaelt szülte Abrámnak.
GEN.17.1	Amikor Abrám kilencvenkilenc éves volt, megjelent Abrámnak az 
GEN.17.1	Én vagyok a Mindenható Isten.
GEN.17.1	Járj színem előtt, és légy feddhetetlen! 
GEN.17.2	Megajándékozlak szövetségemmel,
GEN.17.2	és nagyon-nagyon megszaporítom utódaidat. 
GEN.17.3	Ekkor Abrám arcra borult, Isten pedig így szólt hozzá:
GEN.17.4	Ez lesz az én szövetségem veled:
GEN.17.4	Sok nép atyja leszel!
GEN.17.5	Nem neveznek többé Abrámnak,
GEN.17.5	hanem Ábrahám lesz a neved,
GEN.17.5	mert sok nép atyjává teszlek. 
GEN.17.6	Nagyon-nagyon megszaporítom utódaidat,
GEN.17.6	népeket támasztok belőled,
GEN.17.6	királyok származnak tőled.
GEN.17.7	Szövetségre lépek veled, sőt utódaiddal is,
GEN.17.7	örök szövetségre minden nemzedékükkel.
GEN.17.7	Mert Istened leszek, és utódaidnak is. 
GEN.17.8	Neked és utódaidnak adom a földet,
