MAT.1.1	Jisu Khrista David atu ate Abraham sanao pa puhang pahang na jiekka shi. 
MAT.7.18	Ahra akunga hra no theira ra no ae akha chu hrano akunga ahra theira ra no ae. 
MAT.7.19	Ahra theira ra no akung lim ta chu tan weta sarmei ah denga hou ae. 
MAT.7.20	Chuna saruka mani ara nujuija nangei na manita dang ange.
MAT.7.21	“Keita arengpa, arengpa kokka chak am meelim ha wan rengram luttang no ae chuti weta wanram ma pathieng ahal ae mee na luttange. 
MAT.7.22	Atreemni rungnie ah leima tam malmashi ngeina keita rillange, Arengpa kani na naminga roumaril shuk no meh, akha chu naminga dejabol ta kom jul no meh akha chu leima tam angakpi kom ae unge? 
MAT.7.23	Hanachu keina athup am no lutta manita ril shuk kange, ‘keina nangei ta dang nonge hrano tullu lu ngei kakol hai thou wa thingo!’
MAT.7.24	“Chuna sarukka atu jongpa nangei kar sunga karou thei weta tullu lu malmashi chu alung chunga inn sha lungwar spa ae. 
MAT.7.25	Akha chu ru kalla surra tuijul hanga akha chu thirang ranga hanga inn na nam ma wa hal, chuti phao sunga tikne no ae, rouram chu alung chunga shak sou chu.
MAT.7.26	“Chuti weta atu jongpa nangei kar sunga karou theiveta karil jui no malmashi chu waipin chunga inn sha lungmo spa ae. 
MAT.7.27	Ru surra hang juija akha chu tuijul hangjuija hana chu thirang na inn na nam juija inn ha chu tu wa junga alok akui atik shukkae. Hana atik chu eya atripi ang sha!”
MAT.7.28	Jisu na rilsu nutienga wairul riha na machupi takpi lim ta angak shukkae. 
MAT.7.29	Rouram chu amo na chupi takpi hi rouphun ocha ngei hekti no ae leima tam arat ane akha hekta chupi ae.
MAT.8.1	Arengpu na mullon akha ah tumma majunga wairul riha na manu tieng jui ya. 
MAT.8.2	Hana raichi spa akha na arengpa maikunga huk hrun weta mokka ril. “Rengpa, ejonga keita ngeipi lea chu nangna keita thiengpi oh.”
MAT.8.3	Jisu na makut dokveta amota tham ma, “Keina nangta ngaipi inge” ta rilla, “Thiengjou oh!” Apha hana makka maraichi damso ae. 
MAT.8.4	Hana Jisu na makolla ril, “An no nangna atu akha kolla rilshukno oh. Chuti weta thingo thiempu kolla natakmak ri pi oh, akha chu mani kolla rou dang ranga akha chu Moses trongsan an nujuija pek phung shuk pe oh.”
MAT.8.5	Jisu na Kapharnahum malut juija ralmee riha mitpu na wa weta amota sanpi ranga sai. 
MAT.8.6	Amona ril, “Rengpa,” ka suuk akha hi innna pum ahui thi ah ati pi ol donga am meh.”
MAT.8.7	Jisu na amota ril, “Keina thing weta dampi ange amota.”
MAT.8.8	Hana ralmee riha mitpu na sange. Rengpa chunga keina trongsan peveta ka inn na wak kanghi kamatik am nonge chuti weta rengpa trongsan na pek na chakkom kasuuk ha dam mange. 
MAT.8.9	Rouram chu keikom mitpu akha thuija am minge hana kathuija kom karalmee am meh keina hita rillinge, “Thingo ta keina ril lea chu amona thing. Akhana wa-oh ta ril lea amona wa ae kasuuk ta kom hi ae ta ril lea amona hata ae.”
MAT.8.10	Jisu na rouhi theijuija angak shukka akha chu manu jui ngei ta ril, “Keina adiek rou rillinge. Israel ngei karra phao sunga kom hihekti ngoiring hek ti tuk nonge. 
MAT.8.11	Keina nangei ta rillinge nasu tienga akha chu nattak tienga mee leima phao weta Abraham Isaac akha chu Jacob hitta thangwan rengram ma reenbu hang hana ong ha ange. 
MAT.8.12	Chuti weta rengpa sanao ngei ta chu athiem awau wa denga hou ange amunt hana chu atrap arel la chak amange.” 
MAT.8.13	Hana Jisu na ralmee riha mitpu ta ril, “Thingo, nangoiring nujuija hata amokom chang shu oh.”
MAT.8.13	Hana pha makka masuuk kom dam so ae.
MAT.8.14	Jisu na Peter inn sunga lutjuija Pitar mapi na kut chunga atun nokka jalla am ri so. 
MAT.8.15	Jisu na makut tong pa chu atun nokka am ha dam so. Akha chu thou wa rengpa ta seba pha tolso.
MAT.8.16	Nitak tieng pha ah wakjuija dejabol akha chu hrano muihla na ruija rol mani lei ma tam ha makolla ruija phao ah akha chu hrano muihla lim pata tronglo chakka julla ana eja dampi. 
MAT.8.17	Nalim pa hi rouphu thiempu Isaiah na rilsa shuk so weh maril phur ha. “Rengpa na ringrei nungshi eja sanpi akha chu hrano rai eja kom amona dampi ti rou shuk ranga ae.”
MAT.8.18	Jisu na wairul riha na ahul tunga am mari ah, amona tuipi aralla thing ranga trongsan pe. 
MAT.8.19	Hana rouphun ocha na makolla phao weta ril, “Ocha amunt changhon nathing na kei jui ange.”
MAT.8.20	Jisu na sange, “Ramhui ngei ahur am meh akha chu awa ngei tarang kom abu am meh, chuti weta meesanao pa taranga chu alu kang te shi chek ti rang am no ae.”
MAT.8.21	Adang anujui mee akha na makolla ril, “Rengpa masha ah kei kapa ta wui thing ri tikkae.” 
MAT.8.22	Chuti weta Jisu na mokolla ril, “Kanutieng jui jo akha chu athi ngei na mani athi ngei ta wui shu oh.”
MAT.8.23	Hana amo na kung sunga lutta akha chu marui ngei nakom manutieng jui. 
MAT.8.24	Tuipi hana atipi tuijul hanga kung ha tui na shi ah wa so. Chuti weta Jisu chu jalla am songe. 
MAT.8.25	Arui ngei na thing weta amota hrang. “Rengpa kani ta san pi oh!” manina ril. “Ani thi ang so ae!”
MAT.8.26	Amo na ril, “Ngoiring bet nangei, elo wa haja ati ah chau?” hana amo na thou weta thirang ta ril pa chu tuijul ha ripta daiso ae.
MAT.8.27	Hana malmashi ngei na angak shukka saihlak. “Nahi ejongpa malmashi meh? Thirang akha chu tuijul nakom mariljui ae!”
MAT.8.28	Gadarene ram ralha tieng matung juija hlan kung hai thou wa tarik na mant apa ani na amota tuk hlak kanga phao ae. Manui ani ha ati pi akha changa am sarukka atu akha na lampi ha lalla thing nea no ae. 
MAT.8.29	“Chungthieng sanaopa kanuita nangna ejongpa di cha meh?” Hita au wa ril, apha ha pha matienga amunt hina kanui ta aol ana pe anga wa ah che?”
MAT.8.30	Amunt hana thou aram latakka vok ngei arak bakka am meh. 
MAT.8.31	Tarik na Jisu kolla nie ae, “Ejonga nangna kanuita julla hou ang ta lea chu vok ngei am na ah julla hla pi oh.”
MAT.8.32	Manita amo na ril, “Thingo!” hana pa chu mani na shukka thing weta vok ngei sunga lut so. Akha chu vok lim pa na leiral tienga tanna tuipi sunga lutta thi so.
MAT.8.33	Vok runga am ngei na husunga tanna thing weta shukka houphur lim akha chu tarik na mant ani hana rou takso. 
MAT.8.34	Hana husunga am limpana Jisu ta rihlak kanga akha chu mani na amota riso. Hana mani rijuija mani ram ma phao no ranga rilleh.
MAT.9.1	Jisu na kung chung weta maram mak hulok tienga phao ae. 
MAT.9.2	Hana Anno malmashi ngeina pum ahui athisa akha ta makut chunga jalpi weta ma am na ah rui ah phao Jisu na riweta pum ahui athi sa pata ril. “Kasanao oh riem jou oh; napak kom shil pi sange nangoiring jarra.”
MAT.9.3	Hina sarukka rouphun ocha ahre na manithei chakka rilleh, “Amo jong pana Chungthieng ta khrarim elshel ae!”
MAT.9.4	Jisu na mani lunghal dangpha ah ril, “Eje ranga nangei lungsunga hrano lunghal hal then ah chau? 
MAT.9.5	Napak shilpi sange, ta ril pa lea anoleh ‘thou weta thing jou oh rilpa hi hoipa na lok tek kang meh.’ 
MAT.9.6	Chuna nangei na meesanaopa na alei rama malmashi pak shilpi nea ae ti hi dang ranga ae hana amo na pum ahui athisa ta rilleh, “thou jou oh hana nakut kang choi weta na inn lam ma thing jou oh.”
MAT.9.7	Hana amo na thou weta ma inn tienga lea so ae. 
MAT.9.8	Amota ri wairul riha na atri ae chuti weta hijongpa ane hina taranga manina Chungthieng ta dom so weh.
MAT.9.9	Jisu na hana haithou mathing juija apa Mithew ta ri so sum thit na munt ofis hana onga am. Amo na rilleh “kanutieng juijo” hana Mithew na thou weta manutieng jui so.
MAT.9.10	Jisu na Mithew inn sunga bu bakha ah amlei ah sum hrai ngei lea pakchel ngei eja akha chu marui ngei kom makolla bakha ae. 
MAT.9.11	Pharisies ngei na nahi rijuija marui ngei ta mani na sai, “Alo sarukka nangei ocha na sum hrai ngei lea pak chel ngei hitta bakha ah meh?”
MAT.9.12	Rouhi Jisu na theijuija rilleh, “Pum ahra ngei taranga thiempu kanano ae chuti weta rai am ngei taranga ae. 
MAT.9.13	Chuti weta thing weta rou hi chu thingo alo tina pa mo nu ta kadit chu ringrei thei ha ae rithoi ha no ae, rou ram chu hina kaphao hi athieng ngei ta kok nonge, pak chel ngei taranga ae.”
MAT.9.14	Johon rui ngeina phao weta Jisu kolla sai, “Pharisies ngei lea kani na bu hai weta alo sarukka narui ngei chu hai no ah meh?”
MAT.9.15	Jisu na sange, “Taichang ang pa na am lei ah aphao atonpi ngeina alota ningshi them am manga meh? Mani karra matol lei ah! Chuna apha ha phao ange taichang ang pa ha mani kar hai thou rui ange; hana jui ja mani ha bu hai ange.
MAT.9.16	Chuna atu akha na pun alui ah punthar bal no ae rouram chu abal pun hana pun hata takkin pi ah atit na amunt ha hella tieng tit na change. 
MAT.9.17	Malmashi ngeina darkha tui ha tui-oium alui ah thal no ae, ejonga thal lea chu kui ah darkha tui sarange chuchak no wa tuium ngei kom amang change. Chuna sarukka manina darkha tui ha athar tuium ma thalla ani makha hrabakta doi ah shi ae.”
MAT.9.18	Amona manita tronga am leija, Jihudi rourilpa na ahuk hrun weta ril, “Kasanao nu akha atun makka thi so ae. Chuna nangna wa weta machunga nakut shipi lea chu amoha ringthou ange.”
MAT.9.19	Jisu na thou wa manutieng juija thing jui ah arui ngei na kom anu yuiye.
MAT.9.20	Hana nameinu akha akum asom ani athee tulla na am nu na Jisu linglut achul pa akienga tham so. 
MAT.9.21	Namei nu na athei chakka ril, “Ejonga keina malinglut akieng te chak halkom tham pha lea kei hi dam mange.”
MAT.9.22	Jisu na anungtienga hai lea ah nameinu ta ripha ah rille, “Kasanao nu oh riem jou oh” “nangoiring jarra hana dam pha so che,” hana mak apha hana namei nu ha dam so ae.
MAT.9.23	Jisu na Jihudi rourilpa inn sunga lut juija wairul riha na toutri hung-dar reiya trappa am ripha ah. 
MAT.9.24	Amo na ril, “Shukka thingo nangak sanao hi thi no ae jalla am ma sa ae” chuti weta mani na amo ta nuiso weh. 
MAT.9.25	Wairul riha na awaou ah shuk nutienga amo na lutveta nangak sanao kutta kai ah thouso oh-inlen ring thou so weh. 
MAT.9.26	Routhar hi hatieng ram lim thangso weh.
MAT.9.27	Jisu na amunt lha houwa wakyuiya mitcho ani na manutieng jui weta aowa rille, “David sanao pa kanuita ringrei ngei pi oh.”
MAT.9.28	Chuna amo na inn sunga malutjuija mitcho ani kom makolla luttolla amona manuita sai. “Keina nanuita dampi nea ae ti hi chu nanui na ngoiring ah chau?”
MAT.9.28	“Oh weh, Arengpa” manui na sang. 
MAT.9.29	Hana amona manui mit tong weta ril, “Ngoiring anujuija nanui kolla shuk shu oh.” 
MAT.9.30	Chuna manui mitha ripha nea ah Jisu na manui ta rou arit dolla shi, “Anno atu akha na kom na hi dangno shu oh.”
MAT.9.31	Chuti weta manuina mani ram tienga thing weta routhar hi thangpi so weh.
MAT.9.32	Hana haithou wa mani shukka thinga sharuina na ruija rol spa akha atrong shukno wa Jisu kolla ruija phao ae. 
MAT.9.33	Hana dijabol na makolhai thou julla hla nutienga atrong shukno spa ha tronga wairul rihana angak shukka ril, “Israel sunga hihakti mee sup ri-ya rino songe.”
MAT.9.34	Chuti weta Pharisies na ril, “Dijabol ngei jaitha jarra amona dijabol ta julla hla ae.”
MAT.9.35	Jisu na hulokka akha chu husung chang honna thing weta mani synagoge sunga chupi takpi ah ana eja ta dampi ah reng param hina taranga routhar hi takpi. 
MAT.9.36	Hana amona wairul riha ta mari juija lungshi ngei ae, rouram chu mani aol ana ha sanrang am no ah kelmo rungpa am no kelmo ngei hekti ae. 
MAT.9.37	Marui ngei ta amo na ril, sang pottang chu am hom meh chuti weta tullu lu mee chu atom te ae 
MAT.9.38	chuna sarukka arengpa kolla niyo oh, amo na sang pottang mee ha hla ange.
MAT.10.1	Amona marui asom ani ta kok weta hrano muihla ta julla hou nea rang akha chu rai eja ta dam pi nea rang jaitha pe ae. 
MAT.10.2	Ahalsha rui asom ani hina kokna, masha ah Saimon Pitar ta kok, akha chu Andrew manao; Zabedi sanao Jacob akha chu manao Johon. 
MAT.10.3	Philip akha chu Bartholomew; Thomas akhu chu Mithew sal hraipa, Alphaeus sanao Jacob akha chu Thaddaeus, 
MAT.10.4	Kananna Saimon akha chu Judas Iskarot Jisu ta jur pa.
MAT.10.5	Na asom ani hita Jisu na chupi ah hla ae manita. “Gentle (meejaty) ngei am na thingno oh anoleh Samaritans ngei hulokka kom lut no oh. 
MAT.10.6	Chuti weta Israel ngei inn sunga amangsa kelmo ngei ta lella jongo. 
MAT.10.7	Akha chu nathing juija hita rou rillo, thangwan rengram hi neiso ae. 
MAT.10.8	Ana (Rai) ngeita dampi oh, athi sa ta kom ringthoupi oh, Raichi ngei ta kom hra pi oh, dijabol takom julla hou oh, ariemsalla pha sou chu ariemshalla nangkom pe oh. 
MAT.10.9	Nangei sumhao sunga sona, rupa, akha chu sumsan kom choi no oh. 
MAT.10.10	Akha chu nalam taranga linglut ani anoleh huirang anoleh molbuk choino oh rouram chu tullu lu mee tarang abak pha ange.
MAT.10.11	Hana husunga akha chu hulokka nangei na ejonga lut juija atuna ae nea ang mo ti ha hrabakta jongo. Akha chu nangei na shukka thing malim ma amunt hana am mo. 
MAT.10.12	Nangei na inn sunga lut juija ariemma riemtuk pe oh. 
MAT.10.13	Chuna inn sung hana ejonga manae yaitha cha lea chu nangei kolla adai ha inn sung chunga am shu oh. Ejonga mani inn sungna matik chanoleh nangei adai ha nangei kolla lea shu oh. 
MAT.10.14	Akha chu ejonga atujong akha na nangei ta ariem ma wokpi no anoleh rou ngeipi noleh inn sung akha chu hulok hana nangei sukjuija nangei kaepha ah vokphul ha thaphur oh. 
MAT.10.15	Keina nangei kolla adiek rou rillinge atreem na routreem chu hajong hulok ngei ha Sodom akha chu Gomara na tieng hella sha tek kange.
MAT.10.16	Rammui ngei karra kelmonao hla hekta keina hla singe chuna sarukka arul hekta lung singo, akha chu wurhu hekta nalung nemmo. 
MAT.10.17	Malmashi ngei ta sing theiyo, manina nangei ta ulien changei kut chunga pe weta synagoge sunga rui lut weta nangei ta hoino hrano rou rillange. 
MAT.10.18	Hana chakno wa ka sarukka ram sunga reng ngei hana ram ronna am Governors ngei akha chu jat adang ngei kolla saro ei pi ange. 
MAT.10.19	Chuti weta mani na nangei ta hup pa mant juija ejongpa rou rillang mota ati no oh hana juija nangta ejong rou rillang mo rouha pe ange. 
MAT.10.20	Rouram chu rou ha nangei ril ah no weh chu-na pathieng muihla athieng na rille sa ae.
MAT.10.21	“Ulenao kar sunga kom ma ata na manao ta akha chu mapa na asanao ta athit ranga jur hlak kange akha chu unga ngei na kom mapa ngei ta an num no wa athit rang phao ae ange. 
MAT.10.22	Ka sarukka malmashi ngei na nangta anda ange, chuti weta atreem ni rungni phao sunga ratta dongthei ngei ta chu sanpi ange. 
MAT.10.23	Chuna nangta amunt akha ah sun rella ae juija ram a danga tanna thingo, keina adiek rou nakolla rillinge, meesanao pana jung matienga nangei na Israel hulok tunga rol nea ang no chau.
MAT.10.24	“Arui na ma ocha chunga am no ae, hana asuuk na amitpu chunga am no ae. 
MAT.10.25	Arui na ma ocha hekta akha chu asuukna amitpu hekta kai hal kom, ejonga inn amit puta manina Belzebul kok lea chu mani inn sunga am ngei ta chu eja hrano ming kok kang sa!
MAT.10.26	Chuti halkom manita ati no oh, rouram chu ril shuk kanglou athup rou ephao am no ae hana dang ang lou rou thuppa si ephao am no ae. 
MAT.10.27	Chuna keina nangei kolla janthiem ma karil rou ha nisuon na rillo, hana nakurra nathei rou ha inn chunga kalweta au shukko. 
MAT.10.28	Pum ta that nea ngeita eko ati no oh manina muihla ta chu that nea no ae hella natit ang chu pum akha chu muihla ta that weh ta sarmei kum ma yunna hou nea amo ta ting ati oh. 
MAT.10.29	Vashak awa anita ana paisa taranga jur no wa mo? akha chu Pathieng ahal ano wa chu mani karra akha phao nakom alei chunga tul no ae. 
MAT.10.30	Akha chu nalu wa tousam phao masing tella shi ae. 
MAT.10.31	Chuna saruka ekom ati no oh, nangei chu vashak ta hella aman tam meh.
MAT.10.32	“Atu jong akha na malmashi ngei maikunga keita ariem ma ngaipile chu keina kom thangwan ram ma pathieng kolla ariem ma ngaipi ange. 
MAT.10.33	Chuti weta atujong akha na malmashi ngei maikunga keita ngeinum no mee ha thangwan na pathieng mai kunga ah keina kom ngei ang no ae.
MAT.10.34	Alei ram ma kajunghi adai pe junge ta hal no oh, kajung hi adai pejung nonge chuti weta chamsai pe yung inge. 
MAT.10.35	Kajungna rou ram chu: Asanaopa na mapa ta anda rang, asanao nu na manu ta anda rang, amau na mani ta anda rang ae. 
MAT.10.36	Hana ehekta ma anda mee ha ma inn sunga shuk kange.
MAT.10.37	Atu jongpa na mapa manuta keita lella lungshi mee ha chu matik cha mee no ae hana atu jongpa manu mapa nakom asanao ta kei ta hella lungshi lea chu amo ha matik cha mee no ae. 
MAT.10.38	Akha chu atu yong akha na ma khross choi no weta kanutieng jui lea chu amo ha matik cha mee no ae. 
MAT.10.39	Atu motieng akha na aring rang jong lea chu amo ha mang ange, akha chu atu motieng akha na ka sarukka aring chang mang pi lea chu amo ha aring pha ange.
MAT.10.40	“Amona nangta ariemma langpi chu keita lang sa ae. Akha chu amo na keita ariem ma lang mee ha keita hla pata lasil la ae. 
MAT.10.41	Atujong akha na Chungthieng rou maril akha minga lasil lea chu Chungthieng rouphu hana lomman ha pha ange. Akha chu amo na dramochel akha ta dramochel mee ae ta la sil lea chu amo kom dramochel hana lomman pha ange. 
MAT.10.42	Hana asin te ngei kar sunga akha ta atu jong akha na karui ae ta siktui heisin akha te pe lea chu keina nangei kolla adiek rou ril linge ae mant ha sui no ah pha ange.
MAT.11.1	Jisuna arui asom anita machupi tlakka amo na Galily hulok hana chupi takpi rang akha chu rousam rang thingso weh.
MAT.11.2	Johon na raen inn sunga ma amlei ah Khrista lu tullu rou theijuija marui ngei ta amo na hla weta sai pi. 
MAT.11.3	“Phao ah am nang ha ajou cha meh? phao ang ha, ano lea kani na hakkang adang am song anga meh?”
MAT.11.4	“Jisu na sange lea jou oh hana Johon kolla nangei thei rou akha chu nangei mitta ri ha rillo ta. 
MAT.11.5	Amit cho meekom ri so weh hana kae tik meekom thingthei so ae Raichi ngei kom dam so ae akur set ngei kom thei pha so ae athi sa kom ringthou so ae akha chu sara ringrei ngei kolla ahra rou thar ahra ha theipi so. 
MAT.11.6	Akha chu atu jong na keita mada no mee lutta ae mee ha jaihra ae.”
MAT.11.7	Johon rui ngei na thingsu takka Jisu na wairul riha ngei mai kunga Johon hana rou ram ma ril thou so; “Ram rukka ejongpa ah nangna shukka thinga chau? thirang na ling pi alang ta mo? 
MAT.11.8	Nangei shukka thing chu ejongpa ri ah chau? ahra pun pai weta apa am ha? Hajong ahra pun pai ngei chu Reng hun taiten chunga am ngei sa ae. 
MAT.11.9	Anoleh ejongpa an ranga shukka thinga chao? Chungthieng rouphu mee mo? Ow weh keina nangei kolla adiek rou rillinge amo ha chu Chungthieng rouphu ta helle. 
MAT.11.10	Hiso weh masarukka jiekka shi sa, “Keina na matienga rouchoi mee akha hla ange. Amo na nalampi ha nama tienga tamasha ae pi hakkange. 
MAT.11.11	Keina nakolla adiek rou rillinge, namei ngei na don sanao lim sunga chu Johon Baptias hekti akharo alok don no songe chuti chun wanram ma sintekti amona makolhai thou wa lok tek kange. 
MAT.11.12	Johon Baptias na rou ril hai thou atun phao sunga wanram hi ane jaitha na nam ma ol donga am meh, hana nam ma mant mee ngei na shoun na am songe. 
MAT.11.13	Johon apha phao sunga Chungthieng rou phu ngei na akha chu Moses rouphun na rengram tarang trongsuk phure. 
MAT.11.14	Chuna ejonga nangna ngeinum ta lea, Johon hi Elija ha ae. 
MAT.11.15	Akur am malmashi lim na thei shu oh.
MAT.11.16	“Chuna ejongpa ngeita keina an hlak kang meh atun rija mee ngeita? Mani ha chu kaithil amunt na onga am unga ngei na adang ngeita au wa am hekti ae. 
