GEN.1.1	Muga na maki lobo ni rata, a Vure i rata rike a hunu a malala. 
GEN.9.10	turana a maki mahuri ra ri turane mua: a maka kadirovo, a sipsip a bulmakau, a kanirau, turana a maki lobo ri pagitala turane mua na agarungu, ra maka maki mahuri lobo na malala. 
GEN.9.11	Iau a rua a ngava dagi nau turane mua. A ta muholi, a marungulolo i uka ma ge ratapile tabu a maka maki mahuri. Muholi hateka a marungulolo i uka ma ge ratapile tabu a malala.”
GEN.9.12+GEN.9.13	Muri, a Vure i ta maea, “Iau a rua a kuriki na bubu, ge a nivakasiri na ngava dagi nau na maka maki mahuri na malala. Ra kuriki iea a nivakasiri na ngava dagi a rata turane mua, turana a maka maki mahuri ri turane mua na agarungu. Ra ngava iea i lakea tabu ne huriki a hamomu bara ri bele muri ma. 
GEN.9.14	Na tahuna iau a ru a bubu polomeli na hunu, a kuriki bara i pesi vona. 
GEN.9.15	Iau bara luhoi mule a ngava dagi a ratea turana a maka maki mahuri na malala. Nahea tabu a marungulolo ge ratapile lobo a maka maki mahuri. 
GEN.9.16	Na tahuna a kuriki i pesi na bubu, bara masia, a luhoi mule a ngava dagi i tabuli vakaroro turagu, turana a kabu na maki mahuri na malala.” 
GEN.9.17	Muri a Vure i takia e Noa, “A kuriki a nivakasiri na ngava dagi, a habia na maka maki mahuri na malala.”
GEN.9.18	E tune Noa to pagitala na agarungu ra nga: e Sem, e Ham, e Iapet. (E Ham e tamana e Kenan). 
GEN.9.19	re tune Noa nga, tou a vuhuna e huriki lobo. To vakabele e huriki, muri ri mariu viliha lae na malala.
GEN.9.20	E Noa a bakovi ni leho na hania, i vakatubu ni varo a vain na hania vona. 
GEN.9.21	Na parava tara, i ninu ranga vain vona, i manga, i mahita bobo pololilo na kape vona. 
GEN.9.22	E Ham e tamane Kenan, i masia e tamana i mahita bobo, lakea i pagitala, i vakalongo e turana rua polovavo. 
GEN.9.23	Lakea e Sem rua e Iapet ru nugu gaviri na bitone rua a varakia, ru laho bitona ru kavitagua e tamane rua, ra i mahita bobo. Ru matahere, a vuhuna ru koi ni masia e tamane rua i bobo. 
GEN.9.24	Na tahuna e Noa i hadongo, i palala a gina, ni vakalongo vona a naro i ratea vona e tuna, ra kabina ruru. 
GEN.9.25	Lakea e Noa i tahatea i ta maea,
GEN.9.25	“E Kenan ni gi ruduraha!
GEN.9.25	Bara ia a vorakato ne turana rua.”
GEN.9.26	Muri i ta maea tabu,
GEN.9.26	“Ni gi kavurike e BAKOVI DAGI, a Vure ne Sem,
GEN.9.26	pali e Kenan bara ia a vorakato ne Sem kunana.
GEN.9.27	A Vure ge hudo talea a hamone Iapet,
GEN.9.27	e huriki a hamona ri gi made turana a hamone Sem,
GEN.9.27	pali e Kenan ge ia a vorakato ne Iapet.”
GEN.9.28	Muri na marungulolo, e Noa i made tabu na pida i 350. 
GEN.9.29	A pida vona ni gi palupu lobo i 950, muri i mate.
GEN.10.1	Iea a nitane tune Noa ala tolu: e Sem, e Ham, e Iapet. Ra bakovi nga to vakabele muri na marungulolo e huriki e tune tou bakovi.
GEN.10.2	A rane huriki e tune Iapet, a bakovi, ra nga: e Gomer, e Magog, e Madai, e Iavan, e Tubal, e Mesek, e Tiras. 
GEN.10.3	A rane huriki e tune Gomer, a bakovi, ra nga: e Askenas, e Ripat, e Togama. 
GEN.10.4	A rane huriki e tune Iavan, a bakovi, ra nga: e Elisa, e Tarsis, e Kitim, e Dodanim. 
GEN.10.5	E huriki ri made tabukoi na dari ria a hamone Iavan. Ri mariu tala turana a kabu ne ria, a nita taku, ri lakea na robo takutaku ne ria.
GEN.10.6	A rane huriki e tune Ham, a bakovi, ra nga: e Kus, e Misram, e Put, e Kenan. 
GEN.10.7	A rane huriki e tune Kus, a bakovi, ra nga: e Seba, e Havila, e Sabta, e Rama, e Sabteka. E tune Rama a bakovi ra nga: e Seba e Dedan. 
GEN.10.8	E Kus i tahoka e tuna tara a rana e Nimrod. E Nimrod ia a ubu na malala. 
GEN.10.9	Na tahuna e huriki ri ngaru ni kavurike a bakovi tara bara ri ta maea, “A bakovi iea i manga e Nimrod, re BAKOVI DAGI i ratea ia a bakovi hateka na pinango.” 
GEN.10.10	E Nimrod i matakari a maka tanga dagi na robo nga: e Babel, e Erek, e Akad, e Kalne na robo e Babel. 
GEN.10.11	I pea a robo iea, i mariu lakea o Asiria i ratea vonga a tanga e Ninive, e Rehobot-Ir, e Kala, e Resen. 
GEN.10.12	A tanga dagi e Resen i pesi na kurukuruna e Ninive e Kala. 
GEN.10.13	A rane huriki e tuna e Misram ra nga: e Lud, e Anamim, e Lehab, e Naptu, 
GEN.10.14	e Patrus, e Kaslu (a vuhuna e huriki a Palestina), e Kaptor.
GEN.10.15	A rane huriki e tune Kenan a bakovi ra nga: e Sidon a tabua. E tarina e Het, 
GEN.10.16	e Iebus, e Amor, e Girgas, 
GEN.10.17	e Hivi, e Arki, e Sin, 
GEN.10.18	e Arva, e Semar, e Hamat.
GEN.10.18	Muri e huriki a kabu ne Kenan ri mariu viliha. 
GEN.10.19	A vanagi na robo e Kenan i tubu o Sidon, i polo lakea o Gerar, i lokovonga liu o Gasa, muri i kaogo vonga i lakea mai e Sodoma, e Gomora, e Adma, e Seboim, lakea i harena o Lasa. 
GEN.10.20	Re huriki a kabu nga, a hamone Ham, ri tahoka a nita ne ria takutaku, ri made ramai a kabu ne ria.
GEN.10.21	E tarina e Iapet a rana e Sem. E Sem tara i tahoka e huriki e tuna. E huriki a kabu ne Eber ria lobo ri mapoda tala ne Sem. 
GEN.10.22	A rane huriki e tune Sem bakovi, ra nga: e Elam, e Asur, e Arpaksad, e Lud, e Aram. 
GEN.10.23	A rane huriki e tune Aram bakovi, ra nga: e Us, e Hul, e Geter, e Mas. 
GEN.10.24	E Arpaksad e tamane Sela, e Sela e tamane Eber. 
GEN.10.25	E Eber i tahoka e tuna bakovi ala rua: e Ioktan, e Peleg. E Peleg ni gale maea, a vuhuna na tahuna iea e huriki ri vapida viliha lae. 
GEN.10.26	E Ioktan i tahoka e tuna ranga, a rane ria ra nga: e Almodad, e Selep, e Hasarmavet, e Ierah, 
GEN.10.27	e Hadoram, e Usal, e Dikla, 
GEN.10.28	e Obal, e Abimael, e Seba, 
GEN.10.29	e Opir, e Havila, e Iobab. E huriki a bakovi nga, ria e tune Ioktan.
GEN.10.30	A robo ri made vona i tubu o Mesa, i lokovonga o Separ na tabeke i vona a lolo na robo na nirikena haro. 
GEN.10.31	Re huriki a kabu nga a hamone Sem, ri tahoka a nita ne ria takutaku, ri made ramai a kabu ne ria.
GEN.10.32	Re huriki a bakovi nga ria a hamone huriki e tune Noa, ri made ramai a kabu ne ria takutaku. E huriki a kabu na malala ri mapoda tala ne ria muri na marungulolo.
GEN.11.1	Ngane e huriki na malala ri tahoka a nita i taku ri vata vona. 
GEN.11.2	Ri mariu lakea na nirikena haro ri matavisia a bilane Sinar, ri made vona.
GEN.11.3	Muri ri vata, ri ta maea, “Mu valai, si gi pipi, si gi rata kamumu a brik,
GEN.11.4	Muri ri ta maea, “Mu valai, si gi haea a vuhutanga ne hita. Ge pesi vona tara roho dagi, a mapana ge padoi a hunu, bara si tahoka a rane hita vona. Si gi made tata, i uka ma si gi mariu viliha lae na malala.”
GEN.11.5	Pali e BAKOVI DAGI i puru valai, ge kasisia a tanga dagi turana a mapana roho dagi e huriki a bakovi ri haea. 
GEN.11.6	Lakea e BAKOVI DAGI i ta maea, “Re huriki nga ri pesi taku, ri tahoka a nita i taku ri vakatubu ni haea a mapana roho, pali a ra maki ri luhoi ni rata, bara ri rata kunana. 
GEN.11.7	Te ge puru te ge vakavaroru a nitane ria, i uka ma ri gi valongokilala a ngava.”
GEN.11.8	Lakea, e BAKOVI DAGI i kalipida ria vonga, ri mariu viliha lae na malala, i uka ma ri hae tabua a vuhutanga iea. 
GEN.11.9	Ni gale a vuhutanga iea e Babel,
GEN.11.10	A nita na kabu ne Sem i maea: i lobo a pida i rua muri na marungulolo, e Sem i tahoka a pida i 100, lakea i vakabelea e Arpaksad. 
GEN.11.11	Muri i tahoka tabu a pida i 500, i vakabele e huriki e tuna a bakovi a ngatavine.
GEN.11.12	E Arpaksad i tahoka a pida i 35, i vakabelea e Sela. 
GEN.11.13	Muri i tahoka tabu a pida i 403, i vakabele e huriki e tuna a bakovi a ngatavine.
GEN.11.14	E Sela i tahoka a pida i 30, i vakabelea e Eber. 
GEN.11.15	Muri i tahoka tabu a pida i 403, i vakabele e huriki e tuna a bakovi a ngatavine.
GEN.11.16	E Eber i tahoka a pida i 34, i vakabelea e Peleg, 
GEN.11.17	muri i tahoka tabu a pida i 430, i vakabele e huriki e tuna a bakovi a ngatavine.
GEN.11.18	E Peleg i tahoka a pida i 30, i vakabelea e Reu, 
GEN.11.19	muri i tahoka tabu a pida i 209, i vakabele e huriki e tuna bakovi a ngatavine.
GEN.11.20	E Reu i tahoka a pida i 32, i vakabelea e Serug, 
GEN.11.21	muri i tahoka tabu a pida i 207, i vakabele e huriki e tuna a bakovi a ngatavine.
GEN.11.22	E Serug i tahoka a pida i 30, i vakabelea e Nahor, 
GEN.11.23	muri i tahoka tabu a pida i 200, i vakabele e huriki e tuna a bakovi a ngatavine.
GEN.11.24	E Nahor i tahoka a pida i 29, i vakabelea e Tera, 
GEN.11.25	muri i tahoka tabu a pida i 119, i vakabele e huriki e tuna a bakovi a ngatavine.
GEN.11.26	E Tera i tahoka a pida i 70, i vakabele e Abram, e Nahor, e Haran.
GEN.11.27	A nita na kabu ne Tera i maea: e Tera ia e tamane Abram, e Nahor, e Haran. E Haran ia e tamane Lot. 
GEN.11.28	Na tahuna e Tera i tabana ni mahuri, e tuna, e Haran, i mate na tanga ni poda ia vona o Ur, na robo e Kaldia. 
GEN.11.29	E Abram rua e Nahor ru tahoka e girihine rua. E Sarai, e girihine Abram. E Milka e girihine Nahor. E Milka rua e Iska, e tamane rua e Haran. 
GEN.11.30	E Sarai i lame, i uka e tuna.
GEN.11.31	E Tera i tuli e tuna e Abram, e tubuna e Lot (e tune Haran), e lahuana e Sarai (e girihine Abram), ri pea a tanga e Ur na robo ne Kaldia, ri mariu lakea o Kenan. Pali na tahuna ri bele o Haran, ri made vonga. 
GEN.11.32	E Tera i tahoka a pida i 205, muri i mate vonga o Haran.
GEN.12.2	Ga gamai ioe,
GEN.12.2	ga rata e huriki a kabu vomu ri gi ala kupo.
GEN.12.2	Ga ratea a ramu ge dagi,
GEN.12.2	go gamai e huriki.
GEN.12.3	Pali e rei a viri i ruduraha ioe, bara ruduraha ia.
GEN.12.3	Ne vomu kunana, ga gamai lobo
GEN.12.3	e huriki a bakovi na malala.”
GEN.12.4	Lakea e Abram i muri mai a nita i takia vona e BAKOVI DAGI, i vano. E Lot tara i vano turana. E Abram i tahoka a pida i 75 na tahuna i pea e Haran. 
GEN.12.5	I vano turana e girihina e Sarai, e Lot e tune tarina, e huriki a vora na leho, turana a maka mahala vona i vakabele o Haran. Ri havai maia a robo e Kenan, ri lokovonga, ri bele vonga.
GEN.12.6	Na tahuna ri bele o Kenan, ri lakea na hini i pesi vona a kai dagi ni gale e More, na tanga e Sekem. Na tahuna iea e huriki a Kenan ri made vona a robo iea. 
GEN.12.7	Pali e BAKOVI DAGI i bele ne Abram i ta maea, “Ga habia ne huriki a hamomu a malala iea.” Lakea i kisia vonga a dede-kedo na hini i bele vona e BAKOVI DAGI.
GEN.12.8	Pali muri i pea a hini ngi, i havai maia a lolo i pesi na tabeke na nirikena haro na tanga e Betel. I vakapesia vonga a kape vona na kurukuruna tanga e Betel na nirolona haro, e Ai na nirikena haro. I ratea vonga a dede-kedo ne BAKOVI DAGI, i vasileki vona a rane BAKOVI DAGI. 
GEN.12.9	Muri e Abram i malaga, i laho lokovonga na robo e Negev.
GEN.12.10	Ngane i bele vona a pago a tanga i made vona e Abram. Lakea, i puru o Egipto, ge tanga taro vonga, a vuhuna i hateka a pago. 
GEN.12.11	Na tahuna ta ge dili o Egipto, i varea e girihina, e Sarai, i ta maea, “Ioe a ngatavine mata kamumu. 
GEN.12.12	Bara ri matai ioe e huriki a bakovi o Egipto, bara ri ta maea, ‘Ra ngatavine iea e girihina.’ Muri bara ri rabalaki iau, pali bara o mahuri ke. 
GEN.12.13	O taki ria, ge ioe e kurabagu, pali iau bara ni rata kamumu, i uka ma ri gi rabalaki iau.”
GEN.12.14	E Abram i bele o Egipto, lakea e huriki a bakovi vonga ri masia e girihina i mata kamumu hateka. 
GEN.12.15	Lakea e huriki a bolekori ne Parao ri masia, ri vakalongoa e Parao. Muri ri tulia e Sara i lakea na ruma dagi vona. 
GEN.12.16	Lakea e Parao i rata kamumua e Abram, a vuhuna i pahaluhoia e Sara, ta e kurabana. Muri e Parao i habi ne Abram a maka sipsip, a bulmakau, a donki, a kamel a toga a kinana, turana e huriki a vora bakovi a ngatavine.
GEN.12.17	Pali e BAKOVI DAGI i vakamadihi na maka gilanga dagi e Parao, turana e huriki ri leho vona, a vuhuna e Sarai i made na ruma ne Parao. 
GEN.12.18	Lakea e Parao i galea e Abram, i nanea, “Ioe o rata navai iau? I navai i uka ma o ta kavakava vona a ngatavine iea ge girihimu? 
GEN.12.19	I navai a hini o tami iau o takia e Sarai ta e kurabamu, lakea iau a bolea ta ga parangi vona? Pali ra ngatavine iea, ia e girihimu! O bolea o vano turana!” 
GEN.12.20	Muri e Parao i rudu e huriki a tagari vona, ri tono tala o Egipto e Abram rua e girihina, turana a maki lobo ne rua.
GEN.13.1	Lakea e Abram rua e girihina ru pea e Egipto ru hamule sike o Negev, turana a maki lobo ne rua. E Lot tara i turane rua. 
GEN.13.2	E Abram i tahoka a mahala i kupo: a maka sipsip a bulmakau, a silva, a gol.
GEN.13.3	I pea e Negev i laho tope dili tope tala na maka tanga. Muri i vano i bele o Betel, na hini i vakapesi muga a kape vona na kurukuruna e Betel, e Ai, 
GEN.13.4	ra hini i kisi a dede-kedo muga vona. I vasileki tabu vonga ne BAKOVI DAGI.
GEN.13.5	Ngane e Lot, ra i laho turana e Abram, ia tara i tahoka a mahala i kupo. I tahoka a kabuna sipsip, a kabuna bulmakau. E huriki a vora vona ranga, ri ala kupo. 
GEN.13.6	Lakea i uka ma i kupo a malala ge vona a varili ne vone rua ru gu made palupu vona, a vuhuna i kupo a kabuna sipsip a bulmakau ne rua. 
GEN.13.7	Lakea e huriki a vora ne Abram ri vagege turana e huriki a vora ne Lot. Na tahuna iea e huriki a Kenan a Peres ria ranga ri made vona a malala iea. 
GEN.13.8	Pali e Abram i takia e Lot, “Nahea tu gu vata puhaki. E huriki a vora ne tarua ranga, nahea ri gi vata puhaki, a vuhuna tarua a viri ala taku. 
GEN.13.9	Masia, a malala dagi i tabana, pali ngane tu gu vapida. Ioe bara o ngaru ni lakea na nirikena haro, iau bara lakea na nirolona haro. Pali ioe bara o lakea na nirolona haro, iau bara lakea na nirikena haro.”
GEN.13.11	Lakea e Lot i bolea a bila ne Iordan na tabeke na nirikena haro. 
GEN.13.12	Ru vapida, lakea e Abram i vano i made na malala ne huriki a Kenan. Pali e Lot i made na kurukuruna maka tanga dagi na bilane Iordan. I ratea a tanga vona tabukoi ne Sodoma. 
GEN.13.13	Re huriki a bakovi o Sodoma ria a viri hale, ri rata vakaroro a naro hale hateka na matane BAKOVI DAGI.
GEN.13.14	E Lot i vano pali, lakea e BAKOVI DAGI i takia e Abram, i ta maea, “O pesi vonga o mata sike, o mata puru, o mata lakea na nirikena haro, o mata lakea na nirolona haro. 
GEN.13.15	Ra maka robo o matai, ga habi vomu turane huriki a hamomu, ge ne mua vakaroro. 
GEN.13.16	Iau ga rata e huriki a hamomu ri gi ala kupo manga a habulo na malala, pali e rei i kara ni gi a habulo, ia kunana bara i gi e huriki a hamomu. 
GEN.13.17	O vano, o laho vona a niolana, a nibolana a malala, a vuhuna iau ga habia vomu.”
GEN.13.18	Lakea e Abram i pukea a kape vona, i mariu lakea o Hebron. I ratea a tanga vona tabukoi na kai dagi ne Mamare, na hini i kisi muga a dede-kedo ne BAKOVI DAGI vona.
GEN.14.1	Na tahuna iea, e Amrapel a hariki o Sinar re Babilon, e Ariok, a hariki o Elasar, e Kedor a hariki o Elam, e Tidal a hariki o Goim, ri vadili vapopo a tara, 
GEN.14.2	ri vaubi turana a tara ne Bera a hariki o Sodoma, e Birsa a hariki o Gomora, e Sinab a hariki o Adma, e Semeber a hariki o Seboim. A hariki o Bela re Soar, ia tara i dili turane ria. 
GEN.14.3	Re huriki a hariki nga ri vadili vapopo ri ru palupu a tara ne ria na maloku ne Sidim ra Dari Mate. 
GEN.14.4	Re huriki nga, e Kedor i matakari ria na pida i ravulu a polona i rua. Pali na tahuna ri bele na pida i ravulu a polona i tolu, ri koi na narone Kedor, lakea ri vaubi turana e huriki a tara vona. 
GEN.14.5	Na pida i ravulu a polona i va, e Kedor turana e huriki a hariki ri muri vona, ri vaubi turana a tara ne Repait iea o Asterot Karanaim. Ri ratapile a tara ne Sus iea o Ham. Ri ratapile a tara ne Em iea o Save Kiriataim. 
GEN.14.6	Ri ratapile a tara ne Hori na lolo na robo e Seir, i vano i harena o El Paran tabukoi na tabeke i ngeki. 
GEN.14.7	Ri vuru mule vonga, ri lakea mai e En-Mispat re Kades, ri rata a vabinga. Ri bole lobo a robo ne huriki a Amalek turana a robo ne huriki a Amor ra ri made o Hasason-Tamar.
GEN.14.8	Muri a hariki i ala lima na tanga e Sodoma, e Gomora, e Adma, e Seboim, e Bela re Soar, ri puru na Maloku ne Sidim. 
GEN.14.9	Ri paha taga vonga, ri dava a tara ne Kedor a hariki o Elam, e Tidal a hariki o Goim, e Amrapel a hariki o Sinar, e Ariok a hariki o Elasar. A tara na hariki o Sodoma i lima, a tara na hariki o Elam i va. 
GEN.14.10	Ra Maloku ne Sidim i tahoka a maka lovo na kolta. Na tahuna ri ha a tara na hariki o Sodoma o Gomora, ri boru puru na lovo ranga, pali ranga ri ha sike na kupona. 
GEN.14.11	Lakea e huriki a tara ne huriki a hariki ala va ri bole lobo a maka mahala, a maki ni kani ne huriki a tara ne Sodoma e Gomora, ri vano turana. 
GEN.14.12	E Lot, e tune tarine Abram, i made o Sodoma na tahuna iea. Ia tara ni lakavu, ni bole turana a maka mahala vona.
GEN.14.13	A bakovi i ha na vabinga, i vano i vakalongoa e Abram, ra Hibru. E Abram i made tabukoi na maka kai dagi ne Mamare. E Mamare e turana e Eskol e Aner, tou a hamone Amor, pali to taga turane Abram. 
GEN.14.14	Na tahuna e Abram i longo ni lakavu e tune tarina, i gale palupu e huriki a tara ni vaubi ala 318, na kabu vona kunana, ri vano ri matakana a hariki ala va nga, ri harena na tanga e Dan. 
GEN.14.15	Na rodo e Abram i kalipopoa a tara vona, ri valili vona e huriki a pile, ri vano ri harena o Hoba meli o Damaskus. 
GEN.14.16	E Abram i bole mulea e Lot, e tuna e tarina, turana a maka mahala vona, e huriki a ngatavine turana e huriki a viri ranga. 
GEN.14.17	E Abram i ratapilea a tara ne Kedor turana e huriki a hariki ri taga palupu, muri i hamule. A hariki o Sodoma i longoa, i vano i halala ia na Maloku e Save ra Maloku na Hariki.
GEN.14.19	I gamaia ngane e Abram i ta maea,
GEN.14.19	“A Vure Meli Liu
GEN.14.19	i rata rike a hunu a malala i gamai ioe.
GEN.14.20	Ni gi kavurike a Vure Meli Liu,
GEN.14.20	i ru na limamu e huriki a pile vomu.”
GEN.14.20	Lakea e Abram, i ru na naguna i ravulu a maki lobo i bole, i habi ne Melkisadek a naguna i taku.
GEN.14.21	A hariki o Sodoma i takia e Abram, i ta maea, “A ngaru go bole lobo a maka mahala, pali e huriki a bakovi nau kunana ri gi hamule mai iau.”
GEN.14.22	Pali e Abram i koli mule, i ta maea, “Iau a kaba pali ne BAKOVI DAGI, a Vure Meli Liu, i rata rike a hunu a malala. Iau a rata a ngava dagi pali, 
GEN.14.23	i uka ma ga bole ranga maki vomu. A maki lili kiroko i manga a motana vahapolo ranga i uka ma ga bole, a vuhuna muri ma bara o ta maea, ‘Iau kunana a tuhoria e Abram i tahoka a mahala i kupo.’ 
GEN.14.24	Iau i uka ma ga bolea tara maki. A maki bara bole kunana ra maki ri kani pali e huriki a tara nau. Pali a turagu nga ala tolu e Aner, e Eskol, e Mamare, to go bole ne tou.”
GEN.15.1	Muri a nitane BAKOVI DAGI i bele ne Abram na vurena, i ta maea,
GEN.15.1	“Abram, naha ni mangenge,
GEN.15.1	iau a galeu vomu,
GEN.15.1	ga rata kamumu hateka ioe.”
GEN.15.2	Lakea e Abram i nana maea, “Bakovi Dagi, ioe a matakari na maki lobo, a ra go habia nau? Iau a bala e tugu. A viri bara i bole a murigu re Elieser o Damaskus. 
GEN.15.3	Ioe i uka ma o habia nau tara koma. A vora nau bara i bole lobo a mahala nau.”
GEN.15.4	Muri a ngava ne BAKOVI DAGI i bele vona, “Ra bakovi iea i uka ma ge bole a murimu. E tumu muholi a viri bara i bole a murimu.” 
GEN.15.5	Muri e Bakovi Dagi i tuli talea e Abram i takia, “O mata rike na hunu, o toni ni gi lobo a hada nga.” Muri i takia, “E huriki a hamomu bara ri kupo manga a hada nga.”
GEN.15.7	I taki tabua e Abram, “Iau e BAKOVI DAGI. Iau kunana a bole tala ioe na tanga e Ur na robo e Kaldia, a habia vomu ra malala iea, ngane ge ne vomu liu.”
GEN.15.8	Lakea e Abram i ta maea, “Bakovi Dagi, ioe a matakari na maki lobo, ga matakilala navia a malala iea ge ne nau?”
GEN.15.9	Lakea a Vure i koli mulea, i ta maea, “O vano o bole valai a kinana bulmakau, a meme, a sipsip a toga. A pida ne tou ge tolu. O bole turana a balu tano, a balu havura.”
GEN.15.10	Lakea e Abram i bole a maka maki nga, i habi na Vure. Muri i poka a maka maki nga, i bale ruarua. Pali a kadirovo i rua i uka ma i poka. 
GEN.15.11	Muri i valai a maka loha ta ri gi gogo a maka kania nga, pali e Abram i lili tala ria.
GEN.15.13	Lakea e BAKOVI DAGI i takia, “Muholi hateka, e huriki a hamomu bara ria a mosi na robo basi tara, bara ni vakavora, ni vakamadihi ria na pida i 400. 
GEN.15.14	Pali iau bara ratapilea a tanga ra i vakavora ria, muri bara ri pagitala turana a mahala i kupo. 
GEN.15.15	Pali ioe bara o made na nivalemu ge harena na tahuna o gare liu vona, o mate, ni tanu. 
