GEN.1.1	U poèetku stvori Bog nebo i zemlju. 
GEN.10.2	Sinovi Jafetovi: Gamer i Magog i Madaj i Javan i Tovel i Meseh i Tiras. 
GEN.10.3	A sinovi Gamerovi: Ashanas i Rifat i Togarma. 
GEN.10.4	A sinovi Javanovi: Elisa i Tarsis, Kitim i Dodanim. 
GEN.10.5	Od njih se razdijeliše ostrva narodna na zemljama svojim, svako po jeziku svojemu i po porodicama svojim, u narodima svojim. 
GEN.10.6	A sinovi Hamovi: Hus i Mesrain, Fud i Hanan. 
GEN.10.7	A sinovi Husovi: Sava i Evila i Savata i Regma i Savataka. A sinovi Regmini: Sava i Dadan. 
GEN.10.8	Hus rodi i Nevroda; a on prvi bi silan na zemlji; 
GEN.10.9	Bješe dobar lovac pred Gospodom; zato se kaže: dobar lovac pred Gospodom kao Nevrod. 
GEN.10.10	A poèetak carstvu njegovu bješe Vavilon i Oreh i Arhad i Halani u zemlji Senaru. 
GEN.10.11	Iz te zemlje izaðe Asur, i sazida Nineviju i Rovot grad i Halah, 
GEN.10.12	I Dasem izmeðu Ninevije i Halaha; to je grad velik. 
GEN.10.13	A Mesrain rodi Ludeje i Enemeje i Laveje i Neftaleje, 
GEN.10.14	I Patroseje i Hasmeje, odakle izaðoše Filisteji i Gaftoreji. 
GEN.10.15	A Hanan rodi Sidona, prvenca svojega, i Heta, 
GEN.10.16	I Jevuseja i Amoreja i Gergeseja, 
GEN.10.17	I Eveja i Arukeja i Aseneja, 
GEN.10.18	I Aradeja i Samareja i Amateja. A poslije se rasijaše plemena Hananejska. 
GEN.10.19	I bjehu meðe Hananejske od Sidona iduæi na Gerar pa do Gaze, i iduæi na Sodom i Gomor i Adamu i Sevojim pa do Dasa. 
GEN.10.20	To su sinovi Hamovi po porodicama svojim i po jezicima svojim, u zemljama svojim i u narodima svojim. 
GEN.10.21	I Simu rodiše se sinovi, najstarijemu bratu Jafetovu, ocu svijeh sinova Everovijeh. 
GEN.10.22	Sinovi Simovi bjehu: Elam i Asur i Arfaksad i Lud i Aram. 
GEN.10.23	A sinovi Aramovi: Uz i Ul i Gater i Mas. 
GEN.10.24	A Arfaksad rodi Salu, a Sala rodi Evera. 
GEN.10.25	A Everu se rodiše dva sina: jednom bješe ime Falek, jer se u njegovo vrijeme razdijeli zemlja, a bratu njegovu ime Jektan. 
GEN.10.26	A Jektan rodi Elmodada i Saleta i Sarmota i Jaraha, 
GEN.10.27	I Odora i Evila i Deklu, 
GEN.10.28	I Evala i Avimaila i Savu, 
GEN.10.29	I Ufira i Evilu i Jovava; ti svi bjehu sinovi Jektanovi. 
GEN.10.30	I življahu od Mase, kako se ide na Safir do gora istoènijeh. 
GEN.10.31	To su sinovi Simovi po porodicama svojim i po jezicima svojim, u zemljama svojim i u narodima svojim; 
GEN.10.32	To su porodice sinova Nojevijeh po plemenima svojim, u narodima svojim; i od njih se razdijeliše narodi po zemlji poslije potopa.
GEN.11.1	A bijaše na cijeloj zemlji jedan jezik i jednake rijeèi. 
GEN.11.2	A kad otidoše od istoka, naðoše ravnicu u zemlji Senarskoj, i naseliše se ondje. 
GEN.11.3	Pa rekoše meðu sobom: hajde da pravimo ploèe i da ih u vatri peèemo. I bjehu im opeke mjesto kamena i smola zemljana mjesto kreèa. 
GEN.11.4	Poslije rekoše: hajde da sazidamo grad i kulu, kojoj æe vrh biti do neba, da steèemo sebi ime, da se ne bismo rasijali po zemlji. 
GEN.11.5	A Gospod siðe da vidi grad i kulu, što zidahu sinovi èovjeèiji. 
GEN.11.6	I reèe Gospod: gle, narod jedan, i jedan jezik u svijeh, i to poèeše raditi, i neæe im smetati ništa da ne urade što su naumili. 
GEN.11.7	Hajde da siðemo, i da im pometemo jezik, da ne razumiju jedan drugoga što govore. 
GEN.11.8	Tako ih Gospod rasu odande po svoj zemlji, te ne sazidaše grada. 
GEN.11.9	Zato se prozva Vavilon, jer ondje pomete Gospod jezik cijele zemlje, i odande ih rasu Gospod po svoj zemlji. 
GEN.11.10	Ovo je pleme Simovo: bijaše Simu sto godina, kad rodi Arfaksada, druge godine poslije potopa. 
GEN.11.11	A rodiv Arfaksada poživje Sim pet stotina godina, raðajuæi sinove i kæeri. 
GEN.11.12	A Arfaksad poživje trideset i pet godina, i rodi Salu; 
GEN.11.13	A rodiv Salu poživje Arfaksad èetiri stotine i tri godine, raðajuæi sinove i kæeri. 
GEN.11.14	A Sala poživje trideset godina, i rodi Evera; 
GEN.11.15	A rodiv Evera poživje Sala èetiri stotine i tri godine, raðajuæi sinove i kæeri. 
GEN.11.16	A Ever poživje trideset i èetiri godine, i rodi Faleka; 
GEN.11.17	A rodiv Faleka poživje Ever èetiri stotine i trideset godina, raðajuæi sinove i kæeri. 
GEN.11.18	A Falek poživje trideset godina i rodi Ragava; 
GEN.11.19	A rodiv Ragava poživje Falek dvjesta i devet godina, raðajuæi sinove i kæeri. 
GEN.11.20	A Ragav poživje trideset i dvije godine i rodi Seruha; 
GEN.11.21	A rodiv Seruha poživje Ragav dvjesta i sedam godina, raðajuæi sinove i kæeri. 
GEN.11.22	A Seruh poživje trideset godina, i rodi Nahora; 
GEN.11.23	A rodiv Nahora poživje Seruh dvjesta godina, raðajuæi sinove i kæeri. 
GEN.11.24	A Nahor poživje dvadeset i devet godina, i rodi Taru; 
GEN.11.25	A rodiv Taru poživje Nahor sto i devetnaest godina, raðajuæi sinove i kæeri. 
GEN.11.26	A Tara poživje sedamdeset godina, i rodi Avrama, Nahora i Arana. 
GEN.11.27	A ovo je pleme Tarino: Tara rodi Avrama, Nahora i Arana; a Aran rodi Lota. 
GEN.11.28	I umrije Aran prije Tare oca svojega na postojbini svojoj, u Uru Haldejskom. 
GEN.11.29	I oženi se Avram i Nahor, i ženi Avramovoj bješe ime Sara a ženi Nahorovoj ime Melha, kæi Arama oca Melhe i Jeshe. 
GEN.11.30	A Sara bješe nerotkinja, i ne imaše poroda. 
GEN.11.31	I uze Tara sina svojega Avrama i Lota sina Aranova, unuka svojega, i Saru snahu svoju, ženu Avrama sina svojega; i poðoše zajedno iz Ura Haldejskoga da idu u zemlju Hanansku, i doðoše do Harana, i ondje se nastaniše. 
GEN.11.32	I poživje Tara svega dvjesta i pet godina; i umrije Tara u Haranu.
GEN.12.1	I reèe Gospod Avramu: idi iz zemlje svoje i od roda svojega i iz doma oca svojega u zemlju koju æu ti ja pokazati. 
GEN.12.2	I uèiniæu od tebe velik narod, i blagosloviæu te, i ime tvoje proslaviæu, i ti æeš biti blagoslov. 
GEN.12.3	Blagosloviæu one koji tebe uzblagosiljaju, i prokleæu one koji tebe usproklinju; i u tebi æe biti blagoslovena sva plemena na zemlji. 
GEN.12.4	Tada poðe Avram, kao što mu kaza Gospod, i s njim poðe Lot. A bješe Avramu sedamdeset i pet godina kad poðe iz Harana. 
GEN.12.5	I uze Avram Saru ženu svoju i Lota sina brata svojega sa svijem blagom koje bjehu stekli i s dušama koje bjehu dobili u Haranu; i poðoše u zemlju Hanansku, i doðoše u nju. 
GEN.12.6	I proðe Avram tu zemlju do mjesta Sihema i do ravnice Moreške; a bijahu tada Hananeji u toj zemlji. 
GEN.12.7	I javi se Gospod Avramu i reèe: tvojemu sjemenu daæu zemlju ovu. I Avram naèini ondje žrtvenik Gospodu, koji mu se javio. 
GEN.12.8	Poslije otide odande na brdo koje je prema istoku od Vetilja, i ondje razape šator svoj, te mu Vetilj bješe sa zapada a Gaj s istoka; i ondje naèini Gospodu žrtvenik, i prizva ime Gospodnje. 
GEN.12.9	Odande otide Avram dalje iduæi na jug. 
GEN.12.10	Ali nasta glad u onoj zemlji, te Avram siðe u Misir da se ondje skloni; jer glad bješe velika u onoj zemlji. 
GEN.12.11	A kad se približi da veæ uðe u Misir, reèe Sari ženi svojoj: gle, znam da si žena lijepa u licu. 
GEN.12.12	Zato kad te vide Misirci reæi æe: ovo mu je žena. Pa æe me ubiti, a tebe æe ostaviti u životu. 
GEN.12.13	Nego hajde kaži da si mi sestra, te æe meni biti dobro tebe radi i ostaæu u životu uz tebe. 
GEN.12.14	I kad doðe Avram u Misir, vidješe Misirci ženu da je vrlo lijepa. 
GEN.12.15	I vidješe je knezovi Faraonovi, i hvališe je pred Faraonom. I uzeše je u dvor Faraonov. 
GEN.12.16	I on èinjaše dobro Avramu nje radi, te imaše ovaca i goveda i magaraca i sluga i sluškinja i magarica i kamila. 
GEN.12.17	Ali Gospod pusti velika zla na Faraona i na dom njegov radi Sare žene Avramove. 
GEN.12.18	Tada dozva Faraon Avrama i reèe mu: šta mi to uèini? zašto mi nijesi kazao da ti je žena? 
GEN.12.19	Zašto si kazao: sestra mi je? te je uzeh za ženu. Sad eto ti žene, uzmi je, pa idi. 
GEN.12.20	I Faraon zapovjedi ljudima za nj, te ga ispratiše i ženu njegovu i što god imaše.
GEN.13.1	Tako otide Avram iz Misira gore na jug, on i žena mu i sve što imaše, takoðer i Lot s njim. 
GEN.13.2	A bijaše Avram vrlo bogat stokom, srebrom i zlatom. 
GEN.13.3	I iðaše svojim putovima od juga sve do Vetilja, do mjesta gdje mu prvo bijaše šator, izmeðu Vetilja i Gaja, 
GEN.13.4	Do mjesta, gdje preðe bješe naèinio žrtvenik; i ondje prizva Avram ime Gospodnje. 
GEN.13.5	A i Lot koji iðaše s Avramom imaše ovaca i goveda i šatora. 
GEN.13.6	I zemlja ne mogaše ih nositi zajedno, jer blago njihovo bijaše veliko da ne mogahu živjeti zajedno, 
GEN.13.7	I bijaše svaða meðu pastirima Avramove stoke i pastirima Lotove stoke. A u to vrijeme življahu Hananeji i Ferezeji u onoj zemlji. 
GEN.13.8	Pa Avram reèe Lotu: nemoj da se svaðamo ja i ti, ni moji pastiri i tvoji pastiri; jer smo braæa. 
GEN.13.9	Nije li ti otvorena cijela zemlja? Odijeli se od mene. Ako æeš ti na lijevo, ja æu na desno; ako li æeš ti na desno, ja æu na lijevo. 
GEN.13.10	Tada Lot podiže oèi svoje i sagleda svu ravnicu Jordansku, kako cijelu natapaše rijeka, bješe kao vrt Gospodnji, kao zemlja Misirska, sve do Zogora, prije nego Gospod zatr Sodom i Gomor. 
GEN.13.11	I Lot izabra sebi svu ravnicu Jordansku, i otide Lot na istok; i razdijeliše se jedan od drugoga: 
GEN.13.12	Avram življaše u zemlji Hananskoj, a Lot življaše po gradovima u onoj ravnici premještajuæi svoje šatore do Sodoma. 
GEN.13.13	A ljudi u Sodomu bijahu nevaljali, i griješahu Gospodu veoma. 
GEN.13.14	A Gospod reèe Avramu, pošto se Lot odijeli od njega: podigni sada oèi svoje, pa pogledaj s mjesta gdje si na sjever i na jug i na istok i na zapad. 
GEN.13.15	Jer svu zemlju što vidiš tebi æu dati i sjemenu tvojemu dovijeka. 
GEN.13.16	I uèiniæu da sjemena tvojega bude kao praha na zemlji; ako ko uzmože izbrojiti prah na zemlji, moæi æe izbrojiti i sjeme tvoje. 
GEN.13.17	Ustani, i prolazi tu zemlju u dužinu i u širinu; jer æu je tebi dati. 
GEN.13.18	I Avram diže šatore, i doðe i naseli se u ravnici Mamrijskoj, koja je kod Hevrona, i ondje naèini žrtvenik Gospodu.
GEN.14.1	A kad bješe Amarfal car Senarski, Arioh car Elasarski, Hodologomor car Elamski i Targal car Gojimski, 
GEN.14.2	Zavojštiše na Valu cara Sodomskoga, i na Varsu cara Gomorskoga, i na Senara cara Adamskoga, i na Simovora cara Sevojimskoga i na cara od Valake, koja je sada Sigor. 
GEN.14.3	Svi se ovi skupiše u dolini Sidimskoj, koja je sada slano more. 
GEN.14.4	Dvanaest godina bjehu služili Hodologomoru, pa trinaeste godine odmetnuše se. 
GEN.14.5	A èetrnaeste godine doðe Hodologomor i carevi koji bijahu s njim, i pobiše Rafaje u Astarotu Karnajimskom i Zuzeje u Amu i Omeje u polju Kirijatajskom, 
GEN.14.6	I Horeje u planini njihovoj Siru do ravnice Faranske pokraj pustinje. 
GEN.14.7	Otuda vrativši se doðoše u En-Mispat, koji je sada Kadis, i isjekoše sve koji življahu u zemlji Amalièkoj, i Amoreje koji življahu u Asason-Tamaru. 
GEN.14.8	Tada izide car Sodomski i car Gomorski i car Adamski i car Sevojimski i car od Valake, koja je sada Sigor, izidoše na njih u dolinu Sidimsku, 
GEN.14.9	Na Hodologomora cara Elamskoga, i na Targala cara Gojimskoga, i na Amarfala cara Senarskoga, i na Arioha cara Elasarskoga, èetiri cara na pet. 
GEN.14.10	A u dolini Sidimskoj bijaše mnogo rupa iz kojih se vadila smola; i pobježe car Sodomski i car Gomorski, i ondje padoše, a što osta pobježe u planinu. 
GEN.14.11	I uzeše sve blago u Sodomu i Gomoru i svu hranu njihovu, i otidoše. 
GEN.14.12	Uzeše i Lota, sinovca Avramova, i blago njegovo, i otidoše, jer življaše u Sodomu. 
GEN.14.13	A doðe jedan koji bješe utekao, te javi Avramu Jevrejinu, koji življaše u ravni Mamrija Amorejina, brata Esholu i brata Avnanu, koji bjehu u vjeri s Avramom. 
GEN.14.14	A kad Avram èu da mu se zarobio sinovac, naoruža sluge svoje, trista osamnaest, koji se rodiše u njegovoj kuæi, i poðe u potjeru do Dana. 
GEN.14.15	Ondje razredivši svoje udari na njih noæu sa slugama svojim, i razbi ih, i otjera ih do Hovala, koji je na lijevo od Damaska, 
GEN.14.16	I povrati sve blago; povrati i Lota sinovca svojega s blagom njegovijem, i žene i ljude. 
GEN.14.17	A car Sodomski izide mu na susret kad se vrati razbivši Hodologomora i careve što bijahu s njim, u dolinu Savinu, koje je sada dolina careva. 
GEN.14.18	A Melhisedek car Salimski iznese hljeb i vino; a on bijaše sveštenik Boga višnjega. 
GEN.14.19	I blagoslovi ga govoreæi: blagosloven da je Avram Bogu višnjemu, èije je nebo i zemlja! 
GEN.14.20	I blagosloven da je Bog višnji, koji predade neprijatelje tvoje u ruke tvoje! I dade mu Avram desetak od svega. 
GEN.14.21	A car Sodomski reèe Avramu: daj meni ljude, a blago uzmi sebi. 
GEN.14.22	A Avram reèe caru Sodomskom: dižem ruku svoju ka Gospodu Bogu višnjemu, èije je nebo i zemlja, zaklinjuæi se: 
GEN.14.23	Ni konca ni remena od obuæe neæu uzeti od svega što je tvoje, da ne reèeš: ja sam obogatio Avrama; 
GEN.14.24	Osim što su pojeli momci, i osim dijela ljudima koji su išli sa mnom, Esholu, Avnanu i Mamriju, oni neka uzmu svoj dio.
GEN.15.1	Poslije ovijeh stvari doðe Avramu rijeè Gospodnja u utvari govoreæi: ne boj se, Avrame, ja sam ti štit, i plata je tvoja vrlo velika. 
GEN.15.2	A Avram reèe: Gospode, Gospode, šta æeš mi dati kad živim bez djece, a na kom æe ostati moja kuæa to je Elijezer ovaj Damaštanin? 
GEN.15.3	Još reèe Avram: eto meni nijesi dao poroda, pa æe sluga roðen u kuæi mojoj biti moj našljednik. 
GEN.15.4	A gle, Gospod mu progovori: neæe taj biti našljednik tvoj, nego koji æe izaæi od tebe taj æe ti biti našljednik. 
GEN.15.5	Pa ga izvede napolje i reèe mu: pogledaj na nebo i prebroj zvijezde, ako ih možeš prebrojiti. I reèe mu: tako æe biti sjeme tvoje. 
GEN.15.6	I povjerova Avram Bogu, a on mu primi to u pravdu. 
GEN.15.7	I reèe mu: ja sam Gospod, koji te izvedoh iz Ura Haldejskoga da ti dam zemlju ovu da bude tvoja. 
GEN.15.8	A on reèe: Gospode, Gospode, po èemu æu poznati da æe biti moja? 
GEN.15.9	I reèe mu: prinesi mi junicu od tri godine i kozu od tri godine i ovna od tri godine i grlicu i golupèe. 
GEN.15.10	I on uze sve to, i rasijeèe na pole, i metnu sve pole jednu prema drugoj; ali ne rasijeèe ptica. 
GEN.15.11	A ptice slijetahu na te mrtve životinje; a Avram ih odgonjaše. 
GEN.15.12	A kad sunce bješe na zahodu, uhvati Avrama tvrd san, i gle, strah i mrak velik obuze ga. 
GEN.15.13	I Gospod reèe Avramu: znaj zacijelo da æe sjeme tvoje biti došljaci u zemlji tuðoj, pa æe joj služiti, i ona æe ih muèiti èetiri stotine godina. 
GEN.15.14	Ali æu suditi i narodu kojemu æe služiti; a poslije æe oni izaæi s velikim blagom. 
GEN.15.15	A ti æeš otiæi k ocima svojim u miru, i biæeš pogreben u dobroj starosti. 
GEN.15.16	A oni æe se u èetvrtom koljenu vratiti ovamo; jer grijesima Amorejskim još nije kraj. 
GEN.15.17	A kad se sunce smiri i kad se smrèe, gle, peæ se dimljaše, i plamen ognjeni prolažaše izmeðu onijeh dijelova. 
GEN.15.18	Taj dan uèini Gospod zavjet s Avramom govoreæi: sjemenu tvojemu dadoh zemlju ovu od vode Misirske do velike vode, vode Efrata, 
GEN.15.19	Kenejsku, Kenezejsku i Kedmonejsku, 
GEN.15.20	I Hetejsku i Ferezejsku i Rafajsku, 
GEN.15.21	I Amorejsku i Hananejsku i Gergesejsku i Jevusejsku.
GEN.16.1	Ali Sara žena Avramova ne raðaše mu djece. A imaše robinju Misirku, po imenu Agaru. 
GEN.16.2	Pa reèe Sara Avramu: Gospod me je zatvorio da ne rodim; nego idi k robinji mojoj, ne bih li dobila djece od nje. I Avram prista na rijeè Sarinu. 
GEN.16.3	I Sara žena Avramova uze Agaru Misirku robinju svoju, i dade je za ženu Avramu mužu svojemu poslije deset godina otkako se nastani Avram u zemlji Hananskoj. 
GEN.16.4	I on otide k Agari, i ona zatrudnje; a kad vidje da je trudna, ponese se od gospoðe svoje. 
GEN.16.5	A Sara reèe Avramu: uvreda moja pada na tebe; ja ti metnuh na krilo robinju svoju, a ona vidjevši da je trudna ponese se od mene. Gospod æe suditi meni i tebi. 
GEN.16.6	A Avram reèe Sari: eto, robinja je tvoja u tvojim rukama, èini s njom što ti je volja. I Sara je stade zlostaviti, te ona pobježe od nje. 
GEN.16.7	Ali anðeo Gospodnji naðe je kod studenca u pustinji, kod studenca na putu u Sur. 
GEN.16.8	I reèe joj: Agaro, robinjo Sarina, otkuda ideš, kuda li ideš? A ona reèe: bježim od Sare gospoðe svoje. 
GEN.16.9	A anðeo joj Gospodnji reèe: vrati se gospoði svojoj i pokori joj se. 
GEN.16.10	Opet joj reèe anðeo Gospodnji: umnožiæu veoma sjeme tvoje, da se neæe moæi prebrojiti od množine. 
GEN.16.11	Jošte joj reèe anðeo Gospodnji: eto si trudna, i rodiæeš sina, i nadjeni mu ime Ismailo; jer je Gospod vidio muku tvoju. 
GEN.16.12	A biæe èovjek ubojica; ruka æe se njegova dizati na svakoga a svaèija na njega, i nastavaæe na pogledu svoj braæi svojoj. 
GEN.16.13	Tada Agara prizva ime Gospoda koji govori s njom: ti si Bog, koji vidi. Jer govoraše: zar još gledam iza onoga koji me vidje? 
GEN.16.14	Toga radi zove se studenac onaj studenac živoga koji me vidi; a on je izmeðu Kadisa i Varada. 
GEN.16.15	I rodi Agara Avramu sina; i nadjede Avram sinu svojemu, kojega mu rodi Agara, ime Ismailo. 
GEN.16.16	A bješe Avramu osamdeset i šest godina kad mu Agara rodi Ismaila.
GEN.17.1	A kad Avramu bi devedeset i devet godina, javi mu se Gospod i reèe mu: ja sam Bog svemoguæi, po mojoj volji živi i budi pošten. 
GEN.17.2	I uèiniæu zavjet izmeðu sebe i tebe, i vrlo æu te umnožiti. 
GEN.17.3	A Avram pade nièice. I Gospod mu još govori i reèe: 
GEN.17.4	Od mene evo zavjet moj s tobom da æeš biti otac mnogim narodima. 
GEN.17.5	Zato se više neæeš zvati Avram, nego æe ti ime biti Avraam, jer sam te uèinio ocem mnogih naroda; 
GEN.17.6	Daæu ti porodicu vrlo veliku, i naèiniæu od tebe narode mnoge, i carevi æe izaæi od tebe. 
GEN.17.7	A postavljam zavjet svoj izmeðu sebe i tebe i sjemena tvojega nakon tebe od koljena do koljena, da je zavjet vjeèan, da sam Bog tebi i sjemenu tvojemu nakon tebe; 
GEN.17.8	I daæu tebi i sjemenu tvojemu nakon tebe zemlju u kojoj si došljak, svu zemlju Hanansku u državu vjeènu, i biæu im Bog. 
GEN.17.9	I reèe Bog Avramu: ti pak drži zavjet moj, ti i sjeme tvoje nakon tebe od koljena do koljena. 
GEN.17.10	A ovo je zavjet moj izmeðu mene i vas i sjemena tvojega nakon tebe, koji æete držati: da se obrezuje izmeðu vas sve muškinje. 
GEN.17.11	A obrezivaæete okrajak tijela svojega, da bude znak zavjeta izmeðu mene i vas. 
GEN.17.12	Svako muško dijete kad mu bude osam dana da se obrezuje od koljena do koljena, rodilo se u kuæi ili bilo kupljeno za novce od kojih god stranaca, koje ne bude od sjemena tvojega. 
GEN.17.13	Da se obrezuje koje se rodi u kuæi tvojoj i koje se kupi za novce tvoje; tako æe biti zavjet moj na tijelu vašem zavjet vjeèan. 
GEN.17.14	A neobrezano muško, kojemu se ne obreže okrajak tijela njegova, da se istrijebi iz naroda svojega, jer pokvari zavjet moj. 
GEN.17.15	I još reèe Bog Avramu: a Saru ženu svoju ne zovi je više Sara nego neka joj bude ime Sara. 
GEN.17.16	I ja æu je blagosloviti, i daæu ti sina od nje; blagosloviæu je, i biæe mati mnogim narodima, i carevi narodima izaæi æe od nje. 
GEN.17.17	Tada pade Avram nièice, i nasmija se govoreæi u srcu svojem: eda æe se èovjeku od sto godina roditi sin? i Sari? eda æe žena od devedeset godina roditi? 
GEN.17.18	I Avram reèe Bogu: neka živ bude Ismailo pred tobom! 
GEN.17.19	I reèe Bog: zaista Sara žena tvoja rodiæe ti sina, i nadjeæeš mu ime Isak; i postaviæu zavjet svoj s njim da bude zavjet vjeèan sjemenu njegovu nakon njega. 
