GEN.1.1	No princípio Deus criou o céu e a Terra. 
GEN.11.13	Viveu ainda 403 anos e teve muitos filhos e filhas.
GEN.11.14	Sala tinha 30 anos, quando Eber nasceu. 
GEN.11.15	E viveu depois 403 anos, tendo tido muitos filhos e filhas.
GEN.11.16	Aos 34 anos Eber teve Pelegue. 
GEN.11.17	Viveu mais 430 anos com muitos filhos e filhas.
GEN.11.18	Pelegue contava 30 anos, ao nascer-lhe Reu. 
GEN.11.19	Viveu ainda 209 anos com muitos filhos e filhas.
GEN.11.20	Reu, aos 32 anos, teve Serugue. 
GEN.11.21	Viveu depois disso 207 anos, tendo tido muitos filhos e filhas.
GEN.11.22	Serugue, quando contava 30 anos, teve Naor. 
GEN.11.23	Viveu, com muitos filhos e filhas, 200 anos depois disso.
GEN.11.24	Com 29 anos Naor foi pai de Tera. 
GEN.11.25	Depois viveu ainda 119 anos, tendo tido muitos filhos e filhas.
GEN.11.26	Tera, aos 70 anos, tinha três filhos: Abrão, Naor e Harã.
GEN.11.27	Esta é a lista de descendentes de Tera.
GEN.11.27	Tera foi pai de Abrão, Naor e Harã. Harã tinha, por sua vez, um filho chamado Lot. 
GEN.11.28	Harã morreu ainda novo, na terra onde tinha nascido, em Ur da Caldeia, e o seu pai Tera ainda era vivo. 
GEN.11.29	Entretanto, Abrão casou com Sarai, enquanto Naor casou-se com Milca, que era filha de Harã e irmã de Isca. 
GEN.11.30	Mas Sarai era estéril, não tinha filhos.
GEN.11.31	Então Tera pegou em Abrão, seu filho, e em Lot, seu neto, mais a sua nora Sarai e deixou Ur da Caldeia, para ir para a terra de Canaã. Contudo, ficaram-se pela cidade de Harã e estabeleceram-se ali, 
GEN.11.32	até que Tera morreu aos 205 anos.
GEN.12.1	O 
GEN.12.2	Farei que sejas pai de uma grande nação. Abençoar-te-ei e tornarei o teu nome famoso. Tu próprio serás uma bênção para muitos outros. 
GEN.12.3	Abençoarei todos os que te fizerem bem; mas amaldiçoarei os que te fizerem mal. Por teu intermédio serão abençoados todos os povos da Terra.”
GEN.12.4	Assim, Abrão partiu como o 
GEN.12.5	E na companhia da sua mulher Sarai e de Lot, seu sobrinho, com tudo o que tinham, gado e criados que obtiveram em Harã, chegaram a Canaã.
GEN.12.6	Lá, vieram até um lugar perto de Siquem, e acamparam junto dum carvalho em Moré. Eram os cananeus quem habitava aquela área. 
GEN.12.7	Então o 
GEN.12.8	Depois deixou aquele lugar e viajou mais para o sul, para uma terra montanhosa, entre Betel a ocidente e Ai a oriente. Parou aí, levantou outro altar ao 
GEN.12.9	Continuou depois, lentamente, a deslocar-se em direção ao sul, para o Negueve, parando frequentemente.
GEN.12.10	Por essa altura, havia uma fome terrível naquela zona; então Abrão desceu ao Egito. 
GEN.12.11	Ao aproximar-se dessa nova terra, pediu a Sarai, a sua mulher, que dissesse às pessoas que era sua irmã. “Tu és muito bonita”, disse-lhe, 
GEN.12.12	“e quando os egípcios te virem, calculando que és a minha mulher, matar-me-ão para ficar contigo. 
GEN.12.13	Mas se disseres que és a minha irmã, tratar-me-ão bem, por interesse por ti, e a minha vida será poupada.”
GEN.12.14	Com efeito, quando chegaram ao Egito, toda a gente começou a falar na beleza dela. 
GEN.12.15	As pessoas da corte do rei, do Faraó, foram gabá-la diante dele, e o Faraó mandou instalá-la no seu palácio. 
GEN.12.16	Ao mesmo tempo, por amor dela, fez muito bem a Abrão, dando-lhe presentes valiosos como gado, jumentos, camelos, e homens e mulheres como criados.
GEN.12.17	No entanto, o 
GEN.12.18	Foi então que o Faraó mandou chamar Abrão e o acusou severamente: “Que é isto que me fizeste? Porque não me disseste logo que era tua mulher? 
GEN.12.19	Porque é que me ias deixar casar com ela dizendo que era a tua irmã? Pega nela e vai-te daqui!” 
GEN.12.20	E mandou-o embora do país, sob escolta de soldados que os acompanharam; a ele, a Sarai, e a todos e tudo quanto tinham.
GEN.13.1	E assim deixaram o Egito e dirigiram-se para o norte, em direção a uma região a sul de Canaã, o Negueve. Ia com Abrão a sua mulher, Lot e tudo o que possuíam. 
GEN.13.2	Abrão tinha-se tornado muito rico, não só em gado como em prata e ouro.
GEN.13.3	E continuou sempre para o norte em direção a Betel, até ao lugar onde tinha acampado primeiramente, entre Betel e Ai. 
GEN.13.4	Lá, diante do altar que anteriormente tinha construído, invocou o nome do 
GEN.13.5	Lot também tinha enriquecido muito na companhia de Abrão, possuindo igualmente gado em abundância e muitos criados, 
GEN.13.6	de tal forma que aquele sítio se tornava muito acanhado para viverem juntos; porque era muito o que ambos tinham. 
GEN.13.7	E havia disputas entre os pastores de um e de outro. Os cananeus e os perizeus viviam por ali perto.
GEN.13.8	Então Abrão decidiu conversar seriamente com Lot sobre o assunto: “Estas contendas entre a nossa gente têm de acabar. Porque a verdade é que somos parentes chegados! 
GEN.13.9	Ora é certo que não falta aí terra com espaço bastante para ser ocupada. O melhor portanto é separarmo-nos. Escolhe tu; eu saio daqui, se quiseres ficar. Caso contrário, fico eu e sais tu.”
GEN.13.10	Lot observou então com atenção a bela e fértil planície do Jordão, bem regada que era, antes do 
GEN.13.11	Por isso, Lot escolheu para si toda aquela planície do Jordão, que se encontrava a oriente deles. 
GEN.13.12	E assim deixou Abrão e foi para lá com tudo o que tinha, passando a viver no meio daquelas cidades da campina, estabelecendo-se perto de Sodoma. Enquanto Abrão continuou a viver onde estava, na terra de Canaã. 
GEN.13.13	A gente que morava naquela região de Sodoma era particularmente perversa. Eram grandes pecadores contra o 
GEN.13.14	O 
GEN.13.15	Porque toda essa terra te hei de dar a ti e aos teus descendentes para sempre. 
GEN.13.16	E virão a ser tão numerosos que, tal como acontece com os grãos de pó da terra, será impossível contá-los. 
GEN.13.17	Começa a percorrer a terra, em todas as direções; explora-a porque virá a ser tua.”
GEN.13.18	Abrão mudou-se novamente; foi viver junto dos carvalhais de Mamre, perto de Hebrom. E levantou aí um altar ao 
GEN.14.1	Naquela altura, havia guerra nessa terra; Amrafel rei de Sinar, Arioque rei de Elasar, Quedorlaomer rei de Elão e Tidal rei de Goim 
GEN.14.2	estavam em guerra contra Bera rei de Sodoma, Birsa rei de Gomorra, Sinabe rei de Admá, Semeber rei de Zeboim, e contra o rei de Bela, que mais tarde passou a chamar-se Zoar.
GEN.14.3	Esta última coligação de reis, os de Sodoma, Gomorra, Admá, Zeboim e Bela, mobilizou os seus exércitos no vale de Sidim, isto é, no vale do mar Salgado
GEN.14.4	porque durante 12 anos tinham estado submetidos a Quedorlaomer, e durante o décimo terceiro ano de sujeição começaram a rebelar-se.
GEN.14.5	No ano seguinte aconteceu que Quedorlaomer e os seus aliados decidiram começar a castigar duramente várias tribos; os refaítas em Asterote-Carnaim, os zuzitas em Hã, os emitas em Savé-Quiriataim 
GEN.14.6	e os horeus no monte Seir, alcançando até a planície de El-Parã no limite do deserto. 
GEN.14.7	Depois continuaram a carnificina em En-Mispate, agora chamada Cades, destruindo os amalequitas e também os amorreus que viviam em Hazazom-Tamar.
GEN.14.8	Foi então que a tal coligação de reis de Sodoma, Gomorra, Admá, Zeboim e Bela ou Zoar se prepararam para a batalha, no vale de Sidim, contra os outros, 
GEN.14.9	que eram Quedorlaomer rei de Elão e os seus aliados. Eram portanto quatro reis contra cinco. 
GEN.14.10	Acontecia, aliás, que aquele vale estava cheio de poços de alcatrão. E assim, tendo sido derrotados os exércitos dos reis de Sodoma e de Gomorra, muita gente caiu nesses poços; o resto teve de fugir para as montanhas. 
GEN.14.11	As tropas vitoriosas dos outros reis saquearam e pilharam totalmente Sodoma e Gomorra, levaram tudo o que lá havia e deixaram a região. 
GEN.14.12	Lot que vivia lá foi também feito prisioneiro e levado com tudo o que tinha.
GEN.14.13	Um dos fugitivos, que conseguira escapar, veio contar tudo a Abrão, o hebreu, que vivia nos carvalhais que pertenciam a Mamre, o amorreu, irmão de Escol e de Aner, ambos aliados de Abrão. 
GEN.14.14	Quando Abrão soube que Lot tinha sido capturado, juntou todos os homens que tinham nascido ao seu serviço, ao todo 318, e perseguiu as tropas vencedoras mesmo até Dan. 
GEN.14.15	Durante a noite atacou-as e derrotou-as, obrigando-as a fugirem, e perseguiu-as até Hoba, a norte de Damasco, 
GEN.14.16	recuperando tudo o que os outros tinham pilhado; as riquezas, e em particular Lot, seu parente, e os que viviam com ele, incluindo as mulheres e o povo.
GEN.14.17	Quando Abrão regressava desta vitória contra Quedorlaomer e os reis que eram seus associados, no vale de Savé, hoje chamado o vale do Rei, o rei de Sodoma veio encontrar-se com ele.
GEN.14.18	Melquisedeque, rei de Salém,
GEN.14.19	e abençoou Abrão dizendo assim:
GEN.14.19	“Que a bênção do Deus altíssimo,
GEN.14.19	Criador do céu e da Terra, te seja dada, Abrão!
GEN.14.20	E que seja honrado o Deus altíssimo
GEN.14.20	que te livrou dos teus inimigos!”
GEN.14.20	Então Abrão deu a Melquisedeque o dízimo de tudo o que trouxera.
GEN.14.21	O rei de Sodoma disse-lhe: “Dá-me o meu povo, que foi capturado, e fica tu com tudo o que eles me roubaram da cidade.”
GEN.14.22	Contudo, Abrão replicou-lhe: “Prometi solenemente ao Deus altíssimo, Criador do céu e da Terra, 
GEN.14.23	que não ficarei com coisa nenhuma do que é teu, nem um fio sequer ou uma simples correia de sapato, para que não venhas a dizer: ‘Abrão enriqueceu com o que eu lhe deixei’, 
GEN.14.24	exceto, evidentemente, o que estes jovens comeram, e ainda a parte que é devida aos soldados de Aner, Escol e Mamre, meus aliados, que combateram comigo.”
GEN.15.1	Depois disso, o 
GEN.15.2+GEN.15.3	Mas Abrão replicou-lhe: “Ó 
GEN.15.4	O 
GEN.15.5	O 
GEN.15.6	Abrão creu no 
GEN.15.7	E disse-lhe mais: “Eu sou o 
GEN.15.8	Abrão replicou-lhe: “
GEN.15.9	Deus disse-lhe que fosse buscar uma bezerra, uma cabra e um carneiro, todos eles de três anos, mais uma rola e um pombinho, 
GEN.15.10	que os partisse ao meio e pusesse as duas partes uma diante da outra; mas as aves que as deixasse inteiras. E foi o que Abrão fez. 
GEN.15.11	Quando as aves de rapina desciam sobre a carne dos animais, Abrão afugentava-as.
GEN.15.12	Naquela tarde, enquanto o Sol se punha, Abrão caiu num sono profundo e eis que vieram sobre ele trevas densas e assustadoras.
GEN.15.13	Então Deus disse a Abrão: “Ficas a saber, com toda a certeza, que os teus descendentes virão a ser oprimidos e explorados como escravos numa terra estrangeira durante 400 anos. 
GEN.15.14	Mas eu castigarei a nação que os vai escravizar e eles acabarão por sair livres, trazendo consigo muita riqueza. 
GEN.15.15	Quanto a ti, acabarás a tua vida em paz, numa feliz velhice. 
GEN.15.16	Depois de 400 anos os teus descendentes voltarão a esta terra, porque a maldade do povo amorreu que agora vive aqui, só nessa altura terá chegado ao ponto de saturação, exigindo o castigo.”
GEN.15.17	E tendo-se posto o Sol, começou a fazer uma grande escuridão, e Abrão viu no meio da obscuridade uma espécie de forno fumegante e uma tocha de fogo que passava entre as metades dos animais que tinham sido partidos ao meio. 
GEN.15.18	O 
GEN.15.19	e hão de ficar na dependência deles todos estes povos: os queneus, quenezeus, cadmoneus, 
GEN.15.20	hititas, perizeus, refaítas, 
GEN.15.21	amorreus, cananeus, girgaseus e os jebuseus.”
GEN.16.1+GEN.16.2	Contudo, Sarai e Abrão não tinham filhos. Então Sarai, pensando que o 
GEN.16.3	E assim aconteceu, dez anos depois de Abrão ter chegado à terra de Canaã. Sarai, sua mulher, tomou Agar, a egípcia, e a entregou como mulher, ao seu marido, Abrão. 
GEN.16.4	Ele concordou; tomou Agar e ela concebeu. A criada, quando viu que ficou grávida, tornou-se muito arrogante para com a sua senhora.
GEN.16.5	Então Sarai disse a Abrão: “A culpa disto tudo é tua; dei eu própria a esta minha criada o privilégio de ser tua mulher e agora despreza-me! Que seja o 
GEN.16.6	Respondeu-lhe Abrão: “Tens toda a liberdade para castigar a mulher como entenderes.” Sarai maltratou-a e ela teve de fugir. 
GEN.16.7	O anjo do 
GEN.16.8	“Agar, tu és a criada de Sarai e estás aqui? Donde vens? Para onde vais?”
GEN.16.8	“Venho fugida da casa de Sarai, a minha senhora”, foi a resposta.
GEN.16.9	“Volta para a tua senhora e obedece-lhe; 
GEN.16.10	porque hei de fazer de ti uma grande nação, um povo que se multiplicará de forma incontável. 
GEN.16.11	O filho que vais ter chamar-se-á Ismael, pois o 
GEN.16.12	Este teu filho há de vir a ter um carácter rebelde, tão livre e indomável como um jumento selvagem! Será contra todos, e toda a gente será contra ele. Mas viverá perto dos que são da sua raça.”
GEN.16.13	A partir de então, Agar passou a referir-se ao 
GEN.16.14	Mais tarde, esse poço ficou a ser chamado Poço de Laai-Roi.
GEN.16.15	Assim, Agar deu um filho a Abrão e este chamou-lhe Ismael. 
GEN.16.16	Tinha então Abrão a idade de 86 anos.
GEN.17.1	Quando Abrão era de 99 anos, o 
GEN.17.2	Vou fazer uma aliança contigo, garantindo-te que te hás de tornar num grande povo.”
GEN.17.3	Abrão inclinou-se profundamente diante de Deus, o qual continuou: 
GEN.17.4	“É esta a minha aliança: serás o pai não só de uma nação, mas de uma grande quantidade de nações. 
GEN.17.5	E mais ainda; vou mudar-te o nome, que não será mais Abrão, mas Abraão, pois por pai de muitas nações te constituí. 
GEN.17.6	Dar-te-ei milhões de descendentes que constituirão muitas nações. Haverá mesmo reis na tua descendência. 
GEN.17.7	E esta aliança que fica estabelecida entre mim e ti continuará através de todas as gerações futuras, para sempre; porque se aplica não só a ti mas a todos os que hão de ser teus filhos. É como um contrato em como eu serei teu Deus e Deus de toda a tua posteridade. 
GEN.17.8	Dar-te-ei esta terra de Canaã, a ti e a todos eles, para sempre. Serei com efeito o seu Deus.”
GEN.17.9	Deus acrescentou ainda: “A parte que te diz respeito neste acordo é esta: obedeceres à minha aliança. Tu pessoalmente, assim como toda a tua descendência, 
GEN.17.10	terão continuamente este dever: todo o que nascer, do sexo masculino, terá de ser circuncidado. 
GEN.17.11	Isto será uma prova em como tu e eles aceitam esta aliança. 
GEN.17.12	Todo o que for do sexo masculino será circuncidado oito dias depois de ter nascido. E isto aplica-se tanto aos que forem da vossa família e da vossa raça, como aos estrangeiros que viverem convosco, e também aos criados e escravos, que tenham sido adquiridos por dinheiro. 
GEN.17.13	É assim um sinal permanente como prova deste acordo, e aplica-se tanto a ti como aos teus descendentes. Todos deverão ser circuncidados. Todos terão desta forma, em si mesmos, uma marca física da sua participação nesta aliança perpétua. 
GEN.17.14	Aqueles que recusarem aceitar os termos deste acordo terão de deixar de fazer parte do seu povo, visto que violam a minha aliança.”
GEN.17.15	“E no que diz respeito a Sarai, a tua mulher”, acrescentou Deus, “também o seu nome não será mais Sarai, mas Sara, 
GEN.17.16	porque hei de abençoá-la e terás um filho dela. Sim, abençoá-la-ei ricamente e será mãe de muita gente. Muitos povos, e até reis, constituirão a sua posteridade.”
GEN.17.17	Abraão inclinou-se em adoração a Deus. Contudo, no seu íntimo, não se impediu de achar graça e de se rir, numa atitude de descrença! “O quê, eu, pai, agora com 100 anos?”, pensou. “E a Sara nascer-lhe um filho agora aos 90?”
GEN.17.18	Então Abraão exclamou: “Pois sim, abençoa então Ismael!”
GEN.17.19	“Não!”, insistiu Deus. “Não é isso que te estou a dizer. Sara, a tua mulher, dará à luz um filho. E o nome que lhe vais dar será Isaque. E estabelecerei a minha aliança com ele, para sempre, assim como com os seus descendentes. 
GEN.17.20	Quanto a Ismael, com certeza que também o abençoarei, tal como me pediste agora. Terá uma abundante descendência e tornar-se-á uma grande nação. Haverá doze príncipes no meio da sua posteridade. 
