GEN.1.1	Apanll chtakchu, kanindaatstam, tsapootstam tinarangiya. 
GEN.6.7	Ashiriya, nuw tputsee izuuru wanichima; ichingaru tpachingachima. Ichinguru zamizpatarta, maachit purangtaru anpatatam, mishat manginshuchpatatam, ichingaru tpachingachima. Tputsireemi tinarangitaati, ¿mayaamaja nuwaa kuki kapeetak? Apanll tárangiya. 
GEN.6.8	Táyaru, Noweetsimsha kis napkina, Shiy wanasirtishcha, tárangiya.
GEN.6.8	Ashiriya, na kamaneena yuwaa tputs yutarit taarangana anootsi.
GEN.6.9	Tputs yutaritshisheetsimari chinarangana. Itaru, Nowerinsha nda ashirangiya; Apanlleetsimari kapung chinarangiya. Mang' kis Apanllpata ipunarangiya. Tiptsirshtisin Nowee kis naparanganaya. 
GEN.6.10	Wipsha tuchpamuna: sura Simo, Kamu, Hapeta; aship taaranganaya 
GEN.6.11+GEN.6.12	Apanll tputsee parangu, ichingarusincha yutaritshisheetsimarit chinakana. Tsiyantaksin, waratkusin, pachakaktangat ashkusin, ichingaru tsapurunas ztaru ashiranganaya. 
GEN.6.13	Ashiriya, Apanllsha Nowee tárangiya: Tsapurunasshuch tputs ichingarusin yuwaatsimari waana zandkana anootsimari ashkanaya. Nda pakchiyam nuwaa chinakanaya. Ashiri nuw ichingaru tpachingachima. Izuuru kachingchima. Yuw ichingaru maachit manginshuch tsapurunasush taakana anoo tpachingayaruri kasachima, Apanll tárangiya.
GEN.6.14	Ashiriya, shiysha karipanpa boteem kapung warkashtangcha. Nda kuchamaama ichingaru pingartangcha; wantsush pingartaku, minsha iwaz pingartaku shingcha. 
GEN.6.15+GEN.6.16	Ashiri boteem tinakchush, tuchip pisu, anumunshat iwaz 'sineemaam wachoo wayangcha. Sheerush, wantsush tandapunu shingcha yuwash maachi ichingaroom wayachish anooma, Apanll Nowee tárangiya.
GEN.6.15+GEN.6.16	150 metoro wazuranirini botee tinangcha. Zánganarinshtini 25 metoro, íwaririnsha wingu 15 metoro, ashiru boteem tinangcha. Mishat, yuwaari 'sineemaam wach chawap metoro karartangcha. Mishat, wachoom tinangtamcha pshtumaama. Ashiri yuwari nuw kamachtarangi anuritam shingcha. 
GEN.6.17	Yuwaparamchush, nuwsha sinaa kizpur zanganchima. Tsapoo ichingaru puchiya. Ichingaru yuw nuw tinarangi anoo izuuru tpachingachima. Ichingaru tsapurunasshuch tsipachinllinaya. 
GEN.6.18	Itaru, siyamaritis kamungatssa, watam nuw shiyapat amikurtaranginawa. Ashirucha, shiyamari iparpatish, izanllpatatamtish, iparpatatamtish wizanll botish zarungtsa, atashina. 
GEN.6.19	Mishat, maachi zamiz ichingaru yamangcha. Upapchir minam, wizarsha minamtam ashiru, yuw ichingaru tsapush taataru anootsi, 
GEN.6.20	yuw pshiyrataru anootstam, tsiripcheewtstam, chinuzeewtstam wakaraa, botish tuzarungcha. ¿Tamashta yusur ayam pzapanichinllina tsapurunasshu? Ashpari boteerishish tapshtungcha. 
GEN.6.21	Mishat, watungasheem pshtangtamcha maacheemi chinuzeem maritamaama, tárangiya Apanlli Noweetsi.
GEN.6.22	Ashirucha, Nowerinsha anuritam botee tinarangiya yuwaa Apanll kamachtarangu anootsi.
GEN.7.1	Ashiri botee ichingaru iwaparamchu, Apanllsha Nowerineetsi: Shiya misha ipartamtish wizanllpatari zarungtsa. Ashiri nuw siyaa tapachindachintspa. ¿Chakaja shiyapa tatsamooch? Siyamari wanasirtischa. Shiy wanasir taamaam chinarangsa, tárangiya Apanlli. 
GEN.7.2+GEN.7.3+GEN.7.4	Nimun tsimbun matayaru zari sinaa zanganchima. Sin sinasintar ashku 40 zar taachiya. Ashiri wanasir mazinangcha. Yuw maachi ichingarusin taakana anoo yamangcha. Itaru, zamzimari upapchiri 7 yamangcha; misha wizarsha sietitam yamangtamcha ayam tsapurunasish pzapaneemaama. Mishat, manginshucheetssha mantsamoo upapchir minamtam wizar minamtam ashiru yamangcha. Yuw katuchkachu anoo izuuru tpachingachima ichingaru tputspatatamta, Nowee tárangiya Apanlli.
GEN.7.5	Nowerinsha, Ayu tárangiya yuwaa Apanll kamachtarangu anootsi. 
GEN.7.6	Yuwapur sin sinamaam chtarangu anpur Nowerini 600 masachirini taarangiya. 
GEN.7.7	Chiynaa kamungachpachee, tárangusin, wipapat, wizanllpatatam, wipaptatam wizanll ashirusin ichingarusin zaruranganaya. 
GEN.7.8	Maacheetsi ichingaru izarurangiya. Zamzee, purangtaru anootstam, pshiyrataru tsapushu anootstam, ichingaru tsapurunasish taakana; manginshuchi anoo tapshturangiya. 
GEN.7.9	Upapchir, wizar ashirusin kusatarangusin, Nowepat washunand zaruranganaya, watam Apanll waana kamachtaranguwa. 
GEN.7.10	Zaruramchusin, anumun tsimbun matayaru zari tushiyramchu, anush tsapurunasee tayutaritamaam chtarangiya. 
GEN.7.11+GEN.7.12	Nowerini 600 masachirini taarangiya. Anumunsha tsimbun tsupi tushiyramchu, kanindamand sin kapung zaw zaw ashirangu, tsapushsha kazupeeru anush kung kapungtam zaw zaw ashitangattamta. Ichingaru zar psaanpatari putam putam ashiru sinarangiya. 40 zar sinarangiya. Nda pastarangiya.
GEN.7.13	Kaapa nuwaa kuki mazinangtsa. Anpur zar ndatuma sin sinaru, Nowerini botirinshini zaruranganaya. Ichingaru wip ashparta Simo, Kamu, Hapeta, wip wizanlli tuchparitamsina zaruranganaya. 
GEN.7.14	Sheersin, maachitpatari washunand yapatarsin, zamzitam, manginshuchtam, chinuztam, yuwatam tsapumun pshiyrataru anutam zaruranganaya. 
GEN.7.15+GEN.7.16	Ashirusin, washunandari maachi ichingaru upapchir wizarpatari tsimbun tsimbun ashirusin botish zaruranganaya. Nowerini yuwari Apanll kamachtarangu anooritam tuminurangiya. Ashiramchu, ichingaru maachi zarum yuwaparamchu, Apanllsha waana wachoo mbam shtandayaru kasarangiya.
GEN.7.17	Kizpuri ichingaru zar sinasintar ashirangiya. 40 zar kaschiritam psaanpatari sinarangiya. ¡Maya! tsapoo ichingaroo purangiya. Botsha pamuzingarangiya. 
GEN.7.18	¿Mayaatseeja nda puch? Ichingaru purangiya. Itaru, botsha muziztar ashirangiya. 
GEN.7.19	Kizpur kung kumbiyrangu, ichingaroo macheewa yuwaatstaa kizpur íwar anoowaatstaa purangiya. 
GEN.7.20	Ashirangu anumunsha, kung wandari aranginasha machee kuwiz arangich tsimbun matayaru metor kánuru purangiya. 
GEN.7.21	Ashiriya, ichingaru manginshuch tsiparanganaya. Izuuru maachee pchingaranganaya. 
GEN.7.22	Yuw tsapush maachi zamiz ichingaru taakana an, misha mantsamtam ichingaru kungumun tsiparanganaya. Minamtiyam nda kchitarangiya. Tputstam ichingarusin pchingaranganaya. 
GEN.7.23	Maachi ichingaru kchitamuntaa taarangu, ashiritaa Apanll waana izuuru tpachingarangiya kungupta. Itaru, Nowerinchichimari tputs botosh ichingarusin kamungaranganaya. 
GEN.7.24	Kungsha watam tsapurunasee zameetpat tsup izuuru puru taarangiya.
GEN.8.1	Anush botish taar ashkusin, Apanllsha Nowerineetsini ksutarangiya. Ichingaroo ashparitaa chinarangiya; nda mbizarangiya. Zamzeetstam, manginshucheetstam kizpur chinarangiya. Waana wizpuririni kambusuroo zanganirangu, kungsha manasamaam chtarangiya. 
GEN.8.2	Mishat, kung mimim shitangat ashirangu antam zanayarangiya. Mishat, sinasintar ashirangu anutam tsíparangitamta. 
GEN.8.3	Sheeru, zameetpatash tsupi manasam chtarangiya. Anush apinll manas, manas shitarat ashirangiya. 
GEN.8.4	Ashiriya, tsimbun matayaru tsupi tushiyramchu, anumunsha 17 maatsi bot mach sur Araratamuna tamuyeeramach ashirangiya. Tamuyeeramchu, anamunsha kungsha aranginasha manasatarat ashirangiya. 
GEN.8.5	10 tsupi anumun minam maatsi tushiyramchu kung manasarangiya. Tsapoo machee íwar paranganaya. 
GEN.8.6	Machee paramchusin, anumunsha 40 maats tushiyramchu, Nowerinsha botee wachoo tawatarangiya. 
GEN.8.7	Yunganee putayaru, yachamaam zanganirangiya. Itaru, yungansha naatarangu, nda waptam kanapurangiya. Ndaturi manasaru, piyamsha mangakatara, piyamsha mangakatara ashishtar ashirangu, Waziweeyi, átu, xapoorangu, ambirisha tsiparangiya. 
GEN.8.8	Sheeru, Nowerinsha ¿Tamaa kung manasakachtee? tárangu, mukukootssha yachamaam zanganirangiya. 
GEN.8.9	Mukuksha naatarangu, yasinaa naxpoorangu, wapitam botish kusarangiya. Nowerinsha mukukoo putayaru, washtam wachush yapshturangiya. 
GEN.8.10	Sheeru, yusursha minam simanaa tushiyramchu, anumunsha yusur mukukoo yachamaam zanganirangiya. 
GEN.8.11	Mukuksha naatarangu, zar pukamchu masharootssha kamachip waru olivo kasutsutanu yushindarangiya. 
GEN.8.12	Ashiriya, anumandsha Nowerini kungoo yasarangiya. Manasayanllparee. Napa, masharoo yushindayaru, tárangiya. Yusursha minam siman tushiyramchu, mukukoo putayaru zanganirangiya. Mukuksha naatarangu, ambirishat tsípataramach ashirangiya.
GEN.8.12	Ashiriya, na kamaneena yuwaa Apanll tsapoo kungupa purangu, itaru Nowerinsha nda tsiparangu anootsiya.
GEN.8.13	Yuwash Nowerini 601 masach tatsamooramchu, anush tsup tsap puzarangiya. Anshurtatam zar, masach, Nowerinsha ashchiri pangoo tawatarangiya. 
GEN.8.14	Anumunsha, tsimbun tsup, yusur 27 zar tushiyramchu, tsap wanasir puz ashirangiya. 
GEN.8.15	Apanllsha Nowerineetsi, Shtungangcha ashparitis, tárangiya. 
GEN.8.16	Iparpatartish, izanllpatartish, iparpatartamtish wizanll shtungangcha. 
GEN.8.17	Sheerush, zamizsha tshitungangcha. Ashpari maachi ichingaru manginshucheetstamta tshitungangcha. Waani arang pzapanichpa tsapurunasshu, tárangiya Apanlli. 
GEN.8.18	Nowerini botosh shitungaranganaya, wipaptarta, wizanllpatatamta, wipaptatam wizanlli. 
GEN.8.19	Sheeru, zamzeetssha manginshuchpatari ashpari tashitungartaranganaya. 
GEN.8.20	Sheeru, Nowerini, Apanlleem ungirtapi átu, patumbchee xanateeru, zamzee putayaru, minchich minchich sheeru, anush muchirangiya. 
GEN.8.21	Apanllshat anoo kis naparangiya. Ksatam ishingarangiya. Kizpuritam mang' ksarangiya. Apanllsha: Na nimun ndusha kungupat tputsee tpachingachima, tárangiya. Tputs kanungasimandari mantsir taaktaateesinaya, yutaritshisheetsimari chinaktaateesinaya ashiru, yusur kungupa tputsee tpachingcheezi ndambari. Maacheetstatam zamzee, manginshuchee nduntam yusur kungupat tpachingacheezi, tárangiya.
GEN.8.22	Ndatuma tsapurunas pastaru,
GEN.8.22	Siy tputsis tatsumkus, pusakus ashkus taatssa.
GEN.8.22	Zaritam ksaneemaam, mishat kachizaamtam taachiya.
GEN.8.22	Minurpasaamtam, zarpasaamtam ashishtar ashku tsup tushiychiya.
GEN.8.22	Mishat, psaanaamtam, kaschireemtam ashiru ayamtaatiya urutamari taachiya.
GEN.8.22	tárangiya Apanlli iyaam tsapurunasshucheemani kasakchu.
GEN.9.1	Ashiriya, Nowerineetsi Apanll tsiyatarangiya ichingaru wipaptarta. Na nuw shiyaam kapung istachintspa. Siysa ipareemis iwanzukinaareesa, urupa tsapurunasish pzapaneerus taatssa, Apanll tárangiya. 
GEN.9.2+GEN.9.3	Siyamari manginshuchee, zamzeetstam, kungushcheetstam, tsapumun pshiyrataru anootstam, ichingaroo siyamari kasirus taatssa. Ichingaru maachi tputseetsis punichinlliniya. Siyamari katungkus taatssa. Washunand yuwapa tatsumkis anpat ktungangtsa. 
GEN.9.4	Itaru, zamzeetsshat katungamaam zandkus, ursiree izuuru kapeeteerus ktungangtsa. Watam zamiz ichingarusin ursirimuntam kchitaru taakanawa. 
GEN.9.5+GEN.9.6	Mishat, ngutish tputsee pcharintspa. Watam tputsee nuwaana tamaparina ashiritam tinaranginawa.
GEN.9.5+GEN.9.6	Tputssha waannaari tputspatatin pachakchinaari ashiru,
GEN.9.5+GEN.9.6	siysa anumand tputsee pchangtamtsa.
GEN.9.5+GEN.9.6	Mishat, manginshuchsha kázamish tputsee zakchinaari ashiru,
GEN.9.5+GEN.9.6	siysa anumand pchangtamtsa.
GEN.9.7	Ashiriya, wanasiririsha ipareetsish pzapaneengtsa.
GEN.9.7	tárangiya Apanlli.
GEN.9.8+GEN.9.9+GEN.9.10+GEN.9.11	Anumunsha Apanll Nowerineetsi mishat wipaatstam; Nat in nuw siyapat tputsiripti izuuru amikurtachima. Nuw kuki urutamari taachiya, tárangiya Apanlli. Anootstam zamzeem tárangitamta yuwaa botish maachi ichingarusin shitungarangana anootsi. Zamzi, misha manginshuchitamta, mishat chinuztamta ashirusin waani tsapurnasish taachinllinpa. Nuw siyaa kizpurcha chinaki. Nimun ndushapari tputsee, ayamtaati tputsee, mishat maacheetstatam kungupa tpachingacheezi, ndambaree. Tpachingarangi anoo ndushapa ashtachina. 
GEN.9.12	Ashiriya, na siyaam chinakuri, nda mbizamaam tsungee wayachima. In tsiyatsis ayamtaati nda pastachiya. Tputseetstamtis, ichinguroo manginshucheemtam wayachima. 
GEN.9.13	Nuw kanindap tsungee tuyamandakchuri napangtsa. Anumand siysa pakchus, iyaa Apanll ndushaparee kungupat tpachingachiya, tángtsa. 
GEN.9.14+GEN.9.15+GEN.9.16+GEN.9.17	Na nimun ndushapari sinapa tputsee tpachingachina. Ashiriya, sin tapitara ashkitaati, nuwsha tsungitkachuri, yuwaa tárangi anoo chinakchuri, sin ndunshaparee siyaa tpachingachiya. Nuw siyangaz kizpur chinakuri ashtachima. Ichingarumarita, manginshuchtam, zamzitam ichingurusin anoo pangchinllinaya. Ashiriya, yuwaa tárangi anoo urutamari taachiya, tárangiya Apanlli.
GEN.9.18	Ashiriya, Nowerinsha wip Sim, Kam, Hapet, ashirusin taaranganaya. Kamsha wip Kanaana taarangitamta. 
GEN.9.19	Nowerini wip tuchip taarangu, anumandarisha arangeem tsapurunasish tputs pzapaneeranganaya.
GEN.9.20	Anpur Nowerinsha kizpur mzatspaneem taarangiya. Mzayaru, kizarunaa tatsumirangiya. Itaru, kizarunsha kayanarangu, anoo pusayaru, kanasharangiya. 
GEN.9.21	Sheeru, anoo kis waarangiya. Warangu, kizpur karusarangu, pangushsha zapeeru tsapush tamuramach ashirangiya. 
GEN.9.22	Wipsha Kam waparish pang' pshtuyaru, nda ksimunaku, nap ashku, wapar zapeeru tamuru anoo parangiya. Shitungeeru, zoonlleetsshat kamanirangiya, 
GEN.9.23	Zoonllsha wapareem punlloo yáyashinu, pupi átu, waparee zapeeru anoo ksimunaku, ushpiri kanap kanap sheeru, punllupa puyaru, kasarangiya. 
GEN.9.24	Zapish Nowerini warsar ipuriramchu, yuwaa wip Kam waanaatsi parangu anoo yasarangiya. 
GEN.9.25	Yasayaru, Nowerinsha Kamoo wip, waanaatsi wachinllinoo Kanaanaa mantsir tsiyatarangiya.
GEN.9.25	Shiynaa Kanaanaa, kiyung kachiykush taachsha.
GEN.9.25	Shiyaatsimari zuwanllish itarawaztaksin,
GEN.9.25	Muchchureem ínaksin taachinlliniya.
GEN.9.25	Nowerini tárangiya. 
GEN.9.26	Tárangu anumunsha, Apanlleetssha:
GEN.9.26	Apaa, yuwamand Sim shiyaa chinaku anumand wappari, shiyaa atina.
GEN.9.26	Waani Kanaanaa muchchureem wayachiya.
GEN.9.27	Hapetaatssha wachinllin istakchush,
GEN.9.27	tsapurunasee ztaru taachinllinaya.
GEN.9.27	Simosh watsapun washunand taachinllinaya.
GEN.9.27	Itaru, waani Kanaanaatssinaa muchchureem ínachinllinaya,
GEN.9.27	Nowerini Apanllee tárangiya.
GEN.9.28	Nowerinsha yuwamun Apanll kungupa tsapurunasee purangu anumun iwaz taarangiya 350 masachirini. 
GEN.9.29	Washunandsha sirú yuwapa masachirini taarangu anpatarisha 950 masachirini taaramchu anush Nowerini tsiparangiya.
GEN.9.29	Ashiriya, na kamaneena yuwaa Nowerini botish shitungeeru taarangu anootsi.
GEN.10.1	Nowerini wip tuchip taarangiya: Sim, Kam, Hapet, ashpa.
GEN.10.1	Yuwamun tsapurunasee kung purangu anumun iwaz Hapetarinshat uwshat arang pzapaneerangiya. 
GEN.10.2	Wip kamuzanand arangich tsimbun matayaru taarangiya.
GEN.10.2	Iwachiztamarini sura Gomer,
GEN.10.2	anumunshat Mangung,
GEN.10.2	Madayi,
GEN.10.2	Avana,
GEN.10.2	Tubara,
GEN.10.2	Misek,
GEN.10.2	Tirasa,
GEN.10.2	aship taarangiya.
GEN.10.3	Sheeru, Gomershat uwshat arang iparinarangitamta.
GEN.10.3	Sur Askenasa,
GEN.10.3	anumunsha Aripata,
GEN.10.3	Tokarinee, ashpamuna.
GEN.10.4	Avanshat uwshat arang iparinarangitamta.
GEN.10.4	Sur Elisa,
GEN.10.4	Társis,
GEN.10.4	Kitim,
GEN.10.4	Rodanin.
GEN.10.4	Aship Hapetarinchich wachinllin pzapaneerangana. 
GEN.10.5	Ashirucha, musamun wing pseertayarusin taaranganaya. Yapiri zandkana ambirisha nambeersin, watsapuneemarisha pachirtayarusin taaranganaya. Kuksha nllitaritawsha tsiyatartarangana.
GEN.10.5	Ashiriya, na kamaneena yuwaa Hapetarinchich wachinllin pzapaneerangu anootsi.
GEN.10.6	Kamurinshitini uwshat arang iparinarangitamta.
GEN.10.6	Iwachiztamarini sur Kus, anumunsha
GEN.10.6	Misrayima,
GEN.10.6	Puta,
GEN.10.6	Kanaana,
GEN.10.6	aship iparinarangiya.
GEN.10.7	Kussha uwsha wip arang iparinarangitamta
GEN.10.7	Seba, anumunsha
GEN.10.7	Apira,
GEN.10.7	Arooma,
GEN.10.7	Sapteka,
GEN.10.7	aship taarangiya. Aroomshat uwshat arang iparinarangitamta sur Sepa, anumunsha Dedana aship taarangiya.
GEN.10.8	Kusshat uwshat arang minumari iparinarangiya Nimrodaatsimarita. Nimrodsha kizpur kurakamuna. Ashchiri tsapurunas waamari kurak kasiru taarangiya. 
GEN.10.9	Mishat, kizpur washungamuna. ¿Chakaja waapa tatsamooch? Waamari ashiru Apanll kasarangiya. Ashirucha, tputs machin zamzee pachaku anoo pakchusin, Uru shiy ashtarish. Waj shiy Nimrodarini ashirish, táranganaya. 
GEN.10.10	Nimrodarini kizpur kurakamuna, tputsee waamari ksutku taarangiya. Tsap Sinarush ipunpunar yakat taarangu anoo waamari ksutarangiya. Yakatsha sur Babel, Erek, Akat, anumunsha Kalné, ashiru taarangiya. 
GEN.10.11	Zapishsha Nimrodarini zaree puwachingaratu táshtap naatarangiya. Ambirisha yaktaam ipunpunartam wayarangiya. Yaktarini sur taarangiya: Ninipi, Areopitira, Kara, Aresema. 
GEN.10.12	Aresemsha yakat apusantaru kapung taarangiya. Ninipisha piyamaritam taarangiya; Kalsha arangich watandaram taarangiya.
GEN.10.13	Kamurinsha wip Misrayit waanitaritamsin taaranganaya.
GEN.10.13	Ludewshuchsha tputs anchichtamta.
GEN.10.13	Anamshuchsha tputs anchichtamta.
GEN.10.13	Areopitshuchsha tputs anchichtamta.
GEN.10.13	Naptoyshuchsha tputs anchichtamta.
GEN.10.14	Patrosewshuchsha tputs anchichtamta.
GEN.10.14	Kaslohitshuchsha tputs anchichtamta.
GEN.10.14	Kaptowitshuchsha tputs anchichtamta. Itaru, Filistewshuchsha tputs Kaptowitchichi.
GEN.10.14	Ashpisin Misraychichinandari tputs taaranganaya.
GEN.10.15	Kanaansha wip tsimbun taarangiya. Iwachiztamarini sur Sidon, anumunsha Heta. 
GEN.10.16	Hetchichinandarita ichingaru
GEN.10.16	Jebusewshuch tputs anchichtamta.
GEN.10.16	Amorrewshuchsha tputs anchichtamta.
GEN.10.16	Gergesewshuchsha tputs anchichtamta.
GEN.10.17	Hebewshuchsha tputs anchichtamta.
GEN.10.17	Arasshuchsha tputs anchichtamta.
GEN.10.17	Sinshuchsha tputs anchichtamta.
GEN.10.18	Arwatshuchsha tputs anchichtamta.
GEN.10.18	Semarshuchsha tputs anchichtamta.
GEN.10.18	Hamatshuchsha tputs anchichtamta.
GEN.10.18	Anchich tputs ashpisin pzapaneeranganaya. Sheersin, ambirisha yap zandkana amb nambaranganaya. 
GEN.10.19	Ambiritam watsapuneem pachirtaranganaya. Sidonshuchshat tputs zaree puwachingaru tuwash naatarangsin, ambirisha yakat Guerarush, mishat Gasash kusaranganaya. Minchichshat tputs yap zar yaku amb naatarangsin, yakat sur Sodoma, Gomora, Átamu, Sepoyin, arangeemsha Arasa aship taarangu, amb kusataranganaya. 
GEN.10.20	Ashiriya, Kamchichinandaritam pzapaneerangusin, minchich piyam, minchich piyam ashirusin taaranganaya. Sheersin, waanitaritam kuk tsiyataranganaya.
GEN.10.20	Ashiriya, na kamaneena Kamurinchichinandari wachinllin pzapaneerangu anootsi.
GEN.10.21	Nowerini wip iwachiztamarini Simomuncha. Waamari zoonllee Hapetarineetsi putsisarini kasirangiya. Simorincha wip arang pzapaneengu, anchichinand zapish Eberchichsha arang pzapaneerangitamta Hebrewshucheema. 
GEN.10.22	Simorin wip zameetpa taarangiya.
GEN.10.22	Iwachiztam sura Eram,
GEN.10.22	anumunsha Asór,
GEN.10.22	Arfaksad,
GEN.10.22	Lud,
GEN.10.22	Aram
GEN.10.22	ashpamuncha ichingaru. 
GEN.10.23	Mishat, Eramurinsha wip taarangtamta. Iwachiztamarini sura Us, anumunsha Ur, Keter, Mas. Ashpamunsincha.
GEN.10.24	Arfaksadsha uwshat wip minam wanindarangiya sura Salája. Uwshat, Salájshat wip suru Ebera. Anumari taarangiya. 
GEN.10.25	Ebersha wip tsimbun taarangiya. Iwachiztamarineetsini wip sur ísamarangiya Peleka. Anumunatsha Jokatánmuncha. Yuwapursha Pelekarini taarangu anpur zar tputs watsapunee kasatartayarusin, piyamsha pseertaranganaya. Ambirisha watsapuneem pachimbaranganaya.
GEN.10.26	Sheeru, Jokatánarinshitini uwshat arang iparinarangitamta.
GEN.10.26	Wip iwachiztam suru Armotat,
GEN.10.26	anumunsha Selef,
GEN.10.26	Jasarmavet,
GEN.10.26	Jera,
GEN.10.27	Adoram,
GEN.10.27	Osar,
GEN.10.27	Tikra,
GEN.10.28	Opar,
GEN.10.28	Apimayir,
GEN.10.28	Sap,
GEN.10.29	Opir,
GEN.10.29	Hapir,
GEN.10.29	Jobaba.
GEN.10.29	Ashpamunsincha. Waatatssincha ichingarusin Jokatánarini wipa.
GEN.10.30	Watsapuneetssha sur ísamaranganaya Misaa. Ambirisha tsap sur taarangitamta Separa yap zar puku machpi kung katuktakatu ambi. Mang ansha anchichinandari tputs itsutaru taaranganaya.
GEN.10.31	Ichingarusin Simorinchichinandaritcha. Anchichinandari pseertaranganaya. Minchich piyam, minchichsha piyamaritam ashirusin naatartaranganaya. Mishat, kuksha waanitawaritam tsiyataranaya. Watsapuneemsha waanitawaritam pachirtaranganaya. Sheersin, waantawari watsapuneewamarisha yambaranganaya.
GEN.10.32	Waatatcha ini ichingarusin Nowerinchichi tputsi. Yuwamun tsapurnasee kung purangu anamunach iwaz tputs pzapaneerangana. Sheersin, ambirisha yakat pzapaneerangu, tsapurnas ztasha taaranganaya. Ashparitani iy Nowerinchichtanicha.
GEN.10.32	Ashiriya, na kamaneena yuwaa Nowerinchich pzapaneerangana anootsi.
GEN.11.1	Yuwapur tputsee kungupa Apanll waneerangu anumun iwaz tputs minamari k'kuz tsiyataranganaya. 
GEN.11.2	Yap zar yaku amb apinll naatarangsin, tsapoo parangusin, sura Sinara anush kusaranganaya. Tsapoo tandsaa wanasir pachirtaranganaya. Anshurisha taaranganaya. 
GEN.11.3	Zapishsha tputs waanpatatin tsiyatkusin táranganaya. Na ladrichoom tinayani. Tsapupat tinayaruni, mbamakchu, sumasush kchayani, tárangusin, ladrichoom tinaranganaya. Tinayarusin, pingarpat tapatstarangusin, washunand panguranganaya. 
