GEN.1.1	Idi punganay, pinarsua ti Dios ti lubong.
GEN.10.9	Babaen iti tulong ti Dios, nagbalin a nalaing a mangnganup ket daytoy ti nakaigapuan ti pagsasao, “Pagbalinennaka koma ti 
GEN.10.10	Sakupen ti umuna a pagarian ni Nimrod ti Babel, Erec ken Akkad—adda amin dagitoy iti daga ti Siniar. 
GEN.10.11	Manipud iti dayta a daga, napan ni Nimrod idiay Asiria ket binangonna dagiti siudad ti Nineve, Rehobot-ir, Cala 
GEN.10.12	ken Resen nga adda iti nagbaetan ti Nineve ken ti kangrunaan a siudad ti Cala.
GEN.10.13	Ni Egipto ti nagtaudan dagiti tattao ti Lydia, Anam, Lehab, Naftu, 
GEN.10.14	Patros, Caslu ken ti Caftor a nagtaudan dagiti Filisteo.
GEN.10.15	Dagiti annak ni Canaan—ni Sidon, nga inauna, ken Het—dagiti naganda ti naisurat kadagiti tribu a kaputotanda. 
GEN.10.16	Ni pay Canaan ti kapuonan dagiti Jebuseo, dagiti Amorreo, dagiti Gergeseo, 
GEN.10.17	dagiti Heveo, dagiti Arkeo, dagiti Sineo, 
GEN.10.18	dagiti Arvadeo, dagiti Zemareo ken dagiti Hamateo. Nagwaras dagiti nadumaduma a tribu dagiti Cananeo 
GEN.10.19	agingga a dimmanon ti beddengda manipud Sidon nga agpa-abagatan idiay Gerar, iti asideg ti Gaza ken agpadaya idiay Sodoma, Gomorra, Adma ken Zeboiim, iti asideg ti Lasa. 
GEN.10.20	Dagitoy dagiti kaputotan ni Ham nga agnanaed kadagiti nadumaduma a tribu ken ilida; adda bukod a pagsasao ti tunggal grupo.
GEN.10.21	Ni Sem a manong ni Jafet ti kapuonan dagiti amin a Hebreo. 
GEN.10.22	Dagiti annak ni Sem—da Elam, Assur, Arpaksad, Lud ken Aram—dagiti naganda ti naisurat kadagiti tribu a kaputotanda. 
GEN.10.23	Kaputotan ni Aram dagiti tattao ti Uz, Hul, Geter, ken Mesec. 
GEN.10.24	Ni Arpaksad ti ama ni Sela nga ama ni Eber. 
GEN.10.25	Dua ti annak ni Eber; maysa ti napanaganan iti Peleg
GEN.10.26	Kaputotan ni Joktan dagiti tattao ti Almodad, Selef, Hasarmavet, Jera, 
GEN.10.27	Hadoram, Uzal, Dikla, 
GEN.10.28	Obal, Abimael, Seba, 
GEN.10.29	Ofir, Havila ken Jobab. Nagtaudda amin ken ni Joktan.
GEN.10.30	Sakupen ti daga a pagnaedanda manipud Mesa agingga idiay Sefar, iti katurturodan iti daya. 
GEN.10.31	Dagitoy dagiti kaputotan ni Sem nga agnanaed kadagiti nadumaduma a tribu ken ilida; adda bukod a pagsasao ti tunggal tribu.
GEN.10.32	Dagitoy dagiti pagilian a nagtaud kadagiti annak ni Noe ken dagiti puli a simmaruno kadakuada. Isuda ti nagtaudan dagiti pagilian kalpasan ti layus.
GEN.11.1	Idi un-unana, maymaysa ti lengguahe dagiti tattao iti entero a lubong ket agpapada dagiti sao nga usarenda. 
GEN.11.2	Iti panagturongda iti daya, dimtengda iti maysa a daga iti Siniar ket nagnaedda sadiay. 
GEN.11.3	Nagtutulagda nga agaramid iti adu a ladrilio ket lutuenda a naimbag tapno tumangken. Ket naaddaanda kadagiti ladrilio a pagbangonda ken alketran a pannakasementoda. 
GEN.11.4	Kinunada, “Ita, mangbangontayo iti siudad nga addaan iti torre a dumanon idiay langit tapno agbalintayo a nalatak ket ditay masinasina iti entero a daga.”
GEN.11.5	Bimmaba ni Yahweh tapno kitaenna ti siudad ken ti torre a binangon dagitoy a tattao. 
GEN.11.6	Kinunana, “Sangsangkamaysa dagitoy a tattao ket maymaysa ti pagsasaoda. Pangrugian la daytoy ti panggepda nga aramiden. Kabaelandanton nga aramiden ti aniaman a kaykayatda. 
GEN.11.7	Bumabatayo ket kirokiroentayo ti pagsasaoda tapno dida agkikinnaawatan.”
GEN.11.8	Iti kasta, inwaras ida ni Yahweh iti entero a daga ket naisardeng ti pannakabangon ti siudad. 
GEN.11.9	Napanaganan ti siudad iti Babel agsipud ta kinirokiro ni Yahweh ti pagsasao dagiti amin a tattao ket manipud sadiay, impanna ida iti nadumaduma a paset ti daga.
GEN.11.10	Dagitoy dagiti kaputotan ni Sem. Dua a tawen kalpasan ti layus, naparaburan iti anak a lalaki a napanaganan iti Arpaksad. Agtawen idin ni Sem iti sangagasut. 
GEN.11.11	Nagbiag pay ni Sem iti 500 a tawen ket naaddaan pay iti dadduma nga annak.
GEN.11.12	Idi agtawen ni Arpaksad iti 35, naparaburan iti anak a lalaki, ni Sela. 
GEN.11.13	Nagbiag pay ni Arpaksad iti 403 a tawen ket naaddaan iti dadduma nga annak.
GEN.11.14	Idi agtawen ni Sela iti tallopulo, naparaburan iti anak a lalaki, ni Eber. 
GEN.11.15	Nagbiag pay ni Sela iti 403 a tawen ket naaddaan pay iti dadduma nga annak.
GEN.11.16	Idi agtawen ni Eber iti 34, naparaburan iti anak a lalaki, ni Peleg. 
GEN.11.17	Nagbiag pay ni Eber iti 430 a tawen ket naaddaan pay iti dadduma nga annak.
GEN.11.18	Idi agtawen ni Peleg iti tallopulo, naparaburan iti anak a lalaki, ni Reu. 
GEN.11.19	Nagbiag pay ni Peleg iti 209 a tawen ket naaddaan pay iti dadduma nga annak.
GEN.11.20	Idi agtawen ni Reu iti 32, naparaburan iti anak a lalaki, ni Serug. 
GEN.11.21	Nagbiag pay ni Reu iti 207 a tawen ket naaddaan pay iti dadduma nga annak.
GEN.11.22	Idi agtawen ni Serug iti tallopulo, naparaburan iti anak a lalaki, ni Nahor. 
GEN.11.23	Nagbiag pay ni Serug iti 200 a tawen ket naaddaan pay iti dadduma nga annak.
GEN.11.24	Idi agtawen ni Nahor iti 29, naparaburan iti anak a lalaki, ni Tera. 
GEN.11.25	Nagbiag pay ni Nahor iti 119 a tawen ket naaddaan pay iti dadduma nga annak.
GEN.11.26	Idi agtawen ni Tera iti pitopulo, naparaburan kadagiti lallaki nga annak, da Abram, Nahor ken Haran.
GEN.11.27	Dagitoy dagiti kaputotan ni Tera: Ni Tera ti ama da Abram, Nahor ken Haran. Ni Haran ti ama ni Lot. 
GEN.11.28	Natay ni Haran iti ili a nakayanakanna, idiay Ur iti Caldea. Sibibiag pay idi ni amana. 
GEN.11.29	Inasawa ni Abram ni Sarai. Inasawa ni Nahor ni Milca nga anak ni Haran nga ama ni Isca. 
GEN.11.30	Lupes idi ni Sarai.
GEN.11.31	Pimmanaw ni Tera idiay Ur. Kinakuyogna ni Abram nga anakna, ni Lot nga apokona nga anak ni Haran agraman ti manugangna nga asawa ni Abram. Agturongda idiay Canaan, ngem idi dumanonda idiay Haran, nagsardengda ket sadiay ti nagnaedanda. 
GEN.11.32	Sadiay ti nakatayan ni Tera idi agtawen iti 205.
GEN.12.1	Kinuna
GEN.12.2	Paraburankanto iti adu nga annak ken appoko ket agbalindanto a dakkel a pagilian. Bendisionankanto ket agdinamagto ti naganmo tapno mausar ti naganmo a pagbendision.
GEN.12.3	“Bendisionakto
GEN.12.3	ngem ilunodkonto dagiti mangilunod kenka.
GEN.12.3	Dawatento dagiti amin a nasion ditoy daga a bendisionak ida a kas iti panangbendisionko kenka.”
GEN.12.4	Tinungpal ni Abram ti bilin ni Yahweh ket pimmanaw idiay Haran idi agtawen iti pitopulo ket lima. 
GEN.12.5	Inkuyogna ni Sarai nga asawana ken ni Lot a kaanakanna. Intugotna ti amin a sanikua a naurnongna ken amin a nagbalin a tagabuna idiay Haran ket nagluasda a napan iti daga ti Canaan.
GEN.12.5	Idi dumtengda idiay Canaan, 
GEN.12.6	sinursor ni Abram ti daga agingga a dimmanon idiay Sikem nga ayan ti kayo a lugo ti More. (Kadagidi a tiempo, agnanaed pay laeng dagiti Cananeo iti dayta a daga.) 
GEN.12.7	Nagparang
GEN.12.8	Kalpasan dayta, intuloyna ti panagdaliasatna agingga iti katurturodan iti daya ti siudad ti Betel. Nagkampo iti nagbaetan ti Betel iti laud ken Ai iti daya. Nangbangon met sadiay iti altar ket nagdaydayaw ken ni Yahweh. 
GEN.12.9	Kalpasanna, nagalis-alis iti pagnaedan iti panagturongna iti akin-abagatan a paset ti Canaan.
GEN.12.10	Ngem rimsua ti nakaro a panagbisin iti dayta a daga, isut' gapuna a nagpa-abagatan ni Abram agingga a dimteng idiay Egipto tapno agnaed sadiay iti apagbiit. 
GEN.12.11	Idi dandani bumallasiw iti beddeng ti Egipto, kinunana iti asawana, “Nalibnoska, Sarai. 
GEN.12.12	Inton makitadaka dagiti Egipcio, ipapandanto nga asawaka, ket patayendakto ngem saandakanto nga an-anoen. 
GEN.12.13	Ibagam
GEN.12.14	Idi addadan idiay Egipto, nakita dagiti Egipcio a pudno a napintas ti asawa ni Abram. 
GEN.12.15	Adda dagiti ofisiales ti palasio a nakakita kenkuana ket imbagada iti Faraon
GEN.12.16	Gapu ken ni Sarai, nasayaat ti pannakilangen ti ari ken ni Abram. Inikkanna ni Abram kadagiti arban ti karnero ken kalding, baka, asno, tagabu ken kamelio.
GEN.12.17	Ngem gapu iti naaramid, nagpungtot ni Yahweh, ket nagsagaba ti ari ken dagiti tattao iti palasio. Nakaro a sakit ti indissuor kadakuada ni Yahweh. 
GEN.12.18	Pinaayaban ti ari ni Abram ket sinaludsodna, “Ania ti inaramidmo kaniak? Apay a dimo imbaga nga asawam? 
GEN.12.19	Apay nga imbagam a kabsatmo ket impalubosmo nga alaek a kas asawak? Adtoy ti asawam; alaem ket pumanawkayon!” 
GEN.12.20	Nagbilin ti ari ket napapanaw ni Abraham idiay Egipto a kaduana ti asawana agraman amin a sanikuana.
GEN.13.1	Manipud idiay Egipto, nagdaliasat ni Abram nga agpa-amianan ket napan iti akin-abagatan a paset ti Canaan. Intugotna ti asawana ken dagiti amin a sanikuana agraman ni Lot. 
GEN.13.2	Baknang idin ni Abram. Adu ti karnero, kalding ken bakana agraman pirak ken balitok. 
GEN.13.3	Manipud sadiay, nagturong idiay Betel ket nadumaduma ti nagsardenganna iti dalan. Dimteng iti nagbaetan ti Betel ken Ai a sigud a nagkampoanna. 
GEN.13.4	Napan iti lugar a nangbangonanna idi iti altar ket nagdaydayaw ken ni Yahweh.
GEN.13.5	Adu met ti karnero, kalding ken baka ni Lot. Adda bukodna a familia ken adu nga adipen. 
GEN.13.6	Saan a makaanay ti daga a pagpastoranda ta adu unay ti animalda. 
GEN.13.7	Daytoy ti gapuna a masansan nga agririri dagiti agay-aywan kadagiti animalda. (Agnanaed pay laeng idi dagiti Cananeo ken Perezeo iti dayta a deppaar.)
GEN.13.8	Kinuna ni Abram ken ni Lot, “Saanta koma nga agrirriri, kasta met dagiti pastorta, agsipud ta agkabagianta. 
GEN.13.9	Nasaysayaat no agsinata. Piliem ti aniaman a paset ti daga a kayatmo a pagyanan ket innak met iti sabali.”
GEN.13.10	Inwaras
GEN.13.11	Pinili ngarud ni Lot ti entero a Tanap ti Jordan. Nagsinada ken ni Abram, ket nagturong iti daya. 
GEN.13.12	Nagtalinaed ni Abram iti daga ti Canaan. Nagnaed met ni Lot kadagiti siudad ti tanap, iti asideg ti Sodoma. 
GEN.13.13	Managdakdakes dagiti tattao ti Sodoma ket nakaro ti panagbasolda ken ni Yahweh.
GEN.13.14	Kalpasan ti panagsina da Abram ken ni Lot, kinuna ni Yahweh ken ni Abram, “Iwarasmo ti panagkitam iti aglawlawmo. 
GEN.13.15	Itedko
GEN.13.16	Paraburankanto iti adu a kaputotan. Awanto ti makabilang iti kaaduda ket nalaklakanto a bilangen ti tapok iti daga. 
GEN.13.17	Ita, inka sursoren ti entero a daga gapu ta itedko amin kenka daytoy.”
GEN.13.18	Inyalis ngarud ni Abram ti kampona ket nagnaed iti asideg dagiti kayo ti lugo ti Mamre idiay Hebron. Nangbangon sadiay iti altar nga agpaay ken ni Yahweh.
GEN.14.1	Uppat nga ari—ni Amrafel nga ari ti Siniar, ni Arioc nga ari ti Elasar, ni Kedorlaomer nga ari ti Elam ken ni Tidal nga ari ti Goiim, 
GEN.14.2	ti napan nanggubat iti lima nga ari: Bera nga ari ti Sodoma, Birsa nga ari ti Gomorra, Sinab nga ari ti Adma, Semeber nga ari ti Zeboiim ken ti ari ti Bela (wenno Soar). 
GEN.14.3	Nagkaykaysa dagitoy lima nga ari ket pinagtitiponda dagiti buyotda iti Tanap ti Siddim nga isu ita ti Natay a Baybay. 
GEN.14.4	Sangapulo ket dua a tawen nga inturayan ida ni Kedorlaomer ngem iti maika-13 a tawen, immalsada a maibusor kenkuana. 
GEN.14.5	Iti maika-14 a tawen, dimteng ni Kedorlaomer ken dagiti kakaduana agraman dagiti armadada ket pinarmekda dagiti Refaim idiay Asterot Karnaim, dagiti Zuzim idiay Ham, dagiti Emim idiay Tanap ti Kiriataim 
GEN.14.6	ken dagiti Horeo iti kabambantayan ti Edom—sinunsonda ida agingga idiay Elparan iti pungto ti let-ang. 
GEN.14.7	Kalpasanna, nagsublida ket dimtengda idiay Kades (maaw-awagan idi iti Enmispat). Sinakupda ti amin a daga dagiti Amalekita ket pinarmekda dagiti Amorreo nga agnanaed idiay Hazazon Tamar.
GEN.14.8	Inummong dagiti ari ti Sodoma, Gomorra, Adma, Zeboiim ken Bela dagiti armadada iti Tanap ti Siddim tapno gubatenda 
GEN.14.9	dagiti ari ti Elam, Goiim, Siniar ken Elasar. Lima nga ari kontra uppat nga ari. 
GEN.14.10	Nasaknapan ti tanap kadagiti abut a naikkan iti alketran ket idi itarayan dagiti ari ti Sodoma ken Gomorra ti paggugubatan, natnagda kadagiti palab-og. Nakataray dagiti tallo nga ari ket nagkamangda kadagiti kabambantayan. 
GEN.14.11	Innala dagiti uppat nga ari ti amin nga adda idiay Sodoma ken Gomorra agraman dagiti taraon sada pimmanaw. 
GEN.14.12	Innalada met ni Lot ken ti amin a sanikuana. Agnanaed idi ti kaanakan ni Abram idiay Sodoma.
GEN.14.13	Ngem adda lalaki a nakalibas ket impadamagna daytoy ken ni Abram a Hebreo nga agnanaed idi iti asideg dagiti lugo a kayo a kukua ni Mamre nga Amorreo. Kadua ni Abram ni Mamre agraman da Escol ken Aner a kakabsatna. 
GEN.14.14	Apaman a naammoan ni Abram a natiliw ti kaanakanna, inummongna dagiti amin a mannakigubat iti kampona nga agdagup iti 318 ket sinunsonda dagiti uppat nga ari agingga idiay Dan. 
GEN.14.15	Sadiay, biningayna dagiti tattaona iti dua a bunggoy, dinarupda ti kabusor iti rabii ket pinarmekda ida. Kinamatkamatda ida agingga idiay Hobah iti amianan ti Damasco. 
GEN.14.16	Naalada amin a nasamsam. Inyawidna met ni Lot a kaanakanna ken dagiti amin a sanikuana, agraman dagiti babbai ken dagiti dadduma a balud.
GEN.14.17	Idi agsubli ni Abram kalpasan ti panangparmekna ken ni Kedorlaomer ken dagiti dadduma nga ari, sinabat ti ari ti Sodoma idiay Tanap ti Save (a maaw-awagan met iti Tanap ti Ari). 
GEN.14.18	Nangyeg
GEN.14.19	Indawat ni Melkisedec a mabendisionan ni Abram ket kinunana, “Sapay koma ta bendisionan ti Kangatoan a Dios ni Abram. 
GEN.14.20	Madaydayaw koma ti Kangatoan a Dios a nangted iti panagballigim kadagiti kabusormo.” Ket inted ni Abram kenkuana ti apagkapullo ti amin a sinamsamna.
GEN.14.21	Kinuna ti ari ti Sodoma ken Abram, “Alaem dagiti sinamsammo ngem isublim dagiti amin a tattaok.”
GEN.14.22	Insungbat ni Abram, “Isapatak iti 
GEN.14.23	nga awan ti alaek a kukuam, uray la koma sinulid wenno kordon ti sapatos tapno dimonto kuna a sika ti nangpabaknang kaniak. 
GEN.14.24	Awan ti alaek no di la dagiti inaramat dagiti tattao. Ngem ipalubosmo koma nga alaen dagiti kakaduak, da Aner, Escol ken Mamre, ti bingayda.”
GEN.15.1	Kalpasan daytoy, nagparmata ni Abram ket nangngegna ni Yahweh a makisasao kenkuana: “Dika agbuteng, Abram. Salaknibanka iti amin a peggad ket ikkanka iti naindaklan a gunggona.”
GEN.15.2	Ngem kinuna ni Abram, “O Apo 
GEN.15.3	Dinak pinaraburan iti anak ket maysa kadagiti tagabuk ti agtawid iti sanikuak.”
GEN.15.4	Kalpasanna, nangngegna manen ni Yahweh a makisasao kenkuana, “Saan a ni Eleazar a tagabu ti agtawid iti sanikuam no di ket ti bukodmo nga anak.” 
GEN.15.5	Inruar
GEN.15.6	Nagtalek
GEN.15.7	Kalpasanna, kinuna ni Yahweh kenkuana, “Siak ni Yahweh a nangiruar kenka iti Ur idiay Caldea tapno ipatagikuak kenka daytoy a daga.”
GEN.15.8	Ngem kinuna ni Abram, “O Apo 
GEN.15.9	Insungbatna, “Yegannak iti baka, kalding, kalakian a karnero nga agtawen iti tallo ti tunggal maysa, ken saggaysa a kalapati ken pagaw.” 
GEN.15.10	Indatag ni Abram dagiti animal iti Dios. Pinatayna ida sana ginudua dagiti bangkay. Inintarna ida iti dua a linia nga agbinnatog dagiti agkapisi ngem dina ginudua ti kalapati ken ti pagaw. 
GEN.15.11	Nagdisso dagiti buitre kadagiti bangkay dagiti animal ngem binugawna ida.
GEN.15.12	Idi
GEN.15.13	Kinuna
GEN.15.14	Ngem
GEN.15.15	Atiddogto ti panagbiagmo, mataykanto a sitatalna ket maitanemkanto. 
GEN.15.16	Mapalabasto ti uppat a kaputotan santo agsubli ditoy dagiti kaputotam agsipud ta sakonto la pagtalawen dagiti Amorreo inton nakaro ti kinadakesda ket masapul a madusada.”
GEN.15.17	Idi nakalneken ti init ket nagsaknapen ti sipnget, pagammoan adda nagparang nga umas-asuk a banga ken sumsumged nga aluten a limmasat iti nagbaetan dagiti nagudua-gudua nga animal. 
GEN.15.18	Iti
GEN.15.19	agraman ti daga dagiti Kineo, dagiti Kenezeo, dagiti Kadmoneo, 
GEN.15.20	dagiti Heteo, dagiti Perezeo, dagiti Refaim, 
GEN.15.21	dagiti Amorreo, dagiti Cananeo, dagiti Gergeseo ken dagiti Jebuseo.”
GEN.16.1	Saan nga aganak ni Sarai nga asawa ni Abram. Ngem adda tagabuna a babai a taga-Egipto nga agnagan iti Agar. 
GEN.16.2	Isu a kinunana ken ni Abram, “Yantangay ta dinak pinaraburan ti 
GEN.16.3	ket naited ni Agar kenkuana a kas asawa nga agserbi kenkuana. (Sangapulo a tawen idin ni Abram iti daga ti Canaan.) 
GEN.16.4	Kinaidda ni Abram ni Agar ket nagsikog. Idi madlaw ni Agar a masikogen, timmangsit ket inumsina pay ni Sarai.
GEN.16.5	Kinuna ni Sarai ken ni Abram, “Sika ti nakaigapuan ti pananglais kaniak ni Agar.
GEN.16.6	Kinuna ni Abram, “Tagabum daytoy a babai. Aramidem kenkuana ti aniaman a kayatmo.” Naranggas ni Sarai ken ni Agar agingga a nagtalaw ti tagabu.
GEN.16.7	Iti asideg ti maysa nga ubbog iti let-ang, iti dalan nga agturong idiay Sur, adda anghel ni Yahweh a nangsabat kenkuana. 
GEN.16.8	Kinunana, “Agar, tagabu ni Sarai, sadino ti naggapuam ken sadino ti papanam?”
GEN.16.8	“Tinalawak ti apok,” insungbat ni Agar.
GEN.16.9	Kinuna ti anghel ni Yahweh, “Agsublika ket agserbika kenkuana.” 
GEN.16.10	Ket innayonna, “Ikkankanto iti adu nga annak ken appoko ket dinto mabilang ti kaaduda. 
GEN.16.11	Aganakkanto iti lalaki ket panaganamto iti Ismael
GEN.16.12	Ngem agbiagto ti anakmo a kas atap nga asno. Kabusornanto ti tunggal maysa ket agbalinto met a kabusor ti amin. Saanto nga agnaed iti sidong dagiti kabagianna.”
GEN.16.13	Kinuna ni Agar iti bagina, “Pudno kadi a nakitak ti Dios ket sibibiagak pay laeng kalpasan ti pannakakitak kenkuana?” Ngarud, pinanagananna ni Yahweh a nakisarita kenkuana iti “Ti Dios a Makakita.” 
GEN.16.14	Daytoy ti gapuna a maaw-awagan ti bubon nga adda iti nagbaetan ti Kades ken Bered iti Beer-lahai-roi.
GEN.16.15	Lalaki
GEN.16.16	Walopulo ket innem ti tawen idin ni Abram.
GEN.17.1	Idi agtawen ni Abram iti 99, nagparang ni Yahweh kenkuana. Kinunana, “Siak ti Dios a Mannakabalin-amin.
GEN.17.2	Makitulagak kenka ket ikkankanto iti adu a kaputotam.”
GEN.17.3	Idi nangngegna daytoy, nagpakleb ni Abram iti daga. Kinuna ti Dios, 
GEN.17.4	“Daytoy ti katulagak: Ikarik nga agbalinkanto a kapuonan ti adu a nasion. 
GEN.17.5	Saanen
GEN.17.6	Ikkankanto iti adu a kaputotan. Agbalinto nga ari ti sumagmamano kadakuada. Adunto unay ti kaputotam. Ket agbalindanto nga adu a nasion.
GEN.17.7	“Agnanayon
GEN.17.8	Itedkonto
GEN.17.9	Kinuna ti Dios ken ni Abraham, “Masapul a tungpalem met ti nagtulaganta, sika ken dagiti sumarsaruno a kaputotam. 
GEN.17.10	Masapul
GEN.17.11+GEN.17.12	Manipud ita, masapul a kugitem ti ubing a lalaki nga adda walo nga aldawnan, agraman dagiti tagabu a nayanak iti balaymo ken dagiti ginatangmo kadagiti ganggannaet. Daytoy ti pakakitaan nga adda nagtulaganta. 
GEN.17.13	Masapul a makugit ti tunggal maysa ket daytoy a marka ti bagi ti mangipakita nga agnanayon ti nagtulaganta. 
GEN.17.14	Saanto a maibilang a taok ti siasinoman a lalaki a saan a nakugit agsipud ta dina tinungpal ti nagtulaganta.”
GEN.17.15	Kinuna ti Dios, “Saanen a Sarai ti pangawagmo iti asawam. Manipud ita, Sara
GEN.17.16	Bendisionakto ket paraburankanto iti anak a lalaki nga ipasngayna. Bendisionakto ket agbalinto nga ina dagiti nasion. Agbalinto nga ari ti sumagmamano kadagiti kaputotanna.”
GEN.17.17	Nagpakleb ni Abraham iti daga ngem nagkatawa idi malagipna ti kinalakayna. Kinunana iti bagina, “Makaputot pay ngata ti lalaki a 100 ti tawenna? Aganak pay ngata ni Sara idinto a 90 ti tawennan?” 
GEN.17.18	Kinunana iti Dios, “Apay a dimo ipalubos a ni laengen Ismael ti agtawid kadagiti sanikuak?”
GEN.17.19	Ngem kinuna ti Dios, “Saan. Aganakto ni Sara iti lalaki ket panaganamto iti Isaac.
GEN.17.20	Nangngegko ti dawatmo maipapan ken ni Ismael, isu a bendisionakto ket ikkak iti adu a kaputotan. Isunto ti ama ti sangapulo ket dua a pangulo ket pagbalinekto a naindaklan a nasion dagiti kaputotanna. 
GEN.17.21	Ngem tungpalekto ti tulagko ken ni Isaac nga anakmo nga ipasngayto ni Sara iti kastoy a tiempo inton umay a tawen.” 
GEN.17.22	Pimmanaw ti Dios kalpasan ti panagsaona ken ni Abraham.
GEN.17.23	Iti dayta met la nga aldaw, tinungpal ni Abraham ti imbaga ti Dios. Kinugitna ni Ismael nga anakna ken amin a lallaki iti balayna, tagabu man a nayanak sadiay wenno dagiti ginatangna. 
GEN.17.24	Siam a pulo ket siam ti tawen ni Abraham idi makugit 
GEN.17.25	ket sangapulo ket tallo met ni Ismael. 
GEN.17.26	Nakugitda iti dayta nga aldaw, 
GEN.17.27	agraman dagiti amin a tagabu ni Abraham.
GEN.18.1	Nagparang ni Yahweh ken ni Abraham idiay Mamre, iti ayan dagiti lugo a kayo. Agtugtugaw idi ni Abraham iti ruangan ti toldana iti kapudot ti aldaw 
GEN.18.2	ket
GEN.18.3	sana kinuna, “Appo, madadaanak nga agserbi kadakayo. Pangngaasiyo ta dumagaskayo iti taengko. 
GEN.18.4	Yalaankayo iti danum a pangbuggoyo kadagiti sakayo. Mabalinyo ti aginana ditoy sirok dagiti kayo. 
GEN.18.5	Yalaankayo met iti taraon tapno adda pamigsayo a mangituloy iti panagbiaheyo. Mapadayawanak iti yaayyo iti taengko ket palubosandak kadi a mangsangaili kadakayo.”
GEN.18.5	“Agyamankami,” insungbatda. “Padayawanmi ti awismo.”
GEN.18.6	Dinagdagus ni Abraham ti simrek iti toldana ket kinunana iti asawana, “Sara, mangalaka iti sangasupot iti kasayaatan nga arina ket manglutoka iti tinapay. Darasem!” 
GEN.18.7	Kalpasanna, nagtaray a napan iti ayan dagiti arban ket nangpili iti nalukmeg nga urbon ti baka. Intedna iti maysa kadagiti adipenna a nagdardaras a napan nangisagana. 
GEN.18.8	Nangala ni Abraham iti keso, gatas, ken ti karne a pinalutona ket impasangona kadagiti lallaki. Iti sirok ti kayo ti nangserbianna kadakuada. Bayat ti pannanganda, 
GEN.18.9	sinaludsodda, “Yan ni Sara nga asawam?”
GEN.18.9	“Adda iti uneg ti tolda,” insungbat ni Abraham.
GEN.18.10	Kinuna
GEN.18.10	Adda ni Sara iti ruangan ti tolda, iti likudan ti agsasao ket dumdumngeg iti saritaan. 
