GEN.1.1	No princípio, Deus criou os céus e a terra.
GEN.11.30	Sarai, porém, não conseguia engravidar e não tinha filhos.
GEN.11.31	Certo dia, Terá tomou seu filho Abrão, sua nora Sarai (mulher de seu filho Abrão) e seu neto Ló (filho de seu filho Harã) e se mudou de Ur dos caldeus. Partiram em direção à terra de Canaã, mas pararam em Harã e se estabeleceram ali. 
GEN.11.32	Terá viveu 205 anos
GEN.12.1	O S
GEN.12.2	Farei de você uma grande nação, o abençoarei e o tornarei famoso, e você será uma bênção para outros. 
GEN.12.3	Abençoarei os que o abençoarem e amaldiçoarei os que o amaldiçoarem. Por meio de você, todas as famílias da terra serão abençoadas”.
GEN.12.4	Então Abrão partiu, como o S
GEN.12.5	Tomou sua mulher, Sarai, seu sobrinho Ló e todos os seus bens, os rebanhos e os servos que havia agregado à sua casa em Harã, e seguiu para a terra de Canaã. Quando chegaram a Canaã, 
GEN.12.6	Abrão atravessou a terra até Siquém, onde acampou junto ao carvalho de Moré. Naquele tempo, os cananeus habitavam a região.
GEN.12.7	Então o S
GEN.12.8	Dali, Abrão viajou para o sul e acampou na região montanhosa, entre Betel, a oeste, e Ai, a leste. Construiu ali mais um altar dedicado ao S
GEN.12.9	Abrão prosseguiu em sua jornada para o sul, acampando ao longo do caminho em direção ao Neguebe.
GEN.12.10	Naquele tempo, uma fome terrível atingiu a terra de Canaã, e Abrão foi obrigado a descer ao Egito, onde viveu como estrangeiro. 
GEN.12.11	Aproximando-se da fronteira do Egito, Abrão disse a Sarai, sua mulher: “Você é muito bonita. 
GEN.12.12	Quando os egípcios a virem, dirão: ‘É mulher dele. Vamos matá-lo para ficarmos com ela’. 
GEN.12.13	Diga, portanto, que é minha irmã. Eles pouparão minha vida e, por sua causa, me tratarão bem”.
GEN.12.14	De fato, chegando Abrão ao Egito, todos notaram a grande beleza de sua mulher. 
GEN.12.15	Quando os oficiais do palácio a viram, falaram maravilhas dela ao faraó e a levaram para o palácio. 
GEN.12.16	Por causa de Sarai, o faraó deu muitos presentes a Abrão: ovelhas, bois, jumentos e jumentas, servos e servas, e camelos.
GEN.12.17	Mas, por causa de Sarai, mulher de Abrão, o S
GEN.12.18	Por isso, o faraó mandou chamar Abrão e disse: “O que você fez comigo? Por que não me disse que ela era sua mulher? 
GEN.12.19	Por que disse que era sua irmã e permitiu que eu a tomasse como esposa? Aqui está sua mulher. Tome-a e vá embora daqui!”. 
GEN.12.20	O faraó ordenou que alguns de seus homens escoltassem Abrão, com sua mulher e todos os seus bens, para fora de sua terra.
GEN.13.1	Abrão saiu do Egito e subiu para o Neguebe, junto com sua mulher, com Ló e com tudo que possuíam. 
GEN.13.2	(Abrão era muito rico e tinha muitos rebanhos, prata e ouro.) 
GEN.13.3	Do Neguebe, prosseguiram em sua jornada, acampando ao longo do caminho em direção a Betel. Por fim, armaram as tendas entre Betel e Ai, onde haviam acampado anteriormente, 
GEN.13.4	e onde Abrão havia construído um altar. Ali, Abrão invocou o nome do S
GEN.13.5	Ló, que viajava com Abrão, também havia enriquecido e possuía rebanhos de ovelhas, gado e muitas tendas. 
GEN.13.6	Os recursos da terra, porém, não eram suficientes para sustentar Abrão e Ló, com todos os seus rebanhos, vivendo tão próximos um do outro. 
GEN.13.7	Logo, surgiram desentendimentos entre os pastores de Abrão e os de Ló. (Naquele tempo, os cananeus e os ferezeus também viviam na terra.)
GEN.13.8	Então Abrão disse a Ló: “Não haja conflito entre nós, ou entre nossos pastores. Afinal, somos parentes próximos! 
GEN.13.9	A região inteira está à sua disposição. Escolha a parte da terra que desejar e nos separaremos. Se você escolher as terras à esquerda, ficarei com as terras à direita. Se preferir as terras à direita, ficarei com as terras à esquerda”.
GEN.13.10	Ló olhou demoradamente para as planícies férteis do vale do Jordão, na direção de Zoar. A região toda era bem irrigada, como o jardim do S
GEN.13.11	Ló escolheu para si todo o vale do Jordão a leste de onde estavam. Partiu para lá e se separou de seu tio Abrão. 
GEN.13.12	Assim, Abrão continuou na terra de Canaã, e Ló mudou suas tendas para um lugar próximo de Sodoma e se estabeleceu entre as cidades da planície. 
GEN.13.13	O povo dessa região, porém, era extremamente perverso e vivia pecando contra o S
GEN.13.14	Depois que Ló partiu, o S
GEN.13.15	Toda esta terra que você está vendo, até onde sua vista alcança, eu dou a você e a seus descendentes como propriedade para sempre. 
GEN.13.16	Eu lhe darei tantos descendentes quanto o pó da terra, de modo que, se fosse possível contar o pó da terra, seria possível contar seus descendentes! 
GEN.13.17	Vá e percorra a terra em todas as direções, porque eu a dou a você”.
GEN.13.18	Então Abrão mudou seu acampamento para Hebrom e se estabeleceu junto ao bosque de carvalhos que pertencia a Manre. Ali, construiu mais um altar ao S
GEN.14.1	Por esse tempo, houve guerra na região. Anrafel, rei da Babilônia,
GEN.14.2	lutaram contra Bera, rei de Sodoma, Birsa, rei de Gomorra, Sinabe, rei de Admá, Semeber, rei de Zeboim, e contra o rei de Belá (também chamada Zoar).
GEN.14.3	Esse segundo grupo de reis reuniu suas tropas no vale de Sidim (ou seja, no vale do mar Morto).
GEN.14.4	Por doze anos, estiveram sob o domínio do rei Quedorlaomer, mas no décimo terceiro ano se rebelaram contra ele.
GEN.14.5	Um ano depois, Quedorlaomer e seus aliados vieram e derrotaram os refains em Asterote-Carnaim, os zuzins em Hã, os emins em Savé-Quiriatim, 
GEN.14.6	e os horeus no monte Seir, até El-Parã, à beira do deserto. 
GEN.14.7	Em seguida, voltaram e foram a En-Mispate (hoje chamada Cades) e conquistaram o território dos amalequitas e dos amorreus que viviam em Hazazom-Tamar.
GEN.14.8	Então os reis de Sodoma, Gomorra, Admá, Zeboim e Belá (também chamada Zoar) se prepararam para a batalha no vale do mar Morto.
GEN.14.9	Lutaram contra Quedorlaomer, rei de Elão, Tidal, rei de Goim, Anrafel, rei da Babilônia, e Arioque, rei de Elasar, quatro reis contra cinco. 
GEN.14.10	Acontece que o vale do mar Morto era cheio de poços de betume. Quando o exército dos reis de Sodoma e Gomorra fugiu, alguns dos soldados caíram nos poços de betume, enquanto o restante escapou para as montanhas. 
GEN.14.11	Os invasores vitoriosos saquearam Sodoma e Gomorra e partiram para casa, levando consigo todos os espólios da guerra e os mantimentos. 
GEN.14.12	Também capturaram Ló, o sobrinho de Abrão que morava em Sodoma, e tudo que ele possuía.
GEN.14.13	Um dos homens de Ló, porém, conseguiu escapar e contou tudo a Abrão, o hebreu, que morava junto ao bosque de carvalhos pertencente a Manre, o amorreu. Manre e seus parentes, Escol e Aner, eram aliados de Abrão.
GEN.14.14	Quando Abrão soube que seu sobrinho Ló havia sido capturado, mobilizou os 318 homens treinados que tinham nascido em sua casa. Perseguiu o exército de Quedorlaomer até alcançá-los em Dã, 
GEN.14.15	onde dividiu os homens em grupos e atacou durante a noite. O exército de Quedorlaomer fugiu, mas Abrão o perseguiu até Hobá, ao norte de Damasco. 
GEN.14.16	Abrão recuperou todos os bens saqueados e trouxe de volta Ló, seu sobrinho, com todos os seus bens, as mulheres e os outros prisioneiros.
GEN.14.17	Depois que Abrão regressou vitorioso do conflito com Quedorlaomer e todos os seus aliados, o rei de Sodoma saiu ao seu encontro no vale de Savé (conhecido como vale do Rei).
GEN.14.18	Melquisedeque, rei de Salém e sacerdote do Deus Altíssimo,
GEN.14.19	e abençoou Abrão, dizendo:
GEN.14.19	“Bendito seja Abrão pelo Deus Altíssimo,
GEN.14.19	Criador dos céus e da terra.
GEN.14.20	E bendito seja o Deus Altíssimo,
GEN.14.20	que derrotou seus inimigos por você”.
GEN.14.20	Então Abrão entregou a Melquisedeque um décimo de todos os bens que havia recuperado.
GEN.14.21	O rei de Sodoma disse a Abrão: “Devolva-me apenas as pessoas que foram capturadas. Fique com os bens que você recuperou”.
GEN.14.22	Abrão respondeu ao rei de Sodoma: “Juro solenemente diante do S
GEN.14.23	que não ficarei com coisa alguma do que é seu, nem sequer um fio ou uma correia de sandália. Do contrário, o rei poderia dizer: ‘Fui eu que enriqueci Abrão’. 
GEN.14.24	Aceito apenas aquilo que meus jovens guerreiros comeram e peço que dê uma parte justa dos bens a Aner, Escol e Manre, meus aliados”.
GEN.15.1	Algum tempo depois, o S
GEN.15.2	Abrão, porém, respondeu: “Ó S
GEN.15.3	Não me deste nenhum descendente próprio e, por isso, um dos meus servos será meu herdeiro”.
GEN.15.4	O S
GEN.15.5	Em seguida, levou Abrão para fora e lhe disse: “Olhe para o céu e conte as estrelas, se for capaz. Este é o número de descendentes que você terá”.
GEN.15.6	Abrão creu no S
GEN.15.7	Então o S
GEN.15.8	Abrão perguntou: “Ó S
GEN.15.9	O S
GEN.15.10	Abrão lhe apresentou todos esses animais e os matou. Em seguida, cortou cada um deles ao meio e colocou as metades lado a lado; as aves, porém, não cortou ao meio. 
GEN.15.11	Aves de rapina mergulharam para comer as carcaças, mas Abrão as afugentou.
GEN.15.12	Enquanto o sol se punha, Abrão caiu em sono profundo, e uma escuridão apavorante desceu sobre ele. 
GEN.15.13	Então o S
GEN.15.14	Mas eu castigarei a nação que os escravizar e, por fim, eles sairão de lá com grande riqueza. 
GEN.15.15	(Você, por sua vez, morrerá em paz e será sepultado em idade avançada.) 
GEN.15.16	Depois de quatro gerações, seus descendentes voltarão a esta terra, pois a maldade dos amorreus ainda não chegou ao ponto de provocar meu castigo”.
GEN.15.17	Quando o sol se pôs e veio a escuridão, Abrão viu um fogareiro fumegante e uma tocha ardente passarem por entre as metades das carcaças. 
GEN.15.18	Então o S
GEN.15.19	a terra hoje ocupada pelos queneus, quenezeus, cadmoneus, 
GEN.15.20	hititas, ferezeus, refains, 
GEN.15.21	amorreus, cananeus, girgaseus e jebuseus”.
GEN.16.1	Sarai, mulher de Abrão, não havia conseguido lhe dar filhos. Tinha, porém, uma serva egípcia chamada Hagar. 
GEN.16.2	Sarai disse a Abrão: “O S
GEN.16.3	Então Sarai, mulher de Abrão, tomou Hagar, a serva egípcia, e a entregou a Abrão como mulher. (Isso aconteceu dez anos depois que Abrão havia se estabelecido na terra de Canaã.)
GEN.16.4	Abrão teve relações com Hagar, e ela engravidou. Quando Hagar soube que estava grávida, começou a tratar Sarai, sua senhora, com desprezo. 
GEN.16.5	Então Sarai disse a Abrão: “Você é o culpado da vergonha que estou passando! Entreguei minha serva a você, mas, agora que engravidou, ela me trata com desprezo. O S
GEN.16.6	Abrão respondeu: “Hagar é sua serva. Faça com ela o que lhe parecer melhor”. Então Sarai a tratou tão mal que, por fim, Hagar fugiu.
GEN.16.7	O anjo do S
GEN.16.8	e perguntou: “Hagar, serva de Sarai, de onde você vem e para onde vai?”.
GEN.16.8	“Estou fugindo de minha senhora, Sarai”, respondeu ela.
GEN.16.9	Então o anjo do S
GEN.16.10	E acrescentou: “Eu lhe darei tantos descendentes que será impossível contá-los”.
GEN.16.11	O anjo do S
GEN.16.12	Seu filho será um homem solitário e indomável, como um jumento selvagem. Levantará o punho contra todos, e todos serão contra ele. Sim, ele viverá em franca oposição a todos os seus parentes”.
GEN.16.13	Então Hagar passou a usar outro nome para se referir ao S
GEN.16.14	Por isso, aquela fonte que fica entre Cades e Berede recebeu o nome de Beer-Laai-Roi.
GEN.16.15	Assim, Hagar deu um filho a Abrão, e Abrão o chamou de Ismael. 
GEN.16.16	Quando Ismael nasceu, Abrão tinha 86 anos.
GEN.17.1	Quando Abrão estava com 99 anos, o S
GEN.17.2	Farei uma aliança com você e lhe darei uma descendência incontável”.
GEN.17.3	Ao ouvir essas palavras, Abrão se prostrou com o rosto no chão, e Deus lhe disse: 
GEN.17.4	“Esta é a minha aliança com você: farei de você o pai de numerosas nações! 
GEN.17.5	Além disso, mudarei seu nome. Você já não será chamado Abrão, mas sim Abraão,
GEN.17.6	Eu o tornarei extremamente fértil. Seus descendentes formarão muitas nações, e haverá reis entre eles.
GEN.17.7	“Confirmarei a minha aliança com você e seus descendentes, de geração em geração. Esta é a aliança sem fim: serei sempre o seu Deus e o Deus de seus descendentes. 
GEN.17.8	Darei a você e a seus descendentes toda a terra de Canaã, onde hoje você vive como estrangeiro. Será propriedade deles para sempre, e eu serei o seu Deus”.
GEN.17.9	Então Deus disse a Abraão: “É sua responsabilidade permanente, e de seus descendentes, obedecer aos termos da aliança. 
GEN.17.10	Este é o sinal da aliança que você e seus descendentes devem guardar: todo indivíduo do sexo masculino entre vocês deve ser circuncidado. 
GEN.17.11	Cortem a carne do prepúcio como sinal da aliança entre mim e vocês. 
GEN.17.12	Todo menino deve ser circuncidado no oitavo dia depois do nascimento, de geração em geração. Isso se aplica não apenas aos membros de sua família, mas também aos servos nascidos em sua casa e aos servos estrangeiros que você comprou. 
GEN.17.13	Quer sejam nascidos em sua casa, quer os tenha comprado, todos devem ser circuncidados. Terão no corpo o sinal da minha aliança sem fim. 
GEN.17.14	O indivíduo do sexo masculino que não for circuncidado será excluído do seu povo, pois quebrou a minha aliança”.
GEN.17.15	Deus também disse a Abraão: “Quanto à sua mulher, não se chamará mais Sarai. De agora em diante ela se chamará Sara.
GEN.17.16	Eu a abençoarei e por meio dela darei a você um filho! Sim, eu a abençoarei, e ela se tornará mãe de muitas nações. Haverá reis de nações entre seus descendentes”.
GEN.17.17	Abraão se prostrou com o rosto no chão e riu consigo. Pensou: “Como eu, aos 100 anos, poderia ser pai? E como Sara, aos 90 anos, teria um filho?”. 
GEN.17.18	Então Abraão disse a Deus: “Que Ismael viva sob a tua bênção!”.
GEN.17.19	Mas Deus respondeu: “Na verdade, Sara, sua mulher, lhe dará um filho. Você o chamará Isaque,
GEN.17.20	Quanto a Ismael, também o abençoarei, como você pediu. Eu o tornarei extremamente fértil e multiplicarei seus descendentes. Ele será pai de doze príncipes, e farei dele uma grande nação. 
GEN.17.21	Minha aliança, porém, será confirmada com Isaque, filho que Sara lhe dará por esta época, no ano que vem”. 
GEN.17.22	Quando Deus terminou de falar, retirou-se da presença de Abraão.
GEN.17.23	Naquele mesmo dia, Abraão tomou Ismael, seu filho, e todos os indivíduos do sexo masculino em sua casa, tanto os nascidos ali como os comprados, e os circuncidou, removendo o prepúcio, como Deus havia ordenado. 
GEN.17.24	Abraão tinha 99 anos quando foi circuncidado, 
GEN.17.25	e Ismael, seu filho, tinha 13 anos. 
GEN.17.26	Ambos foram circuncidados naquele mesmo dia, 
GEN.17.27	junto com todos os outros homens e meninos da casa, tanto os nascidos ali como os comprados. Todos foram circuncidados com Abraão.
GEN.18.1	O S
GEN.18.2	Olhando para fora, viu três homens em pé, próximos à tenda. Quando os viu, correu até onde estavam e lhes deu as boas-vindas, curvando-se até o chão.
GEN.18.3	Abraão disse: “Meu senhor, se assim desejar, pare aqui um pouco. 
GEN.18.4	Descanse à sombra desta árvore enquanto mando trazer água para lavarem os pés. 
GEN.18.5	E, uma vez que honraram seu servo com esta visita, prepararei uma refeição para restaurar suas forças antes de seguirem viagem”.
GEN.18.5	“Está bem”, responderam eles. “Faça como você disse.”
GEN.18.6	Abraão voltou correndo para a tenda e disse a Sara: “Rápido! Pegue três medidas
GEN.18.7	Em seguida, Abraão correu ao rebanho, escolheu um novilho tenro e o entregou a seu servo, que o preparou rapidamente. 
GEN.18.8	Quando a comida estava pronta, Abraão pegou coalhada, leite e a carne assada e os serviu aos visitantes. Enquanto comiam, Abraão permaneceu à disposição deles, à sombra das árvores.
GEN.18.9	“Onde está Sara, sua mulher?”, perguntaram os visitantes.
GEN.18.9	“Está dentro da tenda”, respondeu Abraão.
GEN.18.10	Então um deles disse: “Voltarei a visitar você por esta época, no ano que vem, e sua mulher, Sara, terá um filho”.
GEN.18.10	Sara estava ouvindo a conversa de dentro da tenda. 
GEN.18.11	Abraão e Sara já eram bem velhos, e Sara tinha passado, havia muito tempo, da idade de ter filhos. 
GEN.18.12	Por isso, riu consigo e disse: “Como poderia uma mulher da minha idade ter esse prazer, ainda mais quando meu senhor, meu marido, também é idoso?”.
