GEN.1.1	No princípio Deus criou os céus e a terra.
GEN.11.19	Depois que gerou Reú, Pelegue viveu 209 anos e gerou outros filhos e filhas.
GEN.11.20	Aos 32 anos, Reú gerou Serugue. 
GEN.11.21	Depois que gerou Serugue, Reú viveu 207 anos e gerou outros filhos e filhas.
GEN.11.22	Aos 30 anos, Serugue gerou Naor. 
GEN.11.23	Depois que gerou Naor, Serugue viveu 200 anos e gerou outros filhos e filhas.
GEN.11.24	Aos 29 anos, Naor gerou Terá. 
GEN.11.25	Depois que gerou Terá, Naor viveu 119 anos e gerou outros filhos e filhas.
GEN.11.26	Aos 70 anos, Terá havia gerado Abrão, Naor e Harã.
GEN.11.27	Esta é a história da família de Terá:
GEN.11.27	Terá gerou Abrão, Naor e Harã. E Harã gerou Ló. 
GEN.11.28	Harã morreu em Ur dos caldeus, sua terra natal, quando ainda vivia Terá, seu pai. 
GEN.11.29	Tanto Abrão como Naor casaram-se. O nome da mulher de Abrão era Sarai, e o nome da mulher de Naor era Milca; esta era filha de Harã, pai de Milca e de Iscá. 
GEN.11.30	Ora, Sarai era estéril; não tinha filhos.
GEN.11.31	Terá tomou seu filho Abrão, seu neto Ló, filho de Harã, e sua nora Sarai, mulher de seu filho Abrão, e juntos partiram de Ur dos caldeus para Canaã. Mas, ao chegarem a Harã, estabeleceram-se ali.
GEN.11.32	Terá viveu 205 anos e morreu em Harã.
GEN.12.1	Então o 
GEN.12.2	“Farei de você um grande povo, e o abençoarei.
GEN.12.2	Tornarei famoso o seu nome,
GEN.12.2	e você será uma bênção.
GEN.12.3	Abençoarei os que o abençoarem
GEN.12.3	e amaldiçoarei os que o amaldiçoarem;
GEN.12.3	e por meio de você
GEN.12.3	todos os povos da terra serão abençoados”.
GEN.12.4	Partiu Abrão, como lhe ordenara o 
GEN.12.5	Levou sua mulher Sarai, seu sobrinho Ló, todos os bens que haviam acumulado e os seus servos, comprados em Harã; partiram para a terra de Canaã e lá chegaram. 
GEN.12.6	Abrão atravessou a terra até o lugar do carvalho de Moré, em Siquém. Naquela época, os cananeus habitavam essa terra.
GEN.12.7	O 
GEN.12.8	Dali prosseguiu em direção às colinas a leste de Betel, onde armou acampamento, tendo Betel a oeste e Ai a leste. Construiu ali um altar dedicado ao 
GEN.12.9	Depois Abrão partiu e prosseguiu em direção ao Neguebe.
GEN.12.10	Houve fome naquela terra, e Abrão desceu ao Egito para ali viver algum tempo, pois a fome era rigorosa. 
GEN.12.11	Quando estava chegando ao Egito, disse a Sarai, sua mulher: “Bem sei que você é bonita. 
GEN.12.12	Quando os egípcios a virem, dirão: ‘Esta é a mulher dele’. E me matarão, mas deixarão você viva. 
GEN.12.13	Diga que é minha irmã, para que me tratem bem por amor a você e minha vida seja poupada por sua causa”.
GEN.12.14	Quando Abrão chegou ao Egito, viram os egípcios que Sarai era uma mulher muito bonita. 
GEN.12.15	Vendo-a, os homens da corte do faraó a elogiaram diante do faraó, e ela foi levada ao seu palácio. 
GEN.12.16	Ele tratou bem a Abrão por causa dela, e Abrão recebeu ovelhas e bois, jumentos e jumentas, servos e servas, e camelos.
GEN.12.17	Mas o 
GEN.12.18	Por isso o faraó mandou chamar Abrão e disse: “O que você fez comigo? Por que não me falou que ela era sua mulher? 
GEN.12.19	Por que disse que era sua irmã? Foi por isso que eu a tomei para ser minha mulher. Aí está a sua mulher. Tome-a e vá!” 
GEN.12.20	A seguir o faraó deu ordens para que providenciassem o necessário para que Abrão partisse com sua mulher e com tudo o que possuía.
GEN.13.1	Saiu, pois, Abrão do Egito e foi para o Neguebe, com sua mulher e com tudo o que possuía, e Ló foi com ele. 
GEN.13.2	Abrão tinha enriquecido muito, tanto em gado como em prata e ouro.
GEN.13.3	Ele partiu do Neguebe em direção a Betel, indo de um lugar a outro, até que chegou ao lugar entre Betel e Ai onde já havia armado acampamento anteriormente 
GEN.13.4	e onde, pela primeira vez, tinha construído um altar. Ali Abrão invocou o nome do 
GEN.13.5	Ló, que acompanhava Abrão, também possuía rebanhos e tendas. 
GEN.13.6	E não podiam morar os dois juntos na mesma região, porque possuíam tantos bens que a terra não podia sustentá-los. 
GEN.13.7	Por isso surgiu uma desavença entre os pastores dos rebanhos de Abrão e os de Ló. Nessa época os cananeus e os ferezeus habitavam aquela terra.
GEN.13.8	Então Abrão disse a Ló: “Não haja desavença entre mim e você, ou entre os seus pastores e os meus; afinal somos irmãos! 
GEN.13.9	Aí está a terra inteira diante de você. Vamos separar-nos. Se você for para a esquerda, irei para a direita; se for para a direita, irei para a esquerda”.
GEN.13.10	Olhou então Ló e viu todo o vale do Jordão, todo ele bem irrigado, até Zoar; era como o jardim do 
GEN.13.11	Ló escolheu todo o vale do Jordão e partiu em direção ao leste. Assim os dois se separaram: 
GEN.13.12	Abrão ficou na terra de Canaã, mas Ló mudou seu acampamento para um lugar próximo a Sodoma, entre as cidades do vale. 
GEN.13.13	Ora, os homens de Sodoma eram extremamente perversos e pecadores contra o 
GEN.13.14	Disse o 
GEN.13.15	toda a terra que você está vendo darei a você e à sua descendência para sempre. 
GEN.13.16	Tornarei a sua descendência tão numerosa como o pó da terra. Se for possível contar o pó da terra, também se poderá contar a sua descendência. 
GEN.13.17	Percorra esta terra de alto a baixo, de um lado a outro, porque eu a darei a você”.
GEN.13.18	Então Abrão mudou seu acampamento e passou a viver próximo aos carvalhos de Manre, em Hebrom, onde construiu um altar dedicado ao 
GEN.14.1	Naquela época, Anrafel, rei de Sinear, Arioque, rei de Elasar, Quedorlaomer, rei de Elão, e Tidal, rei de Goim, 
GEN.14.2	foram à guerra contra Bera, rei de Sodoma, contra Birsa, rei de Gomorra, contra Sinabe, rei de Admá, contra Semeber, rei de Zeboim, e contra o rei de Belá, que é Zoar. 
GEN.14.3	Todos esses últimos juntaram suas tropas no vale de Sidim, onde fica o mar Salgado
GEN.14.4	Doze anos estiveram sujeitos a Quedorlaomer, mas no décimo terceiro ano se rebelaram.
GEN.14.5	No décimo quarto ano, Quedorlaomer e os reis que a ele tinham-se aliado derrotaram os refains em Asterote-Carnaim, os zuzins em Hã, os emins em Savé-Quiriataim 
GEN.14.6	e os horeus desde os montes de Seir até El-Parã, próximo ao deserto. 
GEN.14.7	Depois, voltaram e foram para En-Mispate, que é Cades, e conquistaram todo o território dos amalequitas e dos amorreus que viviam em Hazazom-Tamar.
GEN.14.8	Então os reis de Sodoma, de Gomorra, de Admá, de Zeboim e de Belá, que é Zoar, marcharam e tomaram posição de combate no vale de Sidim 
GEN.14.9	contra Quedorlaomer, rei de Elão, contra Tidal, rei de Goim, contra Anrafel, rei de Sinear, e contra Arioque, rei de Elasar. Eram quatro reis contra cinco. 
GEN.14.10	Ora, o vale de Sidim era cheio de poços de betume e, quando os reis de Sodoma e de Gomorra fugiram, alguns dos seus homens caíram nos poços e o restante escapou para os montes. 
GEN.14.11	Os vencedores saquearam todos os bens de Sodoma e de Gomorra e todo o seu mantimento, e partiram. 
GEN.14.12	Levaram também Ló, sobrinho de Abrão, e os bens que ele possuía, visto que morava em Sodoma.
GEN.14.13	Mas alguém que tinha escapado veio e relatou tudo a Abrão, o hebreu, que vivia próximo aos carvalhos de Manre, o amorreu. Manre e os seus irmãos
GEN.14.14	Quando Abrão ouviu que seu parente fora levado prisioneiro, mandou convocar os trezentos e dezoito homens treinados, nascidos em sua casa, e saiu em perseguição aos inimigos até Dã. 
GEN.14.15	Atacou-os durante a noite em grupos, e assim os derrotou, perseguindo-os até Hobá, ao norte
GEN.14.16	Recuperou todos os bens e trouxe de volta seu parente Ló com tudo o que possuía, com as mulheres e o restante dos prisioneiros.
GEN.14.17	Voltando Abrão da vitória sobre Quedorlaomer e sobre os reis que a ele se haviam aliado, o rei de Sodoma foi ao seu encontro no vale de Savé, isto é, o vale do Rei.
GEN.14.18	Então Melquisedeque, rei de Salém
GEN.14.19	e abençoou Abrão, dizendo:
GEN.14.19	“Bendito seja Abrão pelo Deus Altíssimo,
GEN.14.19	Criador
GEN.14.20	E bendito seja o Deus Altíssimo,
GEN.14.20	que entregou seus inimigos em suas mãos”.
GEN.14.20	E Abrão lhe deu o dízimo de tudo.
GEN.14.21	O rei de Sodoma disse a Abrão: “Dê-me as pessoas e pode ficar com os bens”.
GEN.14.22	Mas Abrão respondeu ao rei de Sodoma: “De mãos levantadas ao 
GEN.14.23	que não aceitarei nada do que pertence a você, nem mesmo um cordão ou uma correia de sandália, para que você jamais venha a dizer: ‘Eu enriqueci Abrão’. 
GEN.14.24	Nada aceitarei, a não ser o que os meus servos comeram e a porção pertencente a Aner, Escol e Manre, os quais me acompanharam. Que eles recebam a sua porção”.
GEN.15.1	Depois dessas coisas o 
GEN.15.1	“Não tenha medo, Abrão!
GEN.15.1	Eu sou o seu escudo;
GEN.15.1	grande será a sua recompensa!”
GEN.15.2	Mas Abrão perguntou: “Ó Soberano Senhor, que me darás, se continuo sem filhos e o herdeiro do que possuo é Eliézer de Damasco?” 
GEN.15.3	E acrescentou: “Tu não me deste filho algum! Um servo da minha casa será o meu herdeiro!”
GEN.15.4	Então o 
GEN.15.5	Levando-o para fora da tenda, disse-lhe: “Olhe para o céu e conte as estrelas, se é que pode contá-las”. E prosseguiu: “Assim será a sua descendência”.
GEN.15.6	Abrão creu no 
GEN.15.7	Disse-lhe ainda: “Eu sou o 
GEN.15.8	Perguntou-lhe Abrão: “Ó Soberano 
GEN.15.9	Respondeu-lhe o 
GEN.15.10	Abrão trouxe todos esses animais, cortou-os ao meio e colocou cada metade em frente à outra; as aves, porém, ele não cortou. 
GEN.15.11	Nisso, aves de rapina começaram a descer sobre os cadáveres, mas Abrão as enxotava.
GEN.15.12	Ao pôr do sol, Abrão foi tomado de sono profundo, e eis que vieram sobre ele trevas densas e apavorantes. 
GEN.15.13	Então o 
GEN.15.14	Mas eu castigarei a nação a quem servirão como escravos e, depois de tudo, sairão com muitos bens. 
GEN.15.15	Você, porém, irá em paz a seus antepassados e será sepultado em boa velhice. 
GEN.15.16	Na quarta geração, os seus descendentes voltarão para cá, porque a maldade dos amorreus ainda não atingiu a medida completa”.
GEN.15.17	Depois que o sol se pôs e veio a escuridão, eis que um fogareiro esfumaçante, com uma tocha acesa, passou por entre os pedaços dos animais. 
GEN.15.18	Naquele dia, o 
GEN.15.19	a terra dos queneus, dos quenezeus, dos cadmoneus, 
GEN.15.20	dos hititas, dos ferezeus, dos refains, 
GEN.15.21	dos amorreus, dos cananeus, dos girgaseus e dos jebuseus”.
GEN.16.1	Ora, Sarai, mulher de Abrão, não lhe dera nenhum filho. Como tinha uma serva egípcia, chamada Hagar, 
GEN.16.2	disse a Abrão: “Já que o 
GEN.16.3	Quando isso aconteceu, já fazia dez anos que Abrão, seu marido, vivia em Canaã. Foi nessa ocasião que Sarai, sua mulher, lhe entregou sua serva egípcia Hagar. 
GEN.16.4	Ele possuiu Hagar, e ela engravidou.
GEN.16.4	Quando se viu grávida, começou a olhar com desprezo para a sua senhora. 
GEN.16.5	Então Sarai disse a Abrão: “Caia sobre você a afronta que venho sofrendo. Coloquei minha serva em seus braços e, agora que ela sabe que engravidou, despreza-me. Que o 
GEN.16.6	Respondeu Abrão a Sarai: “Sua serva está em suas mãos. Faça com ela o que achar melhor”. Então Sarai tanto maltratou Hagar que esta acabou fugindo.
GEN.16.7	O Anjo do 
GEN.16.8	e perguntou-lhe: “Hagar, serva de Sarai, de onde você vem? Para onde vai?”
GEN.16.8	Respondeu ela: “Estou fugindo de Sarai, a minha senhora”.
GEN.16.9	Disse-lhe então o Anjo do 
GEN.16.10	Disse mais o Anjo: “Multiplicarei tanto os seus descendentes que ninguém os poderá contar”.
GEN.16.11	Disse-lhe ainda o Anjo do 
GEN.16.11	“Você está grávida e terá um filho,
GEN.16.11	e lhe dará o nome de Ismael,
GEN.16.11	porque o 
GEN.16.12	Ele será como jumento selvagem;
GEN.16.12	sua mão será contra todos,
GEN.16.12	e a mão de todos contra ele,
GEN.16.12	e ele viverá em hostilidade
GEN.16.13	Este foi o nome que ela deu ao 
GEN.16.14	Por isso o poço, que fica entre Cades e Berede, foi chamado Beer-Laai-Roi
GEN.16.15	Hagar teve um filho de Abrão, e este lhe deu o nome de Ismael. 
GEN.16.16	Abrão estava com oitenta e seis anos de idade quando Hagar lhe deu Ismael.
GEN.17.1	Quando Abrão estava com noventa e nove anos de idade o 
GEN.17.2	Estabelecerei a minha aliança entre mim e você e multiplicarei muitíssimo a sua descendência”.
GEN.17.3	Abrão prostrou-se com o rosto em terra, e Deus lhe disse: 
GEN.17.4	“De minha parte, esta é a minha aliança com você. Você será o pai de muitas nações. 
GEN.17.5	Não será mais chamado Abrão; seu nome será Abraão
GEN.17.6	Eu o tornarei extremamente prolífero; de você farei nações e de você procederão reis. 
GEN.17.7	Estabelecerei a minha aliança como aliança eterna entre mim e você e os seus futuros descendentes, para ser o seu Deus e o Deus dos seus descendentes. 
GEN.17.8	Toda a terra de Canaã, onde agora você é estrangeiro, darei como propriedade perpétua a você e a seus descendentes; e serei o Deus deles.
GEN.17.9	“De sua parte”, disse Deus a Abraão, “guarde a minha aliança, tanto você como os seus futuros descendentes. 
GEN.17.10	Esta é a minha aliança com você e com os seus descendentes, aliança que terá que ser guardada: Todos os do sexo masculino entre vocês serão circuncidados na carne. 
GEN.17.11	Terão que fazer essa marca, que será o sinal da aliança entre mim e vocês. 
GEN.17.12	Da sua geração em diante, todo menino de oito dias de idade entre vocês terá que ser circuncidado, tanto os nascidos em sua casa quanto os que forem comprados de estrangeiros e que não forem descendentes de vocês. 
GEN.17.13	Sejam nascidos em sua casa, sejam comprados, terão que ser circuncidados. Minha aliança, marcada no corpo de vocês, será uma aliança perpétua. 
GEN.17.14	Qualquer do sexo masculino que for incircunciso, que não tiver sido circuncidado, será eliminado do meio do seu povo; quebrou a minha aliança”.
GEN.17.15	Disse também Deus a Abraão: “De agora em diante sua mulher já não se chamará Sarai; seu nome será Sara
GEN.17.16	Eu a abençoarei e também por meio dela darei a você um filho. Sim, eu a abençoarei e dela procederão nações e reis de povos”.
GEN.17.17	Abraão prostrou-se com o rosto em terra; riu-se e disse a si mesmo: “Poderá um homem de cem anos de idade gerar um filho? Poderá Sara dar à luz aos noventa anos?” 
GEN.17.18	E Abraão disse a Deus: “Permite que Ismael seja o meu herdeiro!
GEN.17.19	Então Deus respondeu: “Na verdade Sara, sua mulher, lhe dará um filho, e você lhe chamará Isaque
GEN.17.20	E, no caso de Ismael, levarei em conta o seu pedido. Também o abençoarei; eu o farei prolífero e multiplicarei muito a sua descendência. Ele será pai de doze príncipes e dele farei um grande povo. 
GEN.17.21	Mas a minha aliança, eu a estabelecerei com Isaque, filho que Sara dará a você no ano que vem, por esta época”. 
GEN.17.22	Quando terminou de falar com Abraão, Deus subiu e retirou-se da presença dele.
GEN.17.23	Naquele mesmo dia, Abraão tomou seu filho Ismael, todos os nascidos em sua casa e os que foram comprados, todos os do sexo masculino de sua casa, e os circuncidou, como Deus lhe ordenara. 
GEN.17.24	Abraão tinha noventa e nove anos quando foi circuncidado, 
GEN.17.25	e seu filho Ismael tinha treze; 
GEN.17.26	Abraão e seu filho Ismael foram circuncidados naquele mesmo dia. 
GEN.17.27	E com Abraão foram circuncidados todos os de sua casa, tanto os nascidos em casa como os comprados de estrangeiros.
GEN.18.1	O 
GEN.18.2	Abraão ergueu os olhos e viu três homens em pé, a pouca distância. Quando os viu, saiu da entrada de sua tenda, correu ao encontro deles e curvou-se até o chão.
GEN.18.3	Disse ele: “Meu senhor, se mereço o seu favor, não passe pelo seu servo sem fazer uma parada. 
GEN.18.4	Mandarei buscar um pouco d’água para que lavem os pés e descansem debaixo desta árvore. 
GEN.18.5	Vou trazer a vocês também o que comer, para que recuperem as forças e prossigam pelo caminho, agora que já chegaram até este seu servo”.
GEN.18.5	“Está bem; faça como está dizendo”, responderam.
GEN.18.6	Abraão foi apressadamente à tenda e disse a Sara: “Depressa, pegue três medidas
GEN.18.7	Depois correu ao rebanho e escolheu o melhor novilho, e o deu a um servo, que se apressou em prepará-lo. 
GEN.18.8	Trouxe então coalhada, leite e o novilho que havia sido preparado, e os serviu. Enquanto comiam, ele ficou perto deles em pé, debaixo da árvore.
GEN.18.9	“Onde está Sara, sua mulher?”, perguntaram.
GEN.18.9	“Ali na tenda”, respondeu ele.
GEN.18.10	Então disse o 
GEN.18.10	Sara escutava à entrada da tenda, atrás dele. 
GEN.18.11	Abraão e Sara já eram velhos, de idade bem avançada, e Sara já tinha passado da idade de ter filhos. 
GEN.18.12	Por isso riu consigo mesma, quando pensou: “Depois de já estar velha e meu senhor
