GEN.1.1	No 
GEN.15.7	Disse-lhe mais: Eu 
GEN.15.8	E disse ele: Senhor 
GEN.15.9	E disse-lhe: Toma-me uma bezerra de três anos, e uma cabra de três anos, e um carneiro de três anos, e uma rola, e um pombinho. 
GEN.15.10	E trouxe-lhe todos estes, e 
GEN.15.11	E as aves desciam sobre os cadáveres; Abrão, porém, as enxotava.
GEN.15.12	E, 
GEN.15.13	Então, disse a Abrão: Saibas, decerto, que peregrina será a tua semente em terra 
GEN.15.14	Mas também eu julgarei a gente à qual servirão, e depois sairão com 
GEN.15.15	E tu irás a teus pais em paz; em boa velhice 
GEN.15.16	E a quarta geração tornará para cá; porque a medida da injustiça dos amorreus 
GEN.15.17	E sucedeu que, posto o sol, houve escuridão; e eis um forno de fumaça e uma tocha de fogo que passou por aquelas metades. 
GEN.15.18	Naquele mesmo dia, fez o 
GEN.15.19	e o queneu, e o quenezeu, e o cadmoneu, 
GEN.15.20	e o heteu, e o ferezeu, e os refains, 
GEN.15.21	e o amorreu, e o cananeu, e o girgaseu, e o jebuseu.
GEN.16.1	Ora, Sarai, mulher de Abrão, não lhe gerava filhos, e ele tinha uma serva egípcia, cujo nome 
GEN.16.2	E disse Sarai a Abrão: Eis que o 
GEN.16.3	Assim, tomou Sarai, mulher de Abrão, a Agar, egípcia, sua serva, e deu-a por mulher a Abrão, seu marido, ao fim de dez anos que Abrão habitara na terra de Canaã. 
GEN.16.4	E ele entrou a Agar, e ela concebeu; e, vendo ela que concebera, foi sua senhora desprezada aos seus olhos. 
GEN.16.5	Então, disse Sarai a Abrão: Meu agravo 
GEN.16.6	E disse Abrão a Sarai: Eis que tua serva 
GEN.16.7	E o Anjo do 
GEN.16.8	E disse: Agar, serva de Sarai, de onde vens e para onde vais? E 
GEN.16.9	Então, lhe disse o Anjo do 
GEN.16.10	Disse-lhe mais o Anjo do 
GEN.16.11	Disse-lhe também o Anjo do 
GEN.16.12	E ele será 
GEN.16.13	E 
GEN.16.14	Por isso, se chama aquele poço de 
GEN.16.15	E Agar deu um filho a Abrão; e Abrão chamou o nome do seu filho que tivera Agar, Ismael. 
GEN.16.16	E 
GEN.17.1	Sendo, pois, Abrão da idade de noventa e nove anos, apareceu o 
GEN.17.2	E porei o meu concerto entre mim e ti e te multiplicarei grandissimamente. 
GEN.17.3	Então, caiu Abrão sobre o seu rosto, e falou Deus com ele, dizendo: 
GEN.17.4	Quanto a mim, eis o meu concerto contigo é, e serás o pai 
GEN.17.5	E não se chamará mais o teu 
GEN.17.6	E te farei frutificar grandissimamente e de ti farei nações, e reis 
GEN.17.7	E estabelecerei o meu concerto entre mim e ti e a tua semente depois de ti em suas gerações, por concerto 
GEN.17.8	E te darei a ti e à tua semente depois de ti a terra de tuas peregrinações, 
GEN.17.9	Disse mais Deus a Abraão: Tu, porém, guardarás o meu concerto, tu e a tua semente depois de ti, nas suas gerações. 
GEN.17.10	Este 
GEN.17.11	E circuncidareis a carne do vosso prepúcio; e 
GEN.17.12	O filho de oito dias, pois, será circuncidado; todo macho nas vossas gerações, o nascido na casa e o comprado por dinheiro a qualquer estrangeiro, que não 
GEN.17.13	Com efeito, será circuncidado o nascido em tua casa e o comprado por teu dinheiro; e estará o meu concerto na vossa carne por concerto perpétuo. 
GEN.17.14	E o macho com prepúcio, cuja carne do prepúcio não estiver circuncidada, aquela alma será extirpada dos seus povos; quebrantou o meu concerto.
GEN.17.15	Disse Deus mais a Abraão: a Sarai, tua mulher, não chamarás 
GEN.17.16	Porque eu a hei de abençoar e te hei de dar a ti dela um filho; e a abençoarei, e será 
GEN.17.17	Então, caiu Abraão sobre o seu rosto, e riu-se, e disse no seu coração: A um homem de cem anos há de nascer 
GEN.17.18	E disse Abraão a Deus: Tomara que viva Ismael diante de teu rosto! 
GEN.17.19	E disse Deus: Na verdade, Sara, tua mulher, te dará um filho, e chamarás o seu nome 
GEN.17.20	E, quanto a Ismael, 
GEN.17.21	O meu concerto, porém, estabelecerei com Isaque, o qual Sara te dará neste tempo determinado, no ano 
GEN.17.22	E acabou de falar com ele e subiu Deus de Abraão.
GEN.17.23	Então, tomou Abraão a seu filho Ismael, e a todos os nascidos na sua casa, e a todos os comprados por seu dinheiro, todo macho entre os homens da casa de Abraão; e circuncidou a carne do seu prepúcio, naquele mesmo dia, como Deus falara com ele. 
GEN.17.24	E 
GEN.17.25	E Ismael, seu filho, 
GEN.17.26	Neste mesmo dia, foi circuncidado Abraão e Ismael, seu filho. 
GEN.17.27	E todos os homens da sua casa, o nascido em casa e o comprado por dinheiro do estrangeiro, foram circuncidados com ele.
GEN.18.1	Depois, apareceu-lhe o 
GEN.18.2	E levantou os olhos e olhou, e eis três varões estavam em pé junto 
GEN.18.3	e disse: Meu Senhor, se agora tenho achado graça aos teus olhos, rogo-te que não 
GEN.18.4	Traga-se, agora, um 
GEN.18.5	e trarei um bocado de pão, para que esforceis o vosso coração; depois, passareis adiante, porquanto por isso chegastes até vosso servo. E disseram: Assim, faze como tens dito. 
GEN.18.6	E Abraão apressou-se em ir ter com Sara à tenda e disse-lhe: Amassa depressa três medidas de flor de farinha e faze bolos. 
GEN.18.7	E correu Abraão às vacas, e tomou uma vitela tenra e boa, e deu-
GEN.18.8	E tomou 
GEN.18.9	E disseram-lhe: Onde 
GEN.18.10	E disse: Certamente 
GEN.18.11	E 
GEN.18.12	Assim, pois, riu-se Sara consigo, 
GEN.18.13	E disse o 
GEN.18.14	Haveria coisa alguma difícil 
GEN.18.15	E Sara negou, dizendo: Não me ri, porquanto temeu. E 
GEN.18.16	E levantaram-se aqueles varões dali e olharam para a banda de Sodoma; e Abraão ia com eles, acompanhando-os.
GEN.18.17	E disse o 
GEN.18.18	visto que Abraão certamente virá a ser uma grande e poderosa nação, 
GEN.18.19	Porque eu o tenho conhecido, que ele há de ordenar a seus filhos 
GEN.18.20	Disse mais o 
GEN.18.21	descerei 
GEN.18.22	Então, viraram aqueles varões o rosto dali e foram-se para Sodoma; mas Abraão ficou ainda em pé diante da face do 
GEN.18.23	E chegou-se Abraão, dizendo: Destruirás também o justo com o ímpio? 
GEN.18.24	Se, porventura, houver cinquenta justos na cidade, destruí-los-ás também e não pouparás o lugar por causa dos cinquenta justos que 
GEN.18.25	Longe de ti que faças tal coisa, que mates o justo com o ímpio; 
GEN.18.26	Então, disse o 
GEN.18.27	E respondeu Abraão, dizendo: Eis que, agora, me atrevi a falar ao Senhor, ainda que 
GEN.18.28	Se, porventura, faltarem de cinquenta justos cinco, destruirás por aqueles cinco toda a cidade? E disse: Não 
GEN.18.29	E continuou ainda a falar-lhe e disse: Se, porventura, acharem ali quarenta? E disse: Não 
GEN.18.30	Disse mais: Ora, não se ire o Senhor, se eu 
GEN.18.31	E disse: Eis que, agora, me atrevi a falar ao Senhor: se, porventura, se acharem ali vinte? E disse: Não 
GEN.18.32	Disse mais: Ora, não se ire o Senhor que 
GEN.18.33	E foi-se o 
GEN.19.1	E vieram os dois 
GEN.19.2	E disse: Eis agora, meus senhores, entrai, peço-vos, em casa de vosso servo, e passai 
GEN.19.3	E porfiou com eles muito, e vieram com ele e entraram em sua casa; e fez-lhes banquete e cozeu bolos sem levedura, e comeram. 
GEN.19.4	E, antes que se deitassem, cercaram a casa os varões daquela cidade, os varões de Sodoma, desde o moço até ao velho; todo o povo de todos os bairros. 
GEN.19.5	E chamaram Ló e disseram-lhe: Onde 
GEN.19.6	Então, saiu Ló a eles à porta, e fechou a porta atrás de si, 
GEN.19.7	e disse: Meus irmãos, rogo-vos que não 
GEN.19.8	Eis aqui, duas filhas tenho, que 
GEN.19.9	Eles, porém, disseram: Sai daí. Disseram mais: Como estrangeiro, este indivíduo veio 
GEN.19.10	Aqueles varões, porém, estenderam a sua mão, e fizeram entrar a Ló consigo na casa, e fecharam a porta; 
GEN.19.11	e 
GEN.19.12	Então, disseram aqueles varões a Ló: Tens alguém mais aqui? Teu genro, e teus filhos, e tuas filhas, e todos quantos tens nesta cidade, tira-os fora deste lugar; 
GEN.19.13	pois nós vamos destruir este lugar, porque o seu clamor tem engrossado 
GEN.19.14	Então, saiu Ló, e falou a seus genros, aos que haviam de tomar as suas filhas, e disse: Levantai-vos; saí deste lugar, porque o 
GEN.19.15	E, ao amanhecer, os anjos apertaram com Ló, dizendo: Levanta-te, toma tua mulher e tuas duas filhas que aqui estão, para que não pereças na injustiça desta cidade. 
GEN.19.16	Ele, porém, demorava-se, e aqueles varões lhe pegaram pela mão, e pela mão de sua mulher, e pela mão de suas duas filhas, sendo-lhe o Senhor misericordioso, e tiraram-no, e puseram-no fora da cidade. 
GEN.19.17	E aconteceu que, tirando-os fora, disse: Escapa-te por tua vida; não olhes 
GEN.19.18	E Ló disse-lhe: Assim, não, Senhor! 
GEN.19.19	Eis que, agora, o teu servo tem achado graça aos teus olhos, e engrandeceste a tua misericórdia que a mim me fizeste, para guardar a minha alma em vida; mas não posso escapar no monte, pois que tenho medo que me apanhe este mal, e eu morra. 
GEN.19.20	Eis, agora, aquela cidade 
GEN.19.21	E disse-lhe: Eis aqui, tenho-te aceitado também neste negócio, para não derribar esta cidade de que falaste. 
GEN.19.22	Apressa-te, escapa-te para ali; porque nada poderei fazer, enquanto não tiveres ali chegado. Por isso, se chamou o nome da cidade 
GEN.19.23	Saiu o sol sobre a terra, quando Ló entrou em Zoar.
GEN.19.24	Então, o 
GEN.19.25	E derribou aquelas cidades, e toda aquela campina, e todos os moradores daquelas cidades, e o que nascia da terra. 
GEN.19.26	E a mulher de Ló olhou para trás e ficou convertida numa estátua de 
GEN.19.27	E Abraão levantou-se aquela mesma manhã de madrugada e foi para aquele lugar onde estivera 
GEN.19.28	E olhou para Sodoma e Gomorra e para toda a terra da campina; e viu, e eis que a fumaça da terra subia, como a fumaça duma fornalha.
GEN.19.29	E aconteceu que, destruindo Deus as cidades da campina, Deus se lembrou de Abraão e tirou Ló do meio da destruição, derribando aquelas cidades em que Ló habitara.
GEN.19.30	E subiu Ló de Zoar e habitou 
GEN.19.31	Então, a primogênita disse à menor: Nosso pai 
GEN.19.32	Vem, demos a beber vinho a nosso pai e deitemo-nos com ele, para que em vida conservemos semente de nosso pai. 
GEN.19.33	E deram a beber vinho a seu pai 
GEN.19.34	E sucedeu, no outro dia, que a primogênita disse à menor: Vês aqui, eu já ontem à noite me deitei com meu pai; demos-lhe a beber vinho também esta noite, e então entra tu, deita-te com ele, para que em vida conservemos semente de nosso pai. 
GEN.19.35	E deram a beber vinho a seu pai, também naquela noite; e levantou-se a menor e deitou-se com ele; e não sentiu ele quando ela se deitou, nem quando se levantou. 
GEN.19.36	E conceberam 
GEN.19.37	E teve a primogênita um filho e chamou o seu nome Moabe; este 
GEN.19.38	E a menor também teve um filho e chamou o seu nome Ben-Ami; este 
GEN.20.1	E partiu Abraão dali para a terra do Sul e habitou entre Cades e Sur; e peregrinou em Gerar. 
GEN.20.2	E, havendo Abraão dito de Sara, sua mulher: 
GEN.20.3	Deus, porém, veio a Abimeleque em 
GEN.20.4	Mas Abimeleque 
GEN.20.5	Não me disse ele mesmo: É minha irmã? E ela também disse: É meu irmão. Em sinceridade do coração e em pureza das minhas mãos, tenho feito isto. 
GEN.20.6	E disse-lhe Deus em sonhos: Bem sei eu que na sinceridade do teu coração fizeste isto; e também eu te tenho impedido de pecar contra mim; 
GEN.20.7	Agora, pois, restitui a mulher ao seu marido, porque profeta é e rogará por ti, 
GEN.20.8	E levantou-se Abimeleque pela manhã, de madrugada, chamou todos os seus servos e falou todas estas palavras em seus ouvidos; e temeram muito aqueles varões. 
GEN.20.9	Então, chamou Abimeleque a Abraão e disse-lhe: Que nos fizeste? E em que pequei contra ti, para trazeres sobre mim e meu reino tamanho pecado? Tu me fizeste aquilo que não deverias ter feito. 
GEN.20.10	Disse mais Abimeleque a Abraão: Que tens visto, para fazeres tal coisa? 
GEN.20.11	E disse Abraão: Porque eu dizia comigo: 
GEN.20.12	E, na verdade, é ela também minha irmã, filha de meu pai, mas não filha da minha mãe; e veio a ser minha mulher. 
GEN.20.13	E aconteceu que, fazendo-me Deus sair errante da casa de meu pai, eu lhe disse: 
GEN.20.14	Então, tomou Abimeleque ovelhas, e vacas, 
GEN.20.15	E disse Abimeleque: Eis que a minha terra 
GEN.20.16	E a Sara disse: Vês que tenho dado ao teu irmão mil 
GEN.20.17	E orou Abraão a Deus, e sarou Deus a Abimeleque, e a sua mulher, e as suas servas, de maneira que tiveram filhos; 
GEN.20.18	porque o 
GEN.21.1	E o 
GEN.21.2	E 
GEN.21.3	E chamou Abraão o nome de seu filho que lhe nascera, que Sara lhe 
GEN.21.4	E Abraão circuncidou o seu filho Isaque, quando era da idade de oito dias, como Deus lhe tinha 
GEN.21.5	E 
GEN.21.6	E disse Sara: Deus me tem feito riso; e todo aquele que o ouvir se rirá comigo. 
GEN.21.7	Disse mais: Quem diria a Abraão que Sara daria de mamar a filhos, porque lhe dei um filho na sua velhice?
GEN.21.8	E cresceu o menino e foi desmamado; então, Abraão fez um grande banquete no dia em que Isaque foi desmamado. 
GEN.21.9	E viu Sara 
GEN.21.10	E disse a Abraão: Deita fora esta 
GEN.21.11	E pareceu esta palavra mui má aos olhos de Abraão, por causa de seu filho. 
GEN.21.12	Porém Deus disse a Abraão: Não te pareça mal aos teus olhos acerca do moço e acerca da tua serva; em tudo o que Sara te diz, ouve a sua voz; porque 
GEN.21.13	Mas também do 
GEN.21.14	Então, se levantou Abraão pela manhã, de madrugada, e tomou pão e um odre de água, e os deu a Agar, pondo-os sobre o seu ombro; também 
GEN.21.15	E, consumida a água do odre, lançou o menino debaixo de uma das árvores. 
GEN.21.16	E foi-se e assentou-se em frente, afastando-se a distância de um tiro de arco; porque dizia: Que não veja eu morrer o menino. E assentou-se em frente, e levantou a sua voz, e chorou. 
GEN.21.17	E ouviu Deus a voz do menino, e bradou o Anjo de Deus a Agar desde os céus e disse-lhe: Que tens, Agar? Não temas, porque Deus ouviu a voz do rapaz desde o lugar onde 
GEN.21.18	Ergue-te, levanta o moço e pega-lhe pela mão, porque dele farei uma 
GEN.21.19	E 
GEN.21.20	E era Deus com o moço, que cresceu, e habitou no deserto, e foi flecheiro. 
GEN.21.21	E habitou no deserto 
GEN.21.22	E aconteceu, naquele mesmo tempo, que Abimeleque, com Ficol, 
GEN.21.23	agora, pois, jura-me aqui por Deus que me não mentirás a mim, nem a meu filho, nem a meu neto; segundo a beneficência que te fiz, me farás a mim e à terra onde peregrinaste. 
GEN.21.24	E disse Abraão: Eu jurarei.
GEN.21.25	Abraão, porém, repreendeu a Abimeleque por causa de um poço de água que os servos de Abimeleque haviam tomado por 
GEN.21.26	Então, disse Abimeleque: Eu não sei quem fez isto; e também tu mo não fizeste saber, nem eu o ouvi senão hoje. 
GEN.21.27	E tomou Abraão ovelhas e vacas e deu-as a Abimeleque; e fizeram ambos concerto. 
GEN.21.28	Pôs Abraão, porém, à parte sete cordeiras do rebanho. 
GEN.21.29	E Abimeleque disse a Abraão: Para que estão aqui estas sete cordeiras, que puseste à parte? 
GEN.21.30	E disse: Tomarás 
GEN.21.31	Por isso, se chamou aquele lugar 
GEN.21.32	Assim, fizeram concerto em Berseba. Depois, se levantou Abimeleque e Ficol, príncipe do seu exército, e tornaram para a terra dos filisteus. 
GEN.21.33	E plantou um bosque em Berseba e invocou lá o nome do 
GEN.21.34	E peregrinou Abraão na terra dos filisteus muitos dias.
GEN.22.1	E aconteceu, 
GEN.22.2	E disse: Toma agora o teu filho, o teu único filho, Isaque, a quem amas, e vai-te à terra de Moriá; e oferece-o ali em holocausto sobre uma das montanhas, que eu te direi. 
GEN.22.3	Então, se levantou Abraão pela manhã, de madrugada, e albardou o seu jumento, e tomou consigo dois de seus moços e Isaque, seu filho; e fendeu lenha para o holocausto, e levantou-se, e foi ao lugar que Deus lhe dissera. 
GEN.22.4	Ao terceiro dia, levantou Abraão os seus olhos e viu o lugar de longe. 
GEN.22.5	E disse Abraão a seus moços: Ficai-vos aqui com o jumento, e eu e o moço iremos até ali; e, havendo adorado, tornaremos a vós. 
GEN.22.6	E tomou Abraão a lenha do holocausto 
GEN.22.7	Então, falou Isaque a Abraão, seu pai, e disse: Meu pai! E ele disse: Eis-me 
GEN.22.8	E disse Abraão: Deus proverá para si 
GEN.22.9	E vieram ao lugar que Deus lhes dissera, e edificou Abraão ali um altar, e pôs em ordem a lenha, e amarrou a Isaque, seu filho, 
GEN.22.10	E estendeu Abraão a sua mão e tomou o cutelo para imolar o seu filho. 
GEN.22.11	Mas o Anjo do 
GEN.22.12	Então, disse: Não estendas a tua mão sobre o moço e não lhe faças nada; porquanto agora sei que temes a Deus e não me negaste o teu filho, o teu único. 
GEN.22.13	Então, levantou Abraão os seus olhos e olhou, e eis um carneiro detrás 
GEN.22.14	E chamou Abraão o nome daquele lugar 
GEN.22.15	Então, o Anjo do 
GEN.22.16	e disse: Por mim mesmo, 
GEN.22.17	que deveras te abençoarei e grandissimamente multiplicarei a tua semente como as 
GEN.22.18	E em tua semente serão benditas todas as nações da terra, 
GEN.22.19	Então, Abraão tornou aos seus moços, e levantaram-se e foram juntos para Berseba; e Abraão habitou em Berseba.
GEN.22.20	E sucedeu, depois destas coisas, que anunciaram a Abraão, dizendo: Eis que também 
GEN.22.21	Uz, o seu primogênito, e Buz, seu irmão, e Quemuel, pai de Arã, 
GEN.22.22	e Quésede, e Hazo, e Pildas, e Jidlafe, e Betuel. 
GEN.22.23	E Betuel 
GEN.22.24	E a sua concubina, cujo nome 
GEN.23.1	E foi a vida de Sara cento e vinte e sete anos; 
GEN.23.2	E morreu Sara em 
GEN.23.3	Depois, se levantou Abraão de diante do seu morto e falou aos filhos de Hete, dizendo: 
GEN.23.4	Estrangeiro e peregrino sou entre vós; dai-me 
GEN.23.5	E responderam os filhos de Hete a Abraão, dizendo-lhe: 
GEN.23.6	Ouve-nos, meu senhor: príncipe de Deus 
GEN.23.7	Então, se levantou Abraão e inclinou-se diante do povo da terra, diante dos filhos de Hete. 
GEN.23.8	E falou com eles, dizendo: Se é de vossa vontade que eu sepulte o meu morto de diante de minha face, ouvi-me e falai por mim a Efrom, filho de Zoar. 
GEN.23.9	Que ele me dê a cova de Macpela, que 
GEN.23.10	Ora, Efrom estava no meio dos filhos de Hete; e respondeu Efrom, heteu, a Abraão, aos ouvidos dos filhos de Hete, de todos os que entravam pela porta da sua cidade, dizendo: 
