GEN.1.1	No princípio, criou Deus os céus e a terra. 
GEN.11.25	e, depois que gerou a Tera, viveu Naor cento e dezenove anos; e gerou filhos e filhas.
GEN.11.26	Viveu Tera setenta anos e gerou a Abrão, a Naor e a Harã.
GEN.11.27	São estas as gerações de Tera. Tera gerou a Abrão, a Naor e a Harã; e Harã gerou a Ló. 
GEN.11.28	Morreu Harã na terra de seu nascimento, em Ur dos caldeus, estando Tera, seu pai, ainda vivo. 
GEN.11.29	Abrão e Naor tomaram para si mulheres; a de Abrão chamava-se Sarai, a de Naor, Milca, filha de Harã, que foi pai de Milca e de Iscá. 
GEN.11.30	Sarai era estéril, não tinha filhos.
GEN.11.31	Tomou Tera a Abrão, seu filho, e a Ló, filho de Harã, filho de seu filho, e a Sarai, sua nora, mulher de seu filho Abrão, e saiu com eles de Ur dos caldeus, para ir à terra de Canaã; foram até Harã, onde ficaram. 
GEN.11.32	E, havendo Tera vivido duzentos e cinco anos ao todo, morreu em Harã.
GEN.12.1	Ora, disse o 
GEN.12.2	de ti farei uma grande nação, e te abençoarei, e te engrandecerei o nome. Sê tu uma bênção! 
GEN.12.3	Abençoarei os que te abençoarem e amaldiçoarei os que te amaldiçoarem; em ti serão benditas todas as famílias da terra.
GEN.12.4	Partiu, pois, Abrão, como lho ordenara o 
GEN.12.5	Levou Abrão consigo a Sarai, sua mulher, e a Ló, filho de seu irmão, e todos os bens que haviam adquirido, e as pessoas que lhes acresceram em Harã. Partiram para a terra de Canaã; e lá chegaram. 
GEN.12.6	Atravessou Abrão a terra até Siquém, até ao carvalho de Moré. Nesse tempo os cananeus habitavam essa terra. 
GEN.12.7	Apareceu o 
GEN.12.8	Passando dali para o monte ao oriente de Betel, armou a sua tenda, ficando Betel ao ocidente e Ai ao oriente; ali edificou um altar ao 
GEN.12.9	Depois, seguiu Abrão dali, indo sempre para o Neguebe.
GEN.12.10	Havia fome naquela terra; desceu, pois, Abrão ao Egito, para aí ficar, porquanto era grande a fome na terra. 
GEN.12.11	Quando se aproximava do Egito, quase ao entrar, disse a Sarai, sua mulher: Ora, bem sei que és mulher de formosa aparência; 
GEN.12.12	os egípcios, quando te virem, vão dizer: É a mulher dele e me matarão, deixando-te com vida. 
GEN.12.13	Dize, pois, que és minha irmã,
GEN.12.14	Tendo Abrão entrado no Egito, viram os egípcios que a mulher era sobremaneira formosa. 
GEN.12.15	Viram-na os príncipes de Faraó e gabaram-na junto dele; e a mulher foi levada para a casa de Faraó. 
GEN.12.16	Este, por causa dela, tratou bem a Abrão, o qual veio a ter ovelhas, bois, jumentos, escravos e escravas, jumentas e camelos.
GEN.12.17	Porém o 
GEN.12.18	Chamou, pois, Faraó a Abrão e lhe disse: Que é isso que me fizeste? Por que não me disseste que era ela tua mulher? 
GEN.12.19	E me disseste ser tua irmã? Por isso, a tomei para ser minha mulher. Agora, pois, eis a tua mulher, toma-a e vai-te. 
GEN.12.20	E Faraó deu ordens aos seus homens a respeito dele; e acompanharam-no, a ele, a sua mulher e a tudo que possuía.
GEN.13.1	Saiu, pois, Abrão do Egito para o Neguebe, ele e sua mulher e tudo o que tinha, e Ló com ele. 
GEN.13.2	Era Abrão muito rico; possuía gado, prata e ouro. 
GEN.13.3	Fez as suas jornadas do Neguebe até Betel, até ao lugar onde primeiro estivera a sua tenda, entre Betel e Ai, 
GEN.13.4	até ao lugar do altar, que outrora tinha feito; e aí Abrão invocou o nome do 
GEN.13.5	Ló, que ia com Abrão, também tinha rebanhos, gado e tendas. 
GEN.13.6	E a terra não podia sustentá-los, para que habitassem juntos, porque eram muitos os seus bens; de sorte que não podiam habitar um na companhia do outro. 
GEN.13.7	Houve contenda entre os pastores do gado de Abrão e os pastores do gado de Ló. Nesse tempo os cananeus e os ferezeus habitavam essa terra.
GEN.13.8	Disse Abrão a Ló: Não haja contenda entre mim e ti e entre os meus pastores e os teus pastores, porque somos parentes chegados. 
GEN.13.9	Acaso, não está diante de ti toda a terra? Peço-te que te apartes de mim; se fores para a esquerda, irei para a direita; se fores para a direita, irei para a esquerda. 
GEN.13.10	Levantou Ló os olhos e viu toda a campina do Jordão, que era toda bem-regada (antes de haver o 
GEN.13.11	Então, Ló escolheu para si toda a campina do Jordão e partiu para o Oriente; separaram-se um do outro. 
GEN.13.12	Habitou Abrão na terra de Canaã; e Ló, nas cidades da campina e ia armando as suas tendas até Sodoma. 
GEN.13.13	Ora, os homens de Sodoma eram maus e grandes pecadores contra o 
GEN.13.14	Disse o 
GEN.13.15	porque toda essa terra que vês, eu ta darei, a ti e à tua descendência,
GEN.13.16	Farei a tua descendência como o pó da terra; de maneira que, se alguém puder contar o pó da terra, então se contará também a tua descendência. 
GEN.13.17	Levanta-te, percorre essa terra no seu comprimento e na sua largura; porque eu ta darei. 
GEN.13.18	E Abrão, mudando as suas tendas, foi habitar nos carvalhais de Manre, que estão junto a Hebrom; e levantou ali um altar ao 
GEN.14.1	Sucedeu naquele tempo que Anrafel, rei de Sinar, Arioque, rei de Elasar, Quedorlaomer, rei de Elão, e Tidal, rei de Goim, 
GEN.14.2	fizeram guerra contra Bera, rei de Sodoma, contra Birsa, rei de Gomorra, contra Sinabe, rei de Admá, contra Semeber, rei de Zeboim, e contra o rei de Bela (esta é Zoar). 
GEN.14.3	Todos estes se ajuntaram no vale de Sidim (que é o mar Salgado). 
GEN.14.4	Doze anos serviram a Quedorlaomer, porém no décimo terceiro se rebelaram. 
GEN.14.5	Ao décimo quarto ano, veio Quedorlaomer e os reis que estavam com ele e feriram aos refains em Asterote-Carnaim, e aos zuzins em Hã, e aos emins em Savé-Quiriataim, 
GEN.14.6	e aos horeus no seu monte Seir, até El-Parã, que está junto ao deserto. 
GEN.14.7	De volta passaram em En-Mispate (que é Cades) e feriram toda a terra dos amalequitas e dos amorreus, que habitavam em Hazazom-Tamar. 
GEN.14.8	Então, saíram os reis de Sodoma, de Gomorra, de Admá, de Zeboim e de Bela (esta é Zoar) e se ordenaram e levantaram batalha contra eles no vale de Sidim, 
GEN.14.9	contra Quedorlaomer, rei de Elão, contra Tidal, rei de Goim, contra Anrafel, rei de Sinar, contra Arioque, rei de Elasar: quatro reis contra cinco. 
GEN.14.10	Ora, o vale de Sidim estava cheio de poços de betume; os reis de Sodoma e de Gomorra fugiram; alguns caíram neles, e os restantes fugiram para um monte. 
GEN.14.11	Tomaram, pois, todos os bens de Sodoma e de Gomorra e todo o seu mantimento e se foram.
GEN.14.12	Apossaram-se também de Ló, filho do irmão de Abrão, que morava em Sodoma, e dos seus bens e partiram. 
GEN.14.13	Porém veio um, que escapara, e o contou a Abrão, o hebreu; este habitava junto dos carvalhais de Manre, o amorreu, irmão de Escol e de Aner, os quais eram aliados de Abrão. 
GEN.14.14	Ouvindo Abrão que seu sobrinho estava preso, fez sair trezentos e dezoito homens dos mais capazes, nascidos em sua casa, e os perseguiu até Dã. 
GEN.14.15	E, repartidos contra eles de noite, ele e os seus homens, feriu-os e os perseguiu até Hobá, que fica à esquerda de Damasco. 
GEN.14.16	Trouxe de novo todos os bens, e também a Ló, seu sobrinho, os bens dele, e ainda as mulheres, e o povo. 
GEN.14.17	Após voltar Abrão de ferir a Quedorlaomer e aos reis que estavam com ele, saiu-lhe ao encontro o rei de Sodoma no vale de Savé, que é o vale do Rei.
GEN.14.18	Melquisedeque,
GEN.14.19	abençoou ele a Abrão e disse:
GEN.14.19	Bendito seja Abrão pelo Deus Altíssimo,
GEN.14.19	que possui os céus e a terra;
GEN.14.20	e bendito seja o Deus Altíssimo,
GEN.14.20	que entregou os teus adversários nas tuas mãos.
GEN.14.20	E de tudo lhe deu Abrão o dízimo. 
GEN.14.21	Então, disse o rei de Sodoma a Abrão: Dá-me as pessoas, e os bens ficarão contigo. 
GEN.14.22	Mas Abrão lhe respondeu: Levanto a mão ao 
GEN.14.23	e juro que nada tomarei de tudo o que te pertence, nem um fio, nem uma correia de sandália, para que não digas: Eu enriqueci a Abrão; 
GEN.14.24	nada quero para mim, senão o que os rapazes comeram e a parte que toca aos homens Aner, Escol e Manre, que foram comigo; estes que tomem o seu quinhão.
GEN.15.1	Depois destes acontecimentos, veio a palavra do 
GEN.15.2	Respondeu Abrão: 
GEN.15.3	Disse mais Abrão: A mim não me concedeste descendência, e um servo nascido na minha casa será o meu herdeiro. 
GEN.15.4	A isto respondeu logo o 
GEN.15.5	Então, conduziu-o até fora e disse: Olha para os céus e conta as estrelas, se é que o podes. E lhe disse: Será assim a tua posteridade.
GEN.15.6	Ele creu no 
GEN.15.7	Disse-lhe mais: Eu sou o 
GEN.15.8	Perguntou-lhe Abrão: 
GEN.15.9	Respondeu-lhe: Toma-me uma novilha, uma cabra e um cordeiro, cada qual de três anos, uma rola e um pombinho. 
GEN.15.10	Ele, tomando todos estes animais, partiu-os pelo meio e lhes pôs em ordem as metades, umas defronte das outras; e não partiu as aves. 
GEN.15.11	Aves de rapina desciam sobre os cadáveres, porém Abrão as enxotava.
GEN.15.12	Ao pôr do sol, caiu profundo sono sobre Abrão, e grande pavor e cerradas trevas o acometeram; 
GEN.15.13	então, lhe foi dito: Sabe, com certeza, que a tua posteridade será peregrina em terra alheia, e será reduzida à escravidão, e será afligida por quatrocentos anos. 
GEN.15.14	Mas também eu julgarei a gente a que têm de sujeitar-se; e depois sairão com grandes riquezas.
GEN.15.15	E tu irás para os teus pais em paz; serás sepultado em ditosa velhice. 
GEN.15.16	Na quarta geração, tornarão para aqui; porque não se encheu ainda a medida da iniquidade dos amorreus.
GEN.15.17	E sucedeu que, posto o sol, houve densas trevas; e eis um fogareiro fumegante e uma tocha de fogo que passou entre aqueles pedaços. 
GEN.15.18	Naquele mesmo dia, fez o 
GEN.15.19	o queneu, o quenezeu, o cadmoneu, 
GEN.15.20	o heteu, o ferezeu, os refains, 
GEN.15.21	o amorreu, o cananeu, o girgaseu e o jebuseu.
GEN.16.1	Ora, Sarai, mulher de Abrão, não lhe dava filhos; tendo, porém, uma serva egípcia, por nome Agar, 
GEN.16.2	disse Sarai a Abrão: Eis que o 
GEN.16.3	Então, Sarai, mulher de Abrão, tomou a Agar, egípcia, sua serva, e deu-a por mulher a Abrão, seu marido, depois de ter ele habitado por dez anos na terra de Canaã. 
GEN.16.4	Ele a possuiu, e ela concebeu. Vendo ela que havia concebido, foi sua senhora por ela desprezada. 
GEN.16.5	Disse Sarai a Abrão: Seja sobre ti a afronta que se me faz a mim. Eu te dei a minha serva para a possuíres; ela, porém, vendo que concebeu, desprezou-me. Julgue o 
GEN.16.6	Respondeu Abrão a Sarai: A tua serva está nas tuas mãos, procede segundo melhor te parecer. Sarai humilhou-a, e ela fugiu de sua presença.
GEN.16.7	Tendo-a achado o Anjo do 
GEN.16.8	disse-lhe: Agar, serva de Sarai, donde vens e para onde vais? Ela respondeu: Fujo da presença de Sarai, minha senhora. 
GEN.16.9	Então, lhe disse o Anjo do 
GEN.16.10	Disse-lhe mais o Anjo do 
GEN.16.11	Disse-lhe ainda o Anjo do 
GEN.16.12	Ele será, entre os homens, como um jumento selvagem; a sua mão será contra todos, e a mão de todos, contra ele; e habitará fronteiro a todos os seus irmãos. 
GEN.16.13	Então, ela invocou o nome do 
GEN.16.14	Por isso, aquele poço se chama Beer-Laai-Roi; está entre Cades e Berede.
GEN.16.15	Agar deu à luz um filho a Abrão; e Abrão, a seu filho que lhe dera Agar, chamou-lhe Ismael. 
GEN.16.16	Era Abrão de oitenta e seis anos, quando Agar lhe deu à luz Ismael.
GEN.17.1	Quando atingiu Abrão a idade de noventa e nove anos, apareceu-lhe o 
GEN.17.2	Farei uma aliança entre mim e ti e te multiplicarei extraordinariamente. 
GEN.17.3	Prostrou-se Abrão, rosto em terra, e Deus lhe falou: 
GEN.17.4	Quanto a mim, será contigo a minha aliança; serás pai de numerosas nações. 
GEN.17.5	Abrão já não será o teu nome, e sim Abraão; porque por pai de numerosas nações te constituí.
GEN.17.6	Far-te-ei fecundo extraordinariamente, de ti farei nações, e reis procederão de ti. 
GEN.17.7	Estabelecerei a minha aliança entre mim e ti e a tua descendência no decurso das suas gerações, aliança perpétua,
GEN.17.8	Dar-te-ei e à tua descendência
GEN.17.9	Disse mais Deus a Abraão: Guardarás a minha aliança, tu e a tua descendência no decurso das suas gerações. 
GEN.17.10	Esta é a minha aliança,
GEN.17.11	Circuncidareis a carne do vosso prepúcio; será isso por sinal de aliança entre mim e vós. 
GEN.17.12	O que tem oito dias será circuncidado entre vós, todo macho nas vossas gerações, tanto o escravo nascido em casa como o comprado a qualquer estrangeiro, que não for da tua estirpe. 
GEN.17.13	Com efeito, será circuncidado o nascido em tua casa e o comprado por teu dinheiro; a minha aliança estará na vossa carne e será aliança perpétua. 
GEN.17.14	O incircunciso, que não for circuncidado na carne do prepúcio, essa vida será eliminada do seu povo; quebrou a minha aliança.
GEN.17.15	Disse também Deus a Abraão: A Sarai, tua mulher, já não lhe chamarás Sarai, porém Sara. 
GEN.17.16	Abençoá-la-ei e dela te darei um filho; sim, eu a abençoarei, e ela se tornará nações; reis de povos procederão dela. 
GEN.17.17	Então, se prostrou Abraão, rosto em terra, e se riu, e disse consigo: A um homem de cem anos há de nascer um filho? Dará à luz Sara com seus noventa anos? 
GEN.17.18	Disse Abraão a Deus: Tomara que viva Ismael diante de ti. 
GEN.17.19	Deus lhe respondeu: De fato, Sara, tua mulher, te dará um filho, e lhe chamarás Isaque; estabelecerei com ele a minha aliança, aliança perpétua para a sua descendência. 
GEN.17.20	Quanto a Ismael, eu te ouvi: abençoá-lo-ei, fá-lo-ei fecundo e o multiplicarei extraordinariamente; gerará doze príncipes, e dele farei uma grande nação. 
GEN.17.21	A minha aliança, porém, estabelecê-la-ei com Isaque, o qual Sara te dará à luz, neste mesmo tempo, daqui a um ano. 
GEN.17.22	E, finda esta fala com Abraão, Deus se retirou dele, elevando-se.
GEN.17.23	Tomou, pois, Abraão a seu filho Ismael, e a todos os escravos nascidos em sua casa, e a todos os comprados por seu dinheiro, todo macho dentre os de sua casa, e lhes circuncidou a carne do prepúcio de cada um, naquele mesmo dia, como Deus lhe ordenara. 
GEN.17.24	Tinha Abraão noventa e nove anos de idade, quando foi circuncidado na carne do seu prepúcio. 
GEN.17.25	Ismael, seu filho, era de treze anos, quando foi circuncidado na carne do seu prepúcio. 
GEN.17.26	Abraão e seu filho, Ismael, foram circuncidados no mesmo dia. 
GEN.17.27	E também foram circuncidados todos os homens de sua casa, tanto os escravos nascidos nela como os comprados por dinheiro ao estrangeiro.
GEN.18.1	Apareceu o 
GEN.18.2	Levantou ele os olhos, olhou, e eis três homens de pé em frente dele. Vendo-os, correu da porta da tenda ao seu encontro, prostrou-se em terra 
GEN.18.3	e disse: Senhor meu, se acho mercê em tua presença, rogo-te que não passes do teu servo; 
GEN.18.4	traga-se um pouco de água, lavai os pés e repousai debaixo desta árvore; 
GEN.18.5	trarei um bocado de pão; refazei as vossas forças, visto que chegastes até vosso servo; depois, seguireis avante. Responderam: Faze como disseste. 
GEN.18.6	Apressou-se, pois, Abraão para a tenda de Sara e lhe disse: Amassa depressa três medidas de flor de farinha e faze pão assado ao borralho. 
GEN.18.7	Abraão, por sua vez, correu ao gado, tomou um novilho, tenro e bom, e deu-o ao criado, que se apressou em prepará-lo. 
GEN.18.8	Tomou também coalhada e leite e o novilho que mandara preparar e pôs tudo diante deles; e permaneceu de pé junto a eles debaixo da árvore; e eles comeram.
GEN.18.9	Então, lhe perguntaram: Sara, tua mulher, onde está? Ele respondeu: Está aí na tenda. 
GEN.18.10	Disse um deles: Certamente voltarei
GEN.18.11	Abraão e Sara eram já velhos, avançados em idade; e a Sara já lhe havia cessado o costume das mulheres. 
GEN.18.12	Riu-se, pois, Sara no seu íntimo, dizendo consigo mesma: Depois de velha, e velho também o meu senhor,
GEN.18.13	Disse o 
GEN.18.14	Acaso, para o 
GEN.18.15	Então, Sara, receosa, o negou, dizendo: Não me ri. Ele, porém, disse: Não é assim, é certo que riste.
GEN.18.16	Tendo-se levantado dali aqueles homens, olharam para Sodoma; e Abraão ia com eles, para os encaminhar. 
GEN.18.17	Disse o 
GEN.18.18	visto que Abraão certamente virá a ser uma grande e poderosa nação, e nele serão benditas todas as nações da terra? 
GEN.18.19	Porque eu o escolhi para que ordene a seus filhos e a sua casa depois dele, a fim de que guardem o caminho do 
GEN.18.20	Disse mais o 
GEN.18.21	Descerei e verei se, de fato, o que têm praticado corresponde a esse clamor que é vindo até mim; e, se assim não é, sabê-lo-ei.
GEN.18.22	Então, partiram dali aqueles homens e foram para Sodoma; porém Abraão permaneceu ainda na presença do 
GEN.18.23	E, aproximando-se a ele, disse: Destruirás o justo com o ímpio? 
GEN.18.24	Se houver, porventura, cinquenta justos na cidade, destruirás ainda assim e não pouparás o lugar por amor dos cinquenta justos que nela se encontram? 
