GEN.1.1	Uluk fohon, Maromak naseꞌi laleꞌan no raiklaran.
GEN.8.9	Mais, tan wee sei taka nola raiklaran, manu nia la netan rani fatik. Hotu, nia fila nikar baa roo. Noh lolo liman, simu nola manu nia, natama nikar baa roo laran.
GEN.8.10	Hotu, Noh nein loron hitu tenik, foin nia nabusik nikar manu nia. 
GEN.8.11	Loro malirin, manu nia fila nikar mai baa Noh, mais tutu nodi ai saitun tahan ida, mak foin tutu silu nola. Naree nunia, Noh bele natene wee moti tebes tiꞌan. 
GEN.8.12	Nia nein loron hitu tenik, foin nabusik tenik manu nia. Mais dala ida neꞌe, manu nia la fila mai.
GEN.8.13	Oras Noh otas tinan atus neen ida, wee motasaꞌe nia nakraik tebe-tebes, kona baa fulan ida loron dala uluk. Noh loke kuak anin nodi titu satan leur, foin natene naꞌak, rai atu maran ona. 
GEN.8.14	Liu fulan ida loron sanulu resin hitu tenik, rai maran tebe-tebes tiꞌan.
GEN.8.15	Hotu, Maromak naruka Noh naꞌak, 
GEN.8.16	“Oras neꞌe, emi hotu-hotu tuun hosi roo ona. 
GEN.8.17	Masai osa no lotuk nia sia hotu-hotu. Masai mak hakiak, mak fuik, mak maneꞌek no manu ai leten sia. Mabusik sia, nebee sia bea tuꞌan, nakonu nola raiklaran neꞌe.”
GEN.8.18+GEN.8.19	Rona nola nunia, Noh moos tuun nosi roo no feen, oan sia, no oan feen sia hotu-hotu. Osa no lotuk nia sia moos sai, tuir oik ida-idak.
GEN.8.20	Sai nosi roo tiꞌan, Noh nada fatuk taroman, nodi nalo sera baa MAROMAK. Nosi osa no lotuk no manu ai leten mak bele sera, Noh nola matan ida-idak, koꞌa noꞌo, hotu tunu baa taroman nia leten, nalo sera baa MAROMAK. 
GEN.8.21	MAROMAK noran nola sera tunun nuhar morin nia, Nia neon diꞌak. Hotu, naneo naꞌak,
GEN.8.21	“Nahuu baa oras neꞌe, Haꞌu la kastikar tenik raiklaran ona, tan ema siakaan aꞌaat. Masik sia naneo mesan aat dei, Haꞌu la kabeꞌo tenik ona sa-saa mak moris, nuꞌu Haꞌu kalo tiꞌan nia. 
GEN.8.22	Oras raiklaran neꞌe sei iha, loro no kalan musti laꞌo bei-beik atu babilan oras furi no oras kuꞌu, oras malirin no oras manas, oras loro falin no oras rai udan.”
GEN.9.1	Hotu, Maromak natuun matak-malirin baa Noh no oan sia nodi katak naꞌak, “Emi hahoris bea hakonu hikar raiklaran neꞌe. 
GEN.9.2	Osa no lotuk no manu ai leten no naꞌan tasi wee laran, hotu-hotu atu nataꞌuk emi. Emi mak babilan sia. 
GEN.9.3	Emi bele haa siakaan naꞌan. Emi moos bele haa ai fuan nosi ai horis sia. Neꞌe sia hotu-hotu, Haꞌu klatan baa emi.
GEN.9.4	Mais, emi la bele haa siakaan naꞌan kalo sei noo raan, tan sia moris nosi raan nia. 
GEN.9.5+GEN.9.6	Haꞌu kaseꞌi ema tuir Haꞌukaan ilas. Tan lia nia, la bele hoꞌo ema. Kalo ema ida noꞌo ema, musti ukun mate nia. Kalo osa no lotuk sia noꞌo ema, musti hoꞌo. Ukun neꞌe, nosi Haꞌu. 
GEN.9.7	Emi musti hahoris bea hakonu hikar raiklaran neꞌe.”
GEN.9.8	Hotu, Maromak katak tenik naꞌak, 
GEN.9.9	“Oras neꞌe, Haꞌu atu kamate menon ko emi no emikaan husar-binan! 
GEN.9.10	Mamenon neꞌe moos kona baa hotu-hotu mak moris. Neꞌe mak, osa no lotuk mak hakiak, mak fuik no manu ai leten sia. Mamenon neꞌe kona baa sa-saa hotu-hotu mak sai namutuk no emi nosi roo nia. 
GEN.9.11	Mamenon nia nuneꞌe: Haꞌu la katuun tenik motasaꞌe boot ona atu kabeꞌo dodok raiklaran neꞌe no sa-saa mak moris.
GEN.9.12+GEN.9.13	Haꞌu ktau Haꞌukaan baur iha laleꞌan dadi baa tadak, nebee emi bele hatene Haꞌukaan mamenon la nakotu baa emi no baa sa-saa mak moris iha raiklaran neꞌe. 
GEN.9.14+GEN.9.15+GEN.9.16+GEN.9.17	Kalo kaloꞌan saꞌe iha laleꞌan, hotu baur tubu, baur nia foo natene baa Haꞌu naꞌak, Haꞌu kameno tiꞌan, motasaꞌe boot la bele nabeꞌo dodok tenik sa-saa mak moris. Baur nia moos dadi tadak naꞌak, Haꞌu kamate menon tiꞌan ko emi no sa-saa hotu-hotu mak moris.”
GEN.9.18	Noh oan sia mak sai mai nosi roo, sia mak Sem, Yafet no Ham (Ham nia, Kanaꞌan aman). 
GEN.9.19	Ema hotu-hotu iha raiklaran neꞌe husar-binan mai nosi Noh oan naꞌin tolu nia.
GEN.9.20	Noh nia, ema mafaho rai. Nia mahalo toꞌos anggor uluk fohon. 
GEN.9.21	Baa dala ida, Noh nemu anggor toꞌo lanu todan. Nia kolu tais, toba nakwalan iha batane laran. 
GEN.9.22	Ham naree nola aman nakwalan nunia, nia moos nalai sai baa katak maun Sem no Yafet. 
GEN.9.23	Sem no Yafet nola tais ida, hotu felar nodi sakat baa siakaan baas. Hotu, sia laꞌo nakiduk, tama baa batane laran, nafuꞌut siakaan aman. Sia nalo nunia, nebee sia duꞌuk la naree aman nakwalan. Hotu, sia sai.
GEN.9.24	Noh oin moo tiꞌan, foin natene nola oan ikun hahalok. 
GEN.9.25	Hotu nia katak naꞌak, “Hoi Ham, Kanaꞌan aman! Haꞌu kastikar o! O atu dadi baa okaan maun sia atan.
GEN.9.26	Nebee MAROMAK atu natuun matak-malirin baa Sem!
GEN.9.26	Mais o oan Kanaꞌan atu dadi baa Sem atan.
GEN.9.27	Nebee Maromak naluan Yafet rain.
GEN.9.27	Niakaan husar-binan moris dame no Sem husar-binan.
GEN.9.27	Mais, o oan Kanaꞌan atu dadi baa Yafet atan.”
GEN.9.28	Motasaꞌe hotu tiꞌan, Noh sei moris tinan atus tolu lima nulu tenik. 
GEN.9.29	Otas tinan atus siwi lima nulu, foin Noh mate.
GEN.10.1	Motasaꞌe hotu tiꞌan, Noh oan Sem, Yafet no Ham netan husar-binan.
GEN.10.2+GEN.10.3+GEN.10.4+GEN.10.5	Yafet oan sia mak: Gomer, Magog, Madai, Yawan, Tubal, Mesek no Tiras. Ida-idak no lian duꞌuk, ema hunun duꞌuk, no rain duꞌuk.
GEN.10.2+GEN.10.3+GEN.10.4+GEN.10.5	Gomer oan sia mak: Askenas, Rifat no Togarma.
GEN.10.2+GEN.10.3+GEN.10.4+GEN.10.5	Yawan oan sia mak: Elisa, Tarsis, Kitim no Dodanim.
GEN.10.6	Ham oan sia mak Kus, Misraim, Put no Kanaꞌan.
GEN.10.7	Kus oan sia mak Seba, Hawila, Sabta, Raema no Sabteka.
GEN.10.7	Raema oan sia mak Syeba no Dedan.
GEN.10.8	Kus oan mane ida tenik, naran Nimrod. Nia meo ulun mak uluk fohon. 
GEN.10.9	Nia simu niakaan makaꞌas nia nosi MAROMAK, toꞌo nia dadi baa ema maktama hae matenek kaliuk. Tan lia nia, ema nanis dale naꞌak “Nebee, o dadi ema maktama hae matenek, hanesan Nimrod mak simu makaꞌas nosi MAROMAK.” 
GEN.10.10	Uluk fohon, Nimrod rain nahuu nosi Babel, Erek Akad no Kalne, hotu-hotu iha rai Sinear.
GEN.10.11	Nosi Sinear, nia ukun tenik rai Asyur. Nariik kota Niniwe, Rehobot-Ir, Kala, 
GEN.10.12	no Resen, mak iha Niniwe no Kala leet. Kota nia sia, hotu-hotu kota boot.
GEN.10.13	Misraim husar-binan mak ema Ludim, ema Ananim, ema Lehabim, ema Naftuhim, 
GEN.10.14	ema Patrusim, ema Kasluhim, no ema Kaftorim. Ema Kasluhim nia, mak ema Filistin bei uluk.
GEN.10.15	Kanaꞌan oan ulun, Sidon. Kanaꞌan moos dadi bei uluk nosi ema Het, 
GEN.10.16	ema Yebusi, ema Amori, ema Girgasi, 
GEN.10.17	ema Hewi, ema Arki, ema Sini, 
GEN.10.18	ema Arwadi, ema Semari no ema Hamati.
GEN.10.18	Kanaꞌan husar-binan sia keen karin malu do-dook, 
GEN.10.19	toꞌo siakaan rai kladik, nosi Sidon, baa Gerar, toꞌo Gasa. Nosi nia, baa Sodom, Gomora, Adma no Seboim, toꞌo Lasa.
GEN.10.20	Sia hotu-hotu nia, Ham husar-binan. Ida-idak no lian duꞌuk, ema hunun duꞌuk, no rain duꞌuk.
GEN.10.21	Yafet maun Sem dadi baa ema Eber bei uluk.
GEN.10.22	Sem oan sia mak Elam, Asyur, Arpaksad, Lud no Aram.
GEN.10.23	Aram oan sia mak Us, Hul, Geter no Mas.
GEN.10.24	Arpaksad oan, Sela. Hotu Sela oan, Eber.
GEN.10.25	Eber netan oan mane naꞌin rua. Baa oras nia, ema faꞌe karin malu iha raiklaran neꞌe. Etuk, Eber nanaran oan ulun naꞌakPelek (tan 
GEN.10.26	Yoktan oan sia mak: Almodad, Selef, Hazar-Mawet, Yera, 
GEN.10.27	Hadoram, Usal, Dikla, 
GEN.10.28	Obal, Abimael, Syeba, 
GEN.10.29	Ofir, Hawila no Yobab. Sia hotu-hotu nia, Yoktan oan.
GEN.10.30	Siakaan nein fatin nia, nosi Mesa, liu toꞌo Sefar, fatin foho iha lorosaꞌe.
GEN.10.31	Sia hotu-hotu nia, Sem husar-binan. Ida-idak no lian duꞌuk, ema hunun duꞌuk, no rain duꞌuk.
GEN.10.32	Ema hotu-hotu nia, Noh husar-binan. Ida-idak no ema hunun duꞌuk. Motasaꞌe boot mohu tiꞌan, sia neꞌe faꞌe karin malu, nakonu nola raiklaran.
GEN.11.1	Uluk fohon, ema hotu-hotu iha raiklaran dale nodi lia ida dei. 
GEN.11.2	Sia balu lori baa lorosaꞌe toꞌo rai fehan ida iha Sinear.
GEN.11.3+GEN.11.4	Hotu, sia kabuar lia fuan naꞌak, “Mamaluk sia! Diꞌak liu, ita hariik hola kota boot ida. Ita halo fatuk mean, tunu toꞌo monas. Hotu, ita hada baa malu hodi hanit atu hariik uma tetu ida mak aas toꞌo laleꞌan. Hodi nunia, ita hetan naran boot. Ita bele dadi klubun boot ida, la faꞌe karin malu ona.”
GEN.11.5	Hotu, MAROMAK tuun nateke kota nia no uma tetu boot mak sia nariik nia. 
GEN.11.6	Naree nunia, MAROMAK naneo naꞌak, “Ema neꞌe sia, ema klubun ida mak dale lia ida dei. Saa mak sia nalo baa oras neꞌe, foin hakat uluk fohon dei. Awan-wainrua, kalo sia metis malu nohuun, sia bele nalo sa-saa dei. 
GEN.11.7	Diꞌak liu, Ita tuun baa, tokar siakaan lian, nebee sia la bele natene malu lian.”
GEN.11.8	Hotu, MAROMAK tuun, tokar lauk siakaan lian. Nodi nunia, Nia nalo ema nia sia faꞌe karin malu baa fatin hotu-hotu iha raiklaran. Sia moos nanawa nariik kota nia. 
GEN.11.9	Tan MAROMAK tokar lauk siakaan lian, nodi nalo sia keen karin malu baa fatin hotu-hotu iha raiklaran, sia nanaran kota nia naꞌak, 
GEN.11.10	Neꞌe, Sem husar-binan. Motasaꞌe boot nia nanawa tiꞌan tinan rua, Sem moos otas tinan atus ida. Hotu, netan oan mane ida, naran Arpaksad. 
GEN.11.11	Sem sei moris tinan atus walu tenik, nodi netan tuꞌan oan feto, oan mane.
GEN.11.12	Baa oras Arpaksad otas tinan tolu nulu resin lima, netan oan mane ida, naran Sela. 
GEN.11.13	Arpaksad sei moris tinan atus haat tolu tenik, nodi netan tuꞌan oan feto, oan mane.
GEN.11.14	Sela otas tinan tolu nulu, netan oan mane ida, naran Eber. 
GEN.11.15	Sela sei moris tinan atus haat tolu tenik, nodi netan tuꞌan oan feto, oan mane.
GEN.11.16	Eber otas tinan tolu nulu resin haat, netan oan mane ida, naran Pelek. 
GEN.11.17	Eber sei moris tinan atus haat tolu nulu tenik, nodi netan tuꞌan oan feto, oan mane.
GEN.11.18	Pelek otas tinan tolu nulu, netan oan mane ida, naran Rehu. 
GEN.11.19	Pelek sei moris tinan atus rua siwi tenik, nodi netan tuꞌan oan feto, oan mane.
GEN.11.20	Rehu otas tinan tolu nulu resin rua, netan oan mane ida, naran Seruk. 
GEN.11.21	Rehu sei moris tinan atus rua hitu tenik, nodi netan tuꞌan oan feto, oan mane.
GEN.11.22	Seruk otas tinan tolu nulu, netan oan mane ida, naran Nahor. 
GEN.11.23	Seruk sei moris tinan atus rua tenik, nodi netan tuꞌan oan feto, oan mane.
GEN.11.24	Nahor otas tinan rua nulu resin siwi, netan oan mane ida, naran Tera. 
GEN.11.25	Nahor sei moris tinan atus ida sanulu resin siwi tenik, nodi netan tuꞌan oan feto, oan mane.
GEN.11.26	Tera otas tinan hitu nulu, netan oan mane naꞌin tolu, mak Abram, Nahor no Haran.
GEN.11.27	Neꞌe, mak Tera husar-binan. Tera oan sia, mak Abram, Nahor no Haran. Haran netan oan mane ida, naran Lot. 
GEN.11.28	Haran mate iha leo huun, naran Ur iha ema Kasdim rain. Oras nia mate, aman Tera sei moris. 
GEN.11.29	Abram nola feto ida, naran Sarai, nalo baa feen. Nahor nola nikar Haran oan feto, naran Milka. Hotu, Haran netan oan mane ida, naran Yiska. 
GEN.11.30	Mais, Sarai sei kiuk.
GEN.11.31	Dala ida, Tera nodi oan Abram, oan feen Sarai, no bein oan Lot, sai nela leo huun Ur atu baa rai Kanaꞌan. Mais, toꞌo rai Haran, sia nein iha nia dei. 
GEN.11.32	Hotu, Tera mate iha nia, baa otas tinan atus rua lima.
GEN.12.1	Abram aman Tera mate tiꞌan, MAROMAK katak baa Abram naꞌak, “Abram! Laꞌo mela okaan leo, okaan familin no okaan ama uman! Baa fatin ida mak Haꞌu atu katudu baa o.
GEN.12.2	Haꞌu atu katuun matak-malirin baa o.
GEN.12.2	Okaan husar-binan atu bea tuꞌan,
GEN.12.2	dadi ema klubun boot, toꞌo ema iha fatin hotu-hotu natene okaan naran.
GEN.12.2	O moos dadi matak-malirin bodik ema seluk.
GEN.12.3	Haꞌu katuun matak-malirin baa ema mak tulun o.
GEN.12.3	Mais, katuun kastikar baa ema mak nasusar o.
GEN.12.3	Rona diꞌa-diꞌak!
GEN.12.3	Tan o, ema klubun hotu-hotu iha raiklaran netan matak-malirin.”
GEN.12.4+GEN.12.5	Oras Abram otas tinan hitu nulu resin lima, nodi feen Sarai, alin oan Lot, eman serwisu hotu-hotu, no bein sasoin hotu-hotu mak nia netan iha leo Haran. Sia laꞌo nela Haran, baa fatin ida naran Kanaꞌan. Fatin nia mak MAROMAK natudu baa Abram.
GEN.12.6	Toꞌo nebaa, Abram laꞌo toꞌo kreꞌis baa leo ida, naran Sikem. Hotu, sia nein heik kreꞌis baa ai huun boot ida iha More. Baa oras nia, ema Kanaꞌan sia sei nein iha nia. 
GEN.12.7	Iha fatin nia, MAROMAK natadu aan baa Abram naꞌak, “Haꞌu klatan rai neꞌe baa okaan husar-binan.” Rona nola nunia, Abram nariik taroman nodi natetu sera baa MAROMAK, mak natadu aan tiꞌan iha nia.
GEN.12.8	Hotu, Abram sia lori saꞌe baa foho iha lorokbelan baa. Sia nein heik iha fatin ida iha leo Betel no leo Ai leet. Iha nia, Abram nariik taroman ida, nodi loꞌu-sudur baa MAROMAK. 
GEN.12.9	Hotu, nia lori baa-mai, toꞌo rai ida, naran Negeb, iha rai Kanaꞌan lorokbelan baa.
GEN.12.10	Baa tinan ida, rai salaen boot iha rai Kanaꞌan. Tan baa nia, Abram sia lori soruk tenik baa lorokbelan, toꞌo rai Mesir. Sia nein heik iha nia. 
GEN.12.11	Oras sia atu tama baa rai Mesir, Abram katak baa feen Sarai naꞌak, “Sarai, o neꞌe, feto kabaas basuk. 
GEN.12.12	Kalo ema Mesir sia naree o kabaas nuneꞌe, nanis sia atu noꞌo haꞌu, tan haꞌu neꞌe okaan laꞌen! Hodi nunia, sia bele nola o. 
GEN.12.13	Diꞌak liu, o katak baa sia maꞌak, haꞌu neꞌe okaan maun. Hodi nunia, sia la noꞌo haꞌu. Mais sia diꞌa-diꞌak no haꞌu, tan o.”
GEN.12.14	Sia toꞌo Mesir tiꞌan, ema naree nola feto kabaas basuk nia. 
GEN.12.15	Baa oras naꞌi Mesir klosan sia naree nola nia, sia moos tonu feto kabaas nia iha naꞌin oin. Hotu, sia nodi feto nia baa naꞌin tofatik. 
GEN.12.16	Naꞌin diꞌa-diꞌak no Abram, tan Sarai. Nia foo loos bibi no bibi malae, karau baka, kuda keledai no kuda unta baa Abram. Naꞌin moos foo loos ata feto no ata mane.
GEN.12.17	Mais, MAROMAK natuun kastikar oi-oik baa naꞌin nia no niakaan ema sia, tan nola ema feen, natama baa tofatik. 
GEN.12.18	Hotu, naꞌin bolu nola Abram nodi nusu naꞌak, “Abram! O malo nunabee baa haꞌu neꞌe? Tan saa o la katak sain maꞌak feto neꞌe, okaan feen? 
GEN.12.19	Mais o maꞌak, o alin! Teni oan ida dei, kola nia baa haꞌukaan feen tiꞌan! Tan nia neꞌe okaan feen, oras neꞌe modi baa ona. Sees ona mosi haꞌukaan oin!” 
GEN.12.20	Hotu, naꞌin naruka klosan sia teꞌur nasai Abram no Sarai sai nosi rai nia, nodi siakaan naha hotu-hotu.
GEN.13.1	Hotu, Abram laꞌo nela Mesir, baa nikar rai Negeb. Nodi feen no sasoin hotu-hotu. Alin oan Lot moos tuir no. 
GEN.13.2	Oras nia, Abram soi tebes. Niakaan bibi no karau sia, waꞌin basuk. Niakaan mean-mutin moos, waꞌin tebes.
GEN.13.3	Nosi Negeb, Abram lori baa-mai toꞌo nikar fatin uluk mak nariik taroman iha leo Betel no leo Ai leet. 
GEN.13.4	Toꞌo fatin nia, nia nalo sera nodi loꞌu-sudur baa MAROMAK iha taroman nia.
GEN.13.5	Oras nia, Lot namutuk no Abram. Lot moos noo bibi no karau waꞌin. Niakaan ema serwisu moos waꞌin. 
GEN.13.6+GEN.13.7	Abram no Lot la bele nein namutuk iha fatin nia, tan loot basuk. Siakaan makbalin sia toe malu, tan hae iha fatin nia la toꞌo bodik siakaan bibi no karau sia. (Baa oras nia, ema Kanaꞌan no ema Feris moos sei nein iha nia).
GEN.13.8	Hotu, Abram katak baa oan Lot naꞌak, “Lot! Ita neꞌe, oan-aman. Keta toꞌo ita rua la kona malu, hotu itakaan ema serwisu sia moos nakaat malu bei-beik. 
GEN.13.9	Diꞌak liu, ita rua faꞌe malu ona. Rai neꞌe luan. Kalo o boi mola rai iha sorin karuk, haꞌu kola iha sorin kwana. Mais, kalo o boi mola iha sorin kwana, haꞌu kola iha karuk.”
GEN.13.10	Rona nola nunia, Lot titu satan leur. Titu naree rai fehan mota Yordan mak noo wee soe haa haat, toꞌo leo Soar. Fatin nia boran tebe-tebes, manesak no MAROMAK toꞌos etu, no rai Mesir. (Baa oras nia, MAROMAK sei la nabeꞌo dodok dauk kota Sodom no kota Gomora. Dadi, rai nia sei furak). 
GEN.13.11+GEN.13.12	Hotu, Lot boi nola rai hotu-hotu iha rai fehan mota Yordan nia. Hotu, sia rua faꞌe malu. Abram nein nafati iha rai Kanaꞌan. Lot baa lorosaꞌe, nein iha leo mak kreꞌis kota Sodom iha rai fehan mota Yordan. 
GEN.13.13	Iha rai nia, ema Sodom sia aat liu resik, toꞌo la noꞌuk rona baa MAROMAK.
GEN.13.14	Lot no Abram faꞌe malu tiꞌan, MAROMAK katak baa Abram naꞌak, “Abram! Soe kokon matan satan leur, mana fatin hotu-hotu mosi o mariik fatik nia. Maree diꞌa-diꞌak oin-kotuk, karuk-kwana. 
GEN.13.15	Tan rai hotu-hotu mak o maree nia, Haꞌu atu klatan baa o mo okaan husar-binan, dadi baa emikaan bein sasoin toꞌo nima-nimak. 
GEN.13.16	Haꞌu atu kalo okaan husar-binan bea waꞌin, hanesan raihenek iha tasi tehen mak ema la bele sura nola. 
GEN.13.17	Oras neꞌe, laꞌo masirin rai neꞌe naruk no belar. Tan Haꞌu atu klatan hotu-hotu baa o!”
GEN.13.18	Hotu, Abram sia moos lori baa nein nikar iha fatin kreꞌis baa ai huun boot sia iha Mamre, mak kreꞌis leo Hebron. Toꞌo baa, nia nalo tenik taroman, nodi loꞌu-sudur baa MAROMAK.
GEN.14.1	Baa oras nia, naꞌin haat libur malu. Sia nia, Amrafel, naꞌi rai Sinear. Ariok, naꞌi rai Elasar. Kedarlaomer, naꞌi rai Elam. No Tideal, naꞌi rai Goyim. 
GEN.14.2	Baa oras nia moos, naꞌin lima seluk moos libur malu. Sia nia, Bera, naꞌi rai Sodom. Birsa, naꞌi rai Gomora. Sinab, naꞌi rai Adema. Semeber, naꞌi rai Seboim. No Bela, naꞌi rai Soar. Hotu, naꞌin haat ohin nia natuda sakar naꞌin lima seluk nia. 
GEN.14.3	Naꞌin lima nia libur malu no siakaan sondadu sia iha rai fehan Sidim (mak oras neꞌe ema temi naꞌak, Tasi Maten).
GEN.14.4	Hatuda nia, lia huun-abut nuneꞌe: Uluk, naꞌin lima nia loꞌu baa naꞌi Kedarlaomer toꞌo tinan sanulu resin rua. Mais tama baa tinan sanulu resin tolu, naꞌin lima nia moos nariik sakar nia.
GEN.14.5	Tama baa tinan sanulu resin haat, naꞌi Kedarlaomer no niakaan mamaluk naꞌin tolu nia, mai nodi siakaan sondadu sia. Hotu, sia natuda natoba nola ema rai hira sia, mak ema Refaim iha rai Asterot-Karnaim, ema Susim iha rai Ham, ema Emim iha rai Sawe-Kiryataim, 
GEN.14.6	no ema Hori, mak nein iha foho Seir toꞌo raihenek molik El Paran diꞌin. 
GEN.14.7	Hotu, sia laꞌo sees liu baa En Mispat, (mak oras neꞌe naran Kades). Hotu, sia nabeꞌo dodok ema Amalek rain, no ema Amori, mak nein iha rai Haseson-Tamar.
GEN.14.8+GEN.14.9	Nosi ikus, naꞌin lima nia nahulin siakaan sondadu sia iha rai fehan Sidim, nodi natuda sakar naꞌin haat nia. 
GEN.14.10	Iha rai fehan nia, noo debu kriꞌit waꞌin. Baa oras sia natuda nia, naꞌi Sodom no naꞌi Gomora no siakaan sondadu sia niꞌit aan nalai lakon. Balu monu tama baa debu kriꞌit nia sia. Balu tenik nalai baa foho. 
GEN.14.11	Hotu, naꞌin haat mak natoba nola funu nia sia, tama baa nadau nola naha no haan hotu-hotu nosi kota Sodom no Gomora.
GEN.14.12	Baa oras nia, Abram alin oan Lot, sei nein iha kota Sodom. Naꞌin haat nia moos kohi nodi Lot sia, nodi nadau nola siakaan naha hotu-hotu. Hotu, naꞌin haat nia sia nahuu fila nikar.
GEN.14.13	Mais, ema ida nakbois sai. Nia nalai kedan baa katak Abram, ema Ibrani nia. Baa oras nia, Abram nein kreꞌis baa ema ida niakaan ai horis boot. Ema nia, ema Amori, naran Mamre. Mamre alin sia, Eskol no Aner. Sia neꞌe dadi baa Abram niakaan partee. 
GEN.14.14	Abram rona nola ema kohi nola niakaan alin oan Lot, nia libur niakaan meo sia. Sura sia hotu-hotu, ema naꞌin atus tolu sanulu resin walu. Hotu, sia baa teꞌur tuir naꞌin haat nia, toꞌo leo Dan mak dook iha lorokaras.
GEN.14.15	Toꞌo nebaa, Abram faꞌe niakaan meo sia, nalo baa klibur hira sia. Baa kalan nia, sia natuda funu sia nodi teꞌur toꞌo leo Hoba iha kota Damsik lorokaras. 
GEN.14.16	Hotu, Abram nadau nola nikar Lot no niakaan ema sia, no siakaan naha hotu-hotu, no ema seluk sia.
GEN.14.17	Abram fila nikar nosi natuda natoba naꞌin haat nia, naꞌi Sodom mai nasoru nia iha rai fehan Sawe (mak ema temi naꞌak, Rai Fehan Naꞌin). 
GEN.14.18	Baa oras nia, noo kota Salem naꞌin naran Melkisedek.
GEN.14.19+GEN.14.20	Hotu, nia nusu matak-malirin bodik Abram nodi katak naꞌak, “Maromak, mak Aas Kaliuk no mak naseꞌi laleꞌan no raiklaran. Haꞌu kaloon nebee Nia natuun matak-malirin baa o. Tonu Maromak! Nia mak nalo o matoba mola funu sia!”
GEN.14.19+GEN.14.20	Hotu, Abram faꞌe foo baa Melkisedek, faꞌek ida nosi fafaꞌek sanulu nosi sa-saa hotu-hotu mak nia nadau nola nikar nia.
GEN.14.21	Nunia hotu, naꞌi Sodom katak baa Abram naꞌak, “Ama Abram! Naha hotu-hotu mak ama nadau nola nosi haꞌukaan funu sia, ama nola dei ona! Haꞌu kusu kikar haꞌukaan ema sia dei.”
GEN.14.22	Mais Abram nataa naꞌak, “Haꞌu karai aan iha Maromak oin. Nia mak Aas Kaliuk, no mak naseꞌi laleꞌan no raiklaran. 
GEN.14.23	Kaꞌak, haꞌu la kola naha saa ida kosi okaan naha sia! Masik kabas lahon ida moos, haꞌu la kola! Hodi nunia, o la bele dale maꞌak, ‘Abram soi tan haꞌu.’ 
GEN.14.24	Haꞌu la kbuka sa-saa. Haꞌu ksimu loos saa mak haꞌukaan ema sia netan tiꞌan. Mais habusik haꞌukaan mamaluk naꞌin tolu neꞌe, mak Aner, Eskol no Mamre, ida-idak nola siakaan fafaꞌek.”
GEN.15.1	Hotu, MAROMAK natadu aan baa Abram naꞌak, “Hei Abram! Lalika mataꞌuk! Haꞌu mak sara kola o nosi funu! Haꞌu moos atu foo sotir boot baa o!”
GEN.15.2+GEN.15.3	Mais Abram nataa naꞌak, “Aaa! Naꞌi Maromak! Masik foo waꞌin nunia moos, la no folin! Tan haꞌu la koo oan atu foo husar-binan baa haꞌu! Masik koo sasoin oi-oik moos, kodi kalo saa? Tan Haꞌu la koo oan, habusik haꞌukaan atan Eliasar nosi Damsik dei mak netan Haꞌukaan sasoin hotu-hotu!”
