GEN.1.2	Ja maa oli autio ja tyhjä, ja pimeys oli syvyyden päällä, ja Jumalan Henki liikkui vetten päällä. 
GEN.8.20	Ja Nooa rakensi alttarin Herralle ja otti kaikkia puhtaita karjaeläimiä ja kaikkia puhtaita lintuja ja uhrasi polttouhreja alttarilla. 
GEN.8.21	Ja Herra tunsi suloisen tuoksun ja sanoi sydämessänsä: "En minä koskaan enää kiroa maata ihmisen tähden; sillä ihmisen sydämen aivoitukset ovat pahat nuoruudesta saakka. Enkä minä koskaan enää tuhoa kaikkea, mikä elää, niinkuin nyt olen tehnyt.
GEN.8.22	Niin kauan kuin maa pysyy,
GEN.8.22	ei lakkaa kylväminen eikä leikkaaminen,
GEN.8.22	ei vilu eikä helle, ei kesä eikä talvi,
GEN.8.22	ei päivä eikä yö."
GEN.9.2	Ja peljätkööt ja vaviskoot teitä kaikki eläimet maan päällä ja kaikki taivaan linnut ja kaikki, jotka maassa matelevat, ja kaikki meren kalat; ne olkoot teidän valtaanne annetut. 
GEN.9.3	Kaikki, mikä liikkuu ja elää, olkoon teille ravinnoksi; niinkuin minä olen antanut teille viheriäiset kasvit, niin minä annan teille myös tämän kaiken. 
GEN.9.4	Älkää vain syökö lihaa, jossa sen sielu, sen veri, vielä on. 
GEN.9.5	Mutta teidän oman verenne minä kostan; jokaiselle eläimelle minä sen kostan, ja myöskin ihmisille minä kostan ihmisen sielun, toiselle toisen sielun.
GEN.9.6	hänen verensä on ihminen vuodattava,
GEN.9.6	sillä Jumala on tehnyt ihmisen kuvaksensa.
GEN.9.7	Ja te olkaa hedelmälliset ja lisääntykää,
GEN.9.7	enentykää maassa ja lisääntykää siinä."
GEN.9.8	Ja Jumala puhui Nooalle ja hänen pojillensa, jotka olivat hänen kanssansa, sanoen: 
GEN.9.9	"Katso, minä teen liiton teidän ja teidän jälkeläistenne kanssa 
GEN.9.10	ja kaikkien elävien olentojen kanssa, jotka luonanne ovat, lintujen, karjaeläinten ja kaikkien metsäeläinten kanssa, jotka luonanne ovat, kaikkien kanssa, jotka arkista lähtivät, kaikkien maan eläinten kanssa. 
GEN.9.11	Minä teen liiton teidän kanssanne: ei koskaan enää pidä kaikkea lihaa hukutettaman vedenpaisumuksella, eikä vedenpaisumus koskaan enää maata turmele." 
GEN.9.12	Ja Jumala sanoi:
GEN.9.12	"Tämä on sen liiton merkki,
GEN.9.12	jonka minä ikuisiksi ajoiksi teen
GEN.9.12	itseni ja teidän ja kaikkien elävien olentojen välillä,
GEN.9.12	jotka teidän luonanne ovat:
GEN.9.13	minä panen kaareni pilviin,
GEN.9.13	ja se on oleva liiton merkkinä minun ja maan välillä.
GEN.9.14	Ja kun minä kokoan pilviä maan päälle ja kaari näkyy pilvissä, 
GEN.9.15	muistan minä liittoni, joka on minun ja teidän ja kaikkien elävien olentojen, kaiken lihan välillä, eikä vesi enää paisu tulvaksi hävittämään kaikkea lihaa. 
GEN.9.16	Niin kaari on oleva pilvissä, ja minä katselen sitä muistaakseni iankaikkista liittoa Jumalan ja kaikkien elävien olentojen, kaiken lihan välillä, joka maan päällä on." 
GEN.9.17	Ja Jumala sanoi Nooalle: "Tämä on sen liiton merkki, jonka minä olen tehnyt itseni ja kaiken lihan välillä, joka maan päällä on".
GEN.9.18	Ja Nooan pojat, jotka lähtivät arkista, olivat Seem, Haam ja Jaafet. Ja Haam oli Kanaanin isä. 
GEN.9.19	Nämä kolme ovat Nooan pojat, ja heistä kaikki maan asukkaat polveutuvat.
GEN.9.20	Ja Nooa oli peltomies ja ensimmäinen, joka istutti viinitarhan. 
GEN.9.21	Mutta kun hän joi viiniä, niin hän juopui ja makasi alasti majassansa. 
GEN.9.22	Ja Haam, Kanaanin isä, näki isänsä hävyn ja kertoi siitä molemmille veljillensä ulkona. 
GEN.9.23	Niin Seem ja Jaafet ottivat vaipan ja panivat molemmat sen hartioilleen ja menivät selin sisään ja peittivät isänsä hävyn; ja heidän kasvonsa olivat käännetyt toisaalle, niin etteivät he nähneet isänsä häpyä. 
GEN.9.24	Kun Nooa heräsi päihtymyksestänsä ja sai tietää, mitä hänen nuorin poikansa oli hänelle tehnyt, 
GEN.9.25	niin hän sanoi: "Kirottu olkoon Kanaan, olkoon hän veljiensä orjain orja". 
GEN.9.26	Vielä hän sanoi: "Kiitetty olkoon Herra, Seemin Jumala, ja olkoon Kanaan heidän orjansa. 
GEN.9.27	Jumala laajentakoon Jaafetin, ja asukoon hän Seemin majoissa, ja Kanaan olkoon heidän orjansa." 
GEN.9.28	Ja Nooa eli vedenpaisumuksen jälkeen kolmesataa viisikymmentä vuotta. 
GEN.9.29	Niin Nooan koko ikä oli yhdeksänsataa viisikymmentä vuotta; sitten hän kuoli.
GEN.10.1	Heille syntyi poikia vedenpaisumuksen jälkeen. 
GEN.10.2	Jaafetin pojat olivat Goomer, Maagog, Maadai, Jaavan, Tuubal, Mesek ja Tiiras. 
GEN.10.3	Ja Goomerin pojat olivat Askenas, Riifat ja Toogarma. 
GEN.10.4	Ja Jaavanin pojat olivat Elisa, Tarsis, kittiläiset ja doodanilaiset; 
GEN.10.5	heistä haarautuivat pakanoiden saarten asukkaat maittensa, eri kieltensä, heimojensa ja kansakuntiensa mukaan.
GEN.10.6	Ja Haamin pojat olivat Kuus, Misraim, Puut ja Kanaan. 
GEN.10.7	Ja Kuusin pojat olivat Seba, Havila, Sabta, Raema ja Sabteka. Ja Raeman pojat olivat Saba ja Dedan. 
GEN.10.8	Ja Kuusille syntyi Nimrod. Hän oli ensimmäinen valtias maan päällä. 
GEN.10.9	Hän oli mahtava metsämies Herran edessä. Siitä on sananparsi: "Mahtava metsämies Herran edessä niinkuin Nimrod". 
GEN.10.10	Ja hänen valtakuntansa alkuna olivat Baabel, Erek, Akkad ja Kalne Sinearin maassa. 
GEN.10.11	Siitä maasta hän lähti Assuriin ja rakensi Niiniven, Rehobot-Iirin ja Kelahin, 
GEN.10.12	sekä Resenin Niiniven ja Kelahin välille; se on tuo suuri kaupunki. 
GEN.10.13	Ja Misraimille syntyivät luudilaiset, anamilaiset, lehabilaiset, naftuhilaiset, 
GEN.10.14	patrokselaiset, kasluhilaiset, joista filistealaiset ovat lähteneet, sekä kaftorilaiset. 
GEN.10.15	Ja Kanaanille syntyivät Siidon, hänen esikoisensa, ja Heet, 
GEN.10.16	sekä jebusilaiset, amorilaiset, girgasilaiset, 
GEN.10.17	hivviläiset, arkilaiset, siiniläiset, 
GEN.10.18	arvadilaiset, semarilaiset ja hamatilaiset. Sittemmin hajaantuivat kanaanilaisten heimot. 
GEN.10.19	Ja kanaanilaisten alue ulottui Siidonista Gerariin päin aina Gassaan asti sekä Sodomaan, Gomorraan, Admaan ja Seboimiin päin aina Lesaan asti. 
GEN.10.20	Nämä olivat Haamin pojat heimojensa, kieltensä, maittensa ja kansakuntiensa mukaan.
GEN.10.21	Myöskin Seemille, Jaafetin vanhimmalle veljelle, josta tuli kaikkien Eeberin poikien kantaisä, syntyi poikia. 
GEN.10.22	Seemin pojat olivat Eelam, Assur, Arpaksad, Luud ja Aram. 
GEN.10.23	Ja Aramin pojat olivat Uus, Huul, Geter ja Mas. 
GEN.10.24	Arpaksadille syntyi Selah, ja Selahille syntyi Eeber. 
GEN.10.25	Ja Eeberille syntyi kaksi poikaa: toisen nimi oli Peleg
GEN.10.26	Ja Joktanille syntyi Almodad, Selef, Hasarmavet, Jerah, 
GEN.10.27	Hadoram, Uusal, Dikla, 
GEN.10.28	Oobal, Abimael, Saba, 
GEN.10.29	Oofir, Havila ja Joobab. Kaikki nämä olivat Joktanin poikia. 
GEN.10.30	Ja heidän asumasijansa ulottuivat Meesasta aina Sefariin, Itävuorelle asti. 
GEN.10.31	Nämä olivat Seemin pojat heimojensa, kieltensä, maittensa ja kansakuntiensa mukaan.
GEN.11.1	Ja kaikessa maassa oli yksi kieli ja yksi puheenparsi. 
GEN.11.2	Kun he lähtivät liikkeelle itään päin, löysivät he lakeuden Sinearin maassa ja asettuivat sinne. 
GEN.11.3	Ja he sanoivat toisillensa: "Tulkaa, tehkäämme tiiliä ja polttakaamme ne koviksi". Ja tiiltä he käyttivät kivenä, ja maapihkaa he käyttivät laastina. 
GEN.11.4	Ja he sanoivat: "Tulkaa, rakentakaamme itsellemme kaupunki ja torni, jonka huippu ulottuu taivaaseen, ja tehkäämme itsellemme nimi, ettemme hajaantuisi yli kaiken maan". 
GEN.11.5	Niin Herra astui alas katsomaan kaupunkia ja tornia, jonka ihmislapset olivat rakentaneet. 
GEN.11.6	Ja Herra sanoi: "Katso, he ovat yksi kansa, ja heillä kaikilla on yksi kieli, ja tämä on heidän ensimmäinen yrityksensä. Ja nyt ei heille ole mahdotonta mikään, mitä aikovatkin tehdä. 
GEN.11.7	Tulkaa, astukaamme alas ja sekoittakaamme siellä heidän kielensä, niin ettei toinen ymmärrä toisen kieltä." 
GEN.11.8	Ja niin Herra hajotti heidät sieltä yli kaiken maan, niin että he lakkasivat kaupunkia rakentamasta. 
GEN.11.9	Siitä tuli sen nimeksi Baabel
GEN.11.10	Tämä on kertomus Seemin suvusta.
GEN.11.10	Kun Seem oli sadan vuoden vanha, syntyi hänelle Arpaksad kaksi vuotta vedenpaisumuksen jälkeen. 
GEN.11.11	Ja Seem eli Arpaksadin syntymän jälkeen viisisataa vuotta, ja hänelle syntyi poikia ja tyttäriä. 
GEN.11.12	Kun Arpaksad oli kolmenkymmenen viiden vuoden vanha, syntyi hänelle Selah. 
GEN.11.13	Ja Arpaksad eli Selahin syntymän jälkeen neljäsataa kolme vuotta, ja hänelle syntyi poikia ja tyttäriä. 
GEN.11.14	Kun Selah oli kolmenkymmenen vuoden vanha, syntyi hänelle Eeber. 
GEN.11.15	Ja Selah eli Eeberin syntymän jälkeen neljäsataa kolme vuotta, ja hänelle syntyi poikia ja tyttäriä. 
GEN.11.16	Kun Eeber oli kolmenkymmenen neljän vuoden vanha, syntyi hänelle Peleg. 
GEN.11.17	Ja Eeber eli Pelegin syntymän jälkeen neljäsataa kolmekymmentä vuotta, ja hänelle syntyi poikia ja tyttäriä. 
GEN.11.18	Kun Peleg oli kolmenkymmenen vuoden vanha, syntyi hänelle Regu. 
GEN.11.19	Ja Peleg eli Regun syntymän jälkeen kaksisataa yhdeksän vuotta, ja hänelle syntyi poikia ja tyttäriä. 
GEN.11.20	Kun Regu oli kolmenkymmenen kahden vuoden vanha, syntyi hänelle Serug. 
GEN.11.21	Ja Regu eli Serugin syntymän jälkeen kaksisataa seitsemän vuotta, ja hänelle syntyi poikia ja tyttäriä. 
GEN.11.22	Kun Serug oli kolmenkymmenen vuoden vanha, syntyi hänelle Naahor. 
GEN.11.23	Ja Serug eli Naahorin syntymän jälkeen kaksisataa vuotta, ja hänelle syntyi poikia ja tyttäriä. 
GEN.11.24	Kun Naahor oli kahdenkymmenen yhdeksän vuoden vanha, syntyi hänelle Terah. 
GEN.11.25	Ja Naahor eli Terahin syntymän jälkeen sata yhdeksäntoista vuotta, ja hänelle syntyi poikia ja tyttäriä. 
GEN.11.26	Kun Terah oli seitsemänkymmenen vuoden vanha, syntyivät hänelle Abram, Naahor ja Haaran.
GEN.11.27	Ja tämä on kertomus Terahin suvusta.
GEN.11.27	Terahille syntyivät Abram, Naahor ja Haaran. Ja Haaranille syntyi Loot. 
GEN.11.28	Ja Haaran kuoli ennen isäänsä Terahia synnyinmaassansa, Kaldean Uurissa. 
GEN.11.29	Ja Abram ja Naahor ottivat itsellensä vaimot; Abramin vaimon nimi oli Saarai, ja Naahorin vaimon nimi oli Milka, Haaranin tytär; Haaran oli Milkan ja Jiskan isä. 
GEN.11.30	Mutta Saarai oli hedelmätön, hänellä ei ollut lasta. 
GEN.11.31	Ja Terah otti poikansa Abramin ja poikansa pojan Lootin, Haaranin pojan, ja miniänsä Saarain, poikansa Abramin vaimon, ja he lähtivät heidän kanssaan Kaldean Uurista mennäksensä Kanaanin maahan, ja he saapuivat Harraniin asti ja asuivat siellä. 
GEN.11.32	Ja Terahin ikä oli kaksisataa viisi vuotta; sitten Terah kuoli Harranissa.
GEN.12.2	Niin minä teen sinusta suuren kansan, siunaan sinut ja teen sinun nimesi suureksi, ja sinä olet tuleva siunaukseksi.
GEN.12.3	ja kiroan ne, jotka sinua kiroavat,
GEN.12.3	ja sinussa tulevat siunatuiksi
GEN.12.3	kaikki sukukunnat maan päällä."
GEN.12.4	Niin Abram lähti, niinkuin Herra oli hänelle puhunut, ja Loot meni hänen kanssansa. Abram oli Harranista lähtiessänsä seitsemänkymmenen viiden vuoden vanha. 
GEN.12.5	Ja Abram otti vaimonsa Saarain ja veljensä pojan Lootin sekä kaiken omaisuuden, jonka he olivat koonneet, ja ne palvelijat, jotka he olivat hankkineet Harranissa, ja he lähtivät menemään Kanaanin maahan. Ja he tulivat Kanaanin maahan. 
GEN.12.6	Ja Abram kulki maan läpi aina Sikemin paikkakunnalle, Mooren tammelle asti. Ja siihen aikaan kanaanilaiset asuivat siinä maassa. 
GEN.12.7	Silloin Herra ilmestyi Abramille ja sanoi: "Sinun jälkeläisillesi minä annan tämän maan". Niin hän rakensi sinne alttarin Herralle, joka oli hänelle ilmestynyt. 
GEN.12.8	Sieltä hän siirtyi edemmäksi vuoristoon, itään päin Beetelistä, ja pystytti telttansa, niin että Beetel oli lännessä ja Ai idässä, ja hän rakensi sinne alttarin Herralle ja huusi avuksi Herran nimeä. 
GEN.12.9	Ja sieltä Abram lähti ja vaelsi yhä edemmäksi Etelämaahan päin.
GEN.12.10	Niin tuli nälänhätä maahan, ja Abram meni Egyptiin, asuakseen siellä jonkun aikaa, sillä nälänhätä maassa oli kova. 
GEN.12.11	Ja kun hän lähestyi Egyptiä, puhui hän vaimollensa Saaraille: "Katso, minä tiedän, että sinä olet kaunis nainen. 
GEN.12.12	Kun egyptiläiset saavat nähdä sinut, niin he sanovat: 'Hän on hänen vaimonsa', ja tappavat minut, mutta antavat sinun elää. 
GEN.12.13	Sano siis olevasi minun sisareni, että minun kävisi hyvin sinun tähtesi ja minä sinun takiasi saisin jäädä henkiin." 
GEN.12.14	Kun Abram tuli Egyptiin, näkivät egyptiläiset, että Saarai oli hyvin kaunis nainen. 
GEN.12.15	Ja kun faraon ruhtinaat olivat nähneet hänet, ylistelivät he häntä faraolle; ja vaimo vietiin faraon hoviin. 
GEN.12.16	Ja Abramia hän kohteli hyvin hänen tähtensä. Ja hän sai pikkukarjaa, raavaskarjaa ja aaseja, palvelijoita ja palvelijattaria, aasintammoja ja kameleja. 
GEN.12.17	Mutta Herra antoi kovien vitsausten kohdata faraota ja hänen hoviansa Saarain, Abramin vaimon, tähden. 
GEN.12.18	Silloin farao kutsui Abramin luoksensa ja sanoi: "Mitä olet minulle tehnyt? Miksi et ilmoittanut minulle, että hän on sinun vaimosi? 
GEN.12.19	Miksi sanoit: 'Hän on minun sisareni', niin että minä otin hänet vaimokseni? Katso, tässä on vaimosi, ota hänet ja mene." 
GEN.12.20	Ja farao antoi hänestä käskyn miehillensä, että he saattaisivat hänet pois, hänet ja hänen vaimonsa sekä kaiken, mitä hänellä oli.
GEN.13.1	Niin Abram lähti pois Egyptistä, hän ja hänen vaimonsa ja kaikki, mitä hänellä oli, ja Loot hänen kanssaan, Etelämaahan. 
GEN.13.2	Abram oli hyvin rikas: hänellä oli karjaa, hopeata ja kultaa. 
GEN.13.3	Ja hän vaelsi, kulkien levähdyspaikasta toiseen, Etelämaasta Beeteliin asti, aina siihen paikkaan, missä hänen majansa oli ensi kerralla ollut, Beetelin ja Ain välillä, 
GEN.13.4	siihen paikkaan, johon hän ennen oli rakentanut alttarin; ja Abram huusi siinä avuksi Herran nimeä. 
GEN.13.5	Ja myöskin Lootilla, joka vaelsi Abramin kanssa, oli pikkukarjaa, raavaskarjaa ja telttoja. 
GEN.13.6	Eikä maa riittänyt heidän asuakseen yhdessä, sillä heillä oli paljon omaisuutta, niin etteivät voineet yhdessä asua. 
GEN.13.7	Niin syntyi riitaa Abramin karjapaimenten ja Lootin karjapaimenten välillä. Ja siihen aikaan asuivat siinä maassa kanaanilaiset ja perissiläiset. 
GEN.13.8	Silloin Abram sanoi Lootille: "Älköön olko riitaa meidän välillämme, minun ja sinun, älköönkä minun paimenteni ja sinun paimentesi välillä, sillä olemmehan veljeksiä. 
GEN.13.9	Eikö koko maa ole avoinna edessäsi? Eroa minusta. Jos sinä menet vasemmalle, niin minä menen oikealle, tahi jos sinä menet oikealle, niin minä menen vasemmalle." 
GEN.13.10	Ja Loot nosti silmänsä ja näki koko Jordanin lakeuden olevan runsasvetistä seutua; ennenkuin Herra hävitti Sodoman ja Gomorran, oli se Sooariin saakka niinkuin Herran puutarha, niinkuin Egyptin maa. 
GEN.13.11	Niin Loot valitsi itselleen koko Jordanin lakeuden ja siirtyi itään päin, ja he erkanivat toisistaan. 
GEN.13.12	Abram asettui Kanaanin maahan, Loot asettui lakeuden kaupunkeihin ja siirtyi siirtymistään telttoineen Sodomaan asti. 
GEN.13.13	Mutta Sodoman kansa oli kovin pahaa ja syntistä Herran edessä.
GEN.13.14	Ja Herra sanoi Abramille, sen jälkeen kuin Loot oli hänestä eronnut: "Nosta silmäsi ja katso siitä paikasta, missä olet, pohjoiseen, etelään, itään ja länteen. 
GEN.13.15	Sillä kaiken maan, jonka näet, minä annan sinulle ja sinun jälkeläisillesi ikuisiksi ajoiksi. 
GEN.13.16	Ja minä teen sinun jälkeläistesi luvun paljoksi kuin maan tomun. Jos voidaan lukea maan tomu, niin voidaan lukea myöskin sinun jälkeläisesi. 
GEN.13.17	Nouse ja vaella maata pitkin ja poikin, sillä sinulle minä sen annan." 
GEN.13.18	Ja Abram siirtyi siirtymistään telttoineen ja tuli ja asettui Mamren tammistoon, joka on Hebronin luona, ja rakensi sinne alttarin Herralle.
GEN.14.1	Ja tapahtui siihen aikaan, kun Amrafel oli Sinearin kuninkaana, Arjok Ellasarin kuninkaana, Kedorlaomer Eelamin kuninkaana ja Tidal Goojimin kuninkaana, 
GEN.14.2	että he alottivat sodan Beraa, Sodoman kuningasta, Birsaa, Gomorran kuningasta, Sinabia, Adman kuningasta, Semeberiä, Seboimin kuningasta, ja Belan, se on Sooarin, kuningasta vastaan. 
GEN.14.3	Nämä kaikki liittoutuivat kokoontuen Siddimin laaksoon, jossa Suolameri nyt on. 
GEN.14.4	Kaksitoista vuotta he olivat olleet Kedorlaomerille alamaiset, mutta kolmantenatoista vuotena he tekivät kapinan. 
GEN.14.5	Neljäntenätoista vuotena tulivat Kedorlaomer ja ne kuninkaat, jotka olivat hänen kanssaan; ja he voittivat refalaiset Astarot-Karnaimissa ja suusilaiset Haamissa, niin myös eemiläiset Kirjataimin tasangolla 
GEN.14.6	ja hoorilaiset heidän vuoristossaan, Seirissä, aina Eel-Paaraniin asti, joka on erämaan laidassa. 
GEN.14.7	Ja he palasivat ja tulivat Mispatin lähteelle, se on Kaadekseen, ja valloittivat koko amalekilaisten maan ja voittivat myöskin amorilaiset, jotka asuivat Hasason-Taamarissa. 
GEN.14.8	Silloin lähtivät Sodoman kuningas, Gomorran kuningas, Adman kuningas, Seboimin kuningas ja Belan, se on Sooarin, kuningas ja asettuivat Siddimin laaksossa sotarintaan heitä vastaan — 
GEN.14.9	Eelamin kuningasta Kedorlaomeria, Goojimin kuningasta Tidalia, Sinearin kuningasta Amrafelia ja Ellasarin kuningasta Arjokia vastaan, neljä kuningasta viittä vastaan. 
GEN.14.10	Mutta Siddimin laakso oli täynnä maapihkakuoppia. Ja Sodoman ja Gomorran kuninkaat pakenivat ja putosivat niihin; mutta henkiin jääneet pakenivat vuoristoon. 
GEN.14.11	Ja he ottivat Sodomasta ja Gomorrasta kaiken tavaran ja kaikki ruokavarat ja menivät matkaansa. 
GEN.14.12	Ja lähtiessään he ottivat mukaansa myöskin Lootin, Abramin veljenpojan, ja hänen omaisuutensa; hän näet asui Sodomassa. 
GEN.14.13	Mutta muuan pakolainen tuli ja ilmoitti siitä Abramille, hebrealaiselle; tämä asui tammistossa, joka oli amorilaisen Mamren, Eskolin ja Aanerin veljen, oma, ja he olivat Abramin liittolaisia. 
GEN.14.14	Kun Abram kuuli, että hänen sukulaisensa oli otettu vangiksi, asesti hän luotettavimmat palvelijansa, jotka olivat hänen kodissaan syntyneet, kolmesataa kahdeksantoista miestä, ja ajoi vihollisia takaa aina Daaniin saakka. 
GEN.14.15	Ja hän jakoi väkensä ja hyökkäsi palvelijoineen yöllä vihollisten kimppuun ja voitti heidät ja ajoi heitä takaa aina Hoobaan saakka, joka on Damaskosta pohjoiseen. 
GEN.14.16	Ja hän toi takaisin kaiken tavaran; myöskin sukulaisensa Lootin ja hänen tavaransa hän toi takaisin, niin myös vaimot ja muun väen.
GEN.14.17	Kun hän oli paluumatkalla, voitettuaan Kedorlaomerin ja ne kuninkaat, jotka olivat tämän kanssa, meni Sodoman kuningas häntä vastaan Saaven laaksoon, jota sanotaan "Kuninkaan laaksoksi". 
GEN.14.18	Ja Melkisedek, Saalemin kuningas, toi leipää ja viiniä; hän oli Jumalan, Korkeimman, pappi. 
GEN.14.19	Ja hän siunasi hänet sanoen:
GEN.14.19	"Siunatkoon Abramia Jumala, Korkein,
GEN.14.19	taivaan ja maan luoja.
GEN.14.20	Ja kiitetty olkoon Jumala, Korkein,
GEN.14.20	joka antoi vihollisesi sinun käsiisi."
GEN.14.20	Ja Abram antoi hänelle kymmenykset kaikesta. 
GEN.14.21	Ja Sodoman kuningas sanoi Abramille: "Anna minulle väki ja pidä sinä tavara". 
GEN.14.22	Mutta Abram sanoi Sodoman kuninkaalle: "Minä nostan käteni Herran, Jumalan, Korkeimman, taivaan ja maan luojan, puoleen ja vannon: 
GEN.14.23	En totisesti ota, en langan päätä, en kengän paulaa enkä mitään muuta, mikä on sinun, ettet sanoisi: 'Minä olen tehnyt Abramin rikkaaksi'. 
GEN.14.24	En tahdo mitään, paitsi mitä palvelijat ovat kuluttaneet ja mikä on niille miehille tuleva, jotka minua seurasivat, Aanerille, Eskolille ja Mamrelle; he saakoot osansa."
GEN.15.1	Näiden tapausten jälkeen tuli Abramille näyssä tämä Herran sana: "Älä pelkää, Abram! Minä olen sinun kilpesi; sinun palkkasi on oleva sangen suuri." 
GEN.15.2	Mutta Abram sanoi: "Oi Herra, Herra, mitä sinä minulle annat? Minä lähden täältä lapsetonna, ja omaisuuteni haltijaksi tulee damaskolainen mies, Elieser." 
GEN.15.3	Ja Abram sanoi vielä: "Sinä et ole antanut minulle jälkeläistä; katso, talossani syntynyt palvelija on minut perivä". 
GEN.15.4	Mutta katso, hänelle tuli tämä Herran sana: "Hän ei ole sinua perivä, vaan joka lähtee sinun omasta ruumiistasi, hän on sinut perivä". 
GEN.15.5	Ja hän vei hänet ulos ja sanoi: "Katso taivaalle ja lue tähdet, jos ne taidat lukea". Ja hän sanoi hänelle: "Niin paljon on sinulla oleva jälkeläisiä". 
