GEN.1.2	Maa oli autio ja tyhjä, pimeys peitti syvyydet, ja Jumalan henki liikkui vetten yllä.
GEN.9.12	Jumala sanoi vielä: »Tämä on merkkinä liitosta, jonka minä teen teidän sekä kaikkien maan päällä elävien olentojen kanssa kaikkiin tuleviin sukupolviin asti: 
GEN.9.13	minä asetan kaareni pilviin, ja se on oleva merkkinä minun ja maan välisestä liitosta. 
GEN.9.14	Kun annan pilvien nousta taivaalle ja sateenkaari näkyy pilvissä, 
GEN.9.15	muistan liiton, jonka olen tehnyt kaikkien elävien olentojen, kaiken elollisen kanssa: vedet eivät enää koskaan paisu tuhotulvaksi hukuttamaan kaikkea elävää. 
GEN.9.16	Kaari näkyy pilvissä, ja kun minä sen näen, muistan ikuisen liiton, jonka olen tehnyt kaikkien elävien olentojen, kaikkien maan päällä elävien kanssa.» 
GEN.9.17	Ja Jumala sanoi vielä Nooalle: »Tämä on sen liiton merkki, jonka minä teen kaikkien maan päällä elävien kanssa.»
GEN.9.18	Nooan pojat, jotka lähtivät arkista, olivat Seem, Haam ja Jafet, ja Haamista tuli Kanaanin isä. 
GEN.9.19	Nämä kolme olivat Nooan pojat, ja heidän jälkeläisiään ovat kaikki maailman ihmiset.
GEN.9.20	Nooa ryhtyi viljelemään maata ja istutti ensimmäisen viinitarhan. 
GEN.9.21	Mutta kun hän joi viiniä, hän juopui ja jäi alastomana makaamaan telttaansa. 
GEN.9.22	Haam, Kanaanin isä, näki isänsä alastomuuden ja kertoi siitä ulkona molemmille veljilleen. 
GEN.9.23	Silloin Seem ja Jafet ottivat viitan, levittivät sen harteilleen, menivät sisään selkä edellä ja peittivät isänsä alastomuuden. Heidän kasvonsa olivat poispäin, eivätkä he nähneet isäänsä alastomana. 
GEN.9.24	Kun Nooa selvisi juopumuksestaan ja sai kuulla, mitä hänen nuorin poikansa oli hänelle tehnyt, 
GEN.9.25	hän sanoi:
GEN.9.25	– Kirottu olkoon Kanaan,
GEN.9.25	tulkoon hänestä veljiensä
GEN.9.25	orjienkin orja.
GEN.9.26	– Kiitetty olkoon Herra,
GEN.9.26	Seemin Jumala,
GEN.9.26	ja Kanaan olkoon Seemin orja.
GEN.9.27	Tehköön Jumala laajaksi Jafetin suvun,
GEN.9.27	ja saakoon se asua myös Seemin majoissa,
GEN.9.27	ja Kanaan olkoon heidän orjansa.
GEN.9.28	Nooa eli vedenpaisumuksen jälkeen vielä 350 vuotta. 
GEN.9.29	Kaikkiaan hän eli 950 vuotta, ja sitten hän kuoli.
GEN.10.2	Jafetin pojat olivat Gomer, Magog, Madai, Javan, Tubal, Mesek ja Tiras.
GEN.10.3	Gomerin pojat olivat Askenas, Rifat ja Togarma. 
GEN.10.4	Javanin pojat olivat Elisa ja Tarsis; myös kittiläiset ja rodanilaiset ovat hänen jälkeläisiään. 
GEN.10.5	Näistä erkanivat omiin maihinsa rannikoiden ja saarten kansat, kukin kansa kielensä ja heimonsa mukaan.
GEN.10.6	Haamin pojat olivat Kus, Misraim, Put ja Kanaan.
GEN.10.7	Kusin pojat olivat Seba, Havila, Sabta, Raema ja Sabteka. Raeman pojat olivat Saba ja Dedan.
GEN.10.8	Kusille syntyi myös Nimrod, josta tuli ensimmäinen mahtava hallitsija maan päällä. 
GEN.10.9	Hän oli suuri metsästäjä Jumalan armosta. Siksi onkin tapana sanoa: »On kuin Nimrod, suuri metsästäjä Jumalan armosta.» 
GEN.10.10	Hän hallitsi aluksi Babylonia, Erekiä, Akkadia ja Kalnea Sinearin maassa.
GEN.10.11	Sieltä hän siirtyi Assyriaan ja rakensi Niniven, Rehobot-Irin, Kalahin 
GEN.10.12	ja Resenin suuren kaupungin Niniven ja Kalahin välille. 
GEN.10.13	Misraimin jälkeläisiä ovat ludilaiset, anamilaiset, lehabilaiset, naftuhilaiset, 
GEN.10.14	patrosilaiset, kasluhilaiset, joista filistealaiset ovat lähtöisin, sekä kaftorilaiset. 
GEN.10.15	Kanaanille syntyivät Sidon, hänen esikoisensa, sekä Het. 
GEN.10.16	Hänen jälkeläisiään ovat myös jebusilaiset, amorilaiset, girgasilaiset, 
GEN.10.17	hivviläiset, arkilaiset ja siniläiset, 
GEN.10.18	arvadilaiset, semeriläiset ja hamatilaiset. Kanaanilaisten heimot hajaantuivat sittemmin, 
GEN.10.19	ja kanaanilaisten alue ulottui Sidonista Gerarin suuntaan Gazaan saakka sekä Sodoman ja Gomorran, Adman ja Seboimin suuntaan Lesaan saakka. 
GEN.10.20	Nämä olivat Haamin jälkeläisiä lueteltuina heimoittain ja kielittäin, kukin maansa ja kansansa mukaan.
GEN.10.22	Seemin pojat olivat Elam, Assur, Arpaksad, Lud ja Aram
GEN.10.23	Aramin pojat olivat Us, Hul, Geter ja Mas. 
GEN.10.24	Arpaksadille syntyi Selah ja Selahille Eber. 
GEN.10.25	Eberille syntyi kaksi poikaa. Toinen oli nimeltään Peleg, koska hänen aikanaan ihmissuku hajaantui yli maan,
GEN.10.26	Joktanille syntyivät Almodad, Selef, Hasarmavet, Jerah, 
GEN.10.27	Hadoram, Usal, Dikla, 
GEN.10.28	Obal, Abimael, Saba, 
GEN.10.29	Ofir, Havila ja Jobab. Nämä kaikki olivat Joktanin jälkeläisiä. 
GEN.10.30	Heidän asuinalueensa ulottui Mesasta Sefarin suuntaan idän vuoristoon saakka. 
GEN.10.31	Nämä olivat Seemin jälkeläisiä lueteltuina heimoittain ja kielittäin, kukin maansa ja kansansa mukaan.
GEN.11.1	Koko maailma käytti samoja sanoja ja puhui yhtä kieltä. 
GEN.11.2	Kun ihmiset siirtyivät itään, he löysivät Sinearin maasta tasangon ja jäivät sinne asumaan. 
GEN.11.3	Ja he sanoivat toisilleen: »Tehkäämme tiiliä ja polttakaamme ne koviksi.» He käyttivät savitiiltä rakennuskivenä ja asfalttipikeä muuraamiseen. 
GEN.11.4	He sanoivat: »Rakentakaamme itsellemme kaupunki ja torni, joka ulottuu taivaaseen asti. Sillä tavoin saamme mainetta emmekä myöskään hajaannu yli koko maan.»
GEN.11.5	Herra tuli katsomaan kaupunkia ja tornia, jota ihmiset rakensivat, 
GEN.11.6	ja sanoi: »Siinä he nyt ovat, yksi kansa, jolla on yksi ja sama kieli. Tämä, mitä he ovat saaneet aikaan, on vasta alkua. Nyt he pystyvät tekemään mitä tahansa. 
GEN.11.7	Menkäämme sekoittamaan heidän kielensä, niin etteivät he ymmärrä toistensa puhetta.» 
GEN.11.8	Ja niin Herra hajotti heidät sieltä kaikkialle maailmaan, ja he lakkasivat rakentamasta kaupunkia. 
GEN.11.9	Kaupunki sai nimen Babylon, sillä siellä Herra sekoitti ihmisten kielen
GEN.11.11	Arpaksadin syntymän jälkeen Seem eli vielä 500 vuotta, ja hänelle syntyi lisää poikia ja tyttäriä.
GEN.11.12	Kun Arpaksad oli elänyt 35 vuotta, hänelle syntyi Selah. 
GEN.11.13	Selahin syntymän jälkeen Arpaksad eli vielä 403 vuotta, ja hänelle syntyi lisää poikia ja tyttäriä.
GEN.11.14	Kun Selah oli elänyt 30 vuotta, hänelle syntyi Eber. 
GEN.11.15	Eberin syntymän jälkeen Selah eli vielä 403 vuotta, ja hänelle syntyi lisää poikia ja tyttäriä.
GEN.11.16	Kun Eber oli elänyt 34 vuotta, hänelle syntyi Peleg. 
GEN.11.17	Pelegin syntymän jälkeen Eber eli vielä 430 vuotta, ja hänelle syntyi lisää poikia ja tyttäriä.
GEN.11.18	Kun Peleg oli elänyt 30 vuotta, hänelle syntyi Reu. 
GEN.11.19	Reun syntymän jälkeen Peleg eli vielä 209 vuotta, ja hänelle syntyi lisää poikia ja tyttäriä.
GEN.11.20	Kun Reu oli elänyt 32 vuotta, hänelle syntyi Serug. 
GEN.11.21	Serugin syntymän jälkeen Reu eli vielä 207 vuotta, ja hänelle syntyi lisää poikia ja tyttäriä.
GEN.11.22	Kun Serug oli elänyt 30 vuotta, hänelle syntyi Nahor. 
GEN.11.23	Nahorin syntymän jälkeen Serug eli vielä 200 vuotta, ja hänelle syntyi lisää poikia ja tyttäriä.
GEN.11.24	Kun Nahor oli elänyt 29 vuotta, hänelle syntyi Terah. 
GEN.11.25	Terahin syntymän jälkeen Nahor eli vielä 119 vuotta, ja hänelle syntyi lisää poikia ja tyttäriä.
GEN.11.26	Kun Terah oli elänyt 70 vuotta, hänelle syntyivät Abram, Nahor ja Haran.
GEN.11.27	Tämä on luettelo Terahin jälkeläisistä. Terahille syntyivät Abram, Nahor ja Haran, ja Haranille syntyi Loot. 
GEN.11.28	Haran kuoli ennen isäänsä Terahia synnyinmaassaan Kaldean
GEN.11.29	Abram ja Nahor ottivat itselleen vaimot. Abramin vaimon nimi oli Sarai, ja Nahorin vaimo oli Milka, Haranin tytär. Haran oli Milkan ja Jiskan isä. 
GEN.11.30	Sarai oli hedelmätön, hän ei saanut lasta.
GEN.11.32	Terah eli kaikkiaan 205 vuotta ja kuoli Harranissa.
GEN.12.2	Minä teen sinusta suuren kansan ja siunaan sinua, ja sinun nimesi on oleva suuri ja siinä on oleva siunaus. 
GEN.12.3	Minä siunaan niitä, jotka siunaavat sinua, ja kiroan ne, jotka sinua kiroavat, ja sinun saamasi siunaus tulee siunaukseksi kaikille maailman kansoille.»
GEN.12.4	Niin Abram lähti Herran käskyn mukaan, ja Loot lähti hänen kanssaan. Harranista lähtiessään Abram oli seitsemänkymmenenviiden vuoden ikäinen. 
GEN.12.5	Abram otti mukaan vaimonsa Sarain ja veljenpoikansa Lootin sekä perheiden koko omaisuuden, myös Harranissa hankitut orjat. Sitten he lähtivät kulkemaan kohti Kanaaninmaata ja saapuivat sinne.
GEN.12.6	Abram kulki Kanaaninmaan halki Sikemin seudulle, Moren tammelle asti. Siihen aikaan maassa asuivat kanaanilaiset. 
GEN.12.7	Herra ilmestyi Abramille ja sanoi: »Sinun jälkeläisillesi minä annan tämän maan.» Ja Abram rakensi sinne alttarin Herralle, joka oli ilmestynyt hänelle. 
GEN.12.8	Sieltä hän siirtyi Betelin itäpuolen vuorille, ja hän pystytti telttansa niin, että Betel oli länsipuolella ja Ai itäpuolella. Hän rakensi sinne alttarin ja rukoili Herraa. 
GEN.12.9	Sieltä Abram siirtyi paikasta toiseen etelään Negeviin päin.
GEN.12.10	Sitten tuli maahan nälänhätä. Koska nälänhätä oli kova, Abram siirtyi Egyptiin ja asui siellä muukalaisena. 
GEN.12.11	Egyptiä lähestyttäessä hän sanoi vaimolleen Saraille: »Minä tiedän, että sinä olet kaunis nainen. 
GEN.12.12	Kun egyptiläiset näkevät sinut ja käsittävät, että sinä olet minun vaimoni, he tappavat minut mutta jättävät sinut henkiin. 
GEN.12.13	Sano siis, että olet minun sisareni, jotta minua kohdeltaisiin sinun takiasi hyvin ja saisin sinun ansiostasi pitää henkeni.»
GEN.12.14	Kun Abram saapui Egyptiin, egyptiläiset havaitsivat, että Sarai oli hyvin kaunis nainen. 
GEN.12.15	Sarain nähtyään faraon virkamiehet ylistivät häntä faraolle, ja hänet haettiin palatsiin. 
GEN.12.16	Farao kohteli Abramia hyvin Sarain takia, ja Abram sai lampaita ja vuohia, nautakarjaa ja aaseja, orjia ja orjattaria sekä aasintammoja ja kameleita.
GEN.12.18	Silloin farao kutsutti Abramin luokseen ja sanoi: »Mitä oletkaan minulle tehnyt! Miksi et kertonut minulle, että hän on vaimosi? 
GEN.12.19	Miksi sanoit häntä sisareksesi, niin että minä saatoin ottaa hänet vaimokseni? Siinä on vaimosi, ota hänet ja mene matkoihisi!» 
GEN.12.20	Sitten farao antoi miehilleen käskyn toimittaa Abram, hänen vaimonsa ja koko hänen omaisuutensa maasta pois.
GEN.13.1	Niin Abram palasi Egyptistä Negeviin, mukanaan vaimonsa ja koko omaisuutensa, ja Loot seurasi häntä. 
GEN.13.2	Abram oli hyvin rikas; hänellä oli karjaa, hopeaa ja kultaa. 
GEN.13.3	Negevistä hän siirtyi Beteliä kohti kulkien leiripaikalta toiselle, kunnes saapui siihen Betelin ja Ain väliseen paikkaan, jossa hänen telttansa oli aikaisemmin ollut 
GEN.13.4	ja jonne hän oli rakentanut alttarin. Siellä Abram rukoili Herraa.
GEN.13.5	Myös Lootilla, joka kulki Abramin mukana, oli lampaita, vuohia, nautakarjaa ja telttoja. 
GEN.13.6	Mutta laidunmaata ei ollut tarpeeksi, että he olisivat voineet pysyä yhdessä, sillä heillä oli runsaasti karjaa. 
GEN.13.7	Siksi Abramin ja Lootin karjapaimenten kesken syntyi riitaa. Siihen aikaan maassa asui kanaanilaisia ja perissiläisiä.
GEN.13.8	Abram sanoi Lootille: »Ei sovi, että meidän tai meidän karjapaimentemme välillä on riitaa, sillä me olemme sukulaisia ja veljiä keskenämme. 
GEN.13.9	Onhan koko maa avoinna sinun edessäsi. Eroa siis minusta. Jos sinä menet vasemmalle, niin minä menen oikealle. Jos sinä menet oikealle, niin minä menen vasemmalle.» 
GEN.13.10	Loot katsoi ympärilleen ja näki, että Jordanin alanko oli runsasvetistä seutua. Ennen kuin Herra hävitti Sodoman ja Gomorran, se oli Soariin saakka kuin Herran puutarhaa, kuin Egyptin maata. 
GEN.13.11	Loot valitsi itselleen koko Jordanin alangon ja lähti kulkemaan itää kohden, ja näin he erosivat toisistaan. 
GEN.13.12	Abram jäi Kanaaninmaahan, kun taas Loot siirtyi telttoineen alangon kaupunkien liepeille ja päätyi lopulta Sodomaan.
GEN.13.14	Lootin erottua Abramista Herra sanoi Abramille: »Nosta silmäsi ja katsele tästä paikasta pohjoiseen, etelään, itään ja länteen, 
GEN.13.15	sillä koko sen maan, jonka näet, minä annan sinulle ja sinun jälkeläisillesi ikiajoiksi. 
GEN.13.16	Minä teen sinun jälkeläisesi lukuisiksi kuin maan tomuhiukkaset: jos osaat ne laskea, osaat laskea jälkeläistesi määrän. 
GEN.13.17	Lähde vaeltamaan maata pitkin ja poikin, sillä minä annan sen sinulle.»
GEN.13.18	Abram siirtyi telttoineen paikasta toiseen, kunnes asettui Hebroniin Mamren tammistoon. Sinne hän rakensi alttarin Herralle.
GEN.14.1	Siihen aikaan Sinearin kuningas Amrafel, Ellasarin kuningas Arjok, Elamin kuningas Kedorlaomer ja Gojimin kuningas Tideal 
GEN.14.2	lähtivät sotaretkelle Sodoman kuningasta Beraa, Gomorran kuningasta Birsaa, Adman kuningasta Sinabia, Seboimin kuningasta Semeberiä ja Belan eli Soarin kuningasta vastaan. 
GEN.14.3	Nämä viisi olivat kaikki yhdessä koonneet joukkonsa Siddiminlaaksoon, missä Kuollutmeri sijaitsee. 
GEN.14.4	He olivat kaksitoista vuotta olleet Kedorlaomerin alaisina mutta nousivat kolmantenatoista vuotena kapinaan. 
GEN.14.5	Neljäntenätoista vuotena tulivat Kedorlaomer ja hänen kanssaan liittoutuneet kuninkaat ja voittivat refalaiset Asterot-Karnaimissa, susilaiset Hamissa, emiläiset Kirjataimin tasangolla 
GEN.14.6	ja horilaiset vuorilla, jotka ulottuvat Seiristä El-Paraniin, autiomaan laidoille saakka. 
GEN.14.7	Sitten he kääntyivät takaisin ja tulivat En-Mispatiin eli Kadesiin ja kukistivat koko amalekilaisten maan ja myös amorilaiset, jotka asuivat Haseson-Tamarissa.
GEN.14.8	Silloin Sodoman, Gomorran, Adman ja Seboimin kuninkaat sekä Belan eli Soarin kuningas lähtivät liikkeelle ja järjestivät Siddiminlaaksossa joukkonsa taisteluun 
GEN.14.9	Elamin kuningasta Kedorlaomeria, Gojimin kuningasta Tidealia, Sinearin kuningasta Amrafelia ja Ellasarin kuningasta Arjokia vastaan, viisi kuningasta neljää vastaan. 
GEN.14.10	Mutta Siddiminlaakso oli täynnä maaöljykuoppia, ja kun Sodoman ja Gomorran kuninkaat ja heidän miehensä yrittivät kääntyä pakoon, he vajosivat niihin, ja henkiin jääneet pakenivat vuorille. 
GEN.14.11	Heidän vihollisensa veivät Sodomasta ja Gomorrasta kaiken karjan ja muun omaisuuden sekä kaiken syötävän ja lähtivät sitten pois. 
GEN.14.12	Lähtiessään he veivät myös Abramin veljenpojan Lootin ja koko tämän omaisuuden. Loot näet asui siihen aikaan Sodomassa.
GEN.14.13	Muuan pakoon päässyt tuli kertomaan tästä heprealaiselle Abramille, joka tuolloin asui amorilaisen Mamren tammistossa. Mamre oli Eskolin ja Anerin veli, ja he olivat liitossa Abramin kanssa. 
GEN.14.14	Kun Abram kuuli, että hänen veljenpoikansa oli joutunut vangiksi, hän aseisti taistelukelpoiset miehensä, jotka olivat syntyneet hänen teltoissaan, kolmesataakahdeksantoista miestä kaikkiaan, lähti kuninkaiden perään ja tavoitti heidät Danissa. 
GEN.14.15	Siellä hän jakoi väkensä ryhmiin ja hyökkäsi yöllä vihollisten kimppuun, voitti heidät ja ajoi heitä takaa aina Hobaan, joka on Damaskoksesta pohjoiseen. 
GEN.14.16	Hän otti takaisin kaiken saaliin samoin kuin sukulaisensa Lootin, tämän omaisuuden sekä naiset ja muun väen.
GEN.14.17	Kun Abram oli paluumatkalla lyötyään Kedorlaomerin ja hänen kanssaan liittoutuneet kuninkaat, Sodoman kuningas tuli häntä vastaan Savenlaaksoon, jota sanotaan myös Kuninkaanlaaksoksi. 
GEN.14.18	Salemin kuningas Melkisedek toi sinne leipää ja viiniä. Hän oli Korkeimman Jumalan pappi, 
GEN.14.19	ja hän siunasi Abramia sanoen:
GEN.14.19	– Siunatkoon Abramia
GEN.14.19	Korkein Jumala,
GEN.14.19	taivaan ja maan luoja.
GEN.14.20	joka antoi sinun lyödä vastustajasi.
GEN.14.20	Abram antoi hänelle kymmenykset kaikesta saaliista.
GEN.14.21	Sodoman kuningas sanoi Abramille: »Anna minulle ihmiset. Karjan ja tavaran voit pitää itse.» 
GEN.14.22	Silloin Abram sanoi Sodoman kuninkaalle: »Minä nostan käteni Herran, Korkeimman Jumalan, puoleen, joka on luonut taivaan ja maan, ja vannon: 
GEN.14.23	minä en ota mitään sinun omaasi, en edes langanpätkää tai sandaalinhihnaa. Silloin et voi sanoa: ’Minä olen tehnyt Abramista rikkaan.’ 
GEN.14.24	Minä en tahdo mitään sen lisäksi, mitä palvelijani ovat syöneet ja mikä kuuluu niille miehille, jotka seurasivat minua. Myös Aner, Eskol ja Mamre saakoot oman osuutensa.»
GEN.15.2	Abram sanoi: »Herra, minun Jumalani, mitä sinä minulle antaisit? Olenhan jäänyt lapsettomaksi, ja minun omaisuuteni perii damaskolainen Elieser.» 
GEN.15.3	Abram sanoi vielä: »Ethän ole antanut minulle jälkeläistä, ja siksi palvelijani saa periä minut.» 
GEN.15.4	Mutta hänelle tuli tämä Herran sana: »Ei hän sinua peri, vaan sinut perii sinun oma poikasi.» 
GEN.15.5	Ja Herra vei hänet ulos ja sanoi: »Katso taivaalle ja laske tähdet, jos kykenet ne laskemaan. Yhtä suuri on oleva sinun jälkeläistesi määrä.» 
GEN.15.6	Abram uskoi Herran lupaukseen, ja Herra katsoi hänet vanhurskaaksi.
GEN.15.7	Herra sanoi Abramille: »Minä olen Herra, joka toin sinut Kaldean Urista antaakseni sinun omaksesi tämän maan.» 
GEN.15.8	Mutta Abram kysyi: »Herra, minun Jumalani, mistä minä voin tietää, että saan sen omakseni?» 
GEN.15.9	Silloin Herra sanoi hänelle: »Hae kolmivuotias hieho, kolmivuotias vuohi, kolmivuotias pässi, metsäkyyhky ja kyyhkysenpoikanen.» 
GEN.15.10	Ja Abram haki ne kaikki, halkaisi ne keskeltä ja asetti kunkin eläimen puolikkaat vastakkain; lintuja hän ei kuitenkaan halkaissut. 
GEN.15.11	Kun ruhojen päälle laskeutui petolintuja, Abram ajoi ne pois.
GEN.15.12	Auringon laskiessa Abram vaipui horrokseen, ja synkkä kauhu valtasi hänet. 
GEN.15.13	Silloin Herra sanoi hänelle: »Sinun tulee tietää, että jälkeläisesi joutuvat elämään muukalaisina maassa, joka ei ole heidän omansa. Heistä tulee siellä orjia, ja heitä sorretaan neljäsataa vuotta. 
GEN.15.14	Mutta minä rankaisen myös sitä vierasta kansaa, jonka orjiksi he joutuvat, ja he pääsevät lähtemään sieltä suuri omaisuus mukanaan. 
GEN.15.15	Sinä itse saat kuitenkin mennä rauhassa isiesi luo ja pääset hautaan hyvän vanhuuden jälkeen. 
GEN.15.16	Sinun jälkeläisistäsi palaa tänne vasta neljäs sukupolvi, sillä amorilaisten
GEN.15.17	Auringon laskettua tuli pilkkopimeä, ja silloin näkyi uunin savuava roihu ja soihdun lieska, joka liikkui uhrilihojen välissä. 
GEN.15.18	Sinä päivänä Herra teki Abramin kanssa liiton ja lupasi hänelle: »Sinun jälkeläisillesi minä annan tämän maan Egyptin rajapurosta Eufratin suureen virtaan saakka, 
GEN.15.19	tämän maan, jossa asuvat keniläiset, kenasilaiset ja kadmonilaiset, 
GEN.15.20	heettiläiset, perissiläiset ja refalaiset, 
GEN.15.21	amorilaiset, kanaanilaiset, girgasilaiset ja jebusilaiset.»
GEN.16.1	Sarai, Abramin vaimo, ei ollut synnyttänyt miehelleen lasta. Mutta Sarailla oli egyptiläinen orjatar, jonka nimi oli Hagar. 
GEN.16.2	Niin Sarai sanoi Abramille: »Herra ei ole sallinut minun synnyttää. Makaa siis minun orjattareni kanssa; ehkäpä hän voi synnyttää minulle lapsen.» Abram myöntyi Sarain ehdotukseen. 
GEN.16.3	Abram oli asunut kymmenen vuotta Kanaaninmaassa, kun hänen vaimonsa Sarai antoi egyptiläisen orjattarensa Hagarin miehelleen Abramille sivuvaimoksi. 
GEN.16.4	Abram yhtyi Hagariin, ja tämä tuli raskaaksi. Kun Hagar huomasi olevansa raskaana, hän alkoi väheksyä emäntäänsä. 
GEN.16.5	Silloin Sarai sanoi Abramille: »Minua on loukattu, etkä sinä tee mitään. Minä itse annoin orjattareni sinun syliisi, mutta siitä saakka, kun hän sai tietää olevansa raskaana, hän on halveksinut minua. Herra ratkaiskoon meidän riitamme.» 
GEN.16.6	Abram sanoi Saraille: »Hän on sinun orjattaresi. Voit tehdä hänelle, mitä hyväksi näet.» Ja Sarai kuritti Hagaria niin että Hagar pakeni hänen luotaan.
GEN.16.7	Herran enkeli kohtasi Hagarin autiomaassa vesilähteellä, joka oli Surin tien varressa. 
GEN.16.8	Hän sanoi: »Hagar, Sarain orjatar, mistä olet tulossa ja minne olet menossa?» Hagar vastasi: »Minä olen paennut emäntäni Sarain luota.» 
GEN.16.9	Silloin Herran enkeli sanoi hänelle: »Palaa emäntäsi luo ja ota nöyrästi vastaan hänen kurituksensa.» 
GEN.16.10	Herran enkeli sanoi hänelle vielä: »Minä teen sinun jälkeläistesi määrän niin suureksi, ettei sitä voi laskea.» 
