GEN.1.1	Paat ra talimpuun i paat ri Aki Kapuuno' napasauk ra limbowon am namingkal ra tana' ti.
GEN.10.4	Papag ri Jawan, iono mamagun ru Ilisa, Sipanyol, Siprus am Rodis. 
GEN.10.5	Ilo ti noyo kinamatuaan ru bansa' ondo' minayan ra igig ru nagas am giu' ra pulu'-pulu'. Ngaangai' nilo papag ri Japit. Moonong bansa' namagun ra pagun ru sigagama' am mokoondo' ra ragu nilo galama'.
GEN.10.6	Anak ungkuyon ri Gam iono i Kus, Misir, Libia am i Kanaan, ilo ti noyo kinamatuaan ru ulun ondo' nampakai ra inggalan nilo. 
GEN.10.7	Papag ri Kus, iono mamagun ru Siba, Gawila, Sabta, Raima am Sabtikga. Papag ri Raima iono mamagun ru Syiba am Didan. 
GEN.10.8	I Kus makaanak ungkuyon ininggalanan ri Nimrod ondo' nasauk ra ulun kasaa' mapanggol kaga' ra tana' ti. 
GEN.10.9	Nabaya' ra indangan ru 
GEN.10.10	Pamarintaan galing ri Nimrod nakaaya' Babil, Irik am Akad. Katatalu no ralalom ru pagun Babilonia. 
GEN.10.11	Intor ra pagun raginio, minongoi io ra Asyur am pambaal io ra bandar Niniwi, Rigobot-Ir, Kalag, 
GEN.10.12	am Risin ondo' nangkilolot ra Niniwi am Kalag ti rondo' bandar maayo.
GEN.10.13	Papag ri Misir iono mamagun ru Lidia, Anamim, Ligabim am Naptugim, 
GEN.10.14	Patrusim, Kaslugim am Kaptorim ondo' tauli no nasauk ra kinamatuaan ru bansa' ru Palistin.
GEN.10.15	Anak-anak ungkuyon ri Kanaan iono i Sidon ondo' anak katuaan am i Git kinamatuaan ru ulun ondo' namakai ra inggalan nilo. 
GEN.10.16	I Kanaan niayuk kinamatuaan ru ulun ru Jibusi, ulun ru Amori am ulun ru Girgasi, 
GEN.10.17	ulun ru Giwi, ulun ru Arki, ulun ru Sini, 
GEN.10.18	ulun ru Arwadi, ulun ru Simari am ulun ru Gamati. Bansa'-bansa' ru Kanaan siminayat ra masuang intok ra maalur, 
GEN.10.19	polos ra balitan ru pagun nilo am sayat poyo intor ra Sidon tampilon rabugus mongoi ra Girar saboi mamaar ra Gaja am tampilon sirangon mongoi ra Sodom, Gomora, Adma am Jiboim saboi mamaar ra Lasa. 
GEN.10.20	Ilo ngaangai' noyo papag ri Gam. Moonong bansa' namagun ra pagun ru sigagama' am mokoondo' ra ragu nilo galama'.
GEN.10.21	I Siim ti maayo ri Japit, iono kinamatuaan ru ngaangai' bansa' ru Ibrani. 
GEN.10.22	Anak-anak ungkuyon ri Siim iono i Ilam, Asyur, Arpaksad, Lud am i Aram, ilo ti noyo kinamatuaan ru ondo' namakai ra inggalan nilo. 
GEN.10.23	Papag ri Aram, iono mamagun ru Us, Gul, Gitir am Mas. 
GEN.10.24	I Arpaksad ama' ri Sila, am i Sila ama' ri Ibir. 
GEN.10.25	I Ibir makaanak ungkuyon ruo ngaulun; ondo' kasaa' ininggalanan ri Pilig
GEN.10.26	Papag ri Joktan mamagun ru Almodad, Silip, Gajar-Mawit, Jirag, 
GEN.10.27	Gadoram, Ujal, Dikla, 
GEN.10.28	Obal, Abimail, Syiba, 
GEN.10.29	Opir, Gawila am Jobab. Ilo ngaangai' ti papag ri Joktan. 
GEN.10.30	Libung inayanan nilai ti malangka' intor ra Misa saboi ra Sipar, iono libung kagunungan tampilon ra sirangon. 
GEN.10.31	Ilo ngaangai' noyo papag ri Siim. Moonong bansa' namagun ra pagun ru sigagama' am mokoondo' ra ragu nilo galama'.
GEN.10.32	Ngaangai' no papag ri Nuu, rondo'-rondo' bansa' sumugut ra papag nilo sigagama'. Kopongo rosob i, ngaangai' bansa' ru tana' ti intor ra papag ru anak-anak ungkuyon ri Nuu.
GEN.11.1	Paat ra talimpuun i, mamagun ra titikop ru tana' ti mokoondo' rondo' ayuk ragu am ilo magindagu ra rondo' ayuk sinulabit. 
GEN.11.2	Paat ilo minanding tampilon ra sirangon, nakatuum ilo ra tana' limayak ra Babilonia am pamagun ilo ra intok raginio. 
GEN.11.3	Magindagu ilo ra rondo' am bokon, “Ibok! Pambaal takau ra batu bata' am uboon takau saboi mokotog.” Ginio boo ra makabatu bata' ilo koson pambaal nilo ra baloi am tiir koson alapon ra pomolokot. 
GEN.11.4	Indagu ilo, “Raino pambaal takau ra bandar am manara ondo' makasuku' ra lingkatur ru limbowon maa' raginio itakau mauligan kaga' ru ulun am kalo makapantuliar ra titikop ru tana' ti.”
GEN.11.5	Tauli tuun boo 
GEN.11.6	Indagu 
GEN.11.7	Ibok tuun Takau am jojowo' ragu nilono maa' raginio kalo makapagarati' ilo ra rondo' am bokon.” 
GEN.11.8	Ginio noyo ra ilo pinantutuliar ru 
GEN.11.9	Bandar no ininggalanan ra Babil
GEN.11.10	Gitio noyo Papag ri Siim. Kopongo ruo ngambilor intor ra rosob i, paat umur ri Siim 100 ngambilor, makaanak ungkuyon io sangulun ininggalanan ri Arpaksad. 
GEN.11.11	Kopongo ragili, naayag io poyo buoi 500 ngambilor am makaanak poyo ra bokon.
GEN.11.12	Paat umur ri Arpaksad 35 ngambilor, makaanak ungkuyon io sangulun ininggalanan ri Sila. 
GEN.11.13	Kopongo ragili, naayag poyo i Arpaksad buoi 403 ngambilor am makaanak poyo ra bokon.
GEN.11.14	Paat umur ri Sila 30 ngambilor, makaanak ungkuyon io sangulun ininggalanan ri Ibir. 
GEN.11.15	Kopongo ragili, naayag poyo i Sila buoi 403 ngambilor am makaanak poyo ra bokon.
GEN.11.16	Paat umur ri Ibir 34 ngambilor, makaanak ungkuyon io sangulun ininggalanan ri Pilig. 
GEN.11.17	Kopongo ragili, naayag poyo i Ibir buoi 430 ngambilor am makaanak poyo ra bokon.
GEN.11.18	Paat umur ri Pilig 30 ngambilor, makaanak ungkuyon io sangulun ininggalanan ri Riyu. 
GEN.11.19	Kopongo ragili, naayag poyo i Pilig buoi 209 ngambilor am makaanak poyo ra bokon.
GEN.11.20	Paat umur ri Riyu 32 ngambilor, makaanak ungkuyon io sangulun ininggalanan ri Sirug. 
GEN.11.21	Kopongo ragili, naayag poyo i Riyu buoi 207 ngambilor am makaanak poyo ra bokon.
GEN.11.22	Paat umur ri Sirug 30 ngambilor, makaanak ungkuyon io sangulun ininggalanan ri Nagor. 
GEN.11.23	Kopongo ragili, naayag poyo i Sirug buoi 200 ngambilor am makaanak poyo ra bokon.
GEN.11.24	Paat umur ri Nagor 29 ngambilor, makaanak ungkuyon io sangulun ininggalanan ri Tirag. 
GEN.11.25	Kopongo ragili, naayag poyo i Nagor buoi 119 ngambilor am makaanak poyo ra bokon.
GEN.11.26	Paat umur ri Tirag 70 ngambilor, makaanak ungkuyon io talu ngaulun iono i Abram, Nagor am i Aran.
GEN.11.27	Gitio noyo papag ri Tirag: I Tirag ama' ri Abram, Nagor am i Aran. I Aran ama' ri Lot. 
GEN.11.28	Minatoi i Aran ra pamagunan nano galama' iono bandar Ur giu' ra Babilonia, paat ra ama' nano lakat ayuk poyo naayag. 
GEN.11.29	I Abram nanangandu' ri Sarai am i Nagor nanangandu' ri Milka, anak ruandu' ri Aran. Makaanak ungkuyon poyo i Aran ra bokon ininggalanan ri Jiska. 
GEN.11.30	I Sarai ti tabanang.
GEN.11.31	Nagibit i Tirag ra anak ungkuyon nano i Abram, akupu nano i Lot anak ri Aran am anak mangiwan ra ruandu' nano i Sarai, andu' ri Abram, nangiruan ra bandar Ur ru Babilonia, am ongoi ra pagun ru Kanaan. Kaa' pakasuku' ra Aran, pamagun ilo ra giu' no. 
GEN.11.32	Intok raginio pinatayan ri Tirag ra umur nano 205 ngambilor.
GEN.12.2	Mangani' Aku rirun ra papag ondo' masuang am masauk ilo ra bansa' maayo. Mambarakat Aku rirun am masauk boo inggalan muno ra mauligan kaga' saboi alapon kou mambarakat ra ulun bokon.
GEN.12.3	kaa' ulason Ku ilo ondo' magulas rirun.
GEN.12.3	Sabap ra okou no,
GEN.12.3	barakaton Ku ngaangai' bansa' ra tana' ti.”
GEN.12.4	Paat umur ri Abram 75 ngambilor, minugar io nangiruan ra Aran sumugut ra susuban ru 
GEN.12.5	Inibit ri Abram andu' nano i Sarai, akon nano i Lot, ngaangai' kuliamos am ulipon ondo' noowot nilo ra Aran am ongoi ilo ra pagun Kanaan.
GEN.12.5	Pakasuku' ilo ra pagun ru Kanaan, 
GEN.12.6	liputo' ri Abram tana' raginio saboi io nakasuku' ra puun matulai giu' ra Mori, iono intok sambayangan giu' ra Sikgim. (Paat raginio ulun ru pagun ru Kanaan lakat poyo minayan ra tana' raginio). 
GEN.12.7	Minintalang 
GEN.12.8	Io pana namparayus poyo ra pangkiralanan mongoi ra tampilon rabugus ra kabuluran tampilon sirangon ru bandar Bitil. Pangkim io boo ra lolot ru Bitil am bandar Ai. Bitil tampilon kalasaan am Ai tampilon sirangon. Giu' no niayuk nambaal i Abram ra altar am samba ra 
GEN.12.9	Rayusi' no poyo pangkiralanan nano intor ra rondo' intok mongoi ra rondo' intok sumunu' no sumuku' ra tampilon rabugus tana' ru Kanaan.
GEN.12.10	Kaa' giu' ra pagun ru Kanaan kulutong bitilan ra maaja' saboi mininjul poyo i Abram ra tampilon rabugus pagun ru Misir am mayan ra giu' saboi ra kalupusan ru bitilan. 
GEN.12.11	Paat ra ilo sumail ra balitan ru pagun ru Misir, indagu io ra andu' nano i Sarai, “Okou ti mantalur. 
GEN.12.12	Paat ra ulun ru Misir monontong rirun, maaru' mindagu ilo ra okou ti andu' ku. Maaru' potoyon nilo aku am polosoon kou maayag. 
GEN.12.13	Moonsoi poyo balain mu ilo ra okou ti boborok kuno; maa' raginio polosoon nilo aku maayag sabap ra okou am moonsoi pamakuan nilo raki'.” 
GEN.12.14	Paat ri Abram nansail ra balitan ru pagun ru Misir, ulun ru Misir nakakito ra mantalur kaga' i Sarai. 
GEN.12.15	Nakito i Sarai ru kukula' ngaulun pagawai ru istana, am pambala' ra raja' ra kinantalur ru ruandu' no; ginio ra ibito' nilo i Sarai ra istana ru raja'. 
GEN.12.16	Sabap ri Sarai, moonsoi kaga' pamakuan ru raja' no ri Abram saboi inanian io ra ulipon, domba, kambing, sapi', kaladai am unta.
GEN.12.17	Kaa' sabap ra binundus ru raja' i Sarai, porotongo' boo ru 
GEN.12.18	Ginio ra piawo' ru raja' i Abram am pangkuot io riso, “Atan kia binaal muno raki'? Kua kalo nambala' kou raki' ra ruandu' no andu' muno? 
GEN.12.19	Kua indagu kou ra io boborok muno am pinoloso mu io inandu' ku? Noo', gitio andu' mutu! Alapo' io noyo am ugar kano!” 
GEN.12.20	Panusub raja' ra ulun-ulun nano, paugaro' nilo boo i Abram intor ra pagun ru Misir no mabaya' ra andu' nano am ngaangai' longgom nano.
GEN.13.1	Iruani' ri Abram Misir am ongoi tampilon ralayo, sumuku' ra tampilon rabugus pagun ru Kanaan nabaya' ra andu' nano, ngaangai' longgom nano am minaya' niayuk i Lot riso. 
GEN.13.2	I Abram ti sangulun langkaya' kaga'. Mokoondo' io ra domba, kambing, sapi', pirok am niayuk mas. 
GEN.13.3	Io pana nangiruan ra intok raginio am ongoi ra rondo' intok ra bokon sumuku' ra Bitil. Nakasaboi io ra libung lolot ru Bitil am Ai, intok nangkiman nano ragili, 
GEN.13.4	am nambaalan nano ra altar. Ginio noyo intok nano siminamba ra 
GEN.13.5	I Lot pana mokoondo' ra sasambaloi galama', ulipon, domba, kambing am sapi'. 
GEN.13.6	Ginio ra kalo sumama' ilo ra tana' limayak raginio amon ru masimpung ilo, sabap ra makatinambiag ilo ra masuang kaga'. 
GEN.13.7	Kasauk boo pansasangaran ru magagalung ra domba ri Abram am magagalung ra domba ri Lot. (Paat raginio ulun ru Kanaan am ulun ru Piris lakat poyo mayan ra tana' raginio).
GEN.13.8	Indagu i Abram ri Lot, “Ito ti mabukat, kalo moonsoi amon ru mansasangor ulun-ulun muno am ulun-ulun kuno. 
GEN.13.9	Ginio poyo moonsoi pantuliar to. Pilio' noyo ati paatan ondo' kasagaan muno ra tana' ragitio. Amon ru mongoi kou tampilon ragiti, mongoi aku tampilon ra bokon.”
GEN.13.11	Pupus no nampili' i Lot ra ngaangai' limayak Jordan koson ra io galama' tatangan am ongoi io boo tampilon ra sirangon. Ginio noyo baal nilo ruo nantuliar. 
GEN.13.12	Pamagun i Abram ra pagun ru Kanaan am i Lot minayan ra lolot ru bandar-bandar giu' ra limayak no am pangkim mamaar ra Sodom. 
GEN.13.13	Giu' ra bandar Sodom no inayanan ru ulun ondo' mangalaat kaga' am makatula ra 
GEN.13.14	Pakaugar i Lot, indagu 
GEN.13.15	Pataakon Ku rirun am papag muno ngaangai' tana' ra nakito muno. Masauk ginio ra okou tatangan ra sabubuoi no. 
GEN.13.16	Manaak Aku rirun ra papag ondo' masuang kaga', saboi kolondo' sangulun pana makauntob risilo. Makauntob poyo ulun ra kaau ru tana' ti, makauntob io niayuk ra suang ru papag muno. 
GEN.13.17	Raino, ongoyo' liputo' titikop intok ra tana' ragitio sabap ra pataakon Ku noyo ngaangai' rirun.” 
GEN.13.18	Ginio ra pabandingo' ri Abram kim nano am pamagun io mamaar ra puun-puun matulai giu' ra Mamri maar ra Gibron. Giu' no nambaalan nano ra altar ru 
GEN.14.1+GEN.14.2	Mokoondo' apat ngaulun raja', iono: Raja' Amrapil intor ra Babilonia, Raja' Ariok intor ra Ilasar, Raja' Kidorlaomir intor ra Ilam am Raja' Tidial intor ra Goyim nangayou ra limo ngaulun raja' ra bokon, iono: Raja' Bira intor ra Sodom, Raja' Birsya intor ra Gomora, Raja' Syinab intor ra Adma, Raja' Simibir intor ra Jiboim am raja' intor ra Bila ondo' sabiton niayuk ra Joar. 
GEN.14.3	Kalilimo ngaulun raja' no nantutuluk am pinasimpung nilo saujor nilai giu' ra Limayak Sidim, ondo' raino sabiton ra Raat Matoi. 
GEN.14.4	Mopor am ruo ngambilor buoi nilo kinuasa' ru Raja' Kidorlaomir kaa' ralalom bilor koopor am talu, minanggal ilo riso. 
GEN.14.5	Ralalom bilor koopor am apat, Raja' Kidorlaomir am pantutuluk nano minatong nababaya' ra saujor nilai am kinala nilo ulun ru Ripaim ra Asytirot-Karnaim, ulun ru Jujim ra Gam, ulun ru Imim ra Syawi-Kiryataim, 
GEN.14.6	am ulun ru Gori ra kagunungan Idom am nangilou risilo saboi ra galur ru Il-Paran giu' ra igig ru tana' kaagisan. 
GEN.14.7	Kopongo raginio saguli' boo ulun-ulun nangilou no am uli' ra Kadis (ondo' paat ragili kauligan kaga' ra In-Mispat), naalap nilo ngaangai' tana' ru ulun ru Amalik am nangala ra ulun ru Amori ondo' minayan ra Gajajon-Tamar.
GEN.14.8	Kopongo raginio raja' ondo' intor ra Sodom, Gomora, Adma, Jiboim am Bila napatampos ra suang ru saujor nilo ra Limayak Sidim, 
GEN.14.9	mangayou ra raja' ondo' intor ra Ilam, Goyim, Babilonia am Ilasar, limo ngaulun raja' mangayou ra apat ngaulun raja'. 
GEN.14.10	Limayak raginio nototop ra tulubong makatiir am paat ra raja' Sodom am Gomora nagiru' intor ra pangayawan no, nangaratu' ilo ra tulubong-tulubong no. Talu ngaulun raja' ra bokon no nakapagiru' giu' ra kagunungan. 
GEN.14.11	Apat ngaulun raja' ondo' nangamanang nangalap ra ngaangai' no giu' ra Sodom am Gomora am nakaaya' akanon am ilo pana minugar. 
GEN.14.12	I Lot akon ri Abram minayan ra Sodom, io pana pinaaya' ibito' nababaya' ra ngaangai' kuliamos nano.
GEN.14.13	Kaa' sangulun ondo' nakapagiru' am minongoi pambala' ra ngaangai' no ri Abram, ulun ru Ibrani no. Minayan i Abram maar ra puun-puun matulai, longgom ri Mamri ulun ru Amori. I Mamri am pabukat-pabukat ungkuyon nano, i Iskol am i Anir rangan pagamung ri Abram. 
GEN.14.14	Pakaining ri Abram ra rinakop akon nano i Lot, timungo' no ngaangai' ulun mapandai mangayou ralalom ru kim nano suang 318 ngaulun am sunuo' nilo kaapat ngaulun raja' no saboi ra bandar Dan. 
GEN.14.15	Giu' no tinayar ri Abram ulun-ulun nano ra kukula' ngantayaran am ongoyo' bulunsaro' paat ra rondom am kinala nilo. Inilou no ilo polos ra Goba tampilon ralayo ru bandar Damsyik. 
GEN.14.16	Naalap saguli' ri Abram ngaangai' kuliamos ondo' inalap nilo am niayuk i Lot, ruandu'-ruandu' am ulun-ulun ondo' rinakop ra bokon.
GEN.14.17	Kopongo i Abram nangala ra Raja' Kidorlaomir am pantutuluk nano, saguli' io. Uma' boo raja' Sodom ri Abram giu' ra Limayak Syawi ondo' sabiton niayuk ra Limayak Raja'. 
GEN.14.18	Raja' Milkisidik raja' ru Salim am niayuk imam ri Aki Kapuuno' Ondo' Masawat Kaga' no, nagibit ra ruti' am wain koson pataakon ri Abram. 
GEN.14.19	Nambarakat io ri Abram, kono, “Gama' ru i Aki Kapuuno' Ondo' Masawat Kaga' no, ondo' napasauk ra limbowon am tana' ti mambarakat ri Abram! 
GEN.14.20	Koompor noyo i Aki Kapuuno' Ondo' Masawat Kaga' no, ondo' nanaak rirun ra kamanangan intor ra pantula'-pantula' muno.” Tayari' boo ri Abram i Milkisidik sampiopor intor ra ngaangai' kuliamos ra inalap am inibit nali saguli'.
GEN.14.21	Indagu Raja' Sodom ri Abram, “Alapo' kuliamos inalap no kaa' parulio' raki' ngaangai' ulun kuno.”
GEN.14.22	Taam i Abram, “Magibot aku ra saang ru 
GEN.14.23	ra kalo mangalap aku rondo' pana raki' ra longgom muno, gino ayuk nai am ra santiis gantian kapoam kakaput ru kasut pana kalo. Koon raginio kalo boo makaindagu kou, ‘Aku no napalangkaya' ri Abram.’ 
GEN.14.24	Kalo mangalap aku ra atan pana koson luntukin ku. Ondo' ayuk apuon ku iono atan ondo' pinakai ru ulun-ulun kuno. Kaa' polosoo' noyo rangan pantutuluk kuno koson ri Anir, i Iskol am i Mamri mangalap ra tayar nilo.”
GEN.15.1	Kopongo raginio, nakakito i Abram ra minintalang am nakaining ra ragu ru 
GEN.15.2	Kaa' taam i Abram, “Iou 
GEN.15.3	Kalo nanaak Kou raki' ra anak, ginio ra sangulun intor ra ulipon kuno manungkus ra rapu' kutu.”
GEN.15.4	Naining poyo ri Abram ragu ru 
GEN.15.5	Ibito' ru 
GEN.15.7	Indagu boo 
GEN.15.8	Kaa' pangkuot i Abram, “Iou 
GEN.15.9	Taam 
GEN.15.10	Ibito' boo ri Abram ngaangai' bibiag no ri Aki Kapuuno', moonong bibiag no tinata' no piruoo'. Pinantaluma' ri Abram banta' ra tinata' no ra ruo ngatinting, kaa' ruo ngainan ra susuit i binainan no. 
GEN.15.11	Arapin ru kanui kual no, kaa' ongoyon anjawo' ri Abram.
GEN.15.13	Indagu 
GEN.15.14	Kaa' ukumin Ku mamagun ondo' mangulipon risilo, am paat ilo mangiruan ra pagun raginio, magibit ilo ra masuang kaga' kuliamos. 
GEN.15.15	Okou galama' maayag polos ra umur muno matutuo toojo, matoi kou ra maandai am lobongon. 
GEN.15.16	Masuku' papag kaapat muno, sumaguli' ilo ragiti sabap kalo paugaron Ku ulun ru Amori ra ilo kalo poyo lumaat kaga' saboi ilo ukumin.”
GEN.15.17	Pokotolop mato ru orou am molondom noyo, pulali' ru rapuan makabaa ondo' makalisun am pilasut napaangan nansail ra lolot ru tinata' ra kual no. 
GEN.15.18	Paat raginio niayuk nambaal 
GEN.15.19	makaaya' tana' ru ulun ru Kini, ulun ru Kinas, ulun ru Kadmon, 
GEN.15.20	ulun ru Git, ulun ru Piris, ulun ru Ripaim, 
GEN.15.21	ulun ru Amori, ulun ru Kanaan, ulun ru Girgasi am ulun ru Jibusi.”
GEN.16.1	I Sarai andu' ri Abram ti lakat poyo kolondo' anak. Kaa' i Sarai makaulipon intor ra Misir, sangulun ralaa inggalan no i Agar. 
GEN.16.2	Indagu i Sarai ri Abram, “Kalo noyo lair paganakon aku ru 
GEN.16.3	Ginio ra pataako' ri Sarai i Agar no ri Abram. Paat raginio mopor ngambilor noyo buoi ri Abram namagun ra pagun ru Kanaan. 
GEN.16.4	Rinulug boo ri Abram i Agar am kaapang io. Kalimani' ri Agar ra maapang io noyo, liminimbau io boo am magasab ri Sarai.
GEN.16.5	Indagu boo i Sarai ri Abram, “Ginio sala muno
GEN.16.6	Taam i Abram, “Ba iou, io ulipon muno am makakuasa' kou poyo riso. Okou ra guang mambaal ra atan ayuk pamakuan muno riso.” Imboloo' boo ri Sarai i Agar ra najanjayan saboi nagiru'.
GEN.16.7	Malaikat ru 
GEN.16.8	Indagu malaikat no, “Agar, ulipon ri Sarai, ati intor muno am ati angayan muno?”
GEN.16.8	Taam i Agar, “Nagiru' aku intor ri Sarai, nangulipon raki' no.”
GEN.16.9	Indagu malaikat no, “Ruli' no riso am sauk noyo ra ulipon nano.” 
GEN.16.10	Indagu poyo malaikat no, “Aniin tokou ra papag masuang saboi kolondo' sangulun pana makauntob risilo. 
GEN.16.11	Kalo boo mabuoi maganak kou ra sangulun anak ungkuyon ondo' inggalanin mu ri Ismail
GEN.16.12	Kaa' anak muno maayag koson ra kaladai masigo, manggal io ra osoi ayuk am manggal osoi ayuk riso. Mayan io ra maalur intor ra ngaangai' pabukat nano.”
GEN.16.13	Magikuot i Agar ra guang nano, “Motopot kia nakakito aku ri Aki Kapuuno' am kalo minatoi?” Ginio ra sabito' no 
GEN.16.14	Ginio ra ulun manginggalan ra tulubong ondo' lolot ru Kadis am Birid, “Tulubong ru Io Ondo' Maayag Ondo' Magilong Raki'”.
GEN.16.16	Paat raginio umur ri Abram balu' ngoopor am onom ngambilor.
GEN.17.1	Paat umur ri Abram siam ngoopor am siam ngambilor, minintalang 
GEN.17.2	Mabantu' Aku rirun am manaak rirun ra papag ra masuang.” 
GEN.17.3	Igulatur i Abram am indagu boo i Aki Kapuuno', 
GEN.17.4	“Gitio noyo bantu' Kutu rirun: Bantu' Kuno ra okou masauk ra kinamatuaan ru masuang bansa'. 
GEN.17.5	Ginio ra inggalan muno sala' boo ka i Abram kaa' i Abragam
GEN.17.6	Aku pana manaak rirun ra masuang papag am mokoondo' intor risilo no masauk ra raja'. Okou makapapag ra masuang toojo saboi ilo ti masauk ra bansa'-bansa'.
GEN.17.8	Manaak Aku rirun am papag muno ra tana' ragitio, intok inayanan muno raino ti koson ra ulun bansa' ru bokon. Titikop tana' ru Kanaan masauk ra longgom ru papag muno ra sabubuoi no am Aku masauk ri Aki Kapuuno' nilo.”
GEN.17.9	Indagu poyo i Aki Kapuuno' ri Abragam, “Musiti' okou niayuk gumagaya' ra bantu' no, okou am niayuk papag muno mansusugul. 
GEN.17.10	Okou am moonong ungkuyon ru papag muno musiti' sunatin. 
GEN.17.11+GEN.17.12	Intor raino musiti' mu sunatin moonong anak ungkuyon ondo' makaumur balu' ngoorou, makaaya' ulipon ondo' inanak ra baloi muno kapoam ulipon ondo' binali intor ra bansa' ru bokon. Sunat no masauk ra tatandu' ru nabantuan Kuno rirun. 
GEN.17.13	Ginio ra musiti' moonong ungkuyon sunatin am sunat ti masauk ra tatandu' ru inan ondo' mapakito ra nabantuan Kuno rirun mantilayun. 
GEN.17.14	Moonong ungkuyon ondo' kalo sinunatan, kalo masauk io ra ulun Kuno sabap kalo ginagaya' no nabantuan Kuno.”
GEN.17.15	Indagu boo i Aki Kapuuno' ri Abragam, “Pai' boo sabito' andu' muno ri Sarai, intor raino inggalan nano i Sara. 
GEN.17.16	Barakaton Ku io am maganak io ra sangulun anak ungkuyon ondo' taakin Ku rirun. Barakaton Ku i Sara
GEN.17.17	Igulatur boo i Abragam, kaa' masuatan io paat mangkara' ra, “Kalo noyo lair sangulun ungkuyon ondo' makaumur maatus ngambilor makaanak poyo? Kalo noyo lair maganak i Sara ra kinatuo nano ra siam ngoopor ngambilor?” 
GEN.17.18	Ginio ra indagu io ri Aki Kapuuno', “Moonsoi poyo i Ismail no ayuk pana manungkus raki'.”
GEN.17.19	Kaa' indagu i Aki Kapuuno', “Kalo, andu' muno i Sara maganak ra sangulun anak ungkuyon am inggalanin mu ri Isak.
GEN.17.20	Kaa' nangiou Aku noyo ra pakiasian muno ra tayar ri Ismail. Sabap raginio barakaton Ku am aniin Ku io ra papag ra masuang. Masauk Io ra kinamatuaan ru mopor am ruo ngaulun raja' am papag nano saukon Ku ra rondo' bansa' ondo' maayo kaga'. 
GEN.17.21	Kaa' suguton Ku bantu' Kuno ri Isak anak ungkuyon muno ondo' anakon ri Sara ra sambilaran olo'-olo' koson paat ragitio.” 
GEN.17.22	Karagu ri Aki Kapuuno' ginio ri Abragam, iruani' No io.
GEN.17.23	Paat orou raginio niayuk, ginagaya' ri Abragam i Aki Kapuuno' am sunati' no i Ismail anak nano, ngaangai' ungkuyon ru baloi nano am nakaaya' ulipon ondo' inanak ra baloi nano am niayuk ondo' binali nano. 
