MAT.1_1.1	לפניכם ספר קורות חייו של ישוע המשיח, אשר מוצאו מיוחס לדוד המלך ולאברהם אבינו:
MAT.8_1.7	”כן“, השיב ישוע. ”אבוא לרפא אותו.“
MAT.8_1.8	”אדוני“ אמר הקצין, ”אני לא ראוי שתבוא אל ביתי, וגם אין צורך בכך. רק צווה שמשרתי יירפא, והוא יירפא. 
MAT.8_1.9	כיצד אני יכול להיות בטוח בכך? הרי אני איש צבא ורגיל לקבל פקודות מהממונים עלי, ואף לתת פקודות לחיילים תחת פיקודי. אם אני אומר לחייל אחד: ’לך‘, הוא הולך. אם אני אומר לחייל אחר ’בוא‘, הוא בא. ואם אני אומר למשרתי: ’עשה עבודה זאת או אחרת‘, הוא עושה אותה.“
MAT.8_1.10	דברי הקצין הפליאו את ישוע. הוא פנה אל הקהל ואמר: ”בכל ישראל לא ראיתי אמונה גדולה כזאת! 
MAT.8_1.11	אני אומר לכם שגויים רבים, כמו הקצין הזה, יבואו מכל העולם וישבו במלכות השמים יחד עם אברהם, יצחק ויעקב. 
MAT.8_1.12	ורבים – שלמענם הוכנה המלכות – יגורשו לחושך, למקום של בכי וייסורים.“
MAT.8_1.13	לאחר מכן אמר ישוע לקצין הרומאי: ”לך עתה לביתך; הדבר שהאמנת בו נעשה!“ ובאותה שעה נרפא המשרת.
MAT.8_1.14	כשבא ישוע לביתו של שמעון, ראה את חמותו של שמעון שוכבת במיטתה וקודחת מחום. 
MAT.8_1.15	ישוע נגע בידה, ומיד ירד החום. היא קמה ממיטתה והכינה להם אוכל.
MAT.8_1.16	באותו ערב הובאו אל ישוע מספר אנשים אחוזי־שדים. במילה אחת מפיו של ישוע ברחו כל השדים, והחולים נרפאו. 
MAT.8_1.17	מעשה זה הגשים את נבואת ישעיהו:
MAT.8_1.18	כשראה ישוע את הקהל הרב שהתאסף סביבו, הורה לתלמידיו להתכונן לעבור לצד השני של הכינרת.
MAT.8_1.19	באותו זמן ניגש אליו איש דת אחד ואמר: ”רבי, לכל מקום שתלך, אלך אחריך!“
MAT.8_1.20	אולם ישוע ענה לו: ”השועלים מתגוררים במחילות האדמה, ולציפורים יש קנים. אולם לבן־האדם אין מקום להניח את ראשו.“
MAT.8_1.21	תלמיד אחר אמר לישוע: ”אדוני, הרשה לי קודם לקבור את אבי ואחר כך אלך אחריך.“
MAT.8_1.22	אולם ישוע ענה לו: ”לך אחרי עכשיו! והנח למתים (מבחינה רוחנית) לדאוג למתים שלהם.“
MAT.8_1.23	לאחר מכן נכנסו ישוע ותלמידיו לסירה והחלו לשוט אל הצד השני של הכינרת. 
MAT.8_1.24	לפתע התחוללה סערה נוראה, והגלים הגבוהים הציפו את הסירה. ואילו ישוע ישן. 
MAT.8_1.25	התלמידים ניגשו אל ישוע והעירו אותו בבהלה: ”אדוננו, הצל אותנו! אנחנו טובעים!“
MAT.8_1.26	אולם ישוע ענה: ”חסרי־אמונה שכמוכם! מדוע אתם פוחדים כל־כך?“ הוא קם ונזף ברוח, ופקד על הים להירגע. מיד פסקה הסערה; הרוח שקטה והים נרגע. 
MAT.8_1.27	התלמידים הנדהמים שאלו זה את זה: ”מיהו האיש הזה שאפילו הרוח והים נשמעים לו?“
MAT.8_1.28	בהגיעם אל ארץ הגדריים, באו לקראתם שני אנשים אחוזי־שדים. השניים התגוררו בבית־הקברות והיו מסוכנים כל כך, עד שאיש לא העז לעבור באזור ההוא.
MAT.8_1.29	השניים צעקו אל ישוע: ”מה אתה רוצה מאתנו, בן־האלוהים? אסור לך עדיין לייסר אותנו!“
MAT.8_1.30	במרחק מה משם רעה עדר חזירים, 
MAT.8_1.31	והשדים ביקשו: ”אם אתה מגרש אותנו, שלח אותנו לפחות אל תוך החזירים האלה.“
MAT.8_1.32	ישוע הסכים, וציווה עליהם: ”הסתלקו!“ השדים יצאו מהאנשים ונכנסו בחזירים, ואלה דהרו מיד במדרון ההר ישר אל תוך הים, וטבעו. 
MAT.8_1.33	הרועים ברחו אל העיר הקרובה וסיפרו על מה שקרה, 
MAT.8_1.34	וכל אנשי העיר יצאו מיד לראות את ישוע, וביקשו ממנו לעזוב את האזור ולא להטריד אותם.
MAT.9_1.1	ישוע חזר לסירה, חצה את האגם ושב לכפר־נחום עיר מגוריו. 
MAT.9_1.2	מספר אנשים הביאו אליו בחור משותק על אלונקה. כשראה ישוע את אמונתם, אמר לבחור: ”התעודד, בני, כי נסלחו לך חטאיך!“
MAT.9_1.3	”איש זה מגדף!“ אמרו בלבם מספר סופרים. (כי מי מלבד אלוהים יכול לסלוח חטאים?)
MAT.9_1.4	ישוע ידע את מחשבותיהם, ולכן שאל אותם: ”מדוע אתם חושבים מחשבות רעות? 
MAT.9_1.5+MAT.9_1.6	לבן האדם, יש סמכות לסלוח על חטאים, אך מכיוון שכל אחד יכול לומר דברים סתם, אז אפגין לכם את סמכותי.“ הוא פנה אל הנער המשותק ואמר לו ”קום! קפל את האלונקה שלך ולך הביתה!“
MAT.9_1.7	הבחור קפץ על רגליו לנגד עיניהם, והלך לביתו.
MAT.9_1.8	פחד אחז את הנוכחים, והם הודו לה׳ ושיבחו אותו על שנתן כוח כזה לבני־אדם. 
MAT.9_1.9	כשישוע הלך משם הוא ראה בבית־המכס את גובה המכס, מתתיהו. ”בוא והיה תלמיד שלי“, אמר לו ישוע. מתתיהו קם, עזב את הכול מאחוריו והלך אחרי ישוע.
MAT.9_1.10	בערב כשאכלו ישוע ותלמידיו בביתו של מתתיהו, הצטרפו אליהם מוכסים וחוטאים אחרים.
MAT.9_1.11	הפרושים כעסו מאוד ואמרו לתלמידיו: ”מדוע הרב שלכם אוכל בחברת החוטאים האלה?“
MAT.9_1.12	ישוע השיב להם: ”אנשים בריאים אינם זקוקים לרופא; אלא שהחולים זקוקים לרופא!“ השיב להם ישוע, 
MAT.9_1.13	והוסיף: ”עתה לכו ולימדו את משמעות הפסוק:
MAT.9_1.14	יום אחד באו תלמידי יוחנן אל ישוע ושאלו: ”מדוע תלמידיך אינם צמים כמונו וכמו הפרושים?“
MAT.9_1.15	”האם יכולים ידידי החתן להתאבל ולצום בזמן שהוא נמצא אתם?“ השיב להם ישוע בשאלה. ”אולם יבוא יום שהחתן יילקח מהם, ואז הם יצומו.“
MAT.9_1.16	”מי תופר טלאי מבד חדש על בגד ישן? הרי הטלאי מהבגד החדש יינתק ויגדיל את החור בבגד! 
MAT.9_1.17	ומי ממלא יין חדש בחביות רקובות? הרי היין יבקע את החביות ויישפך החוצה! יין חדש יש לשמור בחביות חדשות. כך יישמרו היין והחביות.“
MAT.9_1.18	בשעה שישוע דיבר בא אליו הרב של בית־הכנסת המקומי והשתחווה לפניו. ”בתי הקטנה מתה ממש עכשיו,“ אמר הרב, ”אולם אתה תוכל להחיות אותה, אם רק תבוא ותיגע בה.“ 
MAT.9_1.19	ישוע קם והלך אחרי הרב, ותלמידיו הצטרפו אליו.
MAT.9_1.20	בקרב הקהל שהלך אחריהם הייתה אישה שסבלה משטף דם מתמיד במשך שתים־עשרה שנה. היא עמדה מאחורי ישוע ונגעה בקצה מעילו, 
MAT.9_1.21	מפני שחשבה: ”אם רק אגע בבגדו, ארפא!“ 
MAT.9_1.22	ישוע פנה לאחור ואמר לאישה: ”התעודדי בתי, אמונתֵך ריפאה אותך.“ ובאותו רגע היא נרפאה.
MAT.9_1.23	ישוע הגיע לבית הרב וראה את המתאבלים שבכו וקוננו קינות. 
MAT.9_1.24	”לכו מכאן כולכם!“ קרא ישוע. ”הילדה לא מתה; היא רק ישנה!“ אולם כולם צחקו לו.
MAT.9_1.25	ברגע שיצאו האנשים נכנס ישוע לחדר הילדה, אחז בידה, והיא קפצה ממיטתה בריאה לגמרי. 
MAT.9_1.26	השמועה על הנס הנפלא הזה התפשטה בכל האזור.
MAT.9_1.27	כשעזב ישוע את בית הרב, הלכו בעקבותיו שני עיוורים וצעקו: ”בן דוד, רחם עלינו!“
MAT.9_1.28	שני העיוורים נכנסו אל הבית שבו התארח ישוע, והוא שאל אותם: ”האם אתם מאמינים שאני יכול להשיב לכם את ראייתכם?“
MAT.9_1.28	”כן, אדון,“ ענו השניים, ”אנחנו מאמינים.“
MAT.9_1.29	ישוע נגע בעיניהם ואמר: ”משום שהאמנתם, תירפאו.“ 
MAT.9_1.30	לפתע יכלו השניים לראות. ישוע הזהיר אותם שלא יספרו על כך לאיש, 
MAT.9_1.31	אולם השניים לא שמעו בקולו ופרסמו את דבר הנס בכל הארץ.
MAT.9_1.32	כשעזב ישוע את המקום הוא פגש אדם אילם שהיה אחוז שד. 
MAT.9_1.33	ישוע גירש את השד, והאיש החל לדבר. ההמונים נדהמו וקראו: ”מעולם לא נראו דברים כאלה בישראל!“
MAT.9_1.34	אולם הפרושים אמרו: ”אין פלא שהוא יכול לגרש שדים, הרי הוא מקבל את כוחו משר השדים!“
MAT.9_1.35	ישוע עבר בכל הערים והכפרים שבאזור, כשהוא מלמד בבתי־הכנסת ומבשר את החדשות הטובות על מלכות השמים. בכל מקום שבו ישוע ביקר הוא ריפא את האנשים מכל מיני מחלות. 
MAT.9_1.36	הוא ריחם על כל האנשים שלא ידעו מה לעשות ולאן לפנות. הם היו כמו כבשים תועות בלי רועה.
MAT.9_1.37	”הקציר כה רב אך הפועלים כה מעטים!“ אמר ישוע לתלמידיו. 
MAT.9_1.38	”התפללו ובקשו מהאחראי על הקציר שידריך ויכשיר לעבודה פועלים רבים יותר!“
MAT.10_1.1	ישוע קרא אליו את שנים־עשר תלמידיו ונתן להם כוח לגרש רוחות רעות ולרפא כל מיני מחלות.
MAT.10_1.2	אלה שמותיהם של שנים־עשר התלמידים: שמעון (הנקרא גם פטרוס), ‎אַנְדְּרֵי (אחיו של שמעון), יעקב (בנו של זבדי), יוחנן (אחיו של יעקב), 
MAT.10_1.3	פיליפוס, בר־תלמי, תומא, מתתיהו (גובה המכס), יעקב (בן־חלפי), תדי, 
MAT.10_1.4	שמעון (מחבורת ”הקנאים“), ויהודה איש קריות (זה שהסגיר את ישוע).
MAT.10_1.5	ישוע נתן להם את ההוראות הבאות: ”אל תלכו אל הגויים או אל השומרונים, 
MAT.10_1.6	כי אם אל הצאן התועה של עם ישראל בלבד. 
MAT.10_1.7	לכו וספרו להם שמלכות השמים קרובה. 
MAT.10_1.8	רפאו את החולים, הקימו את המתים לתחייה, רפאו את המצורעים וגרשו את השדים. אתם קיבלתם הכול חינם אין כסף, לכן אל תדרשו תמורה בעד שירותכם!
MAT.10_1.9	”אל תיקחו איתכם זהב, כסף או נחושת. 
MAT.10_1.10	אל תיקחו תרמיל עם בגדים להחלפה, לא נעלים ואף לא מקל הליכה. האנשים שתעזרו להם ידאגו לכם ויטפלו בכם. 
MAT.10_1.11	בבואכם לעיר או לכפר, חפשו שם בן אדם טוב והישארו בביתו עד שיגיע הזמן ללכת לעיר אחרת. 
MAT.10_1.12	כשתכנסו אל הבית, קודם כל ברכו אותו בשלום. 
MAT.10_1.13	אם זהו ביתם של אנשים טובים, הברכה תתקיים; ואם אין אלה אנשים טובים, הברכה תשוב אליכם. 
MAT.10_1.14	בכל עיר או בית שבהם לא יקבלו אתכם, נערו את אבק המקום מעל רגליכם ולכו לדרככם. 
MAT.10_1.15	אני אומר לכם: אף לסדום ועמורה יהיה קל יותר ביום־הדין מאשר לערים אלה.
MAT.10_1.16	”אני שולח אתכם כמו כבשים בין זאבים. לכן היו ערמומיים כנחשים ותמימים כיונים. 
MAT.10_1.17	אולם היזהרו! כי עלולים לאסור ולשפוט אתכם ולהלקות אתכם בשוטים בבתי־הכנסת. 
MAT.10_1.18	כן, יהיה עליכם להישפט לפני מלכים ומושלים בגללי, אולם זאת תהיה לכם הזדמנות לספר להם ולעולם כולו על אודותיי.
MAT.10_1.19	”כשיאסרו אתכם, אל תדאגו למה שתגידו במשפט, כי אני אשים בפיכם את המילים הנכונות בזמן הנכון, 
MAT.10_1.20	וכך לא אתם תדברו, כי אם רוח אביכם שבשמים ידבר בפיכם.
