MRK.1.1	Weni na Yesu Keriso, Meimeituwa natuna, Varana Beibeina ikarei.
MRK.15.47	Meri Magadalin ma Meri, Josepa ina maduwa, ikitai Yesu tupuwina ma iterei.
MRK.16.1	Sabati ikovi ma murinai, Meri Magadalin, Meri Jems ina maduwa ma Salome bunama ghabughabusi igimara da Yesu tupuwina iti monaghi.
MRK.16.2	Sande boiboghi nubanuba nai muriyai da yabodiri ita ghetawa yei, inae ku guba. 
MRK.16.3	Ine nae ketaki yai ma tousimani ivivi kidaguwana, “Iyai guba kana nenerui wakimina ina tabira tawayena vereta?” 
MRK.16.4	Bade itapae ita kita da wakima ghamanakina guba kana neneru wai, namada itabira tawayei. 
MRK.16.5	Vagheina ma ku guba inerui, ma koroto yaraga yoghoyoghona ku kataiya imakemake na ikitai, gara ghavoghavorina ikotei. Ma nuwanuwasi ikara yaguri, 
MRK.16.6	ma ivavo kurisi “Nuwanuwami iya ina karayaguri! Asakovi Yesu koto Nasaret ko negwanegwai, itututani na touna iya weni — ivomeiri meme! Ma iterei na wasana weni, ko kitai. 
MRK.16.7	Karaweni ko nae ma weni varana ina touvotaghotagho kona ki veresi, ma Pita meiteni, ‘Touna ini nau ku Galili, ma nani dobunai kona kitai, kununa ikikimi na nuke.’” 
MRK.16.8	Vagheina ma ere yabumanisi ma ere kirorosi ine kasibau ma guba ivuru kuyowei. Ma, iyabumana kubina iya rava sago ita kiya avai koroto yaragina ikikisi na nuke.
MRK.16.9	Sande boiboghinai Yesu siraghe yai ivo meiri murinai, iruseghana yaghina Meri Magadalin kurina. (Kununa kanuma berosi asi vi meikovi ma kumaneva ruwa gwabinai ivi kasibunisi.) 
MRK.16.10	Avai ikitai na inae ma ina dam sausau yawayawara yavuyavu na ivi seghesi. Tousi na imogumogu ma iruru matadoga. 
MRK.16.11	Ma maranai Meri ikisi, “Yesu siraghe yai ivo meiri meme, akitai.” Ina sisiya iya ita tumetumei.
MRK.16.12	Weni berana murinai, Yesu iru seghana touvotaghotagho asi viruwa kurisi na kana kita bogai, maranai iyawara ku meyagi yoghoyogho ikasikasibau. 
MRK.16.13	Avai ikitai na ivovira asi rava ivi seghesi, bade asi sisiya iya ita tumetumei.
MRK.16.14	Ma touna murinai, asi vi 11 ikamkam maranai ma Yesu iru seghana. Ivo meira kurisi, asi nota soruwana ma asi nuwa bagibagi kubina, “Mike da rava namada ikitaku ma ivi seghemi da siraghe yai avomeira meme, avikubina asi sisiya iya kota tumetumei?” 
MRK.16.15	Ma ikisi bo, “Ko kasibau kona nae dobu tupana yavu ma varaku beibeina kona dimei rava yavu kurisi. 
MRK.16.16	Ma rava iyai ina tumetumeku ma ina towasamagha na ina yawasa, ma rava iyai iya ina tumetumeku na kovoghina ina veiya. 
MRK.16.17	Rava itumetumeku na aniba maragata kirakinisi ina berasi, kanuma berosi kaku wavai rava gwabisiyai ini kasibunisi ma pona viruwai ini sisiya. 
MRK.16.18	Mike da mota ina veiya, bo gegura berosi inumai na iya ina siraghe. Imasi rava gubagubagisi ku tepasi ina terei na ini damisi ma ina yawasa.”
MRK.16.19	Bada Yesu ivi sisiya kurisi ikovi murinai, na Meimeituwa iveiya ighae ku kunuma ma kataiyanai imake. 
MRK.16.20	Vagheina ma touvotaghotagho ikasibau inae dobu yavu sinesi yai iruguguya rava yavu kurisi, ma Bada sanasi yai inoya yavuyavu, ma ina maragatai iki nuwaghanisi na vagheina nuke iruseghana asi ruguguyai ma aniba berasi iberaberasi matakirasi na rava ivi matamatei.
