GEN.1.1	Y'n dalleth Duw a formyas an nev ha'n nor. 
GEN.9.14	Hag y hwer, pan dhrov kommol war an nor, y fydh an warak gwelys y'n kommol, 
GEN.9.15	ha my a berth kov a'm kevambos usi yntra my ha hwi ha pub kreatur byw a gig oll, ha nevra namoy ny wra an dowrow dos ha bos liv dhe dhiswul pub kig oll. 
GEN.9.16	Ha'n warak a vydh y'n kommol ha my a vir orti may perthiv kov a'n kevambos bys vykken yntra Duw ha pub kreatur byw a bub kig usi war an nor.’ 
GEN.9.17	Hag yn-medh Duw dhe Noy, ‘Hemm yw tokyn a'n kevambos re wrugavy y fastya yntra my ha pub kig usi war an nor.’
GEN.9.18	Ha mebyon Noy neb eth yn-mes a'n gorhel o Shem ha Ham ha Yafeth; ha Ham o tas Kanan. 
GEN.9.19	An re ma aga thri o mebyon Noy; ha dhiworth an re ma tus a veu lesys war oll an bys.
GEN.9.20	Ha Noy a dhallathas bos tiek, hag ev a blansas gwinlann. 
GEN.9.21	Pan evas rann a'n gwin, ev a veu medhow ha heb kudhlenn a-ji dh'y dylda. 
GEN.9.22	Ha Ham, tas Kanan, a welas noethedh y das ha'y dherivas dh'y dhew vroder esa yn-mes. 
GEN.9.23	Ha Shem ha Yafeth a gemmeras mantell ha'y gorra war aga diwskoedh ha mos war-dhelergh ha kudha noethedh aga thas. Aga fasow o treylyes war-dhelergh ha ny welsons noethedh aga thas. 
GEN.9.24	Ena Noy a dhifunas a'y win, hag ev a wodhva pandr'a wrussa y vab yowynka gul dhodho. 
GEN.9.25	Hag ev a leveris,
GEN.9.25	‘Milligys re bo Kanan.
GEN.9.25	Kethwas kethwesyon a vydh ev dh'y vreder.’
GEN.9.26	Hag ev a leveris,
GEN.9.26	‘Bennigys re bo an 
GEN.9.26	ha re bo Kanan kethwas dhodho.
GEN.9.27	Re ynkressyo Duw Yafeth,
GEN.9.27	ha re bo trigys a-berth yn tyldys Shem;
GEN.9.27	re bo Kanan kethwas dhodho.’
GEN.9.28	Ha wosa an liv, Noy a vywas trihans blydhen ha hanter-kans. 
GEN.9.29	Ha dydhyow oll Noy a veu naw kans bloedh ha hanter-kans; hag ev a verwis.
GEN.10.1	An re ma yw henedhow mebyon Noy: Shem, Ham ha Yafeth; mebyon a veu genys dhedha wosa an liv.
GEN.10.2	Mebyon Yafeth: Gomer, Magog, Maday, Yavan, Tubal, Meshek ha Tiras. 
GEN.10.3	Mebyon Gomer: Ashkenaz, Rifath ha Togarma. 
GEN.10.4	Mebyon Yavan: Elisha, Tarshish, Kittim ha Dodanim. 
GEN.10.5	Dhiworth an re ma ynysow an kenedhlow a veu rynnys yn aga thiryow, peub war-lergh y daves, war-lergh aga theyluyow yn aga henedhlow.
GEN.10.6	Mebyon Ham: Kush, Misraym, Put ha Kanan. 
GEN.10.7	Mebyon Kush: Seba, Havila, Sabta, Rama ha Sabteka. Mebyon Raama: Sheba ha Dedan. 
GEN.10.8	Kush a dhineythis Nimrod. Ev a dhallathas bos gour galloesek war an nor. 
GEN.10.9	Ev a veu helghor galloesek dherag an 
GEN.10.10	Dalleth y wlaskor a veu Babel, hag Erek, hag Akkad, ha Kalne yn pow Shinar. 
GEN.10.11	Yn-mes a'n pow na yth eth dhe Assyria ha drehevel Nineve, ha Rehoboth-ir, ha Kalah, 
GEN.10.12	ha Resen yntra Nineve ha Kalah; homm yw an sita vras. 
GEN.10.13	Misraym a dhineythis Ludim, Anamim, Lehabim, Naftuhim, 
GEN.10.14	Pathrusim, Kasluhim (may teuth Filistim anedha) ha Kaftorim.
GEN.10.15	Kanan a dhineythis Sidon y gynsa-genys, ha Heth, 
GEN.10.16	ha'n Yebusysi, an Amorysi, an Girgashysi, 
GEN.10.17	an Hivysi, an Arkysi, an Sinysi, 
GEN.10.18	an Arvadysi, an Semarysi ha'n Hamathysi; ha wosa henna, loethow an Kananysi a veu diberthys ales. 
GEN.10.19	Hag amal an Kananysi o dhiworth Sidon ha ty ow tos troha Gerar bys yn Gaza, ha ty ow mos bys yn Sodom, Gomorra, Adma ha Seboyim bys yn Lasha. 
GEN.10.20	An re ma yw mebyon Ham war-lergh aga theyluyow, war-lergh aga thavosow yn aga thiryow, yn aga henedhlow.
GEN.10.21	Dhe Shem ynwedh, tas oll mebyon Eber, ha broder kottha Yafeth, dhodho ev ynwedh y feu fleghes genys. 
GEN.10.22	Mebyon Shem: Elam, Asshur, Arfaksad, Lud hag Aram. 
GEN.10.23	Mebyon Aram: Us, Hul, Gether ha Mash. 
GEN.10.24	Arfaksad a dhineythis Shelagh ha Shelagh a dhineythis Eber. 
GEN.10.25	Dhe Eber y feu dineythys dew vab. Hanow onan o Peleg rag yn y dhydhyow ev an nor a veu rynnys, ha hanow y vroder o Yoktan. 
GEN.10.26	Yoktan a dhineythis Almodad, Shelef, Hasarmaveth, Yeragh, 
GEN.10.27	Hadoram, Uzal, Dikla, 
GEN.10.28	Obal, Abimael, Sheba, 
GEN.10.29	Ofir, Havila ha Yobab. Oll an re ma o mebyon Yoktan. 
GEN.10.30	Aga thiredh a veu dhiworth Mesha ha ty ow mos war-tu ha Sefar, menydh an howldrevel. 
GEN.10.31	An re ma yw mebyon Shem war-lergh aga theyluyow, war-lergh aga thavosow, yn aga thiryow, war-lergh aga henedhlow.
GEN.10.32	An re ma yw teyluyow mebyon Noy war-lergh aga henedhow, yn aga henedhlow. Dhiworth an re ma y feu an kenedhlow diberthys war an nor wosa an liv.
GEN.11.1	Hag yth esa dhe oll an bys unn taves, ha'n keth geryow. 
GEN.11.2	Hag y hwarva hag i ow mos yn-rag dhiworth an howldrevel, i a gavas stras yn pow Shinar ha triga ena. 
GEN.11.3	Hag i a leveris, an eyl dh'y gila, ‘Dewgh, gwren ni gul brykkys ha'ga fobas yn tan.’ Hag yth esa brykkys dhedha yn le meyn ha pyg yn le pri. 
GEN.11.4	Hag yn-medhons i, ‘Dewgh, gwren ni drehevel sita ha tour, ha'y benn y'n nevow; ha gwren gul hanow ragon, rag own ni dhe vos skattrys a-les war enep oll an nor.’ 
GEN.11.5	Ha'n 
GEN.11.6	Hag yn-medh an 
GEN.11.7	Dewgh, gwren ni diyskynna ha kemmyska aga yeth ma na wodhvons konvedhes an eyl yeth y gila.’ 
GEN.11.8	Ytho an 
GEN.11.9	Ytho, yth yw hy hanow gelwys Babel, rag an 
GEN.11.10	An re ma yw henedhow Shem. Shem o kans bloedh hag ev a dhineythis Arfaksad diw vlydhen wosa an liv. 
GEN.11.11	Ha Shem a vywas pymp kans blydhen wosa dineythi Arfaksad, hag ev a dhineythis mebyon ha myrghes.
GEN.11.12	Arfaksad a vywas pymthek blydhen warn ugens, ha dineythi Shelagh. 
GEN.11.13	Hag Arfaksad a vywas peswar kans blydhen ha teyr wosa dineythi Shelagh, hag ev a dhineythis mebyon ha myrghes.
GEN.11.14	Shelagh a vywas deg blydhen warn ugens ha dineythi Eber. 
GEN.11.15	Ha Shelagh a vywas peswar kans blydhen ha teyr wosa dineythi Eber, hag ev a dhineythis mebyon ha myrghes.
GEN.11.16	Eber a vywas peswardhek blydhen warn ugens ha dineythi Peleg. 
GEN.11.17	Hag Eber a vywas peswar kans blydhen ha deg warn ugens wosa dineythi Peleg, hag ev a dhineythis mebyon ha myrghes.
GEN.11.18	Ha Peleg a vywas deg blydhen warn ugens ha dineythi Reu. 
GEN.11.19	Ha Peleg a vywas dew kans blydhen ha naw wosa dineythi Reu, hag ev a dhineythis mebyon ha myrghes.
GEN.11.20	Reu a vywas dewdhek blydhen warn ugens ha dineythi Serug. 
GEN.11.21	Ha Reu a vywas dew kans blydhen ha seyth wosa dineythi Serug, ha dineythi mebyon ha myrghes.
GEN.11.22	Serug a vywas deg blydhen warn ugens ha dineythi Nahor. 
GEN.11.23	Ha Serug a vywas dew kans blydhen wosa ev dhe dhineythi Nahor ha dineythi mebyon ha myrghes.
GEN.11.24	Ha Nahor a vywas naw blydhen warn ugens, ha dineythi Teragh. 
GEN.11.25	Ha Nahor a vywas kans blydhen ha nownsek wosa ev dhe dhineythi Teragh, hag ev a dhineythis mebyon ha myrghes.
GEN.11.26	Ha Teragh a vywas deg blydhen ha tri-ugens ha dineythi Abram, Nahor ha Haran.
GEN.11.27	An re ma yw henedhow Teragh. Teragh a dhineythis Abram, Nahor ha Haran, ha Haran a dhineythis Lot. 
GEN.11.28	Haran a verwis pan veu y das hwath yn fyw
GEN.11.29	Hag Abram ha Nahor a gemmeras gwragedh dhedha aga honan. Hanow gwreg Abram o Saray, ha hanow gwreg Nahor o Milka, myrgh Haran, tas Milka ha tas Yska. 
GEN.11.30	Mes Saray o gownagh; nyns esa flogh dhedhi.
GEN.11.31	Teragh a gemmeras Abram y vab ha Lot, mab Haran, mab y vab ev, ha Saray y wohydh, gwreg y vab Abram, hag i eth yn-mes gansa dhiworth Ur an Kaldeanys mayth ellens dhe bow Kanan, hag i a dheuth dhe Haran ha triga ena. 
GEN.11.32	Ha dydhyow Teragh a veu dew kans blydhen ha pymp, ha Teragh a verwis yn Haran.
GEN.12.1	An 
GEN.12.2	Ha my a vynn dha wul kenedhel vras, ha my a'th vennik ha gul dha hanow meur y vri, ha ty a vydh bennath: 
GEN.12.3	Ha my a vennik an re a wra dha venniga jy; ha neb a'th villik
GEN.12.4	Ytho, Abram eth dell wrussa an 
GEN.12.5	Hag Abram a gemmeras Saray y wreg ha Lot, mab y vroder hag oll aga fyth re wrussens kuntelles, ha'n enevow re wrussens kavoes yn Haran, hag i eth yn-kerdh rag mos dhe bow Kanan; ha dhe bow Kanan y teuthons i. 
GEN.12.6	Hag Abram a dremenas der an tir bys y'n tyller
GEN.12.7	Ha'n 
GEN.12.8	Ena ev eth alena bys yn menydh a'n est dhe Bethel ha settya y dylda yn-bann yntra Bethel y'n howlsedhes hag Ay y'n est, ha drehevel ena alter dhe'n 
GEN.12.9	Hag Abram a omdennas hag eth yn-rag troha'n Negeb.
GEN.12.10	Mes yth esa divoetter y'n pow; ytho Abram eth yn-nans dhe Ejyp dhe driga ena, rag bos an divoetter poes y'n pow. 
GEN.12.11	Pan dheuth nes rag entra yn Ejyp, yn-medh ev dhe Saray y wreg, ‘Otta, my a woer dha vos benyn teg dhe weles. 
GEN.12.12	Ytho, pan wrello an Ejyptianys dha weles, i a lever, “Homm yw y wreg”; hag i a wra ow ladha vy, mes i a wra dha witha jy yn fyw. 
GEN.12.13	Lavar, my a'th pys, dha vos ow hwoer, may fo dhe well genev a-barth dhis, ha'm enev a vyw a'th wovis jy.’ 
GEN.12.14	Pan dheuth Abram dhe Ejyp, an Ejyptianys a welas an venyn, hi dhe vos pur deg. 
GEN.12.15	Pennsevigyon Faro a's gwelas ynwedh ha'y gormel a-dherag Faro; ha'n venyn a veu kemmerys a-berth yn chi Faro. 
GEN.12.16	Ev a dhyghtyas Abram yn ta a'y govis hi, hag y feu dhodho deves, oghen, asenes, gwesyon, maghtethyon, kasegi-asen ha kowrvergh. 
GEN.12.17	Mes an 
GEN.12.18	Ha Faro a elwis Abram ha leverel, ‘Pyth yw hemma a wruss'ta gul dhymmo? Prag na wruss'ta leverel dhymm hi dhe vos dha wreg? 
GEN.12.19	Prag y hwruss'ta leverel, “Ow hwoer yw hi”, may hwrugavy hy hemmeres avel gwreg? Ytho, otta dha wreg. Kemmer hi, ha ke yn-kerdh.’ 
GEN.12.20	Ha Faro a erghis dh'y wer yn y gever hag i a'n dannvonas yn-kerdh, ha'y wreg ha pup-tra esa dhodho.
GEN.13.1	Ytho Abram eth yn-bann yn-mes a Ejyp troha'n Negeb, ev ha'y wreg, ha pup-tra esa dhodho, ha Lot ganso. 
GEN.13.2	Pur rych o Abram gans chatel, arghans hag owr. 
GEN.13.3	Hag ev eth yn y gerdhow dhiworth an Negeb dhe Bethel, bys y'n tyller may fia y dylda y'n dalleth yntra Bethel hag Ay, 
GEN.13.4	bys yn tyller an alter re wrussa y'n dalleth; hag ena Abram a elwis war hanow an 
GEN.13.5	Mes Lot ynwedh, neb esa ow mos gans Abram, a'n jeva flokkys ha chatel ha tyldys, 
GEN.13.6	ha ny ylli an tir aga sostena, hag i trigys war-barth, rag bos bras aga fyth, ma na yllens triga war-barth. 
GEN.13.7	Ytho yth esa strif yntra bugeledh chatel Abram ha bugeledh chatel Lot. Yth esa an Kananysi ha'n Perizzysi trigys ena y'n pow.
GEN.13.8	Hag yn-medh Abram dhe Lot, ‘My a'th pys, na vedhes strif yntra my ha ty hag yntra dha vugeledh jy ha'm bugeledh vy, rag breder on ni. 
GEN.13.9	A nyns usi oll an tir a-dheragos? Diberth dhiworthiv, dell yth pysav. Mar mynnydh kemmeres an barth kledh, my a gemmer an barth dhyghow, ha mar kemmerydh an barth dhyghow my a gemmer an barth kledh.’
GEN.13.10	Ha Lot a dhrehevis y dhewlagas ha gweles oll an plen a-dro dhe'n Yordan, oll anodho dhe vos dowrhes – kyns an 
GEN.13.11	Ha Lot a dhewisas oll an plen a-dro dhe'n Yordan dhodho y honan, ha Lot a dravalyas troha'n howldrevel hag i a dhibarthas an eyl dhiworth y gila. 
GEN.13.12	Yth esa Abram trigys yn pow Kanan, hag yth esa Lot trigys yn sitys an plen, ha kavoes gwiryow peuri
GEN.13.13	Mes tus Sodom o tebel ha peghadoryon dres eghenn dherag an 
GEN.13.14	Ha'n 
GEN.13.15	Rag my a re oll an tir a welydh dhiso jy ha dhe'th has bys vykken. 
GEN.13.16	Ha my a wra dha has kepar ha doust an dor: mar kyll den nivera doust an dor, dha has ynwedh a yll bos niverys. 
GEN.13.17	Sav yn-bann, kerdh der an pow, der y hys ha der y les, rag my a vynn y ri dhiso.’
GEN.13.18	Ena Abram a gavas gwiryow peuri
GEN.14.1	Hag y hwarva yn dydhyow Amrafel myghtern Shinar, Aryok myghtern Ellasar, Kedorlaomer myghtern Elam, ha Tidal myghtern Goyim, 
GEN.14.2	y hwrug an re ma gwerrya erbynn Bera myghtern Sodom hag erbynn Birsha myghtern Gomorra, Shinab myghtern Adma ha Shemeber myghtern Seboyim, ha myghtern Bela (henn yw Soar). 
GEN.14.3	Oll an re ma a veu kuntellys war-barth yn nans Siddim (henn yw Mor an Hoelan). 
GEN.14.4	Dewdhek blydhen i a servyas Kedorlaomer hag y'n trydhegves blydhen i a rebellyas.
GEN.14.5	Hag y'n peswardhegves blydhen, Kedorlaomer ha'n vyghternedh esa ganso a dheuth ha fetha an Refaim yn Ashteroth-karnaym ha'n Zuzim yn Ham ha'n Emim yn Shave-kiryathaym, 
GEN.14.6	Ha'n Horysi yn aga menydh Seir bys yn El-paran, usi ryb an difeythtir. 
GEN.14.7	Hag i a dhehwelis ha dos dhe En-mishpat (henn yw Kadesh) ha fetha gwlas oll an Amalekysi ha'n Amorysi ynwedh esa trigys yn Haseson-tamar. 
GEN.14.8	Ha myghtern Sodom eth yn-mes, ha myghtern Gomorra ha myghtern Adma ha myghtern Seboyim ha myghtern Bela (henn yw Soar), hag araya rag kas er aga fynn yn nans Siddim, 
GEN.14.9	erbynn Kedorlaomer myghtern Elam, Tidal myghtern Goyim, Amrafel myghtern Shinar, hag Aryok myghtern Ellasar: peswar myghtern erbynn pymp. 
GEN.14.10	Nans Siddim o leun a bollow pyg. Myghternedh Sodom ha Gomorra a fias, ha koedha ena, ha'n remenant a fias dhe'n menydh. 
GEN.14.11	Ena i a gemmeras oll an pythow a Sodom ha Gomorra hag oll aga boes ha mos yn-kerdh. 
GEN.14.12	Hag i a gemmeras Lot, mab broder Abram, esa trigys yn Sodom, ha'y bythow, ha mos yn-kerdh.
GEN.14.13	Ena y teuth unn dianker ha leverel hemma dhe Abram an Ebrow, esa trigys ryb derow Mamre; Amoryas o ev, broder Eshkol ha broder Aner, hag yth ens i keffrysysi Abram. 
GEN.14.14	Ha pan glewas Abram bos y vroder
GEN.14.15	Hag yn nos ev a rannas y lu er aga fynn, ev ha'y wesyon, ha'ga fetha, ha'ga chasya bys yn Hoba usi a'n barth kledh dhe Damaskus. 
GEN.14.16	Hag ev a daskavas oll y bythow hag ynwedh y vroder Lot ha'y bythow ev, ha'n benynes ynwedh ha'n bobel.
GEN.14.17	Ha myghtern Sodom eth yn-mes dh'y vetya wosa ev dhe dhehweles dhiworth gweskel Kedorlaomer ha'n vyghternedh esa ganso yn nans Shave (henn yw Nans an Myghtern). 
GEN.14.18	Ha Melkisedek myghtern Salem a dhros yn-mes bara ha gwin, hag ev o oferyas Duw Ughella.
GEN.14.19	Hag ev a'n bennigas ha leverel,
GEN.14.19	‘Bennigys re bo Abram gans Duw Ughella,
GEN.14.19	Gwrier nev ha nor.
GEN.14.20	Ha bennigys re bo Duw Ughella
GEN.14.20	neb a dhaskorras dha eskerens a-berth y'th torn.’
GEN.14.20	Hag ev a ros dhodho dega a bup-tra.
GEN.14.21	Ena myghtern Sodom a leveris dhe Abram, ‘Ro dhymm an dus ha kemmer an pythow dhiso jy dha honan.’ 
GEN.14.22	Mes Abram a leveris dhe vyghtern Sodom, ‘My re dhrehevis ow leuv dhe'n 
GEN.14.23	na wrav kemmeres naneyl neusenn na hwath kroen-sandal dhiworth pup-tra eus dhis, rag own ty dhe leverel, “My re wrug Abram rych”: 
GEN.14.24	travyth saw an pyth re dhybris an dus yowynk, ha'n rann a dhegoedh dhe'n wer eth genev, Aner, Eshkol ha Mamre. Kemmerens i aga rann.’
GEN.15.1	Wosa an taklow ma, ger an 
GEN.15.2	Hag yn-medh Abram, ‘Arloedh 
GEN.15.3	Hag yn-medh Abram, ‘Awotta, ny wruss'ta ri has dhymm, hag awotta, onan genys y'm chi vy a vydh ow her.’ 
GEN.15.4	Hag awotta, ger an 
GEN.15.5	Hag ev a'n dros mes a-ji ha leverel, ‘Mir lemmyn troha'n nev ha reken niver an ster, mar kyllydh aga nivera.’ Hag yn-medh ev dhodho, ‘Yndella y fydh dha has.’ 
GEN.15.6	Hag ev a grysis y'n 
GEN.15.7	Hag ev a leveris dhodho, ‘My yw an 
GEN.15.8	Hag yn-medh ev, ‘A Arloedh 
GEN.15.9	Hag ev a leveris dhodho, ‘Kemmer ragov lejek tri bloedh ha gaver tri bloedh ha hordh tri bloedh ha turenn, ha kolomm yowynk.’ 
GEN.15.10	Ytho ev a gemmeras oll an re ma ragdho ha'ga treghi yn diw rann der an kres, ha gorra pub hanter an eyl a-dal y gila; mes ny troghas an ydhyn yn diw rann. 
GEN.15.11	Ha pan dheuth an ydhyn-preydh yn-nans war an korfow, Abram a's chasyas dhe-ves.
GEN.15.12	Ha pan esa an howl ow sedha, kosk down a goedhas war Abram, hag awotta, euth, tewolgow bras, a goedhas warnodho. 
GEN.15.13	Ena ev a leveris dhe Abram, ‘Godhvydh yn sur y fydh dha has alyons yn pow nag yw dhedha i, hag i a wra aga servya; hag i a wra aga arwaska peswar kans blydhen. 
GEN.15.14	Ha'n genedhel ynwedh a wrons i servya, my a wra hy breusi; ha wosa henna i a dheu yn-mes gans rychys meur. 
GEN.15.15	Ha ty a wra mos dhe'th tasow yn kres, ha bos ynkleudhys yn kothni dha. 
GEN.15.16	Y'n peswora henedh i a dhehwel omma; rag ny vydh kowlwrys na hwath kammweyth an Amorysi.’
GEN.15.17	Hag y hwarva, pan sedhas an howl hag yth o tewl, awotta, forn ow megi ha faglenn ow leski a dremenas ynter an rannow na. 
GEN.15.18	An keth jydh na an 
GEN.15.19	tir an Kenysi, an Kenizzysi an Kadmonysi, 
GEN.15.20	an Hittysi, an Perizzysi, an Refaim, 
GEN.15.21	an Amorysi, an Kananysi, an Girgashysi ha'n Yebusysi.’
GEN.16.1	Lemmyn Saray, gwreg Abram ny dhineythis flogh vyth dhodho. Hag yth esa dhedhi maghteth ejyptek, Hagar hy hanow. 
GEN.16.2	Hag yn-medh Saray dhe Abram, ‘Otta lemmyn, an 
GEN.16.3	Ha Saray, gwreg Abram, a gemmeras Hagar, hy maghteth ejyptek, wosa Abram dhe driga deg blydhen yn pow Kanan ha'y ri dh'y wour Abram dhe vos y wreg. 
GEN.16.4	Hag ev eth a-bervedh dhe Hagar ha hi a gonsevyas. Ha pan welas hi y hwrug hi konsevya, dispresys veu hy mestres yn hy dewlagas. 
GEN.16.5	Hag yn-medh Saray dhe Abram, ‘Re wrello an drog gwrys er ow fynn koedha warnas tejy. My a ros ow maghteth a-bervedh y'th askra ha pan welas hi y hwrug hi konsevya, dispresys veuv yn hy dewlagas. Re bo an 
GEN.16.6	Mes yn-medh Abram dhe Saray, ‘Awotta, yma dha vaghteth y'th leuv. Gwra dhedhi dell vo plegadow dhis.’ Ena Saray a wrug hy thebeldhyghtya, ytho hi a fias dhiworth hy golok.
GEN.16.7	El an 
GEN.16.8	Hag ev a leveris, ‘Hagar, maghteth Saray, a-ble hwruss'ta dos, ha ple'th es'ta ow mos?’ Ha hi a leveris, ‘My a fi dhiworth golok ow mestres, Saray.’ 
GEN.16.9	Hag el an 
GEN.16.10	Hag yn-medh el an 
GEN.16.11	Hag el an 
GEN.16.11	‘Awotta, gans flogh osta ha ty a wra dineythi mab
GEN.16.11	ha ty a'n henow Yshmael,
GEN.16.11	a-ban glewas an 
GEN.16.12	Y fydh den kepar hag asen gwyls.
GEN.16.12	Y dhorn a vydh erbynn pub den,
GEN.16.12	ha dorn pub den a vydh er y bynn ev,
GEN.16.12	ha trigys vydh yn fas y vreder oll.’
GEN.16.13	Ha hi a elwis hanow an 
GEN.16.14	Ytho henwys veu an puth, Beer-lahay-roi. Awotta hi yntra Kadesh ha Bered.
GEN.16.15	Ha Hagar a dhineythis mab dhe Abram; hag Abram a elwis hanow y vab a dhineythis Hagar, Yshmael. 
GEN.16.16	Hag Abram o hwegh bloedh ha peswar-ugens pan dhineythis Hagar Yshmael dhe Abram.
GEN.17.1	Ha pan o Abram nownsek bloedh ha peswar-ugens, an 
GEN.17.2	Ha my a wra ow hevambos yntra my ha ty, ha my a wra dha gressya dres eghenn.’ 
GEN.17.3	Hag Abram a goedhas war y fas ha Duw a gewsis ganso, ow leverel, 
GEN.17.4	‘Dhe'm part evy, awotta ow hevambos genes: ty a vydh an tas a genedhlow pals. 
GEN.17.5	Ny vydh dha hanow Abram namoy, mes dha hanow a vydh Abraham, rag my a'th wra an tas a genedhlow pals. 
GEN.17.6	Ha my a'th wra dhe dhoen meur a frut, ha my a wra kenedhlow ahanas, ha myghternedh a dheu yn-mes ahanas. 
GEN.17.7	Ha my a fast ow hevambos yntra my ha ty, ha'th has war dha lergh yn aga henedhow avel kevambos bys vykken, dhe vos Duw dhiso, ha'th has war dha lergh. 
GEN.17.8	Ha my a re dhis, ha dhe'th has war dha lergh, an tir mayth esta alyon ynno, oll an tir a Kanan dh'y berghenna bys vykken, ha my a vydh aga Duw.’
GEN.17.9	Hag yn-medh Duw dhe Abraham. ‘Dhe'th part tejy, ty a with ow hevambos, ty ha'th has war dha lergh yn aga henedhow. 
GEN.17.10	Hemm yw ow hevambos a wre'ta y witha, yntra my ha hwi ha'th has war dha lergh. Pub gorreydh ahanowgh a vydh trodreghys 
GEN.17.11	Ha hwi a wra trodreghi kig agas kudhgenn ha hemma a vydh tokyn a'n kevambos yntra my ha hwi. 
GEN.17.12	Ha nebonan yn agas mysk a vo eth dydh y oes a vydh trodreghys, pub flogh gorow der agas henedhow neb yw genys y'th chi po nebonan nag yw dha has jy prenys gans mona dhiworth estren. 
GEN.17.13	Neb yw genys y'th chi ha neb yw prenys gans mona a dal bos trodreghys; ow hevambos a vydh a-bervedh y'th kig rag kevambos bys vykken. 
GEN.17.14	Ha gorreydh heb trodreghyans, nag yw trodreghys kig y gudhgenn, treghys dhe-ves dhiworth y bobel vydh an enev na; ev re dorras ow hevambos.’
GEN.17.15	Ha Duw a leveris dhe Abraham, ‘Saray dha wreg, ny wre'ta gelwel hy hanow Saray, mes Sara a vydh hy hanow. 
GEN.17.16	Ha my a vynn hy benniga ha ri dhis mab dhiworti hi ynwedh, ha hi a dheu ha bos kenedhlow; myghternedh poblow a dheu dhiworti.’ 
GEN.17.17	Ena Abraham a goedhas war y fas ha hwerthin ha leverel yn y golonn, ‘A vydh flogh dineythys dhe wour kans bloedh y oes? Hag a wra Sara dineythi, deg bloedh ha peswar-ugens bloedh hy oes?’ 
GEN.17.18	Hag yn-medh Abraham dhe Dhuw, ‘Unnweyth a kwrella Yshmael bywa y'th wolok!’ 
GEN.17.19	Hag yn-medh Duw, ‘Sara dha wreg a wra dineythi mab, ha ty a elow y hanow Ysak, ha my a fast ow hevambos ganso avel kevambos bys vykken rag y has war y lergh. 
GEN.17.20	Ha rag Yshmael, my re'th klewas. Awotta, my a wra y venniga, ha gul dhodho doen frut, ha'y gressya dres eghenn. Ev a wra dineythi dewdhek pryns ha my a'n gwra dhe vos kenedhel vras. 
GEN.17.21	Mes my a fast ow hevambos gans Ysak, neb a wra Sara y dhineythi dhis y'n termyn ma a'n vlydhen a dheu.’
GEN.17.22	Hag ev a hedhis kewsel ganso, ha Duw eth yn-bann dhiworth Abraham. 
GEN.17.23	Hag Abraham a gemmeras Yshmael y vab, ha pub kethwas re bia genys yn y ji, ha peub re bia prenys gans mona, pub gorreydh yn mysk tus chi Abraham, ha trodreghi kig aga hudhgenn an keth jydh na, kepar dell wrussa Duw y leverel dhodho. 
GEN.17.24	Hag Abraham o nownsek bloedh ha peswar-ugens pan veu trodreghys kig y gudhgenn. 
GEN.17.25	Hag Yshmael a veu trydhek bloedh pan veu trodreghys yn kig y gudhgenn. 
GEN.17.26	An keth jydh na y feu Abraham hag Yshmael y vab trodreghys; 
GEN.17.27	hag oll an wer a'y ji, an re genys y'n chi, ha'n re prenys gans mona dhiworth estren, a veu trodreghys ganso.
GEN.18.1	Ha'n 
GEN.18.2	Hag ev a dhrehevis y dhewlagas ha mires, hag awotta, yth esa tri gour ow sevel a-dal dhodho, ha pan y's gwelas ev a boenyas dh'aga metya dhiworth daras an tylda hag omblegya dhe'n dor 
GEN.18.3	ha leverel, ‘Ow Arloedh, mar kevis gras y'th wolok, na dremen yn-rag dres dha was. 
GEN.18.4	Bedhes kyrghys neppyth a dhowr, ha golghewgh agas treys ha powes yn-dann an wydhenn, 
GEN.18.5	Ha my a wra kyrghes tamm bara, may konfortyowgh hwi agas kolonn. Wosa henna hwi a yll tremena yn-rag, a-ban re dheuthewgh dh'agas gwas.’ Hag yn-medhons i, ‘Gwra yndella, kepar dell leversys.’ 
