GEN.1.1	Pathianin a phut taka irnêng le irvân a siama, 
GEN.9.13	Sûmphâi kâra sumrisâng inkûi a ta, kha kha kêng kei le nangni kâra thuthung irsinsiana a ini hrang. 
GEN.9.14	Khan, hiang hin ni a ta, irnêng chunga sûmphâi ki’rzâmtirin chu, sumrisâng chu sûm laia inlang a ta, 
GEN.9.15	kei le nangni le taksa nei murdihai thilhring tinrêng kâra ki thuthung om hi inhre mai ki ta, khanchu tuihai chu taksa nei murdi insiat ta loi hrangin hong lêt ta no ni. 
GEN.9.16	Khan sumrisâng chu sûmphâi laia inlang ta a ta. Khanchu Pathian le irnêng chunga taksa om murdi thilhring tinrêng kâra kumtuanga ki thuthung om chu kin hriat maina hrangin en hen ki ti,” a tia. 
GEN.9.17	Khan Pathian ngêtin Nova kuanga khan, “Hi hi kêng kei le irnêng chunga taksa nei murdi laia ki thuthung det irsinsiana a ni,” a ti nôka.
GEN.9.18	Nova nâihai irkuang ata zôkhai chu Sema, Hama le Jafeta an ni. Hama chu Kanaana pa a ni. 
GEN.9.19	Hi mi inthumhai hi Nova nâihai chu an ni. Anni inthumhai irchi hi irnêng chung an isip tâk a ni.
GEN.9.20	Khan, Nova chu loi sinthopu a nia, grep irhuan siam masatakpu a ni. 
GEN.9.21	Uain kha a ina, an ruia, a puan ina khan korongboiin a zâla, 
GEN.9.22	khan Hama, Kanaana pa khan a pa korongboia om chu a va hmua, pên tianga a urênghai ruai kha a hrilhaia. 
GEN.9.23	Khanchu Sema le Jafeta’n puan an lâka, an tuama an hnung tiang an irzôna, hnung tianga irheiin an pa korongboi kha, an irkhû en loiin, 
GEN.9.24	khan Nova uain inrui a hong harin chu, a nâi mitumtakpa thiltho chu a hon hriat suaka. 
GEN.9.25	Khanchu, “Kanaana chu khosâl tongin om ri se;
GEN.9.25	a urênghai siahlohai siahlo ni ri se,” a tia.
GEN.9.26	Kanaana chu siahlo’n om ri se.
GEN.9.27	Pathianin Jafeta chu mi lian inchangtir sianlân,
GEN.9.27	Sema puan ina om ri se;
GEN.9.27	khan Kanaana chu siahlo’n om ri se. a ti nôka.
GEN.9.28	Khan Nova chu tuisâng a lian zoiin kum 350 a dama, 
GEN.9.29	khanchu Nova dam sûng kum chu 950 a ni, khanchu a thi ta.
GEN.10.1	Khan, Nova nâihai Sema, Hama le Jafeta hai irchi chu hiang hin a ni. Tuilian zoia chu nâilete an hong neihaia.
GEN.10.2	Jafeta nâihai chu Gomera, Magoga, Madaia, Javana, Tubala, Meseka, le Tirasa hai an ni. 
GEN.10.3	Khan Gomera nâipasalhai chu Askenaza, Rifata le Togarma hai an ni. 
GEN.10.4	Khan Javana nâipasalhai chu Elisa, Tarsisa, Kitima, le Dodanima-hai an ni. 
GEN.10.5	Annihai ata irthoka hin kêng, Jentail ramchârna hmuna an ram omna hrang hmun chita an indara; an chong hmang ang hrang le an nam om hrang ang chitin an om tâk.
GEN.10.6	Khan Hama nâihai chu Kusa, Mizraima, Puta le Kanaana hai an ni, 
GEN.10.7	khan Kusa nâihai chu Seba, Havila, Sabta, Raama le Sabteka hai an ni, khan Raama nâihai chu Seba le Dedana an ni. 
GEN.10.8	Khan Kusa khan chu nâipasal Nimroda kha a neia, ama hi irnênga hin mi hrâttak a hong ni tâka. 
GEN.10.9	 makunga sa kâp hrâttak a nia; khasikin, “
GEN.10.10	Khan, a rêng chang phutna ram chu Sinar ram Babel khua, Erek khua, Akad khua le Kalne khuahai a nia; 
GEN.10.11	kha ram ata a suak zoiin, Assuria rama a lûta, Ninevi khua, Rehobot-ir khua, Kala khua, 
GEN.10.12	Ninevi le Kala khua kâra Resen khua a chuana. (Resen khua hi khua inthang tak a ni.)
GEN.10.13	Khan Mizraima khan Lud hai, Anam hai, Lebab hai, Nafta hai, 
GEN.10.14	Pathros mihai, Kaslu mihai. Hi mihai hi Filistia le Kaftor mihai irchihai an ni.
GEN.10.15	Khan, Kanaana khan nâilutîr Sidona a neia, Hetha khom a nei nôka; 
GEN.10.16	Jebus hai, Amor hai, Girgas hai le 
GEN.10.17	Hiv mihai, Arka hai, Sin mihai, le 
GEN.10.18	Arvad hai, Zemar hai, Hamath mihai an hong irzira: kha zoiin chu Kanaana namhai chu an irthek indarh zoi tâka. 
GEN.10.19	Khan, Kanaana hai ramri chu Sidon khua ata Gerar sim tiang pang Kaza khua dênin; Sodom le Gomora le Adma le Zeboim sim tiang Lasa khua dênin a ni. 
GEN.10.20	Hihai hi kêng Hama irchihai an ini, an nam omdân hrang angin, an chong hmang hrang angin an nam le an irchi om hrang angin an om ta.
GEN.10.21	Khan Sema, Ebera nâihai irchibul, Jafeta upa khomin nâi a neia, 
GEN.10.22	Sema nâihai chu Elama, Asura, Arpaksada, Luda, le Arama hai an ni. 
GEN.10.23	Khan Arama nâihai chu Uza, Hula, Gethera, le Masa hai an ni. 
GEN.10.24	Khan Arpaksada’n chu nâipasal Sela a neia; khan Sela’n nâi Ebera a neia. 
GEN.10.25	Khan Ebera’n nâipasal hni a neia: inkhat irhming chu Pelega a nia, a dam laiin a ram kha senin a oma; a sangpa irhming chu Joktana a ni. 
GEN.10.26	Khan Joktana’n nâi Almodada, Selefa, Hazarmavetha, Jera le 
GEN.10.27	Hadorama, Uzala, Dikla le 
GEN.10.28	Obala, Abimaela, Seba le 
GEN.10.29	Ofira, Havila le Jababa hai a neia: hihai murdi hi Joktana nâihai chu an ni. 
GEN.10.30	Khan an omna chu Mesa ata nisua tiang Sefar lam panna lam a nia. 
GEN.10.31	Hihai hi kêng Sema irchihai an ini, an nam om hrang dân angin, an chong hmang hrang lam angin, an irchi om hrang le ram om hrang angin an oma.
GEN.10.32	Hihai hi Nova irchihai le nam omhai an ni, an irchihai angin, an irchihai laia, tuilêt zoi ata irnêng chunga chi tin nam tin a hong indarh a ni ta.
GEN.11.1	Khanchu irnêng chunga mi murdi hi chong hmunkhat, thuhril lam hmunkhat an ni vinga. 
GEN.11.2	Khan hiang hi a nia, nisua tiang an irthon laiin Sinar rama phâizôl an hmua; kha hmun khan om hmun an khuara, 
GEN.11.3	khan “Tho pilrôngar siam ei ta, a sate’n hâl inhmin ei ti,” an irtia. Khanchu lung irthûlin pilrôngar hmangin âlkatara leh inluanin. 
GEN.11.4	Khanchu, “Tho khopui siam ei ti, in irsâng a sîp irzumin irvân sun rakin siam ei ta, ei irhming an thang theina hrangin, khano’nchu irnêng chunga hin irthek indarh zoiin om ei ti,” an tia.
GEN.11.5	Khan, 
GEN.11.6	khan, 
GEN.11.7	Tho zu fe ei ta, chong an irhlet thei loina hrangin an chong zu’ndanglam pehai ei ti,” a tia. 
GEN.11.8	Khatak ata 
GEN.11.9	khasikin a’rhming khom Babel an phuaa; 
GEN.11.10	Hi hi Sema irchihai chu an ni. Sema chu kum 100 mi a nia, tuilêt zoi kum hni tena chu nâipasal Arpaksada a neia: 
GEN.11.11	khan Arpaksada a nei zoiin Sema chu kum 500 a la dama nâipasal le nâinupang a la neihai sa.
GEN.11.12	Khan Arpaksada’n kum sômthum ringa a ni le nâipasal Sela a neia; 
GEN.11.13	khan Sela a nei zoiin Arpaksada chu kum 403 a la dama, nâinupang le nâipasal a la neihai sa.
GEN.11.14	Khan, Sela kha kum 30 a ni le nâipasal Ebera a neia; 
GEN.11.15	khan Ebera a nei zoiin Sela chu kum 403 a la dama, nâinupang le nâipasal a la neihai sa.
GEN.11.16	Khan, Ebera’n kum 34 a ni le nâipasal Pelega a neia; 
GEN.11.17	khan, Pelega a nei zoiin Ebera chu kum 430 a la dama, nâinupang le nâipasal a neihai sa.
GEN.11.18	Khan, Pelega khan kum 30 a ni le nâipasal Reua a neia; 
GEN.11.19	khan Reua a nei zoiin Pelega chu kum 209 a la dama, nâinupang le nâipasal a neihai sa.
GEN.11.20	Khan Reua khan kum 32 a ni le nâipasal Seruga a neia: 
GEN.11.21	khan Seruga a nei zoiin Reua chu kum 207 a la dama, nâinupang le nâipasal a neihai sa.
GEN.11.22	Khan Seruga khan kum 30 a ni le nâipasal Nahora a neia: 
GEN.11.23	khan Nahora a nei zoiin Saruga chu kum 200 a la dama, nâinupang le nâipasal a neihai sa.
GEN.11.24	Khan Nahora kha kum 29 a ni le nâipasal Tera a neia; 
GEN.11.25	khan Tera a nei zoiin Nahora chu kum 119 a la dama, nâinupang le nâipasal a neihai sa. 
GEN.11.26	Khan Tera kha kum 70 a ni le nâipasal Abrama, Nahora, le Harana a neihai sa.
GEN.11.27	Khan, hihai hi Tera irchihai chu an ni, Tera khan nâipasal Abrama, Nahora le Harana hai a neihaia: khan Harana khan nâipasal Lota a neia. 
GEN.11.28	Khan Harana chu a’rzirna rama, Kaldai hai khua Ur, a pa Tera kôla a thia. 
GEN.11.29	Khan Abrama le Nahora hai chu dôngma an neia: Abrama dôngma irhming chu Saraii a ni; Nahora dôngma irhming chu Harana nâinu Milkaii a ni, Harana chu Milkaii pa le Iskaii pa chu a ni. 
GEN.11.30	Khan Saraii chu nâi boiin a chinga. 
GEN.11.31	Khan Tera’n a nâipa Abrama chu a tupa Lota, Harana nâipahai kuanga a moinu Saraii chu a hruaihaia; khan Kanaan fe hrangin Kaldai hai khua, Ur-ah irthokin an suaka; Haran khua an tunga, kha hmun khan om hmun an khuara. 
GEN.11.32	Khan Tera dam sûng chu kum 205 a nia; khanchu, Tera chu Haran khuaa khan a thi ta.
GEN.12.1	 Khan 
GEN.12.2	khanchu irchi tamtakin nang siam ki ta, sat tinrêng nang vur ki ti, ni’rhming inthangtir ki ti; khan, nang satvurna ni ro.
GEN.12.3	 Khan sat nang vurtu murdihai satvurhai ki ti.
GEN.12.3	Khua nang sâltu chu khuasâlhai ki ti,
GEN.12.3	nangmaa khan irnênga nam tin satvurin la om an ti,”
GEN.12.3	a tia.
GEN.12.4	Khan Abrama khomin 
GEN.12.5	Khan Abrama dôngma Saraii le a sangpa nâi Lota le an sum nei murdi le Haran khuaa an mi nei takhai a hruaia: Kanaan rama fe hrangin an suaka; Kanaan ram chu an tung tâka.
GEN.12.6	Khan Abrama chu, kha rama Sekem hmun dênin, More tâng seso thing hmun dênin a fe zêla; kha zoro khan Kanaan mihai chu kha rama khan an lei oma. 
GEN.12.7	 Khan 
GEN.12.8	Khan khatak ata Bethel nisua tiang tânga a’rsona, kha khan puan in a sunga, nisua tiang Bethel a oma. Nitâk tiang Ai khua a oma: kha hmuna khan 
GEN.12.9	Khan Abrama chu sim tiang ram panin a’rson nôk thiaia.
GEN.12.10	Khan kha rama khan châm a hong tâka: kha rama châm kha a nahrai sikin, Abrama chu Aigupta rama zu om viat hrangin a suak tâka. 
GEN.12.11	Khan hiang hin a nia, Aigupta rama an lût hrangin a dôngma Saraii kuanga khan, “Irngai ro, nupang hmêl satak ni nih ti kin hriat. 
GEN.12.12	Khanchu hiang hin ni a ti, Aigupta mihaiin an ni hmuin chu, hi hi a dôngma a ni, ti an ta; keima chu an ni ithat hrang a ni, nang chu nang hruaipai an ti. 
GEN.12.13	 Nangma sikin a dama ki om theina hrangin, a farnu ki ni, lungkham takin ni irti mai hrang a ni,” a tia.
GEN.12.14	Khan hiang hi a hong nia, Abrama khan Aigupta ram a lûtin chu, Aigupta-haiin nupangnu kha an hmua, a hmêl a sa pehai hraia an indita. 
GEN.12.15	Faroa milianhai khomin an hmua, Faroa ina an hruai inlûta. 
GEN.12.16	Khan, ama’n chu Saraii sikin Abrama chu satakin a dona, belra, sehrât, sakuartunghai, suaknu suakpa le saringseihai a neipui tâka. 
GEN.12.17	Khan 
GEN.12.18	Khanchu Faroa’n Abrama kha a koia, “Ki chunga hin i sin tak mo ni itho tâk? Ni dôngma a nih ti itho mo ni ni inhril loi? 
GEN.12.19	ki farnu kêng, itho mo ni iti? Ni ti no sika kêng dôngma’n ki inei a ni hi te: a dik atûn chu ni dôngma hi hruaiin lân, fe pat roi,” a tia. 
GEN.12.20	Khanchu hi thu sikin Faroa’n a mihai kuang thu a pêkhaia, hi mihai hi hong thakhai ta roi, a dôngma le an neinun nei murdihai leh a tia.
GEN.13.1	Khan Abrama chu Aigupta ram ata a suaka, Kanaan ram sim tiang a oma, a dôngma le an neinun murdi le Lota hai khom an rêngin an om suama. 
GEN.13.2	Khan Abrama chu sahai, sum le puan, rângachakhai a nei intamin a sân a’rchonga. 
GEN.13.3	Khan sim tiang ata irthonin Bethel hmun dênin a fea. Bethel le Ai khua kâra a phuta a puan in sungna hmun khan: 
GEN.13.4	a phuta a maichâm siamna hmuna khan 
GEN.13.5	Khan Lota, Abrama zuitu khom khan belra pâl, sehrât pâl le puan in a nei saa. 
GEN.13.6	Khan hmunkhata omsuam hrangin chu a ram a chîn tâk sikin; an neinunhai lak an pung pehai sikin, om suam thei ta mahaia. 
GEN.13.7	Khanchu Abrama sa enkoltuhai le Lota sa enkoltuhai kâra irsêlna a suak tâka; kha lai khan Kanaan mihai le Periz-hai khom, kha rama om an nia.
GEN.13.8	Khanchu Abrama’n Lota kuanga khan, “Lungkham takin, nang le keima kâra ei sa enkoltuhai laia khom irsêlna ite om no ri se, ulenâi ei ni sikin. 
GEN.13.9	Ram irzât tak lak hin a iom mo ni ma? Lungkham takin keima kuang ata a bingin om ta ro: nangma vei tiang ni omin chu, keima chang tiang, nang chang tiang ni fe le keima vei tiang,” a tia. 
GEN.13.10	 Khanchu Lota chu ram a en vêla, Zoar khua tiang pan balamin, Jordan phâizôl murdi chu 
GEN.13.11	Khanchu Lota khan Jordan phâizôl kha an thang tâka; khan nisua tiang depin a oma; an irsen tâka. 
GEN.13.12	Abrama chu Kanaan rama khan a oma, Lota chu phâizôl khuaa a oma, a puan in chu Sodom khua dênin a son zêla. 
GEN.13.13	Khan, Sodom khua mihai chu 
GEN.13.14	Khan Lota a bingin a om zoi ata chu 
GEN.13.15	 ni ram hmu murdi hi nang le ni’rchihai a vuan ata kumkhuain nang pe ki ti. 
GEN.13.16	Khan ni’rchihai khom irnêng chunga la tam an ta, tûte itep zoi loiin om an ti. 
GEN.13.17	Thoiin lân ram hi a dung a khang irfang suak ro: nang ki ipêk hrang a ni,” a tia. 
GEN.13.18	Khanchu Abrama’n a puan in a sona, Hebron-a om, Mamre saso thing kôla khan omhmun a khuara; khataka khan 
GEN.14.1	Khan Sinar khuaa rêng Amrafela hai, Elasar khuaa rêng Arioka hai, Elam khua rêng Kedorlaomera hai, Goiim khua rêng Tidala hai dam lai khan hiang hi a nia, 
GEN.14.2	anni’n chu Sodom khuaa rêng Bera kha an doia, Gomora khuaa rêng Birsa hai, Adma khuaa rêng Sinaba hai, Zeboim khuaa rêng Semebera hai, Bela khuaa rênghai kha an doia. (Bela khua chu Zoar khua a ni ta.) 
GEN.14.3	Khahai murdi kha Sidim hual sûnga khan an irsan irhlôma (hi hual sûng hi Tuipui Al a ni.) 
GEN.14.4	Kum sômhleihni sûng chu Kedorlaomera hnuaia an oma, a kum sômhleithum changna’n chu an hong tehel an zong tâka. 
GEN.14.5	Khanchu kum sômhlei minlina’n chu Kedorlaomera le a kôla rêng omhai an honga, Asterot-Karnaim rama Refa-hai, Ham rama Zuzim-hai, Seva-kiriathaim rama Enim-hai leh 
GEN.14.6	ramchâr kôla om El-paran dung, Seir tângrama om Hor-hai dênin an hong inhnêhaia. 
GEN.14.7	Khanchu an kîr nôka En-mispat an tunga, (hi hi chu Kades a ni ta) Amalek rama mi murdi le Amor-hai Zazon-tamar khuaa omhai khom kha an thathai nôka.
GEN.14.8	Khanchu Sodom khuaa rênghai Gomora khuaa rênghai, Adma khuaa rênghai, Zeboim khuaa rênghai, Bela khuaa rênghai an suaka, (Bela chu Zoar khua a ni ta.) Khan Sidim hualsûnga khan annihai doi hrangin irnak an lâk irruala, 
GEN.14.9	Elam khuaa rêng Kedorlaomera hai, Goiim khuaa rêng Tidala hai, Sinar khuaa rêng Amrafela hai, Ellasar khuaa rêng Arioka-hai doi hrangin; rêng minli’n, rêng ringa an doihaia. 
GEN.14.10	Khan Sidim hual chu âlkatara khuri’n a sipa, khan Sodom le Gomora khuaa rênghai chu an intâna, âlkatara khura khan an tâka, a tâk banhai kha tâng tiang an rota. 
GEN.14.11	Khanchu Sodom le Gomora khua mi le an sumpuan le fâk nêk omhai an lâka, an fea. 
GEN.14.12	Lota Abrama sangpa nâi, Sodom khuaa om chu, a sumhai le ama khom lâkin an fe nôk ta.
GEN.14.13	Khan mi inkhat hong intân chu a hong lûta, Hebrai mi Abrama kha a hrila: Abrama chu Amor mi Mamre thing irkhang kôla om ngai kha a ni. Mamre chu Eskola sang le Anera sanghai an ni; annihai hi chu Abrama hai leh irkop an ni. 
GEN.14.14	Abrama’n a nâi kha suak hrangin an hruai ti an hriatin chu, a ina irzira mihriamhai, irchu sai tâk 318 a hruaihaia, Dan khua dênin a’rzûlhai ta. 
GEN.14.15	Khan zâna chu anni doi hrangin ama le a mihai kha a’rsempuihaia; an thathai ta. Hoba khua dênin an irzûlhaia. (Hoba chu Damaska khua hmâr tianga om a ni.) 
GEN.14.16	Khan sumpuan murdi chu a hong chôi nôk vinga, a nâi Lota le a sumhai khom, nupanghai khom a hong hruaihai nôka, mi dang om murdihai le.
GEN.14.17	Khan Kedorlaomera le a kôla rêng omhai a thathai zoiin chu Sodom rêng chu Save hualsûnga khan Abrama don hrangin a fea, (Save hual chu rêng hualsûng a ni ta.) 
GEN.14.18	 Khan Salem khuaa Rêng Melkisedeka’n bai le uain a lâka, Abrama a pêka. Ama chu Pathian inchungtak a ni. 
GEN.14.19	Melkisedeka’n Abrama chu sat a vura, “Irnêng le irvân siamtu, Pathian inchungtakin, Abrama chu satvur ri se! 
GEN.14.20	ni râlhai ni kuta nang pêktu, Pathian inchungtak chu inpâkin om ri se,” a tia. Khan Abrama’n ama kha itinrênga sôma inkhat a pêka. 
GEN.14.21	Khan Sodom khuaa rêngin Abrama kuang, “Mihriamhai hi ni pe’n lân, sumhai hi chu nangin la ro,” a tia. 
GEN.14.22+GEN.14.23	Khan, Abrama’n Sodom khuaa rêng kuang khan, “Pat malkhat khom, kekok insuina hruite khom, ni inei ite la no ning, itinrêng irvân neitu Pathian inchungtak makunga ki kut ki iphar a ni ta, anino’nchu, ‘Abrama chu keima irchongtir kêng ni itih hrang mo ni ma’ 
GEN.14.24	ruathartehai fâk inhek hrang le a ni zuihai mantum ti no chu ite la no ning; Anera hai, Eskola hai, Mamre haiin an mantumhai chu la ri sehai,” a tia.
GEN.15.1	Kha zoiin chu Abrama kuang Pathianin, “Abram chi no ro, kei hi ni pho le lômman hlutak ki ni,” tiin 
GEN.15.2	Khan Abrama’n, “O 
GEN.15.3	Khan Abrama’n, “Irngai roh irchi ni pe mak chea: en roh ki ina suak hi kêng ki’rchon lua hrang a ini ta,” a tia. 
GEN.15.4	“Khan irngai ro, kha mi khan ni’rchon lua thei no ni; nangma rîla ra ngêtin kêng nir chon chu a ilua hrang,” tiin 
GEN.15.5	 Khan pên tiang a hruaia, “Irvân khi en ro, ârsihai khi ni tep theiin chu tep ro, a tia. Khanchu 
GEN.15.6	 Khan 
GEN.15.7	Khan a kuang, “Hi ram lua hranga Kaldaihai khua, Ur ata hruai suaktu 
GEN.15.8	Khan Abrama’n, “O 
GEN.15.9	Khan ama khan, “Sehrât irla kum thuma le kêlpui kum thum mi le belrachal kum thum mi le vasu le phervalite ni hong chôi pe ta,” a tia. 
GEN.15.10	Khanchu a hong chôi pea, a laitaka a tuk tanhaia, phalkhatin a’rboptirhai vinga, vatehai chu tuk loiin. 
GEN.15.11	Irmuhai saruak fâk hrangin an chuma khan, Abrama’n a le’nhnotpaihai ngai.
GEN.15.12	 Khan khohloi misa tâk tôn chu Abrama chu a inmusu tâka; khan irngai ro, zîng irkhêltak hin a hong zîng dela. 
GEN.15.13	 Khan Abrama kuang Pathianin, “Ni’rchihai chu an ram ni loina hmuna chu mikhualin la om an ta, an sin an la itho pehai hrang a ni kha; kum 400 dengthei tuang an ta; 
GEN.15.14	 khan an sintho pehai chungthu khom ngaitua ki ti: khanchu sumpuan tamtak neiin suak an ti. 
GEN.15.15	Nangma chu ni’rchibulhai kuang irtharngam takin fe ni ti, ni sam chuak vinga tarin nang phûm an ti. 
GEN.15.16	Khan irlo minlinahai khom hin hong an ta; Amor-hai sualna hi a la’rkip no sikin,” a tia.
GEN.15.17	Khan, hiang hi a nia, misa a tâka rammual a hon thimin chu, irngai ro, meikhu senduk irzâmin kôlirtêk angin meichok luai luai inlôi a oma; 
GEN.15.18	 kha nî tena chu 
GEN.15.19	Ken-hai, Keniz-hai, Kadmonhai, 
GEN.15.20	Hit-hai, Periz-hai, Refaim-hai, 
GEN.15.21	Amor-hai, Kanaan-hai, Girgas-hai le Jebus-hai khom ki pêk sa,” tiin Abrama kuanga thu a thung tâka.
GEN.16.1	Khan Abrama dôngma Saraii khan chu nâi a neipui no sikin: Saraii khan Aigupta mi suaknu inkhat an idôn a oma, a’rhming chu Hagari a ni. 
GEN.16.2	Khan, Saraii khan Abrama kuang, “Irngai ro duah, 
GEN.16.3	Khanchu Abrama dôngma Saraii khan Abrama chu Kanaan rama kum 10 a om hnungin a suaknu Hagari chu a hruaia; a pasal Abrama kuanga a dôngma hrangin a pêka. 
GEN.16.4	Khan, Hagari kha a’rpôlpuia; an râia, khan an râi ti a’rhriatin chu a pi kha a theimâk tâka.
GEN.16.5	Khanchu Saraii khan Abrama kuang, “Ki thil tuang hi nangin a mô pêl ro: ki suaknu chu nangma ompui hrang ki tia, an râi ti a’rhriatin chu a ni theimâka; 
GEN.16.6	Abrama’n Saraii kuanga khan, “Irngai ro, ni suaknu chu ni kuta om kêng a ini, a sa ni iti lam takin lo ta ro,” a tia. Khanchu Saraii khan deng an theitira, a rotsan tâka. 
GEN.16.7	Khan 
GEN.16.8	“Hagari, Saraii suaknu, khô rengata ni ihong mo, khôna fe hrang mo ni ni?” a tia. Khan, ama’n, “Ka pi Saraii kuang ata ki hong irot a ni,” a tia.
GEN.16.9	Khan 
GEN.16.10	Vântîrtôn ngêtin a kuang, “Ni’rchi chu tep zoiloi rakin nang la’ntam pe ki ti,” a ti pe nôka. 
GEN.16.11	Vântîrtônin a kuang, “Irngai ro, nâi ni vong ta, nâipasal nei ni ta; Pathianin ni dengthei lam an hriat tâk sikin, a’rhming khom Ismaela ni iphua hrang a ni. 
GEN.16.12	Ama chu mihriam laia om loiin ram sakuartung angin; mi murdi doi a ta, mi tinin ama khom doi an ti; a urênghai leh khom omsuam no nihai,” a ti pe nôka.
GEN.16.13	Khan Hagari chu a chongpuitu 
GEN.16.14	Khasikin kêng tuisunsuak chu Beer-lahai-roi, iti a ni. “Tuisunsuak hring hmutu a ni,” Kades le Bered khua kâra om a ni. 
GEN.16.15	 Khan Hagari’n Abrama kha nâipasal a neipuia; khan Abrama’n Hagari leh an nâi chu a’rhming Ismaela a phuaa. 
GEN.16.16	Khan Hagari’n Abrama nâi a nei lai hin Abrama chu kum 86 mi a ni.
GEN.17.1	Khan Abrama kha kum 99 mi a niin 
GEN.17.2	Khanchu nangma le ei kâra thu thung ki ta, ni’rchi inpungtir ki ti,” a tia. 
GEN.17.3	Khan, Abrama chu khûksadelin a oma, Pathianin a chongpuia; 
