GEN.1.1	Pradžioje Dievas sutvėrė dangų ir žemę.
GEN.9.12	Ir Dievas tarė: „Ženklas sandoros, kurią darau tarp savęs ir jūsų bei visų gyvų padarų, kurie yra su jumis, per visas būsimas kartas
GEN.9.13	bus lankas debesyse. Jis tebūna sandoros ženklu tarp manęs ir žemės.
GEN.9.14	Sutelkęs debesis viršum žemės ir lankui pasirodžius debesyse,
GEN.9.15	atsiminsiu savo sandorą, kuri yra tarp manęs ir jūsų bei visų gyvų padarų, kad daugiau nebūtų tvano, sunaikinančio kiekvieną kūną žemėje.
GEN.9.16	Kai lankas bus debesyse, Aš jį pamatysiu ir atsiminsiu amžinąją sandorą tarp Dievo ir visų gyvų padarų, turinčių kūną, kurie yra ant žemės“.
GEN.9.17	Dievas tarė Nojui: „Tai yra sandoros ženklas, kurią Aš darau tarp savęs ir kiekvieno kūno, gyvenančio žemėje“.
GEN.9.18	Nojaus sūnūs, kurie išėjo iš arkos, buvo Semas, Chamas ir Jafetas; Chamas buvo Kanaano tėvas.
GEN.9.19	Šie trys yra Nojaus sūnūs ir iš jų atsirado visi žemės gyventojai.
GEN.9.20	Nojus pradėjo dirbti žemę ir įsiveisė vynuogyną.
GEN.9.21	Išgėręs vyno, pasigėrė ir gulėjo apsinuoginęs savo palapinėje.
GEN.9.22	Chamas, Kanaano tėvas, pamatęs savo tėvo nuogumą, pasakė broliams, kurie buvo lauke.
GEN.9.23	Semas ir Jafetas paėmė apsiaustą ir abu, užsimetę ant pečių, priėjo atbuli, ir apdengė savo tėvo nuogumą; jų veidai buvo nukreipti į priešingą pusę ir jie nematė savo tėvo nuogumo.
GEN.9.24	Nojus, išsiblaivęs nuo vyno ir sužinojęs, ką jam padarė jaunesnysis sūnus,
GEN.9.25	tarė: „Tebūna prakeiktas Kanaanas! Vergų vergas tebūna jis savo broliams!
GEN.9.26	Palaimintas Viešpats, Semo Dievas, o Kanaanas bus jo vergas!
GEN.9.27	Teišplečia Dievas Jafetą, ir tegu jis gyvena Semo palapinėse, o Kanaanas bus jo vergas!“
GEN.9.28	Tvanui praėjus, Nojus dar gyveno tris šimtus penkiasdešimt metų.
GEN.9.29	Taigi Nojaus amžius buvo devyni šimtai penkiasdešimt metų, ir jis mirė.
GEN.10.1	Tai yra Nojaus sūnų Semo, Chamo ir Jafeto palikuonys. Tvanui praėjus, jie susilaukė sūnų.
GEN.10.2	Jafeto sūnūs: Gomeras, Magogas, Madajas, Javanas, Tubalas, Mešechas ir Tyras.
GEN.10.3	Gomero sūnūs: Aškenazas, Rifatas ir Togarma.
GEN.10.4	Javano sūnūs: Eliša, Taršišas, Kitimas ir Dodanimas.
GEN.10.5	Iš šitų atsirado tautų grupės, gyvenančios savo žemėse, kiekviena su savo kalba ir pagal savo giminę savo tautose.
GEN.10.6	Chamo sūnūs: Kušas, Mizraimas, Putas ir Kanaanas.
GEN.10.7	Kušo sūnūs: Seba, Havila, Sabta, Rama ir Sabtecha. Ramos sūnūs: Šeba ir Dedanas.
GEN.10.8	Kušui gimė ir Nimrodas, kuris tapo galingas žemėje.
GEN.10.9	Jis buvo smarkus medžiotojas Viešpaties akyse. Todėl sakoma: „Smarkus medžiotojas kaip Nimrodas Viešpaties akyse“.
GEN.10.10	Jo karalystės pradžia buvo Babelė, Erechas, Akadas ir Kalnė Šinaro šalyje.
GEN.10.11	Iš čia jis išvyko į Asūrą ir pasistatė Ninevę, Rehobot Irą, Kelachą
GEN.10.12	ir Reseną tarp Ninevės ir Kelacho; tai yra didysis miestas.
GEN.10.13	Mizraimo sūnūs: Ludas, Anamimas, Lehabas, Naftuchimas,
GEN.10.14	Patrusimas, Kasluhas, iš kurio kilo filistinai, ir Kaftoras.
GEN.10.15	Kanaano palikuonys: pirmagimis Sidonas, Hetas,
GEN.10.16	jebusiečiai, amoritai, girgašai,
GEN.10.17	hivai, arkai, sinai,
GEN.10.18	arvadiečiai, cemarai ir hamatiečiai. Taip kanaaniečių giminės išsiplėtė.
GEN.10.19	Kanaaniečių ribos tęsėsi nuo Sidono link Geraro iki Gazos, link Sodomos, Gomoros, Admos bei Ceboimų iki Lešos.
GEN.10.20	Tai Chamo palikuonys pagal jų gentis, kalbas, šalis bei tautas.
GEN.10.21	Semas, visų Ebero sūnų tėvas, vyresnysis Jafeto brolis, taip pat turėjo sūnų.
GEN.10.22	Semo sūnūs: Elamas, Asūras, Arfaksadas, Ludas ir Aramas.
GEN.10.23	Aramo sūnūs: Ucas, Hulas, Geteras ir Mašas.
GEN.10.24	Arfaksado sūnus – Sala, o Salos – Eberas.
GEN.10.25	Eberas turėjo du sūnus: vienas vardu Pelegas, nes jo dienomis buvo padalinta žemė, antrasis – Joktanas.
GEN.10.26	Joktano sūnūs: Almodadas, Šelefas, Hacarmavetas, Jerachas,
GEN.10.27	Hadoramas, Uzalas, Dikla,
GEN.10.28	Obalas, Abimaelis, Šeba,
GEN.10.29	Ofyras, Havila ir Jobabas; visi jie yra Joktano sūnūs.
GEN.10.30	Jie gyveno nuo Mešos iki Sefaro kalno rytuose.
GEN.10.31	Šitie yra Semo palikuonys pagal jų gimines, kalbas, šalis bei tautas.
GEN.10.32	Šitos yra Nojaus sūnų giminės pagal jų palikuonis ir tautas; iš jų atsirado tautos žemėje po tvano.
GEN.11.1	Visi žemės gyventojai kalbėjo viena kalba.
GEN.11.2	Besikeldami toliau į rytus, jie rado lygumą Šinaro krašte ir ten apsigyveno.
GEN.11.3	Jie kalbėjosi: „Pasidirbinkime plytų ir gerai jas išdekime“. Plytas jie naudojo vietoje akmenų, o dervą – vietoje kalkių.
GEN.11.4	Jie tarėsi: „Pasistatykime miestą ir bokštą, kurio viršūnė siektų dangų. Išgarsinkime savo vardą prieš išsiskirstydami į visus kraštus!“
GEN.11.5	Viešpats nužengė pasižiūrėti miesto ir bokšto, kurį žmonės statė,
GEN.11.6	ir tarė: „Jie yra viena tauta ir visi kalba viena kalba. Jie pradėjo tai daryti ir nėra nieko, ko jie negalėtų pasiekti, jeigu nusprendžia.
GEN.11.7	Nusileiskime ir sumaišykime jų kalbą, kad jie nebesuprastų vienas kito!“
GEN.11.8	Viešpats juos išsklaidė po visą žemės paviršių, ir jie nustojo statę miestą.
GEN.11.9	Todėl tą miestą praminė Babele, nes ten Viešpats sumaišė jų kalbą ir iš ten Viešpats išsklaidė juos į visus žemės kraštus.
GEN.11.10	Šitie yra Semo palikuonys: Semas, būdamas šimto metų, dvejiems metams praėjus po tvano, susilaukė sūnaus Arfaksado.
GEN.11.11	Semas, gimus Arfaksadui, dar gyveno penkis šimtus metų ir susilaukė sūnų bei dukterų.
GEN.11.12	Kai Arfaksadui buvo trisdešimt penkeri metai, gimė sūnus Sala.
GEN.11.13	Po to Arfaksadas dar gyveno keturis šimtus trejus metus ir susilaukė sūnų bei dukterų.
GEN.11.14	Kai Salai buvo trisdešimt metų, gimė Eberas.
GEN.11.15	Po to Sala dar gyveno keturis šimtus trejus metus ir susilaukė sūnų bei dukterų.
GEN.11.16	Kai Eberui buvo trisdešimt ketveri metai, gimė Pelegas.
GEN.11.17	Po to Eberas dar gyveno keturis šimtus trisdešimt metų ir susilaukė sūnų bei dukterų.
GEN.11.18	Kai Pelegui buvo trisdešimt metų, gimė Reuvas.
GEN.11.19	Po to Pelegas dar gyveno du šimtus devynerius metus ir susilaukė sūnų bei dukterų.
GEN.11.20	Kai Reuvui buvo trisdešimt dveji metai, gimė Serugas.
GEN.11.21	Po to Reuvas dar gyveno du šimtus septynerius metus ir susilaukė sūnų bei dukterų.
GEN.11.22	Kai Serugui buvo trisdešimt metų, gimė Nahoras.
GEN.11.23	Po to Serugas dar gyveno du šimtus metų ir susilaukė sūnų bei dukterų.
GEN.11.24	Kai Nahorui buvo dvidešimt devyneri metai, gimė Tara.
GEN.11.25	Po to Nahoras dar gyveno šimtą devyniolika metų ir susilaukė sūnų bei dukterų.
GEN.11.26	Kai Tarai buvo septyniasdešimt metų, gimė Abromas, Nahoras ir Haranas.
GEN.11.27	Šitie yra Taros palikuonys: Abromas, Nahoras ir Haranas, o Harano sūnus – Lotas.
GEN.11.28	Haranas mirė, jo tėvui Tarai dar gyvam tebeesant, savo gimtoje šalyje, Chaldėjos Ūre.
GEN.11.29	Abromas ir Nahoras vedė. Abromo žmonos vardas buvo Saraja, o Nahoro – Milka; ji buvo duktė Harano, Milkos ir Iskos tėvo.
GEN.11.30	Saraja buvo nevaisinga: ji neturėjo vaikų.
GEN.11.31	Tara ėmė savo sūnų Abromą ir savo sūnaus Harano sūnų Lotą, marčią Sarają, sūnaus Abromo žmoną, ir jie iškeliavo iš Chaldėjos Ūro į Kanaano šalį. Atėję ligi Harano, jie ten įsikūrė.
GEN.11.32	Taros amžius buvo du šimtai penkeri metai, ir jis mirė Harane.
GEN.12.1	Viešpats tarė Abromui: „Palik savo šalį, gimines, tėvų namus ir eik į kraštą, kurį tau parodysiu.
GEN.12.2	Aš padarysiu tave didele tauta, tave laiminsiu ir padarysiu tavo vardą garsų; ir tu būsi palaiminimu.
GEN.12.3	Aš laiminsiu tuos, kurie tave laimina, ir prakeiksiu tuos, kurie tave keikia, ir tavyje bus palaimintos visos žemės giminės“.
GEN.12.4	Abromas iškeliavo, kaip Viešpats jam pasakė. Su juo drauge išėjo Lotas. Abromas buvo septyniasdešimt penkerių metų, kai jis išėjo iš Harano.
GEN.12.5	Abromas paėmė savo žmoną Sarają, brolio sūnų Lotą, visą turtą, kurį jie turėjo, žmones, kuriuos buvo įsigijęs Harane, ir išėjo į Kanaano šalį. Atėjęs į tą kraštą,
GEN.12.6	Abromas pasiekė Sichemo vietovę, Morės slėnį. Tuo laiku toje šalyje gyveno kanaaniečiai.
GEN.12.7	Ten Viešpats pasirodė Abromui ir tarė: „Tavo palikuonims duosiu šitą šalį“. Jis ten pastatė aukurą Viešpačiui, kuris jam pasirodė.
GEN.12.8	Iš ten jis keliavo į rytus nuo Betelio ir pasistatė palapinę. Betelis buvo vakaruose, Ajas – rytuose. Ten jis pastatė aukurą Viešpačiui ir šaukėsi Viešpaties vardo.
GEN.12.9	Abromas keliavo vis toliau į pietus.
GEN.12.10	Kilus badui toje šalyje, Abromas nuvyko pagyventi į Egiptą, nes šalyje buvo didelis badas.
GEN.12.11	Jiems priartėjus prie Egipto, jis tarė savo žmonai Sarajai: „Aš žinau, kad tu esi graži moteris
GEN.12.12	ir tave pamatę egiptiečiai sakys: ‘Ši yra jo žmona’. Tada jie užmuš mane, o tave pasilaikys.
GEN.12.13	Sakyk tad, jog esi mano sesuo, kad man gerai būtų dėl tavęs ir išlikčiau gyvas tavo dėka“.
GEN.12.14	Atsitiko, kad, kai tik Abromas įėjo į Egiptą, egiptiečiai pastebėjo, jog moteris labai graži.
GEN.12.15	Ją pamatę, faraono kunigaikščiai kalbėjo apie jos grožį faraonui. Moteris tuojau buvo paimta į faraono namus,
GEN.12.16	o su Abromu jis gerai elgėsi dėl jos: jis turėjo avių, galvijų, asilų, tarnų, tarnaičių, asilių ir kupranugarių.
GEN.12.17	Viešpats baudė faraoną ir jo namus dėl Sarajos, Abromo žmonos.
GEN.12.18	Faraonas tada pasišaukė Abromą ir tarė: „Ką tu man padarei? Kodėl man nesakei, kad ji tavo žmona?
GEN.12.19	Kodėl sakei, kad ji tavo sesuo? Aš norėjau paimti ją sau už žmoną. Taigi štai tavo žmona, imk ją ir keliauk savo keliais“.
GEN.12.20	Faraonas įsakė savo žmonėms palydėti jį, jo žmoną ir visa, ką jis turėjo.
GEN.13.1	Abromas su žmona ir viskuo, ką jis turėjo, išėjo iš Egipto į pietų šalį. Su jais iškeliavo ir Lotas.
GEN.13.2	Abromas buvo labai turtingas: turėjo daug gyvulių, sidabro ir aukso.
GEN.13.3	Jis keliavo atgal tuo pačiu keliu, kuriuo buvo atėjęs, Betelio link iki tos vietos, kur pradžioje tarp Betelio ir Ajo buvo pasistatęs palapinę,
GEN.13.4	iki tos vietos, kur buvo anksčiau pasidaręs aukurą. Čia Abromas šaukėsi Viešpaties vardo.
GEN.13.5	Lotas, kuris keliavo su Abromu, taip pat turėjo avių, galvijų ir palapinių.
GEN.13.6	Kraštas negalėjo sutalpinti jų ir išmaitinti jų gyvulių, nes jų bandos buvo per didelės.
GEN.13.7	Kilo vaidas tarp Abromo ir Loto piemenų. Tada tebegyveno tame krašte kanaaniečiai ir perizai.
GEN.13.8	Abromas tarė Lotui: „Tenebūna vaidų tarp manęs ir tavęs, tarp mano piemenų ir tavo piemenų, nes esame broliai!
GEN.13.9	Ar ne visa šalis tau atvira? Skirkis nuo manęs! Jei eisi į kairę, aš eisiu į dešinę, o jei tu eisi į dešinę, tai aš eisiu į kairę“.
GEN.13.10	Lotas pakėlė akis ir pamatė, kad visa Jordano apylinkė – prieš Viešpačiui sunaikinant Sodomą ir Gomorą – Coaro link buvo gerai drėkinama kaip Viešpaties sodas, kaip Egipto šalis.
GEN.13.11	Lotas pasirinko Jordano lygumą ir patraukė į rytus. Taip juodu išsiskyrė.
GEN.13.12	Abromas gyveno Kanaano šalyje, o Lotas – lygumos miestuose: Sodomos link statėsi palapines.
GEN.13.13	Sodomos žmonės buvo nedori ir labai nusidėję Viešpačiui.
GEN.13.14	Viešpats tarė Abromui, kai Lotas nuo jo atsiskyrė: „Pakelk akis ir pažvelk iš vietos, kurioje esi, į šiaurę ir į pietus, į rytus ir į vakarus!
GEN.13.15	Visą žemę, kurią matai, duosiu tau ir tavo palikuonims visam laikui.
GEN.13.16	Padarysiu tavo palikuonių tiek daug, kiek dulkių ant žemės. Jei kas galėtų suskaičiuoti žemės dulkes, tai ir tavo palikuonis galėtų suskaičiuoti.
GEN.13.17	Kelkis, pereik žemę išilgai ir skersai, nes Aš tau ją duosiu!“
GEN.13.18	Abromas susivyniojo palapinę ir nuėjo iki Mamrės ąžuolų Hebrone. Ten jis pastatė Viešpačiui aukurą.
GEN.14.1	Anomis dienomis karalius Amrafelis iš Šinaro, karalius Arjochas iš Elasaro, Elamo karalius Kedorlaomeras ir Goimo karalius Tidalas
GEN.14.2	pradėjo karą su Sodomos karaliumi Bera, Gomoros karaliumi Birša, Admos karaliumi Šinabu, Ceboimo karaliumi Šemeberu ir karaliumi Belos, dar vadinamo Coaru.
GEN.14.3	Visi šitie, sudarę sąjungą, ėjo į Sidimo slėnį, kur dabar yra Druskos jūra.
GEN.14.4	Dvylika metų jie tarnavo Kedorlaomeriui, o tryliktaisiais metais sukilo.
GEN.14.5	Keturioliktaisiais metais atėjo Kedorlaomeris ir jo sąjungininkai. Jie sumušė refajus Aštarot Karnaime, zūzus Hame, emus Šave Kirjataimo lygumoje
GEN.14.6	ir horus Seyro kalne iki El Parano, kuris siekia dykumą.
GEN.14.7	Paskui jie atėjo į En Mišpatą, tai yra Kadešą, ir nusiaubė visą amalekiečių kraštą ir amoritus, kurie gyveno Hacecon Tamaroje.
GEN.14.8	Tada išėjo Sodomos, Gomoros, Admos, Ceboimo ir Belos karaliai ir išsirikiavo kovai Sidimo slėnyje:
GEN.14.9	prieš Elamo karalių Kedorlaomerį, Goimo karalių Tidalą, Šinaro karalių Amrafelį ir Elasaro karalių Arjochą – keturi karaliai prieš penkis.
GEN.14.10	Sidimo slėnis buvo pilnas dervos duobių. Bėgdami Sodomos ir Gomoros karaliai įkrito į jas, o likusieji pabėgo į kalnus.
GEN.14.11	Laimėtojai, pasigrobę visą Sodomos bei Gomoros turtą ir visas atsargas, nuėjo.
GEN.14.12	Jie taip pat paėmė Abromo brolio sūnų Lotą, kuris gyveno Sodomoje, ir jo turtą.
GEN.14.13	Vienas iš pabėgusiųjų atėjęs pranešė tai Abromui, hebrajui, gyvenančiam amorito Mamrės ąžuolyne; Mamrė ir jo broliai Eškolas ir Aneras buvo Abromo sąjungininkai.
GEN.14.14	Abromas išgirdęs, kad jo brolio sūnus buvo išvestas į nelaisvę, apginklavo tris šimtus aštuoniolika savo išlavintų tarnų, gimusių jo namuose, ir vijosi priešą iki Dano.
GEN.14.15	Jis, padalinęs savo būrį, užpuolė juos nakčia, sumušė ir vijosi juos ligi Hobos, kuri yra į kairę nuo Damasko,
GEN.14.16	ir atsiėmė jų pagrobtą turtą, Lotą ir jo turtą, moteris ir žmones.
GEN.14.17	Kai Abromas sugrįžo, nugalėjęs Kedorlaomerį ir karalius, kurie buvo su juo, Sodomos karalius išėjo jo pasitikti į Šavės slėnį – Karaliaus slėnį.
GEN.14.18	Melchizedekas, Salemo karalius, atnešė duonos ir vyno. Jis buvo aukščiausiojo Dievo kunigas.
GEN.14.19	Jis laimino jį, sakydamas: „Tebūna Abromas palaimintas aukščiausiojo Dievo, dangaus ir žemės valdovo!
GEN.14.20	Tebūna šlovinamas aukščiausiasis Dievas, kuris atidavė tavo priešus į tavo rankas!“ Ir Abromas davė jam dešimtinę nuo visko.
GEN.14.21	Sodomos karalius tarė Abromui: „Atiduok man žmones, o turtą pasilaikyk!“
GEN.14.22	Bet Abromas tarė Sodomos karaliui: „Aš, pakėlęs ranką, prisiekiu aukščiausiuoju Dievu, dangaus ir žemės valdovu:
GEN.14.23	nei siūlo galo, nei kurpių dirželio, nei ko nors kito, kas tau priklauso, aš neimsiu, kad nesakytum: ‘Aš padariau Abromą turtingą!’
GEN.14.24	Aš nieko neimsiu, išskyrus tai, ką suvalgė jaunuoliai ir kas priklauso vyrams: Anerui, Eškolui ir Mamrei, kurie ėjo su manimi. Jie tepasiima savo dalį“.
GEN.15.1	Po šių įvykių Viešpats prabilo į Abromą regėjime: „Nebijok, Abromai! Aš esu tavo skydas ir labai didelis atlygis!“
GEN.15.2	Abromas tarė: „Viešpatie Dieve! Ką Tu man duosi? Aš neturiu vaikų, mano namų paveldėtojas bus damaskietis Eliezeras.
GEN.15.3	Man nedavei vaikų, ir štai tarnas, gimęs mano namuose, yra mano įpėdinis“.
GEN.15.4	Viešpats atsakė jam: „Ne šitas bus tavo paveldėtojas, bet tas, kuris gims iš tavęs“.
GEN.15.5	Ir, išvedęs jį laukan, tarė: „Pažvelk į dangų ir, jei gali, suskaičiuok žvaigždes! Tiek bus tavo palikuonių!“
GEN.15.6	Abromas patikėjo Dievu, ir tai jam buvo įskaityta teisumu.
GEN.15.7	Dievas kalbėjo: „Aš esu Viešpats, kuris tave išvedžiau iš Chaldėjos miesto Ūro, kad tu paveldėtum šitą šalį“.
GEN.15.8	Abromas tarė: „Viešpatie Dieve! Iš kur galiu žinoti, kad ją paveldėsiu?“
GEN.15.9	Tada Jis tarė jam: „Atvesk man trejų metų karvę, trejų metų ožką, trejų metų aviną, balandį ir jauną karvelį“.
GEN.15.10	Abromas, atvedęs visus gyvulius, padalino pusiau ir padėjo kiekvieną gabalą vienas prieš kitą, tačiau paukščių nedalino.
GEN.15.11	Plėšrieji paukščiai atskrido prie mėsos, bet Abromas juos nubaidė.
GEN.15.12	Saulei leidžiantis, gilus miegas apėmė Abromą, siaubas ir didelė tamsa jį apėmė.
GEN.15.13	Tada Viešpats tarė Abromui: „Žinok, kad tavo palikuonys bus ateiviai svetimame krašte, jie vergaus ir bus spaudžiami keturis šimtus metų.
GEN.15.14	Tautą, kuriai jie vergaus, Aš teisiu, ir tada jie iš ten išeis su dideliu turtu.
GEN.15.15	O tu ramybėje nueisi pas savo tėvus ir būsi palaidotas, sulaukęs žilos senatvės.
GEN.15.16	Ketvirtoji karta sugrįš čia, nes amoritų nusikaltimų saikas dar nėra pilnas“.
GEN.15.17	Nusileidus saulei ir sutemus, štai pasirodė rūkstanti krosnis ir liepsnojantis deglas ir praėjo tarp tų mėsos gabalų.
GEN.15.18	Tą dieną Viešpats padarė su Abromu sandorą, sakydamas: „Tavo palikuonims atidaviau visą žemę nuo Egipto upės iki didžiosios Eufrato upės:
GEN.15.19	kenitus, kenazus, kadmonitus,
GEN.15.20	hetitus, perizus, refajus,
GEN.15.21	amoritus, kanaaniečius, girgašus ir jebusiečius“.
GEN.16.1	Abromo žmona Saraja neturėjo vaikų. Ji turėjo tarnaitę egiptietę, vardu Hagara.
GEN.16.2	Saraja tarė Abromui: „Viešpats nedavė man vaikų gimdyti. Prašau, įeik pas mano tarnaitę, galbūt per ją aš turėsiu vaikų“. Abromas paklausė Sarajos.
GEN.16.3	Abromui išgyvenus dešimt metų Kanaano šalyje, Saraja, Abromo žmona, savo tarnaitę egiptietę Hagarą davė savo vyrui Abromui už žmoną.
GEN.16.4	Jis įėjo pas Hagarą, ir ji pastojo. Hagara pastojusi su panieka ėmė žiūrėti į savo valdovę.
GEN.16.5	Tada Saraja tarė Abromui: „Širdgėla, kurią turiu, tegula ant tavęs! Aš pati daviau savo tarnaitę tau į glėbį, tačiau ji, pasijutusi nėščia, su panieka ėmė žiūrėti į mane. Viešpats tebūna teisėjas tarp manęs ir tavęs“.
GEN.16.6	Abromas tarė Sarajai: „Tavo tarnaitė yra tavo rankose. Elkis su ja, kaip tau patinka“. Kai Saraja ėmė ją spausti, ta pabėgo.
GEN.16.7	Viešpaties angelas, radęs ją prie vandens šaltinio dykumoje, prie kelio į Šūrą,
GEN.16.8	tarė: „Hagara, Sarajos tarnaite, iš kur atėjai ir kur eini?“ Ji atsakė: „Bėgu nuo savo valdovės Sarajos“.
GEN.16.9	Viešpaties angelas jai tarė: „Sugrįžk pas savo valdovę ir nusižemink prieš ją.
GEN.16.10	Aš taip padauginsiu tavo palikuonis, kad jų net suskaičiuoti nebus galima.
GEN.16.11	Štai tu esi nėščia ir pagimdysi sūnų. Tu jį pavadinsi Izmaeliu, nes Viešpats išgirdo apie tavo priespaudą.
GEN.16.12	Tavo sūnus gyvens kaip laukinis asilas: jis bus prieš visus ir visi prieš jį, jis gyvens šalia savo brolių“.
GEN.16.13	Ir Viešpatį, kuris su ja kalbėjo, Hagara pavadino: „Tu esi Dievas, kuris mane matai“. Nes ji sakė: „Aš tikrai mačiau Dievą, kuris mato mane“.
GEN.16.14	Todėl tą šulinį pavadino Lahai Roiju. Jis yra tarp Kadešo ir Beredo.
GEN.16.15	Hagara pagimdė Abromui sūnų. Abromas pavadino jį vardu Izmaelis.
GEN.16.16	Abromui buvo aštuoniasdešimt šešeri metai, kai Hagara pagimdė jam sūnų.
GEN.17.1	Kai Abromas buvo devyniasdešimt devynerių metų amžiaus, Viešpats pasirodė Abromui ir tarė: „Aš esu Dievas Visagalis, vaikščiok mano akivaizdoje ir būk tobulas.
GEN.17.2	Aš sudarysiu sandorą su tavimi ir labai padauginsiu tavo palikuonis“.
