GEN.1.1	Pradžioje Dievas sukūrė dangų ir žemę. 
GEN.10.18	arvadiečiai, cemarai ir hamatiečiai. Po to kanaaniečių kiltys pasklido. 
GEN.10.19	Kanaaniečių žemė nuo Sidono driekėsi Geraro kryptimi iki pat Gazos, o Sodomos, Gomoros, Admos ir Ceboimų kryptimi – iki pat Lešos. 
GEN.10.20	Tokie tat Chamo palikuonys pagal jų kiltis ir kalbas, kraštus ir tautas.
GEN.10.21	Taip pat ir Semui, visų Ebero vaikų protėviui ir vyresniam Jafeto broliui, gimė vaikų. 
GEN.10.22	Semo palikuonys: Elamas, Asūras, Arpachšadas, Ludas ir Aramas. 
GEN.10.23	Aramo palikuonys: Ucas, Hulas, Geteras ir Mašas. 
GEN.10.24	Arpachšadui gimė Šelachas, o Šelachui – Eberas. 
GEN.10.25	Eberui gimė du sūnūs: pirmasis buvo vardu Pelegas, nes jo dienomis buvo padalyta žemė
GEN.10.26	Joktanui gimė Almodadas, Šelefas, Hacarmavetas, Jerachas, 
GEN.10.27	Hadoramas, Uzalas, Dikla, 
GEN.10.28	Obalas, Abimaelis, Šeba, 
GEN.10.29	Ofyras, Havila ir Jobabas. Tai vis Joktano palikuonys. 
GEN.10.30	Jų gyvenvietės driekėsi nuo Mešos iki pat Sefaro, iki kalnų krašto rytuose. 
GEN.10.31	Tokie tat Semo palikuonys pagal jų kiltis ir kalbas, kraštus ir tautas.
GEN.10.32	Tokios tat Nojaus sūnų kiltys pagal jų šeimas ir tautas. Po tvano iš jų pasklido tautos žemėje.
GEN.11.1	Visa žemė turėjo vieną kalbą ir tuos pačius žodžius. 
GEN.11.2	Atsikėlę iš rytų žmonės rado slėnį Šinaro krašte ir ten įsikūrė. 
GEN.11.3	Vieni kitiems jie sakė: „Eime, pasidirbkime plytų ir jas išdekime“. Vietoj akmens jie naudojo plytas, o vietoj kalkių – bitumą. 
GEN.11.4	„Eime, – sakė jie, – pasistatykime miestą ir bokštą su dangų siekiančia viršūne ir pasidarykime sau vardą, kad nebūtume išblaškyti po visą žemės paviršių“.
GEN.11.5	O 
GEN.11.6	Ir tarė 
GEN.11.7	Eime, nuženkime ir sumaišykime jų kalbą, kad nebesuprastų, ką sako vienas kitam“. 
GEN.11.8	Taip tat 
GEN.11.9	Tada jis buvo pavadintas Babeliu
GEN.11.10	Štai Semo palikuonys. Semas buvo šimtametis, kai po dvejų metų po tvano jam gimė Arpachšadas. 
GEN.11.11	Arpachšadui gimus, Semas gyveno penkis šimtus metų ir turėjo kitų sūnų bei dukterų.
GEN.11.12	Arpachšadas buvo trisdešimt penkerių metų, kai jam gimė Šelachas. 
GEN.11.13	Šelachui gimus, Arpachšadas gyveno keturis šimtus trejus metus ir turėjo kitų sūnų bei dukterų.
GEN.11.14	Šelachas buvo trisdešimtmetis, kai jam gimė Eberas. 
GEN.11.15	Eberui gimus, Šelachas gyveno keturis šimtus trejus metus ir turėjo kitų sūnų bei dukterų.
GEN.11.16	Eberas buvo trisdešimt ketverių metų, kai jam gimė Pelegas. 
GEN.11.17	Pelegui gimus, Eberas gyveno keturis šimtus trisdešimt metų ir turėjo kitų sūnų bei dukterų.
GEN.11.18	Pelegas buvo trisdešimtmetis, kai jam gimė Reuvas. 
GEN.11.19	Reuvui gimus, Pelegas gyveno du šimtus devynerius metus ir turėjo kitų sūnų bei dukterų.
GEN.11.20	Reuvas buvo trisdešimt dvejų metų, kai jam gimė Serugas. 
GEN.11.21	Serugui gimus, Reuvas gyveno du šimtus septynerius metus ir turėjo kitų sūnų bei dukterų.
GEN.11.22	Serugas buvo trisdešimtmetis, kai jam gimė Nahoras. 
GEN.11.23	Nahorui gimus, Serugas gyveno du šimtus metų ir turėjo kitų sūnų bei dukterų.
GEN.11.24	Nahoras buvo dvidešimt devynerių metų, kai jam gimė Terachas. 
GEN.11.25	Terachui gimus, Nahoras gyveno šimtą devyniolika metų ir turėjo kitų sūnų bei dukterų.
GEN.11.26	Terachas buvo septyniasdešimtmetis, kai jam gimė Abromas, Nahoras ir Haranas.
GEN.11.27	Štai Teracho palikuonys. Terachui gimė Abromas, Nahoras ir Haranas. O Haranui gimė Lotas. 
GEN.11.28	Haranas mirė gimtajame krašte – chaldėjų Ūre anksčiau už savo tėvą Terachą. 
GEN.11.29	Abromas ir Nahoras vedė. Abromo žmona buvo Saraja, o Nahoro – Milka, Milkos ir Iskos tėvo Harano duktė. 
GEN.11.30	Saraja buvo nevaisinga ir neturėjo vaikų.
GEN.11.31	Terachas pasiėmė sūnų Abromą, vaikaitį Lotą, Harano sūnų, savo marčią Sarają, Abromo žmoną, ir išėjo su jais iš chaldėjų Ūro į Kanaano kraštą. Atėję į Haraną, jie ten apsigyveno. 
GEN.11.32	Terachas gyveno du šimtus penkerius metus. Terachas mirė Harane.
GEN.12.1	savo tėvo namų,
GEN.12.1	į kraštą, kurį tau parodysiu.
GEN.12.2	Padarysiu iš tavęs didelę tautą
GEN.12.2	ir palaiminsiu tave;
GEN.12.2	išaukštinsiu tavo vardą,
GEN.12.2	ir tu būsi palaiminimas.
GEN.12.3	Laiminsiu tave laiminančius
GEN.12.3	ir keiksiu tave keikiančius;
GEN.12.3	tavyje palaiminimą“.
GEN.12.4	Abromas išėjo, kaip 
GEN.12.5	Abromas pasiėmė savo žmoną Sarają, brolio sūnų Lotą, visus turtus, kuriuos buvo sukaupę, ir visus žmones, kuriuos buvo Harane įsigiję. Jie leidosi į Kanaano kraštą ir į Kanaano kraštą atkeliavo. 
GEN.12.6	Tarpais sustodamas, Abromas per Kanaano kraštą keliavo iki pat Morės ąžuolo vietovės prie Sichemo. (Tuomet krašte buvo kanaaniečiai.)
GEN.12.8	Iš čia jis pajudėjo kalnų link į rytus nuo Betelio ir pasistatė savo palapinę; į vakarus nuo jos buvo Betelis, o į rytus – Ajas. Ir čia pastatė aukurą ir vardu šaukėsi 
GEN.12.9	Po to Abromas, tarpais sustodamas, keliavo Negebo link.
GEN.12.10	Krašte kilo badas. Abromas kėlėsi į Egiptą gyventi kaip ateivis, nes badas krašte buvo nuožmus. 
GEN.12.11	Prieš pat įeinant į Egiptą, jis kreipėsi į savo žmoną Sarają: „Žinau, kokia tu graži moteris. 
GEN.12.12	Egiptiečiai, tave pamatę, pamanys: ‘Tai jo žmona’. Mane jie užmuš, o tave paliks gyvą. 
GEN.12.13	Tad prašyčiau 
GEN.12.14	Abromui įėjus į Egiptą, egiptiečiai matė, kad moteris buvo labai graži. 
GEN.12.15	Ją pastebėję faraono dvariškiai labai išgyrė faraonui. Moteris tada buvo paimta į faraono šeimyną. 
GEN.12.16	Per ją Abromui gerai sekėsi. Jis įsigijo avių, jaučių, asilų, vergų ir vergių, asilių ir kupranugarių.
GEN.12.17	Bet už Abromo žmoną Sarają 
GEN.12.18	Faraonas pasišaukė Abromą ir sakė jam: „Ką tu padarei! Kodėl nepasakei, kad ji tavo žmona? 
GEN.12.19	Kodėl sakei: ‘Ji mano sesuo’? Aš paėmiau ją už žmoną. O dabar štai tavo žmona! Pasiimk ir išeik!“
GEN.12.20	Faraonas davė savo vyrams nurodymų, ką daryti, ir tie išvarė jį drauge su žmona ir viskuo, ką turėjo.
GEN.13.1	Drauge su žmona ir viskuo, ką turėjo, Abromas iš Egipto nusikėlė į Negebą. Kartu buvo ir Lotas. 
GEN.13.2	Dabar Abromas turėjo labai daug galvijų, sidabro ir aukso. 
GEN.13.3	Iš Negebo, vienur kitur sustodamas, jis nukeliavo iki pat Betelio – tos vietos, kur iš pradžių buvo pasistatęs palapinę tarp Betelio ir Ajo, 
GEN.13.4	tos vietos, kur pirmiau buvo padaręs aukurą. Čia Abromas vardu šaukėsi 
GEN.13.5	Lotas, keliavęs kartu su Abromu, taip pat turėjo avių ir galvijų kaimenių bei palapinių. 
GEN.13.6	O kraštas negalėjo jų abiejų, gyvenančių drauge, išlaikyti. Jų nuosavybė buvo tokia didelė, kad jie nebegalėjo likti kartu. 
GEN.13.7	Be to, kildavo vaidų tarp Abromo ir Loto galvijų piemenų. Krašte tuomet gyveno kanaaniečiai ir perizai.
GEN.13.8	Tada Abromas tarė Lotui: „Prašyčiau, kad nebūtų vaido tarp manęs ir tavęs ar tarp mano piemenų ir tavo piemenų, nes esame giminaičiai. 
GEN.13.9	Argi ne visas kraštas prieš tave? Prašyčiau atsiskirti nuo manęs. Jei tu eisi į kairę, aš eisiu į dešinę, jei tu eisi į dešinę, aš eisiu į kairę“. 
GEN.13.10	Lotas apsižvalgė aplinkui ir pamatė, kad Jordano lyguma iki pat Coaro buvo gerai drėkinama, kaip paties 
GEN.13.11	Lotas pasirinko visą Jordano lygumą ir nusikėlė rytų link. Jiedu taip ir atsiskyrė vienas nuo kito. 
GEN.13.12	Abromas apsigyveno Kanaano krašte, o Lotas įsikūrė tarp Lygumos miestų ir pasistatė savo palapines prie Sodomos. 
GEN.13.13	O Sodomos gyventojai buvo nedori ir labai nusidėję 
GEN.13.14	Lotui atsiskyrus, 
GEN.13.15	nes visą kraštą, kurį matai, amžinai atiduosiu tau ir tavo palikuonims. 
GEN.13.16	Padarysiu tavo palikuonis gausius tarsi žemės dulkės. Jei kas galėtų suskaityti žemės dulkes, tai ir tavo palikuonys galėtų būti suskaityti. 
GEN.13.17	Pakilk, pereik išilgai ir skersai kraštą, nes tau jį atiduosiu“. 
GEN.13.18	Abromas išardė savo palapinę ir nusikėlė gyventi prie Mamrės ąžuolų, arti Hebrono. Ten jis pastatė 
GEN.14.1	Šinaro karaliaus Amrafelio, Elasaro karaliaus Arjocho, Elamo karaliaus Kedorlaomero ir Goimų karaliaus Tidalo dienomis 
GEN.14.2	šie karaliai išėjo į karą su Sodomos karaliumi Bera, Gomoros karaliumi Birša, Admos karaliumi Šinabu, Ceboimų karaliumi Šemeberu ir Belos (tai yra Coaro) karaliumi. 
GEN.14.3	Pastarieji susirinko Sidimų slėnyje, kur dabar Druskos jūra
GEN.14.4	Dvylika metų jie buvo vergavę Kedorlaomerui, bet tryliktaisiais metais sukilo. 
GEN.14.5	Keturioliktaisiais metais Kedorlaomeras ir jam artimi karaliai atžygiavo ir numalšino refajus Aštarot Karnaimuose, zuzus Hame, emus Šave Kirjataimuose 
GEN.14.6	ir horus Seyro kalnuose iki pat El Parano dykumos pakraščio. 
GEN.14.7	Grįždami jie atėjo į En Mišpatą (tai yra Kadešą) ir numalšino visą amalekiečių kraštą bei amoritus, gyvenusius Hacecon Tamaroje. 
GEN.14.8	Tuomet Sodomos karalius, Gomoros karalius, Admos karalius, Ceboimų karalius ir Belos (tai yra Coaro) karalius išžygiavo ir stojo į mūšį Sidimų slėnyje 
GEN.14.9	su Elamo karaliumi Kedorlaomeru, Goimų karaliumi Tidalu, Šinaro karaliumi Amrafeliu ir Elasaro karaliumi Arjochu – keturi karaliai prieš penkis. 
GEN.14.10	O Sidimų slėnis buvo pilnas bitumo duobių. Sodomos ir Gomoros karaliai bėgdami įkrito į jas, o likusieji pabėgo į kalnus. 
GEN.14.11	[Nugalėtojai] pagrobė visus Sodomos ir Gomoros turtus bei visas maisto atsargas ir pasitraukė, 
GEN.14.12	pagrobdami ir Sodomoje gyvenusį Abromo brolio sūnų Lotą su jo turtais.
GEN.14.13	Bėglys atnešė žinią hebrajui Abromui, gyvenusiam prie amorito Mamrės, Eškolo ir Anero brolio, ąžuolų. Jie buvo Abromo sąjungininkai. 
GEN.14.14	Išgirdęs, kad jo brolio sūnus pagrobtas į nelaisvę, Abromas sutelkė tris šimtus aštuoniolika vyrų – savo išlaikytinių, gimusių jo šeimynoje – ir vijosi iki pat Dano. 
GEN.14.15	Naktį, paskirstęs prieš grobikus savo vyrus, jis ir jo tarnai juos užpuolė, nugalėjo ir nusivijo iki Hobos į šiaurę nuo Damasko. 
GEN.14.16	Jis atėmė visus turtus, atėmė taip pat savo brolio sūnų Lotą ir jo turtus, moteris bei kitus žmones.
GEN.14.17	Kai Abromas sugrįžo nugalėjęs Kedorlaomerą ir su juo buvusius karalius, Sodomos karalius išėjo jo pasitikti į Šavės (tai yra Karaliaus) slėnį. 
GEN.14.18	O Salemo karalius Melchizedekas atnešė duonos ir vyno. Jis buvo Dievo Aukščiausiojo kunigas. 
GEN.14.19	Jis palaimino Abromą, tardamas:
GEN.14.19	„Tepalaimina Abromą
GEN.14.19	Dievas Aukščiausiasis,
GEN.14.19	dangaus ir žemės Kūrėjas!
GEN.14.20	Tebūna pašlovintas Dievas Aukščiausiasis,
GEN.14.20	kuris tau į rankas atidavė tavo priešus!“
GEN.14.20	Abromas jam davė nuo visko dešimtinę. 
GEN.14.21	Tuomet Sodomos karalius tarė Abromui: „Duok man žmones, o turtus pasiimk sau“. 
GEN.14.22	Abromas atsakė Sodomos karaliui: „Aš prisiekiau 
GEN.14.23	kad neimsiu nei siūlo galo, nei apavo dirželio, nei ko nors, kas tau priklauso, idant nesakytumei: ‘Aš padariau Abromą turtingą’. 
GEN.14.24	Tebūna man tik tai, ką suvalgė su manimi ėjusieji vyrai, ir su manimi ėjusiųjų vyrų – Anero, Eškolo ir Mamrės – dalis. Tebūna leista jiems pasiimti savo dalį“.
GEN.15.1	Po šių įvykių Abromas matė regėjimą, ir pasigirdo 
GEN.15.2	Bet Abromas atsakė: „Viešpatie 
GEN.15.3	Abromas pridūrė: „Palikuonio man nedavei, todėl vergas, gimęs mano namuose, bus mano įpėdinis“. 
GEN.15.4	Ir štai išgirdo jis 
GEN.15.5	Išvedęs jį laukan, tęsė: „Pažvelk į dangų ir suskaičiuok žvaigždes, jei gali jas suskaičiuoti“. Po to tarė: 
GEN.15.6	Jis patikėjo 
GEN.15.7	Tuomet jis tarė jam: „Aš esu 
GEN.15.8	– „Viešpatie 
GEN.15.9	Jis atsakė: „Parūpink man treigę telyčią, treigę ožką, treigį aviną, purplelį ir jauną balandį“. 
GEN.15.10	Jis visus juos parūpino, perkirto pusiau ir suguldė puses vieną priešais kitą. O paukščių pusiau neperkirto. 
GEN.15.11	Plėšrieji paukščiai leidosi ant skerdienos, bet Abromas juos nuvaikė.
GEN.15.12	Saulei leidžiantis, Abromą apėmė didelis miegas ir apgaubė didelė, baisi tamsa. 
GEN.15.13	Tuomet 
GEN.15.14	Bet tautą, kuriai jie vergaus, aš teisiu. Po to jie išeis su dideliu lobiu. 
GEN.15.15	Tu nueisi pas savo protėvius ramybėje ir būsi palaidotas sulaukęs žilos senatvės. 
GEN.15.16	O čia sugrįš jų ketvirta karta, nes amoritų nedorumo saikas dar neprisipildė“.
GEN.15.17	Saulei nusileidus ir tamsai įsiviešpatavus, rūkstantis žarijų indas ir liepsnojantis deglas perėjo tarp anų skerdienos pusių
GEN.15.18	Tą dieną 
GEN.15.19	kraštą kainitų, kenazų, kedemiečių, 
GEN.15.20	hetitų, perizų, refajų, 
GEN.15.21	amoritų, kanaaniečių, girgašų ir jebusiečių“.
GEN.16.1	Abromo žmona Saraja nebuvo pagimdžiusi jam vaikų. Ji turėjo egiptietę tarnaitę, vardu Hagara. 
GEN.16.2	Saraja kreipėsi į Abromą: „Žiūrėk, 
GEN.16.3	Taigi tada, kai Abromas buvo išgyvenęs dešimt metų Kanaano krašte, Abromo žmona Saraja paėmė savo egiptietę tarnaitę Hagarą ir davė ją savo vyrui Abromui kaip žmoną. 
GEN.16.4	Jis suėjo su Hagara, ir ji pastojo. Pamačiusi, kad tapo nėščia, ji ėmė žiūrėti į savo šeimininkę su panieka. 
GEN.16.5	Tuomet Saraja tarė Abromui: „Tu kaltas dėl man daromos skriaudos! Daviau savo tarnaitę tau į glėbį, o ji, pasijutusi nėščia, žiūri į mane su panieka. Tebūna 
GEN.16.6	Abromas atsakė Sarajai: „Tavo tarnaitė tavo rankose. Daryk su ja, kas tau tinka“. Saraja tat su ja taip šiurkščiai elgėsi, kad ši nuo jos pabėgo.
GEN.16.8	ir tarė: „Hagara, Sarajos verge, iš kur ateini ir kur eini?“ Ji atsakė: „Bėgu nuo savo šeimininkės Sarajos“. 
GEN.16.9	 angelas tarė jai: „Grįžk pas savo šeimininkę ir paklusk jos šiurkščiai rankai, 
GEN.16.10	nes, – kalbėjo toliau jai 
GEN.16.10	padarysiu tavo palikuonis tokius gausius,
GEN.16.10	kad jie per daugumą bus nesuskaitomi“.
GEN.16.11	„Žiūrėk, tu esi nėščia ir pagimdysi sūnų;
GEN.16.11	pavadinsi jį Izmaeliu
GEN.16.11	nes 
GEN.16.12	Jis bus smarkus žmogus,
GEN.16.12	ranką pakėlęs prieš visus,
GEN.16.12	o visi – prieš jį.
GEN.16.12	Pykdamasis su visa savo gimine gyvens“.
GEN.16.13	Su ja kalbėjusį 
GEN.16.14	Todėl šaltinis buvo pavadintas „Šaltiniu Gyvojo, kuris mane mato“. Jis yra tarp Kadešo ir Beredo.
GEN.16.16	Abromas buvo aštuoniasdešimt šešerių metų, kai Hagara jam pagimdė Izmaelį.
GEN.17.1	Kai Abromas buvo devyniasdešimt devynerių metų, 
GEN.17.2	Aš sudarysiu Sandorą tarp manęs ir tavęs; padarysiu tave be galo gausingą“. 
GEN.17.3	Abromas parpuolė kniūbsčias, o Dievas toliau kalbėjo: 
GEN.17.4	„Štai mano Sandora su tavimi: tu būsi tautų daugybės protėvis. 
GEN.17.5	Daugiau nebebūsi vadinamas Abromu, bet tavo vardas bus Abraomas
GEN.17.6	Padarysiu tave be galo vaisingą; iš tavęs padarysiu tautas, iš tavęs kils karaliai. 
GEN.17.7	Palaikysiu Sandorą tarp savęs ir tavęs bei tavo palikuonių po tavęs per jų kartas kaip 
GEN.17.8	Tau ir tavo palikuonims po tavęs duosiu kraštą, kuriame gyveni kaip ateivis, visą Kanaano kraštą kaip amžiną nuosavybę. Aš būsiu jų Dievas“.
GEN.17.9	Dievas kalbėjo Abraomui: „O tu savo ruožtu laikysiesi mano Sandoros, tu ir tavo palikuonys po tavęs per savo kartas. 
GEN.17.10	Štai Sandora, kurios laikysies, tarp manęs ir tavęs bei tavo palikuonių po tavęs: kiekvienas vyriškis iš jūsų bus apipjaustytas. 
GEN.17.11	Apipjaustysite apyvarpio odą, ir tai bus ženklas Sandoros tarp manęs ir jūsų. 
GEN.17.12	Per jūsų kartas kiekvienas vyriškis iš jūsų, sulaukęs aštuonių dienų, bus apipjaustytas; taip pat namuose gimęs vergas ar pirktinis iš pašaliečio, kuris nėra iš tavo palikuonių. 
GEN.17.13	Abu – vergas, gimęs tavo namuose, ir nupirktasis už tavo pinigus – turi būti apipjaustyti. Taip mano Sandora bus jūsų kūne amžina Sandora. 
GEN.17.14	Neapipjaustytas vyriškis, – kiekvienas, kurio apyvarpio oda nėra apipjaustyta, – bus atkirstas nuo savo giminės. Jis sulaužė mano Sandorą“.
GEN.17.15	Dievas kalbėjo Abraomui: „O savo žmonos Sarajos nebevadinsi Saraja, nes jos vardas bus Sara. 
GEN.17.16	Aš palaiminsiu ją ir, be to, duosiu tau per ją sūnų. Aš ją laiminsiu; ji duos pradžią tautoms, iš jos kils karaliai“. 
GEN.17.17	Abraomas parpuolė veidu žemėn ir juokėsi, širdyje galvodamas: „Argi gali kūdikis gimti šimtamečiui seniui? Argi gali Sara, būdama devyniasdešimtmetė, gimdyti?“ 
GEN.17.18	Tad Abraomas Dievui ir sakė: „O kad Izmaelis gyvuotų tavo malone!“ 
GEN.17.19	O Dievas tarė: „Vis dėlto Sara pagimdys tau sūnų, ir tu pavadinsi jį Izaoku. Aš palaikysiu savo Sandorą su juo kaip amžiną sandorą jo palikuonims. 
GEN.17.20	Ir dėl Izmaelio tave išklausiau: štai laiminsiu jį, padarysiu be galo gausingą. Jis bus dvylikos vadų tėvas; padarysiu iš jo didelę tautą. 
GEN.17.21	Bet savo Sandorą aš palaikysiu su Izaoku, kurį Sara tau pagimdys šiuo laiku kitais metais“. 
GEN.17.22	Vos pabaigęs kalbėtis, Dievas pakilo nuo Abraomo.
GEN.17.23	Tuomet Abraomas paėmė savo sūnų Izmaelį ir visus vergus, gimusius jo namuose bei pirktus jo pinigais, visus savo namų vyriškius, ir tą pačią dieną, kaip Dievas jam buvo įsakęs, apipjaustė jų apyvarpio odą. 
GEN.17.24	Abraomas buvo devyniasdešimt devynerių metų, kai jam buvo apipjaustyta apyvarpio oda. 
GEN.17.25	O jo sūnus Izmaelis buvo trylikametis, kai jam buvo apipjaustyta apyvarpio oda, 
GEN.17.26	Abraomas ir Izmaelis buvo apipjaustyti tą pačią dieną. 
GEN.17.27	Drauge su jais apipjaustyti visi jo namų vyrai – vergai, gimę namuose, ir pirktiniai iš pašaliečių.
GEN.18.2	Jis pakėlė akis ir pamatė netoli savęs stovinčius tris vyrus. Pamatęs juos, jis atbėgo nuo palapinės angos jų pasitikti ir, nusilenkdamas iki žemės, 
GEN.18.3	tarė: „Mano viešpatie, jei susilaukiau malonės tavo akyse, neaplenk savo tarno. 
GEN.18.4	Tebūna atnešta truputį vandens; nusiplaukite kojas ir pailsėkite po medžiu. 
GEN.18.5	Atnešiu kąsnį duonos, kad galėtumėte pasistiprinti. Po to galėsite toliau eiti, nes juk užsukote pas savo tarną“. Jie atsakė: „Daryk, kaip sakai“. 
GEN.18.6	Abraomas nuskubėjo į palapinę pas Sarą ir paliepė: „Greitai įmaišyk tris saikus gerų miltų, išminkyk ir iškepk plokštainių“. 
GEN.18.7	Abraomas nubėgo prie kaimenės, paėmė veršį, jauną ir rinktinį, padavė tarnui, ir šis greitai jį paruošė. 
GEN.18.8	Tuomet, paėmęs varškės bei pieno ir paruoštą veršieną, padėjo visa prieš juos, o pats patarnavo jiems valgant po medžiu.
GEN.18.9	„Kurgi tavo žmona Sara?“ – paklausė jie. Jis atsakė: „Va ten, palapinėje“. 
GEN.18.10	Tuomet vienas jų tarė: 
GEN.18.11	Abraomas ir Sara buvo senyvo amžiaus, pagyvenę. Sara jau buvo liovusis sirgti mėnesinėmis. 
GEN.18.12	Tad Sara juokėsi, sau sakydama: „Po to, kai nuvytau, negi patirsiu džiaugsmą? 
GEN.18.13	 tarė Abraomui: „Kodėl Sara juokiasi, sakydama: ‘Nejau aš iš tikrųjų dar gimdysiu, būdama tokia sena?’ 
GEN.18.14	Argi yra Dievui negalimų dalykų? Aš sugrįšiu pas tave šiuo laiku kitais metais, ir Sara turės sūnų“. 
GEN.18.15	O Sara gynėsi, sakydama: „Aš nesijuokiau“, – nes buvo išsigandusi. Bet jis atsakė: „Tu tikrai juokeisi“.
GEN.18.16	Vyrai pakilo ir žvalgėsi, kaip eiti Sodomos link. Abraomas lydėdamas ėjo kartu su jais. 
GEN.18.17	 mąstė: „Argi aš slėpsiu nuo Abraomo, ką žadu tuojau daryti, 
GEN.18.18	žinodamas, kad Abraomas taps didele bei galinga tauta ir kad visos žemės tautos ras jame palaiminimą? 
GEN.18.19	Juk išrinkau jį, kad galėtų pamokyti savo vaikus ir savo būsimą šeimą laikytis 
GEN.18.20	Tuomet 
GEN.18.21	kad turėjau nužengti ir pamatyti, ar jie iš tikro elgiasi, kaip skelbia mane pasiekęs šauksmas. Taip ar ne – sužinosiu“.
GEN.18.22	Vyrai pasuko Sodomos link. Tuo tarpu Abraomas liko stovėti priešais 
GEN.18.23	Abraomas priėjo arčiau ir tarė: „Argi iš tikrųjų kartu su nedorėliu pražudysi teisųjį? 
