MRK.1.1	Eiwa God da Mai, Yesu Keriso,
MRK.6.6	Edo awamanemi imo gebé ae esitera, awa embo, Yesu kotembari jiwaebé esisina.
MRK.6.6	Ango edo Yesu nasi da da torido idegedo embo atopaposisina. 
MRK.6.7	Edo ainda embobo 12 dao tesiri guputera, tote (2) tote (2) piari idegorote, edo awamaneda yai goroba ari piari asisi bebegae ondaro idegorote.
MRK.6.8	Edo Yesu mi sisina, “Itomane pepetada rorae nei ro bainyae, ata ketu akuta. Asi bainyae, indari bainyae, gaiapa kapida bainyae! 
MRK.6.9	Itomane tai woru piawa, ata dademo ombari deposi bove! 
MRK.6.10	Imomane yai nonda idegawo, embo ainkaimi awamaneda mandoda imomane baro gido, ainda isite buro ewo! 
MRK.6.11	Edo embo ainkaimi imomane ategedo bae aro gido ko itomane ge ingae aro gido, konipo tai itomaneda awa denden edo dodo mambuwo. Ango ewa ainda kariwa awa God mi awamaneda yai rirowa piaina. Awara! Edo ge ro boroko imondemane tena, eiwa giwo! Katari degutade Sodom ae Gomora de niyaomi ausina ango, nasi awa daginegedo awaina.”
MRK.6.12	Ango edo ambodani Yesu dodo idegesitera. God da ge atopapoteite embode tedo esitera, “Itomane jimbo bebegae dodo God da yai wareregewo!” 
MRK.6.13	Edo awamane bineimane ondoro idegedo esitera. Edo karu embomai jiwaebé awa, ni ‘olive’ beda gamami awamaneda yai pisido datoro kaviyegedo esitera.
MRK.6.14	Embo jiwaebémi Yesu da buro babain edo eira awa gido mina tara eiworo Daotari Herod
MRK.6.15	Neneimi tedo esitera, “Owa peroveta Elijah.”
MRK.6.15	Edo neneimi tedo esitera, “Owa Peroveta, o peroveta nenei mamatu dá ango.”
MRK.6.16	Ata Herod mi ge awa ingido tedo esisina, “John Bapataito Ari Embo nane teteno dubo kapitara, ami tenda erira.”
MRK.6.17+MRK.6.18+MRK.6.19+MRK.6.20	Iji gisi Herod mi ainda nameji Philip da aro, Herodias, ipuda jipusina. Edo John mi Herod de sisina, “God da ge okain tari isira awa, ‘Imo namejida aro jimainyae.’”
MRK.6.17+MRK.6.18+MRK.6.19+MRK.6.20	Edo Herodias John mi ge engo tesiri ingisina. Awatedo, sinigambari bajinabé edo John dari betarate kotembesisina. Ata Herod mi John da wasiri awa dambu darari edo nei ro itae gido embo awa tou edo esisina. Awatedo, Herod mi embo awa matawa dave itarate dedegedo bundari oroda piesiri isiuri Herodias mi John dari betari tao ae. Edo Herod mi John da ge ingido dubodavede ingeite buro jiwaebé edo esisina.
MRK.6.21	Ango edo Herod mi deguta da (1)de ainda engari degutada bondo siya esisina. Edo babadegari, gisijijiegari, yai Galili da daotari embobo awa jipusina. Edo deguta ainde awa Herodias da deguta dave, John dari betarate kotembesisina. 
MRK.6.22	Edo embo bondoda anumbesitera ami Herodias da gagara ya ureiri gido awamane ae Herod de dubodavebé esitera.
MRK.6.22	Edo Daotari Herod mi gagara ainde sisina, “Imo kando ro jipapa esi? Tato gido piana.” 
MRK.6.23	Edo embo ami gagara ya ureira ainde daedo sisina, “God da daoda tena. Imo rorae ro bé jipapa esi awa tato gido piana. Nato gaiapa kupo jipapa ata, awa piana.”
MRK.6.24	Edo gagara awa idegedo maundo aide sisina, “Na Daotari Herod mi rorae ro jipapa edo tano piain tesira awa, ge nongo tani?”
MRK.6.24	Ai mi sisina awa, “‘John Bapataito Ari Emboda kopuru jipapa ena,’ teyo!”
MRK.6.25	Edo boraebé gagara awa maundo daotarida yai ge mina sisina, “John Bapataito Ari Emboda kopuru jipapa ena. Borokobé, teoda pie bane!”
MRK.6.26	Edo John dari betari awa jipapa ae, awatedo, daotari awa dubovevera bajinabé esisina. Awarata, ainda engari bondoda embobo anumbesitera ainda jisida edo God da daoda tarigari sisina, awatedo, ari bé aina. 
MRK.6.27	Edo boraebé daotarimi itoro embo piesiri maunsisina, ainda bundari oroda, John da dubo kapedo ainda yai kundo gumain. Edo itoro embo John da dubo kapisina. 
MRK.6.28	Ainda kopuru teoda piedo kundo gundo Herodias da gagarade pipisisina. Edo gagarami kundo ainda aida yai maunsisina. 
MRK.6.29	Ango edo John da ambodanimi embo ainda betari ge ingido Daotari Herod da yai guputera. Edo sitera, “Nakare John da tamo piato kundo maundo goiain gumbera.” Edo John da tamo piesiri kundo maundo awamaneda betari piedo era, banga to ainda pipisitera.
MRK.6.30	Edo Yesu da piari aimbari embobo, ami tote (2) tote (2) piesiri idegesitera awa tenda overegedo ainda yai guputera. Edo ro berari atopapositera edo ro esitera awa, tetero gosisina. 
MRK.6.31	Edo awamanede sisina, “Embomai jiwaebé kaenato yai gundo maundo ero kaena rorae indae ena. Awatedo, puwo! Kaende yai damodamoda mamano oena apave.”
MRK.6.32	Ango tesiri awamane ma sindetero wotesiri awamane akuta yai damodamoda maunsitera. 
MRK.6.33	Ata awamane mauntero embomai jiwaebé kariwa gositera. Edo embomai nasi babain neneinda awa omboda gisi taimi maundo papoda itero Yesu ae embobo de maundo denembesitera. 
MRK.6.34	Yesu ma dodo wotedo papoda petedo embo jisi da gosisina. Aindabé awamane awa bé wo sipumane
MRK.6.35	Iji maundo wowoteiri Yesu da ambodani gundo ainde sitera, “Yai eiwa abubé. Rorae budo indari begata itae. Iji itae esira. 
MRK.6.36	Embomai ta pieyo maundo yai demonda nasi babaingae itera, ainda rorae oriedo indoré.”
MRK.6.37	Ata Yesu mi sisina, “Inemane indari piewavi indoré.”
MRK.6.37	Edo ambodanimi mina sitera, “Edo nonda budo? Embomai eiwa jiwaebé. Nanekare ganu jiwaemi awa bread oriedo embo jisi da eiwa undarita?”
MRK.6.38	Ata Yesu mi ambodanide tenda sisina, “Awara, bread itomane yai ro inge isiri? Mambuwo gave!”
MRK.6.38	Edo ambodani maundo rorae tamundo overegedo Yesu de sitera, “Nakare bread ipa da (5) edo un wo tote (2) tambera.”
MRK.6.39	Edo Yesu mi ambodanide sisina, “Awara, tewo, embomai kiyan teka eroreira angoda anunumboré.” 
MRK.6.40	Edo ambodanimi tetero anunumbesitera. Gisi tedo gisi tedo nenei 50, nenei 100 ango anunumbesitera. 
MRK.6.41	Ango etero Yesu mi bread ipa da (5) ae un wo tote (2) de awa kundo jisi ikane utuda edo God dasiga esisina. Edo bread engegedo, wo eririgedo ambodanide piesiri kundo maundo embomai anunumbesitera ainde kandokando esitera. 
MRK.6.42	Embomai berari anunumbesitera awa rorae injido inonobé esitera. 
MRK.6.43	Edo bread ae wo de injido itoto doturitera awa ambodanimi sirigedo kanjia berari 12 sirero visido beda esisina. 
MRK.6.44	Edo embobo ajijigari 5,000 ango indari awa injitera.
MRK.6.45	Rorae injido ainda amboda, Yesu mi ainda ambodanide boraebé sisina, “Imomane gisi made Besaida nasida tembuwo! Na embomai eiwa ategano mamborote ena.” 
MRK.6.46	Yesu embomai ategesiri mauntero imo pejida visido yai damodamoda isite God de daedo ge sisina.
MRK.6.47	Muyae gupeiri ambodani ubutu toropuda mada itero edo Yesu akuta pejida isira. 
MRK.6.48	Ango edo sipo muyaende Yesu jisi tuda edo ambodani ubutu toropuda gosisina. Aindabé bisimi ma pepeda doreira awa, awamane ma dawarida buro okain ero gosisina. Edo Yesu wotedo un tamonda ainto edo awamane kena maunsisina. Ata imo maundo daginegain arago esisina. 
MRK.6.49	Ambodanimi imo un tamonda ainto edo awamane kena gupeiri gido etemi kotembedo aorogatedo adu esitera. 
MRK.6.50	Awamane imo gido adu beyaebé esitera.
MRK.6.50	Ata Yesu mi borae sisina, “Adu eove! Goroba buwo! Na etemi ae! Na awara!”
MRK.6.51	Yesu ge ango tedo ma doda viviteiri bisi itae esisina. Edo ambodanimi wasiri awa gido kore beyaebé esitera. 
MRK.6.52	Aindabé, awamaneda do okain ari isira, Yesu mi embomai jisi bajinabé undesira awa kotembae, edo awamanemi Yesu da goroba tega rori awa gari tao ae.
MRK.6.53	Edo awamane temundo kupo neinda Genesaret ainda ma kaingesitera. 
MRK.6.54	Edo ainda amboda Yesu ae ambodani de ma dodo idegetero embomai ainda ami boraebé Yesu kariwa gositera. 
MRK.6.55	Awatedo tumundo yai demonda embomai berari bino pietero gositera. Edo awamanemi Yesu da yai karu egeregari besida kundo guputera. 
MRK.6.56	Edo Yesu yai nonda torido idegedo euri, nasi babainda, nasi babaingaeda edo buroda, awamaneda karu embomai kundo gundo arapada pipiteiworo karu embomaimi awa gido ari kaviyegain benunu tedo esitera, “Badari, na do ewasi! Na tamo ito ko ombari ribori jibigi akuta tujido kaviyeganita?” Edo avekavemi awa tujido esitera awa, berari kaviyegari buritera.
MRK.7.1	Parasi mane ae Aodarida atopapasigari neneinde Jerusalem edo gundo Yesu jinenembesitera. 
MRK.7.2	Awamane gositera awa, Yesu da ambodani ipa teiae rorae indera. Awatedo, Parasi manemi akuta kotembesitera awa, “Yesu da ambodani ipa donode God da jisida indari indera.” 
MRK.7.3	(Judah embomai berari edo Parasi mane daedo, awamanemi atopatari awamaneda ewowo gawowoda yai buritera awa, indari indae gisida ipa teiari begata isira ango teiedo ara. 
MRK.7.4	Neinda awa indari rorae mina piedo kundo gundo ara awa tamo teiedogogo edo awa taiedo injido ara. Edo awamaneda ge okain nenei jiwaebé awa jido ambo ambo edo era. Ainda kariwa awa engo, aia akou de outeo de anumba anumbedo rorae indari de teiedo era.) Embomai awa ango kotembeteite Yesu da yai guputera.
MRK.7.5	Awa embo, Parasi mane ae Aodarida atopapasigari demi Yesu de tedogositera, “Ro awa embo ambodani ito atopatari kaenato ewowo gawowoda awa ambo ambo ainyae eite indari ipa teiae inderi?”
MRK.7.6	Yesu mi awamanede mina sisina. “Imomane awa aodari pisido ambo ambo ae embobo. O ge bé, iji matu peroveta Isaiah mi itomane iwata kawata gido karigedo ge ango gagurisina:
MRK.7.6	‘God mi sira awa, “Embomai eiwa tepo gemi na tou ari tera,
MRK.7.6	ata awamaneda do nato yai awa aikamanabé.
MRK.7.7	Awamane ge okain nenei emboda piari awa atopasido era,
MRK.7.7	awatedo, awamaneda tumondebain ari nato yai awa pitawa.” ’
MRK.7.8	Imomane dá ango, God da ge okain berari sisina awa demonda dodo, sigi de akou de rorae nenei jiwae awa teieite itomane ewowoda atopatari awa ambo ambo edo ewa.”
MRK.7.9	Edo Yesu mi tekago sisina, “Imomane kotembetewa awa imomane gari, awatedo, God da ge okain sisina awa kera ainyae ajiregedo, itomane ewowoda atopatari awa jiain ewa. 
MRK.7.10	Moses mi sisina awa, ‘Ito aimamo tou edo eyo,’
MRK.7.11	Atako inemanemi itomane awara ari pisido ewa edo embo da (1)mi ainda aimamode engo taina, ‘Na kando imondemane piain kotembetena, ata rorae awa God da avigari. 
MRK.7.12	Awatedo, imondemane piari tao ae. Doiyobé tena.’ 
MRK.7.13	Edo begata engo ami inemane atopatari ewowoda ami God da ge siredo ewa. Ango eite inemane God da yai rorae piae dumbae edo ewa, rorae nenei jiwaebé ango.”
MRK.7.14	Ango edo Yesu embomai berari dao tesiri gumbero awamanede sisina, “Eniya ge eiwa imondemane tana. Imomane berari ge nato ingiwo edo kotembewo! 
MRK.7.15	Rorae ro arapada ami emboda doda torari mana dono aina God da jisida; Ata rorae emboda doda ami idegedo euri embo dono edo eira. 
MRK.7.16	Ingiwo! Imomane ge ro tena awa bé gain edo gawa!”
MRK.7.17	Edo Yesu embomai dodo mandoda maunsisina. Edo imo mando doda isiri ainda ambodani gundo sitera, “Nakare eniya ge teteta ainda ge moka tato gain gumbera.” 
MRK.7.18+MRK.7.19	Yesu mi awamanede sisina, “Imomane daedo ge eiwa gari tao ae? Imomane eniya ge tetena awa gain darewa? Emboda dobé ainda indari mambae, ata obogeda toruri ami indari berarida rorae beyae pieuri idegedo eira. Awatedo, obogemi indari berari sirigedo dave edo eira God da jisida.”
MRK.7.20	Edo ami sisina, “Rorae ro emboda dobéda idegedo eira ami euri embo dono edo eira, God da jisida. 
MRK.7.21	Aindabé rorae embomainda dobé idegedo era awa, kotembari bebegae, ipuda ari, viro ari, dari betari, 
MRK.7.22	rorae beono ari, embo neinda rorae jipapa ari, embo neneinde memesi piari, embo gisijiae dumbae ari, jitabaita ari, embo neinde jisi okain ari, gemi embo dari, dariga ari, edo dutari tepotapo. 
MRK.7.23	Awatedo, rorae bebegae berari eiwa emboda doda idegedo euri embo dono edo eira.”
MRK.7.24	Ango edo Yesu yai awa dodo erido yai neinda, nasi Taia edo nasi Saidoni kena maunsisina. Edo mandoda maundo totorisina, embomi imo ainda isira awa giworekae. Ata onjigedo itari tao ae. 
MRK.7.25+MRK.7.26	Edo eutu da (1)mi Yesu da gumbari bino ingido ainda yai maunsisina. Eutu awa Judah eutu ae, ata Siria-Poenisia eutu. Ami Yesu da yai gundo taida durudo benunu tedo dowae esisina, “Binei nato gagarada doda isira awa ondae etesita?”
MRK.7.27	Ata Yesu ainde sisina, “Edo na maiunjida bread sino mamainda yai augana, awa dave ae. Awatedo, doyo, maiunji gisibé awa unano inono ore.”
MRK.7.28	Edo eutumi mina sisina, “Ge bé Badari, ata maiunjida itoto dowari boriri dutuda sino mamaimi tepo injido era. Awatedo, na gebé ena, imo daedo na kondade ata.”
MRK.7.29	Edo Yesu mi ainde sisina, “Aindabé ito gebé ari nato yai pisido ge mina dave teteta. Mambuyo gate! Binei ito gagarada doda awa idegedo mambira.”
MRK.7.30	Eutu awa mandoda maundo torido, binei matu idegedo mambiri ainda gagara besida durudo oena apeite isiri gosisina.
MRK.7.31	Yesu tekago overegedo nasi Taia edo Saidoni awa dodo Nasi Babain Ajigari 10 da yai temundo gupusina, Galili ubutu kena. 
MRK.7.32	Ango edo embo neneimi awamaneda otawo dauwa ge tari tao ae awa Yesu da yai kundo guputera. Edo awamanemi Yesu de ipa tamonda piari kaviyegarate benunu sitera.
MRK.7.33	Yesu embo jisi da itera awa dodo embo dauwa ge tari tao ae awa akuta kundo demonda maunsisina. Ango edo ainda ipa toro dengoroda piedo edo ipa toro nei beporo edo embo ainda iwawa tujijisina. 
MRK.7.34	Yesu jisi utuda edo God da yai benunu site keen bajina esisina. Edo embo ainde sisina, “Ephphatha” (ainda moka awa “Pirige”). 
MRK.7.35	Yesu ge ango siri, burigibé embo ainda dengoro engiregari awa pirigesiri edo iwawa udegesiri ge dambu darari sisina, nei ro itae.
MRK.7.36	Ango edo Yesu mi ge okain sisina, “Buro bajina eiwa embo neneinde onjiga teove!” Embo ami ge ango tedo esisina, ata ainda ge jindedo onjiga teoro yai berarida arapu edo esisina. 
MRK.7.37	Edo embo usitera ami wasiri awa gido bé kore bajinabé esitera. Edo sitera, “Imo buro berari awa dave edo esira. Embo dengoro dundari awa euri ge ingido era. Embo ge itae awa euri ge tedo era.”
MRK.8.1	Edo iji ainde embomai jiwaebé doregesitera awa indari itae esisina. Yesu ainda ambodani dao tesiri gumbero awamanede sisina, 
MRK.8.2	“Embomai jiwae namonde daedo eite deguta tamonde (3) eutara, edo awamane indari itae esira. Awatedo, nato do ari awa awamaneda yai. 
MRK.8.3	Nane awamane piano nasi ikade ikadeda mambara, ata embomai nenei aikeda begata borerebé edo gupara. Awatedo, maunteite beji jisivi ari durara.”
MRK.8.4	Ango tesiri ainda ambodanimi mina sitera, “Yai eiwa abu toropubé. Edo kaenane embomai eiwa indari inono tamundo piaro indari tao ae.”
MRK.8.5	Yesu mi tedogosisina, “Itomane yai bread nandogo isiri?”
MRK.8.5	Ambodani mina sitera, “Natokare yai bread 7 itera.”
MRK.8.6	Edo Yesu mi embomai doregesitera awa tesiri anunumbesitera. Ango etero Yesu mi bread 7 awa kundo God da yai ategari pipisisina. Edo bread engegegedo ambodanide piesiri kundo embomai anunumbetera ainde kandokando esitera. 
MRK.8.7	Edo daedo awamaneda yai un wo babaingae indewae itero gido Yesu de pietero God da yai ategari pipisisina. Ainda amboda ambodanide piedo sisina, “Wo eiwa dá etewa ango kandokando ewo indoré.”
MRK.8.8+MRK.8.9	Edo embomai rorae awa injido inono esitera, awamane berari 4,000. Edo bread ae wo de injido itoto doturitera awa ambodanimi sirigedo kanjia babain berari 7 sirero visido beda esisina. Ango edo Yesu embomai piesiri awamaneda nasida maunsitera. 
MRK.8.10	Edo Yesu boraebé ae ainda ambodani de mada visido Galili ubutu temundo yai Dalamatua da guputera.
MRK.8.11	Edo Parasi mane idegedo gundo Yesu da awara tari yai nonda edo gumbiri awa bavedogain kotembesitera. Ango edo awamanemi Yesu de ge okain sitera, God da kariwa teka piari gain. 
MRK.8.12	Yesu embomai awa udugedo gido do memesi bajinabé budo sisina, “Nongaintedo embomai iji einda itera ami kariwa teka ano gain teri? Awara, ge ro imondemane tena, eiwa giwo! Kariwa teka embomai iji einda iterada yai mana piana!”
MRK.8.13	Edo Yesu ae ainda ambodani de embomai awa dodo tekago ubutu kupo neinda temain tedo mada sisiritera. 
MRK.8.14	Edo iji ainde ambodani bread bae ruvegesitera. Ata awamane tepeite ma doda bread da (1) isiri taputera. 
MRK.8.15	Edo Yesu mi awamanede dedegari ge okain sisina, “Parasi mane ae Herod deda bread badari siwo awa gidogogo ewo!”
MRK.8.16	Yesu mi ge ango tesiri ambodanimi tuturo edo akuta ge mina tara edo ingitera, “Kaena bread itae, awa embo, Yesu mi Parasi mane ae Herod deda ge bread badari siwoda sira.”
MRK.8.17	Yesu matu awamaneda ge ro teri awa gosisina. Awatedo, embo ami ambodanide sisina, “Ro awa embo imomane bread itae mina tara akuta evi? Imomane gaegae ewa? Itomane do okain matawa isira? 
MRK.8.18	Imomane jisi de dengoro de isira amo nongo edo gaegae evi, edo ingido kotembae evi? 
MRK.8.19	Imomane kotembetevi iji nonde na bread ipa da (5) engegegatana? Embobo 5,000 ainda awa itoto sirigedo kanjia nandogo sirewo beda eutari?”
MRK.8.19	Ambodanimi sitera, “Ajigari berari 12.”
MRK.8.20	Edo Yesu mi tedogosisina, “Daedo iji ainde na embomai 4,000 awa embo bread 7 engegetena awa, kanjia babain nandogo itoto sirigedo sirewo beda esiri?”
MRK.8.20	Ambodanimi mina sitera, “Ajigari berari 7.”
MRK.8.21	Edo Yesu mi sisina, “Ro embo imomane gain darevi?”
MRK.8.22	Edo Yesu ae ainda ambodani de Besaida nasida guputera edo embo jisiguba ari awa embo neneimi ainda yai kundo guputera. Edo Yesu mi embo awa tujiari kaviyegarate tedo dowae esitera. 
MRK.8.23	Ango edo Yesu mi embo jisiguba ari ipada jido kundo nasi dodo idegedo maunsisina. Yesu embo ainda jisida kosiwa edo ipa ainda yai piedo sisina, “Imo rorae ro gotesi?”
MRK.8.24	Embo ami pangedo Yesu de mina sisina, “Na embomai gotena. Awamaneda kariwa awa ni petari ango ata awamane ainto era.”
MRK.8.25	Yesu tenda embo ainda jisida ipa piedo tesiri pangisina. Ango edo embo jisiguba ari awa jisi pirigesiri yai berari arapa gosisina. 
MRK.8.26	Ango edo embo awa kaviyegesiri gido Yesu mi sisina, “Ito mandoda mambuyo! Edo nasi doda mambote, edo imo eteno kaviyegeteta awa embo nasida tato giwóre!”
MRK.8.27	Yesu ae ainda ambodani de idegedo maundo nasi da da totoritera yai Seseria Pilipai ainda doda. Edo begata toropuda ambodanide tedogosisina, “Teu gane! Embomi na awa embo ave tedo eri?”
MRK.8.28	Ambodanimi mina sitera, “Embomaimi tedo era, imo awa John Bapataito Ari Embo tenda ereta, neneimi tedo era awa imo Elijah tekago utuda edo gumbeta, edo neneimi tedo era awa imo peroveta mamatu ainda da (1), ami tenda ereta.”
MRK.8.29	“Edo imomane nongo kotembedo evi?” Yesu mi ambodanide tedogosisina, “Na averi?”
MRK.8.29	Edo Peter mi ainde mina sisina, “Imo awa Keriso.”
MRK.8.30	Ango edo imo awamanede ge okain sisina, “Na Keriso ami gumena awa tawo embo nenei giwóre!”
MRK.8.31	Edo Yesu ainda ambodani atopatari tuturo eite sisina, “Na awa Embo da Mai, ata orobeda kopuru mamai de pirisi babain
MRK.8.32	Yesu ge arapada bededo ambodanide sisina. Edo Peter mi embo awa kundo demonda eiunte ge okain ainde sisina, “Nongain ge ango tesi?”
MRK.8.33	Ata Yesu wareregedo ainda ambodani goteite awa Peter isimbedo sisina, “Eve mambu! Ge awa Satan mi siri teta. Kotembari awa God da yai edo gumbaera giyo, ata butu emboda kotembari!”
MRK.8.34	Ango edo Yesu embomai doregesitera awa ae ainda ambodani de dao tesiri, ainda yai gumbero sisina, “Imo aimi nato amboda purain edo gido imo akuta ruvegata, edo ito orega
