MAT.1.1	Mokanda mobatata baYesu Masiya, mwana oDawidi, mwana oAbalayama. 
MAT.7.16	Odini bobambetea na mbuma jibu. Mojɔ bo, bato te batwake mbunga a bolongo, isa mamwe a likpanda. 
MAT.7.17	Oko boa, mole mopele mobotaka mbuma jipele, na mole mobe mobotaka oko mbuma jibe. 
MAT.7.18	Mole mopele te mobotake mbuma jibe, na mole mobe te mobotake mbuma jipele. 
MAT.7.19	Mole momiti bota mbuma jipele, môkwɛlɛmɛ na môtumbama. 
MAT.7.20	Oko boa ôbambeteani na mbuma jibu.
MAT.7.21	Badi bokwea a Bokumu boDiko, te nongo baya babeaka mbi Kumu, Kumu, oko moto yona okɔkɔ bolulea boSangwa’mbi yona odi oho Diko. 
MAT.7.22	Bato banɛnɛ bâbala na mbi a busa bomina bo, Kumu, Kumu, iso boitɔndɔ mwako a kombe ewɛ? Boimeja miembo mibe a kombe ewɛ? Boikɔ mindumba minɛnɛ a kombe ewɛ? 
MAT.7.23	Mbi ko nâbatɔndɔ bo, Mbi nitajebaka no nongo mweka. Dongani ya ai mbi, ino bato babikɔmɛli bibe.
MAT.7.24	Moto yona o’kaka bikenge bi bimbi, na asumaka bikenge bimina, adi o moto obowɛi yona oyoa ndako ende a diko dilitai. 
MAT.7.25	Mbua akwa, pela elaloa, mopomba modoa monɛnɛ, na moboma ndako emina, Eikwa ko, mojɔ bo eyoama a diko dilitai. 
MAT.7.26	Moto na moto ko yona o’kaka bikenge bi bimbi, na yo pɛ bosuma bikenge bimina, adi o egegele yona oyoa ndako ende a mopunji. 
MAT.7.27	Mbua akwa, pela elaloa, mopomba modoa monɛnɛ na moboma ndako emina. Ndako emina ekwa oko bokwa, na bokwa bomina bodaka mojɔ monɛnɛ.
MAT.7.28	Asieja Yesu bikenge bimina bobala, bato baemumu bakamoa a mojɔ mobokoja bonde; 
MAT.7.29	cina bo abakojaka na kpaci, te na ekɔmɛli ebasɔni.
MAT.8.1	Yana atita Yesu a mono, bato banɛnɛ mɛnɛ bamosusaka. 
MAT.8.2	Okina moto omaba adoa ai yo, atita na magbunda a boso bonde, na abala bo, Kumu, wɛ okapala, obwani boheleja mbi. 
MAT.8.3	Yesu aninoja ebɔ ende, aebakea ai yo, na abala na nde bo, Najimi; oheli. Bokpa mɛnɛ, maba mande masia oko bosia. 
MAT.8.4	Yesu ajɔ na nde bo, T’otɔndɔe oko moto mojɔ mu. Kɛ ko ai nganga, saneja ai yo, na pa epeeli ebekea Mose a mojɔ momina bo bajebe.
MAT.8.5	Asa yo mea a Kapalanauma, okina kapitɛni asi adoi ai yo, amongɔɔnɔ bo, 
MAT.8.6	Kumu, okina mokɔmeli ombi asambi na mokutumeli a ndako, na yogo ende egbasoi. 
MAT.8.7	Yesu abala na nde bo, Nâdoa bo namosengoe. 
MAT.8.8	Kapitɛni amosɔmbeja bo, Kumu, mbi nabɔngiti bo nasɛ wɛ a ndako embi. Bala oko ekenge emɔci pɛ, na mokɔmɛli ombi adi bohela. 
MAT.8.9	Mbi nadi ngɔngɔ jibasuku bambi; mbi mɛnɛ nadi na basoda ngɔngɔ jimbi. Nakabala na okina bo akɛe, adi bokɛ. Nakabala na otongo bo adoe, adi bodoa. Nakabala na mokɔmɛli ombi bo akɔe mokina mojɔ, adi bomokɔ. 
MAT.8.10	Ama yo ka ekenge emina, Yesu ami kamoa oko bokamoa. Abala na bato baya badaka bacingi na nde bo, Mbi natɔndɔkɔ no soti bo napakiti nɛ ejimeli enɛnɛ boa, nongo a Yisalaele. 
MAT.8.11	Mbi natɔndɔkɔ no bo bato banenɛ badi bodonga a ɛsɛta na wɛsɛta, na bâda a bidie bibu a dɔngɔ diAbalayama na Isaka na Yakobo a Bokumu boDiko. 
MAT.8.12	Bana ko baBokumu bâdumbama a modidi mosokolu, a esika ebio na bokpɛkpɛnɛ bomino. 
MAT.8.13	Yesu abala na kapitɛni bo, Yana a ndako ewɛ. Yɛ modae na wɛ o ami wɛ jima. Na mokɔmɛli ahela a yogo oko a ehole emina.
MAT.8.14	Yesu akwea a ndako ePɛtɛlo, na atana bokio boPɛtɛlo asambi na mɔlɔ. 
MAT.8.15	Abɛnje ebɔ ende, na mɔlɔ mosia oko bosia. Iyo asi ko angɔi na abakɔmɛ. 
MAT.8.16	Badoa na bato banɛnɛ ai Yesu a ehole emɔkɔ, baya badaka na miembo mibe. Iyo ameja miembo mibe oko na ekenge emɔci pɛ, na aheleja basusu baya badaka na bego. 
MAT.8.17	Oko boa, ekenge ebala motɔndɔi Yisaya engama bo,
MAT.8.17	Iyo mɛnɛ atombi bwɛmbu bosu, na alwai bego bisu.
MAT.8.18	Iyana anɛ Yesu bo bato bamohikaka kanga banɛnɛ mɛnɛ, apa monɔkɔ bo balekele. 
MAT.8.19	Okina mosɔni adoa ai yo, na abala na nde bo, Mokoja, mbi nadi bocingama na wɛ bisika bisusu bikɛke wɛ. 
MAT.8.20	Yesu amosɔmbeja bo, Kpia badi na mikpo mibu; mbulu badiko badi na mobo; Mwana ’Moto ko apeliti esika a bosuka molo monde. 
MAT.8.21	Okina otongo, mocingami onde, abala na nde bo, Kumu, ye napete kɛ a bopusea sangwa’mbi. 
MAT.8.22	Yesu amosɔmbeja bo, Cingama na mbi, Kina bagwake bapusee bagwake babu bɛnɛ.
MAT.8.23	Atamba Yesu a bwato, bacingami bande batamba na nde pongono. 
MAT.8.24	Mopomba modoa monɛnɛ yana adaka bo a boliko, na bwato bopaka dinda. Yesu ko adaka ahwɛli. 
MAT.8.25	Bacingami badoa ai yo, bamosisoja, na babala bo, Kumu, iso bogwi! heleja so! 
MAT.8.26	Iyo abasɔmbeja bo, Ebangaka no ndeni? Ejimeli enu edoni? Asi ko angoi, alemoa na pwea na madiba, na mopomba moyɛyɔ bowi. 
MAT.8.27	Bacingami bakamoa bou mɛnɛ, na babala bo, Iyo moto ndani? mojɔ bo pwea na madiba bamosumaka pongono.
MAT.8.28	Aduboa yo a ngunda yena etongo, a dɔngɔ diBaGadala, asongana na bato bamiembo mibe babae, baya bamana a kunda. Bato badaka na bɔ a bonɔ a njea emina, mojɔ bo badaka na bila enɛnɛ. 
MAT.8.29	Ibo babekoa bo, Wɛ Mwana oNjambe, mojɔ mosu na wɛ modi bo? Odoi ya a bonɔngeja so oko ehole esu ebwanakini? 
MAT.8.30	Bwela bonɛnɛ bongulube bodaka bokayake bohali mweka, 
MAT.8.31	na miembo mibe mingɔɔnɔ Yesu bo, Okameja so, kina bokwee a tei ebwela bongulube. 
MAT.8.32	Iyo abala na bu bo, Kɛni! Miembo mibe mimana, mikwea a tei engulube a mono, na bwela bosusu babikoa mbango nase oko a libale, na bagwa a madiba. 
MAT.8.33	Babanei bangulube bacia oko bocia. Bakɛ a ngando a bojebeja bato mojɔ momina mosusu, na mojɔ mobato bamiembo mibe. 
MAT.8.34	Bato basusu bangando emina badoa a boduka Yesu, na yana amonɛ bo, bamongɔɔnɔ bo adonge a esika ebu.
MAT.9.1	Yesu atamba koko a bwato, alekela, na ahula a ngando ende mɛne. 
MAT.9.2	Bato badoa ai yo na moto omokɔbɛlɛ yona odaka asambi a litɔkɔ, Yana anɛ Yesu ejimeli ebu, abala na moto omokɔbɛlɛ bo, Mwana, da na sepi; jibe jiwɛ jikinami. 
MAT.9.3	Bakina basɔni ko balɛ bo, Moto yoyo atangolaka Njambe. 
MAT.9.4	Yesu ko ajeba bilɛli bibu, na abala na bu bo, Ino olɛkɛni mijɔ mibe a milema minu mojɔ moye? 
MAT.9.5	Nakabala bo, Jibe jiwɛ jikinami, isa Angɔ, dala; mojɔ monɔi na bopipo nda? 
MAT.9.6	Mbi ko nadi boneja no bo Mwana ’Moto adi na kpaci ya nase a boyɛ jibe. Oko boa abala na moto omokɔbɛlɛ bo, Angɔ, tomba litɔkɔ liwɛ; yana a ndako ewe. 
MAT.9.7	Moto omokɔbɛlɛ angɔ oko bongɔ, na ayana a ndako ende. 
MAT.9.8	Yana anɛ bimumu bibato mojɔ momina, badaka oko na bɔ, na bakumeja Njambe yona opa kpaci emina ai bato.
MAT.9.9	Yana adonga Yesu a esika emina, anɛ okina moto a bilo ende etako, kombe ende Matayo. Yesu abala na nde bo, Cingama na mbi. Iyo angɔ na acingama na nde.
MAT.9.10	Adaka Yesu a mesa a ndako tei, bato banɛnɛ badoa a boda na nde na bacingami bande a mesa, baputeja batako, na bato bagala ebe. 
MAT.9.11	Bakina BaPalusi baya babanɛ babala na bacingami bande bo, Mokoja onu ayakaka na baputeja batako na bato babe mojɔ moye?
MAT.9.12	Yesu ko aka ekenge emina, na yo abala na bu bo, Babwani na monganga oko baya bapekaka, te baya badi baniilake. 
MAT.9.13	Kɛni adukeni cina eekenge yeye,
MAT.9.13	Mojɔ mopalaka mbi modi wa, te tito bamasiko.
MAT.9.13	Mojɔ bo mbi nadoi a bobea bato babe, te bato bapele.
MAT.9.14	Bacingami baYoane badoa ai Yesu, na bamohɔjɔ bo, Iso na BaPalusi bodi na bikia binɛnɛ; bacingami bawɛ ko te bakiake mojɔ moye? 
MAT.9.15	Yesu abasɔmbeja bo, Isa momi obolongana adi na bina ’nde a lihango, badi boyea bio? Badi bokia ko a masu mangɔngɔ, oko momi obolongana amaka donga. 
MAT.9.16	Moto t’abambake kasaka eyou na ebolo eyene. Mojɔ bo ebolo eyene edi bodonga, na edi bohɛje lipose oko bohɛjɛ. 
MAT.9.17	Bato te balumejake bikutu bibiobo biyou na vino eyene. Bakakɔ boa, badi bobatoja bikutu; vino edi bosopea, na bikutu bidi bobeha. Bahangojaka vino eyene oko a bikutu biyene. Oko boa badi bobanea bikutu na vino pongono.
MAT.9.18	Amaka yo bala ngando jiji, okina kumu adoa oko ai yo, asumana a boso bonde na abala bo, Mwana’mbi mwali agwi oko edɛye mɛnɛ; wɛ ko doa omobakee ebɔ ewɛ nongo ahele koko. 
MAT.9.19	Yesu angɔ, akɛ na nde, na bacingami bande pongono.
MAT.9.20	Okina mwali yona oma peka na ekia bianga domi-na-bibae, adoa ngɔngɔ jinde na abɛnjɛ gbomba ekasaka ende na ebɔ. 
MAT.9.21	Mwali omina alɛ bo, Mbi nakabakea ebɔ embi a kasaka ende, nadi bohela a yogo embi. 
MAT.9.22	Yesu ahekoa, amonɛ, na abala na nde bo, Mwana, titeja molema mowɛ. Ejimeli ewɛ ehelejai wɛ. Na mwali ahela oko bohela a yogo ende a ehole emina.
MAT.9.23	Amea Yesu a ndako ekumu omina, anɛ bato bapoolo, na emumu ebato baya badaka na daka enɛnɛ. 
MAT.9.24	Abala bo, Yanani; mwamwali aditi nongo mogo; ahwɛkɛ oko hiɔ pɛ. Ibo ko bamosɛkɛ oko bosɛkɛ. 
MAT.9.25	Ama bo meja emumu ebato sokolu, Yesu ami kwea oko a ndako. Apea ebɔ emwamwali, na yo angɔ oko bongɔ. 
MAT.9.26	Na bananganeja mwako momojɔ momina a likota dia lisusu.
MAT.9.27	Yana adonga Yesu a esika emina, bami babae bamokimana. Badaka na miso mago, na babekoa bo, Wɛ Mwana ’Dawidi, ikea so wa! 
MAT.9.28	Yesu akwea a ndako, na bami bamiso mago badoa ai yo. Yesu abala na bu bo, Ojimakani bo mbi nabwani bokɔ mojɔ mu? Bamosɔmbeja bo, Ee Kumu. 
MAT.9.29	Yesu abɛnjɛ miso mabu na ebɔ ende, na abala bo, Yɛ modae na nu boa cina eejimeli enu. 
MAT.9.30	Miso mabu masɔ njɛnɛ, na Yesu abaleha na bopipo bo batatɔndɔ bato mojɔ momina. 
MAT.9.31	Ibo ko bayana na batundeja gala epele eYesu a likota dia lisusu.
MAT.9.32	Yana amanaka bo, bato badoa na okina momi, emimi, yona odaka na mwembo mobe. 
MAT.9.33	Yana ameja Yesu mwembo mobe, momi abala oko bobala, na bato basusu bakamoa bou mɛnɛ. Bajɔ bo, Iso boipaka ne mokina mojɔ boa a Yisalaele. 
MAT.9.34	BaPalusi ko babala bo, Iyo amejaka miembo mibe oko na kpaci ekumu omiembo mibe.
MAT.9.35	Yesu akɛ akadale a ngando jisusu jinɛnɛnɛ na jikɛkɛ. Akoja a sinagoge jibu, Atɔndɔ Mwako Mopele moBokumu, na aheleja bato a bego bisusu na biɛmɛ bisusu. 
MAT.9.36	Yana anɛkɛ yo bimumu bibato, aba’keaka wa. Mojɔ bo badaka na mokakwano na bwɛmbu, o ekɔmɛli ebata baya bapeliti mobanei. 
MAT.9.37	Oko boa Yesu abala na bacingami bande bo, Ejueli edi enɛnɛ; basali ko badi oko baleka pe. 
MAT.9.38	A mojɔ momina, ingani Kumu oejueli bo alome basali a bojua.
MAT.10.1	Yesu abolea bacingami bande domi-na-babae. Abapa kpaci a bomeja miembo mibe, na a bosengoa bego na biɛmɛ bisusu. 
MAT.10.2	Kombe jibabwɛnji domi-na-babae oko jiji; yona oboso oko Simona yona odi na kombe Pɛtɛlo, na mwangwa’nde Andalea; Yakobo mwana ’Sebede, na mwangwa’nde Yoane; 
MAT.10.3	Pilipo na Balatelemi, Toma na Matayo moputeja otako; Yakobo mwana oAlapayo, na Tadayo; 
MAT.10.4	Simona oKanana, na Yuda Iskalio yona omokaba. 
MAT.10.5	Yesu abaloma, domi-na-babae, oko na eleho ye, Pɛ bokɛni a njea ebapakano, isa a ngando jiSamalia. 
MAT.10.6	Kɛni oko ai bata babungake badenga diYisalaele. 
MAT.10.7	Kɛni atɔndɔeni mwako bo, Bokumu boDiko bobengi bomea. 
MAT.10.8	Helejani baya badi na bego. Angɔjɔni bagwake. Sɛnojani bato bamaba, na imejani miembo mibe. Ino osini bosɔ, pɛ nongo bosomba; pani koko boa. 
MAT.10.9	Pɛ botombani likonia liwɔlɔ, isa palata, isa flanka a mabenga manu; 
MAT.10.10	pepɛ nongo litɔngi a mojɔ momɔngɔ monu, isa kasaka jibae, isa sapata, isa pango; cina bo mosali abwani bosɔ dia dinde. 
MAT.10.11	Okameani a ekina ngando, isa cnɛnɛ isa ekɛkɛ, dukani moto oesako epele, na yeyoani a ndako ende oko a ehole enu eboyana. 
MAT.10.12	Okakweani a ekina ndako, abɛjɛni njɛbɛ. 
MAT.10.13	Ndako emina ekabɔngɔ, kinani bowi bonu bodae ena. Emiti bɔngɔ ko, kinani bowi bonu bohule ai no. 
MAT.10.14	Bamiti sɔ no bopele, na bamiti hokea mwako monu, kinani ndako emina, isa ngando emina, na hakoani dutu libibota binu. 
MAT.10.15	Na esambi eSɔdɔmɔ na Gomola, na esambi engando emina, mbi natɔndɔkɔ no bo esambi engando emina enɔbí na bopipo a busa boEsambi. 
MAT.10.16	Hokeani; mbi nalomaka no o bata baya bahikami na swa. A mojɔ momina, toma dani na bopasa bonjɔ na bowi bosungu. 
MAT.10.17	Anganjamani ko na bato; mojɔ bo badi bogbula no a bisambi, na bâtua no a sinagoge. 
MAT.10.18	Bâlinda no a boso bobakumu na bakonji a mojɔ mombi, bo odaeni batati bambi ai bo na ai bapakano. 
MAT.10.19	Bakapea no, t’odaeni oko na mokakwano a mojɔ mokɔpi enu na ebaeli enu; mojɔ bo ôsɔni bikenge bibobala a ehole emina. 
MAT.10.20	Mwembo moSangwa’nu a tei enu modi bobala, te no bɛnɛ. 
MAT.10.21	Moto adi bokaba mwananango bo agwɛ. Sange’moto âkaba mwana’nde. Bana bâna na baboti, na bâbaweja. 
MAT.10.22	Bato basusu bâlona no a mojɔ mokombe embi. Yona ko ôda mombilimake oko a suka, yo âhela. 
MAT.10.23	Bakanɔngeja no a ngando emɔci, ciani a ngando etongo. Mojɔ bo mbi natɔndɔkɔ no na soti mɛnɛ bo Mwana ’Moto adi bodoa oko omeakinini a ngando jisusu jiYisalaele.
MAT.10.24	Moto yona okoaka t’anɔke mokoja onde. Mokɔmɛli t’anɔke moswa ’nde. 
MAT.10.25	Libondo limokoja libwani koko na yona okoaka, na lia limoswa libwani na mokɔmɛli. Bakabakea moswa ondako kombe Balasebuba, esingaiti bakɔmɛli bande! 
MAT.10.26	Yɛni ko bobanga bato bamina; mojɔ bo ngando jisusu jia jikundami jîkundoama, na jia jibombami jîboloa. 
MAT.10.27	Tɔndɔni a bohu ngando jibalaka mbi na nu a modidi; bekoani a diko dibitondo jia jikaka no na polipoli. 
MAT.10.28	Yeni bobanga baya bawaka mokuku, mojɔ bo te bahɔnɔke bowa mwembo. Odini bobanga oko yona odi na ngulu a bowa mokuku na mwembo pongono a Gehena. 
MAT.10.29	Dɛkɛ babae batakwaka likota limɔci? Pɛpɛ nongo omɔci ko odi bokwa nase, na Sangwa’nu pɛ bojeba. 
MAT.10.30	Iyo ko ajebaka etango eswe jimelo minu. 
MAT.10.31	A mojɔ momina, ino obwanitini bobanga, Ino na dɛkɛ, banɔi na bobuno ada, te no? 
MAT.10.32	Moto akajima bo adi moto ombi a boso bobato, mbi nadi bojima moto omina a boso boSangwa’mbi yona odi oho Diko. 
MAT.10.33	Moto ko aka’ngana a boso bobato bo adi moto ombi, mbi nadi bongana moto omina a boso boSangwa’mbi yona odi oho Diko.
MAT.10.34	T’olɛeni oko bo mbi nadoi a bopa ngondo bowi; pɛpɛ nongo mweka. Mibi nadoi, te a bopa bowi; nadoi oko na mopamba. 
MAT.10.35	Nadoi a bobɔteja moto na sangwa’nde, mwamwali na ngwa’nde, na mwali na bokio bonde mwali. 
MAT.10.36	Soki ilmoto jîda oko bato badenga dinde mɛnɛ. 
MAT.10.37	Epaeli emoto ai sangwa’nde isa ai ngwa’nde ekanɔ epaeli ende ai mbi, moto omina abɔngiti na mbi. 
MAT.10.38	Moto amiti tomba mole-mobokea monde a bocingaraa na mbi, abɔngiti na mbi. 
MAT.10.39	Yona obaneaka mohelo monde âmobungeja, na yona obungejaka mohelo monde a mojɔ mombi, âmobanea.
MAT.10.40	Moto akasɔ no, asɔkɔ mbi; na yona osɔkɔ mbi, asɔkɔ yona olomani. 
MAT.10.41	Moto akasɔ motɔndɔi mojɔ bo adi motɔndɔi, âsɔ ndese emotɔndɔi. Akasɔ moto obodongo mojɔ bo adi moto obodongo, âsɔ ndese emoto obodongo. 
MAT.10.42	Moto akapa kɔpɔ emadiba ai okina obana ba bakɛkɛ mojɔ bo adi mocingami ombi, mbi natɔndɔkɔ no na soti bo atataka bosɔ ndese ende.
MAT.11.1	Yana asieja Yesu bileho bimina ai bacingami bande domi-na-babae, adonga a esika emina bo akojae na atɔndɔe mwako a ngando jibu. 
MAT.11.2	Yana aka Yoane a blɔkɔ mojɔ mobilomu biMasiya, amolomea monɔkɔ na bacingami bande mɛne. 
MAT.11.3	Amohɔjɔ bo, We odi yona odi na sako ebodoa, isa bodi bomba okina otongo? 
MAT.11.4	Yesu abasɔmbeja bo, Sɔmbɔni ai Yoane; mojebejani ngando jikaka no na jinɛkɛ no. 
MAT.11.5	Baya bagwa miso basɔkɔ njɛnɛ ebu. Bato bamitɛngu badalaka. Bato bamaba bahelaka. Bato babohoka badi na njoki, Bagwake bangɔi, na bato babokwali bakaka Mwako Mopele. 
MAT.11.6	Bojongoa ai moto yona otabunga mojɔ mombi.
MAT.11.7	Ama bo yana, Yesu ami bala oko na emumu ebato a mojɔ moYoane. Abala bo, Ekɛ no oho a lisobe a bonja ndani? mongongo mokakumane na pwea? 
MAT.11.8	Ee, eke no oho a bonja ndani? moto yona olwaka bisenja bibopɛtɛpɛtɛ? Ikani! baya balwaka bisenja bibopetɛpetɛ badi oko a ndako jibakumu. 
MAT.11.9	Ekɛ no oho mojɔ moye?—a bonja motɔndɔi? Ee, mbi natɔndɔkɔ no bo yo anɔi motɔndɔi. 
MAT.11.10	Mojɔ mu mosɔnɔmɔ a mojɔ monde bo,
MAT.11.10	Anjani, mbi nalomi obwɛnji ombi a boso bowɛ;
MAT.11.10	Iyo âsɛlingoa njea a boso bowɛ.
MAT.11.11	Mbi nabalaka na nu na soti mɛnɛ bo pɛpɛ nongo moto omɔci yona obotama na mwali onɔi Yoane Mobatisi Endele ko, yona odi ngɔngɔ mɛnɛ a Bokumu boDiko adi boso bonde. 
MAT.11.12	Bato babanga bokwea a Bokumu boDiko na bopipo a masu maYoane Mobatisi, na edɛye pongono, bato babotepeli bakweaka ena na bopipo. 
MAT.11.13	Batɔndɔi basusu, na Mibeko pongono, batɔndɔ ngando jia jidi bokwa ngɔngɔ, oko a ehole eYoane. 
MAT.11.14	Isa ejimeli enu ebwani na mojɔ mumu—Yoane adi oko Elia yona odaka na sako ebodoa. 
MAT.11.15	Isa moto adi na matoi manjoki, yɛ ahokee.
MAT.11.16	Mbi nadi bonge elulu ye na ye? Babwani oko na bɛngɛ baya batitani a ndɔngɔ, na babekoaka ai bina’bu bo, 
MAT.11.17	Iso bobomi ebumba, ino ko pɛ bobua ngɔmɔ, Bobomi lingondo, ino ko pɛ boyea kɔndɔ. 
MAT.11.18	Mojɔ bo Yoane adoiti na eyakeli na emwakeli, na babala ka bo adi na mwembo mobe. 
MAT.11.19	Mwana ’Moto ko adoi, akayake na akamwake, na babalaka bo, Anjani moto omogbuko na molangoi; apanganaka na baputeja batako na bato babe. Bowɛi bodi bolonga oko na bilomu bibowɛi.
MAT.11.20	Yesu abanga bolemoa na bato a ngando jikɔkɔ yo mindumba minde minɛnɛ, cina bo baihekoja milema mibu. 
MAT.11.21	Abala bo, Monɔngɔ ai ho Kolasina! Monɔngɔ ai no Betesaida! Akɔkɔ bo nɛ mindumba minɛkɛ no oho Tula na Sidona, ka bahekoja milema mibu eyou, na balwa bipupu, na basasuoa mihulu. 
MAT.11.22	Mbi natɔndɔkɔ no bo bodingoa bonu bonɔbí bua boTula na Sidona a busa boEsambi. 
MAT.11.23	Ino Kapalanauma—obakini diko? Pɛpɛ, otitabíni nase oko a Gehena, Nongo Sɔdɔmɔ, akɔkɔ bo nɛ mindumba minɛkɛ no, ka badi oko busa bu. 
MAT.11.24	A mojɔ momina, mbi nabalaka na nu bo esambi enu enɔbí yena eSɔdɔmɔ na bopipo a busa boEsambi.
MAT.11.25	A ehole emina, Yesu abala bo, Sesa, Kumu oDiko na nase, mbi nasakoaka wɛ cina bo obomba ngando jiji ai bato babowɛi, ai bato baya bacingeaka mijɔ, na ojibolojai ai bana bakɛkɛ. 
MAT.11.26	Ee Sesa; bolulea bowɛ bopele bodaka boa.
MAT.11.27	Sangwa’mbi apani kpaci a ngando jisusu. Pɛpe nongo moto ojebaka Mwana. Edi oko Sango pɛ yona omojebaka. Pɛpɛ nongo moto ojebaka Sango. Edi oko Mwana pɛ yona omojebaka, Na Mwana akajima, amobolojaka ai bato bo bamojebe. 
MAT.11.28	Doani ai mbi, ino basusu baya bangwai, na baya ba’mbi na mina, bo mbi nahemejae no. 
MAT.11.29	Tombani mosongo mombi. Ikoani na mbi, mojɔ bo mbi nadi na molema motitake. 
MAT.11.30	Mosongo mombi moditi na kpɔkɔsɔ, na muna mombi modi mohahanake.
MAT.12.1	Ekina ndɔndɔ, Yesu adala a busa boSabata, na alena njea egbie jibsɔ. Bacingami bande batwa jikina ngbɛlɛnga jibsɔ na bajiyaka, mojɔ bo badaka na nja. 
MAT.12.2	BaPalusi ko babanɛ, na babala na Yesu bo, Anja bacingami bawɛ! Akɔkɔ bo boa, basopaka mobeko moSabata. Yesu abasɔmbeja bo, 
MAT.12.3	Ino olangakinini mojɔ mokɔ Dawidi yana akaka yo nja, yo mɛnɛ na bato bande? 
MAT.12.4	Iyo akwea a ndako eNjambe na ayaka milɛmbɛ mimokako. Midaka oko a mojɔ mobo’nja pɛ; mihɛngɛmɛ oko ai nganga pɛ, na eibɔngɔ bo yo ayake isa bato bande. 
MAT.12.5	Olangakinini a Mibeko bo nganga batempelo basopaka mobeko moSabata a tei etempelo a busa boSabata, na baditi na lindo? 
MAT.12.6	Mbi nabalaka na nu bo mokina mojɔ modi jɔno mua monɔi tempelo. 
MAT.12.7	Akɔki no cingea ekenge yeye, ka odumbitini baya baditi nongo na mojɔ;
MAT.12.7	Mbi nasepaka oko na wa, te tito bamasiko.
MAT.12.8	Mojɔ bo Mwana ’Moto adi Kumu oSabata.
MAT.12.9	Adonga yo a esika emina, Yesu akwea a sinagoge ebu. 
MAT.12.10	Okina momi adaka ena yona odaka na ebɔ endɔke, Bakina bahɔjɔ Yesu bo, Elomu esengo ebɔngi a busa boSabata? Babala boa cina bo badukaka na nde mojɔ. 
MAT.12.11	Yesu abasɔmbeja bo, Isa okina onu adi na bata omɔci, na yo akakwa ta mombɔndɔ a busa boSabata, otamopea bo omohwɛ a mombɔndɔ? 
MAT.12.12	Na moto, na bata, onɔi na bobuno nda, te moto? Oko boa, ebɔngi bo moto akɔe bopele a busa boSabata. 
MAT.12.13	Asi ko abali na momi bo, Ninoja ebɔ. Iyo aninoja ebɔ, na ebɔ ende esɔ nguli, na ebwana na ebɔ etongo.
MAT.12.14	BaPalusi bamana, na babolea likita a bodumba ndungu bo bamowoe. 
MAT.12.15	Yesu ko ajeba mojɔ momina, na adonga a esika emina. Bato banenɛ bamosusa a njea, na abaheleja basusu a bego. 
MAT.12.16	Iyo ko abalemba na bopipo bo batameja mojɔ monde a bohu. 
MAT.12.17	Akɔ boa a bongameja ekenge ema bala motɔndɔi Yisaya bo,
MAT.12.18	Anjani mokɔmɛli ombi. Mbi namohɔi;
MAT.12.18	Nadi na nde ngɛnjɔ.
MAT.12.18	Molema mombi mosepaka na nde,
MAT.12.18	Mbi nâmolwaja Mwembo mombi.
MAT.12.18	Iyo âjebeja makota mangondo mojɔ mobodongo.
MAT.12.19	Ataswiana na moto; atabekoa na bopipo.
MAT.12.19	Pɛpɛ nongo moto odi boka monɔkɔ monde a licilinga.
MAT.12.20	Atabuka hongo mongongo mua mokwei pola,
MAT.12.20	Na atadima nongo motanda momodidi,
MAT.12.20	Oko adi yo pɛ bopeta gbokeja na bodongo.
MAT.12.21	Na makota mangondo mâda na njingo a kombe ende.
MAT.12.22	Badoa ai yo na moto yona odaka na mwembo mobe; agwa miso, na adaka koko emimi. Yesu amoheleja; emimi abala na asɔ njɛnɛ ende. 
MAT.12.23	Bato basusu bakamoa bou; babala bo, Iyoyo, te Mwana oDawidi? 
MAT.12.24	BaPalusi ko, yana aka bo mojɔ momina, babala bo, Moto yo amejaka miembo mibe oko na kpaci eBalasebuba, kumu omiembo mibe. 
MAT.12.25	Yesu acingea bilɛli bibu, na abala na bu bo, Bokumu bokada na bobɔtɔ, bodi bobeha; na ngando ekada na bobɔtɔ, etayeyoa nongo. 
MAT.12.26	Oko boa, Satana aka’na na Satana, adi na bobɔtɔ, na bokumu bonde bodi boyeyoa na ye? 
MAT.12.27	Isa mbi namejaka miembo mibe na kpaci eBalasebuba, bana banu bamimejaka na kpaci enda? 
MAT.12.28	Isa mbi ko namejaka miembo mibe na ngulu eMwembo moNjambe, Bokumu boNjambe bodoi ai no. 
MAT.12.29	Moto amiti kanda moto mopipo mbɔci, adi bokwea a ndako emoto mopipo a bobeja leka londe? Akakɔ boa abwani bobeja leka londako ende. 
MAT.12.30	Moto yona oditi a dɔngɔ dimbi aloni mbi. Moto amiti kɔmeja mbi a bondoa, ananganejaka oko bonanganeja. 
MAT.12.31	A mojɔ momina, mbi nabalaka na nu bo boye bodi a mojɔ mojibe jisusu na matangola masusu. Moto ko akatangola Mwembo Mosenɔke, boye boditi nongo. 
MAT.12.32	Moto akadɔ Mwana ’Moto abwani bosɔ boye. Moto ko akadɔ Mwembo Mosɛnɔke, atasɔ nongo boyɛ, isa a ehole ye, isa a ehole yena ekadoe. 
MAT.12.33	Balani bo mole modi mopele, na mbuma jimole jidi koko jipele; isa bo mole modi mobe, na mbuma jimole jidi koko jibe. Ombeteakani mole oko na mbuma. 
MAT.12.34	Ino bana banjɔ! Adi no bato babe, odini bobala mijɔ mipele na ye? Mojɔ bo monɔkɔ mobalaka oko mijɔ mia minɛngi a molema, 
