GEN.1.1	I början skapade Gud himlarna och jorden.
GEN.12.14	När de anlände till Egypten, såg egypterna Sarajs skönhet. 
GEN.12.15	Och när faraos hovmän lovordade henne för honom, lät han hämta henne till sitt palats. 
GEN.12.16	Farao behandlade Abram väl för hennes skull: han fick får, oxar, åsnor, slavar av båda könen och kameler.
GEN.12.17	Men 
GEN.12.18	Då kallade farao på Abram och anklagade honom: ”Vad är det du har gjort mot mig?” sa han. ”Varför talade du inte om för mig att hon är din hustru? 
GEN.12.19	Varför sa du att hon var din syster och gick med på att jag gifte mig med henne? Ta henne nu och ge dig iväg!” 
GEN.12.20	Sedan befallde Farao sina män att föra ut dem allesammans ur landet, Abram, hans hustru och allt vad han ägde.
GEN.13.1	Abram begav sig alltså från Egypten med sin hustru och allt han ägde till Negev, och Lot följde med honom. 
GEN.13.2	Abram var nu mycket rik och ägde boskap, silver och guld. 
GEN.13.3	Han fortsatte sedan från lägerplats till lägerplats, från Negev mot Betel, till den plats där han förut hade slagit läger mellan Betel och Aj, 
GEN.13.4	och där han byggt ett altare. Där åkallade han nu 
GEN.13.5	Också Lot, som förflyttade sig tillsammans med Abram, hade får och nötboskap och tält. 
GEN.13.6	Landet kunde inte försörja dem båda, för de hade så stora egendomar att de inte kunde stanna på samma plats tillsammans. 
GEN.13.7	Stridigheter uppstod mellan Abrams och Lots herdar. (Kanaanéerna och perisséerna bodde i landet vid den tiden.) 
GEN.13.8	Då sa Abram till Lot: ”Det får inte råda osämja mellan dig och mig och mellan våra herdar. Vi är ju nära släktingar. 
GEN.13.9	Är inte hela landet öppet för dig? Skilj dig ifrån mig! Går du åt vänster så går jag åt höger. Går du åt höger så går jag åt vänster.”
GEN.13.10	Lot såg ut över Jordanslätten, som var väl bevattnad överallt. Hela området ända bort till Soar var som 
GEN.13.11	Därför valde Lot hela Jordanslätten. Han gick österut, och på så sätt skildes de från varandra. 
GEN.13.12	Abram stannade nämligen i Kanaans land, medan Lot bodde bland städerna på slätten och slog läger på en plats nära staden Sodom. 
GEN.13.13	Människorna i Sodom var onda och syndade mycket mot 
GEN.13.14	Efter det att Lot gått därifrån, sa 
GEN.13.15	Hela detta land som du kan se ska jag ge till dig och dina ättlingar för all framtid. 
GEN.13.16	Jag ska ge dig många ättlingar, ja, som dammkornen som inte kan räknas ska inte heller dina ättlingar kunna räknas. 
GEN.13.17	Vandra nu omkring i landet, ty jag ska ge dig det.” 
GEN.13.18	Då flyttade Abram sitt tält till Mamres ekar nära Hebron och byggde där ett altare till 
GEN.14.1	Vid den här tiden startade Amrafel, Shinars kung, Arjok, Ellasars kung, Kedorlaomer, Elams kung, och Tidal, Gojims kung, 
GEN.14.2	ett krig mot Bera, Sodoms kung, Birsha, Gomorras kung, Shinav, Admas kung, Shemever, Sevojims kung och kungen i Bela (som senare kallades Soar).
GEN.14.3	Dessa kungar förenade sina arméer i Siddimdalen, dalen vid Döda havet. 
GEN.14.4	Under tolv år hade de alla varit undersåtar till kung Kedorlaomer, men på det trettonde året gjorde de uppror.
GEN.14.5	Under det fjortonde året kom Kedorlaomer dit med sina allierade. Han segrade över refaéerna i Ashterot Karnajim, över suséerna i Ham, över eméerna i Shave Kirjatajim. 
GEN.14.6	Horéerna, som bodde på berget Seir, drev han ända till El Paran vid öknen.
GEN.14.7	De vände sedan om till En Mishpat, som senare kallades Kadesh, och erövrade hela amalekiternas område, liksom amoréernas, som bodde i Haseson Tamar.
GEN.14.8	Kungarna i Sodom, Gomorra, Adma, Sevojim och Bela, nuvarande Soar, drog ut och ordnade sina arméer till strid i Siddimdalen 
GEN.14.9	mot Elams kung Kedorlaomer, Gojims kung Tidal, Shinars kung Amrafel och Ellasars kung Arjok, fem kungar mot fyra. 
GEN.14.10	Dalen var full av gropar med jordbeck. När armén som tillhörde kungarna i Sodom och Gomorra flydde, föll några i groparna och resten flydde till bergen. 
GEN.14.11	Segrarna plundrade Sodom och Gomorra och tog med sig all deras egendom och mat. Sedan drog de därifrån.
GEN.14.12	De tog också med sig Lot, Abrams brorson, som bodde i Sodom, och allt han ägde. 
GEN.14.13	En av de män som lyckats fly kom och berättade för hebrén Abram vad som hade hänt. Abram hade slagit läger bland ekarna som tillhörde amorén Mamre, bror till Eshkol och Aner, vilka alla var Abrams allierade.
GEN.14.14	När Abram fick reda på att hans brorson Lot hade tagits till fånga, sammankallade han männen som var födda i hans hushåll, 318 män sammanlagt, och förföljde fienderna ända till Dan. 
GEN.14.15	Den natten delade han upp sina män, och de anföll dem och förföljde den flyende armén till Hova, norr om Damaskus. 
GEN.14.16	Han fick tillbaka hela bytet som de tagit, brorsonen Lot, och alla Lots ägodelar, kvinnorna och de andra. 
GEN.14.17	När Abram återvände från sitt anfall mot Kedorlaomer och de andra kungarna, kom kungen i Sodom ut för att möta honom i Shavedalen, som senare kallades Kungsdalen.
GEN.14.18	Kungen i Salem
GEN.14.19	Sedan välsignade Melkisedek Abram:
GEN.14.19	”Må Gud den Högste, himlens och jordens Skapare,
GEN.14.19	välsigna Abram!
GEN.14.20	Välsignad vare Gud den Högste,
GEN.14.20	som har överlämnat dina fiender till dig!”
GEN.14.20	Då gav Abram Melkisedek en tiondel av allting.
GEN.14.21	Kungen i Sodom vädjade till Abram: ”Ge mig bara folket. Behåll själv hela bytet.” 
GEN.14.22	Men Abram svarade honom: ”Jag lyfter min hand och svär vid 
GEN.14.23	att jag inte ska ta så mycket som en enda tråd eller sandalrem från dig. Du ska inte kunna säga: ’Jag har gjort Abram rik.’ 
GEN.14.24	Jag ska ingenting ha. Det räcker med det som mina unga män har ätit av din mat. Men ge en del av bytet till mina stridskamrater Aner, Eshkol och Mamre.”
GEN.15.1	Något senare kom 
GEN.15.1	”Var inte rädd, Abram!
GEN.15.1	Jag är din sköld och ska ge dig rik belöning.”
GEN.15.2	Men Abram svarade: ”Herre, 
GEN.15.3	Abram sa vidare: ”Du har ju inte gett mig några barn. Då blir det min tjänare som ärver mig.”
GEN.15.4	Då kom 
GEN.15.5	Sedan förde Gud ut Abram och sa till honom: ”Se upp mot himlen och räkna stjärnorna, om du kan. Så talrika ska dina efterkommande
GEN.15.6	Och Abram trodde 
GEN.15.7	Han sa till honom: ”Jag är 
GEN.15.8	Men Abram svarade: ”Herre, 
GEN.15.9	Då sa Herren till honom att hämta en tre år gammal kviga, en tre år gammal get, en tre år gammal bagge, en turturduva och en ung duva. 
GEN.15.10	Abram hämtade djuren och styckade dem i två delar och lade delarna mitt emot varandra, men fåglarna delade han inte.
GEN.15.11	Och när rovfåglar angrep de slaktade djuren, schasade Abram bort dem.
GEN.15.12	När solen gick ner den kvällen föll en tung sömn över Abram, och ett fruktansvärt, skrämmande mörker kom över honom.
GEN.15.13	Då sa Herren till Abram: ”Du ska veta att dina efterkommande ska bo i ett främmande land och bli slavar och förtryckas under fyrahundra år. 
GEN.15.14	Men jag ska döma det folk som gör dem till slavar, och efter det ska de gå därifrån med stora rikedomar. 
GEN.15.15	Själv kommer du att dö i frid och begravas hos dina fäder vid hög ålder. 
GEN.15.16	I den fjärde generationen ska dina ättlingar komma tillbaka hit, för amoréerna kommer inte att ha fyllt sina synders mått förrän då.”
GEN.15.17	När solen gick ner och det blev mörkt, syntes ett rykande fyrfat och en flammande fackla som passerade mellan de slaktade djurhalvorna.
GEN.15.18	Den dagen upprättade 
GEN.15.19	kenitéernas, kenisséernas, kadmonéernas, 
GEN.15.20	hettiternas, perisséernas, refaéernas, 
GEN.15.21	amoréernas, kanaanéernas, girgashéernas och jevuséernas land.”
GEN.16.1	Abrams hustru Saraj hade inte fött honom några barn. Men Saraj hade en egyptisk slavinna, som hette Hagar, 
GEN.16.2	och så sa Saraj till Abram: ”Eftersom 
GEN.16.3	Så gav Saraj, Abrams hustru, sin egyptiska slavinna Hagar till sin man. Abram hade då bott tio år i Kanaans land. 
GEN.16.4	Han låg med Hagar, och hon blev med barn. När hon förstod att hon var gravid, började hon se ner på sin husmor Saraj.
GEN.16.5	Då sa Saraj till Abram: ”Allt är ditt fel! Jag gav min slavinna i din famn, men när hon blev gravid började hon se ner på mig. Må 
GEN.16.6	”Slavinnan är i dina händer. Gör vad du tycker är bäst”, svarade Abram. Då bestraffade Saraj henne så att hon flydde.
GEN.16.8	Ängeln frågade: ”Hagar, Sarajs slavinna, var har du kommit ifrån och vart är du på väg?” ”Jag är på flykt från min husmor Saraj”, svarade Hagar. 
GEN.16.9	Då sa 
GEN.16.10	 ängel sa vidare: ”Jag ska göra dina ättlingar så talrika att ingen kan räkna dem.” 
GEN.16.11	Och 
GEN.16.11	”Du är med barn och du kommer att få en son,
GEN.16.11	som du ska kalla Ismael
GEN.16.12	Denne din son kommer att vara som en vildåsna.
GEN.16.12	Han kommer att vara emot alla,
GEN.16.12	och alla kommer att vara emot honom.
GEN.16.12	Han ska leva öster om
GEN.16.13	Därefter kallade Hagar 
GEN.16.14	Senare kallades brunnen för Beer Lachaj Roi
GEN.16.15	Så födde Hagar en son åt Abram, och Abram kallade honom Ismael. 
GEN.16.16	Abram var åttiosex år gammal när Hagar födde Ismael åt honom.
GEN.17.1	När Abram var nittionio år gammal, visade sig 
GEN.17.2	Jag ska upprätta ett förbund mellan oss och ge dig ett oräkneligt antal ättlingar.” 
GEN.17.3	Då föll Abram ned med ansiktet mot jorden, och Gud sa: 
GEN.17.4	”Detta är mitt förbund med dig: Du ska bli far till många folk. 
GEN.17.5	Du ska inte längre heta Abram
GEN.17.6	Jag ska göra dig mycket fruktsam, och folk och kungar ska härstamma från dig. 
GEN.17.7	Jag ska upprätta ett förbund mellan mig och dig och dina ättlingar, generation efter generation, ett evigt förbund: jag ska vara din Gud och dina efterkommandes Gud. 
GEN.17.8	Jag ska ge hela Kanaans land, där du nu lever som främling, till dig och till dina ättlingar för alltid, och jag ska vara deras Gud.”
GEN.17.9	Gud sa vidare till Abraham: ”Du för din del ska hålla mitt förbund, du själv och dina efterkommande, generation efter generation. 
GEN.17.10	Detta förbund mellan mig och er och dina ättlingar innebär att varje manlig individ bland er blir omskuren.
GEN.17.11	Ni ska skära bort förhuden som tecken på förbundet mellan mig och er. 
GEN.17.12	Varje pojke, i generation efter generation, ska omskäras på åttonde dagen efter sin födelse, likaså slavar, både de som är födda i ditt hushåll och de som du har köpt från något annat folk och som inte är av din släkt. 
GEN.17.13	Alla måste de omskäras, både de som är födda hos dig och de köpta. På kroppen kommer ni så att ha mitt eviga förbund. 
GEN.17.14	Den av manligt kön som inte fått förhuden bortskuren ska utrotas ur folket, för han har brutit mitt förbund.”
GEN.17.15	Sedan tillade Gud: ”Din hustru Saraj ska inte längre heta Saraj, utan Sara
GEN.17.16	och jag ska välsigna henne och ge dig en son med henne. Ja, jag ska välsigna henne och göra henne till mor för många folkslag. Även kungar ska finnas bland hennes ättlingar.”
GEN.17.17	Då föll Abraham ner inför Herren, samtidigt som han skrattade till och sa för sig själv: ”Skulle en hundraåring bli far? Och skulle Sara få barn när hon är nittio år?” 
GEN.17.18	Men till Gud sa han: ”Bara du låter det gå bra för Ismael!”
GEN.17.19	Gud svarade: ”Din hustru Sara ska få en son, och du ska kalla honom Isak.
GEN.17.20	Beträffande Ismael har jag hört dig. Jag ska välsigna honom också, låta honom bli fruktsam och föröka sig mycket. Tolv furstar ska finnas bland hans efterkommande. Jag ska göra honom till ett stort folk. 
GEN.17.21	Men mitt förbund upprättar jag med Isak, som ska födas åt dig och Sara nästa år vid den här tiden.”
GEN.17.22	När Gud slutade samtalet med Abraham, lämnade han honom och steg upp igen. 
GEN.17.23	Sedan tog Abraham sin son Ismael och alla andra män, som var födda i hans familj eller köpta utifrån, och omskar dem samma dag, precis som Gud hade sagt till honom. 
GEN.17.24	Abraham var 99 år gammal när han omskars, 
GEN.17.25	och hans son Ismael var 13 år. 
GEN.17.26	Båda blev omskurna på samma dag 
GEN.17.27	tillsammans med alla andra män och pojkar i hushållet, slavar som var födda i hushållet och de som var köpta utifrån.
GEN.18.2	tittade han upp och fick se tre män som stod mitt framför honom. Han skyndade sig då från tältöppningen för att möta dem och hälsade dem genom att buga sig med ansiktet mot marken.
GEN.18.3	”Herre”, sa han, ”om du ser välvilligt på mig, gå inte förbi din tjänare. 
GEN.18.4	Låt mig hämta vatten så att ni kan tvätta era fötter och sedan vila er under trädet, 
GEN.18.5	och låt mig ta fram en bit mat som ni kan styrka er med innan ni fortsätter er resa – när ni nu ändå har stannat till hos er tjänare.” De svarade: ”Det låter bra. Gör som du har sagt!”
GEN.18.6	Då skyndade sig Abraham till tältet och sa till Sara: ”Skynda dig, ta tre mått
GEN.18.7	Sedan sprang han ut till hjorden, valde ut en fin spädkalv och gav till en tjänare som skyndade sig att tillaga den. 
GEN.18.8	Sedan dukade han fram tjockmjölk
GEN.18.9	”Var är din hustru Sara?” frågade de. ”I tältet”, svarade Abraham. 
GEN.18.10	Då sa han
GEN.18.11	Men Abraham och Sara var båda mycket gamla, och Sara hade passerat den fruktsamma åldern. 
GEN.18.12	Därför skrattade Sara tyst för sig själv: ”Skulle en vissnad kvinna i min ålder kunna känna lust? Min herre är också gammal.”
GEN.18.13	Då frågade 
GEN.18.14	Finns det något som är omöjligt för 
GEN.18.15	Men Sara blev rädd och sa: ”Jag skrattade inte!” ”Jo, det gjorde du visst!” svarade Herren.
GEN.18.16	Sedan reste männen sig upp och vände sig mot Sodom, och Abraham gick med dem ett stycke på vägen.
GEN.18.17	”Varför skulle jag dölja min plan för Abraham?” tänkte 
GEN.18.18	”Abraham ska ju bli ett stort och mäktigt folk, och genom honom ska alla jordens folk bli välsignade. 
GEN.18.19	Jag har utvalt honom för att leda sina barn och sin släkt på 
GEN.18.20	Och 
GEN.18.21	Jag är på väg ner för att se efter om rapporterna verkligen är sanna. Om ryktet inte är sant, måste jag få veta det.” 
GEN.18.22	Männen gick vidare mot Sodom, medan Abraham blev kvar hos 
GEN.18.23	Då steg Abraham fram till honom och frågade: ”Kommer du verkligen att förinta den rättfärdige tillsammans med den onde? 
GEN.18.24	Tänk om det finns femtio rättfärdiga människor i staden! Kommer du att förgöra staden och inte förlåta den för deras skull? 
GEN.18.25	Det skulle inte vara rätt! Du vill väl inte döda de rättfärdiga tillsammans med de onda? Då skulle du ju behandla rättfärdiga och onda precis på samma sätt! Så skulle du väl inte vilja göra? Är inte du, som är hela jordens domare, rättvis?” 
GEN.18.26	 svarade: ”Om det finns femtio rättfärdiga där, så ska jag förlåta hela staden för deras skull.”
GEN.18.27	Då talade Abraham igen: ”Eftersom jag redan har börjat tala till dig, Herre, kan jag lika gärna fortsätta, även om jag bara är stoft och aska. 
GEN.18.28	Tänk om det bara finns fyrtiofem? Kommer du då att förgöra staden därför att det fattas fem?” Han sa: ”Jag ska inte förgöra den, om jag hittar fyrtiofem.”
GEN.18.29	Då gick Abraham ännu längre och sa: ”Tänk om det bara finns fyrtio?” Han svarade: ”Jag ska inte göra det, om det finns fyrtio.”
GEN.18.30	”Bli inte arg, Herre”, bad Abraham, ”utan låt mig fortsätta. Tänk om det bara finns trettio där?” Han svarade: ”Jag ska inte göra det, om jag finner trettio där.”
GEN.18.31	Då sa Abraham: ”Eftersom jag har vågat tala till Herren, vad om det bara finns tjugo?” Han svarade: ”Då ska jag inte förgöra den, för dessa tjugos skull.”
GEN.18.32	Slutligen sa Abraham: ”Bli inte vred, Herre, jag ska bara öppna munnen en gång till: tänk om det bara finns tio?” Och han sa: ”För dessa tio personers skull ska jag inte förgöra staden.”
GEN.18.33	När 
GEN.19.1	När de två änglarna samma kväll kom till Sodom, satt Lot i stadsporten. När han såg dem, reste han sig upp för att möta dem och han bugade sig med ansiktet mot marken. 
