GEN.1.1	Alguses lõi Jumal taevad ja maa.
GEN.9.12	Ja Jumal ütles: „Lepingu tähis, mille Ma teen Enese ja teie ja iga teie juures oleva elava hinge vahel igavesteks põlvedeks, on see:
GEN.9.13	Ma panen pilvedesse Oma vikerkaare ja see on lepingu tähiseks Minu ja maa vahel!
GEN.9.14	Kui Ma kogun maa kohale pilvi ja pilvedes nähakse vikerkaart,
GEN.9.15	siis Ma mõtlen Oma lepingule, mis on Minu ja teie ja iga elava hinge vahel kõiges lihas, ja vesi ei saa enam kõike liha hävitavaks uputuseks!
GEN.9.16	Kui pilvedes on vikerkaar, siis Ma vaatan seda ja mõtlen igavesele lepingule Jumala ja iga elava hinge vahel kõiges maa peal olevas lihas!”
GEN.9.17	Ja Jumal ütles Noale: „See on selle lepingu tähis, mille Ma olen teinud enese ja kõige liha vahel, mis maa peal on.”
GEN.9.18	Ja Noa pojad, kes laevast välja tulid, olid Seem, Haam ja Jaafet; ja Haam oli Kaanani isa.
GEN.9.19	Need kolm olid Noa pojad ja neist rahvastus kogu maa.
GEN.9.20	Noa hakkas põllumeheks ja istutas viinamäe.
GEN.9.21	Ta jõi viina, jäi joobnuks ja ajas oma telgis enese paljaks.
GEN.9.22	Aga Haam, Kaanani isa, nägi oma isa paljast ihu ja rääkis sellest oma kahele vennale õues.
GEN.9.23	Siis Seem ja Jaafet võtsid vaiba ja panid enestele õlgadele, läksid tagurpidi ja katsid kinni oma isa palja ihu; nende näod olid ära pööratud, nõnda et nad oma isa paljast ihu ei näinud.
GEN.9.24	Kui Noa ärkas oma viinauimast ja sai teada, mis ta noorem poeg oli teinud,
GEN.9.25	siis ta ütles: „Neetud olgu Kaanan, saagu ta oma vendadele sulaste sulaseks!”
GEN.9.26	Ta ütles veel: „Kiidetud olgu Issand, Seemi Jumal, ja Kaanan olgu tema sulane!
GEN.9.27	Jumal andku avarust Jaafetile, ta elagu Seemi telkides ja Kaanan olgu tema sulane!”
GEN.9.28	Ja Noa elas pärast veeuputust kolmsada viiskümmend aastat.
GEN.9.29	Ja kõiki Noa elupäevi oli üheksasada viiskümmend aastat; siis ta suri.
GEN.10.1	Ja need on Noa poegade Seemi, Haami ja Jaafeti järeltulijad; pärast veeuputust sündisid neile pojad.
GEN.10.2	Jaafeti pojad olid Gomer, Maagoog, Maadai, Jaavan, Tubal, Mesek ja Tiiras.
GEN.10.3	Ja Gomeri pojad olid Askenas, Riifat ja Toogarma.
GEN.10.4	Ja Jaavani pojad olid Eliisa ja Tarsis, kitiidid ja rodanlased;
GEN.10.5	neist eraldusid saarte rahvad. Need olid Jaafeti järeltulijad nende maade järgi, igaühel oma keel, nende suguvõsade kaupa, vastavalt neile rahvastele.
GEN.10.6	Ja Haami pojad olid Kuus, Mitsraim, Puut ja Kaanan.
GEN.10.7	Ja Kuusi pojad olid Seba, Havila, Sabta, Raema ja Sabteka; ja Raema pojad olid Seeba ja Dedan.
GEN.10.8	Ja Kuusile sündis Nimrod, kes oli esimene vägev mees maa peal.
GEN.10.9	Tema oli vägev kütt Issand ees, seepärast öeldakse: „Vägev kütt Issanda ees nagu Nimrod!”
GEN.10.10	Ja tema kuningriigi alguseks olid Paabel, Erek, Akkad ja Kalne Sinearimaal.
GEN.10.11	Sellelt maalt ta väljus Assurisse ja ehitas Niinive, Rehobot-Iiri ja Kelahi,
GEN.10.12	ja Reseni Niinive ja Kelahi vahele — see on see suur linn.
GEN.10.13	Ja Mitsraimile sündisid luudlased, anamlased, lehablased, naftuhlased,
GEN.10.14	patruuslased ja kasluhlased, kellest vilistid ja kaftoorlased on lähtunud.
GEN.10.15	Ja Kaananile sündisid Siidon, tema esmasündinu, ja Heet,
GEN.10.16	jebuuslased, emorlased, girgaaslased,
GEN.10.17	hiivlased, arklased, siinlased,
GEN.10.18	arvadlased, semarlased ja hamatlased; hiljem harunesid kaananlaste suguvõsad.
GEN.10.19	Ja kaananlaste maa-ala oli Siidonist Gerari suunas Assani, Soodoma, Gomorra, Adma ja Seboimi suunas Lesani.
GEN.10.20	Need olid Haami järeltulijad nende suguvõsade, keelte, maade ja rahvaste järgi.
GEN.10.21	Ja Seemile sündisid ka pojad; tema oli kõigi Eeberi poegade esiisa, Jaafeti vanem vend.
GEN.10.22	Seemi pojad olid Eelam, Assur, Arpaksad, Luud ja Aram.
GEN.10.23	Ja Arami pojad olid Uuts, Huul, Geter ja Maas.
GEN.10.24	Ja Arpaksadile sündis Selah, Selahile sündis Eeber.
GEN.10.25	Ja Eeberile sündis kaks poega: ühe nimi oli Peleg, sest tema päevil jagunes maa; ja tema venna nimi oli Joktan.
GEN.10.26	Ja Joktanile sündisid Almodad, Selef, Hasarmavet, Jaarah,
GEN.10.27	Hadoram, Uusal, Dikla,
GEN.10.28	Oobal, Abimael, Seeba,
GEN.10.29	Oofir, Havila ja Joobab; need kõik olid Joktani pojad.
GEN.10.30	Nende elukohad olid Meesast Sefaara suunas idapoolses mäestikus.
GEN.10.31	Need olid Seemi järeltulijad nende suguvõsade, keelte, maade ja rahvaste järgi.
GEN.10.32	Need olid Noa poegade suguvõsad nende põlvnemiste ja rahvaste järgi; neist harunesid rahvad maa peal pärast veeuputust.
GEN.11.1	Kogu maailmas aga oli üks keel ja ühesugused sõnad.
GEN.11.2	Ja sündis, kui nad hommiku poolt teele läksid, et nad Sinearimaal leidsid oru ja jäid sinna elama.
GEN.11.3	Nad ütlesid üksteisele: „Tehkem nüüd telliskive ja põletagem neid hästi.” Siis olid telliskivid neile ehituskivideks ja maapigi oli saviks.
GEN.11.4	Ja nad ütlesid: „Tulge, ehitagem enestele linn ja torn, mille tipp oleks taevas, ja tehkem enestele nimi, et me ei hajuks üle kogu maailma!”
GEN.11.5	Aga Issand tuli alla vaatama linna ja torni, mida inimlapsed ehitasid.
GEN.11.6	Ja Issand ütles: „Vaata, rahvas on üks ja neil kõigil on üks keel, ja see on alles nende tegude algus. Nüüd ei ole neil võimatu ükski asi, mida nad kavatsevad teha!
GEN.11.7	Mingem nüüd alla ja segagem seal nende keel, et nad üksteise keelt ei mõistaks!”
GEN.11.8	Ja Issand pillutas nad sealt üle kogu maailma ja nad jätsid linna ehitamata.
GEN.11.9	Seepärast pandi sellele nimeks Paabel, sest seal Issand segas ära kogu maailma keele ja sealt pillutas Issand nad üle kogu maailma.
GEN.11.10	Need olid Seemi järeltulijad: kui Seem oli sada aastat vana, siis sündis temale Arpaksad kaks aastat pärast veeuputust.
GEN.11.11	Ja Seem elas pärast Arpaksadi sündimist viissada aastat, ja temale sündis poegi ja tütreid.
GEN.11.12	Kui Arpaksad oli elanud kolmkümmend viis aastat, siis sündis temale Selah.
GEN.11.13	Ja Arpaksad elas pärast Selahi sündimist nelisada kolm aastat, ja temale sündis poegi ja tütreid.
GEN.11.14	Kui Selah oli elanud kolmkümmend aastat, siis sündis temale Eeber.
GEN.11.15	Ja Selah elas pärast Eeberi sündimist nelisada kolm aastat, ja temale sündis poegi ja tütreid.
GEN.11.16	Kui Eeber oli elanud kolmkümmend neli aastat, siis sündis temale Peleg.
GEN.11.17	Ja Eeber elas pärast Pelegi sündimist nelisada kolmkümmend aastat, ja temale sündis poegi ja tütreid.
GEN.11.18	Kui Peleg oli elanud kolmkümmend aastat, siis sündis temale Reu.
GEN.11.19	Ja Peleg elas pärast Reu sündimist kakssada üheksa aastat, ja temale sündis poegi ja tütreid.
GEN.11.20	Kui Reu oli elanud kolmkümmend kaks aastat, siis sündis temale Serug.
GEN.11.21	Ja Reu elas pärast Serugi sündimist kakssada seitse aastat, ja temale sündis poegi ja tütreid.
GEN.11.22	Kui Serug oli elanud kolmkümmend aastat, siis sündis temale Naahor.
GEN.11.23	Ja Serug elas pärast Naahori sündimist kakssada aastat, ja temale sündis poegi ja tütreid.
GEN.11.24	Kui Naahor oli elanud kakskümmend üheksa aastat, siis sündis temale Terah.
GEN.11.25	Ja Naahor elas pärast Terahi sündimist sada üheksateist aastat, ja temale sündis poegi ja tütreid.
GEN.11.26	Kui Terah oli elanud seitsekümmend aastat, siis sündisid temale Aabram, Naahor ja Haaran.
GEN.11.27	Ja need olid Terahi järeltulijad: Terahile sündisid Aabram, Naahor ja Haaran; ja Haaranile sündis Lott.
GEN.11.28	Aga Haaran suri enne kui ta isa Terah, oma sünnimaal Kaldea Uuris.
GEN.11.29	Ja Aabram ja Naahor võtsid enestele naised; Aabrami naise nimi oli Saarai ja Naahori naise nimi oli Milka, Haarani tütar, kes oli Milka ja Jiska isa.
GEN.11.30	Aga Saarai oli viljatu, temal ei olnud last.
GEN.11.31	Ja Terah võttis oma poja Aabrami ja Haarani poja Loti, oma pojapoja, ja Saarai, oma minia, oma poja Aabrami naise, ja lahkus ühes nendega Kaldea Uurist, et minna Kaananimaale; ja nad jõudsid Haaranini ning jäid sinna elama.
GEN.11.32	Ja Terahi elupäevi oli kakssada viis aastat, ja Terah suri Haaranis.
GEN.12.1	Ja Issand ütles Aabramile: „Mine omalt maalt, omast sugukonnast ja isakojast maale, mille Ma sulle näitan!
GEN.12.2	Ma teen sind suureks rahvaks ja õnnistan sind, Ma teen su nime suureks, et sa oleksid õnnistuseks!
GEN.12.3	Siis Ma õnnistan neid, kes sind õnnistavad, panen vande alla need, kes sind neavad, ja sinu nimel õnnistavad endid kõik suguvõsad maa peal!”
GEN.12.4	Ja Aabram läks, nagu Issand teda käskis, ja Lott läks ühes temaga; Aabram oli seitsekümmend viis aastat vana, kui ta Haaranist väljus.
GEN.12.5	Ja Aabram võttis oma naise Saarai ja oma vennapoja Loti ja kogu nende varanduse, mis nad olid soetanud, ja Haaranis hangitud hingelised, ja nad läksid teele Kaananimaa poole. Ja nad jõudsid Kaananimaale.
GEN.12.6	Ja Aabram käis maa läbi Sekemi püha paigani, Moore tammeni; kaananlased olid siis veel sellel maal.
GEN.12.7	Ja Issand ilmutas Ennast Aabramile ning ütles: „Sinu soole Ma annan selle maa!” Siis ta ehitas sinna altari Issandale, kes oli Ennast temale ilmutanud.
GEN.12.8	Sealt ta liikus edasi mäestikku Peetelist hommiku poole ja lõi oma telgi üles, nõnda et Peetel jäi õhtu ja Ai hommiku poole; ja ta ehitas sinna altari Issandale ning hüüdis appi Issanda nime.
GEN.12.9	Ja Aabram läks teele, rändas üha ja siirdus Lõunamaale.
GEN.12.10	Aga maal oli nälg. Siis Aabram läks alla Egiptusesse, et seal võõrana elada, sest maal oli suur nälg.
GEN.12.11	Ja kui ta minnes Egiptusele ligines, ütles ta oma naisele Saaraile: „Vaata, ma tean, et sa oled ilusa välimusega naine.
GEN.12.12	Aga kui egiptlased sind näevad, ütlevad nad: „See on tema naine!” Siis nad tapavad mind, aga jätavad sind elama.
GEN.12.13	Ütle siis, et oled minu õde, et mu käsi sinu tõttu võiks hästi käia ja mu hing sinu pärast ellu jääks!”
GEN.12.14	Kui Aabram jõudis Egiptusesse, siis nägid egiptlased, et naine oli väga ilus.
GEN.12.15	Ja kui vaarao vürstid teda nägid, siis nad ülistasid teda vaaraole ja naine võeti vaarao kotta,
GEN.12.16	kes tegi Aabramile tema pärast head: ta sai pudulojuseid, veiseid ja eesleid, sulaseid ja ümmardajaid, emaeesleid ja kaameleid.
GEN.12.17	Aga Issand nuhtles vaaraot ja tema koda suurte nuhtlustega Saarai, Aabrami naise pärast.
GEN.12.18	Siis vaarao kutsus Aabrami ning ütles: „Miks sa mulle seda tegid? Miks sa ei teatanud mulle, et ta on sinu naine?
GEN.12.19	Miks sa ütlesid: ta on mu õde, nõnda et ma tema enesele naiseks võtsin? Aga nüüd, vaata, seal on su naine, võta tema ja mine!”
GEN.12.20	Ja vaarao andis tema pärast meestele käsu, et nad saadaksid minema tema ja ta naise ja kõik, mis tal oli.
GEN.13.1	Ja Aabram läks Egiptusest üles Lõunamaale, tema ja ta naine ja kõik, mis tal oli; ja Lott oli ühes temaga.
GEN.13.2	Ja Aabram oli väga rikas karja, hõbeda ja kulla poolest.
GEN.13.3	Ja ta rändas peatuspaigast teise, Lõunamaalt Peeteli poole, sinna paika, kus ta telk enne oli olnud Peeteli ja Ai vahel,
GEN.13.4	altari paika, mille ta varem sinna oli teinud; ja Aabram hüüdis seal appi Issanda nime.
GEN.13.5	Aga ka Lotil, kes rändas ühes Aabramiga, oli pudulojuseid, veiseid ja telke.
GEN.13.6	Kuid maa ei suutnud neid toita, et üheskoos elada, sest nende varandus oli nii suur, et neil oli võimatu üheskoos elada.
GEN.13.7	Ja Aabrami lojuste karjaste ja Loti lojuste karjaste vahel tekkis riid; kaananlased ja perislased elasid siis veel sellel maal.
GEN.13.8	Siis Aabram ütles Lotile: „Ärgu olgu riidu minu ja sinu vahel, minu karjaste ja sinu karjaste vahel. Meie, mehed, oleme ju vennad!
GEN.13.9	Eks ole kogu maa su ees lahti? Mine nüüd minu juurest ära, lähed sina vasakut kätt, lähen mina paremat kätt; lähed sina paremat kätt, lähen mina vasakut kätt.”
GEN.13.10	Siis Lott tõstis oma silmad üles ja nägi, et kogu Jordani piirkond oli kõikjal veerikas; enne kui Issand Soodoma ja Gomorra hävitas, oli see kuni Soarini otsekui Issand rohuaed, samasugune nagu Egiptusemaa.
GEN.13.11	Ja Lott valis enesele kogu Jordani piirkonna; Lott läks teele hommiku poole ja nad lahkusid teineteisest.
GEN.13.12	Aabram jäi Kaananimaale ja Lott asus piirkonna linnadesse ning lõi oma telgid üles Soodomast saadik.
GEN.13.13	Aga Soodoma mehed olid väga pahad ja patused Issanda ees.
GEN.13.14	Ja Issand ütles Aabramile, pärast seda kui Lott tema juurest oli lahkunud: „Tõsta nüüd oma silmad üles ja vaata paigast, kus sa oled, põhja ja lõuna ja hommiku ja õhtu poole,
GEN.13.15	sest kogu maa, mida sa näed, Ma annan sinule ja su soole igaveseks ajaks!
GEN.13.16	Ja Ma teen su soo maapõrmu sarnaseks: kui keegi suudab maapõrmu ära lugeda, siis on sinugi sugu äraloetav!
GEN.13.17	Võta kätte, käi maa läbi pikuti ja põiki, sest Ma annan selle sinule!”
GEN.13.18	Ja Aabram võttis telgid ja tuli ning elas Mamre tammikus, mis on Hebroni juures; ja ta ehitas sinna altari Issandale.
GEN.14.1	Ja Sineari kuninga Amrafeli, Ellasari kuninga Arjoki, Eelami kuninga Kedorlaomeri ja Goojimi kuninga Tideali päevil sündis,
GEN.14.2	et nad alustasid sõda Soodoma kuninga Bera, Gomorra kuninga Birsa, Adma kuninga Sineabi, Seboimi kuninga Semeeberi ja Bela, see on Soari kuninga vastu.
GEN.14.3	Need kõik kogunesid Siddimi orgu, kus nüüd on Soolameri.
GEN.14.4	Kaksteist aastat olid nad Kedorlaomerit orjanud, aga kolmeteistkümnendal aastal nad tõstsid mässu.
GEN.14.5	Ja neljateistkümnendal aastal tulid Kedorlaomer ja need kuningad, kes olid ühes temaga, ja lõid refalasi Astarot-Karnaimis, susiite Haamis, emiite Kirjataimi tasandikul
GEN.14.6	ja horiite Seiri mäestikus kuni Eel-Paaranini, mis on kõrbe ääres.
GEN.14.7	Siis nad pöördusid tagasi ja tulid Een-Mispatti, see on Kaadesisse, ja vallutasid kogu amalekkide väljade ala, samuti võitsid nad emorlasi, kes elasid Haseson-Taamaris.
GEN.14.8	Aga Soodoma kuningas, Gomorra kuningas, Adma kuningas, Seboimi kuningas ja Bela, see on Soari kuningas, läksid välja ja valmistusid tapluseks nende vastu Siddimi orus:
GEN.14.9	Eelami kuninga Kedorlaomeri, Goojimi kuninga Tideali, Sineari kuninga Amrafeli ja Ellasari kuninga Arjoki vastu — neli kuningat viie vastu!
GEN.14.10	Aga Siddimi org oli täis maapigi auke. Kui Soodoma ja Gomorra kuningad põgenesid, siis nad langesid neisse, kuna ülejäänud põgenesid mäestikku.
GEN.14.11	Ja nad võtsid kogu Soodoma ja Gomorra varanduse ja kogu nende toiduse ning läksid ära.
GEN.14.12	Ja ära minnes nad võtsid ühes ka Loti, Aabrami vennapoja, ja tema varanduse; ta elas ju Soodomas.
GEN.14.13	Aga üks põgenik tuli ja teatas Aabramile, heebrealasele, kes elas emorlase Mamre, Eskoli ja Aaneri venna tammikus; ja need olid Aabrami liitlased.
GEN.14.14	Kui Aabram kuulis, et ta vennapoeg oli vangi viidud, siis ta vaatas üle oma kodakondsed, kes tema peres olid sündinud, arvult kolmsada kaheksateist, ja ajas vaenlasi taga kuni Daanini.
GEN.14.15	Ta jaotas öösel oma sulased nende vastu, lõi neid ja jälitas neid kuni Hoobani, mis on Damaskusest vasakut kätt.
GEN.14.16	Ja ta tõi tagasi kogu varanduse; ka Loti, oma vennapoja, ja tema varanduse ta tõi tagasi, samuti naised ja rahva.
GEN.14.17	Ja kui ta Kedorlaomerit ja ühes temaga olevaid kuningaid löömast tagasi tuli, läks Soodoma kuningas temale vastu Saave orgu, see on Kuningaorgu.
GEN.14.18	Ja Melkisedek, Saalemi kuningas, tõi leiba ja viina, sest tema oli kõige kõrgema Jumala preester,
GEN.14.19	ja õnnistas teda ning ütles: „Olgu õnnistatud Aabram, kõige kõrgema Jumala, taeva ja maa looja poolt!
GEN.14.20	Olgu kiidetud kõige kõrgem Jumal, kes sinu vaenlased su kätte andis!” Ja Aabram andis temale kümnist kõigest.
GEN.14.21	Ja Soodoma kuningas ütles Aabramile: „Anna hingelised mulle, aga varandus võta enesele.”
GEN.14.22	Kuid Aabram ütles Soodoma kuningale: „Ma tõstan oma käe üles Issanda, kõige kõrgema Jumala poole, Kes on taeva ja maa Looja,
GEN.14.23	et ma ei võta lõngaotsa ega kingapaelagi kõigest sellest, mis sinu oma on, et sa ei saaks öelda: mina olen Aabrami rikkaks teinud!
GEN.14.24	Mul pole midagi vaja — ainult, mis poisid sõid, ja mehed, kes ühes minuga käisid — Aaner, Eskol ja Mamre — need võtku oma osa!”
GEN.15.1	Pärast neid lugusid tuli Aabramile nägemuses Issanda sõna, Kes ütles: „Ära karda, Aabram! Mina olen sulle kilbiks. Sinu tasu on väga suur!”
GEN.15.2	Aga Aabram ütles: „Issand Issand! Mida Sa mulle saad anda? Mina ju lähen ära lastetuna ja mu koja valitsejaks on Elieser Damaskusest!”
GEN.15.3	Ja Aabram ütles: „Vaata, mulle sa ei ole ihuvilja andnud, aga näe, minu kojas sündinu saab mu pärijaks!”
GEN.15.4	Ja vaata, temale tuli Issanda sõna, Kes ütles: „Tema ei ole sinu pärija, vaid see, kes väljub su oma ihust, on su pärija.”
GEN.15.5	Ja Ta viis teda õue ning ütles: „Vaata nüüd taeva poole ja loe tähti, kui sa suudad neid lugeda!” Ja Ta ütles temale: „Nõnda saab olema sinu sugu!”
GEN.15.6	Ja ta uskus Issandat ning see arvati temale õiguseks.
GEN.15.7	Ja Ta ütles temale: „Mina olen Issand, Kes sind tõi Kaldea Uurist, et anda sulle päranduseks see maa!”
GEN.15.8	Aga ta küsis: „Issand Issand, millest ma ära tunnen, et ma selle pärin?”
GEN.15.9	Siis Ta vastas temale: „Too mulle kolmeaastane õhvake, kolmeaastane kits, kolmeaastane jäär ja turteltuvi ühes lennuvõimelise pojaga.”
GEN.15.10	Ja ta tõi Temale kõik need, lõikas need keskelt lõhki ja pani vastavad pooled vastakuti; aga lindusid ta ei lõiganud lõhki.
GEN.15.11	Kui röövlinnud laskusid korjuste peale, siis peletas Aabram need minema.
GEN.15.12	Aga kui päike loojus, vajus Aabram sügavasse unne, ja vaata, hirm ning suur pimedus haarasid teda!
GEN.15.13	Ja Issand ütles Aabramile: „Sa pead teadma, et su järglased on võõrastena maal, mis ei ole nende oma; nad tehakse orjadeks ja neid vaevatakse nelisada aastat.
GEN.15.14	Aga ka rahvast, keda nad orjavad, Ma karistan, ja selle järel nad tulevad ära suure varandusega.
GEN.15.15	Sina ise aga lähed rahuga oma vanemate juurde, sind maetakse heas vanuses.
GEN.15.16	Alles neljas põlv tuleb siia tagasi, sest emorlaste süü ei ole tänini veel küllaldane!”
GEN.15.17	Ja kui päike oli loojunud ja kui oli pime, siis nähti suitsevat küpsetusahju ja tuleleeki, mis nende lõigatud tükkide vahelt läbi käis!
GEN.15.18	Selsamal päeval Issand tegi Aabramiga lepingu ja ütles: „Sinu soole Ma annan selle maa Egiptuseojast suure jõeni, Frati jõeni,
GEN.15.19	keenlased, kenislased, kadmonlased,
GEN.15.20	hetiidid, perislased, refalased, 21 emorlased, kaananlased, girgaaslased ja jebuuslased!”
GEN.16.1	Ja Saarai, Aabrami naine, ei toonud temale last ilmale; aga tal oli ümmardajaks egiptlanna, nimega Haagar.
GEN.16.2	Ja Saarai ütles Aabramile: „Vaata, Issand on mind keelanud last saamast. Heida nüüd mu ümmardaja juurde, vahest saan järeltulija temalt!” Ja Aabram kuulis Saarai sõna.
GEN.16.3	Ja Saarai, Aabrami naine, võttis egiptlanna Haagari, oma ümmardaja, pärast seda kui Aabram oli kümme aastat elanud Kaananimaal, ja andis ta oma mehele Aabramile naiseks.
