GEN.1.1	En el principio, Dios creó los cielos y la tierra.
GEN.11.1	Hubo un tiempo en que todos los habitantes del mundo hablaban el mismo idioma y usaban las mismas palabras. 
GEN.11.2	Al emigrar hacia el oriente, encontraron una llanura en la tierra de Babilonia
GEN.11.3	Comenzaron a decirse unos a otros: «Vamos a hacer ladrillos y endurecerlos con fuego». (En esa región, se usaban ladrillos en lugar de piedra y la brea se usaba como mezcla). 
GEN.11.4	Entonces dijeron: «Vamos, construyamos una gran ciudad para nosotros con una torre que llegue hasta el cielo. Eso nos hará famosos y evitará que nos dispersemos por todo el mundo».
GEN.11.5	Pero el 
GEN.11.6	y dijo: «¡Miren! La gente está unida, y todos hablan el mismo idioma. Después de esto, ¡nada de lo que se propongan hacer les será imposible! 
GEN.11.7	Vamos a bajar a confundirlos con diferentes idiomas; así no podrán entenderse unos a otros».
GEN.11.8	De esa manera, el 
GEN.11.9	Por eso la ciudad se llamó Babel,
GEN.11.10	Este es el relato de la familia de Sem.
GEN.11.10	Dos años después del gran diluvio, cuando Sem tenía cien años de edad, tuvo a su hijo
GEN.11.11	Después del nacimiento de
GEN.11.12	Cuando Arfaxad tenía treinta y cinco años de edad, tuvo a su hijo Sala. 
GEN.11.13	Después del nacimiento de Sala, Arfaxad vivió cuatrocientos tres años más y tuvo otros hijos e hijas.
GEN.11.14	Cuando Sala tenía treinta años de edad, tuvo a su hijo Heber. 
GEN.11.15	Después del nacimiento de Heber, Sala vivió cuatrocientos tres años más y tuvo otros hijos e hijas.
GEN.11.16	Cuando Heber tenía treinta y cuatro años de edad, tuvo a su hijo Peleg. 
GEN.11.17	Después del nacimiento de Peleg, Heber vivió cuatrocientos treinta años más y tuvo otros hijos e hijas.
GEN.11.18	Cuando Peleg tenía treinta años de edad, tuvo a su hijo Reu. 
GEN.11.19	Después del nacimiento de Reu, Peleg vivió doscientos nueve años más y tuvo otros hijos e hijas.
GEN.11.20	Cuando Reu tenía treinta y dos años de edad, tuvo a su hijo Serug. 
GEN.11.21	Después del nacimiento de Serug, Reu vivió doscientos siete años más y tuvo otros hijos e hijas.
GEN.11.22	Cuando Serug tenía treinta años de edad, tuvo a su hijo Nacor. 
GEN.11.23	Después del nacimiento de Nacor, Serug vivió doscientos años más y tuvo otros hijos e hijas.
GEN.11.24	Cuando Nacor tenía veintinueve años de edad, tuvo a su hijo Taré. 
GEN.11.25	Después del nacimiento de Taré, Nacor vivió ciento diecinueve años más y tuvo otros hijos e hijas.
GEN.11.26	Después de que Taré cumpliera setenta años de edad, tuvo a Abram, a Nacor y a Harán.
GEN.11.27	Este es el relato de la familia de Taré. Taré fue el padre de Abram, Nacor y Harán; y Harán fue el padre de Lot. 
GEN.11.28	Pero Harán murió en Ur de los caldeos —su tierra natal— mientras su padre Taré aún vivía. 
GEN.11.29	Durante ese tiempo, tanto Abram como Nacor se casaron. El nombre de la esposa de Abram era Sarai, y el nombre de la esposa de Nacor era Milca. (Milca y su hermana Isca eran hijas de Harán, el hermano de Nacor). 
GEN.11.30	Pero Sarai no podía quedar embarazada y no tenía hijos.
GEN.11.31	Cierto día, Taré tomó a su hijo Abram, a su nuera Sarai (la esposa de su hijo Abram) y a su nieto Lot (el hijo de su hijo Harán) y salieron de Ur de los caldeos. Taré se dirigía a la tierra de Canaán, pero se detuvieron en Harán y se establecieron allí. 
GEN.11.32	Taré vivió doscientos cinco años
GEN.12.1	El 
GEN.12.2	Haré de ti una gran nación; te bendeciré y te haré famoso, y serás una bendición para otros. 
GEN.12.3	Bendeciré a quienes te bendigan y maldeciré a quienes te traten con desprecio. Todas las familias de la tierra serán bendecidas por medio de ti».
GEN.12.4	Entonces Abram partió como el 
GEN.12.5	Tomó a su esposa Sarai, a su sobrino Lot, y todas sus posesiones —sus animales y todas las personas que había incorporado a los de su casa en Harán— y se dirigió a la tierra de Canaán. Cuando llegaron a Canaán, 
GEN.12.6	Abram atravesó la tierra hasta llegar a Siquem. Allí estableció el campamento, junto al roble de More. En aquel tiempo, los cananeos habitaban esa región.
GEN.12.7	Entonces el 
GEN.12.8	Después Abram viajó hacia el sur y estableció el campamento en la zona montañosa, situada entre Betel al occidente, y Hai al oriente. Allí edificó otro altar y lo dedicó al 
GEN.12.9	Entonces Abram continuó viajando por tramos en dirección sur, hacia el Neguev.
GEN.12.10	En aquel tiempo, un hambre terrible azotó la tierra de Canaán y obligó a Abram a descender a Egipto, donde vivió como extranjero. 
GEN.12.11	Al acercarse a la frontera de Egipto, Abram le dijo a su esposa Sarai: «Mira, tú eres una mujer hermosa. 
GEN.12.12	Cuando los egipcios te vean, dirán: “Ella es su esposa. ¡Matémoslo y entonces podremos tomarla!”. 
GEN.12.13	Así que, por favor, diles que eres mi hermana. Entonces me perdonarán la vida y me tratarán bien debido al interés que tienen en ti».
GEN.12.14	Efectivamente, cuando Abram llegó a Egipto, todos notaron la belleza de Sarai. 
GEN.12.15	Cuando los funcionarios del palacio la vieron, hablaron maravillas de ella al faraón, su rey, y llevaron a Sarai al palacio. 
GEN.12.16	Entonces el faraón le dio a Abram muchos regalos a causa de ella: ovejas, cabras, ganado, asnos y asnas, siervos y siervas, y camellos.
GEN.12.17	Pero el 
GEN.12.18	Así que el faraón mandó llamar a Abram y lo reprendió severamente: «¿Qué me has hecho? —preguntó—. ¿Por qué no me dijiste que era tu esposa? 
GEN.12.19	¿Por qué dijiste: “Es mi hermana” y con esto me permitiste tomarla como esposa? Ahora bien, aquí tienes a tu esposa. ¡Tómala y vete de aquí!». 
GEN.12.20	Entonces el faraón ordenó a algunos de sus hombres que los escoltaran, y expulsó a Abram de su territorio junto con su esposa y todas sus pertenencias.
GEN.13.1	Entonces Abram salió de Egipto junto con su esposa, con Lot y con todo lo que poseían, y viajó hacia el norte, al Neguev. 
GEN.13.2	(Abram era muy rico en ganado, plata y oro). 
GEN.13.3	Desde el Neguev, continuaron viajando por tramos hacia Betel y armaron sus carpas entre Betel y Hai, donde habían acampado antes. 
GEN.13.4	Era el mismo lugar donde Abram había construido el altar, y allí volvió a adorar al 
GEN.13.5	Lot, quien viajaba con Abram, también se había enriquecido mucho con rebaños de ovejas y de cabras, manadas de ganado y muchas carpas. 
GEN.13.6	Pero la tierra no era suficiente para sustentar a Abram y a Lot si ambos vivían tan cerca el uno del otro con todos sus rebaños y manadas. 
GEN.13.7	Entonces surgieron disputas entre los que cuidaban los animales de Abram y los que cuidaban los de Lot. (En aquel tiempo, también vivían en la tierra los cananeos y los ferezeos).
GEN.13.8	Finalmente, Abram le dijo a Lot: «No permitamos que este conflicto se interponga entre nosotros o entre los que cuidan nuestros animales. Después de todo, ¡somos parientes cercanos! 
GEN.13.9	Toda la región está a tu disposición. Escoge la parte de la tierra que prefieras, y nos separaremos. Si tú quieres la tierra a la izquierda, entonces yo tomaré la tierra de la derecha. Si tú prefieres la tierra de la derecha, yo me iré a la izquierda».
GEN.13.10	Lot miró con detenimiento las fértiles llanuras del valle del Jordán en dirección a Zoar. Toda esa región tenía abundancia de agua, como el jardín del 
GEN.13.11	Lot escogió para sí todo el valle del Jordán, que estaba situado al oriente. Se separó de su tío Abram y se mudó allí con sus rebaños y sus siervos. 
GEN.13.12	Entonces Abram se estableció en la tierra de Canaán, y Lot movió sus carpas a un lugar cerca de Sodoma y se estableció entre las ciudades de la llanura. 
GEN.13.13	Pero los habitantes de esa región eran sumamente perversos y no dejaban de pecar contra el 
GEN.13.14	Después de que Lot se fue, el 
GEN.13.15	Yo te doy toda esta tierra, tan lejos como alcances a ver, a ti y a tu descendencia
GEN.13.16	¡Y te daré tantos descendientes que, como el polvo de la tierra, será imposible contarlos! 
GEN.13.17	Recorre toda la tierra en cada dirección, pues yo te la entrego».
GEN.13.18	Entonces Abram mudó su campamento a Hebrón y se estableció cerca del robledo que pertenecía a Mamre, y allí construyó otro altar al 
GEN.14.1	En esos días, estalló la guerra en la región. Amrafel, rey de Babilonia;
GEN.14.2	lucharon contra Bera, rey de Sodoma; Birsa, rey de Gomorra; Sinab, rey de Adma; Semeber, rey de Zeboim, y el rey de Bela (también llamada Zoar).
GEN.14.3	Este segundo grupo de reyes unieron sus ejércitos en el valle de Sidim (que es el valle del mar Muerto
GEN.14.4	Durante doce años, habían estado sometidos al rey Quedorlaomer pero, en el año trece, se rebelaron contra él.
GEN.14.5	Un año después, Quedorlaomer y sus aliados llegaron y derrotaron a los refaítas en Astarot-karnaim, a los zuzitas en Ham, a los emitas en Save-quiriataim 
GEN.14.6	y a los horeos en el monte Seir, hasta El-parán, al borde del desierto. 
GEN.14.7	Luego dieron la vuelta y llegaron a En-mispat (que ahora se llama Cades) y conquistaron todo el territorio de los amalecitas y también a los amorreos que vivían en Hazezon-tamar.
GEN.14.8	Entonces los reyes rebeldes de Sodoma, Gomorra, Adma, Zeboim y Bela (también llamada Zoar) se prepararon para la batalla en el valle del mar Muerto.
GEN.14.9	Lucharon contra Quedorlaomer, rey de Elam; Tidal, rey de Goim; Amrafel, rey de Babilonia; y Arioc, rey de Elasar. Eran cuatro reyes contra cinco. 
GEN.14.10	Resulta que el valle del mar Muerto estaba lleno de pozos de brea. Así que cuando el ejército de los reyes de Sodoma y Gomorra huía, algunos de ellos cayeron en los pozos de brea, mientras que el resto escapó a las montañas. 
GEN.14.11	Entonces los invasores victoriosos saquearon Sodoma y Gomorra y emprendieron el regreso a su tierra con el botín de guerra y los alimentos. 
GEN.14.12	También capturaron a Lot —el sobrino de Abram que vivía en Sodoma— y se llevaron todas sus pertenencias.
GEN.14.13	Uno de los hombres de Lot escapó y le contó todo a Abram, el hebreo, que vivía cerca del robledo que pertenecía a Mamre, el amorreo. Mamre y sus parientes, Escol y Aner, eran aliados de Abram.
GEN.14.14	Cuando Abram se enteró de que su sobrino Lot había sido capturado, movilizó a los trescientos dieciocho hombres adiestrados que habían nacido en su casa. Entonces persiguió al ejército de Quedorlaomer hasta que lo alcanzó en Dan. 
GEN.14.15	Allí dividió a sus hombres en grupos y atacó durante la noche. El ejército de Quedorlaomer huyó, pero Abram lo persiguió hasta Hoba, al norte de Damasco. 
GEN.14.16	Abram recuperó todos los bienes que habían sido tomados, y trajo de regreso a su sobrino Lot junto con sus pertenencias, las mujeres y los demás cautivos.
GEN.14.17	Después de que Abram regresó de su victoria sobre el rey Quedorlaomer y todos sus aliados, el rey de Sodoma salió a encontrarse con él en el valle de Save (que es el valle del Rey).
GEN.14.18	Y Melquisedec, rey de Salem y sacerdote del Dios Altísimo,
GEN.14.19	Melquisedec bendijo a Abram con la siguiente bendición:
GEN.14.19	«Bendito sea Abram por Dios Altísimo,
GEN.14.19	Creador de los cielos y la tierra.
GEN.14.20	Y bendito sea Dios Altísimo,
GEN.14.20	que derrotó a tus enemigos por ti».
GEN.14.20	Luego Abram dio a Melquisedec una décima parte de todos los bienes que había recuperado.
GEN.14.21	El rey de Sodoma le dijo a Abram:
GEN.14.21	—Devuélveme a mi pueblo, el cual fue capturado; pero puedes quedarte con todos los bienes que recuperaste.
GEN.14.22	Abram le respondió al rey de Sodoma:
GEN.14.22	—Juro solemnemente ante el 
GEN.14.23	que no tomaré nada de lo que a ti te pertenece, ni un simple hilo ni la correa de una sandalia. De otro modo, podrías decir: “Yo soy quien enriqueció a Abram”. 
GEN.14.24	Aceptaré solamente lo que mis jóvenes guerreros ya han comido, y pido que tú entregues una porción justa de los bienes a mis aliados: Aner, Escol y Mamre.
GEN.15.1	Tiempo después, el 
GEN.15.1	—No temas, Abram, porque yo te protegeré, y tu recompensa será grande.
GEN.15.2	Abram le respondió:
GEN.15.2	—Oh 
GEN.15.3	Tú no me has dado descendientes propios, así que uno de mis siervos será mi heredero.
GEN.15.4	Después el 
GEN.15.4	—No, tu siervo no será tu heredero, porque tendrás un hijo propio, quien será tu heredero.
GEN.15.5	Entonces el 
GEN.15.5	—Mira al cielo y, si puedes, cuenta las estrellas. ¡Esa es la cantidad de descendientes que tendrás!
GEN.15.6	Y Abram creyó al 
GEN.15.7	Entonces el 
GEN.15.7	—Yo soy el 
GEN.15.8	Pero Abram respondió:
GEN.15.8	—Oh 
GEN.15.9	Y el 
GEN.15.9	—Tráeme una novilla de tres años, una cabra de tres años, un carnero de tres años, una tórtola y un pichón de paloma.
GEN.15.10	Entonces Abram le presentó todos esos animales y los mató. Luego partió a cada animal por la mitad y puso las mitades una al lado de la otra; sin embargo, no partió a las aves por la mitad. 
GEN.15.11	Algunos buitres se lanzaron en picada para comerse a los animales muertos, pero Abram los espantó.
GEN.15.12	Al ponerse el sol, Abram se durmió profundamente, y descendió sobre él una oscuridad aterradora. 
GEN.15.13	Después el 
GEN.15.14	pero yo castigaré a la nación que los esclavice, y al final saldrán con muchas riquezas. 
GEN.15.15	En cuanto a ti, morirás en paz y serás enterrado en buena vejez. 
GEN.15.16	Cuando hayan pasado cuatro generaciones, tus descendientes regresarán aquí, a esta tierra, porque los pecados de los amorreos no ameritan aún su destrucción».
GEN.15.17	Después de que el sol se puso y cayó la oscuridad, Abram vio un horno humeante y una antorcha ardiente que pasaban entre las mitades de los animales muertos. 
GEN.15.18	Entonces el 
GEN.15.19	la tierra que ahora ocupan los ceneos, los cenezeos, los cadmoneos, 
GEN.15.20	los hititas, los ferezeos, los refaítas, 
GEN.15.21	los amorreos, los cananeos, los gergeseos y los jebuseos».
GEN.16.1	Ahora bien, Sarai, la esposa de Abram, no había podido darle hijos; pero tenía una sierva egipcia llamada Agar. 
GEN.16.2	Entonces Sarai le dijo a Abram: «El 
GEN.16.3	Entonces Sarai, la esposa de Abram, tomó a Agar, la sierva egipcia, y la entregó a Abram como mujer. (Esto ocurrió diez años después de que Abram se estableció en la tierra de Canaán).
GEN.16.4	Así que Abram tuvo relaciones sexuales con Agar, y ella quedó embarazada; pero cuando Agar supo que estaba embarazada, comenzó a tratar con desprecio a su señora, Sarai. 
GEN.16.5	Entonces Sarai le dijo a Abram:
GEN.16.5	—¡Todo esto es culpa tuya! Puse a mi sierva en tus brazos pero, ahora que está embarazada, me trata con desprecio. El 
GEN.16.6	Abram respondió:
GEN.16.6	—Mira, ella es tu sierva, así que haz con ella como mejor te parezca.
GEN.16.6	Entonces Sarai comenzó a tratar a Agar con tanta dureza que al final ella huyó.
GEN.16.7	El ángel del 
GEN.16.8	El ángel le dijo:
GEN.16.8	—Agar, sierva de Sarai, ¿de dónde vienes y hacia dónde vas?
GEN.16.8	—Estoy huyendo de mi señora, Sarai —contestó ella.
GEN.16.9	El ángel del 
GEN.16.9	—Regresa a tu señora y sométete a su autoridad.
GEN.16.10	Después añadió:
GEN.16.10	—Yo te daré más descendientes de los que puedas contar.
GEN.16.11	El ángel también dijo:
GEN.16.11	—Ahora estás embarazada y darás a luz un hijo. Lo llamarás Ismael (que significa “Dios oye”), porque el 
GEN.16.12	Este hijo tuyo será un hombre indomable, ¡tan indomable como un burro salvaje! Levantará su puño contra todos, y todos estarán en su contra. Así es, vivirá en franca oposición con todos sus familiares.
