GEN.1.1	Ala y'a ka danni daminɛ tuma min na, a kɔnna ka sankolo ni dugukolo le dan.
GEN.7.24	Jii caaman nin tora dugukolo kan tile kɛmɛ ni bi duuru kɔnɔ.
GEN.8.1	Ala hakili tora Nuhun la, ani kongosogow ni begɛn minw bɛɛ tun be n'a ye kurun kɔnɔ. A y'a kɛ fɔɲɔ dɔ wilila dugukolo kan, jii jigira. 
GEN.8.2	Dugukolo kɔnɔ jii bɔyɔrɔw ni sanfɛ jii bɔyɔrɔ datugura, sanji lɔra.
GEN.8.3	Jii tora ka jigi dɔɔni dɔɔni. Yanni tile kɛmɛ ni bi duuru, jii nɔgɔyara dugukolo kan. 
GEN.8.4	O saan kalo wolonwulanan tile tan ni wolonwulanan loon, kurun sigira Arara kulu kan. 
GEN.8.5	Jii tora ka jigi. Yanni kalo tannan, kuluw kuunw yera.
GEN.8.6	Tile bi naani tɛmɛnin kɔ, Nuhun tun ye fenɛtiri min bɔ kurun na, a y'o dayɛlɛ 
GEN.8.7	ka kaankaan kelen bila ka taga. O tora ka taga ka na fɔɔ jii ka ban dugukolo kan. 
GEN.8.8	O kɔ, a ye tuganin bila ka taga, janko k'a filɛ ni jii jigira ka bɔ dugukolo kan. 
GEN.8.9	Nga tuganin ma sigiyɔrɔ sɔrɔ. A segira Nuhun fɛ kurun kɔnɔ, bari jii tun be dugukolo yɔrɔ bɛɛ la. Nuhun y'a bolo bɔ k'a minɛ k'a don kurun kɔnɔ. 
GEN.8.10	A ye kɔnɔni kɛ tile wolonwula tugu, ka sɔrɔ ka tuganin nin bila ka bɔ kurun kɔnɔ tugu. 
GEN.8.11	Tubanin segira ka na wulafɛ ni olivuyiri furaburukɛnɛ ye a daa la! Nuhun y'a lɔn ko jii tun nɔgɔyara dugukolo yɔrɔ dɔ la. 
GEN.8.12	A ye kɔnɔni kɛ tile wolonwula tugu, o kɔ, a ye tuganin bila ka bɔ, a ma segi ka n'a fɛ tugu.
GEN.8.13	Nuhun sii saan kɛmɛ wɔɔrɔ ni kelennan, o kalo fɔlɔ tile fɔlɔ loon, jii tun banna dugukolo kan.
GEN.8.13	Nuhun ye kurun kuun yɛlɛ ka filɛli kɛ, a y'a ye ko dugukolo jara.
GEN.8.14	Kalo filanan tile mugan ni wolonwulanan loon, dugukolo yɔrɔ bɛɛ tun jara pepewu.
GEN.8.15	Ala y'a fɔ Nuhun ye ko: 
GEN.8.16	«Aw ye bɔ kurun kɔnɔ, e n'i muso, n'i dencɛw, n'i biranmusow. 
GEN.8.17	Fɛɛn ɲanaman sifa minw bɛɛ be n'i ye, kɔnɔw, ni begɛnw, ani fɛɛn minw be fofo dugukolo kan, i ka bɔ n'olu bɛɛ ye, janko u ka se ka deenw wolo dugukolo kan ka caya a kan.» 
GEN.8.18	Nuhun n'a dencɛw n'a muso, n'a biranmusow bɔra kɛnɛma. 
GEN.8.19	Seen naani fɛɛnw sifa bɛɛ bɔra kurun kɔnɔ, ni fɛɛn o fɛɛn be fofo, ni kɔnɔw sifa bɛɛ: ani fɛɛn o fɛɛn be yaala dugukolo kan, u bɛɛ bɔra kurun kɔnɔ.
GEN.8.20	Nuhun ye sarakabɔyɔrɔ lɔ Masaba ye ka dɔ bɔ seen naani fɛɛn bɛɛ la minw ka ɲi, ni kɔnɔ sifa bɛɛ la minw ka ɲi, k'u kɛ saraka ye k'u jɛni. 
GEN.8.21	Masaba y'o kasa diman mɛn, a y'a fɔ a yɛrɛ kɔnɔ ko: «Adamaden ka miiriyaw si ma ɲi kabini a daminɛ na. O bɛɛ n'a ta, ne tena dugukolo danga mɔgɔw kosɔn tugu abada. Ne tena nimanfɛnw bɛɛ faga tugu fewu i n'a fɔ ne y'a kɛ cogo min na.
GEN.8.22	Ka dugukolo to yen,
GEN.8.22	danni bena kɛ, suman be tigɛ,
GEN.8.22	nɛnɛ ni funteni be bɔ,
GEN.8.22	samiɲa ni tilemana be kɛ,
GEN.8.22	suu ni tile bena kɛ yen.»
GEN.9.2	Dugukolo kan seen naani fɛɛnw, ni kɔnɔw, ani fɛɛn o fɛɛn be fofo dugukolo kan, ani jigɛw, olu bɛɛ bena siran aw ɲa kosɔbɛ. U bɛɛ b'aw bolo. 
GEN.9.3	Nimanfɛn o fɛɛn be dugukolo kan, olu bena kɛ aw ka dumufɛn ye. Ne b'u bɛɛ di aw ma, i n'a fɔ ne tun ye biin di aw ma cogo min na. 
GEN.9.4	 Nga aw kana sogo dumu n'a joli b'a la, min sababu la a be nii na. 
GEN.9.5	Siga t'a la, ne bena ɲiningali kɛ aw joli koo la, min ye aw nii ye. Ne bena sogow bɛɛ fana ɲininga o koo la, ka mɔgɔ fana ɲininga a mɔgɔɲɔgɔn nii koo la.
GEN.9.8	Ala y'a fɔ Nuhun n'a dencɛw ye tugu ko: 
GEN.9.9	«Ne be ɛn n'aw ye ani aw kɔmɔgɔw. 
GEN.9.10	Nimanfɛn minw bɛɛ tun be n'aw ye: kɔnɔw, begɛnw, ani kongosogow, fɛɛn minw bɛɛ bɔra kurun kɔnɔ, u bɛɛ, nimanfɛn minw bɛɛ be dugukolo kan, ne be bɛn ni olu bɛɛ ye fana. 
GEN.9.11	Ne bena bɛn n'aw ye k'a fɔ ko sanjiba tena nimanfɛnw bɛɛ halaki tugu fewu. Jii tena na ka dugukolo halaki tugu. 
GEN.9.12	Ne ye bɛɛn min kɛ n'aw ye, ni waati nataw mɔgɔw ye, ani nimanfɛnw bɛɛ ye, minw be n'aw ye, o taamasiɲɛ filɛ nin ye. 
GEN.9.13	Ne be n ka muru bila sankaba kan, o le bena kɛ taamasiɲɛ ye k'a yira ko bɛɛn be ne ni dugukolo cɛ. 
GEN.9.14	Ayiwa, ni ne y'a kɛ saan finna dugukolo sanfɛ, ni sanmuru bɔra sankaba la, 
GEN.9.15	ne hakili bena jigi an ka bɛɛn na, min be ne ni aw cɛ, ani nimanfɛn sifa bɛɛ cɛ. O saan tena kɛ jiba ye tugu ka na dugukolo kan ka nimanfɛnw bɛɛ halaki tugu abada. 
GEN.9.16	Sanmuru mana bɔ sankaba la, ne bena o ye ka n hakili jigi an ka bɛɛn na, min te cɛn fewu, min be ne, Ala ni dugukolo kan nimanfɛnw bɛɛ cɛ.» 
GEN.9.17	Ala y'a fɔ Nuhun ye ko: «Ne ye bɛɛn min kɛ ne ni dugukolo kan nimanfɛnw bɛɛ cɛ, o taamasiɲɛ lo.»
GEN.9.18	Nuhun dencɛ minw bɔra kurun kɔnɔ, olu ye Sɛmu ni Kamu ani Zafɛti ye. Kamu tun ye Kanaan faa ye. 
GEN.9.19	Nuhun dencɛ saba nunu sababu la, mɔgɔw kɔsegira ka caya dugukolo kan.
GEN.9.20	Nuhun le kɔnna ka sɛnɛ kɛ. A ye 
GEN.9.21	Loon dɔ, a ye duvɛn min ka fa, ka taga la a ka fanibugu kɔnɔ a farilakolon. 
GEN.9.22	Kanaan faa Kamu y'a facɛ ye, a fari lakolon lo. A bɔra ka ta'a fɔ a balima fila ye kɛnɛma. 
GEN.9.23	Sɛmu ni Zafɛti ye fani dɔ ta k'a bila u gaman kan ka taga n'u kɔɔ ye ka ta'a biri u facɛ fari lakolon kan. U tun tagara n'u kɔɔ ye, u m'a fari lakolon ye. 
GEN.9.24	Duvɛn bɔra Nuhun ɲaa na tuma min na, a deen laban ye min kɛ a la, a y'o mɛn. 
GEN.9.25	A y'a fɔ ko: «Kanaan dangana! A bena kɛ a fadenw ka jɔɔnw ka jɔɔn ye!» 
GEN.9.26	A y'a fɔ tugu ko:
GEN.9.26	«Masaba, Sɛmu ka Ala ka tanu,
GEN.9.26	Kanaan ka kɛ Sɛmu ka jɔɔn ye.
GEN.9.27	Ala ka Zafɛti kɔmɔgɔw jiidi.
GEN.9.27	Sɛmu ka fanibuguw ka kɛ a ka sigiyɔrɔ ye,
GEN.9.27	Kanaan ka kɛ Zafɛti ka jɔɔn ye.»
GEN.9.28	Jiba tɛmɛnin kɔ, Nuhun ye saan kɛmɛ saba ni bi duuru kɛ tugu. 
GEN.9.29	Nuhun sii bɛɛ lajɛnnin tun ye saan kɛmɛ kɔnɔntɔn ni bi duuru ye, o kɔ, a sara.
GEN.10.1	Nuhun dencɛ Sɛmu ni Kamu ani Zafɛti kɔmɔgɔw filɛ nin ye, u ye dencɛ minw sɔrɔ jiba tɛmɛnin kɔ.
GEN.10.2	Zafɛti dencɛw filɛ nin ye: Gomɛri ni Magɔgi ani Madayi ni Yaban, ani Tubali ni Mɛsɛki ani Tirasi. 
GEN.10.3	Gomɛri dencɛw fana filɛ nunu ye: Asikenazi ni Irifati ani Togarima. 
GEN.10.4	Yaban dencɛw filɛ fana: Elisa ni Tarisisi ani Kitimu ni Orodanimu. 
GEN.10.5	Olu kɔmɔgɔw jɛnsɛnna ka kɛ siyaw ye minw sigira dugukolow kan jii cɛma ka kɛɲɛ n'u kelen kelen bɛɛ ka kaan fɔtaw ye, n'u ka fadenyabolow ye jamanaw kɔnɔ.
GEN.10.6	Kamu dencɛw filɛ nin ye: Kusi ni Misirayimu ani Puti ni Kanaan. 
GEN.10.7	Kusi fana ka dencɛw filɛ nin ye: Seba ni Awila, ani Sabata ni Arayema, ani Sabiteka. Arayema dencɛw filɛ nin ye: Saba ni Dedan.
GEN.10.8	Kusi le tun ye Nɛmurɔdi wolo, ale lo kɔnna ka kɛ cɛfari ye dugukolo kan. 
GEN.10.9	Donsocɛ fariman tun lo Masaba ɲakɔrɔ. O le y'a to u tun be to k'a fɔ ko: «Karimasina ye donsocɛ fariman ye Masaba ɲakɔrɔ i n'a fɔ Nɛmurɔdi.» 
GEN.10.10	A ka mara kɔnɔ, masaduguw tun ye Babɛli ye, ni Erɛki ni Akadi ani Kaline, Sineyari jamana na. 
GEN.10.11	A bɔra o jamana na ka taga Asiri jamana na ka dugu dɔw sigi o yɔrɔ la: o ye Ninivu, ni Erewobɔtiri, ni Kala, 
GEN.10.12	min ye duguba ye, ani Ɛrɛsɛn, min be Ninivu ni Kala cɛ.
GEN.10.13	Misirayimu tun ye siya minw bɛma ye, olu ye: ludiw, ni ɛnamuw, ani leyabiw, ni nafituwaw, 
GEN.10.14	ani patɔrɔsiw, ni kasiluwaw, ani kafitɔriw. Filisiw le ye kasiluwaw deenw ye.
GEN.10.15	Kanaan tun ye Sidɔn facɛ ye, min ye a dencɛ fɔlɔ ye. A ye Ɛti fana wolo, 
GEN.10.16	ani zebuziw, ni amoriw, ani girigasiw, 
GEN.10.17	ni iviw, ani arakiw, ni siniw, 
GEN.10.18	ani arabadiw, ni semariw, ani amatiw. Kanaan fadenyabolow nana jɛnsɛn. 
GEN.10.19	U ka jamana daan tun be daminɛ Sidɔn yɔrɔ la ka taga Gerari faan fɛ fɔɔ ka ta'a bila Gaza, ani ka taga Sodɔmu ni Gɔmɔri ani Adima ni Seboyimu faan fɛ fɔɔ ka ta'a bila Lɛsa. 
GEN.10.20	Olu le ye Kamu kɔmɔgɔw ye ka kɛɲɛ n'u ka fadenyabolow n'u ka kaan fɔtaw ye u ka maraw n'u ka jamanaw kɔnɔ.
GEN.10.21	Zafɛti kɔrɔcɛ Sɛmu fana ye dencɛw sɔrɔ. Sɛmu tun ye Ebɛri n'a kɔmɔgɔw bɛɛ bɛma ye.
GEN.10.22	Sɛmu dencɛw filɛ nin ye: Elamu ni Asiri ani Aripakisadi ni Ludi ani Aramu. 
GEN.10.23	Aramu fana dencɛw ye: Usi ni Uli ani Gɛtɛri ni Masi ye.
GEN.10.24	Aripakisadi ye Sela wolo. Sela fana ye Ebɛri wolo. 
GEN.10.25	Ebɛri ye dencɛ fila sɔrɔ. Kelen tɔgɔ ko Pelɛgi, o kɔrɔ ko tilanni, bari dugukolo tilanna ale ka tile la. A balimacɛ tɔgɔ ko Yokitan. 
GEN.10.26	Yokitan ye Alimodadi wolo, ni Sɛlɛfu ani Asarimawɛti ni Yɛra, 
GEN.10.27	ani Adoramu ni Uzali ani Dikila, 
GEN.10.28	ni Obali ani Abimayɛli ni Saba, 
GEN.10.29	ani Ofiri ni Awila, ani Yobabu. Olu bɛɛ tun ye Yokitan dencɛw ye. 
GEN.10.30	U tun siginin be k'a ta Mesa fɔɔ ka taga se Sefari faan fɛ, kɔrɔn fɛ kuluw yɔrɔ la. 
GEN.10.31	Olu le ye Sɛmu kɔmɔgɔw ye ka kɛɲɛ n'u ka fadenyabolow n'u ka kaan fɔtaw ye, u ka maraw n'u ka jamanaw kɔnɔ.
GEN.10.32	Olu le ye Nuhun dencɛw ye, bɛɛ n'a ka fadenyabolo, n'a ka siya. Siyaw bɔra olu la ka jɛnsɛn dugukolo kan, jiba tɛmɛnin kɔ.
GEN.11.1	Diɲɛ kɔnɔ mɔgɔw bɛɛ tun be kaan kelen ni kuma kelen le fɔ.
GEN.11.2	K'u to munumunu na ka to ka taga kɔrɔn ɲafan fɛ, u ye kɔkɛnɛ dɔ ye Sineyari mara la ka sigi yen. 
GEN.11.3	U y'a fɔ ɲɔgɔn ye ko: «Aw ye na, an ka biriki gosi k'u jɛni.» O kɛra u ka kabakuruw ye, ka bɔgɔmanan kɛ k'a lɔ. 
GEN.11.4	U ko: «Aw ye na, an ka dugu sigi, ka sangasojan lɔ a kɔnɔ, a kuun ka se fɔɔ sankolo la, an ka tɔgɔba sɔrɔ, janko an kana jɛnsɛn dugukolo yɔrɔ bɛɛ la.» 
GEN.11.5	U tun be dugu ni sangasojan min lɔra, Masaba jigira ka na o filɛ. 
GEN.11.6	A ko: «U bɛɛ ye siya kelen ye, u bɛɛ be kaan kelen fɔ. N'u y'a daminɛ ten, foyi tena u bali k'u ka koo latigɛninw kɛ. 
GEN.11.7	Aw ye to an ka jigi k'u ka kaan ɲagami, janko u kana ɲɔgɔn ka kaan mɛn tugu.» 
GEN.11.8	O la, Masaba y'u jɛnsɛn ka bɔ yen. U tagara dugukolo yɔrɔ bɛɛ la k'o dugu sigiko dabila. 
GEN.11.9	O le y'a to u y'o yɔrɔ wele ko Babɛli,
GEN.11.10	Sɛmu kɔmɔgɔw filɛ nin ye.
GEN.11.10	Sɛmu ye saan kɛmɛ sɔrɔ tuma min na, a ye Aripakisadi wolo, saan fila sanjiba tɛmɛnin kɔ. 
GEN.11.11	Aripakisadi wolonin kɔ, Sɛmu ye saan kɛmɛ duuru kɛ, a ye dencɛ ni denmuso wɛrɛw sɔrɔ.
GEN.11.12	Aripakisadi ye saan bi saba ni duuru sɔrɔ tuma min na, a ye Sela wolo. 
GEN.11.13	Sela wolonin kɔ, Aripakisadi ye saan kɛmɛ naani ani saba kɛ, a ye dencɛ ni denmuso wɛrɛw sɔrɔ. 
GEN.11.14	Sela ye saan bi saba sɔrɔ tuma min na, a ye Ebɛri wolo. 
GEN.11.15	Ebɛri wolonin kɔ, Sela ye saan kɛmɛ naani ani saba kɛ, a ye dencɛ ni denmuso wɛrɛw sɔrɔ.
GEN.11.16	Ebɛri ye saan bi saba ni naani sɔrɔ tuma min na, a ye Pelɛgi wolo. 
GEN.11.17	Pelɛgi wolonin kɔ, Ebɛri ye saan kɛmɛ naani ni bi saba kɛ, a ye dencɛ ni denmuso wɛrɛw sɔrɔ.
GEN.11.18	Pelɛgi ye saan bi saba sɔrɔ tuma min na, a ye Erewu wolo. 
GEN.11.19	Erewu wolonin kɔ, Pelɛgi ye saan kɛmɛ fila ni kɔnɔntɔn kɛ, a ye dencɛ ni denmuso wɛrɛw sɔrɔ.
GEN.11.20	Erewu ye saan bi saba ni fila sɔrɔ tuma min na, a ye Serugi wolo. 
GEN.11.21	Serugi wolonin kɔ, Erewu ye saan kɛmɛ fila ni wolonwula kɛ, a ye dencɛ ni denmuso wɛrɛw sɔrɔ.
GEN.11.22	Serugi ye saan bi saba sɔrɔ tuma min na, a ye Nawɔri wolo. 
GEN.11.23	Nawɔri wolonin kɔ, Serugi ye saan kɛmɛ fila kɛ, a ye dencɛ ni denmuso wɛrɛw sɔrɔ.
GEN.11.24	Nawɔri ye saan mugan ni kɔnɔntɔn sɔrɔ tuma min na, a ye Tera wolo. 
GEN.11.25	Tera wolonin kɔ, Nawɔri ye saan kɛmɛ ni tan ni kɔnɔntɔn kɛ, a ye dencɛ ni denmuso wɛrɛw sɔrɔ.
GEN.11.26	Tera ye saan bi wolonwula sɔrɔ, a ye Abramu ni Nawɔri ani Aran wolo.
GEN.11.27	Tera kɔmɔgɔw filɛ nin ye.
GEN.11.27	Tera ka deenw ye Abramu ni Nawɔri ani Aran ye. Aran fana tun ye Lɔti wolo. 
GEN.11.28	Aran kɔnna ka sa a facɛ Tera ɲa k'u to a wolodugu la Uri, Kalide jamana na. 
GEN.11.29	Abramu ni Nawɔri ye musow furu. Abramu muso tɔgɔ tun ko Sarayi, Nawɔri ta tɔgɔ ko Milika, o tun ye Aran denmuso ye. Aran le tun ye Milika ni Isika wolo. 
GEN.11.30	O y'a sɔrɔ Sarayi tun ye muso denwolobali ye, a ma deen sɔrɔ.
GEN.11.31	Tera tagara n'a dencɛ Abramu ye, ani a mamaden Lɔti, min tun ye Aran dencɛ ye, ani a biranmuso Sarayi, min tun ye a dencɛ Abramu muso ye. U bɔra Uri, Kalide jamana na ko u be taga Kanaan jamana na. U sera Aran tuma min na, u sigira o yɔrɔ la.
GEN.11.32	Tera sii bɛɛ tun ye saan kɛmɛ fila ni duuru ye. A sara Aran.
GEN.12.2	Ne bena i kɛ siya dɔ faa ye,
GEN.12.2	min bena caya,
GEN.12.2	ne bena hɛrɛ kɛ i ye,
GEN.12.2	k'i tɔgɔ boɲa.
GEN.12.2	Mɔgɔw bena hɛrɛ sɔrɔ i barika la.
GEN.12.3	ne bena o tigi ta ɲa.
GEN.12.3	Min mana i danga,
GEN.12.3	ne bena o ta cɛn.
GEN.12.3	E le barika la,
GEN.12.3	dugukolo kan siyaw bɛɛ
GEN.12.3	bena hɛrɛ sɔrɔ.»
GEN.12.4	Abramu wilila ka taga i n'a fɔ Masaba y'a fɔ a ye cogo min na. Lɔti fana tagara n'a ye. Abramu sii tun ye saan bi wolonwula ni duuru ye a bɔwaati la Aran. 
GEN.12.5	A tagara n'a muso Sarayi ye, n'a dɔgɔnin dencɛ Lɔti ye, ani a ka nafolo bɛɛ, n'a ka jɔɔnw bɛɛ, u tun ye minw sɔrɔ k'u to Aran. U bɔra ka Kanaan jamana sira minɛ, ka taga se yen.
GEN.12.6	Abramu ye jamana nin cɛtigɛ fɔɔ ka taga se Sisɛmu mara la, More joyiri yɔrɔ la. O waati la, kanaanw tun be jamana nin kɔnɔ. 
GEN.12.7	 Masaba y'a yɛrɛ yira Abramu la k'a fɔ a ye ko: «Ne bena jamana nin d'i kɔmɔgɔ ma.» O la, Abramu ye sarakabɔyɔrɔ lɔ Masaba ye o yɔrɔ la, ale min tun y'a yɛrɛ yira a la. 
GEN.12.8	Abramu bɔra o yɔrɔ la ka taga kuluw yɔrɔ la Betɛli kɔrɔn ɲafan fɛ. A y'a ka fanibugu lɔ ka Betɛli to a tileben ɲafan fɛ, ka Ayi to a kɔrɔn ɲafan fɛ. A ye sarakabɔyɔrɔ lɔ Masaba ye o yɔrɔ la fana, ka Masaba bato yen. 
GEN.12.9	O kɔ, a ye sira minɛ tugu ka taga Kanaan jamana worodugu ɲafan fɛ.
GEN.12.10	Kɔngɔ donna Kanaan jamana na. Abramu wilila ka taga Ezipiti jamana na, ka sigi yen, bari kɔngɔ nin tun juguyara. 
GEN.12.11	A surunyana Ezipiti la tuma min na, a y'a fɔ a muso Sarayi ye ko: «Ne y'a lɔn ko i cɛɛ ka ɲi. 
GEN.12.12	Ni Ezipitikaw ɲaa lara i kan, u ben'a fɔ ko i ye ne muso ye, o la, u bena ne faga k'i to yen. 
GEN.12.13	 Ne b'a ɲini i fɛ i k'a fɔ ko i ye ne dɔgɔmuso ye janko u ka ne minɛ ka ɲa i kosɔn, ne nii be kisi i sababu la.»
GEN.12.14	Abramu sera Ezipiti tuma min na, Ezipitikaw y'a ye ko a muso cɛɛ ka ɲi kosɔbɛ. 
GEN.12.15	Ezipiti masacɛ ka mɔgɔbabaw y'a ye tuma min na, u y'a koo fɔ a ye. U y'a minɛ ka taga n'a ye masacɛ ka soo. 
GEN.12.16	Masacɛ ye Abramu minɛ ka ɲa Sarayi kosɔn, ka misiw ni begɛnmisɛnw d'a ma, ani faliw, ni jɔncɛw ni jɔnmusow, ani ɲɔgɔmɛw. 
GEN.12.17	Nga Masaba ye masacɛ n'a ka somɔgɔw tɔɔrɔ kosɔbɛ Abramu muso Sarayi kosɔn. 
GEN.12.18	O la, masacɛ ye Abramu wele k'a fɔ a ye ko: «I ye mun le kɛ ne la ten? Mun na i m'a fɔ ne ye ko i ka muso lo? 
GEN.12.19	Mun na i y'a fɔ ne ye ko i dɔgɔmuso lo, fɔɔ ne y'a minɛ k'a kɛ n muso ye? Sisan, i muso filɛ nin ye. A minɛ ka taga n'a ye!» 
GEN.12.20	Masacɛ ye cii fɔ a ka mɔgɔw ye, k'u ka sira di Abramu ma a ka taga n'a ka muso ani a ka bololafɛnw bɛɛ ye.
GEN.13.1	Abramu bɔra Ezipiti jamana na ka taga Kanaan worodugu ɲafan fɛ, ale n'a ka muso n'a ka bololafɛnw bɛɛ. Lɔti fana tagara n'a ye.
GEN.13.2	Abramu tun ye nafolobatigi ye, begɛnw ni warigwɛ ani sanu caaman tun b'a fɛ. 
GEN.13.3	A bɔra Kanaan worodugu ɲafan fɛ ka to ka sigi ka taga dɔɔni dɔɔni fɔɔ ka taga se Betɛli, a tun kɔnna ka sigi o yɔrɔ min na, Betɛli ni Ayi cɛ, 
GEN.13.4	a tun kɔnna ka sarakabɔyɔrɔ lɔ yɔrɔ min na. Abramu ye Masaba bato o yɔrɔ la.
GEN.13.5	Lɔti min tun be ni Abramu ye, misiw ni begɛnmisɛnw tun be ale fɛ fana, ani fanibuguw. 
GEN.13.6	U tun te se ka sigi ɲɔgɔn fɛ, o yɔrɔ tun ka dɔgɔ u ma, bari fɛɛn caaman tun be u bolo. 
GEN.13.7	Loon dɔ, kɛlɛ donna Abramu ka begɛndɛndɛbagaw ni Lɔti taw cɛ. (O y'a sɔrɔ kanaanw ni periziw siginin tun be jamana nin kɔnɔ.) 
GEN.13.8	O la, Abramu y'a fɔ Lɔti ye ko: «An kana kɛlɛ, an ka begɛnmaralaw fana kana kɛlɛ, bari an ye balimaw ye. 
GEN.13.9	Jamana nin bɛɛ filɛ nin ye. An ka faran ɲɔgɔn na. N'i tagara numan fɛ, ne be taga kinibolo faan fɛ. N'i tagara kinibolo faan fɛ, ne be taga numan fɛ.» 
GEN.13.10	 Lɔti y'a ɲaa kɔrɔta ka Zurudɛn baji kɛnɛ bɛɛ filɛ. A y'a ye ko jii caaman be o yɔrɔ bɛɛ la. A tun be i n'a fɔ Masaba ka yɔrɔɲuman min tun ye Edɛn ye. A tun be i n'a fɔ Ezipiti jamana ka taga Sowari dugu faan fɛ. O y'a sɔrɔ Masaba tun ma Sodɔmu ni Gɔmɔri dugu halaki fɔlɔ. 
GEN.13.11	Lɔti ye Zurudɛn baji kɛnɛ bɛɛ ta. A tagara kɔrɔn ɲafan fɛ. A kɛra ten, Abramu ni Lɔti faranna ɲɔgɔn na. 
GEN.13.12	Abramu sigira Kanaan jamana na, Lɔti tagara munumunu Zurudɛn baji kɛnɛ duguw gɛrɛfɛ, k'a ka fanibuguw lɔ Sodɔmu gɛrɛfɛ. 
GEN.13.13	Sodɔmukaw tun ka jugu, u tun be Masaba hakɛ ta kosɔbɛ.
GEN.13.14	Lɔti faranna Abramu la ka ban tuma min na, Masaba y'a fɔ Abramu ye ko: «K'i to i ka yɔrɔ la, i ɲaa kɔrɔta ka filɛli kɛ kɔgɔdugu, ni worodugu ɲafan fɛ, ka kɔrɔn fɛ ni tileben fana filɛ. 
GEN.13.15	 I ɲaa be jamana min na, ne bena o bɛɛ di e n'i kɔmɔgɔ ma a ka to aw bolo kudayi. 
GEN.13.16	Ne bena i kɔmɔgɔ caya i n'a fɔ cɛncɛn fɔɔ u te se ka jati, i n'a fɔ cɛncɛn te se ka jati cogo min na. 
GEN.13.17	Wili ka jamana nin yɔrɔ bɛɛ yaala, bari ne ben'a d'i ma.»
GEN.13.18	Abramu wilila ka ta'a ka fanibuguw lɔ Manbure joyiriw gɛrɛfɛ Eburɔn, ka sigi yen. A ye sarakabɔyɔrɔ lɔ Masaba ye o yɔrɔ la.
GEN.14.1	O waati la, Sineyari jamana masacɛ Amurafɛli ni Elazari masacɛ Ariyɔki, ani Elamu masacɛ Kedɔrilawomɛri, ni Goyimu masacɛ Tideyali 
GEN.14.2	wilila ka kɛlɛ kɛ ni Sodɔmu masacɛ Bɛra ye, ani Gɔmɔri masacɛ Birisa, ni Adima masacɛ Sineyabu, ani Seboyimu masacɛ Sɛmebɛri, ni Bɛla masacɛ ye. Sowari le be wele ko Bɛla.
GEN.14.3	O masacɛ duuru nunu bɛɛ ye ɲɔgɔn lajɛn Sidimu kɔkɛnɛ la, min ye 
GEN.14.4	U tun be masacɛ Kedɔrilawomɛri ka fanga kɔrɔ saan tan ni fila kɔnɔ, nga a saan tan ni sabanan na, u murutira.
GEN.14.5	A saan tan ni naaninan na, masacɛ Kedɔrilawomɛri ni masacɛ minw jɛnna n'a ye, u tun sera erefaw kɔrɔ Asitarɔtikaranayimu mara la, ka se zuziw kɔrɔ Amu mara la, ani ka se emuw kɔrɔ Kiriyatayimu mara la fana, 
GEN.14.6	ka se oriw kɔrɔ 
GEN.14.7	O kɔ, u kɔsegira ka na Ɛnmisipati, min ye Kadɛsi ye, ka amalɛkiw kɛlɛ ka se u kɔrɔ u ka mara faan bɛɛ la, ani amoriw minw tun siginin be Asasɔntamari. 
GEN.14.8	O waati la, Sodɔmu masacɛ ni Gɔmɔri ta, ani Adima ta ni Seboyimu ta, ani Bɛla min ye Sowari ye, o ta wilila ka taga u yɛrɛ labɛn Sidimu kɔkɛnɛ na 
GEN.14.9	Elamu masacɛ Kedɔrilawomɛri kama, ni Goyimu masacɛ Tideyali ani Sineyari masacɛ Amurafɛli ni Elazari masacɛ Ariyɔki kama. O masacɛ naani nunu ni masacɛ duuru nunu ye ɲɔgɔn kɛlɛ.
GEN.14.10	O y'a sɔrɔ u tun ye bɔgɔmana bɔ Sidimu kɔkɛnɛ na, o dingɛw tun ka ca yen. Sodɔmu masacɛ ni Gɔmɔri masacɛ bolila ka taga ben o kɔnɔ, tɔw bolila ka taga kuluw yɔrɔ la. 
GEN.14.11	Minw ye see sɔrɔ, olu ye Sodɔmukaw ni Gɔmɔrikaw ka nafolo bɛɛ cɛ, ani u ka balo bɛɛ, ka taga n'u ye. 
GEN.14.12	Abramu dɔgɔcɛ dencɛ Lɔti siginin tun be Sodɔmu dugu kɔnɔ minkɛ, u ye ale n'a bololafɛnw fana cɛ ka taga n'u ye.
GEN.14.13	Bolibagaw dɔ nana o fɔ eburucɛ Abramu ye. O y'a sɔrɔ Abramu tun siginin be amoricɛ Manbure ka joyiriw gɛrɛfɛ. Manbure ni Ɛsikɔli ni Anɛri tun ye balimaw ye, u bɛɛ tun ye Abramu jɛnɲɔgɔnw ye. 
GEN.14.14	Abramu y'a mɛn ko u y'a dencɛ minɛ ka taga n'a ye dɔrɔn, a ka jɔɔn kɛmɛ saba ni tan ni seegi minw be se kɛlɛ la, n'u wolol'a ka soo, a y'u labɛn, u tugura masacɛ nunu kɔ fɔɔ ka taga se Dan. 
GEN.14.15	A y'a ka mɔgɔw tilantilan, ka masacɛ nunu kɛlɛ sufɛ k'u gwɛn ka tugu u kɔ fɔɔ ka taga se Oba, Damasi kɔgɔdugu ɲafan fɛ. 
