MAT.1.1	Ибрайымның урпағы, Даўыттың урпағы Ийса Масихтың
MAT.8.2	– Ийем, егер Сен қәлесең, мени мақаў кеселден тазалай аласаң-ғо, – деди.
MAT.8.3	Ийса қолын созып, оған тийгизди де:
MAT.8.3	– Қәлеймен, тазалан! – деди.
MAT.8.3	Ол сол ўақытта-ақ мақаў кеселден тазаланып шыпа тапты. 
MAT.8.4	Ийса оған:
MAT.8.4	– Абайлы бол, буны ҳеш кимге айтпа! Бирақ руўханийге барып өзиңди көрсет те, мақаў кеселден тазаланғаныңды адамларға дәлиллеў ушын, Муўса буйырған қурбанлықты бер, – деди.
MAT.8.5	Ийса Капарнаҳумға кирген ўақытта Оның қасына бир римли жүзбасы келип:
MAT.8.6	– Ийем, мениң хызметшим ләң болып, қатты қыйналып үйде жатыр, – деп Оннан жәрдем сорады.
MAT.8.7	Ийса оған:
MAT.8.7	– Мен барып, оған шыпа беремен, – деди.
MAT.8.8	Ал жүзбасы:
MAT.8.8	– Ийем, Сениң шаңарағыма келиўиңе мен ылайықлы емеспен. Тек бир сөз ғана айтсаң, хызметшим жазылып кетеди. 
MAT.8.9	Өйткени мен де биреўдиң қол астындағы адамман, өзиме бағынышлы әскерлерим де бар. Олардың биреўине «бар» десем, барады, екиншисине «кел» десем, келеди, қулыма «мынаны исле» десем, ислейди, – деп жуўап қайтарды.
MAT.8.10	Буларды еситкен Ийса таң қалып, изине ерип киятырғанларға:
MAT.8.10	– Сизлерге шынын айтып турман: Мен бундай исенимди Израилда да ушыратпаған едим. 
MAT.8.11	Сизлерге айтатуғыным: шығыстан ҳәм батыстан көп адамлар келип, Ибрайым, Ысақ ҳәм Яқып пенен бирге Аспан Патшалығында дастурханлас болады. 
MAT.8.12	Ал Патшалықтың мийрасхорлары
MAT.8.13	Соннан соң, Ийса жүзбасыға:
MAT.8.13	– Бара бер, сениң исенимиңе қарай болсын! – деди.
MAT.8.13	Жүзбасының хызметшиси сол ўақытта-ақ жазылып кетти.
MAT.8.14	Ийса Петрдиң үйине келип, оның қәйин енесиниң ыссылығы көтерилип, аўырып жатырғанын көрди. 
MAT.8.15	Ийса ҳаялдың қолына қолын тийгизгенде, ыссылығы түсти ҳәм ҳаял орнынан турып, Оған хызмет етти.
MAT.8.16	Кеш болғанда, адамлар Ийсаға жин урған көп адамларды алып келди. Ийса олардағы жаўыз руўхларды Өзиниң сөзи менен қуўып шығарып, аўырғанлардың ҳәммесине шыпа берди. 
MAT.8.17	Булар Ийшая пайғамбар арқалы айтылған мына сөзлердиң орынланыўы ушын болды:
MAT.8.18	Ийса дөгерегине жыйналған көп халықты көргенде, шәкиртлерине теңиздиң арғы жағасына өтиўди буйырды. 
MAT.8.19	Сонда бир диний муғаллим келип, Оған:
MAT.8.19	– Устаз, Сен қаяққа барсаң да, мен Саған еремен, – деди.
MAT.8.20	Ийса оған:
MAT.8.20	– Түлкилердиң инлери, аспандағы қуслардың уялары бар. Бирақ Адам Улының
MAT.8.21	Және бир шәкирти Оған:
MAT.8.21	– Ийем, дәслеп барып, әкемди жерлеўиме рухсат ет, – деди.
MAT.8.22	Бирақ Ийса оған:
MAT.8.22	– Маған ер. Өз өлгенлерин жерлеўди өлилерге қалдыр, – деди.
MAT.8.23	Ийса қайыққа мингенде, шәкиртлери де Оның изинен минди. 
MAT.8.24	Теңизде тосаттан күшли даўыл көтерилип, толқынлар қайықты суўға толтыра баслады. Ал Ийса уйықлап жатыр еди. 
MAT.8.25	Сонда шәкиртлери Оған жақынлап келди де, Оны оятып:
MAT.8.25	– Ийем! Бизлерди қутқар, набыт болажақпыз! – деди.
MAT.8.26	Ийса оларға:
MAT.8.26	– Неге буншама қорқасызлар, ҳәй, исеними азлар? – деди де, турып самалға ҳәм теңизге тыйым салғанда, аўыр тынышлық орнады.
MAT.8.27	Адамлар таң қалысып:
MAT.8.27	– Самалды да, теңизди де Өзине бойсындыратуғын бул ким? – дести.
MAT.8.28	Ийса арғы жағадағы Гадара үлкесине келгенде, қәбирлердиң арасынан киятырған жин урған еки адамды ушыратты. Олар жүдә қәҳәрли болғанлықтан, бул жол менен өтиўге ҳеш кимниң батылы бармайтуғын еди. 
MAT.8.29	Олар қышқырысып:
MAT.8.29	– Қудайдың Улы Ийса, Сениң бизлер менен не жумысың бар? Бул жерге бизлерди ўақты келместен бурын азаплаўға келдиң бе? – деди.
