GEN.1.1	Худа һәммидин бурун пүтүн аләмни яратти. 
GEN.7.21	Нәтиҗидә йәр йүзидики һаят кәчүрүватқан пүткүл җанлиқлар, йәни һәр қандақ учар қанатлар, чоң-кичик һайванатлар вә инсанлар пүтүнләй йоқитилди. 
GEN.7.22	Демәк, йәр йүзидики һаятлиқ нәпәси бар болғанларниң һәммиси өлди. 
GEN.7.23	Худа йәр йүзидики һәммә җанлиқларни, йәни инсанлар, чоң-кичик һайванатлар вә учар қанатларни йоқатти. Пәқәт Нуһ билән униң кемисидики җанлиқларла һаят қалди. 
GEN.7.24	Топан йәр йүзини бир йүз әллик күн басти. 
GEN.8.1	Шундақ болсиму, Худа Нуһни вә кемидә униң билән биллә болған барлиқ һайванатларни унтуп қалмиди. У йәр йүзидә шамал чиқарған еди, су пәсийишкә башлиди. 
GEN.8.2	Йәр астидики булақлар йепилип, асмандин йеғиватқан қаттиқ ямғурму тохтиған еди. 
GEN.8.3	Бир йүз әллик күн ичидә су аста-аста азайди. 
GEN.8.4	Йәттинчи айниң он йәттинчи күни кемә Арарат тағ тизмилиридики бир тағниң үстидә олтирип қалди. 
GEN.8.5	Су давамлиқ пәсийип, онинчи айниң биринчи күни тағ чоққилири көрүнүшкә башлиди. 
GEN.8.6	Қириқ күндин кейин Нуһ деризисини ечип, 
GEN.8.7	бир қарғини қоюп бәрди. Бу қарға таки йәрдики су қуруп кәткичә, кеминиң әтрапида айлинип жүрди. 
GEN.8.8	Шуниң билән бир вақитта Нуһ суниң йәр йүзидин янған яки янмиғанлиғини билиш үчүн, бир кәптәрни қоюп бәргән еди. 
GEN.8.9	Лекин йәр йүзини техичә су қаплап турғачқа, кәптәр қонғидәк җай тапалмай қайтип кәлди. Нуһ қолини сунуп, уни тутуп кемигә әкиривалди. 
GEN.8.10	Йәнә йәттә күндин кейин у кәптәрни йәнә қоюп бәрди. 
GEN.8.11	Кәчқурун һелиқи кәптәр тумшуғида йеңи зәйтун йопурмиғини чишлигән һалда Нуһниң йениға қайтип кәлди. Нуһ шуниңдин суниң йәр йүзидин асасий җәһәттин янғанлиғини билди. 
GEN.8.12	Йәнә йәттә күндин кейин у кәптәрни йәнә қоюп бәрди. Бу қетим кәптәр қайтип кәлмиди. 
GEN.8.13	Нуһ алтә йүз бир яшқа киргән жили биринчи айниң биринчи күни топан йәр йүзидин пүтүнләй йенип болди. Нуһ кеминиң қапқиғини ечип, өп-чөрисигә қарап, йәр йүзиниң қурушқа башлиғанлиғини көрди. 
GEN.8.14	Иккинчи айниң жигирмә йәттинчи күни йәр йүзи пүтүнләй қуруп болди. 
GEN.8.15+GEN.8.16	Худа Нуһқа: 
GEN.8.15+GEN.8.16	— Аялиң, оғуллириң вә келинлириңни кемидин елип чиқ. 
GEN.8.17	Йениңдики барлиқ мәхлуқлар, йәни учар қанатлар вә чоң-кичик һайванатларни елип чиқ. Улар йәр йүзидә йәнә көпийип, зиминға таралсун, — деди. 
GEN.8.18	Шуниң билән Нуһ аяли, оғуллири вә келинлирини елип кемидин чиқти. 
GEN.8.19	Йәр йүзидики барлиқ җанлиқлар, йәни чоң-кичик һайванатлар вә учар қанатлар өз түрлири билән топ-топ болушуп, кемидин чиқишти. 
GEN.8.20	Нуһ Пәрвәрдигарға атап бир қурванлиқ суписини ясап, «һалал» дәп бәкитилгән һайванат вә учар қанатларниң һәр түридин таллап союп, қурванлиқ сүпитидә көйдүрүвәтти. 
GEN.8.21	Пәрвәрдигар қурванлиқтин мәмнун болуп, көңлидә: «Инсанларниң қилмишлири үчүн йәргә қайта ләнәт ейтмаймән. Инсанларниң кичигидин тартип нийитиниң пүтүнләй яманлиғини билимән. Шундақ болсиму, йәр йүзидики барлиқ җанлиқларни һәргиз бу қетимқидәк қайта йоқитивәтмәймән. 
GEN.8.22	Йәр йүзи бир күн моҗут болса, униңда терим-жиғим, иссиқ-соғ, қиш-яз, кечә-күндүзму моҗут болиду!» — деди. 
GEN.9.1	Худа Нуһ вә униң оғуллириға бәхит ата қилип мундақ деди: 
GEN.9.1	— Силәр нәслиңларни көпәйтиңлар, уруқ-әвладиңлар пүтүн дунияға тарқалсун. 
GEN.9.2	Йәр йүзидики барлиқ чоң-кичик һайванатлар, учар қанатлар вә белиқлар силәрдин қорқуп, силәрниң башқурушуңларда болиду. 
GEN.9.3	Бурун силәргә озуқлуқ үчүн көктатларни бәргинимдәк, әнди силәргә һәммә һайванатларниму беримән. 
GEN.9.4	Лекин силәр қени бар гөшни һәргиз йемәңлар, чүнки җан қандидур. 
GEN.9.5	Буниңдин башқа, қан төкүлүш болса, чоқум һесап алимән. Һәр қандақ бир һайван адәм өлтүрсә, униңдинму һесап алимән. Кимду-ким адәм өлтүрсә, униму өлүмгә мәһкүм қилимән. 
GEN.9.6	Мән адәмни Өзәмгә охшайдиған қилип яраттим, 
GEN.9.6	Шуниң үчүн кимки башқа бир адәмниң қенини төксә, 
GEN.9.6	Униң қениму башқилар тәрипидин төкүлиду. 
GEN.9.7	Силәр нәслиңларни көпәйтиңлар. Силәрниң уруқ-әвладиңлар пүтүн дунияни қаплисун. 
GEN.9.8+GEN.9.9+GEN.9.10	Андин Худа Нуһ вә униң оғуллириға мундақ деди: 
GEN.9.8+GEN.9.9+GEN.9.10	— Мән әнди силәр вә силәрниң уруқ-әвлатлириңлар билән һәм йәр йүзидики барлиқ һайванатлар, йәни силәр билән биллә кемидин чиққан һәр бир өй һайванлири, явайи һайванатлар вә учар қанатлар билән келишим түзимән. 
GEN.9.11	Силәргә вәдә беримәнки, пүткүл җанлиқлар һәргиз топан билән қайта йоқитилмайду, йәр йүзини харап қилидиған топан иккинчи кәлмәйду. 
GEN.9.12+GEN.9.13	Мән силәр вә барлиқ җанлиқлар билән мәңгүлүк бир келишимни түздүм. Бу келишимниң бәлгүси — асманда көрүнидиған һасан-һүсәндур. 
GEN.9.14+GEN.9.15	Мәйли қачан болмисун, ямғурдин кейин асмандики булутлар арисида һасан-һүсәнни көргинимдә, Өзәмниң силәр вә пүткүл җанлиқлар билән түзгән келишимимни есимгә алимән. Топан барлиқ җанлиқларни қайта йоқатмайду. 
