GEN.1.1	Di katbuan, Dwata mimò langit na banwe. 
GEN.9.22	Na Ham i mà Kanaan, toon neye i maan flaweh, na di keyen lamwà kenen na tnulenan i lwe flanekan. 
GEN.9.23	Kabay Sém na Dyafét mwè i klaweh na dafatla di ftubungla na fudul ale fusuk di sibay màla na knayabla kenen. Là ale falê, du fye làla teen i màla flaweh.
GEN.9.24	Na di kwas i klangal Nowa, na di kgadean i nimò Ham di kenen, 
GEN.9.25	manan,
GEN.9.25	“Kadang satu duh, fanlayam Dwata Kanaan, tingà Ham,
GEN.9.25	na mbaling kenen mgimò lifan i dad flanekan.
GEN.9.26	Dnayenito Dwata i Amu, i Dwata Sém.
GEN.9.26	Kanaan moon mgimò kadang lifan Sém.
GEN.9.27	Too fbel Dwata kadang moon i bel Dyafét.
GEN.9.27	Na fnean ale moon di bel Sém.
GEN.9.27	I bel Kanaan moon mgimò kadang lifan i bel Dyafét.”
GEN.9.28	Di kakubu i dunuk mto fa Nowa kel di tlu latu lime falò fali. 
GEN.9.29	Na mati Nowa di syem latu lime falò falin.
GEN.11.1	Di kagatbuan nun alò satu bung talù, i talù kdee dad to di klamang i banwe. 
GEN.11.2	Na di kalngabla, magu ale gsen di gusut i duh kel di too datal na mabal tanà di Sinar, na mnè ale déén.
GEN.11.3	Na kafnge én, stulen i dad to én, manla, “Gasil ito nan santifun i fitak na fkafagito di luben, fye mbaling too kmegeng na mgal, du fye nun imoito gumnè.”
GEN.11.3	Na du landè too batu di banwe atù, én baling santifunla fitak na fkafagla na fnadkatla i sfaltu. 
GEN.11.4	Kafnge én, manla, “Ani mimò ito bong banwe i nun bong mdatah gumnè gafat di langit, fye too mdengeg i dagitito na là ito masbalét di klamang i banwe.”
GEN.11.5	Kabay Dwata i Amu, mdà kenen di langit, salu ditù du toon neye i bong banwe na i mdatah gumnè nimò i dad to ani. 
GEN.11.6	Na man Dwata i Amu, “I kdee dad to ani, du tasasatu nawala na alò satu talùla, ani fa alò katbù i fanla nimò. Na là mlo ani gaganla mimò i kdee kayèla nimò. 
GEN.11.7	Taman salu agu ditù na sansahalgu i talùla, du fye nun dee sahal talù, du fye là ale saglabat.”
GEN.11.8	Taman sanbalét ale Dwata i Amu, mdà déén kel di klamang banwe, na én duenan tanlagla i kimòla i bong banwe. 
GEN.11.9	I banwe ani dnagit ku Babél, du sansahal Dwata i Amu i talù dad to déén, du fye mgimò dee sahal talù. Na mdà di Babél, sanbalétan i dad to di klamang banwe.
GEN.11.27	Ani i dagit i dad bel Téra. Téra ani i mà Abram, Nahor, na Haran. Na Haran ani i mà Lat. 
GEN.11.28	Di là fa mati Téra, mati i tingaan lagi dunan Haran di banwe gusutan dnagit Ur di Kaldi. 
GEN.11.29	Na Abram na Nahor tamwè ale yaan. I dagit yaan Abram Saray, na Nahor kenen, i dagit yaanan Milka, i tingà Haran. Na nun fa tingà Haran lagi dnagit ku Iskah. 
GEN.11.30	Na Saray ani là mngà, taman, landè dad ngaan.
GEN.11.31	Na fagin Téra tingaan lagi Abram, na i fuan lagi Lat, tingà Haran, na tewen Saray yaan Abram. Na mdà ale di banwe Ur di Kaldi salu di banwe Kanaan. Kabay kakella di banwe Haran, mnè ale ditù. 
GEN.11.32	Na di banwe Haran gumati Téra. Di kfatin talwe latu lime i falin.
GEN.12.1	Na man Dwata i Amu di ku Abram, “Tnagakam i banwem ani, na dad gakedam, na i dad malay i maam, na salu ge ditù di banwe tdògu ge.
GEN.12.2	Na ditù di banwe atù kadang, toota ge fbel,
GEN.12.2	na mbaling ale sbung dad to too mlabung,
GEN.12.2	na banléta ge kadang kafye,
GEN.12.2	na toogu fdengeg i dagitam, du fye lê ge gamlé kafye di dademem to.
GEN.12.3	Banlégu kadang kafye i dad to fafye ge,
GEN.12.3	bay dnuengu balù simto dmuen ge.
GEN.12.3	Fagu di ge blégu kafye
GEN.12.3	di kdee dad to di klamang banwe.”
GEN.12.4	Taman kaklinge Abram i gman Dwata i Amu, nimenan i dek Dwata kenen, na mdà kenen na magin Lat. Na di bang atù di kdà Abram di Haran tafitu falò lime i falin. 
GEN.12.5	Faginan i yaanan Saray, na tingà i flanekan dnagit ku Lat, na i kdee dad knunan na kdee dad lifanan gwean di banwe Haran, na mdà ale salu di Kanaan. Na di kakella di banwe Kanaan, 
GEN.12.6	fadlug ale Abram kel di satu bong kayu di Moré di banwe Sikim. Na di bang atù nun fa dad to di Kanaan mnè déén. 
GEN.12.7	Na déén gumsut Dwata i Amu di ku Abram, na manan di kenen, “Ani i tanà blégu kadang di dad belam.” Taman déén gumimò Abram i gudamsù i dad lmanaf, du blé di Dwata i msut di kenen.
GEN.12.8	Mdà déén, fadlug ale Abram salu di dad bulul gsen di gusut i duh mdadong di banwe Bétél, du mlawig di gutngà i banwe Bétél na banwe Ay. I banwe Bétél i gsen di gusdaf i duh, na i banwe Ay i gsen di gusut i duh. Na déén lêmanan nimò i gudamsù di Dwata i Amu, na mangamfù kenen di Dwata. 
GEN.12.9	Kafnge én, fadlug magu ale Abram salu di banwe Négéb.
GEN.12.10	Na di bang atù nun bong kbitil di banwe Kanaan, na én duenan fles ale Abram di banwe Idyif, du mnè ale déén là mlo. 
GEN.12.11	Kagdadongla di banwe Idyif, man Abram di yaanan Saray, “Too fye i baweham. 
GEN.12.12	Hae, na kadang di kite ge i dad to di Idyif too dmalam i nawala ge i yaangu. Na fnatila agu kè, du fye gwèla ge. 
GEN.12.13	Fye fa ku manam dale flanekta ge, du fye làla agu fnati, bay balingla agu too fanse fanduf, du man nawala là ite satlamin.”
GEN.12.14	Kakel Abram di Idyif, kite i dad to déén too fye baweh i yaanan. 
GEN.12.15	Kite i dad ganlal i harì ku Saray, tnulenla i harì gablà di kafye bawehan. Taman fnean Saray di bong gumnean. 
GEN.12.16	Too fanse fanduf harì ani Abram, du man nawan ise ale satlamin. Banlén Abram dee dad bilibili, dad kambing, dad baka, dad lmanaf dnagit dongki na kamél, na dad lifan, libun na lagi.
GEN.12.17	Kabay nun dad too sasè tduk flayam Dwata i Amu i harì na dad dademe to mnè di gumnean, du fnean Saray, yaan Abram di gumnean. 
GEN.12.18	Taman fafngén Abram, na snalékan kenen, manan, “Kan kè duenam mimò sasè di deg? Kan i duenam là tmulen deg Saray ani i yaanam? 
GEN.12.19	Du manam flanekam, na én sa duengu mwè kenen du yaangu. Na gani sa i yaanam, faginam kenen na mdà gamu nan.”
GEN.12.20	Kafnge én, dek harì i dad ton falwà ku Abram, yaanan, na dad kdee nfunan di banwe Idyif.
GEN.13.1	Taman mdà Abram, yaanan, na dad kdee nfunan di banwe Idyif salu di banwe Négéb. Na magin Lat dale. 
GEN.13.2	Nun nan bong knun Abram. Nun dad bilibilin, dad kambingan, dad bakan, na nun bong salafian na blawenan.
GEN.13.3	Di kdaan di banwe Négéb, fadlug magu di sahal banwe. Kafnge én, kel di banwe Bétél di muna gumnean di gutngà i banwe Bétél na Ay, 
GEN.13.4	sablà i gumimoan i gudamsù. Kakelan déén mangamfù kenen di Dwata i Amu.
GEN.13.5	Na Lat i fadlug samnagin ku Abram. Na nun malayan, dad lifan, dad bilibili, dad kambing, na dad bakan. 
GEN.13.6	Kabay du too dee dad lmanafla, na satnù ale, takulang nan i tanàla. 
GEN.13.7	Én baling i gumdà i kasbulaw i dad to Abram na dad to Lat, i dad mifat i dad lmanafla. Na di bang atù nun fa dad to mdà di Kanaan, na dad to mdà di Férisi mnè déén.
GEN.13.8	Taman man Abram di ku Lat, “E Tò, là agu mayè ku sbulaw ite demen ku sbulaw dad tota gal mifat i dad lmanafta, du ge sa i asal tingàgu. 
GEN.13.9	Neyem, too mabal i tanà ani. Fye fa baling ku stani ite mnè. Ge malék i tanà i kayeam. Na ku nalékam i tanà gsen di ibeng, mili agu di tanà gsen di kwanan. Ku nalékam i tanà gsen di kwanan, mili agu di tanà gsen di ibeng.”
GEN.13.10	Too neye Lat i klamang tanà, na teenan i datal tanà mdadong di yéél Dyordan kel di banwe Sor, slame too fye tanà, du too nun yéélan salngad baweh di kafye baweh i banwe mgimò Dwata di muna fa, na salngad baweh i banwe Idyif. Di bang atù là fa falmo Dwata i banwe Sodom na banwe Gomora. 
GEN.13.11	Taman malék Lat i klamang datal tanà mdadong di yéél Dyordan, na mdà kenen salu ditù gsen di gusut i duh. Na ani nan i bang stani mnè Abram na Lat. 
GEN.13.12	Na mnè fa Abram di banwe Kanaan, bay mili Lat baling mdadong di dad banwe di datal tanà na mnè mdadong di banwe Sodom. 
GEN.13.13	Na i dad to mnè di banwe Sodom, too sasè nimòla. Na too ale gamsalà di Dwata.
GEN.13.14	Na di ktani Lat, lêman talù Dwata i Amu di ku Abram, manan, “Toom neye i tanà mdà di gusut i duh, na di gustafan, na di glibutam. 
GEN.13.15	I klamang tanà teenam, én i blégu ge na di dad belam kel di landè sen. 
GEN.13.16	Toota ge fbel, i landè gmagan mse di tandà i kdeela, gambet kfung i tanà. Du mula fa mse i kfung di kse i dad belam. 
GEN.13.17	Na mdà ge nan na lanngabam i klamang tanà ani, du ani blégu ge.”
GEN.13.18	Kafnge én, mili Abram mdadong di gunun dad malbang kayu Mamri di banwe Hibron, na mnè déén. Na lêman mimò i gudamsù, du mangamfù kenen di Dwata.
GEN.14.1	Na di bang atù, Amrafél i harì di banwe Sinar, Ariok i harì di Élasar, Kadorlaomar i harì di Élam, na Tadal i harì di Goyim. 
GEN.14.2	Na i dad harì ani, sasatu fandamla sfati di lime dademe harì, dunan Bara harì di Sodom, Birsa harì di Gomora, Sinab harì di Adma, Sémébér harì di Séboyim, na harì di Béla, na i satu dagit i banwe én dunan Sor. 
GEN.14.3	Na lime dad harì gine sasatu fandamla, na stifun i dad sundalula di datal tanà mdadong di banwe Sidim, di sadni dagitan Lanaw Kahì. 
GEN.14.4	I satu harì dunan Kadorlaomar, magot i dad lime harì ani gine di sfalò lwe fali. Kabay kakél di gasfalò tlu fali kalwela i kagotan dale.
GEN.14.5	Na kakel di gasfalò fat fali, Kadorlaomar ani na i dademe dad harì msen di kenen na lêman i dad sundalula, sanfatila dad to di dademe dad banwe. Na fnisanla dad to mdà di banwe Réfay ditù di banwe Astérot Karnaim. Na balù fnisanla i dad to mdà di banwe Susi ditù di banwe Ham, na i dad to mdà di banwe Émi ditù di banwe Sabék Kiritaim. 
GEN.14.6	Na fnisanla i dad to mdà di banwe Hori di dad bulul di Séir kel ditù di Él Faran mdadong di banwe gulandè to. 
GEN.14.7	Kafnge én, samfulê ale di banwe Én Misfat, dunan Kadis i satu dagitan, na fnisanla i dad kdee dad to mnè di tanà i sbung dad to dnagit Amalék, na fnisanla i sbung dad to dnagit Amori i mnè di banwe Hasason Tamar.
GEN.14.8	Na fasfulê ito di dad lime harì gine di banwe Sidim. Na i dad harì ani mdà di dad banwe Sodom, Gomora, Adma, Séboyim, na Béla dunan Sor, na i dad sundalula, fatlagad ale di kasfati déén di datal tanà mdadong di Sidim. 
GEN.14.9	Na dad dademe harì sanfatila dunan Kadorlaomar i harì di Élam, Tadal i harì di Goyim, Amrafél i harì di Sinar, na Ariok, i harì di Élasar. Taman dad lime harì sanfati i dad fat harì ani gine. 
GEN.14.10	Na i datal tanà mdadong di Sidim ani dee dad sol i nun too sadkat. Na di kila i dad harì di Sodom na Gomora du fisan ale, nun dademe i dad sundalula baling ale mtatek di dad sol ani, na i dademe gila di dad bulul.
GEN.14.11	Kafnge én, i dad fat harì gladla kdee knun, na balù i kakaan di banwe Sodom na Gomora, na mdà ale. 
GEN.14.12	Na balù Lat i asal tingà Abram kanfèla, na gladla i nfunan, du ditù sa i gumnean di Sodom.
GEN.14.13	Kabay kadì nun satu to galwà, na tnulenan Abram i Hibru, gablà di kdee ani gine. Du bang ani, mnè Abram mdadong di malbang dad kayu nfun Mamri, i satu to mdà di sbung to dnagit ku Amori. Na Mamri ani nun lwe flanekan lagi dnagit ku Éskol na Anér. Abram na i tlu ani gal ale stabeng.
GEN.14.14	Kaklinge Abram tamakfè i tingà i flanekan santifunan i kdee dad saligan i fulung sfati na lamnok di ifatan, na kdeela masdagub tlu latu sfalò walu. Na mdà ale tmafik i fat harì ani kel di banwe Dan. 
GEN.14.15	Na di butang én, faslumbuk Abram i dad ton, na natudla dad harì na fnisanla ale. Tmafik ale Abram dad harì na i dad sundalula kel di banwe Hoba di gufdu i sabnal di banwe Damaskus. 
GEN.14.16	Na gawì Abram i kdee knun i gladla. Na gafalwaan Lat di kakfè kenen, na fuléan ku Lat i kdee dad nfunan. Na dad libun na i dademe dad to tamakfè, gafalwà ale Abram.
GEN.14.17	Di kulê Abram nan di kafngen misan ku Kadorlaomar na i dademen harì, snitong kenen i harì di banwe Sodom ditù di Datal Sabék, i satu dagitan dunan Datal i Harì.
GEN.14.18	Kafnge én, Mélkisidék, i harì di banwe Salém, smitong ku Abram. Mélkisidék ani i satu bà di Dwata i Too Mdatah. Na mebe kenen fan na binu di ku Abram. 
GEN.14.19	Na banlén kafye Abram, manan,
GEN.14.19	“I Dwata Too Mdatah mlé kafye di Abram,
GEN.14.19	i Dwata tamimò i langit na i klamang banwe.
GEN.14.20	Magdayen Dwata i Too Mdatah,
GEN.14.20	du tnabengan ge di kfisanam i dad dmuen ge.”
GEN.14.20	Kagmanan ani, blé Abram ku Mélkisidék i gasfalò i kdee gwean di dad fat harì i fnisanan.
GEN.14.21	Kafnge én, man i harì di Sodom, “Ge sa mfun i kdee nfunmi, i gweam di dad harì gladla mdà di gami. Kabay fuléam alò di deg i kdee dad togu.”
GEN.14.22	Kabay tmimel Abram, manan, “Tasmafà agu nan di Dwata i Amu, i Too Mdatah, i Mgimò i langit na i klamang banwe. 
GEN.14.23	Makang agu ge, landè balù tan i ge nfun, i làgu fulê di ge, balù fa i tukay sinulib ku demen ikat i lafin bliam, du fye laam fakay man kadang agu mbaling to nun du mdà di ge. 
GEN.14.24	Landè falus nwègu du nfungu. Én alò gdawatgu i tagkaan i dad togu, na én i làgu fulê. Kabay mni agu alel du blégu di dad to magin deg dunan Anér, Éskol, na Mamri.”
GEN.15.1	Kafnge én, nun kanteen Abram na lingen Dwata i Amu talù di kenen, manan,
GEN.15.1	“E Abram, nang ge likò,
GEN.15.1	du agu sa i klungam i kamlung ge,
GEN.15.1	na agu gumdà i too glut untungam.”
GEN.15.2	Kabay tmimel Abram, manan, “Dwata i Amu, i Magot i Kdee, landè gablém di deg i too gaflehew deg, du kel i ani landè fa tingàgu. Na di kfatigu, Élisar i to mdà di banwe Damaskus baling i mfun i kdee nfungu. 
GEN.15.3	Du laam agu sa banlé tingà, taman én i fangfungu i dad knungu i satu lifangu i mnè di gumnègu.”
GEN.15.4	Na lêmanan linge talù Dwata i Amu di kenen, manan, “Élisar ani ise mangfun i knunam, du nun tingaam lagi kadang na kenen sa mbaling mfun dun.” 
GEN.15.5	Na nebe kenen Dwata déén di lwà, na manan di kenen, “Neyem i langit, na nsem i dad blatik ku gaganam i mse dun. Na di satu duh kadang too dee dad belam salngad i kdee dad blatik atù.”
GEN.15.6	Fnaglut Abram Dwata i Amu, na mdà di kafaglutan ani, matlu kenen di kite i Dwata. 
GEN.15.7	Lêman man Dwata, “Agu Dwata i Amu, mdek ge lamwà di banwe Ur di Kaldi, du fye blégu ge i klamang tanà ani.”
GEN.15.8	Kabay tmimel Abram, manan, “Amugu Dwata, i Magot i Kdee, tan i gugmadègu nfungu di satu duh kadang i tanà gmanam ani?”
GEN.15.9	Tmimel Dwata i Amu, manan, “Mebe ge deg satu baka, satu kambing, na i satu bilibili, slame ale tlu fali, na fakufam i satu abun na satu salafati.”
GEN.15.10	Taman i kdee gman Dwata ani, fti nebe Abram di kenen, na fnatin, na sanbalin i dad lmanaf ani, na fansen snablà i fkah dun. Alò i dad anuk di bnas laan sanbali. 
GEN.15.11	Kafnge én, mleen i dad malbang anuk di bnas di tasanbali lmanaf én, du fanla knaan, bay ndal ale Abram.
GEN.15.12	Na di kasdaf i duh, too gkudang Abram, na kanteenan i mgat kmifu samlibut kenen, na too sè i klikoan. 
GEN.15.13	Taman lêman man Dwata i Amu di kenen, “Fye gadeam too gdohò i knè i dad belam di tanà nfun i dademe dad to na gfasak ale na faflayam ale kel di fat latu fali. 
GEN.15.14	Kabay kafnge én, fanlayamgu i dad to masak dale, na galwà ale di agot i dad to én, na di kalwàla gamgebe ale i dee dad knun. 
GEN.15.15	Kabay ge, landè sa smamuk ge du flawilta ge. Na di ktuam mati ge na fanse ge lbang. 
GEN.15.16	Na kel fa di fat tugad i belam, kohla fa gasfulê dini. Na i dad to dnagit Amori, i mnè dini di banwe Kanaan, làgu fa falwà, bay di kakel i bang too sasè i nimòla, fanlayamgu na falwàgu ale di banwe ani.”
GEN.15.17	Na di takasdaf i duh, na mbaling kifu nan, makto teen Abram i msut i sadi satu bong kulang nun lifoh, na mbuk gagin i gansà too dminè. Na tì fatngà magu di bleng i dad lmanaf tamasbali én gine. 
GEN.15.18	Hae, du di duh én, Dwata i Amu makang ku Abram, na manan, “Ani i fakanggu, satu duh blégu di dad belam i klamang tanà ani, mdà di yéél di banwe Idyif kel di bong yéél Yufratis. 
GEN.15.19	Lêgu blé di dale i tanà i gumnè i dee bung dad to dnagit ku Kéni, Kénisi, Kadmoni, 
GEN.15.20	Hiti, Férisi, Réfay, 
GEN.15.21	Amori, Kanaan, Girgasi, na Dyébusi.”
GEN.16.1	Na Saray, yaan Abram, là mngà. Kabay nun libun lifanan i mdà di banwe Idyif dnagit ku Hagar. 
GEN.16.2	Taman man Saray di ku Abram, “Là faloh Amuta Dwata ku mngà agu, taman fye ku tanlaminam i lifangu, du ken nun belta fagu di kenen.”
GEN.16.2	Na nagin Abram i knayè nawa yaanan Saray. 
GEN.16.3	Taman fatlamin Saray i lifanan Hagar di ku Abram, du nimò yaanan. Di bang atù, tasfalò fali i klo Abram mnè di banwe Kanaan. 
GEN.16.4	Na tasatlamin ale Hagar na Abram, na kafnge én maltien Hagar.
GEN.16.4	Na di kgadè Hagar maltien kenen, too kenen fdag na toon sansilo Saray. 
GEN.16.5	Taman man Saray ku Abram, “Na ge banlégu salà duen Hagar samsilo deg. Deg i fatlamin dun ge, na di kgadean tamaltien kenen sansilon agu, na landè kafean deg. Dwata i Amu sa mukum gite.”
GEN.16.6	Tmimel Abram, manan, “Ku én kadì, na du lifanam nimoam di kenen i knayeam nimò.” Na sasè kibò Saray ku Hagar, taman mila kenen.
GEN.16.7	Na nun kasaligan i Dwata smitong ku Hagar di satu sfuten di banwe landè to di kilil i dalan magu salu di banwe Sur. 
GEN.16.8	Na man kasaligan di kenen, “Hagar lifan Saray, nè gufdum, na nè gusalum?” Na tmimel Hagar, manan, “Mila agu di amugu Saray.”
GEN.16.9	Man i kasaligan Dwata i Amu, “Samfulê ge di kenen na nimenam i dekan ge.” 
GEN.16.10	Na fadlug talù i kasaligan, manan, “Toogu fbel i belam satu duh kadang, na là ale gagan nse du too dee.” 
GEN.16.11	Na tuad man i kasaligan Dwata,
GEN.16.11	“Di là mlo ani, mngà ge lagi,
GEN.16.11	na dnagitam ku Ismaél,
GEN.16.11	du i gumtatek i dagitan ani dunan,
GEN.16.11	fanlinge sa Dwata i kaftabengam.
GEN.16.12	Kabay i tingaam kadang gambet i satu lmanaf di bnas di là fa faknalam,
GEN.16.12	na là gdadong i kdee dad to di kenen du mdà di klabean,
GEN.16.12	na knang kenen i kdee dad to,
GEN.16.12	na i kdee dad to mnang nawa kenen,
GEN.16.12	na balù i dad flanekan, knangan nawa.”
GEN.16.13	Na én kdagit Hagar i Dwata i Amu i talù di kenen, dunan, “Ge i Dwata i mifat deg.” Manan ani du snalekan di nawan, manan, “Teengu kè gine Dwata i mifat deg?” 
GEN.16.14	Na ani i duen dmagit i ktufa én, Béér Lahay Roy, du i gumtatekan, dunan Ktufa Dwata i Mto na i Mifat Deg. Na i ktufa ani déén fa kel di bang ani di gutngà i banwe Kadis na Béréd.
GEN.16.15	Kafnge én, sut i tingà Hagar lagi na dnagit Abram ku Ismaél. 
GEN.16.16	Na di ksut Ismaél di ku Hagar tawalu falò nam fali Abram.
GEN.17.1	Na kel tasyem falò syem i fali Abram, lêman msut Dwata i Amu, di kenen, na manan, “Agu Dwata Too Mtulus, mimen ge deg, na fadlug ge mimò i matlu nimò. 
GEN.17.2	Na dnohògu i tafakanggu ge. Hae, toota ge fbel, du fye too dee dad belam.”
GEN.17.3	Kaklinge Abram ani, lkuad kenen na kudung di tanà, du nafean Dwata. Na lêman man Dwata, 
GEN.17.4	“Ani i fakanggu ge, nimòta ge mà i dee bung dad to. 
GEN.17.5	Mdà ani talà ge matlo Abram, bay dnagitta ge Abraham, du nimòta ge mà i kdee bung dad to. 
GEN.17.6	Fdeegu i dad belam, du fye nun dee bung dad to. Nun kadang di dad belam mbaling ale harì. 
GEN.17.7	Toogu dnohò i fakanggu di ge ani, na kel di dad belam kel di landè sen. Agu Dwatam na Dwata i dad belam di fulé duh. 
GEN.17.8	I klamang tanà Kanaan i flo gumneam ani i blégu ge kadang na i dad belam, du fye gfunyu kel di landè sen. Na satu duh agu Dwatala.”
GEN.17.9	Na lêman talù Dwata di ku Abraham, manan, “Nun ilè i fakanggu, na là fakay ku làyu nimò, ge na i dad belam di fulé duh. 
GEN.17.10	Ani sa i ilè i nimòyu, ge na i dad belam, na tooyu dnohò ani, dunan i kdee dad lagi di gamu ftulìyu. 
GEN.17.11	Ge sa ftulì, du én i ilè i fakangta ge. 
GEN.17.12	Na mdà ani, na kel di dad belam di fulé duh, tnulìyu i dad lagi ku tawalu duh klon sut, balù dad ngà lagi sut di dad lifanyu, balù sut di gumnèyu ku demen to tagbayadyu mdà di dademe dad to. 
GEN.17.13	Hae, du dad ngà lagi sut di gumnèyu demen ku tagbayadyu di dademe dad to, kdee dad lagi too ftulì. Du mdà di ilè di dad lawehyu gadèyu i kfankanggu landè gusenan. 
GEN.17.14	Na ku simto di dad lagi i là ftulì, là gakuf kenen di gamu, du laan nimen i dek kenen gablà di kfakanggu.”
