GEN.1.1	A tung in Pathian in lei leh van a siam.
GEN.9.26	“Shem 
GEN.9.26	Pathian phat in om hen.
GEN.9.26	Kanaan a sikha in om hen.
GEN.9.27	Pathian in Japheth hihlian henla,
GEN.9.27	Kanaan a sikha in om hen,” a chilai hi.
GEN.9.28	Noah tuichim tun nung in kum za thum leh sawmnga a dam hi. 
GEN.9.29	Noah damsung tengteng kum za kua leh sawmnga ahi a; huchi in a sita hi.
GEN.10.1	Huan, hiaite Noah tapa Shem, Ham leh Japheth suante ahi uh. Tuichim tun nung in tapate a neichiat uhi.
GEN.10.2	Japheth tapate: Gomer, Magog, Madai, Javan, Tubal, Meshek leh Tiras ahi uh. 
GEN.10.3	Gomer tapate: Askenaz, Riphath leh Togarmah ahi uh. 
GEN.10.4	Javan tapate: Elishah, Tarsis, Kittim leh Dodanim ahi uh. 
GEN.10.5	Huaite a kipan in Jentelte, amau pau leh amau nam bangzel in, amau chite omna tuikulh gam, amau gamte ah a kikhen zak uhi.
GEN.10.6	Ham tapate: Kush, Mizraim, Phut leh Kanan ahi uh. 
GEN.10.7	Kush tapate: Seba, Havilah, Sabtah, Raamah leh Sabteka ahi uh. Raamah tapate: Sheba leh Dedan ahi uhi. 
GEN.10.8	Kush in tapa Nimrod a nei hi. Amah lei ah mi hattak a honghi panta hi. 
GEN.10.9	 ma ah sabengmi hattak ahi a; huaiziak in ahi, “
GEN.10.10	A lal patna Sinar gam a Babel khua, Erek khua, Akkad khua leh Shinar gam a Kalneh khua ahi uh. 
GEN.10.11	Huai gam a kipan a pawt a, Assuria gam ah a lut a, Ninevi khua, Rehoboth Ir khua leh Kaineh khua a sat hi. 
GEN.10.12	Ninevi leh Kalah kikal ah Resen khua a sat a, huai Resen khua thupitak ahi.
GEN.10.13	Mizraim in Ludim, Ananim, Lehabim, Naphtuhim, 
GEN.10.14	Pathrusim leh Kasluhim, Philistiate leh Kaphtorimte pawtna, a suangta hi.
GEN.10.15	Kanan in tapa masa Zidon a nei a, Heth leng a neilai a, 
GEN.10.16	Jesbuste, Amorte, Girgaste; 
GEN.10.17	Hivte, Arkate, Sinte; 
GEN.10.18	Arvadte, Zemarte, Hamathte a suang a; huai nung in Kanaan namte a ki thehzakta uhi. 
GEN.10.19	Kanante gamgi Zidon khua a kipan Gerar, Gaza, Sodom leh Gomorrah, Admah, Zeboim leh Lasa khua tan ahi. 
GEN.10.20	Huaite, a namte bangzel leh a paute, a gamte leh a namte lak ua bangzel in Ham suante ahi uhi.
GEN.10.21	Shem, Eber ta tengteng suangpa, Japheth u in leng tate a nei hi. 
GEN.10.22	Shem tate: Elam, Assur, Arpaksad, Lud leh Aram ahi uh. 
GEN.10.23	Aram tapate: Uz, Hul, Gether leh Mas ahi uh. 
GEN.10.24	Arpaksad in tapa Shelah a nei a; Shelah in tapa Eber a nei hi. 
GEN.10.25	Eber in tapa nih a nei a: khat min Peleg ahi a, a damlai in lei khen in a omta ngal a; a nau min Joktan ahi. 
GEN.10.26	Joktan in tapa Almodad, Seleph, Hazarmaveth, Jerah; 
GEN.10.27	Hadoram, Uzal, Diklah; 
GEN.10.28	Obal, Abimael, Sheba; 
GEN.10.29	Ophir, Havilah leh Jobab a nei a; huai tengteng Joktan tapate ahi uh. 
GEN.10.30	A tenna uh Mesa a kipan suahlam tang Sephar tan ahi. 
GEN.10.31	Huaite Shem suante ahi uh, a namte bangzel leh a paute bangzel in, a gamte ah leh a chite bangzel in.
GEN.10.32	Huaite Noah suan namte ahi ua, a suante uh bangzel in a chite uh lak ah; tuichim tun nung in huaite a kipan ahi a; lei a chichih khenkhiat ahi uhi.
GEN.11.1	Huan lei a mi tengteng in pau khat leh paudan khat a nei uh. 
GEN.11.2	Hichi ahi a, suahlam a kipan a kisuanzel laiun, Sinar gam ah phaizang a mu ua; huai ah a tengta uhi. 
GEN.11.3	“Kisa un; teklei i bawldia, hoihtak in i halding” a kichita uhi. Suang sik in teklei a nei ua, suanghukna sik in longnai a nei uhi. 
GEN.11.4	“Kisa un, khopi i bawl dia, insang a vum vansun ding in i bawl dia, i min i thang sak ding uh. Huchilou in zaw lei pumpi ah thehdalh in i omkha ding” a chi uhi. 
GEN.11.5	Mite tate’n khopi leh insang a lam uh en ding in 
GEN.11.6	 “Ngai dih ua, mite pumkhat ahi ua, avek un lah pau khat a nei ngal ua; hiai thil a hih pan uhi. Tu’n zaw a thil hihtupte uh leng kham vual ahita kei ding hi. 
GEN.11.7	Kisa un, i va hohsuk ding ua, pau a kitheituah louhna ding un, a pau uh i va suklamdang sak ding” a kichi uhi. 
GEN.11.8	Huchi in 
GEN.11.9	Huaiziak in, a min Babel a chi uh; 
GEN.11.10	Hiai Shem suante ahi uh. Shem kum za a upa ahi a; tuichim tun nung kum nih nung in tapa Arpaksad a nei hi. 
GEN.11.11	Arpaksad a neih nung in Shem kum za nga a damlai a, tanu leh tapate a neilai hi. 
GEN.11.12	Arpaksad in kum sawmthum leh nga a hih in, tapa Shelah a nei hi. 
GEN.11.13	Shelah a neih nung in Arpaksad kum za li leh thum a damlai a, tanu leh tapate a neilai hi. 
GEN.11.14	Shelah in kum sawmthum a hih in tapa Eber a nei hi. 
GEN.11.15	Eber a neih nung in Shelah kum za li leh thum a damlai a, tanu leh tapate a neilai hi. 
GEN.11.16	Eber in kum sawmthum leh li a hih in, tapa Peleg a nei hi. 
GEN.11.17	Peleg a neih nung in Eber kum za li leh sawmthum a damlai a, tanu leh tapate a neilai hi. 
GEN.11.18	Peleg in kum sawmthum a hih in tapa Reu a nei hi. 
GEN.11.19	Reu a neih nung in Peleg kum za nih leh kua a damlai a, tanu leh tapate a neilai hi. 
GEN.11.20	Reu in kum sawmthum leh nih a hih in, tapa Serug a nei hi. 
GEN.11.21	Serug a neih nung in Reu kum za nih leh sagih a damlai a, tanu leh tapate a neilai hi. 
GEN.11.22	Serug in kum sawmthum a hih in, tapa Nahor a nei hi. 
GEN.11.23	Nahor a neih nung in Serug kum za nih a damlai a, tanu leh tapate a neilai hi. 
GEN.11.24	Nahor, kum sawmnih leh kua a hih in, tapa Terah a nei hi. 
GEN.11.25	Terah a neih nung in Nahor kum za leh sawmkua a damlai a, tanu leh tapate a neilai hi. 
GEN.11.26	Terah in kum sawmsagih a hih in tapate Abram, Nahor leh Haran a nei hi.
GEN.11.27	Hiaite Terah suante ahi uh: Terah in tapa Abram, Nahor leh Haran a nei a; Haran in tapa Lot a nei hi. 
GEN.11.28	Haran a pianna gam a, kaldaite khua Ur ah, a pa Terah ma in a si hi. 
GEN.11.29	Abram leh Nahor in zi a nei ua; Abram zi min Sarai ahi. Nahor zi min Haran tanu Milkah ahi. Haran, Milkah pa leh Iskah pa leng ahi. 
GEN.11.30	Sarai a ching a; ta himhim a neikei. 
GEN.11.31	Terah in a tapa Abram, a tapa, Haran tapa, Lot, a mou, a tapa Abram zi Sarai a pi a; Kanan a hoh ding in Kaldaite khua Ur a kipan a pawtkhe khawmta uhi. Haran khua a hongtung ua, huai ah a tengta uhi. 
GEN.11.32	Terah damsung kum za nih leh nga ahi a, Haran khua ah Terah a sita hi.
GEN.12.1	Huan, 
GEN.12.2	Chi thupi mahmah in k’on bawl dia, vual ka honzawl dia, na min ka hih thupi ding. Nang vualzawlna na hi ding.
GEN.12.3	Nang hon vualzawlte ka vualzawl dia,
GEN.12.3	hon hamsiat peuhmah ka hamsiat ding.
GEN.12.3	Nang ah lei a namchih vualzawl in
GEN.12.3	a om ding uh” a chi hi.
GEN.12.5	Abram in a zi Sarai leh a naupa tapa Lot leh, a thil kaihkhawm tengteng uh leh Haran khua a, a mi neih tengteng uh a pi a; Kanan gam a teng ding in a pawtta ua; Kanan gam a tungta uhi.
GEN.12.6	Abram huai gam a Sekem mun pha in, Moreh tosaw tan in, a pai zel hi. Huailai in, Kanante huai gam ah a teng uhi. 
GEN.12.7	 Abram kiang ah a kilak a, “Hiai gam na suante kiang ah ka pe ding” a chi hi. Huai ah a kiang a kilak 
GEN.12.8	Huai a kipan Bethel suahlam a tang ah a kisuan a, huai ah a puanin a kaita hi. A tumlam ah Bethel a om a, a suahlam ah Ai khua a om hi. Huai ah 
GEN.12.9	Abram sim gam lam zuan in a kisuan lai hi.
GEN.12.10	Huai gam ah kial a keta a; huai gam a nak kial mahmah ziak in, Abram Aigupta gam a omtadih ding in a paisukta hi. 
GEN.12.11	Hichi ahi a, Aigupta gam lut dia a kisaklai un, a zi Sarai kiang ah, “Ngai in, numei melhoih tak na hi, chih ka thei hi. 
GEN.12.12	Huchi in hichi ahi ding a, Aiguptate’n nang a honmuh chiang un, hiai a zi ahi, a chiding ua; kei a honthat ding ua, nang a honhawi ding uhi. 
GEN.12.13	Nang ziak a hoihtak a ka om theihna ding in leh nang vanga ka hin theihna ding in, a sanggamnu ka hi, hehpih in chi zel in” a chi hi. 
GEN.12.14	Hichi ahi a, Aigupta a Abram a lut leh, Aiguptate’n numei a mu ua, a melhoih a sa mahmah uh. 
GEN.12.15	Pharo miliante’n leng a mu ua, Pharo kiang ah a hoih dan a gen uh. Huchi in, numei Pharo inn ah a pi lutta uh. 
GEN.12.16	Aman Sarai ziak in Abram hoihtak in a hih a; belamte, bawngte, sabengtungpate, sikhapate, sikhanute, sabengtungnute leh sangawngsaute a neih lohta hi. 
GEN.12.17	 Abram zi Sarai ziak in Pharo leh a inkuante tung ah hipi khawktak a tung sak hi.
GEN.12.18	Pharo in Abram a sam a, “Ka tung a na thilhih bangchidan a mai a? Na zi ahi chih bangdia honhilh lou na hia? Ka sanggamnu ahi, bangdia chi na hia? 
GEN.12.19	Huaiziak a kei maw, ka zi dia ka na neih hial, huaiziak in, tu’n en in, na zi, pi inla, paimang in,” a chi hi. 
GEN.12.20	Pharo in a tungthu ah mi kiang ah thu a pia a, amah a va khat a ua, a zi toh, a neih tengteng toh.
GEN.13.1	Abram Aigupta gam a kipan a pawt a, simlam ah a pai tou hi; a kiang ah a zi, a neih tengteng leh Lot leng a paitou hi. 
GEN.13.2	Abram gante, dangkate leh dangkaengte in a hausa mahmah hi. 
GEN.13.3	Simlam a kipan Bethel tan a pai zel a, Bethel leh Ai khua kikal a tung hi, a tung a a puanin a omna mun ah. 
GEN.13.4	A tung a, maitam a dohna mah ah Abram in 
GEN.13.5	Lot, Abram kiang a pai sam in, belamhonte, bawnghonte leh puaninte a nei hi.
GEN.13.6	A omkhawmna ding un gam a kichingta kei a; a van neih uh a tam mahmah hi. A omkhawm thei nawn kei uhi. 
GEN.13.7	Abram ganpute leh Lot ganpute kikal ah kiselna a hong pawtta a; huailai in Kanante leh Perizte huai gam ah a teng uhi.
GEN.13.8	Abram in Lot kiang ah, “Hehpih in, nang leh kei kikal ah, na ganpute leh ka ganpute kikal ah leng kiselna omkei hen; unau i hi uhi,” a chi hi. 
GEN.13.9	“Gam pumpi na ma ah a om ka hia? Hehpih in ka kiang a kipan tuam om mai in. Nang veilam a na pai leh, kei taklam ah ka pai ding. Ahihkeileh, nang taklam a na pai leh, kei veilam ah ka pai ding” a chi hi.
GEN.13.10	Lot a dak a, Zoar kholam zuan in, Jordan phaizang tengteng, 
GEN.13.11	Lot in Jordan phaizang tengteng a telta hi. Lot suahlam ah a kisuan a; a kikhenta uhi. 
GEN.13.12	Abram Kanan gam ah a teng a, Lot phaizang khuate ah a teng a, Sodom khua pha in a puanin a kai hi. 
GEN.13.13	Sodom mite Pathian mitmuh in nakpitak a hoihlou leh khial in a om uhi.
GEN.13.14	A kiang a kipan Lot a om tuam nung in, 
GEN.13.15	Na gam muh tengteng na kiang ah leh na suante kiang ah tangtawn a ding in k’on pe ding. 
GEN.13.16	Na suante lei a leivui bang in ka bawl ding. Mi’n lei a leivui a sim seng uh leh, na suante leng sim seng ahi ding uh. 
GEN.13.17	Thou inla, gam dung leh vai palsuak in; na kiang a honpe ding ka hi” a chi hi. 
GEN.13.18	Abram in a puanin a suan a, Hebron a om Mamre tawsaw kiang ah a tengta a, huai ah 
GEN.14.1	Huan, Sinar khaw kumpipa Amraphel, Ellasar khaw kumpipa Ariok, Elam khaw kumpipa Kedorla-omer, Goiim khaw kumpipa Tidal damlai in hichi ahi a; 
GEN.14.2	Amau Sodom khaw kumpipa Bera a sim uh. Gomorrah khaw kumpipa Birsa, Admah khaw kumpipa Sinab, Zeboiim khaw kumpipa Semeber, Bela khaw kumpipa leng a sim uhi, huai Zoar ahi. 
GEN.14.3	Hiai tengteng Siddim guam ah a pang uh, huai guam Chi Tuipi ahi. 
GEN.14.4	Kum sawmlehnih sung Kedorla-omer nuai ah a na om ua, a kum sawm leh thumna in a helta uhi. 
GEN.14.5	A kum sawmlehlina ah Kedorla-omer leh a kiang a kumpipa omte a hong ua, Asteroth-karnaim khua ah Rephaimte a that ua, Ham khua ah Zuzimte a that ua, Kariathaim phaizang ah Emimte a that uhi. 
GEN.14.6	A omna Seir tang ah Elparan pha in, Horte a that uhi, Elparan gamdai zul a om ahi. 
GEN.14.7	A kiknawn ua, Enmishpat a tung ua, huai Kadesh ahita, Amalekte gam a mi teng leh Amorte, Hazezon tamar khua a tengte leng a that nawn uhi.
GEN.14.8	Sodom khaw kumpipa, Gomorrah khaw kumpipa, Admah khaw kumpipa, Zeboiim khaw kumpipa leh Bela khaw kumpipa a pawt ua, Bela khua Zoar khua ahita, Siddim guam ah amau sual ding in a pangta uhi. 
GEN.14.9	Elam khaw kumpipa Kedorla-omer, Goiim khaw kumpipa Tidal, Shinar khaw kumpipa Amraphel te, Ellasar khaw kumpipa Ariok sual ding in, Kumpipa li in kumpipa nga a sual uhi. 
GEN.14.10	Siddim guam longnai khuk in a dim a; Sodom leh Gomorrah khaw kumpipate a taikek ua, huai ah a kia ua, a keloute tang ah a tai touta uh.
GEN.14.11	Sodom leh Gomorrah mite sum tengteng leh a nekding tengteng uh a la ua, a paita uhi. 
GEN.14.12	Lot, Abram unau tapa, Sodom khua a om, a neih teng toh a la ua, a paita uhi.
GEN.14.13	Mi khat hong taikhia a hongpai a, Hebru mi Abram a hilh a; amah Amormi Mamre tawsaw kiang ah a teng hi. Mamre Eskol unau leh Aner unau ahi a; huai mite Abram toh pangkhawm ahi uh. 
GEN.14.14	Abram in unaupa sal in a pi uh, chih a zaktak in, a inn a piang, aman a chilsiamsa mi za thum leh sawmlehgiat a pikhia a, Dan khua pha in a delhta hi. 
GEN.14.15	Zan in amau sual ding in amah leh a sikhate a ki hawmzak ua, a that ua Hobah pha in a delh uhi. Hobah bel Damaska mallam ah a om hi. 
GEN.14.16	Thil tengteng a honla kiknawn vek a, a unaupa Lot leh a neih tengteng a honla kiknawn vek a, numeite leng a hon pinawn a, midang tengteng toh.
GEN.14.17	Kedorla-omer leh a kiang a om kumpipate that khin, a paikik in Sodom kumpipa Shave guam ah, Abram dawn ding in a hohsuk hi. Shave guam kumpipa guam ahita. 
GEN.14.18	Salem khaw kumpipa Melkizedek in tanghou leh uain a hontawi a; amah Pathian Tungnungpen siampu ahi. 
GEN.14.19	Aman Abram a vualzawl a; “Lei leh van neipa, Pathian Tungnungpen Abram vualzawl in om hen. 
GEN.14.20	Na melmate na khut a hon pepa, Pathian Tungnungpen, phat in om hen” a chi hi. Abram in amah bangkim a sawm a khat a pia hi.
GEN.14.21	Sodom khaw kumpipa’n Abram kiang ah, “Mite honpia inla, thilte nang kineih in” a chi hi.
GEN.14.22	Abram in Sodom kumpipa kiang ah, “Lei leh van neipa, 
GEN.14.23	Khauzang khat lel leng, khedap khau khat lel leng, na neih himhim ka lakei ding, huchilou in zaw, Abram, kei hauhsak sak ahi, na chikha ding” a chi hi. 
GEN.14.24	“Tangvalte nekmang leh ka mi paipihte tantuan kia louzaw ka lakei ding, Aner, Eskol leh Mamrete’n a tantuan uh la uhen” a chi hi.
GEN.15.1	Huai thilte nung in, “Abram, lau ken, kei na phaw leh na kipahman thupitak ka hi” chi’n, 
GEN.15.2	Abram in, “Aw, 
GEN.15.3	Abram mah in, “Ngai in, chi lah n’on suahsak kei a; en in, ka inn a piang ka gouluah ding ahi” a chi hi.
GEN.15.4	“Ngai in, huai mi na gouluah ding ahi kei. Nangmah gil a hong gah ding ngei, na gouluah ahizaw ding” chi’n, 
GEN.15.5	Amah inn pua ah a pikhia a, “Vanlam en inla, aksite na sim theih leh sim him in” a chi hi. Amahmah in a kiang ah, “Na suante huchibang ahi ding uh” a chi hi.
GEN.15.6	Aman 
GEN.15.7	A kiang ah, “Hiai gam na luah ding a honpe dia Kaldaite khua Ur a kipan hon pikhia 
GEN.15.8	Aman “
GEN.15.9	Aman, a kiang ah, “Bawngla kum thum a upa, kelpi kum thum a upa, vakhu leh vapal nou honla in” a chi hi. 
GEN.15.10	Huai teng a honla a, a laitak ah a phelkhap chiat a, a phel khat, a phel khatlam doh in a koih chiat a; vasate bel a phelkhap kei hi. 
GEN.15.11	Sasialne vasate saluangte tung a a tuk chiang un Abram in a hawlkhe zel hi.
GEN.15.12	Nitum dia a kisak sialsial lai in, Abram a ihmu hithit hi. Ngai in, a mial a mial, thil mulkimhuai petmah in amah a honkhuh hi. 
GEN.15.13	Hiai thilte nung in Pathian in Abram kiang ah, “Na suante amau gam hilou ah mikhual in a om ding ua, a na uh a sepsak ding uh, chih teltak in thei in. Kum za li sung hih gentheih in a om ding uhi. 
GEN.15.14	A nna uh a sepsak nam uh ka vaihawm khum ding. Huaikhit chiang in thil tampi nei in a hong paikhe ding uhi. 
GEN.15.15	Nang na pipute kiang ah lungmuangtakin na pai ding a; na lu a kelsam pouvek in a honvui ding uhi. 
GEN.15.16	Himahleh, suan lina ah hiai ah a hongpai nawn ding uh. Amorte khelhnate lah a kim nai ngalkei a” a chi hi.
GEN.15.17	Hichi ahi a, nitum a, khua a hong mial in, ngai in, halzulna meikhu lunglung leh meisel kuang luahluah huai sa kiphelkhapte kal a paipai a hongom hi. 
GEN.15.18	Huai ni’n 
GEN.15.19	Kente, Kenizte, Kadmonte, 
GEN.15.20	Hitte, Perizte, Rephaimte, 
GEN.15.21	Amorte, Kanante, Girgahte leh Jebuste toh leng ka pelai hi, chi in Abram toh thu a khungta hi.
GEN.16.1	Huan, Abram zi Sarai in ta himhim a neihsak kei hi. Sarai in Aigupta mi sikhanu khat a nei a, a min Hagar ahi. 
GEN.16.2	Sarai in Abram kiang ah, “Ngai dih ve, 
GEN.16.3	Abram zi Sarai in Abram Kanan gam a kum sawm a om nung in, a sikhanu Aigupta mi a pi a, a pasal Abram kiang ah a zi ding in a pia hi. 
GEN.16.4	Hagar a luppih a; a gaita hi. A gai chih a kitheihtak in, a pi a simmawh maimah hi.
GEN.16.5	Sarai in Abram kiang ah, “Ka thil thuak mawh nang pua in. Ka sikhanu na kawi ding in k’on pia a; a gai chih a kitheihtak in, a hon simmawh maimah hi. 
GEN.16.6	Abram in Sarai kiang ah, “Ngai in, na sikhanu na khut a om ahi, nang pha na saksak a tung ah hih in,” a chi hi. Sarai in a hih gentheih mahmah tak in a taimangsanta hi.
GEN.16.8	A kiang ah, “Hagar, Sarai sikhanu aw, koi apan hongpai na hia, koi a hoh dia kisa na hia?” a chi hi. Aman, “Ka pi Sarai kiang a kipan taimang ka hi” a chi hi.
GEN.16.10	 angel in, a kiang ah, “Na suante simsenglouh khop hial a tam in ka pungsak ding” a chi nawn hi. 
GEN.16.11	 angel mah in, a kiang ah, “Ngai in, nau na paita, tapa na nei ding a; 
GEN.16.12	Amah gam sabiltung bang ahi ding a; michih a dou ding a, michih in leng amah a dou ding uh. A unaute a kipan a tuamten ding” a chi nawn hi.
GEN.16.13	Hagar in amah houpih 
GEN.16.14	Huaiziak in huai tuikhuk Beer-lahai-roi sak ahita. Ngai in, Kadesh leh Bered khaw kikal ah a om hi.
GEN.16.15	Hagar in Abram tapa a neihsak a; Abram in a tapa, Hagar in a neihsak min Ishmael a sata hi. 
GEN.16.16	Hagar in Abram adia Ishmael a neihsak lai in Abram kum sawmgiat leh guk a upa ahi.
GEN.17.1	Abram kum sawmkua leh kua a upa a hih in, 
GEN.17.2	Nang toh kikal ah thu ka khung dia, nakpitak in k’on pungsak ding” a chi hi. 
GEN.17.3	Abram a khupboh a; Pathian in amah a houpih hi. 
GEN.17.4	“Ngai in, ken zaw, ka thukhun na kiang ah ahi, ka khun, chi tampite Pa na hita ding. 
GEN.17.5	Na min leng Abram ahi nawnta kei dia, na min Abraham ahi zawta ding; chi tampite Pa dia k’on bawltak ziak in. 
GEN.17.6	Nakpitak in k’on chipha sak ding a, nang ah chichihte ka bawl ding a, nang a kipan kumpipate a hong omkhe ding uh.
GEN.17.7	Kei leh nang leh na suante, suan sawnsawnte tan in leng ka thukhun nang ading leh nanung a na suante ading a, a Pathian uh hi ding in, tangtawn thukhun ding in ka hihkip ding hi. 
GEN.17.8	Na kiang ah leh nanung a na suante kiang ah mikhual na hihna gam, Kanan gam tengteng, tangtawn gou ding un k’on pe ding, Kei, a Pathian uh ka hi ding” a chi hi.
GEN.17.9	Pathian mah in Abraham kiang ah, “Nang ka thukhun na zui ding ahi. Na nung a na suante suan sawnsawnte tan in leng a zui ding uhi. 
GEN.17.10	Hiai kei leh nang leh na suante kal a ka thukhun na zuih ding uh ahi. Na lak ua pasal peuhmah zeksum ding ahi. 
GEN.17.11	Na zekvun sa uh zeksum in na om ding uhi. Huai nang toh i kal a thukhun chiamtehna ahi ding hi. 
GEN.17.12	Na lak ua kuapeuh ni giat a upa, na suan sawnsawn tan un leng, na suan hi chitchiat lou leng na inn a piang hiam, mikhual kuapeuh a kipan dangka sum a na lei hiam leng, pasal peuhmah zeksum ding ahi. 
GEN.17.13	Na inn a piang leh na dangka sum a na leite leng zeksum ngeingei ding ahi. Ka thukhun tangtawn thukhun ding in na sa ah a omta ding hi. 
GEN.17.14	Pasal zeksumlouh leh a zekvun sa a zeksum a omlou, a chipihte lak a kipan satkhiat ahi ding; aman ka thukhun hihsia ahi” a chi nawn hi.
GEN.17.15	Pathian mah in, Abraham kiang ah, “Na zi Sarai, a min Sarai na chi nawnta kei dia, a min Sarah ahi zawta ding. 
GEN.17.16	Amah ka vualzawl ding a, huai lou leng amah ah tapa k’on pe ding. Ahi, amah ka vualzawl ding a, Namte Nu ahita ding. Nam tuamtuam kumpipate amah a kipan a hongom ding” a chi hi. 
GEN.17.17	Abraham a khupboh a, a nuia, a lungsim in mi kum za a upa in ta a neiding maw? Sarah kum sawmkua a upain ta a neiding maw? a chi hi. 
GEN.17.18	Abraham mah in, Pathian kiang ah, Ishmael na ma ah omthei leh aw, a chi hi.
GEN.17.19	Pathian in, “Hilou e, na zi Sarah in tapa a hon neihsak taktak ding; a min Isak na sak ding ahi. Ka thukhun, a nung a, a suante ading in tangtawn thukhun ding in a kiang ah ka hihkip ding. 
GEN.17.20	Ishmael tungthu leng k’on ngaihkhiak sak hi. Ngai in, amah ka vualzawlta a, chi tampi ka suangsak ding hi. Nakpitak in leng ka pungsak ding a, aman kumpipa sawmlehnih a suang ding a, amah chi thupitak in ka bawl ding hi. 
