GEN.1.1	Sa ginsugoran gintuga sang Dios ang kalangitan kag ang duta.
GEN.10.6	Ang mga anak nga lalaki ni Ham amo sanday Cus, Ehipto, Put kag Canaan. Ang ila mga kaliwat nagdala sang ila mga ngalan. 
GEN.10.7	Ang mga kaliwat ni Cus amo ang mga tawo sang Seba, Havila, Sabta, Raama, kag Sabteca. Ang mga kaliwat ni Raama amo ang mga tawo sang Seba kag Dedan. 
GEN.10.8	Si Cus may anak nga lalaki nga ginhingalanan kay Nimrod, nga amo ang nahauna nga mandadaog sa kalibutan. 
GEN.10.9	Sa bulig sang 
GEN.10.10	Ang nahauna niya nga ginharian nagsakop sang Babel, Erec, kag Akad. Ini tanan lunsay sa duta sang Babilonia. 
GEN.10.11	Halin sa sadto nga duta nagkadto sia sa Asiria kag nagpatindog sang mga siudad sang Ninive, Rehobot-ir, Cala, 
GEN.10.12	kag Rezin, nga yara sa gintung-an sang Ninive kag sang daku nga siudad sang Cala.
GEN.10.13	Ang mga kaliwat ni Ehipto amo ang mga tawo sang Lud, Anam, Lehab, Naftu, 
GEN.10.14	Patru, Caslu, kag Creta nga amo ang ginhalinan sang mga Filistinhon.
GEN.10.15	Ang mga anak ni Canaan amo sanday Sidon kag si Het. Ang ila mga kaliwat nagdala sang ila mga ngalan. 
GEN.10.16	Si Canaan amo man ang ginhalinan sang mga Jebusnon, Amornon, Girgasanhon, 
GEN.10.17	Hevhanon, Arquinhon, Sinhanon, 
GEN.10.18	Arvadnon, Zemarnon, kag Hamatnon. Sang ulihi ang nagkalainlain nga mga tribo sang Canaanhon naglapta, 
GEN.10.19	kag ang ila dulonan halin sa Sidon naglambot sa bagatnan sa Gerar tubtob sa Gaza, sa sidlangan sa Sodoma, Gomorra, Adma, kag Zeboim nga malapit sa Lasa. 
GEN.10.20	Amo ini sila ang mga kaliwat ni Ham nga nagaestar sa nagkalainlain nga mga tribo kag mga pungsod, kag ang tagsa ka grupo may kaugalingon nga linggwahe.
GEN.10.21	Si Sem, ang magulang nga utod ni Jafet, amo ang ginhalinan sang tanan nga mga Hebreo. 
GEN.10.22	Ang mga anak nga lalaki ni Sem amo sanday Elam, Asur, Arfaxad, Lud kag Aram. Ang ila mga kaliwat nagdala sang ila mga ngalan. 
GEN.10.23	Ang mga kaliwat ni Aram amo ang mga tawo sang Uz, Hul, Geter, kag Mesec. 
GEN.10.24	Si Arfaxad amay ni Sela kag si Sela amay ni Eber. 
GEN.10.25	Si Eber may duha ka mga anak nga lalaki: ang isa ginhingalanan kay Peleg,
GEN.10.26	Ang mga kaliwat ni Joctan amo ang mga tawo sang Almodad, Selef, Hazarmavet, Jera, 
GEN.10.27	Hadoram, Uzal, Dicla, 
GEN.10.28	Obal, Abimael, Seba, 
GEN.10.29	Ofir, Havila, kag Jobab. Ini sila tanan naghalin kay Joctan. 
GEN.10.30	Nag-estar sila sa duta halin sa Mesa pakadto sa Sefer tubtob sa mga bukid sa sidlangan. 
GEN.10.31	Amo ini sila ang mga kaliwat ni Sem nga nag-estar sa nagkalainlain nga mga tribo kag mga pungsod, kag ang tagsa ka grupo may kaugalingon nga linggwahe.
GEN.10.32	Ini tanan nga mga tawo ang mga kaliwat ni Noe, suno sa ila mga nagkalainlain nga linahi kag mga pungsod. Sa tapos ang anaw ang tanan nga mga pungsod sang kalibutan naghalin sa sini nga mga anak ni Noe.
GEN.11.1	Sang una, ang mga tawo sa bug-os nga kalibutan may isa lang ka linggwahe kag pareho nga mga pulong ang ila ginagamit. 
GEN.11.2	Samtang nagapakadto sila sa sidlangan, nakalambot sila sa patag sang duta sang Babilonia kag nag-estar sila didto. 
GEN.11.3	Dayon nagsiling sila sa isa kag isa, “Dali kamo, mahimo kita sing mga tisa kag aton ini patig-ahon sa hornohan.” Gani may tisa sila nga inugpatindog, kag aspalto sa pagpatapik sang mga tisa. 
GEN.11.4	Dayon nagsiling sila, “Dali, mahimo kita sing isa ka siudad nga may tore nga nagalambot sa langit, agod manginbantog kita kag indi kita maglapta sa bug-os nga duta.”
GEN.11.5	Karon ang 
GEN.11.6	Kag nagsiling sia, “Karon, ini nga mga tawo may pag-isa kag isa lang ang ila linggwahe. Pamuno pa lang ini sang ila pagahimuon. Sa indi madugay magahimo sila sang bisan ano nga luyag nila! 
GEN.11.7	Dali, manaog kita kag tublagon ta ang ila panghambal agod nga indi sila mag-intiendihanay.” 
GEN.11.8	Gani ginpaalaplaag sila sang 
GEN.11.9	Ang siudad gintawag Babilonia,
GEN.11.10	Amo ini ang mga kaliwat ni Sem. Duha ka tuig sa tapos sang anaw, sang si Sem nagaedad sing 100 ka tuig, natawo ang iya anak nga lalaki nga si Arfaxad. 
GEN.11.11	Sa tapos sini, nagkabuhi sia sing 500 pa ka tuig kag may iban pa sia nga mga kabataan.
GEN.11.12	Sang si Arfaxad nagaedad na sing trayntay singko ka tuig, natawo ang iya anak nga lalaki nga si Sela. 
GEN.11.13	Sa tapos sini, nagkabuhi sia sing 403 pa ka tuig kag may iban pa sia nga mga kabataan.
GEN.11.14	Sang si Sela nagaedad na sing traynta ka tuig, natawo ang iya anak nga lalaki nga si Eber. 
GEN.11.15	Sa tapos sini, nagkabuhi sia sing 403 pa ka tuig kag may iban pa sia nga mga kabataan.
GEN.11.16	Sang si Eber nagaedad sing trayntay kwatro ka tuig, natawo ang iya anak nga lalaki nga si Peleg. 
GEN.11.17	Sa tapos sini, nagkabuhi sia sing 430 pa ka tuig kag may iban pa sia nga mga kabataan.
GEN.11.18	Sang si Peleg nagaedad sing traynta ka tuig, natawo ang iya anak nga lalaki nga si Reu. 
GEN.11.19	Sa tapos sini, nagkabuhi sia sing 209 pa ka tuig kag may iban pa sia nga mga kabataan.
GEN.11.20	Sang si Reu nagaedad sing trayntay dos ka tuig, natawo ang iya anak nga lalaki nga si Serug. 
GEN.11.21	Sa tapos sini, nagkabuhi sia sing 207 pa ka tuig kag may iban pa sia nga mga kabataan.
GEN.11.22	Sang si Serug nagaedad sing traynta ka tuig, natawo ang iya anak nga lalaki nga si Nahor. 
GEN.11.23	Sa tapos sini, nagkabuhi sia sing 200 pa ka tuig kag may iban pa sia nga mga kabataan.
GEN.11.24	Sang si Nahor nagaedad sing baynte nwebe ka tuig, natawo ang iya anak nga lalaki nga si Tera. 
GEN.11.25	Sa tapos sini, nagkabuhi sia sing 119 pa ka tuig kag may iban pa sia nga mga kabataan.
GEN.11.26	Sa tapos makaedad si Tera sing setenta ka tuig, natawo ang iya mga anak nga amo sanday Abram, Nahor, kag Haran.
GEN.11.27	Amo ini ang mga kaliwat ni Tera. Si Tera amay nanday Abram, Nahor, kag Haran. Si Haran amay ni Lot. 
GEN.11.28	Si Haran napatay sa iya kaugalingon nga banwa sang Ur sakop sang Babilonia sang buhi pa ang iya amay. 
GEN.11.29	Si Abram nagpangasawa kay Sarai, kag si Nahor nagpangasawa kay Milca, ang bata nga babayi ni Haran nga amay man ni Isca. 
GEN.11.30	Si Sarai wala makapamata.
GEN.11.31	Gindala ni Tera ang iya anak nga lalaki nga si Abram, ang iya apo nga lalaki nga si Lot nga anak nga lalaki ni Haran, kag ang iya umagad nga babayi nga si Sarai, nga asawa ni Abram, kag naghalin sila sa siudad sang Ur sang Babilonia sa pagkadto sa duta sang Canaan. Naglakat sila tubtob sa Haran kag didto nag-estar sila. 
GEN.11.32	Didto napatay si Tera sang nagaedad sia sang 205) ka tuig.
GEN.12.1	Karon
GEN.12.2	Hatagan ko ikaw sing madamo nga mga kaliwat kag mangin-isa sila ka daku nga pungsod. Bendisyunan ko ikaw kag himuon ko nga manginbantog ang imo ngalan, agod nga paagi sa imo madamo ang makabaton sing mga kaayuhan.
GEN.12.3	Pakamaayuhon
GEN.12.3	pero pakamalauton ko ang mga nagapakamalaut sa imo.
GEN.12.3	Ang tanan nga mga pungsod sa duta magapangayo sa akon nga pakamaayuhon ko subong sang akon pagpakamaayo sa imo.”
GEN.12.4	Sang si Abram nagaedad sing setentay singko ka tuig, naghalin sia sa Haran, suno sa ginsiling sang 
GEN.12.5	Gindala ni Abram ang iya asawa nga si Sarai, ang iya hinablos nga si Lot, ang tanan nga manggad kag ang tanan nga mga ulipon nga ila nakuha sa Haran, kag naglakat sila pakadto sa duta sang Canaan.
GEN.12.5	Sang pag-abot nila sa Canaan, 
GEN.12.6	si Abram naglatas sa duta tubtob nakalambot sia sa balaan nga kahoy sang More sa balaan nga lugar sa Siquem. Sa sadto nga panahon ang mga Canaanhon nagaestar pa sa sadto nga duta. 
GEN.12.7	Ang
GEN.12.8	Sa tapos sini, nagsaylo sia sa bagatnan didto sa bukid sa sidlangan sang siudad sang Betel kag didto nagpatindog sia sang iya tolda sa gintung-an sang Betel kag Ay. Ang Betel sa nakatundan kag ang Ay sa sidlangan. Didto naghimo man sia sang altar kag nagsimba sa 
GEN.12.9	Sang ulihi si Abram nagpadayon sa pagpanglakaton pakadto sa bagatnan sang Canaan.
GEN.12.10	Karon may tiggulotom sa Canaan. Tungod kay tama gid ang tiggulotom, si Abram nagpabagatnan pa gid tubtob sa Ehipto, sa pag-estar didto sa malip-ot nga tion. 
GEN.12.11	Sang nagahinampot na sila sa dulonan pakadto sa Ehipto, nagsiling si Abram sa iya asawa, “Sarai, matahom ikaw nga babayi. 
GEN.12.12	Kon makita ikaw sang mga Ehiptohanon magasiling sila, ‘Asawa sia ni Abram,’ kag pagapatyon nila ako kag tugotan ka nga mabuhi. 
GEN.12.13	Maayo
GEN.12.14	Sang makaabot na sila sa Ehipto, nakita matuod sang mga Ehiptohanon nga ang iya asawa matahom. 
GEN.12.15	May mga opisyales sang hari nga nakakita sa iya kag ginsugiran nila ang hari kon daw ano katahom sa iya, gani gindala sia sa palasyo sang hari. 
GEN.12.16	Tungod kay Sarai, gin-ayuhan sang hari si Abram kag ginhatagan sia sing mga karnero kag mga kanding, mga baka, mga asno, mga ulipon kag mga kamelyo.
GEN.12.17	Pero tungod kay ginkuha sang hari si Sarai, ang 
GEN.12.18	Gani ginpatawag sang hari si Abram kag ginpamangkot, “Ano ining ginhimo mo sa akon? Ngaa wala ka magsiling sa akon nga asawa mo sia? 
GEN.12.19	Ngaa nagsiling ka nga utod mo sia kag gintugotan mo nga kuhaon ko sia subong akon asawa? Yari ang imo asawa! Kuhaa sia kag maghalin kamo diri!” 
GEN.12.20	Ang hari nagmando sa iya mga tinawo nga kuhaon si Abram, gani ginkuha nila si Abram kag ginpahalin sia sa sadto nga duta upod sang iya asawa kag sang tanan nila nga mga pagkabutang.
GEN.13.1	Halin sa Ehipto si Abram nagpaaminhan padulong sa bagatnan nga bahin sang Canaan, upod sang iya asawa kag sang tanan nila nga mga pagkabutang. Si Lot nag-upod man sa iya. 
GEN.13.2	Si Abram manggaranon kaayo. May mga karnero sia, mga kanding, mga baka, kag subong man mga pilak kag mga bulawan. 
GEN.13.3	Nagpanglakaton sia halin sa isa ka lugar pakadto sa isa padulong sa Betel, sa lugar nga iya man anay ginpatindugan sang iya tolda sa gintung-an sang Betel kag Ay, 
GEN.13.4	sa diin sia man anay naghimo sing altar, kag didto nagsimba sia sa 
GEN.13.5	Si Lot nga nag-upod kay Abram may mga karnero man, mga kanding, kag mga baka kag may iya man kaugalingon nga panimalay kag mga suloguon. 
GEN.13.6	Tungod kay sila nga duha may madamo gid nga mga kasapatan indi sila makapadayon sa pag-estar sing tingob kay ang palahalban indi makaigo sa ila. 
GEN.13.7	Gani ang mga tinawo ni Abram kag ni Lot nga nagaatipan sang ila mga kasapatan nagailinaway. Sa sadto nga tion ang mga Canaanhon kag mga Peresnon nagaestar pa sa sadto nga duta.
GEN.13.8	Gani si Abram nagsiling kay Lot, “Hinablos ko ikaw, kag indi dapat nga mag-ilinaway ang aton mga tinawo. 
GEN.13.9	Kinahanglan magbulagay kita. Pilia ang bisan diin nga bahin sang duta nga imo naluyagan. Kon mapatuo ka, mapawala ako, kag kon mapawala ka, mapatuo ako.”
GEN.13.10	Si
GEN.13.11	Gani si Lot nagpili para sa iya kaugalingon sang bug-os nga Kapatagan sang Jordan, kag nagpasidlangan sia. Amo ini ang ila pagbulagay. 
GEN.13.12	Si Abram nagpabilin sa duta sang Canaan, samtang si Lot nag-estar sa mga siudad sang kapatagan kag nagpatindog sang iya mga tolda malapit sa Sodoma, 
GEN.13.13	nga ang mga tawo sini malaut kag nagpakasala batok sa 
GEN.13.14	Sang nakahalin na si Lot, ang 
GEN.13.15	Ihatag
GEN.13.16	Hatagan ko ikaw sing madamo nga mga kaliwat, nga wala sing may makaisip sa ila tanan, subong nga wala sing may makaisip sang yab-ok sa duta. 
GEN.13.17	Karon lakat ka kag latasa ang bug-os nga duta, tungod kay ihatag ko ini tanan sa imo.” 
GEN.13.18	Gani ginhalin ni Abram ang iya mga tolda kag nag-estar sia malapit sa balaan nga mga kahoy ni Mamre sa Hebron, kag didto naghimo sia sing altar para sa 
GEN.14.1	Ang apat ka mga hari nga amo sanday Amrafel nga hari sang Babilonia, Arioc nga hari sang Elasar, Kedorlaomer nga hari sang Elam, kag Tidal nga hari sang Goim 
GEN.14.2	nagpakig-away batok sa lima ka mga hari nga amo sanday Bera nga hari sang Sodoma, Birsa nga hari sang Gomorra, Sinab nga hari sang Adma, Semeber nga hari sang Zeboim, kag sa hari sang Bela (ukon Zoar). 
GEN.14.3	Ining lima ka mga hari nagdampiganay kag nagtingob sang ila kusog sa nalupyakan sang Sidim nga amo karon ang Patay nga Dagat. 
GEN.14.4	Gingamhan sila ni Kedorlaomer sa sulod sang dose ka tuig, pero sang ika-13 ka tuig nagbato sila sa iya. 
GEN.14.5	Sang ika-14 ka tuig si Kedorlaomer kag ang iya mga kadampig nag-abot nga may mga soldado kag gindaog nila ang mga Refaimnon sa Astarot Karnaim, ang mga Zuzimnon sa Ham, ang mga Emimnon sa kapatagan sang Kiryataim, 
GEN.14.6	kag ang mga Horhanon sa kabukiran sang Edom tubtob sa Elparan, nga yara sa higad sang desierto. 
GEN.14.7	Sang ulihi nagbalik sila sa Kades nga ginatawag sadto nga Enmispat, kag gin-agaw nila ang tanan nga kadutaan sang mga Amaleknon, kag ginlutos nila ang mga Amornon nga nag-estar sa Hasason Tamar.
GEN.14.8	Dayon ang mga hari sang Sodoma, Gomorra, Adma, Zeboim, kag Bela nagtipon sang ila mga soldado para sa inaway sa nalupyakan sang Sidim kag nagpakig-away sila 
GEN.14.9	batok kay Kedorlaomer nga hari sang Elam, kay Tidal nga hari sang Goim, kay Amrafel nga hari sang Babilonia, kag kay Arioc nga hari sang Elasar, lima ka mga hari batok sa apat. 
GEN.14.10	Karon ang nalupyakan sang Sidim may madamo nga buho nga may aspalto, kag sang magpalagyo sa inaway ang mga hari sang Sodoma kag Gomorra, nadagdag sila sa sini nga mga buho. Ang tatlo ka mga hari nagpalagyo pakadto sa kabukiran. 
GEN.14.11	Ang apat ka mga hari nagkuha sang tanan nga makuha nila sa Sodoma kag Gomorra, lakip ang mga kalan-on, kag naglakat sila. 
GEN.14.12	Gindala man nila si Lot kag ang iya tanan nga mga pagkabutang tungod kay nagaestar sia sa Sodoma.
GEN.14.13	Pero may isa ka tawo nga nakapalagyo kag nagpanugid kay Abram nga Hebreo nahanungod sining natabo. Si Abram nagaestar sadto malapit sa balaan nga mga kahoy ni Mamre nga Amornon nga utod ni Escol kag ni Aner. Ini sila mga kadampig ni Abram. 
GEN.14.14	Sang pagkabati ni Abram nga ang iya hinablos ginbihag, gintawag niya sing tingob ang tanan nga mga hangaway sa iya kampo nga may kadamuon nga 318, kag ginlagas nila ang apat ka mga hari tubtob sa Dan. 
GEN.14.15	Didto gintunga niya ang iya mga tinawo sa duha ka grupo, kag sang gab-i, ginsalakay nila ang mga kaaway kag ginlutos nila sila. Ginlagas nila sila tubtob sa Hoba, sa aminhan sang Damasco, 
GEN.14.16	kag nabawi nila ang tanan nga mga pagkabutang nga inagaw. Gindala man niya pabalik ang iya hinablos nga si Lot kag ang iya tanan nga mga pagkabutang, upod ang mga babayi kag ang iban nga mga binilanggo.
GEN.14.17	Sang pagbalik ni Abram sa iya pagdaog kay Kedorlaomer kag sa iban pa nga mga hari, ang hari sang Sodoma nagsugata sa iya sa Kapatagan sang Save (nga ginatawag man nga Kapatagan sang Hari). 
GEN.14.18	Kag
GEN.14.19	kag ginbendisyunan niya sia kag nagsiling, “Kabay nga ang Labing Mataas nga Dios nga naghimo sang langit kag duta magbendisyon kay Abram! 
GEN.14.20	Kabay nga pagdayawon ang Labing Mataas nga Dios nga nagpadaog sa imo batok sa imo mga kaaway!” Kag si Abram naghatag sa iya sang ikapulo nga bahin sang tanan nga iya nabawi.
GEN.14.21	Karon, ang hari sang Sodoma nagsiling kay Abram, “Imo na lang ang mga butang nga napanguha mo, pero iuli sa akon ang tanan ko nga mga tinawo.”
GEN.14.22	Si Abram nagsabat, “Ginasumpa ko sa presensya sang 
GEN.14.23	nga indi ako magkuha sing bisan ano sang imo pagkabutang, indi ako magkuha bisan hilo lang ukon higot sang sandalyas, agod nga indi ka makasiling nga ikaw ang nagpamanggad sa akon. 
GEN.14.24	Indi ako magkuha bisan ano para sa akon kaugalingon. Ang akon lamang batunon amo ang gingamit na sang akon mga tinawo. Pero tugoti nga ang akon mga kadampig nga amo sanday Aner, Escol, kag Mamre magkuha sang ila parti.”
GEN.15.1	Sa tapos sini, si Abram may isa ka palanan-awon kag nabatian niya ang 
GEN.15.2	Pero si Abram nagsiling, “O 
GEN.15.3	Wala mo ako paghatagi sing mga kabataan, gani ang isa sang akon mga ulipon magapanubli sang akon pagkabutang.”
GEN.15.4	Dayon nabatian niya ang 
GEN.15.5	Gindala
GEN.15.6	Si
GEN.15.7	Dayon ang 
GEN.15.8	Pero si Abram nagpamangkot, “O 
GEN.15.9	Nagsabat sia, “Dalhi ako diri sing isa ka tinday nga baka, isa ka kanding nga babayi, kag isa ka karnero nga lalaki nga tagtatlo ka tuig ang edad, kag isa man ka pating kag isa ka tukmo.” 
GEN.15.10	Si Abram nagdala sa Dios sini nga mga hayop, ginpamihak niya sila, kag ginbutang niya ang mga pinihak sa duha ka kubay nga nagaatubangay, pero ang mga pispis wala niya pagpamihaka. 
GEN.15.11	Ang mga uwak naghugpa sa mga lawas sang mga hayop, pero ginpanabog sila ni Abram.
GEN.15.12	Sang
GEN.15.13	Ang
GEN.15.14	Pero
GEN.15.15	Pero ikaw imo magakabuhi sing malawig, mapatay nga may paghidait kag ilubong. 
GEN.15.16	Ang ikap-at nga kaliwatan amo lang ang magabalik diri, kay pagatabugon ko lamang ang mga Amornon halin sa sini nga duta kon magmalaut na gid sila kag kinahanglan nga pagasilutan.”
GEN.15.17	Sang nagtunod na ang adlaw kag madulom na, sa hinali may isa ka nagaaso nga kolon kag isa ka sulo nga nagadabdab nga nagpakita kag nag-agi sa tunga sang mga pinihak nga mga sapat. 
GEN.15.18	Sa
GEN.15.19	lakip ang mga kadutaan sang mga Kenhanon, mga Kenisnon, mga Kadmonhon, 
GEN.15.20	mga Hethanon, mga Peresnon, mga Refaimnon, 
GEN.15.21	mga Amornon, mga Canaanhon, mga Gergasnon kag mga Jebusnon.”
GEN.16.1	Karon si Sarai nga asawa ni Abram wala makapamata sa kay Abram. Pero si Sarai may ulipon nga babayi nga Ehiptohanon nga ginhingalanan kay Hagar. 
GEN.16.2	Gani si Sarai nagsiling kay Abram, “Tan-awa bala, ang 
GEN.16.3	Gani ginhatag ni Sarai si Hagar kay Abram subong nga asawa. Natabo ini sa tapos nakaestar si Abram sa Canaan sing napulo ka tuig. 
GEN.16.4	Sang nakahulid si Abram kay Hagar, nagbusong sia. Sang mahibaluan ni Hagar nga nagabusong na sia, nanginbugalon sia kag gintamay niya si Sarai.
GEN.16.5	Dayon si Sarai nagsiling kay Abram, “Imo gid ini sala nga ginatamay ako ni Hagar.
GEN.16.6	Si Abram nagsabat, “Ti, ulipon mo man sia gihapon kag sa idalom sia sang imo gahom. Himua ang luyag mo sa iya.” Dayon ginpintasan ni Sarai si Hagar, kag naglayas sia.
GEN.16.7	Ang anghel sang 
GEN.16.8	kag nagsiling sa iya, “Hagar, ulipon ni Sarai, diin ka maghalin kag diin ka makadto?”
GEN.16.8	Nagsabat sia, “Nagapalagyo ako sa akon ama.”
GEN.16.9	Nagsiling ang anghel, “Magbalik ka sa iya kag magpadayon nga ulipon niya.” 
GEN.16.10	Kag nagsiling pa gid sia, “Hatagan ko ikaw sing madamo nga mga kaliwat nga indi sarang maisip. 
GEN.16.11	Magaanak ka sing isa ka lalaki, kag pagahingalanan mo sia kay Ismael,
GEN.16.12	Pero ang imo anak magakabuhi kasubong sang isa ka talunon nga asno. Manginbatok sia sa tanan, kag ang tanan manginbatok sa iya. Magapalayo sia sa iya mga kaparientehan.”
GEN.16.13	Si Hagar nagpamangkot sa iya kaugalingon, “Nakita ko gid bala ang Dios kag wala man ako mapatay?” Gani gintawag niya ang 
GEN.16.14	Amo ina nga ang mga tawo nagtawag sang bubon sa tunga sang Kades kag Bered nga “Bubon sang Isa nga Nagakabuhi nga Nagatan-aw sa Akon.”
GEN.16.15	Si
GEN.16.16	Sa sadto nga tion si Abram otsentay sais na ka tuig.
GEN.17.1	Sang si Abram nagaedad na sing nobentay nwebe ka tuig, ang 
GEN.17.2	Magahimo ako sing kasugtanan sa imo kag hatagan ko ikaw sing madamo nga mga kaliwat.” 
GEN.17.3	Dayon si Abram naghapa sa duta kag ang Dios nagsiling sa iya, 
GEN.17.4	“Amo ini ang aton kasugtanan nga akon ginahimo sa imo: Nagasaad ako nga mangin-amay ka sang madamo nga mga pungsod. 
GEN.17.5	Ang
GEN.17.6	Hatagan ko ikaw sing madamo nga mga kaliwat kag ang iban sa ila manginhari. Magadamo gid ang imo nga mga kaliwat kag mahimo sila nga mga pungsod.
GEN.17.7	“Pagatumanon
GEN.17.8	Ihatag
GEN.17.9	Ang Dios nagsiling kay Abraham, “Ikaw dapat man magsugot sa pagtuman sang aton kasugtanan, ikaw kag ang imo mga kaliwat sa palaabuton nga mga kaliwatan. 
GEN.17.10	Ikaw
GEN.17.11+GEN.17.12	Sugod karon dapat ninyo tulion ang tagsa ninyo ka bata nga lalaki sa ikawalo nga adlaw halin sa iya pagkatawo, lakip ang mga ulipon nga natawo sa inyo balay kag ang ginpamakal ninyo nga mga ulipon sa mga dumoluong. Ini magapakita nga may kasugtanan kita. 
GEN.17.13	Ang tagsa sa inyo dapat tulion, kag ini mangintanda sa inyo mga lawas sa pagpakita nga ang akon kasugtanan sa inyo wala sing katapusan. 
GEN.17.14	Ang lalaki nga wala matuli indi na manginbahin sang akon mga tawo, tungod kay wala niya matuman ang kasugtanan niya sa akon.”
GEN.17.15	Ang Dios nagsiling kay Abraham, “Indi mo na pagtawgon ang imo asawa kay Sarai, kundi sugod subong si Sara
GEN.17.16	Bendisyunan ko sia kag hatagan ko ikaw sing anak nga lalaki paagi sa iya. Bendisyunan ko sia kag mangin-iloy sia sang madamo nga mga pungsod, kag ang iban niya nga mga kaliwat manginhari.”
GEN.17.17	Si Abraham naghapa sa duta pero nagkadlaw sia sang nagpanghunahuna sia sini, “Makapabata pa bala ang lalaki nga nagaedad sing 100 ka tuig? Makabata pa bala si Sara nga nagaedad na sing nobenta ka tuig?” 
GEN.17.18	Nagpamangkot sia sa Dios, “Ngaa indi mo na lang himuon si Ismael nga akon manunubli?”
GEN.17.19	Pero ang Dios nagsiling, “Indi mahimo! Ang imo asawa nga si Sara magaanak sing isa ka bata nga lalaki kag pagahingalanan mo sia kay Isaac.
