GEN.1.1	Sang ginsuguran gintuga sang Dios ang kalangitan kag ang kalibutan. 
GEN.9.23	Nagkuha si Shem kag si Jafet sang panapton kag ginsablay nila sa ila abaga, dayon naglakat sila nga nagaisol pasulod sa tolda kag gintabunan nila ang ila amay. Wala gid sila nagbalikid tungod kay indi nila gusto nga makita ang pagkahublas sang ila amay. 
GEN.9.24	Sang naumpawan na si Noe sa iya kahulugbon, kag pagkahibalo niya kon ano ang ginhimo sang iya kamanghuran nga anak, 
GEN.9.25	nagsiling siya:
GEN.9.25	“Pakamalauton ka Canaan! Mangin kubos ka nga ulipon sang imo mga utod.”
GEN.9.26	Kag nagsiling man siya,
GEN.9.26	“Dalayawon ang 
GEN.9.26	Kabay pa nga mangin ulipon ni Shem si Canaan.
GEN.9.27	Kabay pa nga palaparon sang Dios ang kadutaan ni Jafet,
GEN.9.27	kag mangin maayo ang pag-inupdanay sang iya mga kaliwat kag sang mga kaliwat ni Shem.
GEN.9.27	Kag kabay pa nga mangin ulipon man ni Jafet si Canaan.”
GEN.9.28	Nagkabuhi pa gid si Noe sing 350 ka tuig pagkatapos sang grabe gid nga baha. 
GEN.9.29	Napatay siya sa edad nga 950.
GEN.10.1	Amo ini ang estorya parte sa mga pamilya sang mga anak ni Noe nga sila ni Shem, Ham, kag Jafet. Nagkalatawo ang ila mga anak pagkatapos sang grabe gid nga baha.
GEN.10.2	Ang mga anak nga lalaki ni Jafet amo sila ni Gomer, Magog, Madai, Javan, Tubal, Meshec, kag Tiras. 
GEN.10.3	Si Gomer may mga anak man nga sila ni Ashkenaz, Rifat, kag Togarma. 
GEN.10.4	Ang mga anak ni Javan amo sila ni Elisha, Tarshish, Kitim, kag Dodanim.
GEN.10.5	Amo ini sila ang mga kaliwat ni Jafet. Sila amo ang ginhalinan sang mga tawo nga nagaestar sa mga lugar nga malapit sa dagat kag sa mga isla. Ang kada pamilya nila nagaestar sa ila kaugalingon nga lugar nga sakop sang ila nasyon, kag may kaugalingon sila nga lingguahe.
GEN.10.6	Ang mga anak nga lalaki ni Ham amo sila ni Cush, Mizraim,
GEN.10.7	Si Cush may mga anak man nga sila ni Sheba, Havila, Sabta, Raama, kag Sabteca. Ang mga anak ni Raama amo si Sheba kag si Dedan. 
GEN.10.8	May isa pa ka anak si Cush nga ang iya ngalan si Nimrod. Si Nimrod nga ini nangin gamhanan nga tawo sa kalibutan. 
GEN.10.9	Maayo gid siya nga mangangayam sa atubangan sang 
GEN.10.10	Ang una nga ginharian nga gin-gamhan ni Nimrod amo ang Babilonia, Erec, Acad, kag Calne. Ini sila tanan sakop sang Shinar. 
GEN.10.11	Halin sa sadto nga mga lugar nagkadto siya sa Asiria kag gintukod niya ang Nineve, Rehobot Ir, Cala, 
GEN.10.12	kag Resen nga ara sa tunga-tunga sang Nineve kag sang Cala nga isa ka bantog nga banwa.
GEN.10.13	Si Mizraim amo ang ginhalinan sang mga Ludhanon, Anamnon, Lehabnon, Naftunon, 
GEN.10.14	Patrusnon, Caslunon, kag sang mga Caftornon
GEN.10.15	Si Canaan amo ang amay ni Sidon kag ni Het.
GEN.10.16	 sang mga Jebusnon, Amornon, Girgashnon, 
GEN.10.17	Hivhanon, Arkhanon, Sinhanon, 
GEN.10.18	Arvadnon, Zemarnon, kag sang mga Hamatnon.
GEN.10.18	Sang uhili naglapta ang mga kaliwat ni Canaan. 
GEN.10.19	Ang dulunan sang ila kadutaan nagahalin sa Sidon pakadto sa Gerar hasta sa Gaza, kag nagalambot sa Sodom, Gomora, Adma, Zeboyim, hasta sa Lasha.
GEN.10.20	Amo ini sila ang mga kaliwat ni Ham. Ang kada pamilya nila nagaestar sa ila kaugalingon nga lugar nga sakop sang ila nasyon, kag may kaugalingon sila nga lingguahe.
GEN.10.21	Si Shem nga magulang ni Jafet amo ang ginhalinan sang tanan nga Hebreo.
GEN.10.22	Ang iya mga anak nga lalaki amo sila ni Elam, Ashur, Arfaxad, Lud, kag Aram. 
GEN.10.23	Ang mga anak ni Aram amo sila ni Uz, Hul, Geter, kag Meshec. 
GEN.10.24	Si Arfaxad amay ni Shela, kag si Shela amay ni Eber. 
GEN.10.25	May duha ka anak nga lalaki si Eber: ang isa gin-ngalanan nga Peleg, tungod kay sang iya panahon ang mga tawo sa kalibutan nagabinahin-bahin; ang ngalan sang iya utod amo si Joktan. 
GEN.10.26	Si Joktan amo ang amay nila ni Almodad, Shelef, Hazarmavet, Jera, 
GEN.10.27	Hadoram, Uzal, Dikla, 
GEN.10.28	Obal, Abimael, Sheba, 
GEN.10.29	Ofir, Havila, kag Jobab. Sila tanan amo ang mga anak ni Joktan. 
GEN.10.30	Ang kadutaan nga ginaestaran nila nagahalin sa Mesha kag nagapakadto sa Sefar, sa kabukiran sa sidlangan. 
GEN.10.31	Amo ini sila ang mga kaliwat ni Shem. Ang kada pamilya nila nagaestar sa ila kaugalingon nga lugar nga sakop sang ila nasyon, kag may kaugalingon sila nga lingguahe.
GEN.10.32	Amo ato tanan ang mga kaliwat sang mga anak ni Noe. Ini sila ara sa nagkalain-lain nga mga nasyon. Tungod sa ila, natukod ang mga nasyon sa bug-os nga kalibutan pagkatapos sang grabe gid nga baha.
GEN.11.1	Sang una, isa lang ka lingguahe ang ginagamit sang tanan nga tawo sa bug-os nga kalibutan. 
GEN.11.2	Samtang nagasaylo ang mga tawo sang elistaran pasidlangan, nakaabot sila sa isa ka patag sa lugar sang Shinar, kag didto sila nag-estar. 
GEN.11.3+GEN.11.4	Karon, nagsiling ang mga tawo, “Matukod kita sang isa ka siyudad nga may tore nga lambot sa kalangitan, agod mangin bantog kita kag para indi kita maglapta sa bug-os nga kalibutan.” Gani naghimo sila sang mga tisa,
GEN.11.5	Karon, nagpasilabot
GEN.11.6	Siling niya, “Ini nga mga tawo nagaugyon kag may isa lang sila ka lingguahe. Kag ining ila ginahimo umpisa pa lang sang ila pa gid nga pagahimuon. Sa indi madugay himuon nila ang bisan ano nga gusto nila himuon. 
GEN.11.7	Gani dali, magpasilabot kita. Lain-lainon ta ang ila lingguahe agod indi sila mag-intiendihanay.” 
GEN.11.8	Gani ginpalapta sila sang 
GEN.11.9	Ini nga siyudad gintawag nga Babilonia
GEN.11.10	Amo ini ang estorya parte sa pamilya ni Shem.
GEN.11.10	Duha ka tuig pagkatapos sang grabe gid nga baha, sang nagaedad si Shem sing 100 ka tuig, natawo ang iya anak nga lalaki nga si Arfaxad. 
GEN.11.11	Matapos natawo si Arfaxad, nagkabuhi pa gid si Shem sing 500 ka tuig kag nadugangan pa gid ang iya kabataan.
GEN.11.12	Sang nagaedad na si Arfaxad sing 35 ka tuig, natawo ang iya anak nga lalaki nga si Shela. 
GEN.11.13	Matapos natawo si Shela, nagkabuhi pa gid si Arfaxad sing 403 ka tuig kag nadugangan pa gid ang iya kabataan.
GEN.11.14	Sang nagaedad na si Shela sing 30 ka tuig, natawo ang iya anak nga lalaki nga si Eber. 
GEN.11.15	Matapos natawo si Eber, nagkabuhi pa gid si Shela sing 403 ka tuig kag nadugangan pa gid ang iya kabataan.
GEN.11.16	Sang nagaedad na si Eber sing 34 ka tuig, natawo ang iya anak nga lalaki nga si Peleg. 
GEN.11.17	Matapos natawo si Peleg, nagkabuhi pa gid si Eber sing 430 ka tuig kag nadugangan pa gid ang iya kabataan.
GEN.11.18	Sang nagaedad na si Peleg sing 30 ka tuig, natawo ang iya anak nga lalaki nga si Reu. 
GEN.11.19	Matapos natawo si Reu, nagkabuhi pa gid si Peleg sing 209 ka tuig kag nadugangan pa gid ang iya kabataan.
GEN.11.20	Sang nagaedad na si Reu sing 32 ka tuig, natawo ang iya anak nga lalaki nga si Serug. 
GEN.11.21	Matapos natawo si Serug, nagkabuhi pa gid si Reu sing 207 ka tuig kag nadugangan pa gid ang iya kabataan.
GEN.11.22	Sang nagaedad na si Serug sing 30 ka tuig, natawo ang iya anak nga lalaki nga si Nahor. 
GEN.11.23	Matapos natawo si Nahor, nagkabuhi pa gid si Serug sing 200 ka tuig kag nadugangan pa gid ang iya kabataan.
GEN.11.24	Sang nagaedad na si Nahor sing 29 ka tuig, natawo ang iya anak nga lalaki nga si Tera. 
GEN.11.25	Matapos natawo si Tera, nagkabuhi pa gid si Nahor sing 119 ka tuig kag nadugangan pa gid ang iya kabataan.
GEN.11.26	Halin sa edad ni Tera nga 70, natawo ang iya mga anak nga lalaki nga sila ni Abram, Nahor, kag Haran.
GEN.11.27	Amo ini ang estorya parte sa pamilya ni Tera.
GEN.11.27	Si Tera amay nila ni Abram, Nahor, kag Haran. Si Haran amay ni Lot. 
GEN.11.28	Napatay si Haran didto sa Ur nga sakop sang mga Kaldeanhon,
GEN.11.29	Nagpangasawa si Abram kay Sarai, kag si Nahor nagpangasawa kay Milca. Ang amay ni Milca kag sang iya utod nga si Isca amo si Haran. 
GEN.11.30	Si Sarai indi makabata kay baw-as siya.
GEN.11.31	Naghalin si Tera sa Ur nga sakop sang mga Kaldeanhon. Kaupod niya ang iya anak nga si Abram, ang iya umagad nga si Sarai, kag ang iya apo nga si Lot nga anak ni Haran. Pakadto sila kuntani sa Canaan, pero pag-abot nila sa Haran didto na lang sila nag-estar. 
GEN.11.32	Didto napatay si Tera sa edad nga 205.
GEN.12.1	Karon, nagsiling ang 
GEN.12.2	Himuon ko ang imo mga kaliwat nga isa ka bantog nga nasyon. Pakamaayuhon ko ikaw kag mangin bantog ang imo ngalan. Paagi sa imo, madamo ang makabaton sang pagpakamaayo. 
GEN.12.3	Pakamaayuhon ko ang nagapakamaayo sa imo. Pero pakamalauton ko ang nagapakamalaot sa imo. Pakamaayuhon ko ang tanan nga katawhan sa kalibutan paagi sa imo.”
GEN.12.4+GEN.12.5	Gani naghalin si Abram sa Haran kag nagkadto sa Canaan, suno sa ginsiling sang 
GEN.12.4+GEN.12.5	Pag-abot nila sa Canaan, 
GEN.12.6	nagpadayon sila hasta nga nakalambot sila sa dako nga kahoy
GEN.12.7	Dayon nagpakita ang 
GEN.12.8	Halin didto, nagsaylo sila sa bukid sa sidlangan
GEN.12.9	Sang ulihi nagsaylo naman sila. Sige ang ila panglakaton pakadto sa Negev.
GEN.12.10	Pero may puwerte nga gutom sa Canaan, gani nagderetso si Abram sa Egipto agod didto lang anay mag-estar. 
GEN.12.11	Sang nagahinampot na sila sa Egipto, nagsiling si Abram sa iya asawa, “Sarai, matahom ka nga babayi. 
GEN.12.12	Kon makita ka sang mga Egiptohanon masiling sila nga asawa ko ikaw, gani patyon nila ako kag ikaw iya indi. 
GEN.12.13	Mas maayo pa siguro nga silingon mo sila nga mag-utod kita
GEN.12.14	Gani pag-abot nila sa Egipto, nakita sang mga Egiptohanon nga matahom gid si Sarai. 
GEN.12.15	Kag sang makita siya sang mga opisyal sang hari,
GEN.12.16	Tungod kay Sarai, maayo gid ang pagtratar sang hari kay Abram kag ginhatagan pa siya sang mga karnero, kanding, baka, asno,
GEN.12.17	Pero ginhatagan sang 
GEN.12.18	 ginpatawag niya si Abram kag ginpamangkot, “Ano bala ining ginhimo mo sa akon? Ngaa wala ka magsugid nga asawa mo gali siya? 
GEN.12.19	Ngaa nagsiling ka nga mag-utod kamo? Ti kundi ginkuha ko siya nga mangin akon asawa. Karon, ari ang imo asawa, kuhaa siya kag maglakat kamo!” 
GEN.12.20	Dayon nagsugo ang hari sa iya mga tinawo nga pahalinon na sila. Gani gindala nila si Abram paguwa sa sadto nga lugar kag ginpahalin upod ang iya asawa kag dala ang tanan niya nga pagkabutang.
GEN.13.1	Halin sa Egipto, nagkadto si Abram sa Negev upod ang iya asawa kag dala ang tanan niya nga pagkabutang, kag nag-upod man sa ila si Lot. 
GEN.13.2	Manggaranon na kaayo si Abram; madamo na ang iya kasapatan, pilak, kag bulawan. 
GEN.13.3	Halin sa Negev, nagsaylo-saylo sila hasta nga nakabalik sila sa lugar nga ila anay ginpatindugan sang tolda. Ini nga lugar ara sa tunga-tunga sang Betel kag Ai. 
GEN.13.4	Diri man sila una nga nagpatindog sang halaran 
GEN.13.5	Si Lot nga nagaupod man kay Abram kon diin siya magkadto may iya man nga mga kasapatan kag mga tolda. 
GEN.13.6	Kag tungod kay madamo na ang ila kasapatan kag iban pa nga mga pagkabutang, indi sila puwede nga magtingob estar sa isa ka lugar. Ang palahalban
GEN.13.7	Tungod sini, nag-ilinaway ang mga manugbantay sang ila mga kasapatan. (Sadto nga panahon ang mga Canaanhon kag mga Periznon nagaestar pa sa sadto nga duta.)
GEN.13.8	Gani nagsiling si Abram kay Lot, “Kita kag ang aton mga tinawo indi dapat mag-ilinaway, kay magparyentihanay kita. 
GEN.13.9	Ang maayo pa, mabulagay na lang kita tungod madamo pa man sang lugar nga puwede sayluhan. Ikaw ang magpili kon diin nga bahin sang duta ang imo gusto. Kon mapawala ka, mapatuo ako; kon mapatuo ka, mapawala ako.”
GEN.13.10	Nagtan-aw si Lot sa palibot kag nakita niya nga bugana sang tubig ang Kapatagan sang Jordan hasta sa Zoar, pareho sang katamnan sang 
GEN.13.11	Gani ginpili ni Lot ang bug-os nga Kapatagan sang Jordan sa sidlangan. Sa amo nga paagi nagbulagay si Lot kag si Abram. 
GEN.13.12	Si Abram nagpabilin sa Canaan samtang si Lot iya didto sa mga banwa sang kapatagan. Nagpatindog si Lot sang iya mga tolda malapit sa Sodom. 
GEN.13.13	Ang mga tawo sa Sodom tama gid ka makasasala. Puwerte gid ang ila pagpakasala kontra sa 
GEN.13.14	Sang nakahalin na si Lot, nagsiling ang 
GEN.13.15	Ang tanan nga duta nga malambot sang imo panulok ihatag ko sa imo kag sa imo mga kaliwat, kag mangin inyo ina hasta san-o. 
GEN.13.16	Hatagan ko ikaw sing madamo nga mga kaliwat nga ang ila kadamuon pareho sa yab-ok. Ang yab-ok indi maisip, gani ang imo mga kaliwat indi man maisip. 
GEN.13.17	Lakat ka kag libuta ang bug-os nga duta kay ihatag ko ina tanan sa imo.” 
GEN.13.18	Gani ginhalin ni Abram ang iya mga tolda, kag didto siya nag-estar malapit sa dalagko nga mga kahoy
GEN.14.1	Sang sadto nga tiyempo, si Haring Amrafel sang Shinar, si Haring Arioc sang Elasar, si Haring Kedorlaomer sang Elam, kag si Haring Tidal sang Goyim 
GEN.14.2	nagpakig-away kontra kay Haring Bera sang Sodom, Haring Birsha sang Gomora, Haring Shinab sang Adma, Haring Shemeber sang Zeboyim, kag sa hari sang Bela nga ginatawag man nga Zoar. 
GEN.14.3	Nagtipon ining lima ka hari upod ang ila mga soldado didto sa Kapatagan sang Sidim nga ginatawag subong nga Patay nga Dagat.
GEN.14.4	Ini nga mga hari ginsakop anay ni Kedorlaomer sa sulod sang 12 ka tuig, pero sang ika-13 nga tuig nagrebelde sila kontra sa iya. 
GEN.14.5	Kag sang ika-14 nga tuig, gindaog ni Kedorlaomer kag sang iya mga kadampig nga mga hari ang mga Refaimnon sa Ashterot Karnaim, ang mga Zuzhanon sa Ham, ang mga Emhanon sa kapatagan sang Kiriataim, 
GEN.14.6	kag ang mga Horhanon sa kabukiran sang Seir hasta sa El Paran nga malapit sa kamingawan. 
GEN.14.7	Halin didto, nagbalik sila kag nakaabot sa En Mishpat nga ginatawag subong nga Kadesh. Kag gin-agaw nila ang tanan nga kadutaan sang mga Amaleknon kag sang mga Amornon nga nagaestar sa Hazazon Tamar.
GEN.14.8	Karon, gintipon sang mga hari sang Sodom, Gomora, Adma, Zeboyim, kag Bela ang ila mga soldado didto sa Kapatagan sang Sidim 
GEN.14.9	kag nagpakig-away sila kontra kay Haring Kedorlaomer sang Elam, Haring Tidal sang Goyim, Haring Amrafel sang Shinar, kag kay Haring Arioc sang Elasar—lima ka hari kontra sa apat ka hari. 
GEN.14.10	Karon, ang Kapatagan sang Sidim may madamo nga mga buho nga ginakuhaan sang aspalto. Kag sang magpalagyo ang hari sang Sodom kag sang Gomora upod ang ila mga tinawo, nahulog ang iban sa ila sa mga buho, kag ang iban nakapalagyo sa mga bukid. 
GEN.14.11+GEN.14.12	Ang tanan nga pagkabutang sang Sodom kag Gomora pati ang ila mga pagkaon ginkuha sang ila mga kaaway. Ginbihag man nila si Lot nga hinablos ni Abram kag ginkuha ang iya mga pagkabutang, kay natabuan nga didto siya nagaestar sa Sodom. Pagkatapos panguha sang mga kaaway, naglakat sila.
GEN.14.13	Karon, may isa nga nakapalagyo kag nagpanugid kay Abram nga Hebreo parte sa natabo. Si Abram sadto didto nagaestar malapit sa dalagko nga mga kahoy ni Mamre nga Amornon. Si Mamre nga ini kag ang iya mga utod nga si Eshcol kag si Aner mga kadampig ni Abram. 
GEN.14.14	Pagkabati ni Abram nga ginbihag ang iya hinablos, gintipon niya dayon ang iya 318 ka tinawo nga masaligan, nga natawo sa iya kampo. Ginlagas nila ang apat ka hari hasta sa Dan. 
GEN.14.15	Pagkagab-i, gintunga ni Abram ang iya mga tinawo kag ginsalakay nila ang ila mga kaaway, kag napierdi nila ini. Ang iban nga nakapalagyo ginlagas nila hasta sa Hoba, sa aminhan
GEN.14.16	Nabawi nila ang tanan nga pagkabutang nga gin-agaw sang mga kaaway. Nabawi man nila si Lot kag ang iya mga pagkabutang pati ang mga babayi kag ang iban pa nga mga katawhan.
GEN.14.17	Sang pagpauli na ni Abram, matapos nila nga napierdi si Kedorlaomer kag ang iya kaupod nga mga hari, ginsugata siya sang hari sang Sodom sa Kapatagan sang Shave (nga ginatawag man nga Kapatagan sang Hari). 
GEN.14.18	Ginsugata man siya ni Melkizedek nga hari sang Salem kag pari sang Labing Mataas nga Dios. May dala si Melkizedek nga tinapay kag ilimnon. 
GEN.14.19	Ginbendisyunan niya si Abram nga nagasiling:
GEN.14.19	“Kabay pa nga bendisyunan ka Abram sang Labing Mataas nga Dios
GEN.14.19	nga naghimo sang langit kag sang duta.
GEN.14.20	Dalayawon ang Labing Mataas nga Dios
GEN.14.20	nga nagpadaog sa imo kontra sa imo mga kaaway!”
GEN.14.20	Dayon ginhatag ni Abram kay Melkizedek ang ikanapulo sang tanan 
GEN.14.21	Karon, nagsiling ang hari sang Sodom kay Abram, “Imo na lang ang tanan ko nga mga pagkabutang nga nabawi mo, pero iuli lang sa akon ang tanan ko nga mga tinawo.” 
GEN.14.22	Pero nagsabat si Abram, “Ginasumpa ko sa atubangan sang 
GEN.14.23	nga indi gid ako magkuha sang bisan ano sa imo pagkabutang, bisan hilo ukon higot sang sandalyas, agod nga indi ka makasiling nga ikaw ang nagpamanggaranon sa akon. 
GEN.14.24	Indi ako magbaton sang bisan ano para sa akon kaugalingon. Ang kabigon ko lang nga nabaton ko amo ang ginkaon sang akon mga tinawo, pero tuguti ang akon mga kaupod nga sila ni Aner, Eshcol, kag Mamre sa pagkuha sang ila parte 
GEN.15.1	Pagkatapos sadto, naghambal ang 
GEN.15.2	Pero nagsiling si Abram, “O Ginoong 
GEN.15.3	Tungod kay wala mo ako paghatagi sang bata, si Eliezer nga isa sang akon mga suluguon amo na lang ang magapanubli sang akon mga pagkabutang.” 
GEN.15.4	Nagsiling ang 
GEN.15.5	Dayon gindala siya sang 
GEN.15.6	Nagtuo si Abram sa 
GEN.15.7	Nagsiling pa gid siya kay Abram, “Ako ang 
GEN.15.8	Pero nagsiling si Abram, “O Ginoong 
GEN.15.9	Nagsabat ang 
GEN.15.10	Gani gindala ini tanan ni Abram sa 
GEN.15.11	Naghapon sa pinihak nga mga sapat ang mga pispis nga nagapangaon sang patay, pero gintabog sila ni Abram.
GEN.15.12	Sang manugsalop na ang adlaw, natulugan sing mahamuok si Abram kag may dako nga kahadlok nga nag-abot sa iya. 
GEN.15.13	Dayon nagsiling ang 
GEN.15.14	Pero silutan ko ang nasyon nga magaulipon sa ila. Pagkatapos magahalin ang imo mga kaliwat sa sadto nga nasyon nga may dala nga madamo nga mga manggad. 
GEN.15.15	Pero kon parte sa imo Abram, palawigon ko ang imo kabuhi kag mapatay ka sa katigulangon nga may kalinong. 
GEN.15.16	Magaligad anay ang apat ka henerasyon antes makabalik ang imo mga kaliwat diri, tungod kay indi pa tuman ang pagpakasala sang mga Amornon para silutan sila kag pahalinon sa sini nga duta.”
GEN.15.17	Sang nakasalop na ang adlaw kag nagdulom na, hinali lang nga may nakita si Abram nga kolon nga nagaaso kag sulo nga nagadabdab, nga nagaagi sa tunga sang mga pinihak nga mga sapat. 
GEN.15.18	Sa sina gid nga adlaw, naghimo ang 
GEN.15.19	Ini nga duta amo subong ang ginaestaran sang mga Kenhanon, Keniznon, Kadmonhon, 
GEN.15.20	Hithanon, Periznon, Refaimnon, 
GEN.15.21	Amornon, Canaanhon, Girgashnon, kag mga Jebusnon.”
GEN.16.1	Si Sarai nga asawa ni Abram indi makabata. May suluguon siya nga babayi nga Egiptohanon nga ang ngalan si Hagar. 
GEN.16.2	Nagsiling si Sarai kay Abram, “Tungod nga wala nagtugot ang 
GEN.16.3	Gani ginhatag ni Sarai si Hagar kay Abram agod mangin iya asawa. (Natabo ini matapos nakaestar si Abram sa Canaan sing napulo ka tuig.) 
GEN.16.4	Sang ulihi nagbusong si Hagar.
GEN.16.4	Pagkahibalo ni Hagar nga nagabusong siya, ginpakanubo niya si Sarai. 
GEN.16.5	Tungod sini, nagsiling si Sarai kay Abram, “Karon nga nagabusong na si Hagar ginapakanubo na niya ako. Ikaw ang dapat basulon sini. Ginhatag ko siya sa imo 
GEN.16.6	Nagsabat si Abram, “Kon amo sina, ibalik ko siya sa imo bilang suluguon kag pagusto ka kon ano ang himuon mo sa iya.” Umpisa sadto tama na kalain ang pagtratar ni Sarai kay Hagar, gani sang ulihi naglayas na lang siya.
GEN.16.7	Nakita sang anghel sang 
GEN.16.8	Nagpamangkot ang anghel sa iya, “Hagar, suluguon ni Sarai, diin ka bala naghalin kag diin ka makadto?” Nagsabat siya, “Naglayas ako sa akon agalon nga si Sarai.” 
GEN.16.9	Nagsiling ang anghel sa iya, “Balik ka sa imo agalon kag magpasakop ka sa iya.” 
GEN.16.10	Dayon nagsiling pa gid ang anghel,
GEN.16.10	“Padamuon ko gid ang imo kaliwat nga ang ila kadamuon indi maisip.
GEN.16.11	Nagabusong ka, kag sa indi madugay magabata ka sing lalaki. Ngalanan mo siya nga Ishmael,
GEN.16.12	Pero ang imo anak magakabuhi nga pareho sa isa ka maila nga asno. Kontrahon niya ang tanan, kag ang tanan magakontra sa iya. Bisan ang iya mga paryente kontrahon niya.”
GEN.16.13	Gintawag ni Hagar ang 
GEN.16.14	Amo ina nga ang tuburan nga didto sa tunga sang Kadesh kag Bered gintawag nga Beer Lahai Roi.
GEN.16.16	Ang edad ni Abram sang natawo si Ishmael 86 ka tuig.
GEN.17.1	Sang nagaedad si Abram sing 99 ka tuig, nagpakita ang 
GEN.17.2	Tumanon ko ang akon kasugtanan sa imo; padamuon ko gid ang imo mga kaliwat.” 
GEN.17.3	Pagkabati sadto ni Abram, nagluhod siya 
GEN.17.4	“Sa akon bahin, amo ini ang akon kasugtanan sa imo: Mangin amay ka sang madamo nga mga nasyon. 
GEN.17.5	Sugod subong indi na Abram ang itawag sa imo kundi Abraham
GEN.17.6	Padamuon ko gid ang imo mga kaliwat kag magatukod sila sang mga nasyon, kag ang iban sa ila mangin hari. 
GEN.17.7	Tumanon ko ang akon kasugtanan sa imo kag sa imo mga kaliwat sa palaabuton nga mga henerasyon, nga ako padayon nga mangin Dios ninyo. Ini nga kasugtanan magapadayon hasta san-o. 
