GEN.1.1	Atankih ching Thrünpuhnü thüningbo tüsho alomi thrün. 
GEN.9.23	Tüshe Shem le Japheth bünenü ane ngam kheak khim züngkih-a lubah dunglimnü ashitde yünü arü abuh bünkeang lakhi phudojih. Ane miro anguhabah tüsho anenü arü abuh bünkeang lakhi müngü. 
GEN.9.24	Küyimki Noa amüshangkhi chingnü asürükhea, atsührü akheambuhnü api kheak tümü rhimokheanü mükheahde kam.
GEN.9.25	Apinü tha, “Kanan muthrumünean thsang;
GEN.9.25	api keoniorübo ki akheamkhibe azhorü thsübah.”
GEN.9.26	Kheaküshe apinü tha,
GEN.9.26	“Shem Thrünpuh, 
GEN.9.26	Kanan a Shem azhorü thsüshang.
GEN.9.27	Thrünpuhnü Japheth lomi mükahde kamshang;
GEN.9.27	Japheth a Shem khimyambo ching lashang,
GEN.9.27	tüsho Kanan ju api yo azhorü thsüshang.”
GEN.9.28	Keking dunglim Noa kam 350 la. 
GEN.9.29	Noa kam alalanü 950 lakheah, tüsho api sheabah.
GEN.10.1	Ha Noa tsührübo lünkheyukhean: Shem, Ham, tüsho Japheth. Tüsho keking dunglim arü kilim tsührübo zübejih.
GEN.10.2	Japheth tsührübo: Gomer, Magog, Madai, Javan, Tubal, Meshek, tüsho Tiras. 
GEN.10.3	Gomer tsührübo: Ashkenaz, Riphath, tüsho Togarma. 
GEN.10.4	Javan tsührübo: Elisha, Tarshish, Kittim, tüsho Dodanim. 
GEN.10.5	Harü kheaknü keyean mihtsürübo nihbuh yutha, arü yamkhün ayannü arü trükshih lomibo ching chamkhitde yü.
GEN.10.6	Ham tsührübo: Kush, Mizraim, Put tüsho Kanan. 
GEN.10.7	Kush tsührübo: Sheba, Havila, Sabta, Raama tüsho Sabteka. Raama tsührübo: Sheba tüsho Dedan. 
GEN.10.8	Kush tsührü Nimrod; api alomi ching amüzhak lakheah. 
GEN.10.9	Api ju 
GEN.10.10	Tüsho api kiulongthsü atankih Shinar lomi ching Babel, Erek, Akkad tüsho Kalne lakheah. 
GEN.10.11	Ju lomi chingnü api Asiria ching yü tüsho Nineve, Rehoboth-Ir, Kala thsü, 
GEN.10.12	tüsho Nineve le Kala dükeak lakhi Resen; ju kiuto ato ah.
GEN.10.13	Mizraim tsühsoniusobo ju Ludirü, Anamrü, Lehabrü, Naphturü, 
GEN.10.14	Pathrusirü, Kaslurü (ha kheaknü Filistiarü arü) tüsho Kaphtorrü lakheah.
GEN.10.15	Kanan tsührü adüjibuh Sidon, tüsho Heth; 
GEN.10.16	Jebusrü, Amorrü, tüsho Girgashrü; 
GEN.10.17	Hivrü, Arkrü, tüsho Sinirü; 
GEN.10.18	Arvadrü, Zemarrü, tüsho Hamathrü. Ju dunglim Kanan yamkhünbo müzüt. 
GEN.10.19	Tüsho Kanan aredungbo ju Sidon chingnü Gerar lim Gaza khiung, tüsho Sodom, Gomorra, Adama tüsho Zeboiim lim, Lasha khiung. 
GEN.10.20	Harü ha arü lomibo tüsho trükshihbo ching, arü gukbo tüsho thiyutha ayannü Ham tsührübo lakheah.
GEN.10.21	Tüsho Japheth akhiung azopü Eber tsührü alala abuh Shem kilim tsührübo zübejih. 
GEN.10.22	Shem tsührübo: Elam, Asshur, Arphaxad, Lud tüsho Aram. 
GEN.10.23	Aram tsührübo: Uz, Hul, Gether tüsho Meshek. 
GEN.10.24	Arphaxad ju Shela abuh, tüsho Shela ju Eber abuh lakheah. 
GEN.10.25	Eber kilim tsührü 2 zübejih: khülang mung Peleg, tümüde api kim ching alomi chamnak; tüsho püpü mung Joktan. 
GEN.10.26	Joktan tsühsoniusobo ju Almodad, Sheleph, Hazarmaveth, Jera, 
GEN.10.27	Hadoram, Uzal, Dikla, 
GEN.10.28	Obal, Abimael, Sheba, 
GEN.10.29	Ophir, Havila, tüsho Jobab. Harü alala Joktan tsührübo lakheah. 
GEN.10.30	Tüsho arü lakhi dangpung ju Mesha chingnü aniakhiuklim awung lomi Sephar khiungde alakheah. 
GEN.10.31	Harü ha arü lomibo tüsho trükshihbo ching, arü gukbo tüsho thiyutha ayannü Shem tsührübo lakheah.
GEN.10.32	Harü ha arü lünkhe yande, arü trükshihbo ching Noa tsührü yamkhünbo lakheah; tüsho keking dunglim harü chingnü trükshihbo alomi ching chamüzüt.
GEN.11.1	Kheakü alomi alala thiyutha khülang tüsho rukhüh yu lakheah. 
GEN.11.2	Mihtsürübo aniakhiuklimnü yüde alachoki, arünü Shinar ching adükhün khülang ngü tüsho ju ching la. 
GEN.11.3	Arü khülangnü khülang ki thaachih, “Arang, isanü lotaklung thsanü tüsho düshihde zünanü.” Arünü lung müthri lotaklung, tüsho alozhihzhih müthri dükhüh lu. 
GEN.11.4	Tüsho arünü tha, “Arang, isanü kiuto khülang, tüsho rünchang thüning khiungde thsanü; isanü isa thsungkheak mung khülang thsanü, judü yungsho alomi alala ching isa hiumüzütabahbah.”
GEN.11.5	Tüshe mihtsürü tsührübonü athsükhi kiuto tüsho rünchang kheahpü 
GEN.11.6	Tüsho 
GEN.11.7	Arang, isanü yükianü tüsho arü yutha yingyingde kamshihanü, junangde arü khülangnü khülang manikhitachihde alabah.” 
GEN.11.8	Jumonü 
GEN.11.9	Jude athsükhinü ha ki Babel de ji, tümütüsho 
GEN.11.10	Ha Shem lünkhe: Shem kam 100 azorü lakheah, tüsho keking hobah kam mahne dunglim atsührü Arphaxad lakheah. 
GEN.11.11	Arphaxad lashu, Shem kam 500 la, tüsho tsührübo le tsührübebo lakheah.
GEN.11.12	Arphaxad kam 35 la, tüsho atsührü Salah lakheah. 
GEN.11.13	Salah lashu, Arphaxad kam 403 la, tüsho tsührübo le tsührübebo lakheah.
GEN.11.14	Salah kam 30 la, tüsho atsührü Eber lakheah. 
GEN.11.15	Eber lashu, Salah kam 403 la, tüsho tsührübo le tsührübebo lakheah.
GEN.11.16	Eber kam 34 la, tüsho atsührü Peleg lakheah. 
GEN.11.17	Peleg lashu, Eber kam 430 la, tüsho tsührübo le tsührübebo lakheah.
GEN.11.18	Peleg kam 30 la, tüsho atsührü Reu lakheah. 
GEN.11.19	Reu lashu, Peleg kam 209 la, tüsho tsührübo le tsührübebo lakheah.
GEN.11.20	Reu kam 32 la, tüsho atsührü Serug lakheah. 
GEN.11.21	Serug lashu, Reu kam 207 la, tüsho tsührübo le tsührübebo lakheah.
GEN.11.22	Serug kam 30 la, tüsho atsührü Nahor lakheah. 
GEN.11.23	Nahor lashu, Serug kam 200 la, tüsho tsührübo le tsührübebo lakheah.
GEN.11.24	Nahor kam 29 la, tüsho atsührü Tera lakheah. 
GEN.11.25	Tera lashu, Nahor kam 119 la, tüsho tsührübo le tsührübebo lakheah.
GEN.11.26	Kheakü Tera kam 70 la, tüsho atsührübo Abram, Nahor, tüsho Haran lakheah.
GEN.11.27	Ha Tera lünkhe: Tera tsührübo Abram, Nahor, tüsho Haran. Haran tsührü Lot. 
GEN.11.28	Abuh Tera rhangdung lachoki, Haran a anihbuh asürü lo Kaldearü yo Ur ching sheabah. 
GEN.11.29	Judüki Abram tüsho Nahor ane niuberü lu: Abram niube mung Sarai, tüsho Nahor niube mung Iska abuh Haran tsührübe Milka lakheah. 
GEN.11.30	Tüshe Sarai aniungyüh lakheah; alibe tsührü mülakheah.
GEN.11.31	Teranü atsührü Abram le Haran tsührü Lot, tüsho atsühmeakbe Abram niube Sarai bea lu, tüsho arünü Kanan lo ching yüpü Kaldearü yo Ur chingnü wukhiuk; arünü Haran ching arü tüsho ju ching la. 
GEN.11.32	Tera kam 205 la, tüsho Haran ching sheabah.
GEN.12.1	Kheakü 
GEN.12.2	Inü nü trükshih ato kamshihbah; inü nü müngühjihbah tüsho nü mung ato kamshihbah; tüsho nü müngühmühi labah.
GEN.12.3	Shepünü nü müngühjihchonü inü müngühjihbah,
GEN.12.3	tüsho shepünü nü athruchonü inü muthrumüneanbah;
GEN.12.3	tüsho nü lung alomi yamkhün alala müngühjihbah.”
GEN.12.4	Jumonü 
GEN.12.5	Judüki Abramnü aniube Sarai le aniurü tsührü Lot, arünü ahanmukhungkhi lakhit-kukruk tüsho Haran ching arübo azhorübo alala bea lu tüsho Kanan lomi ching yüpü tsahmusu. Junangde arü Kanan lomi ching arü. 
GEN.12.6	Abramnü Shekem ching More sangdung ato lapung khiungde lomi hode hantsah. Ju kim ching Kananrübo lomi ching lakheah. 
GEN.12.7	Judüki 
GEN.12.8	Ju chingnü api aniyüzahlim Bethel tüsho aniakhiuklim Ai lakhi aniakhiuklim Bethel wungbo lim yü. Ju ching apinü 
GEN.12.9	Jumonü Abramnü tsahmusu tüsho Negeb limpeang mutuklode yü.
GEN.12.10	Kheakü lomi ching khümzung lakheah, tüsho Abramnü Ijip ching lacholapü yüki, tümüde lomi ching khümzung ju muthsukdakde alakheah. 
GEN.12.11	Api Ijip ching yüzahpü lachoki, apinü aniube Sarai ki tha, “Nü a jaktsükhi liberü ah de inü mükheahlah. 
GEN.12.12	Küyimki Ijiprünü nü ngübanü arünü athabah, ‘Ha api niube ah.’ Arünü I laksahbah; tüshe nü a alashihbah. 
GEN.12.13	Nü ju I niurü ah de thaang, junangde nü dünkheaknü I tsüde alabah, tüsho nü hode I rhangdung labah.” 
GEN.12.14	Junangde küyimki Abram Ijip ching arükhea, alibe ju khide jaktsüde Ijiprünü ngü. 
GEN.12.15	Pharao torübonü she alibe ngü tüsho anihbe jaktsükhi kiulongthsüpuh ki tha. Tüsho alibe ju Pharao yam ching bede yü. 
GEN.12.16	Apinü alibe dünkheaknü Abram ki tsüde rhimo tüsho api kilim namfimihnubo tüsho mihnubo, moshi, donkibo, azhorübo, tüsho kemelbo jih.
GEN.12.17	Tüshe Abram niube Sarai dünkheaknü 
GEN.12.18	Pharaonü Abram ji tüsho tha, “Nünü I ki rhimokhi ha tümü a? Nü niube ah de tümü thsükhi I ki müthakhea? 
GEN.12.19	Tümüde nünü, ‘Alibe I niurü ah’ de thabah anihbe I niube thsüpü lushihkhea? Jumonü kheakü, ha kheak nü niube lah; anihbe bea lubah tsoang.” 
GEN.12.20	Jumonü Pharaonü anihbuh thsungkheaknü api mihtsürübo ki thiyukhüm jih; tüsho arünü aniube tüsho api lakhi alala bede thiyia tsoshih.
GEN.13.1	Judüki Abramnü aniube tüsho api lakhi alala, tüsho api lung Lot bebah Ijip chingnü wukhiukbah Negeb lim wutu. 
GEN.13.2	Abram ju akam-shiwüh, shotoyinchi tüsho suna ching khide alarü lakheah. 
GEN.13.3	Tüsho apinü Negeb chingnü hantsahmusubah Bethel le Ai dükeak akhuhlim anihbuh khimyam lapung Bethel khiungde yü, 
GEN.13.4	tüsho akhuhlim apinü kingaün sadam thsüpung lakheah; tüsho ju ching Abramnü 
GEN.13.5	Abram lung yükhi Lot she mihnubo le moshibo tüsho yamkhün le yamlarübo lakheah. 
GEN.13.6	Kheakü arü rukhüh lapü thsüde alopung musuhdah, tümütüsho arü lakhit-kukruk ato lakheah. 
GEN.13.7	Tüsho Abram shiwüh le Lot shiwüh kheahrü dükeak alanaji akhiuk. Ju kim ching Kananrü le Perizrü she lomi ching lakheah.
GEN.13.8	Jumonü Abramnü Lot ki tha, “Muzhobah I tüsho I shiwüh kheahrü le nü shiwüh kheahrü dükeak alanaji mülashihnü; tümüde isa keoniorü ah. 
GEN.13.9	Nü mikhuh alo abümnü müla düpü? Muzhobah I kheaknü atrütang. Nü huzulim yüsho, I tsülim yübah; yungsho nü tsülim yüsho, I huzulim yübah.”
GEN.13.10	Lotnü zünga kheah tüsho Zoar thrippeang Jordan dükhün ju ke tsüde aduhkhi 
GEN.13.11	Judüki Lotnü api thsungkheak Jordan dükhün alala mokhit tüsho aniakhiuklim hantsahmusude yü. Tüsho arü khülangnü khülang kheaknü chamachih. 
GEN.13.12	Abramnü Kanan lo ching la, tüsho Lotnü adükhün kiutobo ching la, tüsho api khimyambo Sodom khiungde thsü. 
GEN.13.13	Tüshe Sodom mihtsürübo hodakde mihbukmuyuk tüsho 
GEN.13.14	Api kheaknü Lot akhin dunglim, 
GEN.13.15	tümüde nünü angükhi lomi inü nü tüsho nü tsühsoniusobo kilim lünnü ajihbah. 
GEN.13.16	Tüsho inü nü tsühsoniusobo asungthulung nangde akamshihbah; junangde khürünü asungthulung khekhuksho nü tsühsoniusobo she akhekhukbah. 
GEN.13.17	Asürang, lomi ashanglim tüsho atolim hode tsahang, tümüde inü ju nü kilim jihchoh.” 
GEN.13.18	Jumonü Abramnü api khimyam akhin, tüsho yübah Hebron ching Mamre arüngako sangbo thüninde la, tüsho 
GEN.14.1	Ju kim ching Shinar kiulongthsüpuh Amraphel, Ellasar kiulongthsüpuh Ariok, Elam kiulongthsüpuh Kedorlaomer tüsho Goiim kiulongthsüpuh Tidal arübo, 
GEN.14.2	Sodom kiulongthsüpuh Bera, Gomorra kiulongthsüpuh Birsha, Adma kiulongthsüpuh Shinab, Zeboiim kiulongthsüpuh tüsho Bela (ju Zoar) kiulongthsüpuh Shemeber bede thirithsüpü yü. 
GEN.14.3	Harü kiulongthsürü phüngü ju Siddim jindükhün ching rukhüh thsüru (ju Thimi Keto). 
GEN.14.4	Arü kam thürükheak mahne Kedorlaomer bukkhüp la, tüshe kam thürükheak asampü ching arünü azhih. 
GEN.14.5	Kam thürükheak phüyipü ching Kedorlaomer tüsho api lung kiulongthsürübo arihbah wukhiuk tüsho Ashterothkarnaim ching Rhepharü, Ham ching Zuzimrü, Shave-kiriathaim ching Emirü 
GEN.14.6	tüsho loshelo phüni El-paran khiungde Seir awung lomi ching Horrü yan. 
GEN.14.7	Jushu arübo rholo tüsho Enmishpat (ju Kadesh) lim yü, tüsho Amalekrü lomi alala, Hazezontamar ching larü Amorrü she kukabah.
GEN.14.8	Judüki Sodom kiulongthsüpuh, Gomorra kiulongthsüpuh, Adma kiulongthsüpuh, Zeboiim tüsho Bela (ju Zoar) kiulongthsüpuh Siddim dükhün ching thirithsüpü, 
GEN.14.9	Elam kiulongthsüpuh Kedorlaomer, Goiim kiulongthsüpuh Tidal, Shinar kiulongthsüpuh Amraphel tüsho Ellasar kiulongthsüpuh Ariok azhihde kiulongthsürü phüngünü kiulongthsürü phüyi azhih. 
GEN.14.10	Siddim dükhün ju loneakjipjip khünnü mia lakheah; tüsho Sodom le Gomorra kiulongthsürübo ju ching shande yü; khürü ju ching keamyuk, tüsho aningkhi awungbo ching tsode yü. 
GEN.14.11	Judüki arünü Sodom tüsho Gomorra kukrukbo tüsho arü tsühyungbebo alala lubah arü limro ching tso. 
GEN.14.12	Arünü Sodom ching lakhi Abram niurü tsührü Lot she api kukrukbo bede lubah tso.
GEN.14.13	Tüshe atsokhitkhi mihtsürü khülangnü, Amorrü Mamre arüngako sangdungbo thüninde alakhi Ibrirü Abram ki thiyusheak alala jih. Mamre le akeoniorübo Eshkol tüsho Aner ju Abram müshiprü lakheah. 
GEN.14.14	Küyimki Abramnü api keoniorü ramde atsokhi sokhea, apinü anihbuh yam ching zübebah anokhitkhi yamlarü 318 zülu yihjih, tüsho Dan khiungde müshamde yü. 
GEN.14.15	Apinü arü azhihde azhing ching api mihtsürübo chamnak tüsho api le yamlarübonü arü zündode Damaska dukulim lakhi Hoba khiungde arü müsham. 
GEN.14.16	Junangde apinü kukruk alala, akeoniorü Lot tüsho api kukrukbo, aliberübo tüsho mihtsürübo she belode arü.
GEN.14.17	Abramnü Kedorlaomer tüsho api müshiprü kiulongthsürübo kukbah arü dunglim Sodom kiulongthsüpuhnü Shave Jindükhün (ju kiulongthsüpuh Jindükhün) ching api shorupü akhiuk. 
GEN.14.18	Tüsho Salem kiulongthsüpuh Melkizedeknü yikhap tüsho yukhu lude arü; api ju Khide Achang Thrünpuh amükeamrü lakheah. 
GEN.14.19	Apinü anihbuh müngühjihde tha: “Thüning tüsho alomi Thrünrü, Khide Achang Thrünpuhnü Abram müngühshang. 
GEN.14.20	Tüsho nü riribo nü khah ching yukjihbuh Khide Achang Thrünpuh shiang.” Tüsho Abramnü alala yo thürü shihcham api kilim jih.
GEN.14.21	Sodom kiulongthsüpuhnü Abram ki tha, “I kilim mihtsürübo jihang, tüsho kukrukbo a nü luang.”
GEN.14.22	Tüshe Abramnü Sodom kiulongthsüpuh ki tha, “Inü thüning tüsho alomi Thrünrü Khide Achang Thrünpuh ki I khah chungkihdo, tüsho thiyuchihchim ludo, 
GEN.14.23	junangde inü nü yo tümü lang she mulu, hing büm khülang yungsho jingkhümpü zhi khülang she mulu, junangde ‘Inü Abram alarü kamshihkheah’ de nünü müthakhukde alabah. 
GEN.14.24	Inü tümü she müleangkhi tüshe I mihtsürübonü atsühkhi tüsho I lung yürü Aner, Eshkol tüsho Mamre arü shihcham lushang.”
GEN.15.1	Ha dunglim 
GEN.15.2	Tüshe Abramnü alo, “ 
GEN.15.3	Tüsho Abramnü tha, “Nünü I kilim tsührü müjih; jumonü I yamkhün ching azhorü khülangnü I yamrüplurüp lubah.”
GEN.15.4	Judüki 
GEN.15.5	Apinü anihbuh wungdo ching bekhit tüsho tha, “Thüning lim kheahang, tüsho chiningbo nünü khekhamkhuksho kheang.” Tüsho apinü anihbuh ki tha, “Junangde nü tsühsoniusobo labah.”
GEN.15.6	Abramnü 
GEN.15.7	Judüki 
GEN.15.8	Tüshe Abramnü keokhi, “
GEN.15.9	Jumonü apinü anihbuh ki tha, “I kilim kam mahsam bankhitkhibo moshi 1, mihnu 1, namfimihnupung 1, tüsho guduru 1, müthrithrümpü nunu 1 de lubah arang.” 
GEN.15.10	Abramnü harü alala api kilim lude arü tüsho aphulungnü mahne thsüde khaprüp, tüsho büthsüthsü thrip abande zo; tüshe apinü wuhnu a mahne thsüde mükhaprüp. 
GEN.15.11	Küyimki müleangtopübo shihmibo kheak akikheanü, Abramnü yana tsoshih.
GEN.15.12	Ani yüzahde alachoki, Abram yapshede yü, tüsho amiting akheah tüsho atrebe api kheak arü. 
GEN.15.13	Judüki 
GEN.15.14	Tüsho arünü atankihpü lakhi trükshih she inü mahkhapbah; ju dunglim arübo lakhit ato lubah akhiukbah. 
GEN.15.15	Kheakü nü a sühakhim ching nüsa jipürü lung yübah; nü a shinde labah kiuyuka bahbah. 
GEN.15.16	Nü tsühsoniuso ha ching alode marüchoki lün phüyi labah, tümütüsho inü Amorrü yankhitpü thsüde arü mülimkhi musuhdahyi.”
GEN.15.17	Küyimki ani yüzahbah mitingdo akamkhea, mokhühkhi mophüh khülang tüsho tsünduphung khülang akhiukbah shiwüh khapnakkhi phulung chingnü hode yü. 
GEN.15.18	Ju nimung 
GEN.15.19	lomibo berukhi ju Kenrü, Kenizrü, Kadmonrü, 
GEN.15.20	Hitrü, Perizrü, Repharü, 
GEN.15.21	Amorrü, Kananrü, Girgashrü tüsho Jebusrü.”
GEN.16.1	Kheakü, Abram niube Sarainü api kilim tsührü müzübejih. Tüsho anihbe Ijip yamlaberü amung Hagar lakheah. 
GEN.16.2	Jumonü Sarainü Abram ki tha, “Kheahang, 
GEN.16.3	Judüki Abram Kanan lomi ching kam thürü la dunglim, aniube Sarainü ayamlabe Hagar bea lu tüsho aniubuh Abram kilim aniube thsüpü jih. 
GEN.16.4	Jumonü apinü Hagar kheak nung, tüsho alibe mübünkeangde kam. Tüsho küyimki alibenü anihbe mübünkeangkhi mükheahkhea, alibenü anihbe putungbe mükhemükimpü tankih.
GEN.16.5	Judüki Sarainü Abram ki tha, “I amülim nü kheak lashang! Inü I yamlabe nü kilim jih; tüsho küyimki anihbe mübünkeangkhi alibenü mükheahkhea, alibenü I mükhemükimde kam. 
GEN.16.6	Jumonü Abramnü Sarai ki tha, “Nü yamlabe nü khah ching lah; nü tsükhinü alibe ki rhimoang.” Küyimki Sarainü anihbe ki mükihmürade arhimokheanü, amikinü alibe tsoabah.
GEN.16.8	Tüsho Apinü tha, “Sarai yamlabe Hagar, nü küchingnü arükhea, tüsho nü külim yücho?” Alibenü alo, “I putungbe Sarai kinü I tsochoh.”
GEN.16.9	Judüki 
GEN.16.10	Yunirünü thalo, “Inü nü tsühsoniusobo mükhekhampü thsüde hihde akamshihbah. 
GEN.16.11	Kheahang, nü khungarü lah. Nünü athrürü khülang zübebah. Nünü api mung Ishmael de ajibah, tümütüsho 
GEN.16.12	Api mütüm donki nangde alabah; apinü alala kheak azhihde alabah, tüsho alalanü api kheak azhihbah, tüsho api keoniorü kheaknü chamkhibah alabah.”
GEN.16.13	Judüki alibenü anihbe ki asukbuh 
GEN.16.14	Jumonü kekhip ki ju Beer Lahai Roi de ji; ju Kadesh le Bered dükeak kheakü khiungde lah.
GEN.16.15	Junangde Hagarnü Abram kilim tsührü khülang zübejih, tüsho Abramnü amung Ishmael de ji. 
GEN.16.16	Hagarnü api kilim Ishmael zübejihchoki Abram kam 86 azorü lakheah.
GEN.17.1	Küyimki Abram kam 99 azorü lakheanü, 
GEN.17.2	Tüsho inü nü le I dükeak tangzüng thsübah, tüsho inü nü hihdakde wüh bushihbah.” 
GEN.17.3	Abramnü amiro mükhümbah khukning, tüsho Thrünpuhnü api ki tha: 
GEN.17.4	“I thsungkheaknü a, ha nü kheak I tangzüng ah, tüsho nü trükshih ahihdo abuh thsübah. 
GEN.17.5	Kheaküa nü mung Abram de müji, tüshe nü mung ju Abraham labah; tümüde inü nü trükshih ahihdo abuh kamshihdo. 
GEN.17.6	Inü nü hodakde aso asoshihbah; tüsho inü nü trükshihbo kamshihbah. Tüsho nü kheaknü kiulongthsürübo arübah. 
GEN.17.7	Tüsho nü le nü dunglim nü tsühsoniusobo Thrünpuh thsüpü, inü I le nü tüsho nü dunglim nü tsühsoniuso lünbo dükeak akheam müla tangzüng zobah. 
GEN.17.8	Kheakü nüsa hanrü thsüde alakhi Kanan lo alala nü tüsho nü dunglim nü tsühsoniusobo kilim akheam müla yamalo thsüpü jihbah; tüsho I ju arü Thrünpuh thsübah.”
GEN.17.9	Thrünpuhnü Abraham ki tha, “Nü thsungkheaknü, nü tüsho nü dunglim nü tsühsoniusobonü arü lünbo alala ching I tangzüng zoang. 
GEN.17.10	Ha nü tüsho nü dunglim nü tsühsoniusobonü azopü I tangzüng ah: Nüsa bolung athrürü aban tsütabahbah. 
GEN.17.11	Nüsa tsütabahbah, tüsho ju I le nü dükeak tangzüng amütsan labah. 
GEN.17.12	Nüsa lünbo ching nüsa yamkhün chingnü asürükhi yungsho nüsa tsührü yungde khiungkerü shonü thulode arükhi thsüthsü nüsa bolung athrürü aban nimung tizheah thsüsho tsütabahbeah. 
GEN.17.13	Nü yam chingnü azübekhi tüsho nü shonü thulode arükhi tsütabahbeah, tüsho I tangzüng ju nü shih ching akheam müla tangzüng labah. 
GEN.17.14	Tüsho athrürü shepü tsütamübahbanü ju mihtsürü anihbuh mihtsürü lungnü khekhita bahbah; apinü I tangzüng thsümünimdo.”
GEN.17.15	Judüki Thrünpuhnü Abraham ki tha, “Nü niube Sarai thsungkheaknü, nünü anihbe mung Sarai de müji, tüshe amung Sara labah. 
GEN.17.16	Inü alibe müngühjihbah tüsho anihbe hode nü kilim tsührü she khülang jihbah; inü alibe müngühjihbah tüsho anihbe ju trükshih ahihdo abe thsübah; mihtsürü kiulongthsürübo anihbe kheaknü arübah.”
GEN.17.17	Abrahamnü amiro mükhümbah müne, tüsho api mulong chingnü tha, “Mihtsürü khülang kam 100 azorü ki tsührü zübeba de? Tüsho kam 90 azorü kamkhi Saranü khungarü hanba shi?” 
GEN.17.18	Tüsho Abrahamnü Thrünpuh ki tha, “O, Ishmael nü miki lakhülaa!”
GEN.17.19	Thrünpuhnü tha: “Yung, nü niube Saranü nü kilim tsührü khülang zübejihbah, tüsho nünü amung Isak de ajibah; inü api tüsho api dunglim anihbuh tsühsoniusobo kheak akheam müla tangzüng zobah. 
